Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,Award Method,SME
700191,SWIFT Pen Y Daith,Adults and Communities,Residential & Nursing Care,St David'S Care - Community,"£46,384.75",01/04/2009,31/03/2017,ITT,N/A
700202,SWIFT Phillips House,Adults and Communities,Residential & Nursing Care,Freeways,"£49,796.39",01/04/2009,31/03/2017,ITT,N/A
700290,SWIFT Poolmead Centre (RNID),Adults and Communities,Residential & Nursing Care,Action Of Hearing Loss Formerly Rnid,"£128,261.04",01/04/2009,31/03/2017,ITT,N/A
700324,SWIFT Porlock House,Adults and Communities,Residential & Nursing Care,National Autistic Society,"£208,823.91",01/04/2009,31/03/2017,ITT,N/A
700565,SWIFT Princess Alexandra Home,Adults and Communities,Residential & Nursing Care,Jewish Care,"£152,015.76",01/04/2009,31/03/2017,ITT,N/A
5000004886,5000004886 Psychological Consultation,Adults and Communities,,Abigael San,"£12,000.00",17/04/2013,31/03/2017,ITT,N/A
700209,SWIFT Quality Housing(Trinity House),Adults and Communities,Residential & Nursing Care,Quality Housing & Social Care,"£52,798.64",01/04/2009,31/03/2017,ITT,N/A
700299,SWIFT Quantum Care Ltd,Adults and Communities,Residential & Nursing Care,Quantum Care Ltd,"£138,764.44",01/04/2009,31/03/2017,ITT,N/A
700281,SWIFT Rainbow Homes,Adults and Communities,Residential & Nursing Care,Rainbow Homes Ltd,"£108,921.60",01/04/2009,31/03/2017,ITT,N/A
700174,SWIFT Reach,Adults and Communities,Residential & Nursing Care,Rehabiliation Education And Reach Ltd,"£38,714.43",01/04/2009,31/03/2017,ITT,N/A
700236,SWIFT Real Life Options,Adults and Communities,Residential & Nursing Care,Real Life Options,"£68,654.80",01/04/2009,31/03/2017,ITT,N/A
700577,SWIFT Rela Goldhill Lodge,Adults and Communities,Residential & Nursing Care,Jewish Care,"£458,017.63",01/04/2009,31/03/2017,ITT,N/A
5000005106,5000005106 Residential Care Fremantle contract,Adults and Communities,Block bed contract for elderly residential and nusring care,Fremantle Trust,"£6,113,250.00",23/05/2013,30/09/2023,ITT,N/A
700175,SWIFT Roper House (RNID),Adults and Communities,Residential & Nursing Care,Action Of Hearing Loss Formerly Rnid,"£38,814.82",01/04/2009,31/03/2017,ITT,N/A
700573,SWIFT Rosetrees (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£399,913.84",01/04/2009,31/03/2017,ITT,N/A
700569,SWIFT Rubens House (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£217,323.71",01/04/2009,31/03/2017,ITT,N/A
700348,SWIFT Sage Nursing Home,Adults and Communities,Residential & Nursing Care,Service To The Aged,"£358,408.48",01/04/2009,31/03/2017,ITT,N/A
700566,SWIFT Sam Beckman Day Centre,Adults and Communities,Day Care,Jewish Care,"£172,149.28",07/11/2011,31/03/2017,ITT,N/A
700214,SWIFT Seaforth Lodge,Adults and Communities,Residential & Nursing Care,Waterfall House Ltd,"£54,095.54",01/04/2009,31/03/2017,ITT,N/A
700099,SWIFT13 Services For Older People,Adults and Communities,preventative services and café,Alzheimer's Society,"£95,149.00",01/04/2013,31/03/2017,ITT,N/A
700346,SWIFT Services For Older People,Adults and Communities,Voluntary sector preventative services,Age Uk Barnet,"£334,619.00",01/04/2011,31/03/2017,ITT,N/A
700195,SWIFT Seva Care Home,Adults and Communities,Residential & Nursing Care,Seva Care Home,"£48,102.86",01/04/2009,31/03/2017,ITT,N/A
700242,SWIFT SFI (College Road),Adults and Communities,Residential & Nursing Care,Striving For Independence (Sfi) Group Home,"£71,108.57",01/04/2009,31/03/2017,ITT,N/A
700256,SWIFT Short Heath Road Home,Adults and Communities,Residential & Nursing Care,Thoughts Of Others Ltd,"£82,825.28",01/04/2009,31/03/2017,ITT,N/A
700568,SWIFT Sidney Corob House,Adults and Communities,Residential & Nursing Care,Jewish Care,"£205,779.26",01/11/2009,31/03/2017,ITT,N/A
700224,SWIFT Silver Springs,Adults and Communities,Residential & Nursing Care,Silver Springs Rch Ltd (Mr & Mrs K Sedani),"£57,411.81",01/04/2009,31/03/2017,ITT,N/A
700261,SWIFT Sir Thomas Lipton Home,Adults and Communities,Residential & Nursing Care,Friends Of The Elderly,"£87,934.11",01/04/2009,31/03/2017,ITT,N/A
700273,SWIFT Sonesta Nursing Home,Adults and Communities,Residential & Nursing Care,Sonesta Nursing Home Ltd,"£97,269.73",01/04/2009,31/03/2017,ITT,N/A
700143,SWIFT Southgate Beaumont,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£28,432.97",01/04/2009,31/03/2017,ITT,N/A
700231,SWIFT Spanish & Portuguese Jews Home,Adults and Communities,Residential & Nursing Care,Spanish & Portuguese Jews Home,"£62,991.96",01/04/2009,31/03/2017,ITT,N/A
700305,SWIFT Springdene; Spring Lane ,Adults and Communities,Residential & Nursing Care,Springdene Nursing & Care Home Ltd,"£153,050.37",01/04/2009,31/03/2017,ITT,N/A
700279,SWIFT St Christophers Hse,Adults and Communities,Residential & Nursing Care,Platinum Health Resources Ltd,"£102,874.23",01/04/2009,31/03/2017,ITT,N/A
700337,SWIFT St Elizabeths,Adults and Communities,Residential & Nursing Care,Congregation Of The Daughters Of The Cross Of Liege,"£290,139.18",01/04/2009,31/03/2017,ITT,N/A
700271,SWIFT St Vincents Nursing Home,Adults and Communities,Residential & Nursing Care,St Vincent'S Hospital,"£93,682.62",01/04/2009,31/03/2017,ITT,N/A
700116,"SWIFT01 Station Road, The Broadway",Adults and Communities,Sheltered housing,Central & Cecil Housing,"£12,989.00",01/04/2013,30/09/2016,ITT,N/A
5000006053,5000006053 Stopford Information Systems,Adults and Communities,,Stopford Information Sytems Limited,"£24,000.00",07/11/2013,31/03/2018,ITT,N/A
700185,SWIFT Street Farm,Adults and Communities,Residential & Nursing Care,Bradbury House Organisation,"£40,858.67",01/04/2009,31/03/2017,ITT,N/A
700172,SWIFT Stroke Navigator,Adults and Communities,Voluntary sector preventative services,Stroke Association,"£38,251.32",15/11/2010,31/03/2017,ITT,N/A
700258,SWIFT Sunridge Court,Adults and Communities,Residential & Nursing Care,Sunridge Housing Association,"£84,191.50",01/04/2009,31/03/2017,ITT,N/A
701129,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Brunswick Supported Living Service Ltd,"£205,176.70",01/04/2013,31/03/2017,ITT,N/A
700060,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Voyage Limited,"£205,176.70",01/04/2013,31/03/2017,ITT,N/A
700063,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Care Worldwide London Ltd,"£205,176.70",01/04/2013,31/03/2017,ITT,N/A
700064,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Green Oak Living,"£205,176.70",01/04/2013,31/03/2017,ITT,N/A
700066,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Metropolitan Support Trust,"£205,176.70",01/04/2013,31/03/2017,ITT,N/A
700067,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Next Steps Support Ltd,"£205,176.70",01/04/2013,31/03/2017,ITT,N/A
700068,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Origin Housing,"£205,176.70",01/04/2013,31/03/2017,ITT,N/A
700071,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Walsingham ,"£205,176.70",01/04/2013,31/03/2017,ITT,N/A
700078,SWIFT24 Supported Housing,Adults and Communities,Supported living framework,One Step At A Time,"£551,149.47",01/04/2013,31/03/2017,ITT,N/A
700079,SWIFT23 Supported Housing,Adults and Communities,Supported living framework,Creative Support Ltd,"£471,915.22",01/04/2013,31/03/2017,ITT,N/A
700081,SWIFT22 Supported Housing,Adults and Communities,Supported living framework,Langdon Community,"£465,557.22",01/04/2013,31/03/2017,ITT,N/A
700093,SWIFT20 Supported housing,Adults and Communities,Supported living framework,Kisharon / Eagle Lodge,"£192,692.90",01/04/2013,31/03/2017,ITT,N/A
700094,SWIFT19 Supported Housing,Adults and Communities,Supported living framework,Royal National Mencap Society,"£169,556.30",28/04/2013,29/04/2016,ITT,N/A
700095,SWIFT18 Supported Housing,Adults and Communities,Supported living framework,The Richmond Fellowship ,"£166,430.66",01/04/2013,31/03/2017,ITT,N/A
700096,SWIFT17 Supported Housing,Adults and Communities,Supported living framework,Care Management Group (CMG),"£154,593.17",01/04/2013,31/03/2017,ITT,N/A
700098,SWIFT14 Supported Housing,Adults and Communities,Supported living framework,Maison Moti Ltd,"£117,234.41",01/04/2013,31/03/2017,ITT,N/A
700100,SWIFT12 Supported Housing,Adults and Communities,Supported living framework,Shine Partnership Ltd,"£92,232.00",01/04/2013,31/03/2017,ITT,N/A
700103,SWIFT09 Supported Housing,Adults and Communities,Supported living framework,The Regard Partnership,"£52,084.93",01/04/2013,31/03/2017,ITT,N/A
700107,SWIFT06 Supported Housing,Adults and Communities,supported living framework,Dillon Care,"£44,442.85",01/04/2013,31/03/2017,ITT,N/A
700109,SWIFT04 Supported Housing,Adults and Communities,supported living framework,SGSL Ltd,"£31,371.43",01/04/2013,31/03/2017,ITT,N/A
700187,SWIFT Supported Housing,Adults and Communities,Residential & Nursing Care,Baytree Community Care,"£42,817.00",01/04/2010,31/03/2017,ITT,N/A
700378,SWIFT Supported Housing & Day Care (Was Your Choice (Barnet)),Adults and Communities,Supported Living & Day Care,Thebarnetgroup Ltd,"£5,223,837.00",01/02/2012,31/01/2017,ITT,N/A
700293,SWIFT Sydmar Lodge,Adults and Communities,Residential & Nursing Care,European Care Ltd,"£132,981.39",01/04/2009,31/03/2017,ITT,N/A
700342,SWIFT Tager Centre,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£327,383.34",01/04/2009,31/03/2017,ITT,N/A
700114,SWIFT03 Terrington Lodge,Adults and Communities,,Terrington Lodge Ltd,"£23,112.00",23/05/2013,31/03/2017,ITT,N/A
700312,SWIFT The Farmhouse (Ravenswood),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£167,242.65",01/04/2009,31/03/2017,ITT,N/A
700223,SWIFT The Firs (Ravenswood Village),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£57,104.37",01/04/2009,31/03/2017,ITT,N/A
700330,SWIFT The Green (Ravenswood Village),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£233,923.67",01/04/2009,31/03/2017,ITT,N/A
700200,SWIFT The Marillac,Adults and Communities,Residential & Nursing Care,Sisters Of Charity-St Vincents,"£49,119.81",01/04/2009,31/03/2017,ITT,N/A
700122,SWIFT The Meadow,Adults and Communities,Residential & Nursing Care,Methodist Homes For The Aged (Mha) Care Group,"£25,649.80",01/04/2009,31/03/2017,ITT,N/A
700157,SWIFT The Rookery,Adults and Communities,Residential & Nursing Care,Janith Homes Ltd,"£31,290.91",01/04/2009,31/03/2017,ITT,N/A
700259,SWIFT The Springs Community,Adults and Communities,Residential & Nursing Care,Cygnet Ltd,"£84,768.74",01/04/2009,31/03/2017,ITT,N/A
700212,SWIFT The Well House Respite Unit,Adults and Communities,Residential & Nursing Care,The Well House,"£53,070.00",01/04/2009,31/03/2017,ITT,N/A
700194,SWIFT Thorndene,Adults and Communities,Residential & Nursing Care,Thorndene Ltd,"£47,984.17",01/04/2009,31/03/2017,ITT,N/A
5000004012,5000004012 Training ,Adults and Communities,,The Knowledge Academy,"£12,100.00",06/09/2012,31/03/2017,ITT,N/A
5000004183,5000004183 Training  (AD),Adults and Communities,,Middlesex University,"£20,000.00",30/10/2012,31/03/2017,ITT,N/A
700153,SWIFT Tudor Lodge,Adults and Communities,Residential & Nursing Care,Tudor Lodge Resiential Home,"£29,865.60",01/04/2009,31/03/2017,ITT,N/A
700297,SWIFT Two Rivers,Adults and Communities,Residential & Nursing Care,Suncare Recovery Ltd,"£137,982.00",01/04/2009,31/03/2017,ITT,N/A
700345,SWIFT Walsingham Community,Adults and Communities,Residential & Nursing Care,Walsingham,"£332,818.44",01/04/2009,31/03/2017,ITT,N/A
700156,SWIFT Wensley House,Adults and Communities,Residential & Nursing Care,Beling & Co Ltd,"£31,200.00",08/06/2012,31/03/2017,ITT,N/A
700142,SWIFT Westgate House Care Centre,Adults and Communities,Residential & Nursing Care,Westgate Healthcare Ltd,"£27,457.04",01/04/2009,31/03/2017,ITT,N/A
700228,SWIFT Westminster Barchester (Bulk),Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£59,085.47",01/04/2009,31/03/2017,ITT,N/A
700121,SWIFT Whitchurch Lodge,Adults and Communities,Residential & Nursing Care,Finbond Ltd,"£25,332.43",01/04/2009,31/03/2017,ITT,N/A
700406,SWIFT 31 Whitehall Road,Adults and Communities,Whitehall Road,Care Assist Ltd,"£85,146.00",24/07/2013,31/07/2016,ITT,N/A
700360,SWIFT Willow Care Homes,Adults and Communities,Residential & Nursing Care,Willow Care Homes Ltd,"£575,456.57",01/04/2009,31/03/2017,ITT,N/A
700217,SWIFT Wilsmere House,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£55,752.00",01/04/2009,31/03/2017,ITT,N/A
700302,SWIFT Woodfield House,Adults and Communities,Residential & Nursing Care,Woodfield House,"£142,478.57",01/04/2009,31/03/2017,ITT,N/A
700292,SWIFT Yad Voezer ,Adults and Communities,Residential & Nursing Care,Yad Voezer,"£131,220.93",01/04/2009,31/03/2017,ITT,N/A
5000006172,5000006172 Young Peoples Substance Misuse,Adults and Communities,,The Tavistock and Portman NHS Foundation Trust,"£196,072.00",01/04/2013,30/06/2017,ITT,N/A
700453,700032I GPS Tags,Adults and Communities,,Care Where Ltd,"£49,992.00",14/04/2014,15/04/2016,ITT,N/A
700298,SWIFT Two Rivers,Adults and Communities,,Suncare Recovery Ltd,"£137,982.00",01/04/2009,31/03/2017,ITT,N/A
700686,700686I- West London Alliance (WLA),Adults and Communities,,London Borough of Ealing - West London Alliance,"£55,000.00",16/07/2014,30/06/2018,Other,N/A
701036,701036 - Development Agreement,Adults and Communities,,Notting Hill Housing,"£322,120.26",31/03/2003,31/03/2017,Other,N/A
701227,IMCA Tri- Borough Contract (London Borough of Enfield),Adults and Communities,,The London Borough of Enfield,"£201,791.00",01/04/2014,31/03/2017,ITT,N/A
701240,Alan Berresford Ltd,Adults and Communities,,Alan Berresford Ltd,"£15,000.00",13/02/2015,30/09/2016,ITT,N/A
701286,Procurement of IPADS (Academia Ltd),Adults and Communities,,Academia Ltd,"£14,746.13",30/03/2015,29/03/2018,ITT,N/A
701352,Provision of Community Advice Service (Barnet Citizen Advice ) (AD),Adults and Communities,,Barnet Citizen Advice,"£1,694,100.00",06/04/2015,05/04/2020,OJEU,N/A
701407,Advice and Advocacy Services (Barnet Citizens Advice Bureau),Adults and Communities,,Barnet Citizens Advice Bureau,"£1,540,089.00",01/04/2015,31/03/2020,OJEU,N/A
701480,Adult Social Care- Quality Assured Projects (Liquid Personnel Ltd),Adults and Communities,,Liquid Personnel,"£300,000.00",01/02/2016,31/03/2017,Other,N/A
701487,Inclusion Barnet (AD),Adults and Communities,,Inclusion Barnet,"£265,891.00",01/10/2014,30/09/2017,Other,N/A
701475,The Barnet Group - Secondment (AD),Adults and Communities,,The Barnet Group,"£50,000.00",14/03/2016,04/05/2016,SLA,N/A
701472,701472 Domestic Violence Abuse Advocacy Service - Lot 1,Adults and Communities,,Solace Women's Aid,"£894,630.00",01/04/2016,31/03/2019,OJEU,N/A
701473,701473 Domestic Violence Refuge & Support Service - Lot 2,Adults and Communities,,Solace Women's Aid,"£617,388.00",01/04/2016,31/03/2019,OJEU,N/A
701509,Dols BIA/ MHA (Action First Recruitment),Adults and Communities,,Action First Recruitment Ltd,"£250,000.00",01/04/2016,31/03/2019,OJEU,N/A
701512,Enabl;ement Homecare Services (Hosuing 21) (Etension linked to 5000003876),Adults and Communities,,Housing 21 (Barnet),"£145,000.00",05/09/2015,05/09/2016,OJEU,N/A
701510,Stroke Support Services (AD),Adults and Communities,,Stroke Association,"£104,970.00",01/04/2016,31/03/2017,OJEU,N/A
5000000532,IT Maintenance to Gov Serv,Assurance,IT Maintenance to Gov Serv,Modern Mindset,"£66,160.00",23/02/2012,22/02/2017,ITT,N/A
5000001028,Radio units   (Comm Grp),Commissioning Group,,Airwave Solutions Limited,"£11,922.00",21/08/2013,20/08/2016,ITT,N/A
5000005527,NSCSO Contract (CSG),Commissioning Group,"NSCSO Contract - Procurement, Estates Management, Information Services, Revenue and Benefits, Customer Services, Corporate Programme Management, Human Resources and Finance",Capita Business Services Ltd,"£265,595,104.00",05/08/2013,31/08/2023,ITT,N/A
700164,Local Partnerships Internal Assurance Toolkit (CG),Commissioning Group,,Local Partnerships LLP,"£15,000.00",25/05/2014,25/06/2017,Other,N/A
701196,Open Library Technology,Commissioning Group,,Bibliotheca Ltd,"£32,372.00",11/11/2014,11/11/2017,ITT,N/A
701252,Apple Hardware for Corporate Design Team,Commissioning Group,,Jigsaw24,"£12,334.00",26/11/2014,26/11/2019,ITT,N/A
701338,Distribution Service for Barnet Council,Commissioning Group,,Letterbox Distribution,"£124,800.00",01/06/2015,31/05/2018,ITT,N/A
701253,Document Archive and Storage Services,Commissioning Group,,Stor-A-file,"£320,000.00",15/03/2015,31/03/2019,OJEU,N/A
701426,Supply of 55 Parking Spaces at Athenaeum Road Car Park,Commissioning Group,,Towndene Properties Ltd,"£42,405.00",01/10/2015,30/09/2016,ITT,N/A
701436,Delivering LBB Facilities At Grahame Park Library,Commissioning Group,,Barnet and Southgate College,"£2,970,116.00",01/12/2015,31/10/2016,OJEU,N/A
701460,Communications Research - Westco Ltd,Commissioning Group,,Westco,"£32,500.00",10/12/2015,30/06/2016,ITQ,N/A
701465,Community Benefit Assessment Tool Development,Commissioning Group,,Simetrica,"£33,250.00",01/11/2015,31/05/2016,ITQ/Tender,N/A
701470,Tax & Transfer Pricing Advice for WOC business plan,Commissioning Group,,KPMG LLP,"£25,000.00",01/03/2016,28/02/2017,Framework,N/A
701484,Provision of Education & Skills,Commissioning Group,,Mott MacDonald,"£10,814,505.00",15/03/2016,31/03/2017,ITQ/Tender,N/A
701491,Recruitment of Strategic Lead Growth & Development,Commissioning Group,,GATENBYSANDERSON LTD,"£12,650.00",16/03/2016,30/06/2016,Framework,N/A
701481,WOC Business Plan Support,Commissioning Group,,31Ten Consulting,"£24,950.00",20/03/2016,31/03/2017,Quote,N/A
701517,Children's Services Delivery Model,Commissioning Group,,Mutual Ventures,"£170,000.00",01/02/2016,31/10/2016,Other,N/A
701514,Colindale Library - Provision of Library Furniture,Commissioning Group,,Demco Interiors,"£54,711.39",03/05/2016,01/08/2016,Other,N/A
701513,Colindale Library - Provision of Office Furniture,Commissioning Group,,Senator International,"£37,188.70",03/05/2016,01/08/2016,Other,N/A
5000006442,Barford Woodland Retreat No 2,Children's Service,"Authorisation to Novate to be approved 2nd April CRC, Contract currently with legal.",Barford Park House Ltd,"£59,636.00",01/12/2013,31/03/2017,ITT,N/A
5000006441,Barford Grove House No 12 ,Children's Service,"Authorisation to Novate to be approved 2nd April CRC, Contract currently with legal.",Barford Park House Ltd,"£63,957.00",01/12/2013,31/03/2017,ITT,N/A
5000006439,Barford Willow Lodge No 3,Children's Service,"Authorisation to Novate to be approved 2nd April CRC, Contract currently with legal.",Barford Park House Ltd,"£61,364.00",01/12/2013,31/03/2017,ITT,N/A
5000006139,Child Placement,Children's Service,,Whistledawn Ltd trading as Northern Care,"£126,850.00",07/11/2013,31/03/2017,ITT,N/A
5000006017,Direct Care Ltd,Children's Service,,Direct Care Ltd,"£89,850.00",03/10/2013,31/03/2017,ITT,N/A
5000005857,Child Placement,Children's Service,,Apple Fostering,"£69,720.00",31/03/2014,31/03/2017,ITT,N/A
5000005800,Child Placement,Children's Service,Child Placement,Alere Care,"£45,084.00",05/09/2013,31/03/2017,ITT,N/A
5000005721,St Christophers- Residential,Children's Service,,St Christophers Fellowship,"£319,200.00",04/07/2013,31/07/2017,ITT,N/A
5000005487,Child Placement,Children's Service,Child Placement- Awaiting contract,Oak Tree Care Services Ltd (CS),"£29,750.00",01/08/2013,31/03/2017,ITT,N/A
5000005357,London Care Placements,Children's Service,London Care Placements,Foster Care Associates,"£417,528.00",01/04/2010,31/07/2017,ITT,N/A
5000005116,CommUNITY Barnet  (CS),Children's Service,"Engaging the voluntary and community sector in strategic planning and delivery of services to CYP. Final Invoice for last year, authorised by Head of Procurement Kevin Bates. See email in repository. Awaiting extension document.",Community Barnet,"£116,550.00",01/04/2013,31/03/2017,ITT,N/A
5000005104,Askews & Holts Library Serv Ltd (CS),Children's Service,Libraries framework,Askews & Holts,"£730,000.00",22/05/2013,31/03/2017,ITT,N/A
5000005103,Bertram Library Services (CS),Children's Service,,Bertram Library,"£44,000.00",22/05/2013,31/03/2017,ITT,N/A
5000005074,Children's Home (CS),Children's Service,Child Placement - LCP,Adeza Care Homes Ltd,"£229,500.00",13/05/2013,31/03/2017,ITT,N/A
5000004884,Child Placement,Children's Service,Child Placement,The Serendipity Centre Ltd,"£234,302.00",10/03/2013,31/03/2017,ITT,N/A
5000004851,Child Placement  (CS),Children's Service,Child Placement - LCP,Igleside Childrens Home Ltd,"£159,342.14",10/04/2013,31/03/2017,ITT,N/A
5000004850,Child Placement   (CS),Children's Service,Child Placement - LCP/ No contract on file as contract has not been requested due to placement team chasing provider for pricing schedule.,Tumblewood Project,"£202,500.00",10/04/2013,31/03/2017,ITT,N/A
5000004470,Child Placement,Children's Service,Child Placement,Care Afloat,"£323,000.00",22/01/2013,31/03/2017,ITT,N/A
5000004297,Residential Children's Home,Children's Service, Placement of children in care - therapeutic residential home with education,Prestige Adolescent Care & Education Ltd,"£257,400.00",01/04/2012,31/03/2017,ITT,N/A
5000002775,Child Placement,Children's Service,Child Placement,Foster Care UK,"£108,441.00",01/04/2013,31/07/2017,ITT,N/A
5000002741,Care Placements Contract,Children's Service,Placement of children in care,Chrysalis Care Limited,"£136,929.00",01/04/2010,31/07/2017,ITT,N/A
5000002588,Care Placements Contract,Children's Service,Placement of Children in care.,Time For Children Ltd,"£73,000.00",01/04/2010,31/07/2017,ITT,N/A
5000002556,Child Placement ,Children's Service,Child Placement,Child First Fostering,"£217,995.00",01/04/2013,31/07/2017,ITT,N/A
5000002546,Care Placements Contract,Children's Service,,Arnfield Care Limited,"£181,701.99",01/04/2010,31/03/2017,ITT,N/A
5000000599,Child Placement ,Children's Service,Child Placement ,Benjamin UK,"£607,963.00",01/04/2013,31/03/2017,ITT,N/A
5000000441,Care Placements Contract,Children's Service,Placement of Children in care.,Bramley Care Ltd/ Apple Orchard,"£416,000.00",01/04/2010,31/03/2017,ITT,N/A
5000000335,Temp Accommodation,Children's Service,,LCS Partnerships Ltd,"£312,584.00",03/10/2013,31/03/2017,ITT,N/A
5000002575,Care Placements Contract,Children's Service,Placement of Children in care.,Lioncare Limited,"£173,531.47",01/04/2010,31/03/2017,ITT,N/A
5000005406,Social Care Placement  (CS),Children's Service,Family Placement ,Anonymised,"£103,350.00",10/07/2013,31/03/2017,ITT,N/A
5000002541,Camhs,Children's Service,Child & Adolescent Mental Health Services.,Barnet Enfield & Haringey,"£943,000.00",01/04/2012,31/03/2017,ITT,N/A
5000005801,Child Placement,Children's Service,Child Placement,Allison Lodge Ltd,"£29,750.00",05/09/2013,31/03/2017,ITT,N/A
5000005243,Family Group Conferences,Children's Service,Provision of Family Group Conferences,Forward 4 Families,"£180,000.00",23/01/2012,31/03/2017,ITT,N/A
5000000316,Improve English Ltd,Children's Service,,Improve English Ltd,"£20,000.00",24/02/2012,31/03/2017,ITT,N/A
5000003298,Westminster Education Forum (CS),Children's Service,,Westminster Education Forum,"£10,000.00",01/04/2012,31/03/2017,ITT,N/A
5000003673,Music Therapy (Childrens),Children's Service,,Mapledown School,"£10,000.00",17/07/2012,31/03/2017,ITT,N/A
5000003906,Positive Activities (Childrens),Children's Service,,Phoenix Canoe Club Limited,"£10,000.00",15/08/2012,31/03/2017,ITT,N/A
5000003908,Positive Activities (Childrens),Children's Service,,London Academy,"£10,000.00",15/08/2012,31/03/2017,ITT,N/A
5000003909,Positive Activiities  (Childrens),Children's Service,,Whitefield School Academy Trust Co.,"£10,000.00",15/08/2012,31/03/2017,ITT,N/A
5000003911,Outings&Holidays    (CS),Children's Service,,Danegrove School,"£19,495.00",16/08/2012,31/03/2017,ITT,N/A
5000004001,LegalServices&Costs (Childrens),Children's Service,,Carter Brown Associates Ltd:,"£10,000.00",05/09/2012,31/03/2017,ITT,N/A
5000004035,Cons-Other Prof  (CS),Children's Service,,Barnfield School,"£10,000.00",17/09/2012,31/03/2017,ITT,N/A
5000004036,Cons - Other Prof  (CS),Children's Service,,Mapledown School,"£15,000.00",17/09/2012,31/03/2017,ITT,N/A
5000004081,Consult-Other Prof  (CS),Children's Service,,Meral Mehmet Ltd,"£20,000.00",02/10/2012,31/03/2017,ITT,N/A
5000004145,Cleaning Serv   (CS),Children's Service,,Rainbow Cleaning Ltd,"£22,000.00",18/10/2012,31/03/2017,ITT,N/A
5000004232,Hire of Venue  (CS),Children's Service,,Dollis Junior School,"£15,000.00",13/11/2012,31/03/2017,ITT,N/A
5000004234,Soc Serv Indv Care Payments (CS),Children's Service,,Northway School,"£10,000.00",13/11/2012,31/03/2017,ITT,N/A
5000004244,Leisure & Sports (CS),Children's Service,,Studio Seven,"£22,000.00",15/11/2012,31/03/2017,ITT,N/A
5000004327,Legal Costs & Serv  (CS),Children's Service,,EAD Solicitors,"£24,000.00",30/11/2012,31/03/2017,ITT,N/A
5000004338,Child Placement  (CS),Children's Service,,Ryancare Fostering,"£20,000.00",03/12/2012,31/03/2017,ITT,N/A
5000004340,Soc Serv Ind Care Pymnts  (CS),Children's Service,,Catherine Devereux-Evans,"£15,000.00",03/12/2012,31/03/2017,ITT,N/A
5000004681,Consult Other Prof  (CS),Children's Service,,Barnet Education Arts Trust,"£24,000.00",11/03/2013,31/03/2017,ITT,N/A
5000005718,Library Books,Children's Service,Provision of Unity inter- Loans. Single Source Supplier,OCLC (UK) Ltd,"£18,000.00",01/04/2013,31/03/2017,ITT,N/A
5000005678,CACI Ltd,Children's Service,,C A C I Ltd,"£84,000.00",01/04/2013,31/03/2017,ITT,N/A
5000005452,Clubs and Holiday Provisions (CS),Children's Service,,Fair Play Barnet,"£67,964.00",01/07/2013,31/03/2017,ITT,N/A
5000005451,Inclusive Training (CS),Children's Service,,Fair Play Barnet,"£49,954.00",01/07/2013,31/03/2017,ITT,N/A
5000005449,Disabled Children and Young Adults (CS),Children's Service,,Fair Play Barnet,"£290,242.00",01/07/2013,31/03/2017,ITT,N/A
5000005448,Families experiencing Dom Violence (CS),Children's Service,,Home Start Barnet,"£43,668.00",01/07/2013,31/03/2017,ITT,N/A
5000005447,Community Coaching for Families (CS),Children's Service,,Home Start Barnet,"£439,335.00",01/07/2013,31/03/2017,ITT,N/A
5000005446,Working with Traveller communities (CS),Children's Service,Awaiting final contract.,Community Barnet,"£35,655.00",01/07/2013,31/03/2017,ITT,N/A
5000005445,Parenting Programmes: Hard to reach (CS),Children's Service,Parenting Programmes. Awaiting final contract document.,Community Barnet,"£107,810.00",01/07/2013,31/03/2017,ITT,N/A
5000005444,Young People Intervention: Mentoring(CS),Children's Service,NASS,Barnardo Services,"£168,911.00",01/07/2013,31/03/2017,ITT,N/A
5000005442,Supporting Young Carers (CS),Children's Service,,Barnet Carers Centre,"£321,967.00",01/07/2013,31/03/2017,ITT,N/A
5000005441,Disabled children and Young People (CS),Children's Service,,Barnet Mencap,"£126,770.00",01/07/2013,31/03/2017,ITT,N/A
5000005440,Young people and intervention (CS),Children's Service,,The Barnetgroup,"£419,710.00",01/07/2013,31/03/2017,ITT,N/A
