RATEPAYER,RV,Property Address,LIABILITY_START,
Ricci's Tapas & Chicchetti Ltd,4200,"Office Suite E 144, Dean Clough Mills, Halifax, HX3 5AX",20-12-2013,
Dean Clough Foundation,3800,"Office Suite D140, Dean Clough Mills, Halifax, HX3 5AX",09-02-2014,
The Good Company (Yorkshire) Ltd,2750,"Unit 5, No 2 Warehouse, The Wharf, Sowerby Bridge, HX6 2AG",01-05-2014,
,6000,"Part First Floor, 25B Union Street, Halifax, HX1 1PR",27-06-2014,
Fitness 4 Ladies,5500,"Unit 3, No 2 Warehouse, The Wharf, Sowerby Bridge, HX6 2AG",01-10-2013,
,890,"Unit 13 Middle Floor, Quality Works, Rochdale Road, Todmorden           OL14 7NA",01-12-2013,
,1400,"Unit 14 Middle Floor, Quality Works, Rochdale Road, Todmorden           OL14 7NA",01-12-2013,
,3950,"Unit 2 Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",16-06-2014,
Jmv Contracts Ltd,2750,"Unit 3 The Mill, Laura Street, Brighouse, HD6 1JD",01-04-2014,
H & C Whitehead Ltd,77000,"Prospect Works, Bradford Road, Bailiff Bridge, Brighouse            HD6 4DJ",12-05-2014,
,1150,"Basement Floor, 182 Rochdale Road, Greetland, Halifax              HX4 8JE",04-03-2014,
,2600,"The Orange Tree, 5 Cross Street, Halifax, HX1 1XB",04-03-2014,
Inns & Leisure Ltd,6250,"Shannon & Chesapeake Inn, 257 Halifax Road, Todmorden, OL14 5RX",16-07-2014,
Covea Insurance Plc,78000,"Office Suite F2 East, F Mill Dean Clough Mills, Dean Clough Office Park, Halifax              HX3 5AX",01-04-2014,
Covea Insurance Plc,125000,"Office Suite F3 West F Mill, Dean Clough Mills, Halifax, HX3 5AX",01-04-2014,
Joe Dean & Sons (Haulage)Ltd,17750,"Branch Road, Barkisland, Halifax, HX4 8NU",01-07-2014,
Craggs Country Business Park Llp,1075,"Suite 3 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-06-2014,
,1950,"Suite 6 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-06-2014,
,1450,"Unit 16 Middle Floor, Old Fire Station, Rochdale Road, Todmorden           OL14 7NA",01-12-2013,
,1125,"Unit 17 Middle Floor, Old Fire Station, Rochdale Road, Todmorden           OL14 7NA",01-12-2013,
,550,"Unit 18 Middle Floor, Old Fire Station, Rochdale Road, Todmorden           OL14 7NA",01-01-2014,
Firedragon Games Llp,1450,"Unit 19 Middle Floor, Old Fire Station, Rochdale Road, Todmorden           OL14 7NA",01-01-2014,
Tesco Personal Finance Ltd,16500,"Atm Site At Tesco Express, Keighley Road, Halifax, HX2 8BA",01-04-2010,
,2550,"73 Stainland Road, Greetland, Halifax, HX4 8BD",01-07-2014,
Sia Fibral Ltd,417500,"Ellistones Lane, Greetland, Halifax, HX4 8NH",01-04-2012,
Aquamat Ltd,6800,"Unit 1, Ellistones Lane, Greetland, Halifax              HX4 8NH",01-04-2012,
Ernest Wilson & Co,8900,"Oldham Road, Ripponden, Sowerby Bridge, HX6 4EB",16-08-2014,
Intelligent Storage W G C Ltd,2325,"Unit 6A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",22-07-2014,
Intelligent Storage W G C Ltd,5200,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX",22-07-2014,
Intelligent Storage W G C Ltd,2750,"Unit 8G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",22-07-2014,
Intelligent Storage W G C Ltd,3100,"Unit 8C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",22-07-2014,
Bizspace Ltd,20250,"Unit 18, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",29-07-2014,
,97,"Storeroom 11 Market Hall, Brook Street, Todmorden, OL14 5AJ",05-06-2014,
,80000,"Old Gate Bar & Restaurant, 1-5 West End, Hebden Bridge, HX7 8JP",01-10-2012,
A.D.D Express Ltd,101000,"Unit H3 Premier Way, Lowfields Business Park, Elland, HX5 9HF",29-07-2014,
Mobile Broadband Network Ltd,7900,"Telecomms Mast, Site Ref Wyk 2039, Lindley Moor Road, Huddersfield         HD3 3TE",25-02-2014,
Grafters Fencing Ltd,5000,"West Yorks Pop Maintenance, Unit 2 Stansfield House, Shay Lane, Halifax              HX2 9AD",01-08-2014,
Grafters Fencing Ltd,6000,"Greystone Industr'L Flooring, Unit 2 Stansfield House, Shay Lane, Halifax              HX2 9AD",01-08-2014,
Warmco Space Heating Ltd,177,"Unit 301 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",06-07-2013,
,2000,"Room 1 At, 37 Bethel Street, Brighouse, HD6 1JR",01-04-2012,
,1375,"Room 2 At, 37 Bethel Street, Brighouse, HD6 1JR",01-04-2012,
G Property,3450,"1 Church Lane, Brighouse, HD6 1AT",10-08-2014,
Exors Of Mr Jnp Crossley,6300,"Unit 1A Lower Ground Floor, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",14-05-2014,
Cardelium Ltd,2350,"97a Ovenden Road, Ovenden, Halifax, HX3 5RQ",27-06-2014,
Woodfield Enterprises Ltd,9300,"Town Hall (Rear Entrance), 16 Market Street, Brighouse, HD6 1AP",05-11-2012,
,9200,"Crow Bottom, Gas Works Lane, Elland, HX5 9HJ",10-04-2014,
Collectaworld Ltd,36000,"Basement & Ground Floor, 15-17 Crown Street, Halifax, HX1 1TT",23-11-2013,
,2600,"Unit 8A Eastfield Mills, Belmont Street, Halifax, HX3 6AT",01-04-2014,
,3350,"Unit 8, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",01-04-2014,
,14750,"25 Harrison Road, Halifax, HX1 2AF",18-08-2014,
A1 Carpet Whipping Ltd,13250,"Unit 1 Copperas Works, Dewsbury Road, Elland, HX5 9JU",28-08-2014,
Brogan Business Parks Ltd,5700,"Units B8 & B10, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",01-09-2014,
,6900,"Unit R4, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",01-09-2014,
Mosonic Ltd,1775,"Lwr Gf Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",21-05-2013,
Royal & Sun Alliance,397500,"4TH - 6TH Flrs, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 5AX",01-07-2014,
Royal & Sun Alliance,270000,"1ST & 2ND Flr, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 5AX",01-07-2014,
Dean Clough Ltd,139000,"3RD Flr, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 5AX",01-07-2014,
Dean Clough Ltd,17500,"Ground Flr, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 5AX",01-07-2014,
Ormandy Ltd,89500,"Atlas Works, Gibbet Street, Halifax, HX1 4DB",01-04-2010,
Funtime Incorporated Ltd,23000,"Basement (The Tube), Southgate House, Wards End, Halifax              HX1 1DE",15-03-2014,
Halco Rock Tools Ltd,197000,"Central Warehouse, Armytage Road, Brighouse, HD6 1RD",01-06-2013,
Sar Foods (Uk) Ltd,8500,"24-26 Town Hall Street, Sowerby Bridge, HX6 2EA",15-05-2014,
Calderdale Mbc Markets Manager,1375,"Stall 24 Market Hall, Brook Street, Todmorden, OL14 5AJ",01-07-2014,
Tosca North East Ltd,26000,"3/5/7 Wellington Arcade, Briggate, Brighouse, HD6 1DN",01-08-2014,
Striped Shark Ltd,2500,"Unit 8C, Topland Country Business Pk, Burnley Road, Mytholmroyd          HX7 5RU",01-03-2014,
,2500,"Unit J, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",01-04-2013,
,2550,"1 & 5 Martin House, Martin Street, Brighouse, HD6 1DA",30-08-2014,
Turning Point Counselling Service,3200,"First Floor 1& 3, 16 Church Lane, Brighouse, HD6 1AT",01-09-2014,
Turning Point Counselling Service,1500,"First Floor 2, 16 Church Lane, Brighouse, HD6 1AT",01-09-2014,
Turning Point Counselling Service,1725,"First Floor 4, 16 Church Lane, Brighouse, HD6 1AT",01-09-2014,
,550,"Junction Of, Queens Road & Parkinson Lane, Halifax, HX1 3XY",01-05-2014,
High Profile Technologies Ltd,13500,"Unit 22, Ripponden Business Park, Oldham Road, Ripponden            HX6 4FF",26-06-2014,
Halifax Autocars Ltd,2750,"Unit 4 Halifax Autocars, Shay Lane, Halifax, HX3 6QU",01-08-2014,
,6700,"Part First Floor, 25B Union Street, Halifax, HX1 1PR",27-06-2014,
West Vale Mini Market Ltd,7500,"51/53 Stainland Road, Greetland, Halifax, HX4 8BD",09-12-2013,
,18000,"Units 2,3 & 9, 32 Huddersfield Road, Brighouse, HD6 1HA",01-08-2014,
,4750,"Unit 5, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",01-04-2014,
,8000,"Land Adj. Hartsoil House, Highmoor Lane, Cleckheaton, BD19 6LL",01-09-2014,
,2225,"6 Elland Road, Ripponden, Sowerby Bridge, HX6 4DB",01-04-2012,
Heathleigh Ltd,10750,"UNIT19 Woodman Works, South Lane, Elland, HX5 0PA",01-07-2014,
,12000,"Black Bull Hotel, 46 Briggate, Brighouse, HD6 1EA",22-11-2013,
,1675,"8 West End Terrace, Mytholmroyd, Hebden Bridge, HX7 5DW",22-07-2014,
,15250,"238B Queens Road, Halifax, HX1 3NS",25-08-2014,
,32000,"1 Bridge Gate, Hebden Bridge, HX7 8EX",12-08-2014,
Mosonic Ltd,1650,"Unit 4 Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",10-06-2013,
Richard Coupe Ltd,2150,"Unit 1 Hope Mill, Crescent Street, Todmorden, OL14 5HA",01-06-2014,
Richard Coupe Ltd,2125,"Hope Mills, Dalton Street, Todmorden, OL14 5HJ",01-06-2014,
,4550,"Market Stalls 15 & 16, Market Hall, Borough Market, Halifax             HX1 1DZ",21-07-2014,
Halifax Opportunities Trust,4200,"Hebden Vale Childrens Centre, Stubbing Holme, Hebden Bridge, HX7 6LQ",01-07-2014,
Bizspace Ltd,1625,"The Gatehouse, Unit 22, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",01-04-2014,
,3000,"Unit 1a Mill Fold Way, Elland Road, Ripponden, Sowerby Bridge      HX6 4HS",01-04-2014,
Units To Let [Northern] Ltd,1750,"Unit 6 Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",01-04-2014,
Jim Pax Uk Packaging Ltd,12250,"Unit 5 Shay Lane Works, Shay Lane, Halifax, HX3 6SF",15-08-2014,
Jim Pax Uk Packaging Ltd,5200,"Shay Lane Works, Shay Lane, Halifax, HX3 6SF",15-08-2014,
,4050,"Unit 4 Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",14-06-2014,
Kew Green Holdings Ltd,260000,"Holiday Inn, Coalpit Lane, Clifton, Brighouse            HD6 4HW",01-09-2014,
,4850,"Units At, 32 Charles Street, Elland, HX5 0NF",01-04-2014,
North Halifax Partnership Ltd,13750,"Illingworth Community, Childrens Centre, Occupation Lane, Halifax              HX2 9AL",01-07-2014,
North Halifax Partnership Ltd,10500,"Cousin Lane, Halifax, HX2 0DQ",01-07-2014,
North Halifax Partnership Ltd,28500,"Childrens Centre, Field Lane J & I School, Burnsall Road, Rastrick             HD6 3JT",01-07-2014,
North Halifax Partnership Ltd,29500,"Elland Childrens Centre, Boxhall Road, Elland, HX5 0BB",01-07-2014,
North Halifax Partnership Ltd,10000,"The Vicarage, 1 Sunny Bank Road, Mixenden, Halifax              HX2 8RX",01-07-2014,
North Halifax Partnership Ltd,18750,"Wellholme Park, Childrens Centre, Bradford Road, Brighouse            HD6 4AF",01-07-2014,
North Halifax Partnership Ltd,1900,"Sure Start Childrens Centre, Mobile Building 1, Mixenden Road, Mixenden",01-07-2014,
Walker Properties Ltd,11000,"Unit 4, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF",01-09-2014,
Enterprise Inns Plc,37000,"Rock Inn, Holywell Green, Halifax, HX4 9BS",04-09-2014,
Brisue Ltd,10250,"Golden Lion Hotel, Fielden Square, Todmorden, OL14 6LZ",01-09-2014,
Pickles Architects,7200,"Ground Floor, 16 Church Lane, Brighouse, HD6 1AT",01-09-2014,
,4800,"Office 16/17 The Spire, Leeds Road, Halifax, HX3 8NU",02-06-2014,
,4600,"18f Lydgate, Northowram, Halifax, HX3 7EJ",13-06-2013,
,2475,"563 Gibbet Street, Halifax, HX2 0AL",05-04-2012,
Canteen Smithy & Engineering Ltd,3650,"Studio Unit 2, Crow Carr Ings Mill, Vale Street, Todmorden           OL14 5HG",05-04-2014,
,2650,"45 Cote Hill, Burnley Road, Halifax, HX2 7LZ",01-09-2013,
,2750,"7 West Street, Sowerby Bridge, HX6 3AP",02-08-2013,
,1700,"2 Whitehall Street, Hipperholme, Halifax, HX3 8NB",01-06-2014,
,5300,"9 Halifax Road, Todmorden, OL14 5AG",19-02-2013,
,10250,"1st & 2nd Floors, 24/26 Silver Street, Halifax, HX1 1HS",09-08-2014,
,7600,"1 Barum Top, Halifax, HX1 1NL",06-05-2013,
Heathleigh Ltd,3450,"Unit B Woodman Works, South Lane, Elland, HX5 0PA",02-08-2014,
,7600,"Unit 4, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",02-08-2014,
,3100,"19 Burnley Road, Todmorden, OL14 7BU",01-08-2013,
Dean Field Community Primary School,44250,"Dean Field Comm Primary Sch, Cousin Lane, Halifax, HX2 8DQ",01-04-2011,
Myford Ltd,5000,"2 Richmond House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",01-11-2012,
,3250,"Unit 7/8, Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",01-09-2014,
,3550,"Unit 9 (Ground Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",01-09-2014,
,2425,"Unit 9 (1st Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",01-09-2014,
,10750,"34 Bull Green, Halifax, HX1 5AB",01-09-2014,
,1500,"Unit 9 (2nd Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",01-09-2014,
,14250,"Units 10,10a &11, Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",01-09-2014,
Kino & Co,830,"Office H M 2.9, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",01-04-2014,
Tesco Personal Finance Ltd,16500,"Atm Site At Tesco, Haugh Shaw Road, Halifax, HX1 3TU",01-04-2010,
Adhan Property Consultants Ltd,2950,"Unit 2, Salford Industrial Estate, Salford, Todmorden           OL14 7LF",01-04-2014,
,3900,"4/8 Bridge End, Brighouse, HD6 3DH",01-04-2014,
Tesco Personal Finance Ltd,11250,"Atm Site At Tesco, Sowerby Street, Sowerby Bridge, HX6 3AT",01-04-2010,
,14500,"8 Commercial Street, Halifax, HX1 1TA",10-07-2014,
Warmco Space Heating Ltd,1275,"Unit 4A Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",01-04-2014,
Warmco Space Heating Ltd,1225,"Unit 105, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",01-04-2014,
,1500,"Unit 6, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",01-04-2014,
Viewstone Ltd,1350,"Office 4, James Street Mills, South Lane, Elland               HX5 0HB",01-04-2014,
Bizspace Ltd,1950,"Unit 6G, Calderdale Business Park, Club Lane, Halifax              HX2 8DB",01-04-2014,
Viney Becks (Todmorden) Ltd,5000,"8 Rochdale Road, Todmorden, OL14 5AA",01-04-2014,
,2900,"216 Queens Road, Halifax, HX1 4NE",09-06-2014,
,2850,"10 West Street, Sowerby Bridge, HX6 3AN",13-01-2014,
Wood & Wire Made Ltd,7600,"Unit B Rear, Adj Windsor Works, Victoria Road, Hebden Bridge        HX7 8JX",01-07-2014,
Blackshaw Holdings Ltd,3300,"Cooper House, Cooper Lane, Shelf, Halifax              HX3 7RJ",13-03-2014,
,1650,"Unit 2 Owenshaw Mill, Old Cawsey, Sowerby Bridge, HX6 2AJ",02-06-2014,
Mosonic Ltd,4850,"Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",01-07-2013,
Mosonic Ltd,2500,"Unit 5A Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",01-07-2013,
Mosonic Ltd,2500,"Unit 5B Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",01-07-2013,
Tesco Personal Finance Ltd,11250,"Atm Site At Tesco, 25 Westgate House, Market Street, Halifax              HX1 1PD",01-04-2010,
,4900,"67 Hanson Lane, Halifax, HX1 5NX",01-09-2014,
Tdp Development Ltd,18000,"Office Suite D159, Dean Clough, Halifax, HX3 5AX",19-02-2014,
Calderdale Mbc,5800,"15 The Market Arcade, Halifax, HX1 1NX",21-06-2014,
J K Leisure Ltd,7200,"Unit 1C, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",01-07-2014,
Dean Clough Ltd,11500,"Crib Lane Level 3 Bottom, Dean Clough Mils, Halifax, HX3 5AX",24-12-2012,
Dean Clough Ltd,24500,"Car Pk-Crib LA.LEVEL2 Middle, Dean Clough Mills, Halifax, HX3 5AX",24-12-2012,
,2850,"Unit 4, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",28-07-2014,
,5300,"Unit 2 Brook Mills, Saddleworth Road, Greetland, Halifax              HX4 8LZ",01-07-2014,
Kgs Recruitment Service Ltd,2225,"Suite 5 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",05-01-2014,
Queensbury Van Hire Ltd,2250,"New Delight Works, Boothtown Road, Halifax, HX3 6TU",01-03-2014,
Brigantia Ltd,3450,"Unit 11 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",01-09-2014,
Prestige Aluminium & Glazing Ltd,10250,"Unit 5(1)&5(11) The Old Mill, Wellington Mills, Quebec Street, Elland               HX5 9AS",01-07-2014,
Royds Properties Ltd,8300,"Unit 5, Brookfield Works, Quebec Street, Elland               HX5 9AP",15-07-2014,
,4400,"64 Southgate, Elland, HX5 0PS",07-04-2014,
Made In The Valley Ltd,7600,"Unit A Front, Adj Windsor Works, Victoria Road, Hebden Bridge        HX7 8JX",01-07-2014,
,2550,"233 Queens Road, Halifax, HX1 4NJ",12-09-2014,
,4600,"Unit 55 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",04-09-2014,
,3000,"Unit 18, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",06-09-2012,
,3150,"61 Bradford Road, Brighouse, HD6 1RS",01-07-2014,
One Stop Stores Ltd,20750,"2 Granny Hall Lane, Brighouse, HD6 2JG",01-04-2010,
Tesco Personal Finance Ltd,8300,"Atm At, 2 Granny Hall Lane, Brighouse, HD6 2JG",01-04-2010,
Coal Pension Properties Ltd,76000,"3 Woolshops, Halifax, HX1 1RU",26-06-2014,
,7700,"Rear Part Unit H, Craven Edge Enterprise Cntr, Hopwood Lane, Halifax              HX1 5JH",01-08-2014,
Global Commercial Investments Ltd,3500,"Front Part Rear Unit H, Craven Edge Ent Centre, Hopwood Lane, Halifax              HX1 5JH",01-08-2014,
Global Commercial Investments Ltd,3400,"Front Part Unit H, Craven Edge Ent Centre, Hopwood Lane, Halifax              HX1 5JH",01-08-2014,
,3400,"Part Gf Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",01-04-2013,
Robins Butchers Ltd,6800,"Pt Gd Pt 1ST Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",28-08-2013,
Destination Sport & Entertainment Ltd,4200,"Unit 10 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",01-05-2014,
,2950,"Unit 36, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",01-06-2014,
Mey-Tech Ltd,140000,"Armytage House, Armytage Road, Brighouse, HD6 1QF",07-07-2014,
,1875,"6 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",01-04-2014,
,2500,"29 Highroad Well Lane, Halifax, HX2 0LY",01-04-2014,
Westfield Properties,1000,"27 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5PD",01-04-2014,
,2100,"Office 4, Church View Office Centre, Elland Road, Ripponden            HX6 4DB",01-03-2014,
Gorgemead Ltd,34000,"118 Savile Park Road, Halifax, HX1 2ES",01-09-2014,
Warmco Space Heating Ltd,3000,"Unit 2 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",01-04-2014,
,42750,"Unit G7 Navigation Close, Lowfields Business Park, Elland, HX5 9HB",07-09-2014,
Benjamin Whiteley & Sons Ltd,32250,"Unit 2 Park Road Mills, Park Road, Halifax, HX5 9HX",06-09-2014,
Benjamin Whiteley & Sons Ltd,40250,"Unit 1 Park Road Mills, Park Road, Halifax, HX5 9HX",06-09-2014,
,7500,"Clarence Brass Works, Aked's Road, Halifax, HX1 2TR",12-09-2014,
,5000,"Unit 13, Asquith Bottom Mills, Ridge Street, Sowerby Bridge       HX6 3BS",01-09-2014,
,2700,"Unit 14A, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",01-01-2012,
,2100,"Redacre, Red Acre Lane, Mytholmroyd, Hebden Bridge        HX7 5DQ",05-04-2014,
Shirt No Tie (Pub Co) Ltd,5000,"Sportsman Hotel, 50 Crown Street, Halifax, HX1 1JB",06-09-2014,
,3100,"Unit G3, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",01-07-2014,
La Romantica Beds Ltd,7200,"Unit 10/10A Brunswick Works, Brassey Street, Halifax, HX1 2EA",04-06-2014,
,3350,"230 Ovenden Way, Ovenden, Halifax, HX3 5NU",12-09-2014,
Speak Property Ltd,890,"Unit 3, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",01-06-2014,
Speak Property Ltd,1800,"Unit 1, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",01-06-2014,
Legal And General Assurance (Pensions Management) Ltd,92000,"1ST Floor Elant House, Unit A3 Old Power Way, Lowfields Business Park, Elland               HX5 9DE",15-09-2014,
Threadneedle Uk Property Trust,500000,"Unit J6 Lowfields Way, Lowfields Business Park, Elland, HX5 9DA",04-09-2014,
Virtex Marketing Ltd,9500,"Kershaw House, Luddenden Lane, Luddendenfoot, Halifax             HX2 6NW",01-04-2014,
Younger Homes (Northern) Ltd,2350,"Stand Lane, Brookfoot, Brighouse, HD6 2RG",16-06-2014,
Tia Greyhound & Lurcher Rescue,7600,"26 Halifax Road, Todmorden, OL14 5QG",01-12-2012,
Kino & Co,2450,"Office 3.6 & 3.9, 1ST Floor, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",02-08-2013,
,4200,"Elizabeth Street, Elland, HX5 0JH",01-09-2014,
,9500,"Second Floor, 18 Silver Street, Halifax, HX1 1HS",25-06-2014,
,9500,"First Floor, 18 Silver Street, Halifax, HX1 1HS",25-06-2014,
,3800,"Part 1ST Floor, 5 Clare Road, Halifax, HX1 2HX",08-07-2014,
Castledene Yorkshire Ltd,1950,"21 Roils Head Road, Halifax, HX2 0NQ",01-06-2014,
Ryburn Valley High School,540000,"Ryburn Valley High School, St Peter's Avenue, Sowerby Bridge, HX6 1DF",01-09-2014,
,27500,"Hough Mills, Bradford Road, Halifax, HX3 7BN",01-09-2014,
,9400,"106 Commercial Street, Brighouse, HD6 1AQ",01-08-2014,
,2900,"121 Halifax Road, Todmorden, OL14 5BE",01-04-2014,
,8100,"Unit 1 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",01-04-2010,
,5000,"Unit 2 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",01-04-2010,
,3100,"Unit 4 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",01-04-2010,
,3750,"Unit 3 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",01-08-2011,
,2150,"3 Battinson Road, Halifax, HX1 5PR",01-06-2014,
Associated Stone Masonry Ltd,5600,"Fossil Stone, Brookfoot Lane, Brighouse, HD6 2RA",01-06-2014,
,8900,"Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",30-01-2013,
McBrides Pub Company Ltd,7100,"Perry's Cafe Bar, 66 Rochdale Road, Halifax, HX2 7HB",10-12-2013,
,1075,"Unit 24, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",01-04-2014,
Polyframe Trade Ltd,52000,"The Maltings, Halifax Road, Elland, HX5 0SH",18-08-2014,
Kino & Co,1975,"Unit 10 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",30-07-2014,
Redtronic Ltd,7600,"Unit 4, Wellington Business Centre, Quebec Street, Elland               HX4 9AS",01-06-2014,
,3250,"Shay Lane Cafe, 213 Shay Lane, Halifax, HX2 9AD",01-07-2014,
,7200,"101 Wakefield Road, Lightcliffe, Halifax, HX3 8SH",01-08-2014,
,3800,"224 Queens Road, Halifax, HX1 4NE",01-08-2013,
,1900,"Office 20, 11 Owler Ings Road, Brighouse, HD6 1EJ",01-12-2013,
,4600,"Unit 12 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",16-06-2014,
,4950,"229 Bradford Road, Brighouse, HD6 4BN",14-04-2014,
,1525,"Unit C2, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",02-03-2013,
,2475,"3 Bridge Street, Todmorden, OL14 5AQ",17-04-2014,
HX2 Maintenance Services Ltd,5800,"30 Clare Road, Halifax, HX1 2HX",19-03-2014,
,2700,"Unit 14B, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",01-09-2014,
Tayfield Investing Ltd,29250,"Sandholme Mills, Commercial Street, Todmorden, OL14 5RG",20-09-2014,
Tayfield Investing Ltd,6400,"Stores Adj, Sandholme Mills, Commercial Street, Todmorden           OL14 5RG",20-09-2014,
Performance Glass Processing  Ltd,7100,"Unit 5, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",16-09-2014,
Tayfield Investing Ltd,700,"Car Park Adj Sandholme, Sawmill,  Key Sike Lane, Todmorden, OL14 5RF",20-09-2014,
,2475,"259/261 Shay Lane, Halifax, HX2 9AG",01-02-2013,
One Stop Stores Ltd,32250,"7/9 & 11 Bridge Street, Todmorden, OL14 5AQ",01-04-2010,
Tesco Personal Finance Ltd,11250,"Atm At, 7/9 & 11 Bridge Street, Todmorden, OL14 5AQ",01-04-2010,
Units To Let [Northern] Ltd,510,"Unit 31 First Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",01-11-2013,
2 Degree Field Ltd,2700,"276 Huddersfield Road, Halifax, HX3 0PF",01-11-2013,
,2325,"Ground Floor Rear, 355 Halifax Road, Todmorden, OL14 5SR",01-04-2014,
,2500,"Ground Floor Front, 355 Halifax Road, Todmorden, OL14 5SR",01-04-2014,
Ths Industrial Textiles Ltd,16750,"Workshop, Heathfield Business Park, Heathfield Street, Elland               HX5 9AU",15-09-2014,
Berford Properties Ltd,30250,"Unit C, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",02-09-2014,
,28250,"1 Shelf Mills, Wade House Road, Shelf, Halifax              HX3 7BJ",01-07-2014,
,2175,"5 Sandhall Lane, Highroadwell, Halifax, HX2 0DJ",31-10-2013,
,4350,"27a Boothtown Road, Halifax, HX3 6EU",01-04-2013,
,2400,"178 Boothtown Road, Halifax, HX3 6TU",05-05-2013,
,4250,"24 King Cross Street, Halifax, HX1 2SH",02-06-2014,
Bizspace Ltd,2750,"Unit 8H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",01-04-2014,
