Election year,Area Code,Constituency,Candidate name,Party,Description,Candidate Votes,Candidate rank,Percentage of vote,Total constituency votes,Winning party,Majority,Electorate,%Turnout
2010,B93,Hackney South and Shoreditch,Jane Tuckett,Ind,Independent,26,11,0.1,,,,,
2010,B93,Hackney South and Shoreditch,Michael Spinks,Ind,Independent,20,12,0.0,,,,,
2010,B98,Hammersmith,Andy Slaughter,Lab,Labour,20810,1,43.9,47452,Lab,3549,72335,65.6
2010,B98,Hammersmith,Shaun Bailey,Cons,Conservative,17261,2,36.4,,,,,
2010,B98,Hammersmith,Merlene Emerson,LibDem,Liberal Democrat,7567,3,15.9,,,,,
2010,B98,Hammersmith,Rollo Miles,Green,Green,696,4,1.5,,,,,
2010,B98,Hammersmith,Vanessa Crichton,UKIP,UK Independence Party,551,5,1.2,,,,,
2010,B98,Hammersmith,Lawrence Searle,BNP,British National Party,432,6,0.9,,,,,
2010,B98,Hammersmith,Stephen Brennan,Ind,Independent,135,7,0.3,,,,,
2010,B99,Hampstead and Kilburn,Glenda Jackson,Lab,Labour,17332,1,32.8,52822,Lab,42,79671,66.3
2010,B99,Hampstead and Kilburn,Chris Philp,Cons,Conservative,17290,2,32.7,,,,,
2010,B99,Hampstead and Kilburn,Edward Fordham,LibDem,Liberal Democrat,16491,3,31.2,,,,,
2010,B99,Hampstead and Kilburn,Bea Campbell,Green,Green,759,4,1.4,,,,,
2010,B99,Hampstead and Kilburn,Magnus Nielsen,UKIP,UK Independence Party,408,5,0.8,,,,,
2010,B99,Hampstead and Kilburn,Victoria Moore,BNP,British National Party,328,6,0.6,,,,,
2010,B99,Hampstead and Kilburn,Tamsin Omond,TOC,Tamsin Omond to the Commons,123,7,0.2,,,,,
2010,B99,Hampstead and Kilburn,Gene Alcantara,Ind,Independent,91,8,0.2,,,,,
2010,C04,Harrow East,Bob Blackman,Cons,Conservative,21435,1,44.7,48006,Cons,3403,71544,67.1
2010,C04,Harrow East,Tony McNulty,Lab,Labour,18032,2,37.6,,,,,
2010,C04,Harrow East,Nahid Boethe,LibDem,Liberal Democrat,6850,3,14.3,,,,,
2010,C04,Harrow East,Abhijit Pandya,UKIP,UK Independence Party,896,4,1.9,,,,,
2010,C04,Harrow East,Madeleine Atkins,Green,Green,793,5,1.7,,,,,
2010,C05,Harrow West,Gareth Thomas,Lab Co-op,Labour and Co-operative,20111,1,43.6,46116,Lab/Co-op,3143,68219,67.6
2010,C05,Harrow West,Rachel Joyce,Cons,Conservative,16968,2,36.8,,,,,
2010,C05,Harrow West,Christopher Noyce,LibDem,Liberal Democrat,7458,3,16.2,,,,,
2010,C05,Harrow West,Herbert Crossman,UKIP,UK Independence Party,954,4,2.1,,,,,
2010,C05,Harrow West,Rowan Langley,Green,Green,625,5,1.4,,,,,
2010,C10,Hayes and Harlington,John McDonnell,Lab,Labour,23377,1,54.8,42637,Lab,10824,70242,60.7
2010,C10,Hayes and Harlington,Scott Seaman-Digby,Cons,Conservative,12553,2,29.4,,,,,
2010,C10,Hayes and Harlington,Satnam Kaur Khalsa,LibDem,Liberal Democrat,3726,3,8.7,,,,,
2010,C10,Hayes and Harlington,Chris Forster,Ch P,Christian Party,1520,4,3.6,,,,,
2010,C10,Hayes and Harlington,Andrew Cripps,NF,National Front,566,5,1.3,,,,,
2010,C10,Hayes and Harlington,Cliff Dixon,ED,English Democrats,464,6,1.1,,,,,
2010,C10,Hayes and Harlington,Jessica Lee,Green,Green,348,7,0.8,,,,,
2010,C10,Hayes and Harlington,Aneel Shahzad,Ch P,Christian Party,83,8,0.2,,,,,
2010,C14,Hendon,Matthew Offord,Cons,Conservative,19635,1,42.3,46374,Cons,106,78867,58.8
2010,C14,Hendon,Andrew Dismore,Lab,Labour,19529,2,42.1,,,,,
2010,C14,Hendon,Matthew Harris,LibDem,Liberal Democrat,5734,3,12.4,,,,,
2010,C14,Hendon,Robin Lambert,UKIP,UK Independence Party,958,4,2.1,,,,,
2010,C14,Hendon,Andrew Newby,Green,Green,518,5,1.1,,,,,
2010,C23,Holborn and St. Pancras,Frank Dobson,Lab,Labour,25198,1,46.1,54649,Lab,9942,86882,62.9
2010,C23,Holborn and St. Pancras,Jo Shaw,LibDem,Liberal Democrat,15256,2,27.9,,,,,
2010,C23,Holborn and St. Pancras,George Lee,Cons,Conservative,11134,3,20.4,,,,,
2010,C23,Holborn and St. Pancras,Natalie Bennett,Green,Green,1480,4,2.7,,,,,
2010,C23,Holborn and St. Pancras,Robert Carlyle,BNP,British National Party,779,5,1.4,,,,,
2010,C23,Holborn and St. Pancras,Max Spencer,UKIP,UK Independence Party,587,6,1.1,,,,,
2010,C23,Holborn and St. Pancras,John Chapman,Ind,Independent,96,7,0.2,,,,,
2010,C23,Holborn and St. Pancras,Mikel Susperregi,ED,English Democrats,75,8,0.1,,,,,
2010,C23,Holborn and St. Pancras,Iain Meek,Ind,Independent,44,9,0.1,,,,,
2010,C24,Hornchurch and Upminster,Angela Watkinson,Cons,Conservative,27469,1,51.4,53390,Cons,16371,78515,68.0
2010,C24,Hornchurch and Upminster,Kath McGuirk,Lab,Labour,11098,2,20.8,,,,,
2010,C24,Hornchurch and Upminster,Karen Chilvers,LibDem,Liberal Democrat,7426,3,13.9,,,,,
2010,C24,Hornchurch and Upminster,William Whelpley,BNP,British National Party,3421,4,6.4,,,,,
2010,C24,Hornchurch and Upminster,Lawrence Webb,UKIP,UK Independence Party,2848,5,5.3,,,,,
2010,C24,Hornchurch and Upminster,Melanie Collins,Green,Green,542,6,1.0,,,,,
2010,C24,Hornchurch and Upminster,David Durant,Ind,Independent,305,7,0.6,,,,,
2010,C24,Hornchurch and Upminster,Johnson Olukotun,Ch P,Christian Party,281,8,0.5,,,,,
2010,C25,Hornsey and Wood Green,Lynne Featherstone,LibDem,Liberal Democrat,25595,1,46.5,55042,LibDem,6875,79887,68.9
2010,C25,Hornsey and Wood Green,Karen Jennings,Lab,Labour,18720,2,34.0,,,,,
2010,C25,Hornsey and Wood Green,Richard Merrin,Cons,Conservative,9174,3,16.7,,,,,
2010,C25,Hornsey and Wood Green,Pete McAskie,Green,Green,1261,4,2.3,,,,,
2010,C25,Hornsey and Wood Green,Stephane de Roche,Ind,Independent,201,5,0.4,,,,,
2010,C25,Hornsey and Wood Green,Rohen Kapur,Ind,Independent,91,6,0.2,,,,,
2010,C32,Ilford North,Lee Scott,Cons,Conservative,21506,1,45.8,46976,Cons,5404,72049,65.2
2010,C32,Ilford North,Sonia Klein,Lab,Labour,16102,2,34.3,,,,,
2010,C32,Ilford North,Alex Berhanu,LibDem,Liberal Democrat,5924,3,12.6,,,,,
2010,C32,Ilford North,Danny Warville,BNP,British National Party,1545,4,3.3,,,,,
2010,C32,Ilford North,Henri van der Stighelen,UKIP,UK Independence Party,871,5,1.9,,,,,
2010,C32,Ilford North,Caroline Allen,Green,Green,572,6,1.2,,,,,
2010,C32,Ilford North,Robert Hampson,CPA,Christian Peoples Alliance,456,7,1.0,,,,,
2010,C33,Ilford South,Mike Gapes,Lab Co-op,Labour and Co-operative,25311,1,49.4,51201,Lab/Co-op,11297,75296,68.0
2010,C33,Ilford South,Toby Boutle,Cons,Conservative,14014,2,27.4,,,,,
2010,C33,Ilford South,Anood Al-Samerai,LibDem,Liberal Democrat,8679,3,17.0,,,,,
2010,C33,Ilford South,Wilson Chowdhry,Green,Green,1319,4,2.6,,,,,
2010,C33,Ilford South,Terry Murray,UKIP,UK Independence Party,1132,5,2.2,,,,,
2010,C33,Ilford South,John Jestico,King George,Save King George Hospital,746,6,1.5,,,,,
2010,C36,Islington North,Jeremy Corbyn,Lab,Labour,24276,1,54.5,44554,Lab,12401,68125,65.4
2010,C36,Islington North,Rhodri Jamieson-Ball,LibDem,Liberal Democrat,11875,2,26.7,,,,,
2010,C36,Islington North,Adrian Berrill-Cox,Cons,Conservative,6339,3,14.2,,,,,
2010,C36,Islington North,Emma Dixon,Green,Green,1348,4,3.0,,,,,
2010,C36,Islington North,Dominic Lennon,UKIP,UK Independence Party,716,5,1.6,,,,,
2010,C37,Islington South and Finsbury,Emily Thornberry,Lab,Labour,18407,1,42.3,43555,Lab,3569,67632,64.4
2010,C37,Islington South and Finsbury,Bridget Fox,LibDem,Liberal Democrat,14838,2,34.1,,,,,
2010,C37,Islington South and Finsbury,Antonia Cox,Cons,Conservative,8449,3,19.4,,,,,
2010,C37,Islington South and Finsbury,James Humphreys,Green,Green,710,4,1.6,,,,,
2010,C37,Islington South and Finsbury,Rose-Marie McDonald,UKIP,UK Independence Party,701,5,1.6,,,,,
2010,C37,Islington South and Finsbury,John Dodds,ED,English Democrats,301,6,0.7,,,,,
2010,C37,Islington South and Finsbury,Richard Deboo,Animals,Animals Count,149,7,0.3,,,,,
2010,C41,Kensington,Sir Malcolm Rifkind,Cons,Conservative,17595,1,50.1,35150,Cons,8616,65947,53.3
2010,C41,Kensington,Sam Gurney,Lab,Labour,8979,2,25.5,,,,,
2010,C41,Kensington,Robin Meltzer,LibDem,Liberal Democrat,6872,3,19.6,,,,,
2010,C41,Kensington,Lady Caroline Pearson,UKIP,UK Independence Party,754,4,2.1,,,,,
2010,C41,Kensington,Zahra-Melan Ebrahimi-Fardouee,Green,Green,753,5,2.1,,,,,
2010,C41,Kensington,Eddie Adams,Green Soc,Alliance for Green Socialism,197,6,0.6,,,,,
2010,C43,Kingston and Surbiton,Edward Davey,LibDem,Liberal Democrat,28428,1,49.8,57111,LibDem,7560,81124,70.4
2010,C43,Kingston and Surbiton,Helen Whately,Cons,Conservative,20868,2,36.5,,,,,
2010,C43,Kingston and Surbiton,Max Freedman,Lab,Labour,5337,3,9.3,,,,,
2010,C43,Kingston and Surbiton,Jonathan Greensted,UKIP,UK Independence Party,1450,4,2.5,,,,,
2010,C43,Kingston and Surbiton,Chris Walker,Green,Green,555,5,1.0,,,,,
2010,C43,Kingston and Surbiton,Monkey the Drummer,MRL,Monster Raving Loony Party,247,6,0.4,,,,,
2010,C43,Kingston and Surbiton,Anthony May,CPA,Christian Peoples Alliance,226,7,0.4,,,,,
2010,C60,Lewisham East,Heidi Alexander,Lab,Labour,17966,1,43.1,41719,Lab,6216,65907,63.3
2010,C60,Lewisham East,Pete Pattisson,LibDem,Liberal Democrat,11750,2,28.2,,,,,
2010,C60,Lewisham East,Jonathan Clamp,Cons,Conservative,9850,3,23.6,,,,,
2010,C60,Lewisham East,Roderick Reed,UKIP,UK Independence Party,771,4,1.8,,,,,
2010,C60,Lewisham East,Priscilla Cotterell,Green,Green,624,5,1.5,,,,,
2010,C60,Lewisham East,James Rose,ED,English Democrats,426,6,1.0,,,,,
2010,C60,Lewisham East,George Hallam,CNBPG,Community Need Before Private Greed,332,7,0.8,,,,,
2010,C61,Lewisham West and Penge,Jim Dowd,Lab,Labour,18501,1,41.1,45028,Lab,5828,69061,65.2
2010,C61,Lewisham West and Penge,Alex Feakes,LibDem,Liberal Democrat,12673,2,28.1,,,,,
2010,C61,Lewisham West and Penge,Chris Phillips,Cons,Conservative,11489,3,25.5,,,,,
2010,C61,Lewisham West and Penge,Peter Staveley,UKIP,UK Independence Party,1117,4,2.5,,,,,
2010,C61,Lewisham West and Penge,Romayne Phoenix,Green,Green,931,5,2.1,,,,,
2010,C61,Lewisham West and Penge,Stephen Hammond,CPA,Christian Peoples Alliance,317,6,0.7,,,,,
2010,C62,"Lewisham, Deptford",Joan Ruddock,Lab,Labour,22132,1,53.7,41220,Lab,12499,67024,61.5
2010,C62,"Lewisham, Deptford",Tam Langley,LibDem,Liberal Democrat,9633,2,23.4,,,,,
2010,C62,"Lewisham, Deptford",Gemma Townsend,Cons,Conservative,5551,3,13.5,,,,,
2010,C62,"Lewisham, Deptford",Darren Johnson,Green,Green,2772,4,6.7,,,,,
2010,C62,"Lewisham, Deptford",Ian Page,Soc Alt,Socialist Alternative Party,645,5,1.6,,,,,
2010,C62,"Lewisham, Deptford",Malcolm Martin,CPA,Christian Peoples Alliance,487,6,1.2,,,,,
2010,C63,Leyton and Wanstead,John Cryer,Lab,Labour,17511,1,43.6,40159,Lab,6416,63543,63.2
2010,C63,Leyton and Wanstead,Farooq Qureshi,LibDem,Liberal Democrat,11095,2,27.6,,,,,
2010,C63,Leyton and Wanstead,Ed Northover,Cons,Conservative,8928,3,22.2,,,,,
2010,C63,Leyton and Wanstead,Graham Wood,UKIP,UK Independence Party,1080,4,2.7,,,,,
2010,C63,Leyton and Wanstead,Ashley Gunstock,Green,Green,562,5,1.4,,,,,
2010,C63,Leyton and Wanstead,Jim Clift,BNP,British National Party,561,6,1.4,,,,,
2010,C63,Leyton and Wanstead,Sonika Bhatti,Ch P,Christian Party,342,7,0.9,,,,,
2010,C63,Leyton and Wanstead,Martin Levin,Ind Fed,Independents Federation UK,80,8,0.2,,,,,
2010,C96,Mitcham and Morden,Siobhain McDonagh,Lab,Labour,24722,1,56.4,43797,Lab,13666,65369,67.0
2010,C96,Mitcham and Morden,Melanie Hampton,Cons,Conservative,11056,2,25.2,,,,,
2010,C96,Mitcham and Morden,Diana Coman,LibDem,Liberal Democrat,5202,3,11.9,,,,,
2010,C96,Mitcham and Morden,Tony Martin,BNP,British National Party,1386,4,3.2,,,,,
2010,C96,Mitcham and Morden,Andrew Mills,UKIP,UK Independence Party,857,5,2.0,,,,,
2010,C96,Mitcham and Morden,Smarajit Roy,Green,Green,381,6,0.9,,,,,
2010,C96,Mitcham and Morden,Rathy Alagaratnam,Ind,Independent,155,7,0.4,,,,,
2010,C96,Mitcham and Morden,Ernest Redgrave,Ind,Independent,38,8,0.1,,,,,
2010,D43,Old Bexley and Sidcup,James Brokenshire,Cons,Conservative,24625,1,54.1,45492,Cons,15857,65645,69.3
2010,D43,Old Bexley and Sidcup,Rick Everitt,Lab,Labour,8768,2,19.3,,,,,
2010,D43,Old Bexley and Sidcup,Duncan Borrowman,LibDem,Liberal Democrat,6996,3,15.4,,,,,
2010,D43,Old Bexley and Sidcup,John Brooks,BNP,British National Party,2132,4,4.7,,,,,
2010,D43,Old Bexley and Sidcup,David Coburn,UKIP,UK Independence Party,1532,5,3.4,,,,,
2010,D43,Old Bexley and Sidcup,Elaine Cheeseman,ED,English Democrats,520,6,1.1,,,,,
2010,D43,Old Bexley and Sidcup,John Hemming-Clark,Save QM,Independents to Save Queen Mary's Hospital,393,7,0.9,,,,,
2010,D43,Old Bexley and Sidcup,Jonathan Rooks,Green,Green,371,8,0.8,,,,,
2010,D43,Old Bexley and Sidcup,Napoleon Dynamite,MRL,Monster Raving Loony Party,155,9,0.3,,,,,
2010,D46,Orpington,Joseph Johnson,Cons,Conservative,29200,1,59.7,48911,Cons,17200,67744,72.2
2010,D46,Orpington,David McBride,LibDem,Liberal Democrat,12000,2,24.5,,,,,
2010,D46,Orpington,Stephen Morgan,Lab,Labour,4400,3,9.0,,,,,
2010,D46,Orpington,Mick Greenhough,UKIP,UK Independence Party,1360,4,2.8,,,,,
2010,D46,Orpington,Tess Culnane,BNP,British National Party,1241,5,2.5,,,,,
2010,D46,Orpington,Tamara Galloway,Green,Green,511,6,1.0,,,,,
2010,D46,Orpington,Chriss Snape,ED,English Democrats,199,7,0.4,,,,,
2010,D56,Poplar and Limehouse,Jim Fitzpatrick,Lab,Labour,18679,1,40.0,46700,Lab,6030,74960,62.3
2010,D56,Poplar and Limehouse,Tim Archer,Cons,Conservative,12649,2,27.1,,,,,
2010,D56,Poplar and Limehouse,George Galloway,Respect,Respect the Unity Coalition,8160,3,17.5,,,,,
2010,D56,Poplar and Limehouse,Jonathan Fryer,LibDem,Liberal Democrat,5209,4,11.2,,,,,
2010,D56,Poplar and Limehouse,Wayne Lochner,UKIP,UK Independence Party,565,5,1.2,,,,,
2010,D56,Poplar and Limehouse,Andrew Osborne,ED,English Democrats,470,6,1.0,,,,,
2010,D56,Poplar and Limehouse,Chris Smith,Green,Green,449,7,1.0,,,,,
2010,D56,Poplar and Limehouse,Kabir Mahmud,Ind,Independent,293,8,0.6,,,,,
2010,D56,Poplar and Limehouse,Mohammed Hoque,Ind,Independent,167,9,0.4,,,,,
2010,D56,Poplar and Limehouse,Jim Thornton,Ind,Independent,59,10,0.1,,,,,
2010,D61,Putney,Justine Greening,Cons,Conservative,21223,1,52.0,40785,Cons,10053,63331,64.4
2010,D61,Putney,Stuart King,Lab,Labour,11170,2,27.4,,,,,
2010,D61,Putney,James Sandbach,LibDem,Liberal Democrat,6907,3,16.9,,,,,
2010,D61,Putney,Bruce Mackenzie,Green,Green,591,4,1.4,,,,,
2010,D61,Putney,Peter Darby,BNP,British National Party,459,5,1.1,,,,,
2010,D61,Putney,Hugo Wareham,UKIP,UK Independence Party,435,6,1.1,,,,,
2010,D70,Richmond Park,Zac Goldsmith,Cons,Conservative,29461,1,49.7,59268,Cons,4091,77072,76.9
2010,D70,Richmond Park,Susan Kramer,LibDem,Liberal Democrat,25370,2,42.8,,,,,
2010,D70,Richmond Park,Eleanor Tunnicliffe,Lab,Labour,2979,3,5.0,,,,,
2010,D70,Richmond Park,Peter Dul,UKIP,UK Independence Party,669,4,1.1,,,,,
2010,D70,Richmond Park,James Page,Green,Green,572,5,1.0,,,,,
2010,D70,Richmond Park,Susan May,CPA,Christian Peoples Alliance,133,6,0.2,,,,,
2010,D70,Richmond Park,Charles Hill,Ind,Independent,84,7,0.1,,,,,
2010,D74,Romford,Andrew Rosindell,Cons,Conservative,26031,1,56.0,46481,Cons,16954,71181,65.3
2010,D74,Romford,Rachel Voller,Lab,Labour,9077,2,19.5,,,,,
2010,D74,Romford,Helen Duffett,LibDem,Liberal Democrat,5572,3,12.0,,,,,
2010,D74,Romford,Robert Bailey,BNP,British National Party,2438,4,5.2,,,,,
2010,D74,Romford,Gerard Batten,UKIP,UK Independence Party,2050,5,4.4,,,,,
2010,D74,Romford,Peter Thorogood,ED,English Democrats,603,6,1.3,,,,,
2010,D74,Romford,Gary Haines,Green,Green,447,7,1.0,,,,,
2010,D74,Romford,Philip Hyde,Ind,Independent,151,8,0.3,,,,,
2010,D74,Romford,David Sturman,Ind,Independent,112,9,0.2,,,,,
2010,D80,"Ruislip, Northwood and Pinner",Nick Hurd,Cons,Conservative,28866,1,57.5,50205,Cons,19060,70911,70.8
2010,D80,"Ruislip, Northwood and Pinner",Anita MacDonald,Lab,Labour,9806,2,19.5,,,,,
2010,D80,"Ruislip, Northwood and Pinner",Thomas Papworth,LibDem,Liberal Democrat,8345,3,16.6,,,,,
2010,D80,"Ruislip, Northwood and Pinner",Jason Pontey,UKIP,UK Independence Party,1351,4,2.7,,,,,
2010,D80,"Ruislip, Northwood and Pinner",Ian Edward,NF,National Front,899,5,1.8,,,,,
2010,D80,"Ruislip, Northwood and Pinner",Graham Lee,Green,Green,740,6,1.5,,,,,
2010,D80,"Ruislip, Northwood and Pinner",Ruby Akhtar,Ch P,Christian Party,198,7,0.4,,,,,
2010,E53,Streatham,Chuka Umunna,Lab,Labour,20037,1,42.8,46837,Lab,3259,74581,62.8
2010,E53,Streatham,Chris Nicholson,LibDem,Liberal Democrat,16778,2,35.8,,,,,
2010,E53,Streatham,Rahoul Bhansali,Cons,Conservative,8578,3,18.3,,,,,
2010,E53,Streatham,Rebecca Findlay,Green,Green,861,4,1.8,,,,,
2010,E53,Streatham,Geoffrey Macharia,Ch P,Christian Party,237,5,0.5,,,,,
2010,E53,Streatham,Janus Polenceus,ED,English Democrats,229,6,0.5,,,,,
2010,E53,Streatham,Paul Lepper,WRP,Workers' Revolutionary Party,117,7,0.2,,,,,
2010,E59,Sutton and Cheam,Paul Burstow,LibDem,Liberal Democrat,22156,1,45.7,48508,LibDem,1608,66632,72.8
2010,E59,Sutton and Cheam,Philippa Stroud,Cons,Conservative,20548,2,42.4,,,,,
2010,E59,Sutton and Cheam,Kathy Allen,Lab,Labour,3376,3,7.0,,,,,
2010,E59,Sutton and Cheam,John Clarke,BNP,British National Party,1014,4,2.1,,,,,
2010,E59,Sutton and Cheam,David Pickles,UKIP,UK Independence Party,950,5,2.0,,,,,
2010,E59,Sutton and Cheam,Peter Hickson,Green,Green,246,6,0.5,,,,,
2010,E59,Sutton and Cheam,John Dodds,ED,English Democrats,106,7,0.2,,,,,
2010,E59,Sutton and Cheam,Matthew Connolly,CPA,Christian Peoples Alliance,52,8,0.1,,,,,
2010,E59,Sutton and Cheam,Martin Cullip,Libertarian,Libertarian Party,41,9,0.1,,,,,
2010,E59,Sutton and Cheam,Brian Hammond,UK Integrity,Independents Federation UK-Honest Integrity Democracy,19,10,0.0,,,,,
2010,E73,Tooting,Sadiq Khan,Lab,Labour,22038,1,43.5,50655,Lab,2524,73841,68.6
2010,E73,Tooting,Mark Clarke,Cons,Conservative,19514,2,38.5,,,,,
2010,E73,Tooting,Nasser Butt,LibDem,Liberal Democrat,7509,3,14.8,,,,,
2010,E73,Tooting,Strachan McDonald,UKIP,UK Independence Party,624,4,1.2,,,,,
2010,E73,Tooting,Roy Vickery,Green,Green,609,5,1.2,,,,,
2010,E73,Tooting,Susan John-Richards,Ind,Independent,190,6,0.4,,,,,
2010,E73,Tooting,Shereen Paul,Ch P,Christian Party,171,7,0.3,,,,,
2010,E77,Tottenham,David Lammy,Lab,Labour,24128,1,59.3,40687,Lab,16931,69909,58.2
2010,E77,Tottenham,David Schmitz,LibDem,Liberal Democrat,7197,2,17.7,,,,,
2010,E77,Tottenham,Sean Sullivan,Cons,Conservative,6064,3,14.9,,,,,
2010,E77,Tottenham,Jenny Sutton,TUSC,Trade Unionist and Socialist Coalition,1057,4,2.6,,,,,
2010,E77,Tottenham,Anne Gray,Green,Green,980,5,2.4,,,,,
2010,E77,Tottenham,Winston McKenzie,UKIP,UK Independence Party,466,6,1.1,,,,,
2010,E77,Tottenham,Neville Watson,Ind People,Independent People Together,265,7,0.7,,,,,
2010,E77,Tottenham,Abimbola Kadara,Ch P,Christian Party,262,8,0.6,,,,,
2010,E77,Tottenham,Sheik Thompson,Ind,Independent,143,9,0.4,,,,,
2010,E77,Tottenham,Errol Carr,Ind,Independent,125,10,0.3,,,,,
2010,E80,Twickenham,Vince Cable,LibDem,Liberal Democrat,32483,1,54.4,59721,LibDem,12140,79841,74.8
2010,E80,Twickenham,Deborah Thomas,Cons,Conservative,20343,2,34.1,,,,,
2010,E80,Twickenham,Brian Tomlinson,Lab,Labour,4583,3,7.7,,,,,
2010,E80,Twickenham,Brian Gilbert,UKIP,UK Independence Party,868,4,1.5,,,,,
2010,E80,Twickenham,Steve Roest,Green,Green,674,5,1.1,,,,,
2010,E80,Twickenham,Chris Hurst,BNP,British National Party,654,6,1.1,,,,,
2010,E80,Twickenham,Harry Cole,R and E,Citizens for Undead Rights and Equality,76,7,0.1,,,,,
2010,E80,Twickenham,Paul Armstrong,Magna Carta,Magna Carta Party,40,8,0.1,,,,,
2010,E82,Uxbridge and South Ruislip,John Randall,Cons,Conservative,21758,1,48.3,45076,Cons,11216,71210,63.3
2010,E82,Uxbridge and South Ruislip,Sidharath Garg,Lab,Labour,10542,2,23.4,,,,,
2010,E82,Uxbridge and South Ruislip,Michael Cox,LibDem,Liberal Democrat,8995,3,20.0,,,,,
2010,E82,Uxbridge and South Ruislip,Dianne Neal,BNP,British National Party,1396,4,3.1,,,,,
2010,E82,Uxbridge and South Ruislip,Mark Wadsworth,UKIP,UK Independence Party,1234,5,2.7,,,,,
2010,E82,Uxbridge and South Ruislip,Mike Harling,Green,Green,477,6,1.1,,,,,
2010,E82,Uxbridge and South Ruislip,Roger Cooper,ED,English Democrats,403,7,0.9,,,,,
2010,E82,Uxbridge and South Ruislip,Francis Mcallister,NF,National Front,271,8,0.6,,,,,
2010,E83,Vauxhall,Kate Hoey,Lab,Labour,21498,1,49.8,43191,Lab,10651,74854,57.7
2010,E83,Vauxhall,Caroline Pidgeon,LibDem,Liberal Democrat,10847,2,25.1,,,,,
2010,E83,Vauxhall,Glyn Chambers,Cons,Conservative,9301,3,21.5,,,,,
2010,E83,Vauxhall,Joseph Healy,Green,Green,708,4,1.6,,,,,
2010,E83,Vauxhall,Jose Navarro,ED,English Democrats,289,5,0.7,,,,,
2010,E83,Vauxhall,Lana Martin,Ch P,Christian Party,200,6,0.5,,,,,
2010,E83,Vauxhall,Daniel Lambert,Soc,Socialist Party,143,7,0.3,,,,,
2010,E83,Vauxhall,Jeremy Drinkall,WP,Workers' Party,109,8,0.3,,,,,
2010,E83,Vauxhall,James Kapetanos,APP,Animal Protection Party,96,9,0.2,,,,,
2010,E88,Walthamstow,Stella Creasy,Lab,Labour,21252,1,51.8,40994,Lab,9478,64659,63.4
2010,E88,Walthamstow,Farid Ahmed,LibDem,Liberal Democrat,11774,2,28.7,,,,,
2010,E88,Walthamstow,Andy Hemsted,Cons,Conservative,5734,3,14.0,,,,,
2010,E88,Walthamstow,Judith Chisholm-Benli,UKIP,UK Independence Party,823,4,2.0,,,,,
2010,E88,Walthamstow,Daniel Perrett,Green,Green,767,5,1.9,,,,,
2010,E88,Walthamstow,Nancy Taaffe,TUSC,Trade Unionist and Socialist Coalition,279,6,0.7,,,,,
2010,E88,Walthamstow,Ashar Mall,Ch P,Christian Party,248,7,0.6,,,,,
2010,E88,Walthamstow,Paul Warburton,Ind,Independent,117,8,0.3,,,,,
2010,F08,West Ham,Lyn Brown,Lab,Labour,29422,1,62.7,46951,Lab,22534,84596,55.5
2010,F08,West Ham,Virginia Morris,Cons,Conservative,6888,2,14.7,,,,,
2010,F08,West Ham,Martin Pierce,LibDem,Liberal Democrat,5392,3,11.5,,,,,
2010,F08,West Ham,Stan Gain,CPA,Christian Peoples Alliance,1327,4,2.8,,,,,
2010,F08,West Ham,Kamran Malik,Ind,Independent,1245,5,2.7,,,,,
2010,F08,West Ham,Michael Davidson,NF,National Front,1089,6,2.3,,,,,
2010,F08,West Ham,Kim Gandy,UKIP,UK Independence Party,766,7,1.6,,,,,
2010,F08,West Ham,Jane Lithgow,Green,Green,645,8,1.4,,,,,
2010,F08,West Ham,Grace Agbogun-Toko,Ind,Independent,177,9,0.4,,,,,
2010,F12,Westminster North,Karen Buck,Lab,Labour,17377,1,43.9,39598,Lab,2126,66776,59.3
2010,F12,Westminster North,Joanne Cash,Cons,Conservative,15251,2,38.5,,,,,
2010,F12,Westminster North,Mark Blackburn,LibDem,Liberal Democrat,5513,3,13.9,,,,,
2010,F12,Westminster North,Tristan Smith,Green,Green,478,4,1.2,,,,,
2010,F12,Westminster North,Stephen Curry,BNP,British National Party,334,5,0.8,,,,,
2010,F12,Westminster North,Jasna Badzak,UKIP,UK Independence Party,315,6,0.8,,,,,
2010,F12,Westminster North,Dr Ali Bahaijoub,Ind,Independent,101,7,0.3,,,,,
2010,F12,Westminster North,Edward Roseman,ED,English Democrats,99,8,0.3,,,,,
2010,F12,Westminster North,Gabriela Fajardo,Ch P,Christian Party,98,9,0.2,,,,,
2010,F12,Westminster North,Abby Dharamsey,Ind,Independent,32,10,0.1,,,,,
2010,F16,Wimbledon,Stephen Hammond,Cons,Conservative,23257,1,49.1,47395,Cons,11408,64925,73.0
2010,F16,Wimbledon,Shas Sheehan,LibDem,Liberal Democrat,11849,2,25.0,,,,,
2010,F16,Wimbledon,Andrew Judge,Lab,Labour,10550,3,22.3,,,,,
2010,F16,Wimbledon,Mark McAleer,UKIP,UK Independence Party,914,4,1.9,,,,,
2010,F16,Wimbledon,Rajeev Thacker,Green,Green,590,5,1.2,,,,,
2010,F16,Wimbledon,David Martin,Ch P,Christian Party,235,6,0.5,,,,,
2005,11,Barking,Rt. Hon. Mrs. M.E. Hodge,Lab,Labour,13826,1,47.8,28906,Lab,8883,57658,50.1
2005,11,Barking,K.A. Prince,Cons,Conservative,4943,2,17.1,,,,,
2005,11,Barking,R.J. Barnbrook,BNP,British National Party,4916,3,17.0,,,,,
