Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,01/02/2014,C H W LODGINGS LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£3,985.71"
Rochdale BC,04/02/2014,C H W LODGINGS LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,£611.10
Rochdale BC,17/02/2014,C H W LODGINGS LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,"£3,600.00"
Rochdale BC,10/02/2014,CALL THE COMPANY LTD,Unclassifiable,ECONOMY AND ENVIRONMENT,PIF DRAKE ST. IMPS 200K 10/11,"£4,950.00"
Rochdale BC,11/02/2014,CAPITA BUSINESS SERVICES LIMITED,Human Resources,FINANCE SERVICES,TECHNICAL SUPPORT,"£4,164.44"
Rochdale BC,06/02/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,205.00"
Rochdale BC,06/02/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£720.00
Rochdale BC,06/02/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£560.00
Rochdale BC,06/02/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,216.00"
Rochdale BC,06/02/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,240.00"
Rochdale BC,07/02/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£9,770.80"
Rochdale BC,14/02/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£9,744.41"
Rochdale BC,27/02/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£9,784.80"
Rochdale BC,04/02/2014,CARE FACILITY MANAGEMENT,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£6,174.82"
Rochdale BC,27/02/2014,CARE QUALITY COMMISSION,Financial Services,LEARNING DIS & MENTAL HEALTH,HARELANDS RESPITE,£650.00
Rochdale BC,27/02/2014,CARE QUALITY COMMISSION,Financial Services,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,"£3,000.00"
Rochdale BC,27/02/2014,CARE QUALITY COMMISSION,Financial Services,LEARNING DIS & MENTAL HEALTH,SUPPORTED LIVING MANAGEMENT & ADMIN,£666.67
Rochdale BC,27/02/2014,CARE QUALITY COMMISSION,Financial Services,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,"£1,600.00"
Rochdale BC,27/02/2014,CARE QUALITY COMMISSION,Financial Services,PHYSICAL DIS & OLDER PEOPLE,WEST,£666.66
Rochdale BC,11/02/2014,CARE TODAY CHILDRENS SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£12,377.99"
Rochdale BC,26/02/2014,CARERS ASSOCIATION (RMHP),Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£4,000.00"
Rochdale BC,07/02/2014,CAREWEST (NORTHERN) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£6,625.51"
Rochdale BC,11/02/2014,CAREWEST (NORTHERN) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£36,426.84"
Rochdale BC,14/02/2014,CAREWEST (NORTHERN) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£6,782.64"
Rochdale BC,27/02/2014,CAREWEST (NORTHERN) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£6,773.30"
Rochdale BC,21/02/2014,CASTLEMERE COMMUNITY CENTRE,Unclassifiable,EARLY HELP AND SCHOOLS,CASTLEMERE CHILDRENS CENTRE,"£11,307.25"
Rochdale BC,10/02/2014,CASTLEMERE COMMUNITY CENTRE,Unclassifiable,CUSTOMERS & CORPORATE SERVICES,MEMBERS SMALL CAPITAL GRANTS,£750.00
Rochdale BC,07/02/2014,CASTLEROCK CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£3,949.97"
Rochdale BC,14/02/2014,CASTLEROCK CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£3,536.06"
Rochdale BC,27/02/2014,CASTLEROCK CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£3,913.43"
Rochdale BC,27/02/2014,CASTLEROYLE PRIVATE HIRE,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£5,113.00"
Rochdale BC,27/02/2014,CASTLETON HEALTH CENTRE,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£1,778.03"
Rochdale BC,19/02/2014,CATHOLIC CHILDRENS RESCUE SOCIETY,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,£760.00
Rochdale BC,04/02/2014,CHANCES,Unclassifiable,EARLY HELP AND SCHOOLS,LOOKED AFTER CHILDREN PUPIL PREMIUM,"£2,436.00"
Rochdale BC,06/02/2014,CHAUFFEUR TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,550.00"
Rochdale BC,27/02/2014,CHAUFFEUR TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,140.00"
Rochdale BC,25/02/2014,CHILD ACCIDENT PREVENTION TRUST,Financial Services,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT PREVENTIVE,"£1,600.00"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,370.01"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,538.34"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,228.34"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,184.01"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,861.67"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£2,905.63"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,228.34"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,631.34"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,184.01"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,268.33"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,268.33"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,268.33"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,587.01"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,423.33"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,124.20"
Rochdale BC,24/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,228.34"
Rochdale BC,01/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,YPST SUPPORTING PEOPLE FUNDING,"£5,666.67"
Rochdale BC,01/02/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,YPST SUPPORTING PEOPLE FUNDING,"£13,000.00"
Rochdale BC,24/02/2014,CHILDSCAPE,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,"£2,456.00"
Rochdale BC,26/02/2014,CITY OF BRADFORD MET DISTRICT COUNCIL,Public Bodies,PROPERTY AND HIGHWAYS,ST LTG MISC XMAS ILLUMINA,"£3,655.00"
Rochdale BC,11/02/2014,CLEWORTH ROAD PRE-SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£605.00
Rochdale BC,07/02/2014,CLOVER SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,"£11,670.48"
Rochdale BC,27/02/2014,CLOVER SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,"£5,265.00"
Rochdale BC,26/02/2014,CLOVER SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE DEMOLITIONS,"£4,621.50"
Rochdale BC,11/02/2014,CLOVERLEAF CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FAMILY LITERACY PROJECT,£690.00
Rochdale BC,05/02/2014,COACH OPTIONS LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,760.00"
Rochdale BC,26/02/2014,COMFORT CALL,Healthcare,LEARNING DIS & MENTAL HEALTH,GENERAL,£576.00
Rochdale BC,26/02/2014,COMFORT CALL,Healthcare,LEARNING DIS & MENTAL HEALTH,GENERAL,£984.00
Rochdale BC,07/02/2014,COMFORT CALL,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£12,249.02"
Rochdale BC,14/02/2014,COMFORT CALL,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£12,120.93"
Rochdale BC,27/02/2014,COMFORT CALL,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£12,103.06"
Rochdale BC,01/02/2014,COMMERCIAL BLINDS & GLAZING LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,NEW COUNCIL OFFICES,"£1,341.93"
Rochdale BC,18/02/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£569.41
Rochdale BC,18/02/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£606.97
Rochdale BC,18/02/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£555.20
Rochdale BC,18/02/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£563.32
Rochdale BC,07/02/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£3,364.52"
Rochdale BC,14/02/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£3,412.63"
Rochdale BC,27/02/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£3,215.72"
Rochdale BC,28/02/2014,COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,STREET LIGHTING UNITARY CHARGE,"£271,545.81"
Rochdale BC,24/02/2014,COMMUNITY PRODUCTS (UK) LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,WOODLAND CHILDRENS CENTRE,£920.00
Rochdale BC,17/02/2014,CONCATENO UK LTD,Environmental Services,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,"£2,360.00"
Rochdale BC,17/02/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£917.50
Rochdale BC,17/02/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£917.50
Rochdale BC,17/02/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£910.70
Rochdale BC,21/02/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£917.50
Rochdale BC,07/02/2014,CO-OPERATIVE BANK PLC,Financial Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£1,413.00"
Rochdale BC,01/02/2014,CORE ASSETS CHILDRENS SERVICES LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,£970.33
Rochdale BC,18/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,£751.20
Rochdale BC,21/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,"£1,270.07"
Rochdale BC,21/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,"£1,229.10"
Rochdale BC,21/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,"£1,270.07"
Rochdale BC,21/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,£614.55
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"£3,956.04"
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"£1,438.94"
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CHILDREN’S SOCIAL CARE,CONTACT OFFICERS,£658.11
Rochdale BC,18/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,£768.39
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"£1,807.17"
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,EMPLOYMENT LINKS CENTRE H,£528.89
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,LEARNING DIS & MENTAL HEALTH,GATEWAY,£714.58
Rochdale BC,18/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,GREAT HOWARTH HOSTEL,"£1,022.92"
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,HEALTH & SAFETY GENERAL,£762.40
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,HEYWOOD LIBRARY,£845.34
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,"£1,448.08"
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,LEOPOLD COURT,"£1,140.36"
Rochdale BC,18/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,"£1,206.66"
Rochdale BC,18/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,"£1,121.69"
Rochdale BC,19/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,"£1,034.71"
Rochdale BC,19/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,£718.05
Rochdale BC,19/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,"£1,176.03"
Rochdale BC,19/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,£534.84
Rochdale BC,19/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,"£1,207.92"
Rochdale BC,19/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,£868.78
Rochdale BC,19/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,£621.50
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,"£1,300.78"
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,£615.21
Rochdale BC,18/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,"£1,301.86"
Rochdale BC,18/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TELEGRAPH HOUSE SERVICE CHARGE ACCOUNT,"£3,846.33"
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TOWN HALL,"£6,082.78"
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CHILDREN’S SOCIAL CARE,TOWNHEAD,£947.63
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,"£1,433.84"
Rochdale BC,18/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,WHEATSHEAF LIBRARY,"£1,355.68"
Rochdale BC,20/02/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PHYSICAL DIS & OLDER PEOPLE,WOODCLOUGH,£655.83
Rochdale BC,10/02/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FAMILY LITERACY PROJECT,£720.00
Rochdale BC,11/02/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FAMILY LITERACY PROJECT,"£1,535.00"
Rochdale BC,17/02/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FAMILY LITERACY PROJECT,£895.00
Rochdale BC,17/02/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,PARENTING RESOURCES GENERAL,£540.00
Rochdale BC,11/02/2014,COZY CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£640.00
Rochdale BC,11/02/2014,COZY CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,152.00"
Rochdale BC,11/02/2014,COZY CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,152.00"
Rochdale BC,06/02/2014,CRICK SOFTWARE LIMITED,Information Communication Technology,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,"£6,517.50"
Rochdale BC,11/02/2014,CRIMBLE CROFT PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£605.00
Rochdale BC,28/02/2014,CROSSGATES PRIMARY SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,SCHOOL IMPROVEMENT INTERVENTION SUPPORT,"£6,600.00"
Rochdale BC,01/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,£540.00
Rochdale BC,01/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,"£2,689.88"
Rochdale BC,27/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,"£4,104.00"
Rochdale BC,27/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,£553.50
Rochdale BC,28/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,£513.00
Rochdale BC,05/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,"£1,188.73"
Rochdale BC,05/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,"£1,090.44"
Rochdale BC,07/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,£715.58
Rochdale BC,19/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,£867.83
Rochdale BC,11/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,196.69"
Rochdale BC,07/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,£978.05
Rochdale BC,14/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£1,483.32"
Rochdale BC,27/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£1,460.99"
Rochdale BC,01/02/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£3,341.67"
Rochdale BC,04/02/2014,CTRL M/C & M/C CHILDRENS UNI HOSP NHS TR,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£3,652.02"
Rochdale BC,20/02/2014,CTRL M/C & M/C CHILDRENS UNI HOSP NHS TR,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£29,901.00"
Rochdale BC,11/02/2014,CUTGATE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£660.00
Rochdale BC,05/02/2014,D K TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£3,078.00"
Rochdale BC,01/02/2014,D M WINDOWS AND DOORS LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,LOCK 50 (55K PA),"£1,140.00"
Rochdale BC,05/02/2014,D W TAYLOR                           (S),Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£1,385.00"
Rochdale BC,18/02/2014,D W TAYLOR                           (S),Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£3,400.00"
Rochdale BC,14/02/2014,DAISY COMMUNICATIONS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£1,955.97"
Rochdale BC,13/02/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£6,872.00"
Rochdale BC,27/02/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£11,640.00"
Rochdale BC,27/02/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£5,259.00"
Rochdale BC,03/02/2014,DALEPEAK LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£10,628.66"
Rochdale BC,03/02/2014,DALEPEAK LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£10,097.01"
Rochdale BC,11/02/2014,DB ROCHDALE LTD,Unclassifiable,LEARNING DIS & MENTAL HEALTH,GENERAL,£852.50
Rochdale BC,05/02/2014,DCT CIVIL ENGINEERING LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,Ashfield Valley playground subsidence,"£2,358.35"
Rochdale BC,17/02/2014,DEBONAIR LANGUAGES LTD,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT PREVENTIVE,£734.90
