organisation id,Effective Date,Service,Supplier Name,Date Paid,Net Amount (£),Purpose,Transaction ID
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/07/2015,1808,PERSONAL BUDGETS - MANAGED,V000918078
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,NEWBARN LTD,03/07/2015,1932.8,SUPPORTED LIVING,V000916429
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/07/2015,2028,SUPPORTED LIVING,V000916510
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/07/2015,2204.84,SUPPORTED LIVING,V000916450
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/07/2015,2912,SUPPORTED LIVING,V000916624
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/07/2015,3378.64,SUPPORTED LIVING,V000916523
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/07/2015,3666,INDIVIDUAL SERVICE FUND,V000916258
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,NEWBRAE REST HOME,03/07/2015,983.76,RESIDENTIAL LONG TERM,V000917481
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,NEWMARK CARE LTD,03/07/2015,3348,PERSONAL BUDGETS - MANAGED,V000918690
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,OAKLAND HOUSE CARE HOME,03/07/2015,1877.92,NURSING LONG TERM,V000917477
ROCHDALE BOROUGH COUNCIL,03/07/2015,ECONOMY AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,03/07/2015,3333.55,EQUIPMENT - GENERAL,V000915189
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES COM 5 LTD,03/07/2015,1018.4,RESIDENTIAL LONG TERM,V000917335
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES COM 5 LTD,03/07/2015,1018.4,RESIDENTIAL LONG TERM,V000917336
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES COM 5 LTD,03/07/2015,1018.4,RESIDENTIAL LONG TERM,V000917337
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,918.2,SELF - FUNDING DEFERRED PAYMENTS,V000918336
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,960.2,RESIDENTIAL LONG TERM,V000918269
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,971.6,RESIDENTIAL LONG TERM,V000917837
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,977.12,RESIDENTIAL LONG TERM,V000917707
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1068.88,RESIDENTIAL LONG TERM,V000918254
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1097.6,RESIDENTIAL LONG TERM,V000918324
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1099.76,RESIDENTIAL LONG TERM,V000917321
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1099.76,RESIDENTIAL LONG TERM,V000917867
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1099.76,SELF - FUNDING DEFERRED PAYMENTS,V000918060
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1099.76,RESIDENTIAL LONG TERM,V000918452
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1100.48,RESIDENTIAL LONG TERM,V000917895
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1111.76,RESIDENTIAL LONG TERM,V000917354
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1204.36,RESIDENTIAL LONG TERM,V000918651
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1240,RESIDENTIAL LONG TERM,V000918508
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1249.24,RESIDENTIAL LONG TERM,V000918532
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1264.2,RESIDENTIAL LONG TERM,V000918320
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,03/07/2015,1283.16,RESIDENTIAL LONG TERM,V000917311
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,03/07/2015,1283.16,RESIDENTIAL LONG TERM,V000917403
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,03/07/2015,1604.96,RESIDENTIAL LONG TERM,V000917729
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,PENDLE RESIDENTIAL CARE,03/07/2015,3220,RESIDENTIAL LONG TERM,V000918130
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,PENDLE RESIDENTIAL CARE,03/07/2015,3945.8,RESIDENTIAL LONG TERM,V000918364
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,03/07/2015,2758.8,INDIVIDUAL SERVICE FUND,V000916119
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,03/07/2015,3990,RESIDENTIAL LONG TERM,V000918133
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,03/07/2015,6743.8,RESIDENTIAL LONG TERM,V000917552
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,03/07/2015,6903.6,INDIVIDUAL SERVICE FUND,V000916107
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,-4111.8,INDIVIDUAL SERVICE FUND,V000916548
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,-4111.8,INDIVIDUAL SERVICE FUND,V000916549
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,-4111.8,INDIVIDUAL SERVICE FUND,V000916550
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,-4111.8,INDIVIDUAL SERVICE FUND,V000916551
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,-2961.58,INDIVIDUAL SERVICE FUND,V000916547
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,-1714.29,INDIVIDUAL SERVICE FUND,V000916546
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,-1395.44,PERSONAL BUDGETS - MANAGED,V000917748
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,-643.06,INDIVIDUAL SERVICE FUND,V000916449
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,508,INDIVIDUAL SERVICE FUND,V000916416
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,509.52,INDIVIDUAL SERVICE FUND,V000916458
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,509.52,PERSONAL BUDGETS - MANAGED,V000917536
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,509.52,PERSONAL BUDGETS - MANAGED,V000917551
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,509.52,PERSONAL BUDGETS - MANAGED,V000917826
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,514.8,INDIVIDUAL SERVICE FUND,V000916307
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,533.4,INDIVIDUAL SERVICE FUND,V000916614
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,537.4,PERSONAL BUDGETS - MANAGED,V000917882
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,03/07/2015,544,PERSONAL BUDGETS - MANAGED,V000917737
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,552,INDIVIDUAL SERVICE FUND,V000916497
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,558.8,INDIVIDUAL SERVICE FUND,V000916327
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,558.8,INDIVIDUAL SERVICE FUND,V000916443
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,558.8,INDIVIDUAL SERVICE FUND,V000916447
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,558.8,INDIVIDUAL SERVICE FUND,V000916581
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,558.8,INDIVIDUAL SERVICE FUND,V000916591
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,571.48,INDIVIDUAL SERVICE FUND,V000916310
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,597.04,INDIVIDUAL SERVICE FUND,V000916639
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,611.74,INDIVIDUAL SERVICE FUND,V000916482
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,612,INDIVIDUAL SERVICE FUND,V000916619
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,620.4,INDIVIDUAL SERVICE FUND,V000916322
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,620.4,INDIVIDUAL SERVICE FUND,V000916324
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,674.8,INDIVIDUAL SERVICE FUND,V000916570
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,679.4,INDIVIDUAL SERVICE FUND,V000916536
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,679.4,PERSONAL BUDGETS - MANAGED,V000917553
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,679.4,PERSONAL BUDGETS - MANAGED,V000917559
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,679.4,PERSONAL BUDGETS - MANAGED,V000917565
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,679.4,PERSONAL BUDGETS - MANAGED,V000917566
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,679.4,PERSONAL BUDGETS - MANAGED,V000917569
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,679.4,PERSONAL BUDGETS - MANAGED,V000917693
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,679.4,PERSONAL BUDGETS - MANAGED,V000917804
ROCHDALE BOROUGH COUNCIL,03/07/2015,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,03/07/2015,680,PERSONAL BUDGETS - MANAGED,V000917699
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,686.4,INDIVIDUAL SERVICE FUND,V000916423
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,697.08,PERSONAL BUDGETS - MANAGED,V000917558
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,711.2,INDIVIDUAL SERVICE FUND,V000916309
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,716.57,INDIVIDUAL SERVICE FUND,V000916652
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,739.2,INDIVIDUAL SERVICE FUND,V000916623
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,749.32,INDIVIDUAL SERVICE FUND,V000916530
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,755.96,INDIVIDUAL SERVICE FUND,V000916593
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,762,INDIVIDUAL SERVICE FUND,V000916432
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,762,INDIVIDUAL SERVICE FUND,V000916444
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,762,INDIVIDUAL SERVICE FUND,V000916452
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,780,INDIVIDUAL SERVICE FUND,V000916461
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,812.8,INDIVIDUAL SERVICE FUND,V000916424
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,813.68,INDIVIDUAL SERVICE FUND,V000916475
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,842.8,INDIVIDUAL SERVICE FUND,V000916411
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.2,INDIVIDUAL SERVICE FUND,V000916649
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.2,PERSONAL BUDGETS - MANAGED,V000917739
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916479
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916481
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916486
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916491
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916492
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916500
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916501
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916503
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916504
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916505
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916513
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916514
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,INDIVIDUAL SERVICE FUND,V000916642
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917277
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917432
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917479
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917546
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917547
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917548
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917571
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917578
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917632
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917655
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917721
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917787
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917793
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917795
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917796
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917803
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917840
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917855
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917870
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917877
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917880
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917886
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917918
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917925
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917971
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917972
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,849.24,PERSONAL BUDGETS - MANAGED,V000917990
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,876.96,INDIVIDUAL SERVICE FUND,V000916616
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,885.08,INDIVIDUAL SERVICE FUND,V000916605
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,966.44,PERSONAL BUDGETS - MANAGED,V000917434
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,966.48,PERSONAL BUDGETS - MANAGED,V000917672
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,966.48,PERSONAL BUDGETS - MANAGED,V000917970
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,989.16,INDIVIDUAL SERVICE FUND,V000916471
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,1012.2,INDIVIDUAL SERVICE FUND,V000916602
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,1025.04,PERSONAL BUDGETS - MANAGED,V000917625
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,1025.6,INDIVIDUAL SERVICE FUND,V000916436
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,1025.6,INDIVIDUAL SERVICE FUND,V000916437
ROCHDALE BOROUGH COUNCIL,03/07/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/07/2015,1045.68,PERSONAL BUDGETS - MANAGED,V000917816
