ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT £,PURPOSE,TRANSACTION NO
ROCHDALE BOROUGH COUNCIL,10/03/2017,PHYSICAL DIS & OLDER PEOPLE,AXON RESOURCING LIMITED,10/03/2017,4000.00 ,AGENCY STAFF,V001102408
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,509.52 ,INDIVIDUAL SERVICE FUND,V001102409
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1004.28 ,PERSONAL BUDGETS - MANAGED,V001102410
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,HF TRUST LTD,10/03/2017,1977.36 ,INDIVIDUAL SERVICE FUND,V001102411
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/03/2017,6957.44 ,INDIVIDUAL SERVICE FUND,V001102412
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,10/03/2017,1074.52 ,PERSONAL BUDGETS - MANAGED,V001102413
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,10/03/2017,1925.24 ,INDIVIDUAL SERVICE FUND,V001102414
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,CAMPHILL M K COMMUNITIES,10/03/2017,1997.52 ,INDIVIDUAL SERVICE FUND,V001102415
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1024.80 ,PERSONAL BUDGETS - MANAGED,V001102416
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,BURY MBC,10/03/2017,1098.80 ,PERSONAL BUDGETS - MANAGED,V001102417
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,10/03/2017,3550.24 ,INDIVIDUAL SERVICE FUND,V001102418
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,UNITED RESPONSE,10/03/2017,6488.72 ,SUPPORTED LIVING,V001102419
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,756.52 ,PERSONAL BUDGETS - MANAGED,V001102420
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/03/2017,3955.00 ,INDIVIDUAL SERVICE FUND,V001102421
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,4048.16 ,INDIVIDUAL SERVICE FUND,V001102422
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,WELLESLEY HOUSE,10/03/2017,4797.52 ,INDIVIDUAL SERVICE FUND,V001102423
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,6889.00 ,PERSONAL BUDGETS - MANAGED,V001102424
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,660.00 ,INDIVIDUAL SERVICE FUND,V001102425
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ASPIRATIONS CARE LTD,10/03/2017,4398.48 ,INDIVIDUAL SERVICE FUND,V001102426
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,10/03/2017,1080.00 ,PERSONAL BUDGETS - MANAGED,V001102427
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1464.00 ,PERSONAL BUDGETS - MANAGED,V001102429
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,10/03/2017,1080.00 ,PERSONAL BUDGETS - MANAGED,V001102430
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,651.08 ,INDIVIDUAL SERVICE FUND,V001102431
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,2301.60 ,PERSONAL BUDGETS - MANAGED,V001102432
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,723.24 ,PERSONAL BUDGETS - MANAGED,V001102434
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/03/2017,3341.60 ,INDIVIDUAL SERVICE FUND,V001102435
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,602.56 ,PERSONAL BUDGETS - MANAGED,V001102436
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ASPIRATIONS CARE LTD,10/03/2017,3998.96 ,INDIVIDUAL SERVICE FUND,V001102437
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,10/03/2017,1075.36 ,INDIVIDUAL SERVICE FUND,V001102439
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,849.24 ,PERSONAL BUDGETS - MANAGED,V001102441
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,1061.52 ,INDIVIDUAL SERVICE FUND,V001102442
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1435.20 ,PERSONAL BUDGETS - MANAGED,V001102443
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3107.24 ,INDIVIDUAL SERVICE FUND,V001102444
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,PETRUS,10/03/2017,918.00 ,SUPPORTED LIVING,V001102445
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1464.00 ,PERSONAL BUDGETS - MANAGED,V001102446
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,770.40 ,INDIVIDUAL SERVICE FUND,V001102449
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,10/03/2017,1080.00 ,PERSONAL BUDGETS - MANAGED,V001102450
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1004.32 ,PERSONAL BUDGETS - MANAGED,V001102451
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1456.00 ,PERSONAL BUDGETS - MANAGED,V001102453
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1092.00 ,PERSONAL BUDGETS - MANAGED,V001102454
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1514.80 ,PERSONAL BUDGETS - MANAGED,V001102456
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1004.32 ,PERSONAL BUDGETS - MANAGED,V001102457
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1148.16 ,PERSONAL BUDGETS - MANAGED,V001102458
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1435.20 ,PERSONAL BUDGETS - MANAGED,V001102459
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,596.52 ,INDIVIDUAL SERVICE FUND,V001102461
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1680.00 ,PERSONAL BUDGETS - MANAGED,V001102462
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,NEWMARK CARE LTD,10/03/2017,1593.00 ,PERSONAL BUDGETS - MANAGED,V001102463
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,10/03/2017,6903.60 ,INDIVIDUAL SERVICE FUND,V001102464
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1680.00 ,PERSONAL BUDGETS - MANAGED,V001102465
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,849.24 ,PERSONAL BUDGETS - MANAGED,V001102467
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3786.40 ,INDIVIDUAL SERVICE FUND,V001102469
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,631.52 ,PERSONAL BUDGETS - MANAGED,V001102470
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,789.40 ,PERSONAL BUDGETS - MANAGED,V001102471
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,1596.92 ,PERSONAL BUDGETS - MANAGED,V001102472
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,10/03/2017,1051.48 ,INDIVIDUAL SERVICE FUND,V001102473
ROCHDALE BOROUGH COUNCIL,10/03/2017,PHYSICAL DIS & OLDER PEOPLE,STEPPING STONES,10/03/2017,2212.72 ,SUPPORTED LIVING,V001102474
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,10/03/2017,1400.00 ,PERSONAL BUDGETS - MANAGED,V001102475
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,545.76 ,INDIVIDUAL SERVICE FUND,V001102476
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,1242.08 ,INDIVIDUAL SERVICE FUND,V001102477
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,10/03/2017,1195.20 ,INDIVIDUAL SERVICE FUND,V001102478
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,872.40 ,PERSONAL BUDGETS - MANAGED,V001102479
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,10/03/2017,-4638.20 ,INDIVIDUAL SERVICE FUND,V001102480
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,1722.65 ,PERSONAL BUDGETS - MANAGED,V001102481
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1134.88 ,PERSONAL BUDGETS - MANAGED,V001102482
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,7888.40 ,INDIVIDUAL SERVICE FUND,V001102483
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,10/03/2017,1309.52 ,INDIVIDUAL SERVICE FUND,V001102484
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,10/03/2017,1530.26 ,PERSONAL BUDGETS - MANAGED,V001102485
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,10/03/2017,760.00 ,PERSONAL BUDGETS - MANAGED,V001102486
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1635.59 ,PERSONAL BUDGETS - MANAGED,V001102487
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,-850.40 ,INDIVIDUAL SERVICE FUND,V001102489
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,-850.40 ,INDIVIDUAL SERVICE FUND,V001102490
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,-850.40 ,INDIVIDUAL SERVICE FUND,V001102491
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,-850.40 ,INDIVIDUAL SERVICE FUND,V001102492
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,-850.40 ,INDIVIDUAL SERVICE FUND,V001102493
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,990.01 ,INDIVIDUAL SERVICE FUND,V001102494
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/03/2017,6990.20 ,INDIVIDUAL SERVICE FUND,V001102495
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,509.52 ,PERSONAL BUDGETS - MANAGED,V001102496
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/03/2017,3650.64 ,INDIVIDUAL SERVICE FUND,V001102497
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,10/03/2017,1608.26 ,PERSONAL BUDGETS - MANAGED,V001102498
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,10/03/2017,1972.80 ,PERSONAL BUDGETS - MANAGED,V001102499
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,10/03/2017,818.40 ,PERSONAL BUDGETS - MANAGED,V001102500
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,10/03/2017,2500.76 ,PERSONAL BUDGETS - MANAGED,V001102501
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,4365.00 ,INDIVIDUAL SERVICE FUND,V001102511
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,6363.00 ,INDIVIDUAL SERVICE FUND,V001102512
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,6363.00 ,INDIVIDUAL SERVICE FUND,V001102513
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3699.00 ,PERSONAL BUDGETS - MANAGED,V001102514
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3699.00 ,PERSONAL BUDGETS - MANAGED,V001102515
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3699.00 ,PERSONAL BUDGETS - MANAGED,V001102516
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,576.27 ,PERSONAL BUDGETS - MANAGED,V001102517
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,10/03/2017,2775.33 ,INDIVIDUAL SERVICE FUND,V001102518
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,849.24 ,PERSONAL BUDGETS - MANAGED,V001102519
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,10/03/2017,2694.40 ,INDIVIDUAL SERVICE FUND,V001102520
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,849.24 ,PERSONAL BUDGETS - MANAGED,V001102521
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,2431.96 ,INDIVIDUAL SERVICE FUND,V001102522
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,4225.00 ,INDIVIDUAL SERVICE FUND,V001102523
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,2541.80 ,INDIVIDUAL SERVICE FUND,V001102524
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,4522.00 ,INDIVIDUAL SERVICE FUND,V001102525
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,4680.60 ,INDIVIDUAL SERVICE FUND,V001102526
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3641.75 ,PERSONAL BUDGETS - MANAGED,V001102527
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,-1249.88 ,PERSONAL BUDGETS - MANAGED,V001102528
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,-3181.50 ,PERSONAL BUDGETS - MANAGED,V001102529
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,-3181.50 ,PERSONAL BUDGETS - MANAGED,V001102530
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,-3181.50 ,PERSONAL BUDGETS - MANAGED,V001102531
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,-3181.50 ,PERSONAL BUDGETS - MANAGED,V001102532
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,-3181.50 ,PERSONAL BUDGETS - MANAGED,V001102533
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,-3181.50 ,PERSONAL BUDGETS - MANAGED,V001102534
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,1249.87 ,INDIVIDUAL SERVICE FUND,V001102535
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3181.48 ,INDIVIDUAL SERVICE FUND,V001102536
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3181.48 ,INDIVIDUAL SERVICE FUND,V001102537
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3181.48 ,INDIVIDUAL SERVICE FUND,V001102538
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3181.48 ,INDIVIDUAL SERVICE FUND,V001102539
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3181.48 ,INDIVIDUAL SERVICE FUND,V001102540
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3181.48 ,INDIVIDUAL SERVICE FUND,V001102541
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3181.48 ,INDIVIDUAL SERVICE FUND,V001102542
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,5870.20 ,INDIVIDUAL SERVICE FUND,V001102543
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,509.52 ,PERSONAL BUDGETS - MANAGED,V001102544
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3601.52 ,INDIVIDUAL SERVICE FUND,V001102545
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,1985.64 ,INDIVIDUAL SERVICE FUND,V001102546
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3892.00 ,INDIVIDUAL SERVICE FUND,V001102547
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,10/03/2017,3684.38 ,PERSONAL BUDGETS - MANAGED,V001102548
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,4317.04 ,INDIVIDUAL SERVICE FUND,V001102549
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,4891.00 ,PERSONAL BUDGETS - MANAGED,V001102550
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,10/03/2017,1743.00 ,INDIVIDUAL SERVICE FUND,V001102551
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,5022.50 ,PERSONAL BUDGETS - MANAGED,V001102552
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3681.60 ,INDIVIDUAL SERVICE FUND,V001102553
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3103.00 ,INDIVIDUAL SERVICE FUND,V001102554
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,4303.92 ,INDIVIDUAL SERVICE FUND,V001102555
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3922.56 ,INDIVIDUAL SERVICE FUND,V001102556
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3067.80 ,INDIVIDUAL SERVICE FUND,V001102557
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3067.80 ,INDIVIDUAL SERVICE FUND,V001102558
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,3080.96 ,INDIVIDUAL SERVICE FUND,V001102559
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,5995.60 ,INDIVIDUAL SERVICE FUND,V001102560
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,4838.40 ,INDIVIDUAL SERVICE FUND,V001102561
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,10/03/2017,5154.00 ,INDIVIDUAL SERVICE FUND,V001102562
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,10/03/2017,1745.58 ,INDIVIDUAL SERVICE FUND,V001102563
ROCHDALE BOROUGH COUNCIL,10/03/2017,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,10/03/2017,679.40 ,PERSONAL BUDGETS - MANAGED,V001102564
