Body name,Body,Service label,Service division label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00952,3569.67 ,R,BRAIN INJURY REHABILITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00953,4606.91 ,R,BRAIN INJURY REHABILITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00954,4983.96 ,R,BRAIN INJURY REHABILITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00955,4811.29 ,R,BRAIN INJURY REHABILITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00956,4458.30 ,R,BRAIN INJURY REHABILITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00957,4823.19 ,R,BRAIN INJURY REHABILITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00958,4656.09 ,R,BRAIN INJURY REHABILITATION TRUST
Leeds City Council as Accountable Body,http://statistics.data.gov.uk/doc/local-authority/00DA,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third party payments,Home Care,568,24/12/2010,1012-00959,1501.76 ,R,BRAIN INJURY REHABILLITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00960,807.50 ,R,BRAIN INJURY REHABILLITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00961,807.50 ,R,BRAIN INJURY REHABILLITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,24/12/2010,1012-00962,-474.89 ,R,BRAIN INJURY REHABILLITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,29/12/2010,1012-00963,4041.53 ,R,BRAIN INJURY REHABILLITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,29/12/2010,1012-00964,4606.91 ,R,BRAIN INJURY REHABILLITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People under 65 P/Dis,Third party payments,Home Care,568,29/12/2010,1012-00965,643.09 ,R,BRAIN INJURY REHABILLITATION TRUST
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Youth Justice,Supplies and services,Provisions,231,04/11/2010,1012-00966,933.48 ,R,brake bros ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Youth Justice,Supplies and services,Provisions,231,12/11/2010,1012-00967,1128.27 ,R,brake bros ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Youth Justice,Supplies and services,Provisions,231,22/11/2010,1012-00968,1157.14 ,R,brake bros ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Youth Justice,Supplies and services,Provisions,231,29/11/2010,1012-00969,1136.54 ,R,brake bros ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Libraries Arts and Heritage,Supplies and services,Provisions,231,30/11/2010,1012-00970,495.24 ,R,brake bros ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Food & Drink,231,03/12/2010,1012-00971,859.79 ,R,BRAKE BROS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Food & Drink,231,22/12/2010,1012-00972,545.07 ,R,BRAKE BROS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Food & Drink,231,22/12/2010,1012-00973,445.07 ,R,BRAKE BROS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Learning,Supplies and services,Other Hired And Contracted Services,265,17/12/2010,1012-00974,630.00 ,R,BRAMLEY ELDERLY ACTION
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Payments To Voluntary Organisations,561,31/12/2010,1012-00975,20842.25 ,R,BRAMLEY ELDERLY ACTION
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Payments To Voluntary Organisations,561,31/12/2010,1012-00976,17327.50 ,R,BRAMLEY ELDERLY ACTION
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Payments To Voluntary Organisations,561,31/12/2010,1012-00977,14206.75 ,R,BRAMLEY ELDERLY ACTION
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Payments To Voluntary Organisations,561,31/12/2010,1012-00978,6500.00 ,R,BRAMLEY ELDERLY ACTION
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Third party payments,Contact,548,24/12/2010,1012-00979,459.27 ,R,BRAMLEY FAMILY SUPPORT PROJECT
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Third party payments,Contact,548,29/12/2010,1012-00980,448.80 ,R,BRAMLEY FAMILY SUPPORT PROJECT
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Nursing Home,570,22/12/2010,1012-00981,36854.22 ,R,BRANDON HOUSE
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Residential,580,22/12/2010,1012-00982,1150.60 ,R,BRANDON HOUSE
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Licences,266,17/12/2010,1012-00983,2670.00 ,R,BRE Global Ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Insurance,Insurance,Supplies and services,Other Hired And Contracted Services,265,23/12/2010,1012-00984,7200.00 ,R,Brearleys Solicitors
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,22/12/2010,1012-00985,460.00 ,R,Brenntag Uk Limited
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,24/12/2010,1012-00986,460.00 ,R,Brenntag Uk Limited
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and services,Operational Furniture And Equipment,203,02/12/2010,1012-00987,4550.00 ,R,Brian G Hancock Ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Early Years Service,Third party payments,Services Rendered By Other Organisations,511,17/12/2010,1012-00988,18882.89 ,R,Bright Beginnings Childcare Centre
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Early Years Service,Third party payments,Services Rendered By Other Organisations,511,17/12/2010,1012-00989,3391.76 ,R,BRIGHT HORIZONS FAMILY SOLUTIONS
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Early Years Service,Third party payments,Services Rendered By Other Organisations,511,17/12/2010,1012-00990,3463.30 ,R,BRIGHT SKIES DAY NURSEY
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Early Years Service,Capital,OTHER COSTS,7,20/12/2010,1012-00991,3375.00 ,C,BRIGHT SKIES DAY NURSEY
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Early Years Service,Third party payments,Services Rendered By Voluntary Sector,505,17/12/2010,1012-00992,1221.34 ,R,BRIGHT SPARKS PRE-SCHOOL
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Residential Care Emi,571,22/12/2010,1012-00993,1208.96 ,R,BRIGSHAW HOUSE
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Residential,580,22/12/2010,1012-00994,1825.51 ,R,BRIGSHAW HOUSE
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Health and Environmental Action,Premises,Maintenance Of Buildings,101,21/12/2010,1012-00995,1597.50 ,R,Britannia Business Services Ltd
Aire Valley Homes Leeds ,http://statistics.data.gov.uk/doc/local-authority/00DA,Aire Valley Homes Leeds,Housing,Premises,General Maintenance,104,22/12/2010,1012-00996,475.00 ,R,Britannia Business Services Ltd
Aire Valley Homes Leeds ,http://statistics.data.gov.uk/doc/local-authority/00DA,Aire Valley Homes Leeds,Housing,Premises,General Maintenance,104,22/12/2010,1012-00997,895.00 ,R,Britannia Business Services Ltd
Aire Valley Homes Leeds ,http://statistics.data.gov.uk/doc/local-authority/00DA,Aire Valley Homes Leeds,Housing,Premises,General Maintenance,104,22/12/2010,1012-00998,525.00 ,R,Britannia Business Services Ltd
Aire Valley Homes Leeds ,http://statistics.data.gov.uk/doc/local-authority/00DA,Aire Valley Homes Leeds,Housing,Premises,General Maintenance,104,22/12/2010,1012-00999,492.50 ,R,Britannia Business Services Ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Transport,Vehicle Spares,345,03/12/2010,1012-01000,528.55 ,R,BRITANNIA COOLING LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Adults under 65 Mental/Dis,Third party payments,Residential,580,22/12/2010,1012-01001,2060.96 ,R,BRITANNIA NURSING HOME
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Social Services Support Services,Employees,Central Training,079,08/12/2010,1012-01002,885.00 ,R,BRITISH AGENCIES FOR ADOPTION &
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Other Childrens and Families Services,Third party payments,Adoptions - Allowances,560,16/12/2010,1012-01003,770.00 ,R,BRITISH AGENCIES FOR ADOPTION &
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Operational Materials,205,31/12/2010,1012-01004,981.50 ,R,BRITISH ELECTRICAL & MANUFACTURING
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,08/12/2010,1012-01005,2839.34 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,08/12/2010,1012-01006,31159.79 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,08/12/2010,1012-01007,3304.35 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,08/12/2010,1012-01008,12860.90 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,East North East,Capital,CONSTRUCTION,3,08/12/2010,1012-01009,42246.00 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,South South East,Capital,CONSTRUCTION,3,08/12/2010,1012-01010,5770.50 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Belle Isle,Capital,CONSTRUCTION,3,08/12/2010,1012-01011,3047.00 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Belle Isle,Capital,CONSTRUCTION,3,08/12/2010,1012-01012,3031.00 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,14/12/2010,1012-01013,3037.50 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,14/12/2010,1012-01014,13211.10 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,14/12/2010,1012-01015,9792.99 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,14/12/2010,1012-01016,2986.13 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,East North East,Capital,CONSTRUCTION,3,14/12/2010,1012-01017,15171.00 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,South South East,Capital,CONSTRUCTION,3,14/12/2010,1012-01018,18461.00 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,20/12/2010,1012-01019,6858.24 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,20/12/2010,1012-01020,3334.23 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,20/12/2010,1012-01021,3263.98 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,East North East,Capital,CONSTRUCTION,3,20/12/2010,1012-01022,15277.00 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,East North East,Capital,CONSTRUCTION,3,20/12/2010,1012-01023,48223.00 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,South South East,Capital,CONSTRUCTION,3,20/12/2010,1012-01024,9614.00 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,South South East,Capital,CONSTRUCTION,3,21/12/2010,1012-01025,26043.90 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Belle Isle,Capital,CONSTRUCTION,3,23/12/2010,1012-01026,3125.00 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,29/12/2010,1012-01027,2834.10 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,29/12/2010,1012-01028,3295.44 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,West North West,Capital,CONSTRUCTION,3,29/12/2010,1012-01029,6547.88 ,C,BRITISH GAS SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Asset Management Services,Premises,BUILDING MTCE,101,01/12/2010,1012-01030,774.42 ,R,BRITISH GAS TRADING LIMITED ELECTRICITY
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Asset Management Services,Premises,Gas,123,29/12/2010,1012-01031,2658.38 ,R,BRITISH GAS TRADING LIMITED ELECTRICITY
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Housing Services,Supplies and services,Telephones,213,09/12/2010,1012-01032,4898.03 ,R,BRITISH TELECOM BT/BACS
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Telephones,213,09/12/2010,1012-01033,615.26 ,R,BRITISH TELECOM BT/BACS
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Information Technology,Supplies and services,Telephones,213,17/12/2010,1012-01034,62435.47 ,R,BRITISH TELECOM BT/BACS
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Support Services,Supplies and services,Telephones,213,17/12/2010,1012-01035,27650.20 ,R,BRITISH TELECOM BT/BACS
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Information Technology,Supplies and services,Telephones,213,17/12/2010,1012-01036,67324.07 ,R,BRITISH TELECOM BT/BACS
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Insurance,Insurance,Supplies and services,Insurance Claims,248,23/12/2010,1012-01037,1279.10 ,R,British Telecommunications Plc
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Other Education Services Managed By E.L.,Primary Schools,Capital,CONSTRUCTION,3,10/12/2010,1012-01038,78241.72 ,C,Britspace Modular Buildings Limited
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Other Education Services Managed By E.L.,Primary Schools,Capital,CONSTRUCTION,3,13/12/2010,1012-01039,178440.09 ,C,Britspace Modular Buildings Limited
Leeds City Council as Accountable Body,http://statistics.data.gov.uk/doc/local-authority/00DA,Social Services Pooled Budgets,Leeds Community Equip Store Pooled Budgt,Supplies and services,Other Equipment,203,02/12/2010,1012-01040,2273.75 ,R,BROOK MILLER MOBILITY LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Streetscene Environmental Services,Employees,Agency Staff,008,01/12/2010,1012-01041,637.50 ,R,BROOK STREET (UK) LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Streetscene Environmental Services,Employees,Agency Staff,008,03/12/2010,1012-01042,439.30 ,R,BROOK STREET (UK) LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Streetscene Environmental Services,Employees,Agency Staff,008,03/12/2010,1012-01043,518.13 ,R,BROOK STREET (UK) LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Residential Care Emi,571,22/12/2010,1012-01044,3707.36 ,R,BROOKLANDS RESIDENTIAL HOME
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Residential,580,22/12/2010,1012-01045,15500.36 ,R,BROOKLANDS RESIDENTIAL HOME
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Residential,580,22/12/2010,1012-01046,1282.36 ,R,Brookside
Leeds City Council as Accountable Body,http://statistics.data.gov.uk/doc/local-authority/00DA,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third party payments,Residential,580,09/12/2010,1012-01047,2040.00 ,R,BROOKVALE
Leeds City Council as Accountable Body,http://statistics.data.gov.uk/doc/local-authority/00DA,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third party payments,Residential,580,22/12/2010,1012-01048,2040.00 ,R,BROOKVALE (FOR THE MENTALLY
Leeds City Council as Accountable Body,http://statistics.data.gov.uk/doc/local-authority/00DA,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third party payments,Residential,580,22/12/2010,1012-01049,1850.72 ,R,BROTHERS OF CHARITY
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Early Years Service,Third party payments,Services Rendered By Voluntary Sector,505,17/12/2010,1012-01050,15842.65 ,R,BROWNBERRIE LANE PRE-SCHOOL
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Third party payments,Fostering - Placement Support,550,03/12/2010,1012-01051,17860.00 ,R,BROWNING HOUSE
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Third party payments,Fostering - Placement Support,550,03/12/2010,1012-01052,4080.00 ,R,BROWNING HOUSE
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Third party payments,Fostering - In house allowances,546,03/12/2010,1012-01053,5000.00 ,R,BROWNING HOUSE
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Third party payments,Fostering - Placement Support,550,06/12/2010,1012-01054,17850.00 ,R,BROWNING HOUSE
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Supplies and services,Provisions - General,231,24/11/2010,1012-01055,930.00 ,R,browns leeds
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Recreation,Supplies and services,Operational Materials,205,31/12/2010,1012-01056,583.00 ,R,BROXAP LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Corporate Property Management,Premises,Rents,141,03/12/2010,1012-01057,437.69 ,R,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Corporate Property Management,Premises,Rents,141,03/12/2010,1012-01058,1286.09 ,R,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Corporate Property Management,Premises,Rents,141,03/12/2010,1012-01059,1877.88 ,R,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Corporate Property Management,Premises,Rents,141,15/12/2010,1012-01060,1975.45 ,R,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Corporate Property Management,Premises,Rents,141,15/12/2010,1012-01061,1803.19 ,R,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,01/12/2010,1012-01062,521.10 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,01/12/2010,1012-01063,625.32 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01064,428.46 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01065,446.35 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01066,434.25 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01067,595.14 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01068,451.62 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01069,595.14 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01070,446.35 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01071,428.46 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01072,434.25 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,02/12/2010,1012-01073,434.25 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Employees,Agency Staff,008,08/12/2010,1012-01074,686.19 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,09/12/2010,1012-01075,486.36 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Employees,Agency Staff,008,09/12/2010,1012-01076,694.80 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Employees,Agency Staff,008,10/12/2010,1012-01077,594.94 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Employees,Agency Staff,008,13/12/2010,1012-01078,440.70 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Employees,Agency Staff,008,13/12/2010,1012-01079,426.01 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Employees,Agency Staff,008,13/12/2010,1012-01080,653.70 ,R,BS PROJECT SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Employees,Agency Staff,008,13/12/2010,1012-01081,668.39 ,R,BS PROJECT SERVICES LTD
