OrganisationLabel,OrganisationURI,EffectiveDate,Contract Title,Council,Description,Start Date,End Date,Review Date,Option To Extend,Available Extension,Estimated Total Contract Value,Irrecoverable VAT,Contact Details,Organisational Unit,Contract Reference,Category,Supplier Name,Company Registration/ Charity Commission No - Information not currently collected,Supplier Classification,Process Type
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Supply of High Resolution Telematics Data ,Leeds City Council,N/A,16/11/2016,,,,,"£8,333.00",,Gwyn Owen,CITY DEVELOPMENT,FL034842690332,,"THE FLOOW LTD, 4th Floor  Oxo House, 4 Joiner Street, SHEFFIELD, S3 8GW",,Other/Not known,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Waste Disposal,Leeds City Council,234-Recycling & Reuse Charges,04/11/2016,,,,,"£6,675.20",,Ravinder Sambhi,ENVIRONMENT & HOUSING,MA1852426782775,,"THE MALTINGS ORGANIC TREATMENT LTD, Turpin Lane, Common Lane South Milford, LEEDS, LS25 5AQ",,b) Micro,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,ICT Agency Staff,Leeds City Council,8-,25/11/2016,,,,,"£9,900.00",,Karen Finch,CENTRAL & CORPORATE,GE983542699GEN32454,,"TRIAD RESOURCING, 37 Sunningdale House, Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Complete Rebuild and Decorating for historic Tommy Gaskin Openlot Bowtop Caravan,Leeds City Council,277-Bought In Professional Services,02/11/2016,,,,,"£7,000.00",,Paul Cox,CITY DEVELOPMENT,VA962942676011,,"UK VARDO HERITAGE, Plas Y Graig    Iolyn Park, NULL, CONWY, LL32 8UX",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Painting Outdoor Market,Leeds City Council,101-Maintenance Of Buildings,07/11/2016,,,,,"£50,000.00",,Susan Burgess,CITY DEVELOPMENT,VA76184268148722,,"VADOR SECURITY SYSTEMS LIMITED, 113a Lowtown, Pudsey, LEEDS, LS28 9AZ",,b) Micro,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Supply of Straw,Leeds City Council,205-Operational Materials,18/11/2016,,,,,"£6,419.90",,Maria Akers,ENVIRONMENT & HOUSING,BA667642692783,,"W S BAYSTON AND SON LTD, Coldhill Farm, Aberford, LEEDS, LS25 3EE",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Partnership Agreement: WYPH and the Breeze Arts Foundation for NEET young people,Leeds City Council,265-Other Hired And Contracted Services,07/11/2016,,,,,"£8,500.00",,Sally Coe,CITY DEVELOPMENT,WE836342681FF164,,"WEST YORKSHIRE PLAYHOUSE, Playhouse Square, Quarry Hill, LEEDS, LS2 7UP",,c) Small,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,ArtForms - Office Rental,Leeds City Council,141-Rents,18/11/2016,,,,,"£22,208.33",,Paul Brennan,CHILDRENS SERVICES,LE037642692LCSI176,,"WHITE ROSE ACADEMIES TRUST, Leeds West Academy Finance Department, Intake Lane  Rodley, LEEDS, LS13 1DQ",,e) Large,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Home Care,Leeds City Council,580-Residential,16/11/2016,,,,,"£7,472.00",,Tony Bailey,ADULT SOCIAL CARE,ZZ32954269014NOV-11DEC,,"WILF WARD FAMILY TRUST, Westgate House    5 Westgate, NULL, PICKERING, YO18 8BA",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Signage,Leeds City Council,N/A,30/11/2016,,,,,"£103,752.00",,Phil Cole,CITY DEVELOPMENT,WO00254270486265,,"WOOD & WOOD SIGNS, Heron Road, Sowton Estate, EXETER, EX2 7LX",,Other/Not known,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Water supply,Leeds City Council,1-,30/11/2016,,,,,"£155,520.78",,Derek Prest,STRATEGIC ACCOUNTS,YO722442704800519795 OCT16,,"YORKSHIRE WATER, Po Box 52, Bradford, WEST YORKSHIRE, BD3 7YD",,e) Large,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Design & Visual Works for Shops,Leeds City Council,N/A,21/11/2016,,,,,"£64,793.00",,Chris Gomersall,CITY DEVELOPMENT,YO052342695SI-165,,"YOU & ME MEDIA LTD, Delph End, Delph House, Pudsey, LEEDS, LS28 8LJ",,Other/Not known,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Residential Care,Leeds City Council,580-Residential,16/11/2016,,,,,"£6,998.16",,Tony Bailey,JCS FOR PEOPLE WITH LEARNING DISABILITIE,ZZ33024269014NOV-11DEC,,"ZZSUNNYWELL CARE HOME, St Johns Road, Cudworth, BARNSLEY, S72 8DE",,Other/Not known,Non-influenceable
