PROPERTY_DESCRIPTION,PROPREF,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
Factory And Premises,56196760,"2ND Flr Unit 1, Wellington Mills, Quebec Street, Elland               HX5 9AS",Feral Studios Ltd,4100,01/04/2014,SBR
Factory and Premises,56220700,"South Lane, Elland, HX5 0HJ",Elland Metal Spinning Co Ltd,35750,01/04/1990,
Factory and Premises,56220817,"Unit 21, Woodman Works, South Lane, Elland               HX5 0PA",Mbe Glazing Systems Ltd,87000,01/02/2013,
Factory and Premises,56256700,"Upper Victoria Works, Whitwell Green Lane, Elland, HX5 9BJ",John Horsfall & Sons Ltd,76000,19/08/1996,
Factory and Premises,56264702,"Saville Bay, Wistons Lane, Elland, HX5 9DT",Eurotek Foundry Products Ltd,45500,12/12/1994,
Factory and Premises,64040714,"Talbot Works, Albert Road, Halifax, HX2 0DF",S & S Fab Tech Ltd,10500,01/04/1995,SBR
Factory And Premises,64124723,"Bailey Hall Road, Halifax, HX3 9HT",Nestle Uk Ltd,715000,23/12/2005,
Factory And Premises,64184707,"Beacon Hill Road, Halifax, HX3 6AQ",Aquaspersions Ltd,70500,05/07/1999,
Factory And Premises,64242831,"Units A B C D E F G H Pt J, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",Maramar Holdings Ltd,140000,12/06/2015,ER
Factory And Premises,64254723,"Units 10 & 12A-D, Black Brook Way, Stainland Road, Greetland            HX4 8ED",Performance Panels Ltd,48000,01/01/2009,
Factory and Premises,64376702,"Brow Mills, Brighouse Road, Hipperholme, Halifax              HX3 8EF",R.D Barrett [Small Tools] Ltd,12500,01/04/1990,SBR DRR
Factory and Premises,64376708,"Lightcliffe Factory, Brighouse Road, Hipperholme, Halifax             HX3 8DE",Crosslee Plc,540000,01/04/1990,
Factory And Premises,64376748,"Units 1/2 Hillcrest Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",North Dean Engineering Ltd,31250,01/12/2012,
Factory and Premises,64456714,"Witt House, Brookwoods Industrial Estate, Burrwood Way, Holywell Green       HX4 9BH",Pexa Ltd,53000,01/08/2015,
Factory and Premises,64812700,"Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",Kendalls Ices Ltd,7700,01/04/1990,SBR
Factory and Premises,64836705,"New Mill, Stainland, Halifax, HX4 9PY",Sonoco Board Mills Limited,305000,01/04/1990,
Factory and Premises,64852712,"Dunkirk Mills, Dunkirk Lane, Halifax, HX1 3TB",Vandalite Lighting Ltd,41500,04/10/2014,
Factory and Premises,65024700,"Ellistones Lane, Greetland, Halifax, HX4 8NH",Freudenberg Nonwovens Ltd,84000,01/04/1990,
Factory and Premises,65024703,"Ellistones Lane, Greetland, Halifax, HX4 8NH",Sia Fibral Ltd,332500,01/04/2012,
Factory and Premises,65164718,"Units 2-3 & 4, Mile Cross Works, Gibbet Street, Halifax              HX1 4JQ",Specialised Coatings Holdings Ltd,33500,03/04/2000,
Factory and Premises,65164848,"Mile Thorn Works, Gibbet Street, Halifax, HX1 4JR",Polyframe Trade Ltd,143000,03/07/2004,
Factory And Premises,65164890,"Atlas Works, Gibbet Street, Halifax, HX1 4DB",Ormandy Ltd,89500,01/04/2010,
Factory and Premises,65164896,"Philmar House, High Road Well Works, Gibbet Street, Halifax              HX2 0AR",Elland Steel Structures Ltd,209000,01/02/2012,
Factory And Premises,65192717,"Unit 2B, Grantham Works, Grantham Road, Halifax              HX3 6PL",James Garside & Son Ltd,13250,01/04/2010,SBR
Factory and Premises,65192721,"Unit 6, Grantham Works, Grantham Road, Halifax              HX3 6PL",James Garside & Son Ltd,19000,01/04/2010,
Factory and Premises,65192722,"Unit 7, Grantham Works, Grantham Road, Halifax              HX3 6PL",James Garside & Son Ltd,14000,01/04/2010,SBR
Factory and Premises,65224705,"Bankfield Works, Haley Hill, Halifax, HX3 6ED",Avena Carpets Ltd,31500,11/06/2014,
Factory and Premises,65248018,"18 Hall Street, Halifax, HX1 5BD",,4550,01/04/1990,SBR
Factory and Premises,65264701,"Aquarius Building, 190 Hanson Lane, Halifax, HX1 4SD",M.K Consultants [U.K] Ltd,89500,12/06/2012,
Factory and Premises,65344747,"The Focus Centre, Holdsworth Road, Holmfield, Halifax              HX3 6SN",Alliance Office Systems Ltd,60000,01/11/2004,
Factory and Premises,65344763,"Sidhil Business Park, Holmfield Industrial Estate, Holdsworth Road, Halifax              HX2 9TN",Advanced Processing Ltd,262500,01/04/2004,
Factory and Premises,65344764,"Sidhil Business Park, Holmfield Industrial Park, Holdsworth Road, Halifax              HX2 9TN",Siddall & Hilton Ltd,315000,01/08/2002,
Factory and Premises,65344780,"Holmfield Industrial Estate, Holdsworth Road, Holmfield, Halifax              HX2 9TN",Colourco Ltd,39750,01/04/2005,
Factory and Premises,65348701,"Holmfield Industrial Estate, Holmfield, Halifax, HX2 9TN",,138000,01/04/1990,
Factory And Premises,65348704,"Holmfield Industrial Estate, Holmfield, Halifax, HX2 9TN",Gower Furniture Ltd,407500,01/04/1990,
Factory and Premises,65356049,"49 Hope Street, Halifax, HX1 5BT",Holt Bros Hx Ltd,42250,01/04/1990,
Factory and Premises,65364705,"Kingston Mills, Hopwood Lane, Halifax, HX1 4EY",United Biscuits Ltd,118000,01/04/1993,
Factory and Premises,65596700,"Leafland Street, Halifax, HX1 4LX",William B Swift Ltd,16500,01/04/1990,SBR
Factory and Premises,65600700,"Lee Mills, Lee Bridge, Halifax, HX3 5AT",M R G Fabrications (Yorkshire) Ltd,11500,10/02/2014,SBR
Factory and Premises,65600702,"Unit 3, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",,17250,01/04/1990,EX
Factory and Premises,65600710,"Unit 11/12, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Haven Building & Maintenance Ltd,3750,27/09/2004,EX
Factory and Premises,65628700,"Lewis Street Mills, Halifax, HX1 5DJ",McAndrew (Textiles) Ltd,16500,01/09/2004,SBR
Factory and Premises,65652700,"Lister Lane, Halifax, HX1 5DN",,7000,11/04/2014,SBR
Factory and Premises,65708700,"Heights Mill, Wainstalls Road, Wainstalls Road, Wainstalls",Heights Design (Uk) Ltd,91500,01/04/1990,
Factory and Premises,68132710,"Old Lane Dye Works, Old Lane, Halifax, HX3 6TQ",Brittania Developments Ltd,67500,03/03/2008,EX
Factory and Premises,68224703,"Longfield Works, Parkinson Lane, Halifax, HX1 3UB",Metaldyne International [Uk] Ltd,44000,01/07/1997,
Factory and Premises,68224719,"Bay 33 Longfield Works, Parkinson Lane, Halifax, HX1 3UB",Renold Plc,48500,16/06/1996,
Factory and Premises,68224733,"West End Works, Parkinson Lane, Halifax, HX1 3UW",R E Dickie Ltd,56500,01/07/2005,
Factory and Premises,68236716,"Pellon Lane Saw Mills, Pellon Lane, Halifax, HX1 4PX",James Chambers Ltd,67000,01/04/1990,
Factory and Premises,68248709,"Siddal Hall Works, Phoebe Lane, Halifax, HX3 9AS",Seymour Engineering Ltd,9700,02/04/2004,SBR
Factory and Premises,68248726,"Units 2 & 2A, Phoebe Lane Ind Est, Halifax, HX3 9EX",A.B. Terratec Ltd,14250,18/12/2000,SBR
Factory and Premises,68248732,"Unit 16, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,4050,01/04/2000,SBR
Factory and Premises,68248737,"Units 19,19B & 20, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",Merit Projects Ltd,3700,02/06/2011,SBR
Factory and Premises,68248744,"Unit 17, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,1775,09/05/2014,SBR
Factory and Premises,68308774,"Unit 4A High Level Way, Queens Road, Halifax, HX1 4PN",Halifax Glass Co Ltd,43500,18/01/2010,
Factory And Premises,68308821,"Unit 6, Pellon Industrial Estate, Queens Road, Halifax              HX1 4PS",Halifax Sheet Metal & Ventilation Ltd,40500,08/05/2012,
Factory and Premises,68368700,"Reservoir Road, Pellon, Halifax, HX2 0ET",W G & R Engineering Services Ltd,9800,01/04/1990,SBR
Factory and Premises,68444704,"Brian Royd Mills, Saddleworth Road, Greetland, Halifax              HX4 8NF",Holmbridge Engineering Co Ltd,8300,01/04/1990,SBR
Factory and Premises,68526743,"Shaw Royd Works, Shaw Lane, Halifax, HX3 9HD",W.K.W Precision Engineering Co Ltd,56000,01/12/2008,
Factory And Premises,68532706,"Stainland Works, Holywell Green, Halifax, HX4 9BH",Solvay Solutions Uk Ltd,375000,01/04/2010,
Factory and Premises,68536713,"Fairfield Works, Shay Lane, Halifax, HX2 9AB",Craig Engineering [Uk] Ltd,9800,12/06/2009,SBR
Factory and Premises,68536739,"Unit 2, Drakes Industrial Estate, Shay Lane, Halifax             HX3 6RL",Yorkshire Cleaning Fabrics Ltd,47500,15/07/2014,
Factory and Premises,68576700,"Cinderhill Works, Siddal, Halifax, HX3 9JR",B W Recycling Ltd,19500,15/10/2015,
Factory and Premises,68884702,"Sunny Bank Bait Farm, Sunny Bank Lane, Southowram, Halifax             HX3 9TP",,11000,20/07/1993,SBR
Factory and Premises,68908700,"Swales Moor Mink Farm, Swales Moor Road, Halifax, HX3 6UF",Leo Sawrij Ltd,101000,01/04/1990,
Factory And Premises,69216736,"Witt House, 3 Shelf Mills, Wade House Road, Shelf                HX3 7BJ",Fan Systems Group Ltd,257500,28/02/2014,
Factory And Premises,69216738,"5 Shelf Mills, Wade House Road, Shelf, Halifax              HX3 7BJ",Drive Medical Ltd,193000,06/10/2015,ER
Factory and Premises,69240701,"Wakefield Road, Copley, Halifax, HX3 0TP",Copley Engineering Ltd,16000,01/04/1990,SBR
Factory and Premises,69252700,"Wallace Street, Halifax, HX1 3TZ",,15500,01/04/2015,ER
Factory and Premises,69300700,"Water Lane, Halifax, HX3 9HG",Hargreaves Foundry Ltd,105000,01/04/1990,
Factory and Premises,69308703,"Waterside Works, Waterside, Halifax, HX3 9HL",Brenntag Colours Limited Ltd,32000,01/04/1990,
Factory and Premises,69316706,"Garfield Works, Well Lane, Halifax, HX1 1SG",B & D Products (Halifax) Ltd,13250,01/04/1990,SBR
Factory and Premises,69352702,"West Lane, Southowram, Halifax, HX3 9TW",Marshalls Mono Ltd,104000,01/08/2013,
Factory and Premises,69388718,"Lumbrook Mill, Shelf, Halifax, HX3 7TY",M & S Engineering,15750,02/11/2005,SBR
Factory and Premises,76088725,"Unit 1, Green Hill Industrial Estate, Mytholmroyd, Hebden Bridge       HX7 5QF",Vale Upholstery Ltd,89000,01/04/1990,EX
Factory and Premises,76088732,"Unit 3, Green Hill Industrial Estate, Mytholmroyd, Hebden Bridge       HX7 5QF",Damika Ltd,28500,02/10/2010,
Factory and Premises,76088822,"Unit 1A, Moderna Business Park, Mytholmroyd, HX7 5QL",Drew Forsyth & Co,37500,01/04/2008,
Factory and Premises,76088852,"Unit 1B, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QL",Microsearch Laboratories Ltd,38500,01/01/2014,
Factory and Premises,76088872,"Unit 6, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,2000,14/01/2008,EX
Factory and Premises,76088876,"Unit 5, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,1825,14/01/2008,EX
Factory and Premises,76364705,"Melbourne Street, Hebden Bridge, HX7 6AP",,3000,19/04/2011,SBR
Factory and Premises,76444700,"Banksfield Clothing Works, Mytholmroyd, Hebden Bridge, HX7 5NR",Sutcliffe Farrar And Co Ltd,5900,01/04/1990,SBR
Factory And Premises,76468724,"Unit 1 Orchard Business Park, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",John Veitch Ltd,20250,19/11/2012,EX
Factory And Premises,76468728,"Calder Weaving Co Ltd, Scout Road, Mytholmroyd, HX7 5HZ",Calder Weaving Company Ltd,21000,01/12/2014,EX
Factory and Premises,77052704,"Rose Hill Mills, Beech Road, Sowerby Bridge, HX6 2JT",Rosehill Polymers Ltd,65500,01/04/1990,
Factory and Premises,77196700,"Chapel Field Works, Elland Road, Ripponden, Sowerby Bridge       HX6 4DB",Harry Travis (Rishworth) Ltd,16500,18/01/2008,SBR
Factory And Premises,77276732,"Hollins Mill, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",Swallow Architectural Coatings Limited,51500,31/03/2012,
Factory And Premises,77284705,"Valley Mill, Holmes Road, Sowerby Bridge, HX6 2AA",Dugdale Plc,78000,01/04/1990,
Factory and Premises,77284727,"Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",Denroyd Ltd,74500,01/04/2000,EX
Factory and Premises,77548703,"Stansfield Mill, Stansfield Mill Lane, Triangle, Sowerby Bridge      HX6 3LZ",,10500,29/01/1996,SBR
Factory and Premises,77552717,"Station Road, Sowerby Bridge, HX6 3AB",Lucy Zodion Ltd,61500,01/04/2005,
Factory and Premises,77624706,"Globe Works, Victoria Road, Sowerby Bridge, HX6 3AF",W P Eglin Ltd (In Administration),71000,09/09/2014,EX
Factory and Premises,77624709,"Victoria Road, Sowerby Bridge, HX6 3AQ",Marmerel Ltd,35250,03/08/2013,ER
Factory and Premises,77636704,"Stock Yard, Walton Street, Sowerby Bridge, HX6 1AN",Abram Pulman & Sons Ltd,68500,01/04/1990,EX
Factory And Premises,77636713,"Turntable Works, & Boundary Works, Walton Street, Sowerby Bridge       HX6 1AN",Stoneywood Ltd,92500,01/01/2007,EX
Factory And Premises,77636719,"Unit 1, Fielden Works, Walton Street, Sowerby Bridge       HX6 1AN",Hrs Hevac Ltd,53000,01/03/2012,
Factory and Premises,77644707,"Spring Bank Industrial Est, Watson Mill Lane, Sowerby Bridge, HX6 3BW",Rosehill Polymers Ltd,76500,01/10/2001,
Factory and Premises,77644720,"Spring Bank Mills, Watson Mill Lane, Sowerby Bridge, HX6 3BW",Aflex Hose Ltd,144000,19/10/1998,
Factory and Premises,77644721,"Unit B, Spring Bank Industrial Est., Watson Mill Lane, Sowerby Bridge      HX6 3BW",Rosehill Polymers Ltd,83500,31/01/2015,ER
Factory and Premises,77648700,"West End Mills, West Street, Sowerby Bridge, HX6 3AN",Fairbank Textiles Ltd,22750,01/04/2000,EX
Factory and Premises,78024701,"Stoneswood Mill, Bacup Road, Todmorden, OL14 7HG",P & M Services Ltd,10500,01/04/1990,ER
Factory and Premises,78076706,"Frostholme Mill, Burnley Road, Todmorden, OL14 7EE",Nathan Furniture Ltd,99000,26/10/2013,EX
Factory And Premises,78100703,"Sandholme Mills, Commercial Street, Todmorden, OL14 5RG",Tayfield Investments Ltd,29250,20/09/2014,ER
Factory and Premises,78104701,"Copperashouse Mill, Copperashouse Terrace, Todmorden, OL14 7PU",Copras Chemical Co Ltd,6200,01/04/1990,SBR
Factory and Premises,78124700,"Dean Royd Works, Deanroyd Road, Todmorden, OL14 6TT",J R Hall Ltd,14000,01/04/2014,SBR
Factory and Premises,78128700,"Der Street Mill, Der Street, Todmorden, OL14 5QT",N R Components Ltd,44500,01/04/1990,EX
Factory and Premises,78176700,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",,1600,17/09/2005,EX
Factory And Premises,78192825,"Perseverance Mill, Halifax Road, Todmorden, OL14 6EG",Cn Trading Llp,25250,05/05/2011,EX
Factory and Premises,78224701,"Woodbottom Mill, Todmorden, OL14 6PG",Ideal Boats Company Ltd,10000,06/06/2007,EX
Factory and Premises,78368700,"Caldervale Mill, Pudsey Road, Todmorden, OL14 8NJ",R J M Todmorden Ltd,6500,01/04/1990,SBR
Factory and Premises,78396700,"Rise Lane, Todmorden, OL14 7AA",Natural Endings Ltd,3750,01/12/2013,SBR
Factory and Premises,78400713,"Bottoms Mill, Rochdale Road, Todmorden, OL14 7UB",Gordon Rigg (Nurseries) Ltd,39500,29/03/2003,
Factory and Premises,78400731,"Unit 1b, Walsden Industrial Estate, Rochdale Road, Todmorden           OL14 6UD",Cadismoor Ltd,8500,01/04/1990,SBR
Factory and Premises,78400839,"The Old Fire Station, Rochdale Road, Todmorden, OL14 7NA",,3950,01/06/2009,SBR
Factory and Premises,78468700,"Stoodley Bridge Mill, Stoodley Lane, Todmorden, OL14 6HA",,18000,03/01/2002,EX
Factory and Premises,78472700,"Jubilee Mill, Strines Street, Todmorden, OL14 7TE",Gordon Rigg (Nurseries) Ltd,63500,01/01/1994,
Factory And Premises,78480700,"Kilnhurst Works, Summerfield Road, Todmorden, OL14 6AJ",Weir Warman Ltd,15250,01/04/1990,SBR
Factory and Premises,79020700,"Barlby Works, Lindley Moor Road, Huddersfield, HD3 3RW",John Fredericks Plastics Ltd,160000,04/01/1996,
"Factory,Reservoir and Premises",78192794,"Bridge Royd, Halifax Road, Todmorden, OL14 6DG",M Chapman & Sons (Textiles) Ltd,46500,01/04/2003,EX
Field Study Centre,65458702,"1ST Floor, 2 Jerusalem Farm, Jerusalem Lane, Midgley",Director Of Safer & Stronger Communities,5100,01/07/2011,SBR
Fire Proof Structure Housing Incinerator,77686001,"Land Adjacent To, 1 Rough Hey Wood, Triangle, Sowerby Bridge       HX6 3NB",,200,01/09/2007,SBR
Fire Station And Premises,29184707,"Rastrick Fire Station, Clough Lane, Rastrick, Brighouse            HD6 3QH",West Yorkshire Fire & Civil Defence Authority,54000,17/06/2015,
Fire Station And Premises,29296701,"Brighouse Fire Station, Halifax Road, Brighouse, HD6 2AH",,23000,01/04/1990,ER
Fire Station And Premises,56220704,"Elland Fire Station, South Lane, Elland, HX5 0HQ",Gouranga Properties Limited,30750,04/12/2015,ER
Fire Station And Premises,65484702,"Keighley Road, Halifax, HX2 9LL",West Yorkshire Fire & Civil Defence Authority,21750,01/04/1990,
Fire Station And Premises,68600700,"Fire Station, Skircoat Moor Road, Halifax, HX1 3JF",West Yorkshire Fire & Civil Defence Authority,87500,01/04/1990,
Fire Station And Premises,76088721,"Mytholmroyd Fire Station, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5DP",,13000,01/04/1990,SBR
Fire Station And Premises,78444705,"Fire Station, Stansfield Road, Todmorden, OL14 5DL",,29000,01/04/1990,
Fish Sales And Premises,68624703,"Jammy Fold Farm, Soil Hill, Halifax, HX2 9NT",,1200,01/04/2007,SBR
Fitness Studio and Premises,77408778,"Units 14 & 16, Ripponden Business Park, Oldham Road, Ripponden            HX6 4FF",H T Fitness Ltd,16500,04/07/2015,SBR
Flood Warning Siren and Premises,76552752,"Flood Warning Siren, Market Place, Valley Road, Hebden Bridge        HX7 7BZ",The Environment Agency,100,03/05/2007,SBR
Flood Warning Station and Premises,78400849,"Flood Warning Sign, Adjacent Morrisons, Rochdale Road, Todmorden           OL14 6LG",The Environment Agency,100,01/04/2010,SBR
Football Ground And Premises,56188700,"Club, Old Earth, Elland, HX5 9ES",Huddersfield Amateurs F.C,6300,01/04/1990,DOR SBR
Football Ground And Premises,68720707,"St Giles Road, Lightcliffe, Halifax, HX3 8BN",Brighouse Town A.F.C.,8400,01/04/2007,DOR SBR
Football Ground And Premises,78400806,"Bellholme Sports Ground, Rochdale Road, Todmorden, OL14 6UH",,5400,10/09/2000,DOR SBR
Function Hall and Premises,64188704,"Halifax Events Hall, Bedford Street, Halifax, HX1 5DL",,10500,01/08/2013,SBR
Function Room And Premises,64344723,"Unit 66 (2nd Floor), Bowers Mill, Branch Road, Barkisland          HX4 0AD",The Venue Halifax Ltd,13750,12/08/2011,SBR
Function Rooms And Premises,68736708,"11 St James Street, Halifax, HX1 5SU",The Studio Rooms,22000,01/04/2009,DOR
Function Venue and Premises,64242815,"Function Hall, Crossley Hse Function Venue, Hopwood Lane, Halifax              HX1 5ER",Crestell Ltd,22500,01/06/2013,
Funeral Home And Premises,68452310,"310 Salterhebble Hill, Halifax, HX3 0QT",Amanda Dalby Funeral Services Ltd,7700,01/07/2011,SBR DRR
Funeral Rooms and Premises,68572701,"Lower Lodge, Stoney Royd Cemetery, Siddal New Road, Halifax              HX3 9HR",Emotions Funeral Service Ltd,2750,14/10/2013,SBR
Galleries And Premises,64784801,"Unit T1, Dean Clough Industrial Park, Halifax, HX3 5WL",,15750,25/11/2002,DCR MCR
"Galleries, Shop, Theatre and Premises",64296744,"Design House Galleries, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Foundation,60000,01/04/2015,MCR
Gallery,78192802,"Studio Gallery, 40 Halifax Road, Todmorden, OL14 5QG",,1725,01/05/2006,EX
Garage,64188701,"Bedford Street, Halifax, HX1 5DL",,4150,01/04/1990,SBR
Garage,77632716,"Unit 1, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",,4550,05/04/2006,SBR
Garage And Premises,29020705,"Armytage Road, Brighouse, HD6 1PT",Eclipse Specialist Cars Ltd,10500,08/01/2014,SBR
Garage And Premises,29032719,"Atlas Mill Road, Brighouse, HD6 1ES",Sita [Uk] Ltd,13250,01/04/2010,SBR
Garage And Premises,29052007,"7 Birds Royd Lane, Brighouse, HD6 1LQ",,4050,01/04/1990,SBR
Garage And Premises,29092703,"Railway Arch No. 3, Bridge End, Brighouse, HD6 3DH",,2850,10/12/1996,SBR
Garage And Premises,29232702,"Units E & F, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",Alco Valves Group Ltd,7000,01/07/2011,SBR
Garage And Premises,29308703,"M62 Service Area, Hartshead Moor, Clifton, Brighouse           HD6 4JB",Stoneywood Ltd,5900,10/06/2003,SBR
Garage And Premises,29424727,"Garage, Mill Royd Street, Brighouse, HD3 1EY",Arrow Coach Travel Ltd,15750,07/09/2012,EX
Garage And Premises,29452707,"Unit 1 Bull Fold Garage, Owler Ings Road, Brighouse, HD6 1EJ",,4750,27/10/1994,SBR
Garage And Premises,29564700,"Thornhill Bridge Lane, Brighouse, HD6 4AW",,8100,13/08/1999,SBR
Garage And Premises,29608710,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",,5400,03/01/2008,SBR
Garage And Premises,56020011,"11 Briggate, Elland, HX5 9HG",,4000,09/04/1998,SBR
Garage And Premises,56032701,"Units 1 & 2, Catherine Street, Elland, HX5 0EZ",,3950,01/05/2010,SBR
Garage And Premises,56064700,"Dewsbury Road, Elland, HX5 9AY",,5000,01/04/1990,SBR
Garage And Premises,56088700,"W T Knowles & Sons Ltd (Tip), Elland Road, Elland, HX5 9JA",W T Knowles & Sons Ltd,14250,01/04/1990,SBR
Garage And Premises,56112700,"Gordon Street, Elland, HX5 0AG",,1750,01/04/2009,EX
Garage And Premises,56116712,"Woodside Garage, Halifax Road, Elland, HX5 0SH",,4500,01/04/1990,SBR
Garage And Premises,56116714,"Woodside Mills, Halifax Road, Elland, HX5 0SH",,2550,01/07/2005,SBR
Garage And Premises,56132740,"Unit 4 The Ainleys, Huddersfield Road, Elland, HX5 9JP",,2325,01/06/2005,SBR
Garage And Premises,56132821,"Unit 5 The Ainleys, Huddersfield Road, Elland, HX5 9JP",V B T Engineering Ltd,2325,01/04/2013,SBR
Garage And Premises,56132850,"Unit 2, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9AA",W J Road Markings Ltd,52000,01/06/2010,
Garage And Premises,56212708,"Garage & Premises, Exchange Mills, Saddleworth Road, Elland              HX5 0RY",,1525,21/05/2013,SBR
Garage And Premises,56220706,"S/O Fire Station, South Lane, Elland, HX5 0HQ",,3350,21/02/1993,SBR
Garage And Premises,56220725,"Unit 5 Woodman Works, South Lane, Elland, HX5 0PA",,1100,01/04/1990,SBR
Garage And Premises,64032700,"Unit 1, Akroyd Court, Halifax, HX3 6DG",Pennine Housing 2000,11500,30/01/2015,ER
Garage And Premises,64040706,"Unit 1 Moorlea Garage, Albert Road, Halifax, HX2 0DF",,2475,01/07/2008,SBR
Garage And Premises,64040736,"Cdk Motors, Albert Road, Halifax, HX2 0DF",,4550,01/02/2012,SBR
Garage And Premises,64068700,"Victoria Works, Allerton Place, Halifax, HX1 5JJ",,8100,01/04/1990,SBR
Garage And Premises,64176715,"Part B, Battinson Road Garage, Battinson Road, Halifax              HX1 4RP",,8500,01/03/2015,SBR DRR
Garage And Premises,64176717,"Battinson Road, Halifax, HX1 4PL",Calderdale Mbc Transport Division,101000,01/04/2007,
Garage And Premises,64188706,"Bedford Street Garage, 16a Bedford Street, Halifax, HX1 5DL",,2325,01/04/1997,SBR
Garage And Premises,64192006,"6 Bedford Street North, Halifax, HX1 5BH",Malcolm Taylor (Halifax) Ltd,4950,01/09/2006,SBR
Garage And Premises,64428700,"N/R 10 Brow Lane, Shelf, Halifax, HX3 7QJ",,2600,16/02/1998,SBR
Garage And Premises,64444700,"King Cross Garage, Burnley Road, Halifax, HX2 7JG",,3600,01/04/2009,SBR
Garage And Premises,64712701,"Adj 23 Rake Bank, Crag Lane, Wheatley, Halifax              HX2 8UA",,5400,01/04/2014,SBR
Garage And Premises,64744702,"Garage 6, Crossley Hill, Halifax, HX3 0PL",,2500,01/04/1990,SBR
Garage And Premises,64848702,"Unit A, Dundas Street, Halifax, HX1 3PQ",Cockroft Timber Ltd,7800,01/04/1990,SBR
Garage And Premises,65020705,"Unit 3, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",Crown Concrete Solutions Ltd,1975,10/04/2015,SBR
Garage And Premises,65020707,"Unit 5, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",,3150,20/11/2013,SBR
Garage And Premises,65020708,"Unit 6, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",,1500,01/04/2014,EX
Garage And Premises,65020712,"Unit 8, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",,4050,01/04/2015,SBR
Garage And Premises,65068702,"Farrar Mill Yard, Farrar Mill Lane, Halifax, HX3 9EU",,3400,04/01/2010,SBR
Garage And Premises,65168135,"135 Gibraltar Road, Halifax, HX1 3UH",,3400,01/02/2013,ER
Garage And Premises,65184700,"Godley Iron Works, Godley Branch Road, Halifax, HX3 6AH",,4800,01/10/2007,SBR
Garage And Premises,65208700,"Greenroyd, Mount Tabor, Halifax, HX2 0UE",,1125,01/04/1990,SBR
Garage And Premises,65232722,"Roydfield Garage, 32a Halifax Road, Hipperholme, Halifax             HX3 8HQ",,2025,27/01/2014,SBR
Garage And Premises,65264708,"Unit 4 Windsor Business Park, Hanson Lane, Halifax, HX1 4SD",,3950,20/10/2009,SBR
Garage And Premises,65288711,"Garage & Gen Nr Colonnade Hs, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Colonnade Insurance Brokers Ltd,1300,01/04/2005,SBR
Garage And Premises,65344709,"Popples Garage, Holdsworth Road, Holmfield, Halifax             HX2 9TH",,8600,01/04/2005,SBR
Garage And Premises,65364119,"119 Hopwood Lane, Halifax, HX1 4HB",,3200,01/02/2016,EX
Garage And Premises,65484706,"Moorside Garage, Keighley Road, Halifax, HX2 8AR",,5300,01/11/2013,SBR
Garage And Premises,65484715,"R/O Windy Ridge, Keighley Road, Halifax, HX2 8XT",,1050,01/06/2009,SBR
Garage And Premises,65560702,"Lambert Street Garage, Lambert Street, Greetland, Halifax              HX4 8AA",,13750,16/11/2005,SBR
Garage And Premises,65612707,"Leeds Road, Halifax, HX3 7AE",Holmeward Car Sales Ltd,6100,01/04/2000,SBR
Garage And Premises,65620701,"Knowle Garage, Leeds Road, Lightcliffe, Halifax             HX3 8SX",,3000,01/08/2014,SBR
Garage And Premises,68096702,"North Bridge, Northgate, Halifax, HX1 1XJ",Dews Motor Group Ltd,1575,17/09/2005,EX
Garage And Premises,68132704,"Atlas Garage, Old Lane, Halifax, HX3 6TF",,2225,01/04/1990,SBR
Garage And Premises,68232701,"Pear Street, Halifax, HX1 3UA",,1150,17/09/2005,EX
Garage And Premises,68232705,"49 Pear Street, Halifax, HX1 3UA",Anthony Porter,13750,01/04/1990,SBR
