RATEPAYER,RV,Property Address,LIABILITY_START
Scott Thompson (Architects) Ltd,12500,"Suite 1, Rimini House, Hall Street, Halifax             HX1 5BB",01-04-2014
,5000,"1st Floor, 238 Queens Road, Halifax, HX1 4NE",01-08-2014
24/7 Fitness Halifax Ltd,98000,"Units V1-V3., Dean Clough, Halifax, HX3 5AX",21-10-2014
Hawkhead Bray & Son Ltd,840,"First Floor Unit 5B, Phoebe Lane Industrial Est., Halifax, HX3 9EX",01-11-2014
,5800,"Unit 4, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",01-07-2014
Network Rail Ltd,850,"Railway Arch No 2, Bridge End, Brighouse, HD6 3DH",01-04-2006
Ererco Doors And Loading Bay Solutions Ltd,2950,"Unit 5, George Street, Elland, HX5 0NE",10-11-2014
,21750,"Unit 10a Station Ind. Park, Old Station Road, Luddendenfoot, Halifax             HX2 6AD",01-04-2013
,10750,"34 Bull Green, Halifax, HX1 5AB",01-01-2015
,750,"Unit 14 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",01-04-2014
Revilo Capital Ltd,1950,"Suite 8 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-10-2014
W O J B Ltd,6400,"Star Inn, 29 Bridge End, Brighouse, HD6 3DN",06-10-2014
Flower Of Life Ltd,13500,"Unit 2A Orchard Business Pk, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",17-05-2014
Happy Days Ministries Uk,4100,"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",11-11-2014
Inomed Health Ltd,1875,"Office 13 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",01-11-2014
Halifax Opportunities Trust,1375,"Office 38 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",01-11-2014
Drew Forsyth & Co,2650,"Unit 2A Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",01-01-2015
,7700,"Unit 2, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",01-01-2015
Halifax Opportunities Trust,1375,"Office 17 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",01-11-2014
Halifax Opportunities Trust,1425,"Office 19 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",01-11-2014
Wallis Cutts Ltd,5200,"Office 24 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",24-11-2014
,6600,"349 Skircoat Green Road, Halifax, HX3 0LX",01-01-2015
Halifax Opportunities Trust,5400,"Office 34 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",01-10-2014
Brunswick Properties (Hx) Ltd,3150,"Unit 3A, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EL",01-04-2014
Southdale Homes Ltd,7400,"Ground Floor, 18 Clare Road, Halifax, HX1 2JP",01-01-2015
Units To Let [Northern] Ltd,620,"Unit 3 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",01-11-2012
,9000,"207/207A King Cross Road, Halifax, HX1 3JL",23-12-2014
,1200,"Unit 17B, Mill House Works, Mill House Lane, Sowerby Bridge      HX6 3LN",05-05-2014
,770,"Unit 17B Mill House Works, Mill House Lane, Triangle, Sowerby Bridge      HX6 3LN",05-05-2014
,6200,"Unit B2, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",01-09-2014
,4350,"20 Carr House Road, Shelf, Halifax, HX3 7QY",20-12-2013
,10500,"4 Huddersfield Road, Brighouse, HD6 1JZ",22-12-2014
Polyframe Holdings Ltd,5700,"Unit 1A, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",16-04-2014
Polyframe Holdings Ltd,3150,"Unit 10, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",16-04-2014
Polyframe Holdings Ltd,10500,"Unit 1, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",16-04-2014
Polyframe Holdings Ltd,155000,"Units 2-9, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",16-04-2014
Bear Cafe Bar & Food Store Ltd,2200,"16 Water Street, Todmorden, OL14 5AB",01-10-2014
,960,"Second Floor, Old Town Mill, Wadsworth, Hebden Bridge       HX7 8SP",01-04-2014
,1650,"Unit 18 First Floor, Old Town Mill, Wadsworth, Hebden Bridge       HX7 8SP",01-04-2014
Drive Medical Ltd,1375,"Office 5, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",01-09-2014
,2550,"13 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",20-11-2014
,1300,"Unit D First Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",05-09-2013
,570,"Unit 16C, Asquith Bottom Works, Asquith Bottom, Sowerby Bridge       HX6 3BS",01-11-2014
,1375,"Unit 6, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",17-10-2014
,1350,"Unit 2 Asquith Bottom Works, Asquith Bottom, Ridge Street, Sowerby Bridge       HX6 3BS",01-04-2014
Thrum Hall Industrial Park Ltd,8700,"Unit 10, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",01-01-2015
,1525,"129 Hanson Lane, Halifax, HX1 4SD",15-09-2014
,3400,"32 Town Hall Street, Sowerby Bridge, HX6 2EA",01-11-2014
,5300,"9 Halifax Road, Todmorden, OL14 5AG",02-11-2014
Tia Greyhound & Lurcher Rescue,7800,"Unit 12C, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",01-11-2014
Heathleigh Ltd,5100,"Unit A Woodman Works, South Lane, Elland, HX5 0PA",01-10-2014
Heathleigh Ltd,2425,"Unit 2 Woodman Works, South Lane, Elland, HX5 0PA",01-10-2014
,12250,"17 Commercial Street, Brighouse, HD6 1AF",28-11-2014
Marie Curie Cancer Care,30000,"1 Corn Market, Halifax, HX1 1TH",01-03-2014
Popkidz Hx Ltd,2025,"First Floor Warehouse B, 43-51 Queens Road, Halifax, HX1 3NS",01-07-2014
Heathleigh Ltd,920,"Adj Unit 2 Woodman Works, South Lane, Elland, HX5 0PA",03-09-2013
Hunter Chemicals Ltd,2325,"Suite 4 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-12-2014
Craggs Country Business Park Llp,870,"Suite 9 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-12-2014
Water's Edge Nursery Ltd,30500,"Park Road, Elland, HX5 9HZ",01-12-2014
Thornber Chicks Ltd,5100,"Unit 1A Orchard Business Prk, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",01-01-2015
W P Eglin Ltd (In Administration),71000,"Globe Works, Victoria Road, Sowerby Bridge, HX6 3AF",09-09-2014
,10000,"47/49 Crown Street, Halifax, HX1 1JB",01-12-2014
,8600,"6 Rochdale Road, Todmorden, OL14 5AA",22-05-2013
Bizspace Ltd,9100,"Unit 4D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",01-11-2014
,1475,"Unit C1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",01-04-2014
C M Diesels Ltd,3450,"Unit 2 Riverside Terminal, Hoo Hole, Cragg Road, Hebden Bridge        HX7 5HB",30-09-2013
Thornber Chicks Ltd,2600,"Unit 4B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",01-11-2014
Northlight Art Studios Ltd,4650,"Unit 3, 38 Hangingroyd Lane, Hebden Bridge, HX7 7DD",01-01-2015
,3400,"Unit 10D, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RW",01-10-2014
,2900,"74 Huddersfield Road, Elland, HX5 9AA",06-01-2015
,5200,"19 King Cross Street, Halifax, HX1 2SH",01-01-2015
,5000,"284 Queens Road, Halifax, HX1 4NJ",01-07-2014
Beard Enterprises Ltd,11250,"Beard Enterprises, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",15-10-2014
,5500,"F'Mr W'House At Beard Ents, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",15-10-2014
Isdm Solutions Ltd,11000,"Office Suite G 437, Dean Clough Mills, Halifax, HX3 5AX",01-01-2015
Springvale Engineering Ltd,47000,"Unit 7 Springvale Works, Elland Road, Brighouse, HD6 2RN",01-11-2014
Islam Halifax Cic,4950,"First Floor Hope Mills, Hope Street, Halifax, HX1 5DW",03-06-2014
Halifax Opportunities Trust,10250,"Children's Centre, New Road Primary School, Sowerby New Road, Sowerby Bridge       HX6 1DY",01-07-2014
New Road J & I School,11750,"New Road Primary School, Sowerby New Road, Sowerby Bridge, HX6 1DY",01-07-2014
,3050,"Unit 10 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",01-01-2015
,3100,"15 Ovenden Road, Halifax, HX3 5PN",01-01-2015
,14500,"The Winterburn, 1 Winterburn Hill, Warley, Halifax              HX2 7SQ",09-07-2014
A & B Surface Markings Ltd,10000,"Unit 1, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",05-01-2015
Marrtree Investments Limited,5900,"Unit 2, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",05-01-2015
Blackshaw Holdings Ltd,6000,"Unit 4, Owler Ings Road, Brighouse, HD6 1EJ",01-11-2014
Marmerel Ltd,12000,"Unit 4 The Old Post Office, Station Road, Sowerby Bridge, HX6 3AQ",03-08-2013
,530,"Office 1G, Premier House, Holmes Road, Sowerby Bridge       HX6 3LD",05-01-2015
,1125,"Offices 6 & 7, Premier House, Holmes Road, Sowerby Bridge       HX6 3LD",05-01-2015
Calderdale Mbc Economy & Environment,34750,"42 Market Street, Halifax, HX1 1PB",06-10-2014
,13750,"Central Unit 2, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",01-01-2015
,2350,"13 Manor Drive, Halifax, HX3 0DN",06-01-2015
,1625,"Crown Buildings, 97 Halifax Road, Ripponden, HX6 4DA",01-07-2014
Vodafone Ltd,2250,"Vodafone (10067) Pico, Hartshead Services Westbound, Hartshead Moor, Brighouse            HD6 4JX",01-04-2010
Vodafone Ltd,2250,"Vodafone (10615) Pico, Hartshead Services Eastbound, Hartshead Moor, Brighouse            HD6 4JX",01-04-2010
Vodafone Ltd,2250,"Vodafone (69294) Pico, Marshalls Mono, West Lane, Southowram           HX3 9TW",01-04-2010
Vodafone Ltd,2250,"Vodafone (72590) Pico Nestle, Albion Mills, Halifax, HX3 9XT",01-04-2010
Tesco Personal Finance Ltd,5900,"Day & Nite Store, King Cross Road, Halifax, HX1 3JR",01-04-2014
A T C Properties Ltd,1200,"Suite 2A First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",10-01-2015
,1925,"Unit 1, Willows Industrial Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW",01-04-2013
Antha Ltd,2325,"Suite 5 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-10-2014
Craggs Country Business Park Llp,1075,"Suite 3 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-10-2014
Craggs Country Business Park Llp,870,"Suite 7 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-01-2015
Coal Pension Properties Ltd,76000,"3 Woolshops, Halifax, HX1 1RU",07-01-2015
Fusee Ltd,3100,"The Workshop, Godley Road, Halifax, HX3 6AH",08-12-2014
,2900,"Unit 1 R/O Hill Crest Garage, Burnley Road, Sowerby Bridge, HX6 2TL",01-03-2014
Valley Hall Developments Ltd,1550,"Suites 4/5, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",11-07-2014
Clinical Pilates Ltd,3800,"Fitness Suite, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",11-07-2014
Nest-Egg Developments Ltd,2000,"Offices 1/2, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",11-07-2014
,1275,"Suite 1, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",11-07-2014
,880,"Suite 2, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",11-07-2014
,830,"Suite 6, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",11-07-2014
,6250,"Shannon & Chesapeake Inn, 257 Halifax Road, Todmorden, OL14 5RX",16-07-2014
,4850,"69 Southgate, Elland, HX5 0DQ",01-04-2012
"R.S.P.C.A. Halifax, Huddersfield",18000,"Rspca, Queens Hall, Queens Road, Halifax              HX1 3NS",18-01-2013
"R.S.P.C.A. Halifax, Huddersfield",1950,"1ST Flr Rear, Queens Hall, Queens Road, Halifax              HX1 3NS",18-01-2013
Robin Wood Property Services,2550,"The Barn, First Floor, Robinwood Mill, Burnley Road, Todmorden           OL14 8JA",02-09-2013
,15250,"Unit 3, 148/150 Hanson Lane, Halifax, HX1 5PQ",01-11-2014
,1800,"Unit 12 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",01-11-2014
Calderdale Mbc,5700,"11 Town Hall Buildings, Elland, HX5 0EU",01-04-2014
Garden Street Publishing Ltd,2950,"Warehouse 2, Brittannia Works, Garden Street North, Halifax              HX3 6AE",01-04-2014
Developing Initiatives For Support In The Community,3100,"The Acorn Centre, 32 Burnley Road, Todmorden, OL14 5EZ",23-12-2014
Yorkshire Bar Doncaster Ltd,37000,"Rock Inn, Holywell Green, Halifax, HX4 9BS",10-10-2014
,2750,"Unit 8 Halifax Autocars, Shay Lane, Halifax, HX3 6QU",14-07-2014
Halifax Opportunities Trust,36500,"Schools & Children Services, Pt Jubilee Childrens Centre, Lightowler Road, Halifax              HX1 5NB",01-07-2014
Thornber Chicks Ltd,12500,"Unit 11B, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",01-08-2014
Greenbank Crane Services Ltd,10750,"Greenbank Storage, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",01-12-2014
,4300,"88 Wharf Street, Sowerby Bridge, HX6 2AF",03-11-2014
Enterprise Inns Plc,6600,"Cross Keys Inn, 649 Rochdale Road, Todmorden, OL14 6SX",19-01-2015
,2150,"Wilcroft Farm, Keighley Road, Pecket Well, Hebden Bridge        HX7 8QY",01-12-2014
,5300,"Unit 1 Brook Mills, Saddleworth Road, Greetland, Halifax              HX4 8LZ",01-04-2012
E.T.S Halifax Ltd,8300,"Unit 5, Brookfield Works, Quebec Street, Elland               HX5 9AP",09-11-2014
,110000,"Northern Timber Merchants, Gooder Lane, Brighouse, HD6 1HF",08-12-2014
S G S Technologies Ltd,1000,"27 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5PD",07-10-2013
Micheldever Tyre Services Plc,580000,"Micheldever Ndc, Lowfields Business Park, Elland, HX5 9HD",01-04-2011
,6000,"65/67 Southgate, Elland, HX5 0DQ",01-12-2014
,7800,"32 Bull Green, Halifax, HX1 5AB",01-11-2014
Calrec Audio Ltd,29750,"Nutclough Mill - Rear Exten, Unauthorised Address, Victoria Road, Hebden Bridge        HX7 8EZ",01-05-2014
S.I.T.A. (Uk) Ltd,19500,"Todmorden Household &, Waste Recycling Centre, Halifax Road, Todmorden           OL14 6DQ",23-12-2014
,1450,"Unit 16 Middle Floor, Old Fire Station, Rochdale Road, Todmorden           OL14 7NA",01-12-2013
,2650,"Unit 17, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",01-04-2010
John Newton Partnership Group Llp,9200,"Part Ground Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB",01-12-2014
Thornber Chicks Ltd,6000,"Unit 8F, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",01-03-2014
,6900,"22 West Park Street, Brighouse, HD6 1DU",01-01-2015
Aspire Developments Ltd,3650,"Office H M 2.14, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",01-01-2015
360 Pixie Ltd,3650,"Unit 4C, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",01-04-2014
,6600,"Unit 10B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",01-11-2014
,4250,"Empty, 98-100 Spring Hall Lane, Halifax, HX1 4TW",01-12-2014
St Michaels Pre School,5000,"St Michaels Pre School, Meadow Close, Shelf, Halifax              HX3 7QU",01-04-2010
Mount Pellon Primary Academy,59000,"Mount Pellon Primary Academy, Battinson Road, Halifax, HX1 4RG",01-04-2013
Speak Property Ltd,1375,"Unit 5, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",17-06-2014
Stercap Ltd,47500,"Carpet & Flooring Megastore, Wakefield Road, Brighouse, HD6 1QJ",20-12-2013
Taylors Trailers Ltd,16750,"Unit 4, Park Road Mills, Park Road, Elland               HX5 9HX",25-01-2015
C P Group Of Companies Ltd,57500,"British Ceramic Tile, George Street, Brighouse, HD6 1PU",01-01-2015
Wastecare Ltd,32250,"Unit 2 Park Road Mills, Park Road, Halifax, HX5 9HX",19-01-2015
Wastecare Ltd,40250,"Unit 1 Park Road Mills, Park Road, Halifax, HX5 9HX",01-12-2014
HX2 Maintenance Services Ltd,5900,"Unit E Greenbank Storage, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",01-12-2014
,3700,"Unit 8B, Topland Country Business Pk, Cragg Road, Hebden Bridge        HX7 5RU",01-06-2014
Setbray Properties Ltd,1375,"Unit 4 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",27-01-2015
Metropolis Interiors Ltd,21750,"Calder Weaving Co Ltd, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",01-12-2014
,4150,"Pack Horse Inn, Cain Lane, Southowram, Halifax             HX3 9SA",15-01-2015
H H Beaumont Trust,3050,"Crown Buildings, 99 Halifax Road, Ripponden, HX6 4DA",08-07-2013
Blackshaw Holdings Ltd,1975,"Unit 26 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",15-01-2014
Blackshaw Holdings Ltd,1975,"Unit 27 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",15-01-2014
Blackshaw Holdings Ltd,1600,"Unit 20 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",24-09-2014
Blackshaw Holdings Ltd,1800,"Unit 21 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",24-09-2014
Blackshaw Holdings Ltd,2000,"Unit 22 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",24-09-2014
Blackshaw Holdings Ltd,4000,"Unit 23 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",24-09-2014
,4850,"Unit 3 Atlas Works, Sedburgh Road, Halifax, HX3 9HB",01-06-2014
Andy Thornton Ltd,44750,"Victoria Mill, Stainland Road, Greetland, Halifax              HX4 8AD",30-09-2014
,9400,"Unit 4A, Lrp Business Park, Halifax Road, Hipperholme          HX3 8ER",10-09-2014
London & Scottish Property,14750,"67 Commercial Street, Brighouse, HD6 1AF",03-02-2015
"R.S.P.C.A. Halifax, Huddersfield",20250,"53 Commercial Street, Brighouse, HD6 1AF",02-02-2015
,13250,"Units 2,3 & 9, 32 Huddersfield Road, Brighouse, HD6 1HA",04-10-2014
,2300,"Pavilion, Calder Holmes Park, Holme Street, Hebden Bridge        HX7 8EE",01-04-2011
Bishops Heights Ltd,520,"Office, 6A Dodgeholme Court, Dodge Holme Close, Mixenden",16-10-2014
,1800,"Unit 1, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",01-01-2014
,2900,"Unit 4, Salford Industrial Estate, Salford, Todmorden           OL14 5BT",01-11-2014
Setbray Properties Ltd,970,"Unit 5 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",01-02-2015
,1775,"Unit 9 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",01-02-2015
Rosehill Polymers Ltd,83500,"Unit B, Spring Bank Industrial Est., Watson Mill Lane, Sowerby Bridge      HX6 3BW",31-01-2015
,1600,"101B Hopwood Lane, Halifax, HX1 4HB",25-01-2015
,6900,"Unit 1 Reflecting Roadstuds, Mill Lane, Boothtown, Halifax              HX3 6TR",01-02-2015
Equestrian Clearance Warehouse Ltd,34750,"Unit 40 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AU",13-01-2015
Westgrove Project Management Ltd,5600,"Part 1ST Floor, 3/5 Clare Road, Halifax, HX1 2HX",01-09-2014
