Ratepayer Name,Property Address,Propref,Billing Address,RV
,"Unit 1 Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8PE",64873704,,2075
D K Financial Ltd,"Office 6 Second Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",64873706,,1275
High Q Uk Ltd,"Office 5 Second Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",64873711,"2nd Floor, Brian Royd Mills, Saddleworth Road, Greetland, HX4 8NF",1050
Binns & Sons (Greetland) Ltd,"Office 3/4 Second Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",64873710,"The Woodlands, Rochdale Road, Greetland, Halifax, HX4 8PH",5500
Gba Care Ltd,"Office 2 2ND Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",64873716,,4000
Bright Leaf Recruitment Ltd,"Office 1 2ND Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",64873715,"29 Charnock Close, Halifax, HX1 2NZ",4700
Kendalls Ices Ltd,"Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",64812700,,7000
Headlands Garage Ltd,"Headlands Garage, Denholmegate Road, Hipperholme, Halifax             HX3 8JX",64812710,,10250
,"Denholmegate Road, Hipperholme, Halifax, HX3 8JR",64812704,,2700
,"Bar House, Denholmegate Road, Hipperholme, Halifax              HX3 7SB",64812754,,670
Moon Marsh Pub Company Ltd,"Hare & Hounds Inn, Denholmegate Road, Hipperholme, Halifax             HX3 8JQ",64812709,"F A O Tammy Marshall, The Hare And Hounds, Denholme Gate Road, Hipperholme, HX3 8JQ",9250
The Warrior Factory Halifax Cic,"Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",64812716,,10500
,"Unit 1 Co-Op Shopping Parade, Denholmegate Road, Hipperholme, Halifax             HX3 8LT",64812733,,13000
,"5 Co-Op Shopping Parade, Denholmegate Road, Hipperholme, Halifax             HX3 8LT",64812738,,8900
,"12 Holme Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 8LJ",64812712,,3500
Bardolino's Ltd,"Dominion House, Denholmegate Road, Hipperholme, Halifax              HX3 8JQ",64812747,,12000
,"Brighouse&Denholmegate Rd, Shelf, Halifax, HX3 7TG",64380700,,9100
,"6 Pearson Fold, Denholmegate Road, Hipperholme, Halifax              HX3 8JQ",64812740,,5600
,"6A Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",64812741,,4250
,"10 Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",64812010,,5900
,"10A Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",64812750,,5000
,"27 Lees Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 8EW",64812751,,3200
Geco U.K Ltd,"Unit 3, Dominion Industrial Park, Denholmegate Road, Hipperholme         HX3 8JG",64812722,,8800
J V Models Ltd,"1ST Floor Ryders Court, Denholmegate Road, Hipperholme, Halifax              HX3 8JQ",64812749,,6500
2K Technologies Ltd,"Ground Floor Ridings Court, Denholmegate Road, Hipperholme, Halifax              HX3 8JG",64812748,"'schlossli', Langlea Terrace, Hipperholme, Halifax, HX3 8LG",8500
,"1 Ryders Court, Denholmegate Road, Hipperholme, Halifax             HX3 8JQ",68378001,,3250
,"Unit 5 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824709,,2850
,"Car Valet Service, Adj 20 Woodroyd, Burnley Road, Luddendenfoot",69597701,,5200
Designs & Concepts Ltd,"Butts Green Farm, Butts Green, Luddendenfoot, Halifax              HX2 6BZ",64889701,,1000
,"Unit 2 The Old Bakery, Cain Lane, Southowram, Halifax              HX3 9SA",64464704,,4250
,"Unit 1 The Old Bakery, Cain Lane, Southowram, Halifax              HX3 9SA",64464700,,5300
,"Pack Horse Inn, Cain Lane, Southowram, Halifax             HX3 9SA",64464703,,10500
Work Life Health Ltd,"Office 5, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",64480713,"Fao Ruth Milner, Po Box 739, Halifax, HX1 9AY",1375
J J K Interiors Ltd,"""Unofficial"" Jjk Interiors, Civic Hall, Rochdale Road, Greetland",68392757,"Civic Hall, Rochdale Road, Greetland, Halifax, HX4 8AH",7000
,"St Pauls Buildings, Southgate, Elland, HX5 0EX",56224706,,4450
,"Car Spaces Rear Of, 38 Clare Road, Halifax, HX1 2HX",64584764,,1200
,"Part Ground Floor, 38 Clare Road, Halifax, HX1 2HX",64584714,,1750
Bousfield Waite & Co,"Part 2ND Floor, 38 Clare Road, Halifax, HX1 2HX",64584766,"Part 2nd Floor, 38 Clare Road, Halifax, HX1 2HX",2700
,"Adj 16 Clare Street, Halifax, HX1 2LF",64588701,,2000
,"Adj 1 Clare Street, Halifax, HX1 2LF",68280700,,3100
,"16 Clare Street, Halifax, HX1 2LF",64588016,,6700
,"Claremount Road, Halifax, HX3 6AW",64592700,,2250
,"277 Claremount Road, Halifax, HX3 6AP",64592703,,11250
,"20 Claremount Road, Halifax, HX3 6JQ",64592020,,10750
,"136 Claremount Road, Halifax, HX3 6JQ",64592136,,3250
,"143 Claremount Road, Halifax, HX3 6JQ",64592143,,3850
,"291 Claremount Road, Halifax, HX3 6AW",64592291,,4100
Claremount Laundry Ltd,"295 Claremount Road, Halifax, HX3 6AW",64592295,,4050
,"299 Claremount Road, Halifax, HX3 6AW",64592299,,3950
,"303 Claremount Road, Halifax, HX3 6AW",64592303,,4050
Calderdale Engineering Services Ltd,"Thrum Hall Works, Clay Pits Lane, Halifax, HX1 4QS",64600700,"Unit 5 Grantham Works, Grantham Road, Halifax, HX3 6PL",7700
C N C Services Ltd,"Clay House Mills, Clay House Lane, Greetland, Halifax             HX4 8AW",64596702,,8700
G Lumb & Son,"Livery Stables Turbury Equ., Far Turbury Farm, Clegg Lane, Greetland",64899701,"Fao Clive Lumb, Far Turbury Farm, Rochdale Road, Greetland, HX4 8PU",7200
P A Y Broadbent Ltd,"Clevedon Place, Lee Mount, Halifax, HX3 5QA",64604706,"Clevedon Place, Ovenden, Halifax, HX3 5QA",8000
E Feather Ltd,"Clevedon Place, Lee Mount, Halifax, HX3 5QA",64604701,,4600
,"44 Clough Lane, Mixenden, Halifax, HX2 8SW",64612046,,2950
,"22 Clough Lane, Mixenden, Halifax, HX2 8SN",64612022,,3500
,"38 Clough Lane, Mixenden, Halifax, HX2 8SN",64612038,,3550
,"1 Club Houses, Ovenden, Halifax, HX2 8AY",64624001,,3350
,"Laurel Crescent, Halifax, HX2 8DF",65588700,,960
Thorpe Care Ltd,"Unit 10E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628840,"62 Forest Crescent, Halifax, HX2 8DS",3300
Kbnw Management Ltd,"Unit 7, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628800,"476-478 Broadway, Chadderton, Oldham, OL9 9NS",8700
Guardian Security Services (Ne) Ltd,"Unit 16A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628833,"Unit 16a, Calderdale Business Park, Club Lane, Halifax, HX2 8DB",1575
Focus Validation Services Ltd,"Unit 16, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628834,,1600
,"Unit 18, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164741,,2800
,"Unit 24, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164745,,2950
,"Unit 6, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164754,,1150
,"Unit 16A Calder Workshops, Gibbet Street, Halifax, HX1 4JQ",65164846,,1175
,"Unit 13/14, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164737,,1825
,"Unit 22 & 23, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164744,,2450
Calderdale Integration Council,"Unit 1 1ST Floor, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",65164895,"F A O Nahida Qurban, Unit 1, 1st Floor Calder Workshops, Gibbet Street, Halifax, HX1 4JQ",6000
,"Unit 1 1ST Floor, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",65164894,,3550
Total Brickwork Solutions Ltd,"Hamnett House, Gibbet Street, Halifax, HX2 0AX",65164872,,3200
,"Unit 5 Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",65164831,,4000
,"Ground Floor Unit, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",65164763,,7400
,"Units 4/5, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",65164907,,7800
,"Bsmt Level Under U 1-5, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",65164905,,4650
,"Unit 1 First Floor, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",65164906,,4800
,"Unit 2 2ND Floor, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",65164904,,2950
,"Unit 3 (3RD Floor), Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",65164764,,2750
,"135 Gibraltar Road, Halifax, HX1 3UH",65168135,,3000
Long Lover Livery Ltd,"Long Lover Farm, Giles Hill Lane, Shelf, Halifax              HX3 7TJ",65944701,,6000
,"1 Gladstone View, Siddal, Halifax, HX3 9DH",65176700,,2900
,"Unit 2 Godly Branch Road, Godly, Halifax, HX3 6AH",65184701,,4500
,"Stump Cross, Halifax, HX3 7AA",68872701,,8600
,"Godley Iron Works, Godley Branch Road, Halifax, HX3 6AH",65184700,,4800
,"Showroom At Pine Furniture, Godley Road, Halifax, HX3 6AH",65184707,,8900
,"193/195 King Cross Road, Halifax, HX1 3LN",65516195,,10750
Inomed Health Ltd,"Office 13 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242711,,2050
,"Office 8 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242706,,4000
Mayfair Solicitors Limited,"Office 6 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242757,,2400
Attollo Elevator Ltd,"Office 3 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242830,"Office 3 Ground Floor, The E W Innovation Centre, Hopwwod Lane, Halifax, HX1 5ER",5900
Dexter Nicholas Ltd,"Off 4/5 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242793,,7900
Kra Accountants Ltd,"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242754,,4450
Ulearn Education Ltd,"Office 2 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242759,"Elsie Whiteley Innovation Ctr, Hopwood Lane, Halifax, HX1 5ER",3650
,"Office 17 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242715,,1500
Proline Logistics Limited,"Office 16 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242714,,1525
Nmj Holdings Ltd,"Office 20 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242718,,3000
Dawn To Dusk Ltd,"Office 18 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242716,,1600
Smart People Training & Development Company Ltd,"Office 21 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242748,"First Floor, Ew Innovation Centre, Hopweood Lane, Halifax, HX1 5ER",3400
,"Office 42 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242739,,3750
Halls Reactive Maintenance Ltd,"Office 30 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242727,,2100
,"Office 25 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242750,,2300
B I M Department Limited,"Office 27 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242756,,2600
Elysium Marketing Solutions Ltd,"Office 29 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242726,,2075
,"Norman Street, Huddersfield Road, Elland, HX5 9BS",56132731,,8200
,"The Works, Norman Street, Elland, HX5 9BS",56269701,,5600
Little People Elland Ltd,"Elland Private Day Nursery, Northgate, Elland, HX5 0RU",56180702,,10500
,"36 Northgate, Elland, HX5 0RU",56180036,,3700
,"Barge & Barrel, 8 Park Road, Elland, HX5 9HP",56192711,,8800
Benjamin Whiteley & Sons Ltd,"Park Road Mills, Park Road, Elland, HX5 9HX",56192725,"Park Road Mills, Park Road, Elland, HX5 9HX",3500
Providence Day Nursery Ltd,"Providence House, Providence Street, Elland, HX5 9DL",56194700,,9200
Nicsol Limited,"Quebec Street, Elland, HX5 9BX",56196722,"199 Roundhay Road, Leeds, LS8 5AN",9300
,"Unit 2, 148/150 Hanson Lane, Halifax, HX1 5PQ",65264808,,5700
,"Unit 4B, 148/150 Hanson Lane, Halifax, HX1 5PQ",65264816,,5700
,"Unit 4A, 148/150 Hanson Lane, Halifax, HX1 5PQ",65264815,,4200
,"Unit 1, 148/150 Hanson Lane, Halifax, HX1 5PQ",65264807,,4300
,"Unit 3, 148/150 Hanson Lane, Halifax, HX1 5PQ",65264811,,9600
,"Unit 5 First Floor, 148/150 Hanson Lane, Halifax, HX1 5PQ",65264813,,6200
,"19 Hanson Lane, Halifax, HX1 5NX",65264019,,3600
,"25 Hanson Lane, Halifax, HX1 5NX",65264025,,1950
,"31 Hanson Lane, Halifax, HX1 5NX",65264762,,1825
,"41 Hanson Lane, Halifax, HX1 5NX",65264041,,3700
,"53 Hanson Lane, Halifax, HX1 5NX",65264755,,3100
Heating Spares Halifax Ltd,"55 Hanson Lane, Halifax, HX1 5NX",65264713,,3150
,"57 Hanson Lane, Halifax, HX1 5NX",65264057,,2425
,"61 Hanson Lane, Halifax, HX1 5NX",65264061,,1800
,"63 Hanson Lane, Halifax, HX1 5NX",65264063,,2600
,"112/114 Hanson Lane, Halifax, HX1 5PG",65264114,,2900
Mortimer & Holt Ltd,"The Jubilee, 18 Market Street, Halifax, HX1 1PB",65736720,,14250
,"Ground Floor, 34 Market Street, Halifax, HX1 1PB",65736738,,12000
,"Office,  3 Marsden Gate Farm, Marsden Gate, Sowood, Stainland, Halifax              HX4 9LD",65946701,,810
,"30 Marsh Lane, Southowram, Halifax, HX3 9UF",65748030,,3900
Tower Roofing Systems Ltd,"Unit 6, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752708,"10 The Avenue, Clayton, Bradford, BD14 6RW",9200
C & S Electrical Wholesalers Ltd,"Unit 4, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752706,,11000
Trade Tiling Ltd,"Unit 10, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752701,,10750
HX1 Window Supplies Ltd,"Unit 7, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752709,"30 Mill Lane, Mixenden, Halifax, HX2 8SE",9400
Northern Municipal Spares Ltd,"Unit 17, Halifax Industrial Centre, Marshway, Halifax              HX1 5RW",65752719,,13250
Al-Haatif Limited,"Unit 5, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752707,"31 Hanson Lane, Halifax, HX1 5NX",8600
,"Queens Head Inn, 13 Mason Green, Illingworth, Halifax             HX2 8HG",65756700,,9700
Wrought Worx Welding Ltd,"Maude Street, Greetland, Halifax, HX4 8AJ",65764700,"The Old Brassworks, Maude Street, Greetland, HX4 8AJ",5100
,"N/R 9 Maude Street, Greetland, Halifax, HX4 8AJ",65764702,,3300
,"Cherry Tr & Heather Bk Cott, Mawson Place, Barkisland, Halifax              HX4 0BL",65766702,,4050
,"2 Mayfield Grove, Halifax, HX1 3XH",65768002,,2950
,"42 Meadow Lane, Wheatley, Halifax, HX3 5JR",65780042,,6100
,"44 Meadow Lane, Wheatley, Halifax, HX3 5JR",65780044,,2750
Adept Demolition Ltd,"Brow Side Farm, Medley Lane, Northowram, Halifax              HX3 7SX",65935701,,7400
,"16 Bank Edge Road, Halifax, HX2 8JU",64136016,,3600
J.I Electronics Ltd,"Unit A Bank Top Works, Bank Top, Southowram, Halifax              HX3 9NJ",64144704,"Bank Top Works, Bank Top, Southowram, Halifax, HX3 9NJ",4600
Calder Temperature Controls Ltd,"Unit B Bank Top Works, Bank Top, Southowram, Halifax              HX3 9NJ",64144705,"248 Walstead Road, Walsall, West Midlands, WS5 4DR",5200
,"32 Bank Top, Southowram, Halifax, HX3 9NJ",64144032,,5500
,"Bankhouse Lane, Salterhebble, Halifax, HX3 0QL",64148701,,1775
,"1 Barum Top, Halifax, HX1 1NL",64164001,,7900
My Carr Ltd,"Part B, Battinson Road Garage, Battinson Road, Halifax              HX1 4RP",64176715,"12 Clay Street, Halifax, HX1 4RX",8500
,"Part A, Battinson Road Garage, Battinson Road, Halifax              HX1 4RP",64176716,,7600
,"3 Battinson Road, Halifax, HX1 5PR",64176003,,2700
,"5 Battinson Road, Halifax, HX1 5PR",64176005,,3250
,"66/68 Battinson Road, Halifax, HX1 4RW",64176711,,8400
,"105 Battinson Road, Halifax, HX1 4RE",64176105,,3550
,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",64184702,,7500
,"Bedford Street Garage, 16a Bedford Street, Halifax, HX1 5DL",64188706,,2175
,"Halifax Events Hall, Bedford Street, Halifax, HX1 5DL",64188704,,9900
,"Bedford Street Works, Bedford Street, Halifax, HX1 5DL",64188702,,5300
Crystal Connect Ltd,"1ST Flr, 3 Carlton Place, Halifax, HX1 2SB",64484711,,13000
Viney Becks Ltd,"Ground Floor, 3 Carlton Place, Halifax, HX1 2SB",64484708,"3 Carlton Place, Halifax, HX1 2SB",12500
,"Lower Ground Floor, 3 Carlton Place, Halifax, HX1 2SB",64484707,,8600
,"First Floor, 5 Carlton Place, Halifax, HX1 2SB",64484705,,8100
,"5 Carlton Place, Halifax, HX1 2SB",64484704,,8100
,"3 Carlton Street, Halifax, HX1 2AL",64488003,,7600
Conscious Health Ltd,"12 Carlton Street, Halifax, HX1 2AL",64488711,,6400
,"Pt Grd & 1ST Flr Arden Works, Fenton Road, Halifax, HX1 3PP",65072723,,5700
,"Foundry Street North, Halifax, HX3 6RE",65096700,,4900
Premier Direct G.B Ltd,"Coronation Works, Foundry Street North, Halifax, HX3 6RE",65096703,"Premier House, Foundry Street North, Halifax, HX3 6RE",5500
Bee-Suree Ltd,"Suite 3 First Floor, 22 Fountain Street, Halifax, HX1 1LW",65100700,"48a Spring Street, Spring Wood, Huddersfield, HD1 4AZ",4050
Circuit Electrical Testing Ltd,"Suite 1 First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",65100713,"Croft Myl, West Parade, Halifax, HX1 2EQ",4250
Cad Dept Ltd,"Suite 2C First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",65100022,,2175
Nexusinformatics Ltd,"Unit 1GF, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104715,,1075
Zirconia Ltd,"Unit 2GF, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104716,,3200
,"2 Franklin Street, Halifax, HX1 4LH",65964002,,3550
Heath Pharmacy Ltd,"Pharmacy & Chemist, 96 Free School Lane, Halifax, HX1 2YF",65108701,,5300
Buckwell News Ltd,"98a Free School Lane, Halifax, HX1 2XE",65108702,,12750
E.J.G Associates Ltd,"Offices 7-9 Britannia Works, Garden Street North, Halifax, HX3 6AE",65132717,"Offices 7-9 Britannia Works, Garden Street North, Halifax, HX3 6AE",4900
,"Office 1 Britannia Works, Garden Street North, Halifax, HX3 6AE",65132704,,1900
,"194 King Cross Road, Halifax, HX1 3JP",65516194,,7800
,"196 King Cross Road, Halifax, HX1 3JP",65516196,,11500
,"200 King Cross Road, Halifax, HX1 3JP",65516200,,6800
,"202 King Cross Road, Halifax, HX1 3JP",65516202,,6400
,"206 King Cross Road, Halifax, HX1 3JP",65516206,,6900
,"207/207A King Cross Road, Halifax, HX1 3JL",65516777,,9000
,"Shop (Ground Floor ), 209 King Cross Road, Halifax, HX1 3JL",65516718,,7700
Total Bathroom Design Ltd,"211 King Cross Road, Halifax, HX1 3JL",65516211,,11000
M H Castle Ltd,"213 King Cross Road, Halifax, HX1 3JL",65516213,"F.A.O. Mr Phillip Turner, 213 King Cross Road, Halifax, HX1 3JL",6600
,"214 King Cross Road, Halifax, HX1 3JP",65516214,,5200
,"6 Edward House, King Cross Road, Halifax, HX1 3JL",65516701,,1925
,"215 King Cross Road, Halifax, HX1 3JL",65516215,,7600
,"216 King Cross Road, Halifax, HX1 3JP",65516216,,6200
Sunbridge Road Investments Ltd,"217 King Cross Road, Halifax, HX1 3JL",65516773,"217 King Cross Road, Halifax, HX1 3JL",8000
,"220 King Cross Road, Halifax, HX1 3JP",65516220,,7100
,"221 King Cross Road, Halifax, HX1 3JL",65516221,,7800
,"222 King Cross Road, Halifax, HX1 3JP",65516222,,8100
,"223A King Cross Road, Halifax, HX1 3JL",65516779,,6400
Just Give It A Go Ltd,"224 King Cross Road, Halifax, HX1 3JP",65516728,"224 King Cross Road, Halifax, HX1 3JP",6700
Kaiwen Uk Ltd,"227/227a King Cross Road, Halifax, HX1 3JL",65516734,,6500
Yolo Express Ltd,"229 King Cross Road, Halifax, HX1 3JL",65516229,,8900
,"230 King Cross Road, Halifax, HX1 3JP",65516230,,4800
Kitchen Elements Ltd,"231 King Cross Road, Halifax, HX1 3JL",65516231,"231 King Cross Road, Halifax, HX1 3JL",7800
,"232 King Cross Road, Halifax, HX1 3JP",65516232,,5500
,"238-240 King Cross Road, Halifax, HX1 3JP",65516754,,6900
,"239/241 King Cross Road, Halifax, HX1 3JL",65516732,,7300
,"242 King Cross Road, Halifax, HX1 3JP",65516242,,5300
,"243 King Cross Road, Halifax, HX1 3JL",65516243,,5700
,"245 King Cross Road, Halifax, HX1 3JL",65516245,,4300
,"246 King Cross Road, Halifax, HX1 3JP",65516246,,7800
,"251 King Cross Road, & 2 Gledhills Yard, Halifax, HX1 3JL",65516702,,5500
,"253 King Cross Road, Halifax, HX1 3JL",65516792,,7700
,"255 King Cross Road, Halifax, HX1 3JL",65516255,,3550
All Canvas Uk Ltd,"257 King Cross Road, Halifax, HX1 3JL",65516781,"257 King Cross Road, Halifax, HX1 2QR",6500
,"259 King Cross Road, Halifax, HX1 3JL",65516259,,7800
,"261 King Cross Road, Halifax, HX1 3JL",65516783,,7500
,"Offices 1,2,7 & 8, Edward House, King Cross Road, Halifax             HX1 3JS",65516748,,7400
Bcs Detailing Ltd,"Offices 3 - 5, Edward House, 217 King Cross Road, Halifax              HX1 3JL",65516782,,4700
,"3/4 St Pauls Buildings, Southgate, Elland, HX5 0EX",56224707,,6900
,"6 The Cross, Elland, HX5 0BB",56228006,,6600
,"3/4 Town Hall Buildings, Elland, HX5 9AJ",56236003,,8900
,"Burnham House, Victoria Road, Elland, HX5 0AB",56244702,,4000
C N Autos Ltd,"Victoria Rd Service Station, Victoria Road, Elland, HX5 0PU",56244715,,8500
Greetings & Choices Ltd,"Victoria Chambers, Victoria Road, Elland, HX5 0AB",56244700,"1 Victoria Buildings, Victoria Road, Elland, HX5 0AB",5000
,"39 Victoria Road, Elland, HX5 0AB",56244039,,3750
,"1 Victoria Road, Elland, HX5 0AB",56244001,,6200
,"2 Victoria Buildings, Elland, HX5 0AB",56244723,,5500
,"3 Victoria Road, Elland, HX5 0AB",56244724,,4950
Passion For Support Ltd,"3A Victoria Road, Elland, HX5 0AB",56244725,,2400
,"4 Victoria Road, Elland, HX5 0PU",56244004,,3300
,"5 Victoria Road, Elland, HX5 0AB",56244005,,4400
,"6 Victoria Road, Elland, HX5 0PU",56244006,,4200
,"Part Grd & Basement Flrs, 7 Victoria Road, Elland, HX5 0AB",56244727,,10500
,"8 Victoria Road, Elland, HX5 0PU",56244008,,5300
,"10 Victoria Road, Elland, HX5 0PU",56244010,,2850
,"11 Victoria Road, Elland, HX5 0AB",56244011,,8800
,"13 Victoria Road, Elland, HX5 0AB",56244013,,2700
,"13A Victoria Road, Elland, HX5 0AB",56244701,,4150
,"14 Victoria Road, Elland, HX5 0PU",56244014,,3850
,"16 Victoria Road, Elland, HX5 0PU",56244016,,5500
,"18 Victoria Road, Elland, HX5 0PU",56244728,,4850
,"20 Victoria Road, Elland, HX5 0PU",56244020,,7400
,"35 Victoria Road, Elland, HX5 0AB",56244035,,3300
,"37 Victoria Road, Elland, HX5 0AB",56244037,,3850
,"Media Mills, Westbury Mills, Westbury Street, Elland              HX5 9AT",56248706,,3400
Control House Ltd,"Unit 2, Westbury Street, Elland, HX5 9AT",56248713,,10500
,"8 The Cross, Westgate, Elland, HX5 0BB",56228008,,5700
,"160 Westgate, Elland, HX5 0BB",56252706,,4000
,"162 Westgate, Elland, HX5 0BB",56252707,,7000
W Brown (Halifax) Ltd,"Stirling Works, 16 Bedford Street, Halifax, HX1 5DL",64188705,,2850
,"Bedford Street North, Halifax, HX1 5BH",64192701,,6500
Malcolm Taylor (Halifax) Ltd,"6 Bedford Street North, Halifax, HX1 5BH",64192006,,4500
,"1/2 Beech Grove, Lightcliffe, Halifax, HX3 8UU",64196002,,11750
,"85 Beechwood Road, Halifax, HX2 9BT",64212085,,5400
,"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",64224700,,6400
,"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",64224701,,7900
,"32 Bell Hall Terrace, Halifax, HX1 3EE",64228032,,5200
,"The Orange Tree, 5 Cross Street, Halifax, HX1 1XB",64728700,,3800
,"7 Cross Street West, Halifax, HX2 0HA",64732007,,5000
,"9 Cross Street West, Halifax, HX2 0HA",64732009,,5000
,"Crossley Hill, Halifax, HX3 0PL",64744700,,3300
,"Garage 6, Crossley Hill, Halifax, HX3 0PL",64744702,,2500
,"43 Crossley Hill, Halifax, HX3 0PL",64744043,,7500
,"1 Westbourne Crescent, Crossley Hill, Halifax, HX3 0PJ",69380702,,4350
,"1A Westbourne Crescent, Crossley Hill Lane, Halifax, HX3 0PJ",69380701,,1975
,"14 Crossley Street, Halifax, HX1 1UG",64748716,,3700
,"3/5 Crown Street, Halifax, HX1 1TT",64756710,,13500
,"30 Crown Street, Halifax, HX1 1TT",64756030,,7000
,"1st,2nd & 3rd Floors, 31/33 Crown Street, Halifax, HX1 1TT",64756722,,7600
,"32 Crown Street, Halifax, HX1 1TT",64756032,,8100
,"43 Crown Street, Halifax, HX1 1JB",64756043,,4300
,"45 Crown Street, Halifax, HX1 1JB",64756045,,6000
,"47/49 Crown Street, Halifax, HX1 1JB",64756047,,10000
The Gun Dog Ltd,"Sportsman Hotel, 50 Crown Street, Halifax, HX1 1JB",64756709,,5100
,"52 Crown Street, Halifax, HX1 1JB",64756052,,6700
Redwoods Estate Agency,"55 Crown Street, Halifax, HX1 1JB",64756055,"Central House, Central Street, Halifax, HX1 1HU",6700
,"118 Hanson Lane, Halifax, HX1 5PG",65264118,,2600
,"129 Hanson Lane, Halifax, HX1 4SD",65264810,,1925
,"150 Hanson Lane, Halifax, HX1 5PQ",65264150,,5700
,"226 Hanson Lane, Halifax, HX1 4QU",65264226,,2750
,"228 Hanson Lane, Halifax, HX1 4QW",65264228,,3700
Select 4 Ltd,"Offices 19-23, Hanson Lane Ent Centre, Hanson Lane, Halifax              HX1 5PG",65264814,"Offices 19-23, Hanson Lane Ent Centre, Hanson Lane, Halifax, HX1 5PG",8000
,"Unit 14, Hansonlane Enterprise Centre, Halifax, HX1 5PG",65264782,,5600
Jack Threapleton Ltd,"Workspace Unit 20, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264742,"6 Willow Park Drive, Shelf, Halifax, HX3 7PZ",3200
,"Unit 15, Hansonlane Enterprise Centre, Halifax, HX1 5PG",65264783,,5800
,"Unit 8, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264725,,2075
