Organisation Name,Dept,Service Cat Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Transaction Number,Net Amount,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 06/08/2015,PCO0263747,18.5,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264339,22.88,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 06/08/2015,PCO0263747,28.17,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 20/08/2015,PCO0264137,18.36,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 20/08/2015,PCO0264137,5.39,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Lubricants,DICK LEIGH,A0001675, 20/08/2015,PCO0264137,49.5,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANCASHIRE COUNTY COUNCIL,A0001690, 06/08/2015,HED0263758,125,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANCASHIRE COUNTY COUNCIL,A0001690, 06/08/2015,HED0263770,1025,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Search Fees,LANCASHIRE COUNTY COUNCIL,A0001690, 13/08/2015,DAL0263974,927,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,LANCASHIRE COUNTY COUNCIL,A0001690, 20/08/2015,AAS0264229,699,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,LANCASHIRE COUNTY COUNCIL,A0001690, 27/08/2015,HMR0264353,2727,No,N/A,N,454.5
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,LANCASHIRE COUNTY COUNCIL,A0001690, 27/08/2015,HMR0264355,7662,No,N/A,N,1277
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,R & K LATHAM & SON,A0001718, 13/08/2015,HED0263960,245,No,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Seminars etc All Costs,LOCAL GOVERNMENT ASSOCIATION,A0001752, 13/08/2015,MAN0263941,495,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0001986, 13/08/2015,EST0263996,308.63,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0001986, 20/08/2015,EST0264223,33.63,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0001986, 06/08/2015,EST0263844,9.92,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0001986, 06/08/2015,EST0263843,120.04,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0001986, 06/08/2015,EST0263841,22.11,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0001986, 06/08/2015,EST0263846,40.27,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0001986, 06/08/2015,EST0263845,130.95,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0001986, 06/08/2015,EST0263847,44.63,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,F NUTTER & SONS,A0002037, 13/08/2015,EST0263979,3.93,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,F NUTTER & SONS,A0002037, 13/08/2015,EST0263979,25.2,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,F NUTTER & SONS,A0002037, 13/08/2015,EST0263979,104,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,F NUTTER & SONS,A0002037, 13/08/2015,EST0263979,130,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,F NUTTER & SONS,A0002037, 06/08/2015,HED0263766,39.82,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,F NUTTER & SONS,A0002037, 06/08/2015,HED0263766,68.5,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,F NUTTER & SONS,A0002037, 13/08/2015,HED0263900,41.95,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,F NUTTER & SONS,A0002037, 13/08/2015,HED0263900,145,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,OPTION HYGIENE LIMITED,A0002063, 13/08/2015,EST0263992,73.5,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,OPTION HYGIENE LIMITED,A0002063, 27/08/2015,PCO0264278,4.9,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,OPTION HYGIENE LIMITED,A0002063, 27/08/2015,PCO0264278,15.41,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,OPTION HYGIENE LIMITED,A0002063, 27/08/2015,PCO0264278,19.58,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,OPTION HYGIENE LIMITED,A0002063, 27/08/2015,PCO0264278,53,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,OPTION HYGIENE LIMITED,A0002063, 27/08/2015,PCO0264278,53,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,OPTION HYGIENE LIMITED,A0002063, 20/08/2015,PCO0264143,110.5,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,OPTION HYGIENE LIMITED,A0002063, 13/08/2015,OPS4004681,-34,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,OPTION HYGIENE LIMITED,A0002063, 13/08/2015,OPS0263769,34,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,OLD LAUND BOOTH PARISH COUNCIL,A0002067, 27/08/2015,HED0264303,3000,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,POWER PIPES (PENDLE) LIMITED,A0002089, 06/08/2015,PCO0263765,83.91,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,POWER PIPES (PENDLE) LIMITED,A0002089, 13/08/2015,PCO0263879,57.27,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,POWER PIPES (PENDLE) LIMITED,A0002089, 06/08/2015,PCO0263765,107.11,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Miscellaneous : Other,PENDLE SIGNS & PLASTICS LTD,A0002112, 06/08/2015,DAL0263869,1790,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,PENBURN CONSTRUCTION LTD,A0002191, 27/08/2015,HMR0264356,9938,No,N/A,N,1656.33
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,PENDLE PERSONNEL LTD,A0002198, 06/08/2015,PCO0263796,361.12,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,PENDLE PERSONNEL LTD,A0002198, 20/08/2015,PCO0264187,361.12,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,PENDLE PERSONNEL LTD,A0002198, 20/08/2015,PCO0264190,361.12,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,PENDLE PERSONNEL LTD,A0002198, 27/08/2015,PCO0264349,361.12,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,PENDLE PERSONNEL LTD,A0002198, 06/08/2015,PCO0263795,1795.63,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,PENDLE PERSONNEL LTD,A0002198, 20/08/2015,PCO0264192,1922.71,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,PENDLE PERSONNEL LTD,A0002198, 27/08/2015,PCO0264350,1947.57,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,PENDLE PERSONNEL LTD,A0002198, 06/08/2015,PCO0263797,1961.38,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,PENDLE PERSONNEL LTD,A0002198, 20/08/2015,PCO0264188,2060.83,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,PENDLE PERSONNEL LTD,A0002198, 06/08/2015,PCO0263798,18.98,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,PENDLE PERSONNEL LTD,A0002198, 20/08/2015,PCO0264189,18.98,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,PENDLE PERSONNEL LTD,A0002198, 20/08/2015,PCO0264191,94.9,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,PENDLE PERSONNEL LTD,A0002198, 27/08/2015,PCO0264351,275.21,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264036,-59.91,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,217.95,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264036,969.32,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,18.23,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,2.11,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,2.84,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,1.37,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,22.42,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,43.34,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,182.07,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,2.5,No,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 06/08/2015,PBC0263833,37.59,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,42.05,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,15.6,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,0.88,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,2.7,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,243.29,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,7.14,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264119,465.2,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,DAL0264123,298.25,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,ROYAL MAIL GROUP LIMITED,A0002281, 20/08/2015,HMR0264258,260,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,A  ROLLINSON & SON (BUILDERS) LTD,A0002297, 27/08/2015,HMR0264354,4939,No,N/A,N,823.17
Pendle Borough Council,Operational Services,Supplies and Services,Telephones : Direct,REMGUARD LTD,A0002338, 06/08/2015,OPS0263775,112,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,SHAW & SONS LTD,A0002414, 20/08/2015,DAL0264120,34.85,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 20/08/2015,OPS0264180,2300,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BRENT STEVENSON MEMORIALS,A0002426, 06/08/2015,PCO0263756,125,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Printing & Stationery,CITRUS OFFICE SOLUTIONS,A0002441, 27/08/2015,OPS0264370,19.99,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Printing & Stationery,CITRUS OFFICE SOLUTIONS,A0002441, 27/08/2015,OPS0264370,150,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,ROBERTSON MEMORIALS,A0002590, 13/08/2015,PCO0263878,207.53,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,Bank Charges,G4S CASH SOLUTIONS (UK) LIMITED,A0002616, 13/08/2015,AAS0264005,249.64,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,JOHNSONS TEXICARE LTD,A0002665, 06/08/2015,ENV0263840,71.6,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,TRAVIS PERKINS TRADING CO LTD,A0002709, 06/08/2015,PCO0263776,23.2,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,TRAVIS PERKINS TRADING CO LTD,A0002709, 06/08/2015,PCO0263776,80.64,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 13/08/2015,REG0263967,37,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 13/08/2015,REG0263968,37,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 13/08/2015,REG0263969,37,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 13/08/2015,REG0263970,37,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM : Other Equipment,TEXT STYLES UK LIMITED,A0002725, 27/08/2015,HMR0264331,25.98,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,TRISTAR PRINTERS LTD,A0002731, 13/08/2015,REG0263929,60,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,YORKSHIRE WATER,A0002808, 27/08/2015,HED0264426,47.28,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,YORKSHIRE WATER,A0002808, 20/08/2015,EST0264215,50.73,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,YORKSHIRE WATER,A0002808, 20/08/2015,EST0264210,9.39,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,YORKSHIRE WATER,A0002808, 13/08/2015,EST0263991,401.14,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,YORKSHIRE WATER,A0002808, 20/08/2015,EST0264209,47.38,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,YORKSHIRE WATER,A0002808, 27/08/2015,EST0264385,5.6,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Office and computer equipment,PHS DATASHRED,A0002886, 27/08/2015,DAL0264408,132,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Office and computer equipment,PHS DATASHRED,A0002886, 27/08/2015,DAL0264411,160.6,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 20/08/2015,EST0264208,66.25,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 20/08/2015,EST0264208,120,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,VENDA VALET (MACHINES) LTD,A0009649, 27/08/2015,OPS0264280,17,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,RAILSIDE TRADING CO.,A0010378, 13/08/2015,HED0263946,46.86,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,RAILSIDE TRADING CO.,A0010378, 13/08/2015,HED0263946,54.6,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,RAILSIDE TRADING CO.,A0010378, 13/08/2015,HED0263946,83.4,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CPC PROP & GARDENING SERV LTD,A0011770, 13/08/2015,HMR0264020,290,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CPC PROP & GARDENING SERV LTD,A0011770, 20/08/2015,HMR0264134,1773.88,No,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,BOYCES,A0012657, 06/08/2015,COR0263707,16,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Service Charge,PENDLE LEISURE LTD,A0012961, 27/08/2015,AAS0264406,72.84,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Service Charge,PENDLE LEISURE LTD,A0012961, 27/08/2015,AAS0264406,912.02,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Service Charge,PENDLE LEISURE LTD,A0012961, 27/08/2015,AAS0264406,991.96,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 20/08/2015,PCO0264186,18,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 20/08/2015,PCO0264186,48,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,LANDSCAPE ENGINEERING LTD,A0013135, 27/08/2015,PCO0264348,1590,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Capital Costs,Capital : Payments,LANDSCAPE ENGINEERING LTD,A0013135, 27/08/2015,PCO0264347,526,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Capital Costs,Capital : Payments,LANDSCAPE ENGINEERING LTD,A0013135, 27/08/2015,PCO0264348,1500,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 06/08/2015,OPS0263799,1480.5,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 27/08/2015,OPS0264335,1549.8,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 13/08/2015,OPS0263931,1619.1,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 20/08/2015,OPS0264165,1656.9,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,ORCHARD RECYCLING SERVICE,A0015803, 20/08/2015,OPS0264165,30,No,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Consultants Fees,WYRE BOROUGH COUNCIL,A0015808, 06/08/2015,PBC0263831,180,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 20/08/2015,HED0264214,-310,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 20/08/2015,HED0264213,-32,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 20/08/2015,HED0264213,32,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 20/08/2015,HED0264214,310,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Indirect Employee Expenses,Emp : Training : General,ABC AWARDS,A0017706, 13/08/2015,REG0263784,93.8,No,N/A,N,N/A
Pendle Borough Council,Human Resources,,Payroll deductions,HEALTHSHIELD,A0018488, 20/08/2015,PER0264200,-5.29,No,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Other Expenses,NORTHERN POWERGRID (YORKSHIRE) PLC,A0020875, 06/08/2015,EST0263859,396,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Printing & Stationery,PRINT TECHNOLOGIES LIMITED,A0021598, 20/08/2015,HED0264195,82.25,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,ASPEN VALLEY KENNELS & CATTERY,A0022106, 13/08/2015,OPS0263940,1178.5,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,E.ON,A0023073, 06/08/2015,HED0263755,2.52,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,E.ON,A0023073, 06/08/2015,HED0263761,121.89,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,E.ON,A0023073, 20/08/2015,AAS0264228,0.33,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,E.ON,A0023073, 06/08/2015,EST4004682,-3.48,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Premises Related Expense,Rents,E.ON,A0023073, 20/08/2015,DAL0264121,24.03,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,NORTHSTAR CREATIVE DESIGN & ADVERTISING LLP,A0025031, 06/08/2015,ENV0263835,103,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,ALD AUTOMOTIVES,A0025555, 24/08/2015,AAS0264414,244.87,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,RIPON FARM SERVICES,A0025562, 20/08/2015,PCO0264145,139.98,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,RIPON FARM SERVICES,A0025562, 20/08/2015,PCO0264146,141,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Hospitality,PEROS LTD,A0026047, 06/08/2015,DAL0263873,95,No,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Telephones : Direct,BRITISH TELECOMMUNICATIONS PLC,A0040001, 13/08/2015,EST0263990,76.45,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,WOODSTOCK SIGNS,A0040045, 27/08/2015,PCO0264338,1137.5,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,Redacted  - Personal Data,A0040822, 13/08/2015,ENV0264003,25,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,PENNINE FIRE & SAFETY LTD,A0040931, 20/08/2015,EST0264207,54.63,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Transfer Payments,Accommodation ,OLD HALL FARM (UK) LTD,A0041314, 27/08/2015,HMR0264328,675,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Transfer Payments,Accommodation ,OLD HALL FARM (UK) LTD,A0041314, 20/08/2015,HMR0264131,1950,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,COUNTRYWIDE COURIERS,A0042116, 27/08/2015,OPS0264372,261.8,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,PROTEC FIRE DETECTION PLC,A0042311, 13/08/2015,EST0263983,284.1,No,N/A,N,N/A
