Property Reference,Property Description,Rateable Value,Account Name,Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Mandatory Rate Relief,Mandatory Rate Relief Amount,Discretionary Rate Relief,Discretionary Rate Relief Amount,Additional Relief,Additional Relief Amount,Small Business Rate Relief,Small Business Rate Relief Amount
27880005210037,VEHICLE REPAIR WORKSHOP AND PREMISES,"£21,000",Mr R Sellers,01/04/2000,Workshop R/o,52 Lytton Road,Barnet,Hertfordshire,,EN5 5BY,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£427.65,NONE,£0.00,NO,£0.00
32180005500007,VEHICLE REPAIR WORKSHOP AND PREMISES,"£19,000",Michael Mcgivney,07/10/2002,57 Oak Grove,London,,,,NW2 3LS,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£434.13,NONE,£0.00,NO,£0.00
44800006110029,VEHICLE REPAIR WORKSHOP AND PREMISES,"£3,500",Mr A A Thakur T/a Turbo Mechanix,01/04/2000,Bst,61 Watling Avenue,Edgware,Middlesex,,HA8 0LD,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£56.37,NONE,£0.00,NO,£0.00
46960008310042,VEHICLE REPAIR WORKSHOP AND PREMISES,"£17,250",Park Garage (barnet) Limited T/A Park Ga,01/04/2014,R/o 83-91 & Bst 93,Wood Street,Barnet,Hertfordshire,,EN5 4BE,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£349.90,NONE,£0.00,NO,£0.00
4542002130000B,VEHICLE REPAIR WORKSHOP AND PREMISES,"£23,000",Das Automotives Ltd,16/08/2004,213 The Broadway,London,,,,NW9 7DG,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£524.84,NONE,£0.00,NO,£0.00
22400059900036,VETERINARY AND PREMISES,"£16,500",The Local Vet Limited,12/08/2015,599 High Road,London,,,,N12 0DY,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£323.98,NONE,£0.00,NO,£0.00
03820000220002,WAREHOUSE AND PREMISES,"£26,000",Airconco (UK) Ltd,21/12/2013,Unit 2,Bittacy Business Centre Bittacy Hill,London,,,NW7 1BA,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£557.24,NONE,£0.00,NO,£0.00
11000005600001,WAREHOUSE AND PREMISES,"£28,000",Loudwater Trade & Finance Ltd,22/05/2006,56a Crewys Road,London,,,,NW2 2AD,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£635.00,NONE,£0.00,NO,£0.00
15821000310057,WAREHOUSE AND PREMISES,"£3,700",Mr E Figa T/a Health Stop,01/04/2000,Stores 3 Ashbourne Parade,Finchley Road,London,,,NW11 0AD,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£77.75,NONE,£0.00,NO,£0.00
18860014610046,WAREHOUSE AND PREMISES,"£27,500",Angel Eye Centre Ltd,01/08/2014,Unit 4 146-148,Granville Road,London,,,NW2 2LD,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£615.56,NONE,£0.00,NO,£0.00
35580091120002,WAREHOUSE AND PREMISES,"£18,250",MyStyle Interiors Limited,22/02/2016,Unit 2 David House,Queens Road,Barnet,Hertfordshire,,EN5 4DJ,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£421.17,NONE,£0.00,NO,£0.00
35580091220003,WAREHOUSE AND PREMISES,"£18,750",Mr Firat Yirik,01/08/2016,Unit 3 David House,Queens Road,Barnet,Hertfordshire,,EN5 4DJ,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£434.13,NONE,£0.00,NO,£0.00
37420000420006,WAREHOUSE AND PREMISES,"£27,750",Coldshield Limited,24/08/2016,Unit 4 Mill Hill Industrial Estate,Flower Lane,London,,,NW7 2HU,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£596.12,NONE,£0.00,NO,£0.00
37420000520007,WAREHOUSE AND PREMISES,"£24,000",Deltech Uk Ltd,03/11/2009,Unit 5 Mill Hill Industrial Estate,Flower Lane,London,,,NW7 2HU,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£518.36,NONE,£0.00,NO,£0.00
37860002600018,WAREHOUSE AND PREMISES,"£8,700",Mr Charles Freedman & Mr Alfred Freedman,12/04/2013,26 St Albans Lane,London,,,,NW11 7QB,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£173.65,NONE,£0.00,NO,£0.00
40185000010007,WAREHOUSE AND PREMISES,"£20,250",Thermacool Facilities Services Ltd,01/04/2015,Unit 1,Propeller Way,London,,,NW4 4BW,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£336.94,NONE,£0.00,NO,£0.00
40185000010045,WAREHOUSE AND PREMISES,"£15,250",Amco Marketing Ltd,21/01/2013,Unit 5,Propeller Way,London,,,NW4 4BW,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£311.02,NONE,£0.00,NO,£0.00
40185000010064,WAREHOUSE AND PREMISES,"£15,250",Suzy D (Mill Hill) Ltd,10/09/2014,Unit 7,Propeller Way,London,,,NW4 4BW,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£311.02,NONE,£0.00,NO,£0.00
4018500001003A,WAREHOUSE AND PREMISES,"£15,250",Volante UK Ltd,12/02/2013,Unit 4,Propeller Way,London,,,NW4 4BW,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£311.02,NONE,£0.00,NO,£0.00
22400086600007,WINE BAR AND PREMISES,"£23,000",Mr & Mrs C Toolan,12/12/2002,866 High Road,London,,,,N12 9RH,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£511.88,NONE,£0.00,NO,£0.00
04640000110004,WORKSHOP AND PREMISES,"£23,000",HCW Management Ltd,01/04/2012,Workshops Right And Left,1A Brent Terrace,London,,,NW2 1BX,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£524.84,NONE,£0.00,NO,£0.00
05900008400025,WORKSHOP AND PREMISES,"£20,000",Mr R Edwards & Mr D Lynch T/a Dee Bee Coachworks,01/04/2000,84 Brunswick Park Road,London,,,,N11 1JJ,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£304.54,NONE,£0.00,NO,£0.00
06080010420309,WORKSHOP AND PREMISES,"£7,500",Mr W Pronaszco,03/10/2008,UNIT 30 AT 104-108,Bunns Lane,London,,,NW7 2AJ,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£121.82,NONE,£0.00,NO,£0.00
11800001730004,WORKSHOP AND PREMISES,"£22,250",Le Car Centre Ltd,01/04/2000,17-19 Daws Lane,London,,,,NW7 4SD,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£343.42,NONE,£0.00,NO,£0.00
18500090220003,WORKSHOP AND PREMISES,"£11,750",Mr B D Wilson T/a Weatherwell Sheds & Fencing,01/04/2000,Unit,1 Grahame Park Way,London,,,NW7 2LA,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£228.08,NONE,£0.00,NO,£0.00
22400093810018,WORKSHOP AND PREMISES,"£18,000",Wmi Services Ltd,01/04/2000,R/o,938-944 High Road,London,,,N12 9RT,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£272.14,NONE,£0.00,NO,£0.00
24460004210022,WORKSHOP AND PREMISES,"£10,000",Sudbury Jones Ltd,01/04/2000,42a Hutton Grove,London,,,,N12 8DT,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£171.06,NONE,£0.00,NO,£0.00
25160001610108,WORKSHOP AND PREMISES,"£2,450",Mrs C Guidone-Charles,26/06/2009,2nd Flr Unit 3b,King Street,London,,,N2 8DY,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£42.12,NONE,£0.00,NO,£0.00
25680002810035,WORKSHOP AND PREMISES,"£7,900",Glastron Ltd,22/02/2010,28b Lancaster Road,Barnet,Hertfordshire,,,EN4 8AP,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£160.69,NONE,£0.00,NO,£0.00
26380001600016,WORKSHOP AND PREMISES,"£28,000",Mr Afrim Cerkini & Mrs Veneta Cerkini,13/02/2017,16 Leicester Road,Barnet,Herts,,,EN5 5DA,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£576.68,NONE,£0.00,NO,£0.00
27220002010027,WORKSHOP AND PREMISES,"£5,500",O G Stoica,23/10/2007,9-12 Millers Yard 20,Long Lane,London,,,N3 2PT,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£94.60,NONE,£0.00,NO,£0.00
42100002510067,WORKSHOP AND PREMISES,"£25,000",S.C.S. Trade UK Limited,24/11/2013,Unit 3,The Old Print Works,25 Tapster Street,Barnet,Hertfordshire,EN5 5TU,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£511.88,NONE,£0.00,NO,£0.00
44140090920008,WORKSHOP AND PREMISES,"£21,500",Veloces Of London Ltd,13/04/2004,181a Victoria Road,Barnet,Hertfordshire,,,EN4 9PA,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£440.61,NONE,£0.00,NO,£0.00
036600044A0006,WORKSHOP AND PREMISES,"£27,250",Sudbury Jones Promotions Ltd,22/06/2004,42a Birkbeck Road,London,,,,N12 8DZ,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£440.61,NONE,£0.00,NO,£0.00
0608001042021B,WORKSHOP AND PREMISES,"£14,500",Mr W Pronaszco,05/01/2009,Units 20 & 21 at,104-108 Bunns Lane,London,,,NW7 2AJ,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£235.86,NONE,£0.00,NO,£0.00
1994000170004B,WORKSHOP AND PREMISES,"£14,250",Swift Investments Ltd,14/01/2005,17 Gruneisen Road,London,,,,N3 1LS,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£217.71,NONE,£0.00,NO,£0.00
2618009031002A,WORKSHOP AND PREMISES,"£14,250",Mr R W Flower Mr H C Flower,01/04/2000,Uphill Farm,Lawrence Street,London,,,NW7 4JS,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£215.12,NONE,£0.00,NO,£0.00
305600015A0006,WORKSHOP AND PREMISES,"£12,500",H F Rochat Ltd,01/04/2000,15a Moxon Street,Barnet,,,,EN5 5TS,NONE,£0.00,REVALUATION SUPPORT SMALL 5%,£259.18,NONE,£0.00,NO,£0.00
0646009032000B,CLUB HOUSE AND PREMISES,"£10,250",Barnet Elizabethans Rugby Football Club Limited,01/04/2000,Barnet Rugby Football Club,Byng Road,Barnet,Hertfordshire,,EN5 4NS,COMMUNITY AMATEUR SPORTS CLUB RELIEF,"£3,797.35",REVALUATION SUPPORT VARIABLE,£47.47,NONE,£0.00,NO,£0.00
44140090220001,SHOOTING CLUB AND PREMISES,"£9,700",East Barnet Shooting Club,01/04/2000,East Barnet Shooting Club,Victoria Road,Barnet,Hertfordshire,,EN4 9PA,COMMUNITY AMATEUR SPORTS CLUB RELIEF,"£3,717.04",REVALUATION SUPPORT VARIABLE,£27.88,NONE,£0.00,NO,£0.00
21860041320011,SHOP AND PREMISES,"£19,500",Qwan Ki Do Ltd,25/06/2013,Laxman House,413 Hendon Way,London,,,NW4 3LJ,COMMUNITY AMATEUR SPORTS CLUB RELIEF,"£6,423.17",REVALUATION SUPPORT VARIABLE,£80.29,NONE,£0.00,NO,£0.00
04880012220006,SPORTS GROUND AND PREMISES,"£17,250",The Temple Fortune Club,01/04/2000,Temple Fortune Club,122 Bridge Lane,London,,,NW11 9JS,COMMUNITY AMATEUR SPORTS CLUB RELIEF,"£6,503.44",REVALUATION SUPPORT VARIABLE,£81.29,NONE,£0.00,NO,£0.00
18000090120004,TENNIS COURTS AND PREMISES,"£8,500",Barnet Lawn Tennis Club,01/04/2000,Gloucester Lawn Tennis Club Bt,2-4 Gloucester Road,Barnet,Hertfordshire,,EN5 1RS,COMMUNITY AMATEUR SPORTS CLUB RELIEF,"£2,991.24",REVALUATION SUPPORT VARIABLE,£37.39,NONE,£0.00,NO,£0.00
13860090620001,CEMETERY AND PREMISES,"£40,250",Edgwarebury Joint Burial Brd,01/04/2000,Edgwarebury Cemetary,Edgwarebury Lane,Edgware,,,HA8 8QP,MANDATORY RATE RELIEF,"£6,083.58",REVALUATION SUPPORT VARIABLE,£76.04,NONE,£0.00,NO,£0.00
24060004610055,CEMETERY AND PREMISES,"£27,250",Spanish Portuguese & West London Synagogues,01/04/2000,Cemetery,Hoop Lane,London,,,NW11 7NJ,MANDATORY RATE RELIEF,"£3,642.40",REVALUATION SUPPORT VARIABLE,£45.53,NONE,£0.00,NO,£0.00
22380005220003,CINEMA AND PREMISES,"£44,450",Phoenix Cinema Trust Limited,01/04/2000,52 High Road,London,,,,N2 9PJ,MANDATORY RATE RELIEF,"£9,570.68",REVALUATION SUPPORT VARIABLE,£119.63,NONE,£0.00,NO,£0.00
20440000200009,CLUB HOUSE AND PREMISES,"£5,500",Bachad Fellowship Friends Of Bnei Akiva,01/04/2000,2 Hallswelle Road,London,,,,NW11 0DJ,MANDATORY RATE RELIEF,"£1,695.23",REVALUATION SUPPORT VARIABLE,£21.19,NONE,£0.00,NO,£0.00
00480090420004,COLLEGE AND PREMISES,"£46,500",Jews College London,01/04/2000,Schaller House,Albert Road,London,,,NW4 2SG,MANDATORY RATE RELIEF,"£16,478.83",REVALUATION SUPPORT VARIABLE,£350.18,NONE,£0.00,NO,£0.00
21800010410009,COLLEGE AND PREMISES,"£29,250",London Seminary,01/04/2010,The London Theological Seminary,104 Hendon Lane,London,,,N3 3SQ,MANDATORY RATE RELIEF,"£7,635.35",REVALUATION SUPPORT VARIABLE,£162.25,NONE,£0.00,NO,£0.00
00076000260000,COMMUNITY CENTRE AND PREMISES,"£16,000",Barnet Multicultural Community Centre,01/04/2000,26e Algernon Road,London,,,,NW4 3TA,MANDATORY RATE RELIEF,"£5,972.08",REVALUATION SUPPORT VARIABLE,£74.65,NONE,£0.00,NO,£0.00
35620001210017,COMMUNITY CENTRE AND PREMISES,"£6,900",C Simcha,05/06/2009,Gnd Fl Derwent House,12 Queens Road,London,,,NW4 2TH,MANDATORY RATE RELIEF,"£2,601.38",REVALUATION SUPPORT VARIABLE,£32.52,NONE,£0.00,NO,£0.00
45420013300014,COMMUNITY CENTRE AND PREMISES,"£12,750",Hendon Mosque & Islamic Centre,01/06/2003,133 The Broadway,London,,,,NW9 7DY,MANDATORY RATE RELIEF,"£4,694.20",REVALUATION SUPPORT VARIABLE,£60.39,NONE,£0.00,NO,£0.00
14400003710034,DAY NURSERY AND PREMISES,"£28,500",Talmud Torah Tiferes Shlome Trust,01/04/2002,Adj,37 Elmcroft Crescent,London,,,NW11 9TB,MANDATORY RATE RELIEF,"£7,849.70",REVALUATION SUPPORT VARIABLE,£98.12,NONE,£0.00,NO,£0.00
05980003900006,HALL AND PREMISES,"£5,700",11th Finchley Scouts & 7th North Finchley Guides,01/04/2000,Woodgrange Hall,39 Budd Close,London,,,N12 8SQ,MANDATORY RATE RELIEF,"£2,091.26",REVALUATION SUPPORT VARIABLE,£26.14,NONE,£0.00,NO,£0.00
22440092620003,HALL AND PREMISES,"£48,000",The Template Foundation,01/02/2003,The Centre,Bath Place,Barnet,Hertfordshire,,EN5 5XE,MANDATORY RATE RELIEF,"£14,161.79",REVALUATION SUPPORT VARIABLE,£311.93,NONE,£0.00,NO,£0.00
27220018410031,HALL AND PREMISES,"£15,000",Finchley 141 Sea Cadet Corps,01/04/2000,Training Ship Tartar,184 Long Lane,London,,,N3 2HX,MANDATORY RATE RELIEF,"£4,613.93",REVALUATION SUPPORT VARIABLE,£605.58,NONE,£0.00,NO,£0.00
28460008000003,HALL AND PREMISES,"£7,000",1st New Barnet Scout Group ,01/04/2000,80 Margaret Road,Barnet,Hertfordshire,,,EN4 8AA,MANDATORY RATE RELIEF,"£1,897.44",REVALUATION SUPPORT VARIABLE,£249.04,NONE,£0.00,NO,£0.00
33100090220009,HALL AND PREMISES,"£5,500",5th East Barnet Scout Group,01/04/2000,Scout Hut,Osidge Lane,London,,,N14 5DN,MANDATORY RATE RELIEF,"£1,674.50",REVALUATION SUPPORT VARIABLE,£20.93,NONE,£0.00,NO,£0.00
36200090920007,HALL AND PREMISES,"£7,400",2nd Edgware Scout Group ,01/04/2000,Scout Headquarters,Rectory Lane,Edgware,Middlesex,,HA8 7LF,MANDATORY RATE RELIEF,"£2,730.98",REVALUATION SUPPORT VARIABLE,£34.14,NONE,£0.00,NO,£0.00
35080090110004,HOTEL AND PREMISES,"£7,600",St Marys At The Cross,15/09/2011,St Raphael The Retreat  At,Convent Of St Mary The Cross,Priory Field Drive,Edgware,Middlesex,HA8 9PU,MANDATORY RATE RELIEF,"£1,737.81",REVALUATION SUPPORT VARIABLE,£21.72,NONE,£0.00,NO,£0.00
16740090220003,LIBRARY AND PREMISES,"£11,250",Friern Barnet Community Library,01/05/2013,Public Library,Friern Barnet Road,London,,,N11 3DS,MANDATORY RATE RELIEF,"£4,180.98",REVALUATION SUPPORT VARIABLE,£52.26,NONE,£0.00,NO,£0.00
23340003700002,MUSEUM AND PREMISES,"£13,000",The Francis Skaryna Belarusian Library &,01/04/2011,37 Holden Road,London,,,,N12 8HS,MANDATORY RATE RELIEF,"£4,282.11",REVALUATION SUPPORT VARIABLE,£53.53,NONE,£0.00,NO,£0.00
18860013010019,OFFICE AND PREMISES,"£33,250",Achiezer,12/06/2015,Ground Floor Rear,130-134 Granville Road,London,,,NW2 2LD,MANDATORY RATE RELIEF,"£11,675.76",REVALUATION SUPPORT VARIABLE,£248.11,NONE,£0.00,NO,£0.00
01160090610079,OFFICES AND PREMISES,"£15,750",London Board For Schecita,01/04/2002,1st Flr Rear Office,Elscot House,Arcadia Avenue,London,,N3 2JU,MANDATORY RATE RELIEF,"£5,762.13",REVALUATION SUPPORT VARIABLE,£74.14,NONE,£0.00,NO,£0.00
04600003910012,OFFICES AND PREMISES,"£14,500",New Shul Charitable Trust,01/09/2009,Rear,39 Brent Street,,,,NW4 2ED,MANDATORY RATE RELIEF,"£4,816.08",REVALUATION SUPPORT VARIABLE,£60.20,NONE,£0.00,NO,£0.00
04600015010037,OFFICES AND PREMISES,"£25,500",The Union Of Maccabi Associations In Great Britain & Northern Ireland,01/01/2002,Gnd Flr Left Shield House,Harmony Way,London,,,NW4 2BZ,MANDATORY RATE RELIEF,"£9,388.41",REVALUATION SUPPORT VARIABLE,£117.36,NONE,£0.00,NO,£0.00
13780005810125,OFFICES AND PREMISES,"£55,000",Project S E E D Ltd,10/02/2005,2nd Fl Frnt Mowbray House 58-70,Edgware Way,Edgware,Middlesex,,HA8 8JP,MANDATORY RATE RELIEF,"£17,566.94",REVALUATION SUPPORT VARIABLE,£385.86,NONE,£0.00,NO,£0.00
15820040210011,OFFICES AND PREMISES,"£18,750",H.f.a.f. Ltd,26/10/2004,Acre House,402 Finchley Road,London,,,NW2 2HR,MANDATORY RATE RELIEF,"£6,104.35",REVALUATION SUPPORT VARIABLE,£78.82,NONE,£0.00,NO,£0.00
15820076610016,OFFICES AND PREMISES,"£22,250",Shaare Zedek UK Ltd ,01/04/2000,766a Finchley Road,London,,,,NW11 7TH,MANDATORY RATE RELIEF,"£7,488.50",REVALUATION SUPPORT VARIABLE,£96.59,NONE,£0.00,NO,£0.00
15820100700026,OFFICES AND PREMISES,"£12,500",Starscope Ltd,01/10/2002,Gnd Fl,1007 Finchley Road,London,,,NW11 7HB,MANDATORY RATE RELIEF,"£3,489.00",REVALUATION SUPPORT VARIABLE,£43.61,NONE,£0.00,NO,£0.00
15820111710201,OFFICES AND PREMISES,"£65,500",Better World Charity Limited,12/02/2010,1117A Finchley Road,London,,,,NW11 0QB,MANDATORY RATE RELIEF,"£23,563.27",REVALUATION SUPPORT VARIABLE,£500.72,NONE,£0.00,NO,£0.00
21680000410015,OFFICES AND PREMISES,"£13,000",Helenslea Tzedoko (charity) Ltd,01/04/2015,2nd Flr,4A Helenslea Avenue,London,,,NW11 8ND,MANDATORY RATE RELIEF,"£3,867.42",REVALUATION SUPPORT VARIABLE,£48.34,NONE,£0.00,NO,£0.00
22260000210116,OFFICES AND PREMISES,"£4,900",Chaverim Youth Organisation,22/11/2012,Office 2,Zohar Court,2A Highfield Avenue,London,,NW11 9ET,MANDATORY RATE RELIEF,"£1,543.85",REVALUATION SUPPORT VARIABLE,£19.30,NONE,£0.00,NO,£0.00
22460004800001,OFFICES AND PREMISES,"£66,500",Edgware Muslim Community Centre,22/01/2013,48 High Street,Edgware,Middlesex,,,HA8 7EQ,MANDATORY RATE RELIEF,"£23,129.36",REVALUATION SUPPORT VARIABLE,£491.50,NONE,£0.00,NO,£0.00
24503000010105,OFFICES AND PREMISES,"£16,000",Barnet Refugee Service,17/12/2013,Suite 8.3 8th Flr,Hyde House,The Hyde,London,,NW9 6LH,MANDATORY RATE RELIEF,"£5,661.06",REVALUATION SUPPORT VARIABLE,£70.76,NONE,£0.00,NO,£0.00
31620003210027,OFFICES AND PREMISES,"£14,500",Chosen People Ministries (UK),29/09/2012,1st Fl 32a,North End Road,London,,,NW11 7PT,MANDATORY RATE RELIEF,"£3,260.98",REVALUATION SUPPORT VARIABLE,£40.76,NONE,£0.00,NO,£0.00
33840003200008,OFFICES AND PREMISES,"£13,250",Lancelot Hasluck Trust,26/02/2007,32 Parkside Gardens,East Barnet,Barnet,,,EN4 8JR,MANDATORY RATE RELIEF,"£3,496.80",REVALUATION SUPPORT VARIABLE,£43.71,NONE,£0.00,NO,£0.00
36060002300009,OFFICES AND PREMISES,"£28,250",Jewish Marriage Council,01/04/2000,23 Ravenshurst Avenue,London,,,,NW4 4EE,MANDATORY RATE RELIEF,"£10,401.90",REVALUATION SUPPORT VARIABLE,£221.04,NONE,£0.00,NO,£0.00
40880004010065,OFFICES AND PREMISES,"£10,000",Rephael House,08/10/2007,40a Station Road,New Barnet,Hertfordshire,,,EN5 1QH,MANDATORY RATE RELIEF,"£3,172.71",REVALUATION SUPPORT VARIABLE,£39.66,NONE,£0.00,NO,£0.00
0460001501008A,OFFICES AND PREMISES,"£27,250",British Emunah Fund,01/04/2000,3rd Flr Right Shield House,Harmony Way,London,,,NW4 2BZ,MANDATORY RATE RELIEF,"£10,339.66",REVALUATION SUPPORT VARIABLE,£129.25,NONE,£0.00,NO,£0.00
060800033A0002,OFFICES AND PREMISES,"£29,250",Reculver Charitable Trust,01/04/2003,33 Bunns Lane,London,,,,NW7 2DX,MANDATORY RATE RELIEF,"£8,635.05",REVALUATION SUPPORT VARIABLE,£107.94,NONE,£0.00,NO,£0.00
0864000280001B,OFFICES AND PREMISES,"£10,500",African Cultural Association,21/07/2010,28 Church End,London,,,,NW4 4JX,MANDATORY RATE RELIEF,"£3,634.07",REVALUATION SUPPORT VARIABLE,£45.43,NONE,£0.00,NO,£0.00
1582007661002B,OFFICES AND PREMISES,"£14,500",One Family Uk,01/06/2010,766b Finchley Road,London,,,,NW11 7TH,MANDATORY RATE RELIEF,"£4,090.37",REVALUATION SUPPORT VARIABLE,£53.09,NONE,£0.00,NO,£0.00
185800027A9008,OFFICES AND PREMISES,"£2,500",Asra Housing Group Limited,01/04/2000,Scheme Managers Office Chand House,27a Grange Avenue,London,,,N12 8EW,MANDATORY RATE RELIEF,£710.24,REVALUATION SUPPORT VARIABLE,£8.88,NONE,£0.00,NO,£0.00
2168000041000A,OFFICES AND PREMISES,"£22,000",Helenslea Tzedoko (charity) Ltd,01/04/2015,1st Flr,4A Helenslea Avenue,London,,,NW11 8ND,MANDATORY RATE RELIEF,"£8,107.94",REVALUATION SUPPORT VARIABLE,£101.35,NONE,£0.00,NO,£0.00
2226000021012A,OFFICES AND PREMISES,"£5,600",Chaverim Youth Organisation,22/11/2012,Office 3,Zohar Court,2A Highfield Avenue,London,,NW11 9ET,MANDATORY RATE RELIEF,"£2,131.70",REVALUATION SUPPORT VARIABLE,£26.65,NONE,£0.00,NO,£0.00
4358000370002B,OFFICES AND PREMISES,"£9,700",The Jesus Hospital in Chipping Barnet,01/04/2000,Ravenscroft Lodge,37 Union Street,Barnet,,,EN5 4HY,MANDATORY RATE RELIEF,"£3,717.04",REVALUATION SUPPORT VARIABLE,£27.88,NONE,£0.00,NO,£0.00
474400002A0003,OFFICES AND PREMISES,"£40,000",Jewish Deaf Association,01/04/2000,Julius Newman House,Woodside Park Road,London,,,N12 8RP,MANDATORY RATE RELIEF,"£13,523.21",REVALUATION SUPPORT VARIABLE,£169.04,NONE,£0.00,NO,£0.00
4748000131000A,OFFICES AND PREMISES,"£8,700",Heruka Centre,04/10/2011,Office In Rear Garden,13 Woodstock Road,London,,,NW11 8ES,MANDATORY RATE RELIEF,"£2,951.85",REVALUATION SUPPORT VARIABLE,£36.90,NONE,£0.00,NO,£0.00
18180015210006,OFFICES AND PREMISES PART EXEMPT,"£35,250",Jewish Learning Exchange/OHR Somayach Limited,01/10/2016,1st Flr,152-154 Golders Green Road,London,,,NW11 8HE,MANDATORY RATE RELIEF,"£12,696.26",REVALUATION SUPPORT VARIABLE,£253.93,NONE,£0.00,NO,£0.00
17540090510048,OFFICES OFFICE AND PREMISES,"£121,000",Others First Foundation,15/07/2016,Unit A,Geron Way,London,,,NW2 6LD,MANDATORY RATE RELIEF,"£37,431.32",REVALUATION SUPPORT VARIABLE,£444.50,NONE,£0.00,NO,£0.00
459600011A0002,RECORDING STUDIO AND PREMISES,"£4,300",Barnet Borough Talking Newspaper,01/04/2000,11a Wetherill Road,London,,,,N10 2LS,MANDATORY RATE RELIEF,"£1,647.76",REVALUATION SUPPORT VARIABLE,£8.24,NONE,£0.00,NO,£0.00
01940090120004,SCHOOL AND PREMISES,"£32,500",The Headteacher,01/04/2000,St Pauls Church Of England School,The Avenue,London,,,N11 1NF,MANDATORY RATE RELIEF,"£11,334.72",REVALUATION SUPPORT VARIABLE,£141.68,NONE,£0.00,NO,£0.00
05120000120001,SCHOOL AND PREMISES,"£60,500",Holland House School Ltd The Board Of Governors,01/04/2000,Holland House School,1-3 Broadhurst Avenue,Edgware,Middlesex,,HA8 8TP,MANDATORY RATE RELIEF,"£23,183.60",REVALUATION SUPPORT VARIABLE,£492.65,NONE,£0.00,NO,£0.00
06740901200008,SCHOOL AND PREMISES,"£15,500",The Headteacher,01/04/2008,Monken Hadley Church Of England School,Camlet Way,Barnet,,,EN4 0NJ,MANDATORY RATE RELIEF,"£5,241.17",REVALUATION SUPPORT VARIABLE,£65.51,NONE,£0.00,NO,£0.00
07920290120004,SCHOOL AND PREMISES,"£68,500",Osidge Primary School,01/04/2000,Osidge Primary School,Chase Side,London,,,N14 5HD,MANDATORY RATE RELIEF,"£23,372.31",REVALUATION SUPPORT VARIABLE,£496.66,NONE,£0.00,NO,£0.00
08700091220007,SCHOOL AND PREMISES,"£34,750",St Mary's Church of England Primary School,01/04/2000,St Mary The Virgin Church Of England School,Church Hill Road,Barnet,Hertfordshire,,EN4 8SY,MANDATORY RATE RELIEF,"£12,246.74",REVALUATION SUPPORT VARIABLE,£268.15,NONE,£0.00,NO,£0.00
08920090120004,SCHOOL AND PREMISES,"£40,000",Trent Junior & Primary Church of England School,01/04/2000,Trent Junior & Primary Church Of England School,Church Way,Barnet,Hertfordshire,,EN4 9JH,MANDATORY RATE RELIEF,"£11,745.96",REVALUATION SUPPORT VARIABLE,£249.60,NONE,£0.00,NO,£0.00
09220290120004,SCHOOL AND PREMISES,"£63,000",Claremont Primary School,01/04/2000,Claremont Primary School,Claremont Road,London,,,NW2 1AB,MANDATORY RATE RELIEF,"£17,872.29",REVALUATION SUPPORT VARIABLE,£379.79,NONE,£0.00,NO,£0.00
10880090120008,SCHOOL AND PREMISES,"£40,500",St John's Church Of England School,01/04/2000,St Johns Church Of England School,Crescent Road,London,,,N11 3LB,MANDATORY RATE RELIEF,"£12,306.54",REVALUATION SUPPORT VARIABLE,£261.51,NONE,£0.00,NO,£0.00
