ExtractDate,OrganisationURI,OrganisationLabel,ContractReference,TitleOfTheAgreement,ContractType,DirectorateResponsible,DepartmentResponsible,ServiceCategory,ServiceCategoryURI,DescriptionOfGoodsAndServices,ProcurementClassification:ProclassLabel,ProcurementClassification:ProclassCode,StartDate,EndDate,ExtensionDate,ReviewDate,ContractValue,FixedorEstimatedCosts,IrrecoverableVAT,SupplierName,CompanyNumber,CharityCommissionNumber,SMESupplier,VCSESupplier,VCSESupplierType
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0030,Provision of the Handy Person Scheme,Single award contract,People and Places,Development Strategy,Housing services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1080,"South Lakeland District Council requests quotes for the provision of the Handy Person Scheme, a practical support service for vunerable and elderly households.",Social Community Care Supplies and Services - Adult,321000,10/02/2014,31/03/2018,,,90000,Estimated,0,Growing Concerns,5156257,0,Yes,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0187,Purchase and maintenance for Pay and Display Machines,,People and Places,Community and Leisure,,,"Purchase and maintenance of Pay and Display Machines.All parts and labour for faults arising during normal use of the machine or due to fair wear and tear.Two preventative maintenance visits per year.Response within 12 working hours, Monday to Friday.",,,01/07/2013,31/03/2018,,,155874,Estimated,0,Metric Group Limited,2560839,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0051,Legionella Monitoring Contract 2013-17,Single award contract,People and Places,Asset Management,Environmental and regulatory services,http://opendatacommunities.org/def/concept/finance/sercop/objective/10142,The contract is for works associated with the water monitoring and maintenance programme for the prevention of legionella for domestic hot and cold water services. The contract is to cover 18 properties managed by South Lakeland District Council. The work,Environmental Services|Monitoring,181400,01/06/2013,31/08/2017,,,60000,Estimated,0,Integrated Water Services Ltd,5283349,0,Yes,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0014,Bailiff and Debt Collection Services,Single award contract,Policy and Resources,Revenues & Benefits,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1010,"South Lakeland District Council and Eden District Council are committed to maximising the collection of Council Tax, National Non Domestic Rates and Sundry Debts including overpaid Housing Benefit by utilising all options available including the use of a ",Financial Services|DebtCollection and Recovery,201600,10/05/2013,02/06/2018,02/06/2018,,306500,Estimated,0,Jacobs,,0,Yes,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0013,Internal Audit Services,Single award contract,Policy and Resources,Financial Services,Central Services,,South Lakeland District Council (SLDC) and Eden District Council (EDC) are carrying out a joint procurement for their Internal Audit Services. Currently both Authorities use the same contractor for Internal Audit. Contractors are required to bid for the w,Financial Services/Audit,201100,03/04/2013,31/03/2019,01/04/2019,31/03/2018,525000,Estimated,0,TIAA Ltd,4546319,0,Yes,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0188,Software maintenance - Annual ICPS Licence and Support,,People and Places,Community and Leisure,,,Software maintenance - Annual ICPS Licence and Support.Software for street penalty notices and enforcement.,,,01/04/2013,31/03/2018,,,50000,Estimated,0,Mouchel Ltd,1686040,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0019,Stray Dog Collection and Kennelling Services,Single award contract,People and Places,Public Protection,Environmental and regulatory services,http://opendatacommunities.org/def/concept/finance/sercop/objective/10139,South Lakeland District Council is undertaking a procurement exercise for the provision of a collection abd kennelling of stray dog service.,Environmental Services|Animal Services|Kennelling Services|Service,180020,01/04/2012,31/03/2019,,,120000,Estimated,0,Milnthorpe Kennels and Cattery,8932302,0,Yes,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0183,Supply and analysis of diffusion tubes,,People and Places,Public Protection,,,Supply and analysis of diffusion tubes.,,,01/04/2012,31/03/2019,,,11515,Estimated,0,Environmental Scientifics Group,2880501,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0078,Agreement for hosting Internet and Ethernet Services,Single award contract,Policy and Resources,ICT Service,,,Agreement for hosting internet and ethernet Services.,,,21/02/2012,20/02/2015,,01/01/1900,,,0,IT Professional Services Limited (ITPS),,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0141,Braithwaite Fold Caravan Site Management Agreement,Single award contract,People and Places,Asset Management,Countryside recreation and management services,http://opendatacommunities.org/def/concept/finance/sercop/objective/10125,"South Lakeland District Council (SLDC) are tendering for a 5 year management agreement for the running of Braithwaite Fold Caravan site in Bowness On Windermere. The aim of the management agreement is to ensure the site operates at its maximum potential, ",Facilities and Management,190000,01/01/2012,18/01/2020,,18/07/2019,300000,Estimated,0,Camping and Caravanning Club,445520,0,No,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0195,Calibration of probe thermometers,,People and Places,Public Protection,,,Calibration of probe thermometers.,,,01/09/2011,28/09/2017,,,594.6,Estimated,0,Klipspringer Ltd,7676073,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0088,Agreement for the Provision of ICT Services,,Policy and Resources,ICT Service,,,South Lakeland District Council and Eden District Council have agreed to develop and establish a shared ICT service.,,,08/03/2011,31/03/2019,,01/01/1900,,,0,South Lakeland District Council and Eden District Council,,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0140,Revenues and Benefits Software,Single award contract,Policy and Resources,Revenues & Benefits,Support services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5051,South Lakeland District Council and Eden District Council are looking for a Windows 2003/2008 or similar based product to replace its current Revenues and Benefits systems.,Information Communication Technology|Software,271440,01/10/2010,30/09/2017,,,126000,Estimated,0,Civica UK Ltd,1628868,0,No,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0160,Hire contract for Citymaster 2000 x4 and Citymaster 1250 x1,,People and Places,Street Scene,,,Hire contract for 5 roadsweepers.,,,17/09/2010,29/10/2017,,,242956,Estimated,0,Hako Machines Ltd,,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0191,Calibration of Vibrograph,,People and Places,Public Protection,,,Biennal calibration of vibrograph.,,,26/07/2010,21/09/2018,,,1272,Estimated,0,EPC-UK (Exchem),,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0094,Disaster Recovery Contract,Single award contract,Policy and Resources,ICT Service,,,Support and maintenance of computer hardware.,,,01/07/2010,30/06/2013,,01/01/1900,6000,,0,IT Professional Services Limited (ITPS),,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0194,Shellfish testing for classification of shellfish beds,,People and Places,Public Protection,,,The Council are required to maintain the classification of shellfish beds.  Public Health England test the samples in their laboratory.,,,29/04/2010,31/03/2018,,,6879,Estimated,0,Public Health England,,0,No,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0178,Software for National Grid (post war) raster dataset,,People and Places,Public Protection,,,"Annual user fee for continued use of the, National Grid (post war) raster dataset, licence number NG00128",,,06/04/2010,31/03/2018,,,2392.06,Estimated,0,Landmark Information Group Limited,2892803,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0065,Grounds Maintenance,Single award contract,People and Places,Community and Leisure,Cultural and related services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1038,"""South Lakeland District Council is running a procurement exercise to find a contractor for the provision of the best horticultural practice; the creation, and maintenance of visually pleasing horticultural features, and the maintenance of rigorous standa",works-Construction Repair and Maintenance|Open Spaces,391300,01/04/2010,31/03/2024,26/07/2017,03/10/2022,9450000,Estimated,0,Continental Landscapes Ltd,2416889,0,No,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0182,Inclusive maintenance contract for air pollution monitoring system,,People and Places,Public Protection,,,Inclusive maintenance contract for air pollution monitoring system.,,,01/04/2010,31/03/2018,,,29787,Estimated,0,Horiba UK Ltd,,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0098,Discounted payment scheme for blue badge holders Westmorland Shopping Centre Car Park,,People and Places,Community and Leisure,,,A service level agreement with Shopmobility to operate a discounted payment system for blue badge holders.,,,01/05/2009,01/05/2010,,01/05/2010,12000,,0,Kendal and South Lakes Shopmobility,1072862,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0058,Provision of Commercial Services,Single award contract,People and Places,Asset Management,Planning services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1014,This contract is for the provision of Commercial Services by HM Land Registry.,Legal Services/General Support,281200,30/01/2009,31/03/2018,,,    ,Estimated,0,HM Land Registry,,0,No,No,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0213,Mobile Payment Service (Pingit),,Policy and Resources,ICT Service,,,Mobile Payment Service (Pingit),,,05/12/1998,31/03/2018,,01/01/1900,20000,Estimated,0,Capita,,0,,,
