Billing Year,Liable Unit Ref,Liability Start,Liability End,Company Name,Billing Year Balance,Liable Unit Balance,Propref,Property Address,Billing Address
,9054163,01-Sep-08,31-Dec-09,Oakenclough Buildings Ltd,-574.03,-574.03,77648730,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Attn Glenn Brady, Oakenclough Mill, Garstang, Preston, PR3 1TB"
,9001172,01-Apr-97,31-May-09,Plastic Drum Reconditioning Ltd,-515.23,-515.23,29284701,"Units 25/26 Robin Hood Works, Grove Street, Brighouse, HD6 1PL","Clifton Bridge Works, Wood Street, Brighouse, HD6 1PW"
,9009583,26-Apr-02,31-Mar-09,Premier Accident Management Uk (Yorkshire)Ltd,-523,-523,68308736,"327a Queens Road, Halifax, HX1 4PY",No Forwarding Address
,9049247,03-Jan-08,15-Sep-09,R & A Parcels (Hx) Ltd [Dissolved],-91.28,-91.28,65264761,"Unit G6, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF","Ceased To Trade , No Assets., Dissolved"
,9047347,01-Aug-07,31-Jul-09,Spot On Concrete [Hx] Ltd,-77.08,-77.08,69312734,"Empire Works, Watkinson Road, Halifax, HX2 9AB","Fao Steven Walker, 90 Pye Nest Road, Pye Nest, Halifax, HX2 7HS"
,9043507,01-Apr-05,31-Jul-09,Spot On Concrete [Hx] Ltd,-211.08,-211.08,69312738,"Unit 39 Empire Works, Watkinson Road, Halifax, HX3 6SD","Fao Steven Walker, 90 Pye Nest Road, Pye Nest, Halifax, HX2 7HS"
,9002602,01-Apr-01,02-Nov-09,Terberg Dts [Uk] Ltd,-288.34,-288.34,56174728,"Unit G14 Lock View, Lowfields Business Park, Elland, HX5 9HD","Lowfields Business Park, Elland, HX5 9DA"
,9001220,15-May-96,31-Aug-09,Titan Outdoor Advertising Ltd,-63.68,-63.68,29308706,"Board No 2296/04, Hartshead Moor Service Area, Hartshead Moor, Brighouse           HD6 4JX","C/O The Cotton Exchange, 1st Floor, Edmund Street, Liverpool, L3 9LQ"
,,,,,"Total for Billing Year : -�10,387.27",,,,
2010,9064429,01-Sep-10,13-Sep-10,Abbey Business Contracts Ltd (In Liquidation),-55.4,-55.4,56132760,"18 Huddersfield Road, Elland, HX5 9DW","O'Hara & Co, C/O Wesley House, Huddersfield Road, Birstall, Batley, WF17 9EJ"
,9060443,18-Nov-09,31-Aug-10,Abbey Pub Management Ltd (In Liquidation),-652.07,-652.07,56132760,"18 Huddersfield Road, Elland, HX5 9DW","O'Hara & Co, Wesley House, Huddersfield Road, Birstall, Batley, WF17 9EJ"
,9057756,26-May-09,24-Aug-10,Abbey Pub Management Ltd (In Liquidation),-576.71,-576.71,77240705,"The Milestone, Halifax Road, Ripponden, Sowerby Bridge       HX6 4BQ","O'Hara & Co, Wesley House, Huddersfield Road, Birstall, Batley, WF17 9EJ"
,9008430,01-Apr-01,31-Aug-11,Beech Hill J & I School,-220.11,-1125.15,65880700,"Beech Hill J & I School, Mount Pleasant Avenue, Halifax, HX1 5TN","Beech Hill J & I School, Mount Pleasant Avenue, Halifax, HX1 5TN"
,9048775,01-Oct-07,29-Oct-10,Bradfast Ltd,-45.18,-45.18,29084724,"Unit 7, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA","Unit 2, Junction 22 Business Park, Huddersfield Road, Mirfield, WF14 9DA"
,9007402,01-Apr-96,31-Mar-12,Bradshaw J & I School,-1194.58,-3576.08,65432700,"Bradshaw J & I School, Ingham Lane, Bradshaw, Halifax             HX2 9PF","Ingham Lane, Bradshaw, Halifax, HX2 9PF"
,9054288,13-Oct-08,31-Mar-10,Brighouse Textiles [Wholesale] Ltd [ In Liquidation],-154.92,-154.92,64288764,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ","O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ"
,9003728,01-Apr-92,30-Apr-11,Casson & Co Ltd,-262.7,-298.19,64288721,"Market Stall 25-26, Market Hall, Borough Market, Halifax             HX1 1DZ","117 Huddersfield Road, Oldham, OL1 3NY"
,9060434,17-Jun-09,30-Apr-10,Castelite Ltd,-135,-135,29236751,"Casa Del Lago, Elland Road, Brighouse, HD6 2AB","281 Elland Road, Brookfoot, Brighouse, HD6 2RG"
,9063126,01-Apr-10,31-Mar-10,Converga Ltd,-652.81,-652.81,29236806,"Unit 5A Part First Floor, Springvale Works, Elland Road, Brighouse            HD6 2RN","Headrow House, 19 Old Leeds Road, Huddersfield, HD1 1SG"
,9060491,21-Aug-09,25-Mar-11,Delilink Ltd,-57.17,-57.17,29460711,"Delilink, Park Street, Brighouse, HD6 1JL","17 Commercial Street, Brighouse, HD6 1AF"
,9006959,01-Apr-92,31-Mar-10,Due West Limited,-540.55,-540.55,65276009,"9 Harrison Road, Halifax, HX1 2AF","O & C Management Limited, 9 Harrison Road, Halifax, HX1 2AF"
,9064397,01-Sep-10,30-Jan-11,Eckersley Heroes Ltd,-31.28,-31.28,65344866,"Office H M 2.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",
,9050085,20-Oct-07,04-May-10,Fires And Fireplaces Ltd,-104.73,-104.73,68452338,"338 Salterhebble Hill, Halifax, HX3 0QT","Company Dissolved, 04/05/10"
,9050292,13-Mar-08,24-Mar-11,Fourward Engineering Ltd In Liquidation,-51.56,-51.56,78192745,"Wood Mill, Halifax Road, Todmorden, OL14 6EE","C Brooksbank, O'Hara & Co, Wesley House, Huddersfiled Road, Birstall Batley, WF17 9EJ"
,9067056,01-Apr-05,31-Mar-10,Hillcrest Garage (Sowerby Bridge) Ltd,-5587.46,-5942.28,77108732,"Hillcrest Garage, Burnley Road, Sowerby Bridge, HX6 2TL","Hillcrest Garage, Burnley Road, Sowerby Bridge, HX6 2TL"
,9036676,03-Oct-05,13-Feb-11,J & T Clothing Ltd,-404.04,-404.04,64352732,"Unit 6, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA","Registered Office, The Counting House, Wade House Road, Shelf, HX3 7PB"
,9085970,14-Aug-10,,K D T Accountancy & Taxation Services Ltd,-0.01,-0.01,64700020,"20 Cow Green, Halifax, HX1 1HX",
,9069062,24-Jan-11,23-Jan-11,Lancaster Consultancy Hr Ltd,-256.17,-256.17,76256774,"1D Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ","Unit 4 Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ"
,9058193,01-Jul-09,17-Aug-10,Luxury Nook Ltd,-57.96,-57.96,76160784,"Unit 10E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU","Silverburn Steading, Saul Farm, Leslie, Insch, AB52 6PA"
,9061834,16-Mar-10,26-Oct-10,M.E Pubs Ltd,-169.19,-169.19,64496700,"Shoulder Of Mutton Inn, 1 Carr House Lane, Shelf, Halifax             HX3 7RB",No Forwarding Address
,9002292,01-Apr-90,,Mel Green Construction Ltd,-224.64,-557.05,56108700,"Adj Parkfield Garage, George Street, Elland, HX5 0NE",
,9035955,01-Apr-05,30-Apr-10,Michael A Taylor Solicitors [ In Liquidation ],-12.88,-12.88,29048728,"Fairway House, 20 Bethel Street, Brighouse, HD6 1JN","C/O P S Wallace & Co, 284 Clifton Drive South, Lytham St Annes, Lancs, FY8 1LH"
,9003434,01-Apr-01,31-Mar-13,Mount Pellon J & I School,-2061.61,-6516.61,64176706,"Mount Pellon J & I School, Battinson Road, Halifax, HX1 4RW","Mount Pellon J & I School, Battinson Road, Halifax, HX1 4RW"
,9008964,01-Apr-96,,Parkinson Lane J & E School,-9167.99,-42304.74,68224705,"Parkinson Lane J & I School, Parkinson Lane, Halifax, HX1 3XL",
,9052926,01-Jun-08,01-Oct-10,Pouchpak Ltd,-18.9,-18.9,65516760,"161B First Floor, King Cross Road, Halifax, HX1 3LN","6 Princess Terrace, Halifax, HX1 2NH"
,9008054,01-Apr-93,09-Sep-10,Pratt Burnerd International Ltd,-32460.05,-48822.25,65652721,"Park Works, Arnold Street, Lister Lane, Halifax             HX1 5JH","C/O 600 Uk Ltd, Union Street, Heckmondwike, WF16 0HN"
,9053223,14-May-08,31-Jul-10,Quarmby Promotions Ltd,-1209.84,-1209.84,29508711,"Unit 1, Sherwood Road, Brighouse, HD6 1QG","Units 22-23, Howley Park Business Village, Howley Park Road, Morley, Leeds, LS27 0BZ"
,9063835,01-Jun-10,31-Mar-11,Safety Systems Technology Ltd,-3.58,-3.58,56248710,"Unit 3, Westbury Street, Elland, HX5 9AT","Unit 3 Westbury Street, Elland, HX5 9AT"
,9054868,31-Jul-08,31-Jul-10,School Of Thought 2000 Ltd,-15.53,-15.53,77196711,"Office 7, Church View Office Centre, Elland Road, Ripponden            HX6 4DB","41 Stonelea, Barkisland, Halifax, HX4 0HD"
,9057885,01-Jun-09,12-Jul-10,School Of Thought 2000 Ltd,-6.4,-6.4,77196713,"Office 8, Church View Office Centre, Elland Road, Ripponden            HX6 4DB","41 Stonelea, Barkisland, Halifax, HX4 0HD"
,9048217,01-Aug-07,31-May-10,The Bradford T.P.S,-637.76,-637.76,65236711,"Bradford T P S, Halifax Road, Shelf, Halifax              HX3 7JT","C/O Halifax V W, Halifax Road, Shelf, Halifax, HX3 7JT"
,9060147,17-Aug-09,31-Mar-11,The Sipp Broker Ltd,-1655.8,-1655.8,68740001,"1 St Johns Lane, Halifax, HX1 2JD","54 West End Drive, Cleckheaton, BD19 6JD"
,9042139,13-Oct-06,03-Sep-10,Think Kaleidoscope Ltd,-355.43,-355.43,56084735,"Unit 1 Marshall Hall Mills, Elland Lane, Elland, HX5 9DU","C/O O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ"
,9026662,12-Sep-03,31-Aug-10,Trustees Of Brighouse Sunday Football League,-4.83,-4.83,29296719,"Lane Head Recreation Ground, Halifax Road, Brighouse, HD6 2EA","C/O Mr Russell Holmes, 7 Hardy Place, Brighouse, HD6 2PW"
,9062848,26-Apr-10,11-Jun-10,West Yorkshire Plant Hire Ltd,-10,-10,64456710,"Unit 5 Springwood Bu'ss Park, Brookwoods Industrial Estate, Burrwood Way, Holywell Green       HX4 9BH","Unit 6, Woodman Works, South Lane, Elland, HX5 0PA"
,9003176,01-Apr-00,31-Mar-10,Wilmar Ltd,-375,-375,64040722,"Unit 3 Victoria Terminal, Albert Road, Halifax, HX2 0BY","Company, Dissolved"
,9057265,29-Apr-09,15-Jan-11,Y T C Ltd,-1932.28,-1932.28,29196033,"33 Commercial Street, Brighouse, HD6 1AF","Maclaren House, Skerne Road, Driffield, East Yorkshire, YO25 6PN"
,,,,,"Total for Billing Year : -�61,362.12",,,,
2011,9071203,10-Sep-11,09-Oct-11,Administrators Of James H Sutcliffe Ltd,-65.66,-65.66,78076791,"S/0 752 Burnley Road, Todmorden, OL14 8LF","Co Bdo Llp, 3 Hardman Street, Manchester, M3 3AT"
,9044259,01-Mar-07,07-Jul-11,Amazonails Ltd,-44.37,-44.37,78120702,"Unit 1 Hope Mill, Crescent Street, Todmorden, OL14 5HJ","Unit 1, Hope Mill, Crescent Street, Todmorden, OL14 5HJ"
,9064335,01-Nov-09,01-Oct-11,Anchor Trust,-157.18,-157.18,65344884,"Office H M 2.13, Holdsworth Mills, Holdsworth Road, Halifax              HX3 6SN","Burnbank House, Balliol Business Park, Longbenton, Newcastle Upon Tyne, NE12 8EW"
,9064337,01-Apr-10,01-Oct-11,Anchor Trust,-24.13,-24.13,65344746,"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN","Burnbank House, Balliol Business Park, Longbenton, Newcastle Upon Tyne, NE12 8EW"
,9054249,01-Dec-07,01-Oct-11,Anchor Trust,-150.72,-150.72,65344883,"Office H M 2.12, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN","Burnbank House, Balliol Business Park, Longbenton, Newcastle Upon Tyne, NE12 8EW"
,9067202,01-Apr-11,31-Jul-11,Beap Community Partnership,-89.85,-89.85,65516172,"172 King Cross Road, Halifax, HX1 3LN","31 Cornwall Road, Bradford, West Yorkshire, BD8 7JN"
,9008430,01-Apr-01,31-Aug-11,Beech Hill J & I School,-905.04,-1125.15,65880700,"Beech Hill J & I School, Mount Pleasant Avenue, Halifax, HX1 5TN","Beech Hill J & I School, Mount Pleasant Avenue, Halifax, HX1 5TN"
,9007402,01-Apr-96,31-Mar-12,Bradshaw J & I School,-2381.5,-3576.08,65432700,"Bradshaw J & I School, Ingham Lane, Bradshaw, Halifax             HX2 9PF","Ingham Lane, Bradshaw, Halifax, HX2 9PF"
,9001753,01-Apr-90,28-Feb-11,Brighouse Textiles [Wholesale] Ltd [ In Liquidation],-577.19,-577.19,29572703,"Section 19, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse           HD6 4AW","O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ"
,9066928,19-Nov-10,20-Oct-11,Brogan Business Parks Ltd,-43.41,-43.41,64448827,"Unit R1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ","C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW"
,9075117,21-Oct-11,19-Feb-12,Brogan Business Parks Ltd,-7.1,-7.1,64448827,"Unit R1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ","C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW"
,9066201,28-Jan-11,31-Mar-11,C.P.P.S Policy Exchange Ltd,-414.7,-414.7,76280700,"6 Hollins Place, Hebden Bridge, HX7 8EU","64 Towngate, Heptonstall, Hebden Bridge, HX7 7NB"
,9003728,01-Apr-92,30-Apr-11,Casson & Co Ltd,-35.49,-298.19,64288721,"Market Stall 25-26, Market Hall, Borough Market, Halifax             HX1 1DZ","117 Huddersfield Road, Oldham, OL1 3NY"
,9067574,14-Mar-11,29-Feb-12,Castledene Yorkshire Ltd,-50.91,-50.91,65516219,"219 King Cross Road, Halifax, HX1 3JL","Suite 1, Easington Business Centre, Seaside Lane, Easington, SR8 3LJ"
,9045584,02-Jan-07,25-Jan-12,City Services Ltd [In Administration],-24.25,-24.25,56192754,"Clayton House(Empty Offices), Park Road, Elland, HX5 9HP","C/O Deloitte, 1 City Square, Leeds, LS1 2AL"
,9065209,01-Oct-10,31-Dec-11,Claim 500 Ltd,-713.54,-713.54,76160784,"Unit 10E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU","242 Marton Road, Middlesborough, Cleveland, TS4 2EZ"
,9054651,01-Oct-08,31-Jan-12,Csc Computer Sciences  Ltd,-117.12,-117.12,65344771,"Unit SM4 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","Royal Pavilion, Tower 3 Lower Ground Floor, Wellesley Road, Aldershot, Hants, GU11 1PZ"
,9028767,21-Jun-04,,Dodnaze Community Association,-0.03,-0.03,76268054,"54 Hirst Grove, Hebden Bridge, HX7 8DN","Dodnaze Community Centre, 54 Hirst Grove, Hebden Bridge, HX7 8DN"
,9061906,01-Jan-10,02-Sep-11,Dreem Kitchens Ltd (In Administration),-32.56,-32.56,29608759,"Unit 2 Stotts Island, 17 Wakefield Road, Brighouse, HD6 1PE","Kellie Bell, C/O Begbies Traynor, 340 Deansgate, Manchester, M3 4LY"
,9059464,26-Sep-09,24-Aug-11,Floor My Home Ltd In Administration,-32.87,-32.87,68236762,"Unit 2 Halifax Retail Park, Pellon Lane, Halifax, HX1 5QP","Senate Recovery Ltd, 12a Church Street, Warwick, CV34 4AB"
,9073639,30-Mar-12,29-Mar-12,Frank Marshall Estates Ltd,-13.49,-1754.69,29080779,"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","4a Greengate, Cardale Park, Harrogate, HG3 1GY"
,9047434,01-Aug-07,31-Mar-12,Fred Howarth Ltd,-9.5,-9.5,78076864,"Unit 25 Robinwood Mill, Burnley Road, Todmorden, OL14 8JA","Jumps Road, Livegate, Todmorden, OL14 8HJ"
,9069007,01-Jun-11,,G A O'Dowd Ltd,-232.58,-232.58,65372708,"Unit B, Horley Green Road, Halifax, HX3 6AS","Whitelands, Churn Lane, Highroad Well, Halifax, HX2 7QW"
,9071052,20-Sep-11,10-Jul-12,Halifax Opportunities Trust,-14.84,-14.84,64242738,"Office 41 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER"
,9069556,01-Apr-11,30-Nov-11,Himmat Ltd,-118.35,-118.35,64242754,"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","34/36 Hanson Lane, Halifax, HX1 5NX"
,9071947,16-Nov-11,,Interserve Integrated Services Ltd,-502.51,-2128.26,65736742,"Part 1ST & 2ND Floors, Westgate House, Market Street, Halifax              HX1 1PD","Ebony House, Castlegate Way, Dudley, West Midlands, DY1 4TA"
,9001188,01-Apr-90,,J B Hill & Sons Ltd,-2519.83,-2519.83,29296700,"Halifax Road, Brighouse, HD6 2QJ","Hillcrest Quarry, Halifax Road, Brighouse, HD6 2PH"
,9064401,30-Jul-10,09-Oct-11,"L Roberts, S Dinning, D Van Gestel & L Van Gestel",-1250.51,-1250.51,77128716,"Salt Warehouse, Canal Wharf, Sowerby Bridge, HX6 2AG",
,9065347,29-Oct-10,13-Oct-11,La Salle [Uk] Investment Property Co,-1856.69,-1856.69,56174750,"Unit G17, Riverbank Way, Lowfields Business Park, Elland               HX5 9DN","Lim Accounts Payable, Po Box 3515, Norwich, NR7 7QX"
,9065641,01-Sep-10,18-May-11,Limehouse Films Ltd,-314.89,-314.89,64242788,"Off 5, 2ND Flr W Grove Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","The Ew Innovation Centre, Hopwood Lane, Halifax, HX1 5EP"
,9002292,01-Apr-90,,Mel Green Construction Ltd,-332.41,-557.05,56108700,"Adj Parkfield Garage, George Street, Elland, HX5 0NE",
,9003434,01-Apr-01,31-Mar-13,Mount Pellon J & I School,-2165,-6516.61,64176706,"Mount Pellon J & I School, Battinson Road, Halifax, HX1 4RW","Mount Pellon J & I School, Battinson Road, Halifax, HX1 4RW"
,9011187,01-Apr-90,24-Jun-11,Neaversons Of Halifax Ltd,-577.84,-577.84,69024704,"12 The Old Arcade, Halifax, HX1 1TJ","5 Russell Street, Halifax, HX1 1RL"
,9061777,03-Feb-10,22-Jun-11,P.H.S Ltd,-1884,-1884,29020716,"Armytage Road, Brighouse, HD6 1QF","Attn Andrew Knight, 7 Lancaster Way, Ermine Business Park, Huntingdon, Cambs, PE26 6XU"
,9008964,01-Apr-96,,Parkinson Lane J & E School,-8958.51,-42304.74,68224705,"Parkinson Lane J & I School, Parkinson Lane, Halifax, HX1 3XL",
,9070167,01-Oct-11,,Pennine Magpie Ltd,-0.01,-0.01,64628761,"Unit 15F, Calderdale Business Park, Club Lane, Halifax              HX3 8AX","Unit 4A, Calderdale Business Park, Club Lane, Halifax, HX2 8AX"
,9055953,21-Feb-09,28-Mar-12,Pennine Tool Hire [Yorkshire] Ltd (In Liquidation),-4.54,-4.54,65752707,"Unit 5, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW","C/O Poppleton Appleby, 32 High Street, Manchester, M4 1QD"
,9008054,01-Apr-93,09-Sep-10,Pratt Burnerd International Ltd,-16362.2,-48822.25,65652721,"Park Works, Arnold Street, Lister Lane, Halifax             HX1 5JH","C/O 600 Uk Ltd, Union Street, Heckmondwike, WF16 0HN"
,9069696,25-Jul-11,23-Mar-12,Pro Porsche (Brighouse) Ltd,-99.37,-99.37,29020705,"Armytage Road, Brighouse, HD6 1PT","337 Wakefield Road, Huddersfield, HD5 8DE"
,9070633,01-Feb-11,29-Mar-12,Quality Water Specialists Llp,-13.59,-13.59,29080779,"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","Suite 26 Century Building, Brunswick Business Park, Tower Street, Liverpool, L3 4BJ"
,9063506,01-Jul-10,30-Jun-11,Shaw Trust Ltd,-461.98,-461.98,64778794,"Office Suite G 438, Dean Clough Mills, Halifax, HX3 5AX","Epsom Court, White Horse Business Park, Trowbridge, Wiltshire, BA14 0XJ"
,9061597,02-Feb-10,30-Apr-11,Solutions4 I T (Uk)  Ltd,-299.49,-299.49,64242739,"Office 42 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","5 Thorpe Mill Court, Rochdale Road, Triangle, Halifax, HX6 3DA"
,9066289,01-Jan-11,30-Jun-11,Stercap Ltd,-395.4,-395.4,29236776,"Units 2/3, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS","F A O Mr Colin Wormald, Unit 1, Dominion Works, Denholmegate Road, Hipperholme, Halifax, HX3 8JG"
,9071315,10-Sep-10,09-Sep-10,The 600 Uk Group Public Limited Company,-128.24,-128.24,65652721,"Park Works, Arnold Street, Lister Lane, Halifax             HX1 5JH","P O Box 20, Union Street, Heckmondwike, WF16 0HN"
,9064831,01-Jun-10,30-Jun-11,Units To Let [Northern] Ltd,-807.53,-807.53,77024781,"Unit 20 Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge, HX6 3BS","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ"
,9005953,01-Apr-90,07-Jun-12,V T L [Europe] Ltd,-2033.17,-3645.24,65020700,"Cooper House Works, Luddendenfoot, Halifax, HX2 6EL","St Thomas Road, Huddersfield, HD1 3LG"
,,,,,"Total for Billing Year : -�47,224.09",,,,
2012,9053954,01-May-08,14-Feb-13,A & B Installations Ltd,-87.38,-87.38,77352746,"Unit 32 Mill House Works, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN","2 & 3 Langfield Business Park, Norland Road, Sowerby Bridge, HX6 3DF"
,9068310,17-Feb-11,,A.C.C (Flooring) Ltd,-2264.33,-2264.33,29572715,"Unit 1A, Woodvale Workshops, Thornhills Beck Lane, Brighouse            HX6 4AW","Unit 1a, Woodvale Workshops, Thornhills Beck Lane, Brighouse, HD6 4AW"
,9005940,01-Apr-90,,A.R.P. Security Services Ltd,-0.45,-0.45,65008031,"31 Edwards Road, Halifax, HX2 7DG",
,9073300,01-Apr-12,27-Nov-12,Albion Bowling Club,-84.42,-84.42,29296714,"Albion Bowling Club, R/O 143 Halifax Road, Brighouse, HD6 2ED","C/O Mr Neil Hopper, 38 Lords Lane, Brighouse, HD6 3RF"
,9033909,01-Jun-05,,Andrew Lomas Optometrist Ltd,-0.74,-0.74,56224031,"31 Southgate, Elland, HX5 0BW",
,9015905,16-Jun-90,,Anglo-American (One Stop) Ltd,-0.74,-0.74,78192700,"Unit A, Nanholme Mills, Halifax Road, Todmorden           OL14 6DA",
,9029755,01-Apr-04,,Arctic Media Ltd,-0.85,-0.85,64344710,"Unit 23 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",
,9083391,01-May-12,,Asda Stores Ltd,-1988,1988,65264799,"Atm Site (Barclays) At Asda, Hanson Lane, Halifax, HX1 4PG","G L Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX"
,9002687,01-Aug-01,,Benjamin Whiteley & Sons Ltd,-0.3,-0.3,56192725,"Park Road Mills, Park Road, Elland, HX5 9HX","Park Road Mills, Park Road, Elland, HX5 9HX"
,9072809,01-Dec-11,30-Apr-12,Bizspace Ltd,-657,-657,64628850,"Unit 1C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB"
,9009845,20-May-01,,Blue Gecko Trading Co Ltd,-72.22,-72.22,68392736,"Adj 40 Rochdale Road, Greetland, Halifax, HX4 8AX","Hollyns Warehouse, Adj 40 Rochdale Road, Greetland, Halifax, HX4 8AX"
,9072935,31-Dec-11,,Bower Green Warehousing Ltd.,-75.2,-75.2,68828707,"Rookes Mill, Station Road, Norwood Green, Halifax              HX3 8QD","Dryden Street, Bradford, BD1 5ND"
,9061505,01-Jan-10,,Bowers Mill Cafe Ltd,-94.8,-94.8,64344712,"Unit 32 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",
,9072974,01-Apr-12,,Bradshaw Primary Academy,-503.8,-1463.56,65432700,"Bradshaw J & I School, Ingham Lane, Bradshaw, Halifax             HX2 9PF",
,9072486,23-Dec-11,11-Dec-12,British Waterways,-1794.36,-1794.36,29636710,"Victoria Works, Mill Lane, Brighouse, HD6 1PP","Fao Simon Moore, Navigation Road, Northwich, Cheshire, CW8 1BH"
,9047687,01-May-07,,C & R Maintenance Services Ltd,-1.25,-1.25,65344855,"Office H M 3.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",
,9051141,11-Apr-08,,C F S (Brighouse) Ltd,-202.35,-202.35,29032704,"Atlas Mill Road, Brighouse, HD6 1ES",
,9036089,01-Oct-05,,C.D.R Supply Co Ltd,-0.59,-0.59,78076738,"Unit 1A, Canteen Mill Ind. Units, Burnley Road, Todmorden           OL14 7DR",
,9069631,16-Jul-11,,Cafe Dino's Ltd,-125.7,-120.7,64056023,"23 Alexandra Street, Halifax, HX1 1BS","23 Alexandra Street, Halifax, HX1 1BS"
,9058846,01-Apr-09,07-Nov-12,Calder High School,-226.36,-226.36,76452700,"Stubb Playing Fields, Mytholmroyd, Hebden Bridge, HX7 5AP","Midgley Road, Mytholmroyd, Hebden Bridge, HX7 5QN"
,9054646,10-Nov-08,31-Jul-13,Chunky Chicken (Halifax) Ltd,-227.7,-227.7,65164797,"112 Gibbet Street, Halifax, HX1 5BZ","116 Heights Lane, Rochdale, OL12 0QS"
,9002860,16-Apr-01,,Ciella Ltd,-1.03,-1.03,56224054,"54B Southgate, Elland, HX5 0DQ",
,9052593,01-Apr-08,,Clogs [Uk] Ltd,-0.37,-0.37,76372714,"Mount Pleasant House, Midgley Road, Mytholmroyd, Hebden Bridge        HX7 5LR","Unit 10 Mount Pleasant Mills, Midgley Road, Mytholmroyd, Hebden Bridge, HX7 5LR"
,9074692,01-Jun-11,31-May-11,Communitas Eu Ltd,-116,-116,64788779,"Office Suite D 109, Dean Clough Office Park, Halifax, HX3 5AX","Office Suites D107/D109, Dean Clough Mills, Halifax, HX3 5AX"
,9074690,01-Jun-11,31-May-11,Communitas Eu Ltd,-83,-83,64788841,"Office Suite D107, Dean Clough Mills, Halifax, HX3 5AX","Office Suites D107/D109, Dean Clough Mills, Halifax, HX3 5AX"
,9085582,24-Dec-12,31-May-13,Dean Clough Ltd,-1389.45,-12118.95,64784705,"Crib Lane Level 3 Bottom, Dean Clough Mils, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX"
,9060648,02-Dec-09,,Dondolare Ltd,-0.85,-0.85,77240226,"226 Halifax Road, Ripponden, Sowerby Bridge, HX6 4BG",
,9067738,01-Apr-11,30-Sep-12,Due West Ltd,-356.14,-356.14,68276004,"4 Powell Street, Halifax, HX1 1LN","C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF"
,9075264,04-Oct-12,11-Feb-13,E.I.B. Ltd,-319.22,-319.22,64180700,"Baxter Lane Works, Northowram, Halifax, HX3 7EF","Unit 3, Brow Mills Industrial Estate, Hipperholme, Halifax, HX3 8EF"
,9088384,01-Feb-12,,Elland Steel Structures Ltd,-5891.27,-13898.27,65164896,"Philmar House, High Road Well Works, Gibbet Street, Halifax              HX2 0AR","Philmar House, Highroad Well Works, Gibbet Street, HX2 0AR"
,9053756,17-Sep-05,,Eurofill Ltd,-0.15,-0.15,65600713,"Unit 14, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT","F.A.O. Mr David Laycock, Old Allen Barn, Old Allen Road, Harecroft, Bradford, BD13 3RY"
,9076433,28-Nov-12,,Evolve Fitness & Physio Limited,-33.15,-33.15,64036719,"Ground Floor, 4 Akroyd Place, Halifax, HX1 1YH",
