RATEPAYER,BILLING_ACCOUNT_BALANCE,LIABLE_UNIT_BALANCE,YEAR,PROPERTY_ADDRESS,BILLING_ADDRESS,DATE_START,DATE_END
Halifax Opportunities Trust,-470.38,-1047.19,2014,"Childrens Centre, Mount Pellon Primary Academy, Battinson Road, Halifax              HX1 4RG","Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",01-07-2014,
Halifax Opportunities Trust,-576.81,-1047.19,2015,"Childrens Centre, Mount Pellon Primary Academy, Battinson Road, Halifax              HX1 4RG","Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",01-07-2014,
E.I.B. Ltd,-319.22,-319.22,2012,"Baxter Lane Works, Northowram, Halifax, HX3 7EF","Unit 3, Brow Mills Industrial Estate, Hipperholme, Halifax, HX3 8EF",04-10-2012,11-02-2013
W Warburton & Co Ltd (In Liquidation),-426.2,-426.2,2002,"47/49 Bedford Street North, Halifax, HX1 5BH","C/O Messrs Grant Thornton, Eldon Lodge, Eldon Place, Bradford, BD1 3AP",01-04-1990,14-10-1992
,-141.68,-141.68,2002,"1 Beech Grove, Lightcliffe, Halifax, HX3 8UU",,28-10-1997,10-11-1997
,-118.68,-118.68,2014,"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",,12-09-2014,
,-0.23,-0.23,2012,"32 Bell Hall Terrace, Halifax, HX1 3EE",,08-11-2009,
,-96.26,-96.26,2004,"55 Parkinson Lane, Halifax, HX1 3XL",,01-04-1990,13-02-2005
K Engineering Nationwide Ltd,-239.39,-239.39,2013,"Unit 9, Eastfield Mills, Belmont Street, Halifax             HX3 6AT","7 Thornes Moor Close, Wakefield, WF2 8QA",21-08-2010,01-01-2014
,-24.51,-24.51,2012,"Unit 10, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",,23-01-1999,
,-2.23,-2.23,2010,"Office 29 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,10-03-2008,20-08-2010
Halifax Opportunities Trust,-2.85,-535.29,2014,"Office 34 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",01-10-2014,29-03-2015
Halifax Opportunities Trust,-532.44,-535.29,2015,"Office 34 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",01-10-2014,29-03-2015
Inomed Health Ltd,-595.38,-595.38,2012,"Office 38 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,01-04-2011,31-10-2014
C-Tech Innovation  Ltd,-15.93,-15.93,2015,"Office 40 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Capenhurst Technology Park, Capenhurst, Chester, CH1 6EH",15-05-2012,30-04-2015
Halifax Opportunities Trust,-14.84,-14.84,2011,"Office 41 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",20-09-2011,10-07-2012
Solutions4 I T (Uk)  Ltd,-299.49,-299.49,2011,"Office 42 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","5 Thorpe Mill Court, Rochdale Road, Triangle, Halifax, HX6 3DA",02-02-2010,30-04-2011
Halifax Opportunities Trust,-167.84,-167.84,2012,"Office 26 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",01-02-2012,31-05-2013
One Education Ltd,-86.63,0,2012,"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Universal Square, Devonshire Street North, Ardwick, Manchester, M12 6JH",01-11-2012,31-08-2014
Himmat Ltd,-118.35,-118.35,2011,"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","34/36 Hanson Lane, Halifax, HX1 5NX",01-04-2011,30-11-2011
Himmat Ltd,-104,-104,2015,"Office 1,2ND Floor Bond Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","34/36 Hanson Lane, Halifax, HX1 5NX",01-12-2013,18-03-2015
Limehouse Films Ltd,-314.89,-314.89,2011,"Off 5, 2ND Flr W Grove Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","The Ew Innovation Centre, Hopwood Lane, Halifax, HX1 5EP",01-09-2010,18-05-2011
Primesight Ltd,-0.05,143.95,2014,"Advertising Right At Jet, Service Stn (YDUK0702019034), Stainland Road, Greetland            HX4 8BQ","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01-04-2009,
,-394.64,-394.64,2009,"23 Boothtown Road, Halifax, HX3 6EU",,29-06-2007,20-04-2010
Best Rooms Halifax Ltd,-425,3825,2014,"The Flying Dutchman, 10 Boothtown Road, Halifax, HX3 6HG",,28-06-2013,
,-0.34,-0.34,2014,"38 Boothtown Road, Halifax, HX3 6NE",,30-07-2005,
,-8.17,-8.17,2002,"230 Boothtown Road, Halifax, HX3 6TU",,21-12-1993,28-03-1995
,-0.85,-0.85,2012,"19 Boothtown Road, Halifax, HX3 6EU",,01-10-2006,
,-0.74,-0.74,2012,"5 Borough Market, Halifax, HX1 1DY",,01-11-2006,
,-30,306,2013,"6 Borough Market, Halifax, HX1 1DY",,01-11-2004,
,-0.66,-0.66,2012,"15 Borough Market, Halifax, HX1 1DY",,26-01-2004,
,-66.32,-66.32,2010,"27 Borough Market, Halifax, HX1 1DY",,02-10-2006,31-03-2011
,-222.53,-245.03,2011,"28 Borough Market, Halifax, HX1 1DZ",,25-04-2011,31-03-2013
,-22.5,-245.03,2012,"28 Borough Market, Halifax, HX1 1DZ",,25-04-2011,31-03-2013
,-0.3,-0.3,2012,"35 Borough Market, Halifax, HX1 1DY",,01-04-1990,
,-335.24,-335.24,2011,"21/22 Borough Market, Halifax, HX1 1DY",,01-04-2009,31-03-2011
Casson & Co Ltd,-35.49,-298.19,2011,"Market Stall 25-26, Market Hall, Borough Market, Halifax             HX1 1DZ","117 Huddersfield Road, Oldham, OL1 3NY",01-04-1992,30-04-2011
Casson & Co Ltd,-262.7,-298.19,2010,"Market Stall 25-26, Market Hall, Borough Market, Halifax             HX1 1DZ","117 Huddersfield Road, Oldham, OL1 3NY",01-04-1992,30-04-2011
,-511.55,-511.55,2014,"Market Stall 82-84, Market Hall, Borough Market, Halifax             HX1 1DZ",,01-12-2008,
,-41.85,-41.85,2010,"Market Stall 85-86, Market Hall, Borough Market, Halifax             HX1 1DZ",,06-06-2005,01-08-2010
,-4.53,-4.53,2010,"Market Stall 89-90, Market Hall, Borough Market, Halifax             HX1 1DZ",,25-11-2003,20-04-2010
,-500,-500,2009,"Market Stall 94-95a, Market Hall, Borough Market, Halifax             HX1 1DZ",,01-04-2008,31-03-2009
,-577.55,-577.55,2008,"Market Stall 101-103, Market Hall, Borough Market, Halifax             HX1 1DZ",,01-04-2008,21-11-2008
,-50.02,-69.42,2011,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ",,22-11-2010,31-03-2013
,-126.9,-126.9,2010,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ",,01-04-2010,21-11-2010
Brighouse Textiles [Wholesale] Ltd [ In Liquidation],-154.92,-154.92,2010,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ","O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ",13-10-2008,31-03-2010
,-19.4,-69.42,2010,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ",,22-11-2010,31-03-2013
,-61.44,-5.84,2014,"Balcony Store 25, Borough Market, Halifax, HX1 1DZ",,21-04-2010,
,-510.97,-900.19,2011,"Market Stall 5,6-8, Borough Market, Halifax, HX1 1DZ",,01-12-2008,09-11-2012
,-165.01,-900.19,2012,"Market Stall 5,6-8, Borough Market, Halifax, HX1 1DZ",,01-12-2008,09-11-2012
,-224.21,-900.19,2010,"Market Stall 5,6-8, Borough Market, Halifax, HX1 1DZ",,01-12-2008,09-11-2012
,-145.01,-326.01,2014,"38/39 Borough Market, Halifax, HX1 1DZ",,06-11-2006,
,-181,-326.01,2013,"38/39 Borough Market, Halifax, HX1 1DZ",,06-11-2006,
,-106,34,2013,"Balcony Store, 28 Borough Market, Halifax, HX1 1DZ",,01-04-2009,
The Bradshaw Pub Co Ltd,-1.03,-1.03,2012,"Golden Fleece Inn, 1 Bradshaw Lane, Bradshaw, Halifax             HX2 9UZ","Fao Keith A Vear, 29 Whitley Drive, Holmfield, Halifax, HX2 9SJ",28-01-2010,
Arctic Media Ltd,-0.85,-0.85,2012,"Unit 23 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",,01-04-2004,
Bowers Mill Cafe Ltd,-94.8,-94.8,2012,"Unit 32 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",,01-01-2010,
,-0.37,-0.37,2012,"Unit 51 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",,01-09-1997,
Priory Hardwoods Ltd,-147.33,854.01,2014,"Unit 61 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD","Unit 61 Bowers Mill, Branch Road, Barkisland, Halifax, HX4 0AD",01-07-2013,
East Street Arts,-120.54,-120.54,2015,"Unit 12, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA","Patrick Studios, St Marys Lane, Leeds, LS9 7EH",01-04-2014,08-05-2015
La Romantica Beds Ltd,-471,2889,2014,"Unit 15, Brunswick Industrial Estate, Brassey Street, Halifax             HX1 2EL","Unit 8, Brunswick Industrial Estate, Brassey Street, Halifax, HX1 2EA",01-07-2009,
Brunswick Properties (Hx) Ltd,-312.95,-312.95,2015,"Unit 3A, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EL","C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",01-04-2014,31-03-2015
,-2318,-2318,2012,"Unit 3B, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EL",,05-10-2012,
J & T Clothing Ltd,-404.04,-404.04,2010,"Unit 6, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA","Registered Office, The Counting House, Wade House Road, Shelf, HX3 7PB",03-10-2005,13-02-2011
La Romantica Beds Ltd,-904,5564,2014,"Unit 8, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA","Unit 8, Brunswick Industrial Estate, Brassey Street, Halifax, HX1 2EA",22-12-2005,
East Street Arts,-131.3,-131.3,2015,"Unit 11, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EL","Patrick Studios, St Marys Lane, Leeds, LS9 7EH",01-04-2014,31-03-2015
,-16.71,-16.71,2014,"Unit 2 Riverside Works, Luddendenfoot, Halifax, HX2 6HU",,04-01-1999,18-12-2014
Tulip Meat Co.Ltd,-3559.24,-3559.24,2002,"Units 7 & 8, Brow Mills, Brighouse Road, Hipperholme          HX3 8EF",,01-04-1990,01-07-1991
Keswickton Securities Ltd,-24.82,2177,2014,"Unit 2 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8EF","Unit 12, Brow Mills Industrial Estate, Brighouse Road, Hipperholme, HX3 8DD",07-12-2012,
,-0.88,-0.88,2012,"Dundee Farm, Brighouse&Denholmegate Rd, Shelf, Halifax             HX3 7TG",,01-06-1998,
Motorcise [Tamworth] Ltd,-694.96,-694.96,2002,"33/35/37 Broad Street, Halifax, HX1 1YA","25 Castleinan Street, Northampton, NN1 1JS",24-06-2001,01-08-2001
,-47.89,-3.07,2014,"35 Broad Street, Halifax, HX1 1YA",,01-03-2014,
,-3.99,-3.07,2013,"35 Broad Street, Halifax, HX1 1YA",,01-03-2014,
,-97,508.38,2014,"8/10 Bull Close Lane, Halifax, HX1 2EF",,01-04-2012,
,-579,-579,2012,"8/10 Bull Close Lane, Halifax, HX1 2EF",,01-04-2006,31-03-2012
,-21.75,-21.75,2002,"8/10 Bull Close Lane, Halifax, HX1 2EF",,01-04-1990,09-12-1990
,-243.75,-243.75,1998,"12 Bull Close Lane, Halifax, HX1 2EF",,22-08-1998,31-12-1998
,-114.73,-114.73,2013,"23 Bull Close Lane, Halifax, HX1 2EF",,05-08-2012,25-01-2014
,-4.72,-4.72,2015,"10 Bull Green, Halifax, HX1 5AB",,07-12-2013,04-05-2015
Trafford Management Ltd,-8.9,-8.9,2006,"17 Bull Green, Halifax, HX1 2RZ","94 Westminster Road, Urmston, Manchester, M41 0RG",12-07-2006,30-11-2006
,-61.91,-61.91,2005,"23 Bull Green, Halifax, HX1 2RZ",,01-01-2003,05-09-2005
Strafford Properties Ltd,-468.94,-468.94,2013,"23 Bull Green, Halifax, HX1 2RZ","C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",25-10-2012,04-04-2013
Kelly Services (Uk) Ltd,-477,-477,2007,"25 Bull Green, Halifax, HX1 2RZ","Finance Dept, Apple Market House, 17 Union Street, Kingston Upon Thames, KT1 1RR",06-03-1998,25-03-2007
,-87.55,-87.55,2005,"28 Bull Green, Halifax, HX1 5AB",,12-06-2000,19-02-2006
,-200,-200,2014,"4 Bull Green, Halifax, HX1 5AB",,01-04-2007,
,-0.3,-0.3,2012,"King Cross Garage, Burnley Road, Halifax, HX2 7JG",,01-04-2009,
Amazon Windows Ltd,-0.59,-0.59,2014,"The Conservatory Village, Burnley Road, Halifax, HX2 7LW","F.A.O.Mr Nigel Robinson, Half Acre Farm, New Road, Cragg Vale, Hebden Bridge, HX7 5RS",01-04-2008,14-05-2014
,-10,-10,2002,"Trimmingham Garage, Burnley Road, Halifax, HX2 7JG",,01-07-1998,02-06-1999
,-460.92,-460.92,2007,"Grove Inn, Burnley Road, Luddendenfoot, Halifax             HX2 6HS",,30-07-1996,05-08-2007
,-23.78,-23.78,2008,"Upperfoot Farm Shop, Burnley Road, Luddendenfoot, Halifax              HX2 6HL",,19-12-2006,02-03-2009
,-53.26,-53.26,2009,"Friendly Quarry, Burnley Road, Luddendenfoot, Halifax             HX2 6BD",,01-04-1996,31-01-2010
,-27.39,-27.39,2005,"Rooms 7 & 8, Victoria Buildings, Luddendenfoot, Halifax             HX2 6AA",,28-05-2003,30-06-2005
,-51,-51,2005,"Unit B11, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",,01-01-2005,31-12-2005
Brogan Business Parks Ltd,-200.95,-200.95,2015,"Unit G3 A, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ","C/O C D P Ltd, Huddersfield Road, Elland, HX5 9BW",01-12-2014,31-03-2015
Brogan Business Parks Ltd,-43.41,-43.41,2011,"Unit R1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ","C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW",19-11-2010,20-10-2011
Brogan Business Parks Ltd,-7.1,-7.1,2011,"Unit R1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ","C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW",21-10-2011,19-02-2012
Primesight Ltd,-0.02,170.98,2014,"Advertising Right, Cote Hill Service Station, Burnley Road, Halifax              HX2 7NB","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01-04-2001,
West Yorkshire Plant Hire Ltd,-10,-10,2010,"Unit 5 Springwood Bu'ss Park, Brookwoods Industrial Estate, Burrwood Way, Holywell Green       HX4 9BH","Unit 6, Woodman Works, South Lane, Elland, HX5 0PA",26-04-2010,11-06-2010
Outsourced Credit Management Ltd,-287.26,-287.26,2006,"3 Carlton Place, Halifax, HX1 2SB","3 Carlton Place, Halifax, HX1 2SB",01-08-1999,30-04-2006
,-259.7,-259.7,2012,"7 Carlton Street, Halifax, HX1 2AL",,22-05-2000,
,-26,-26,2002,"12/14 Carlton Street, Halifax, HX1 2AL",,25-01-2002,19-03-2002
M.E Pubs Ltd,-169.19,-169.19,2010,"Shoulder Of Mutton Inn, 1 Carr House Lane, Shelf, Halifax             HX3 7RB",No Forwarding Address,16-03-2010,26-10-2010
,-0.58,-0.58,2012,"18 Carr House Road, Shelf, Halifax, HX3 7QY",,20-04-2008,
,-0.01,-0.01,2014,"22/24 Carr House Road, Shelf, Halifax, HX3 7QY",,19-09-2008,
,-38.01,61.51,2013,"Carr Wood House, Carr House Road, Shelf, Halifax             HX3 7RJ",,28-08-1992,
,-173.18,-173.18,2004,"St Michaels View, Carr House Road, Shelf, Halifax             HX3 7RJ",,01-04-1990,30-01-2004
,-30.79,-30.79,2013,"Manchester House, 68 Carr House Road, Shelf, Halifax             HX3 7RJ",,23-01-2012,02-02-2014
Primesight Ltd,-0.03,476.97,2014,"Gable 54 Carr House Road, Shelf, Halifax, HX3 7RJ","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01-09-2009,
,-25.99,-25.99,2002,"Goose Inn, 24 Causeway Foot, Halifax, HX2 8YB",,01-11-1994,23-06-1995
The Automatic Standard Screwco (1983) Ltd-In Admin Reciv,-1414.23,-1414.23,2002,"17 Charles Street, Halifax, HX1 1NA","C/O Arthur Anderson & Co, St Paul's House, Park Square, Leeds, LS1 2PJ",01-04-1990,23-02-1993
Next Retail Ltd,-0.01,65735.99,2012,"Unit B, Charlestown Road, Halifax, HX3 6AB","Desford Road, Enderby, Leicestershire, LE19 4AT",15-05-2003,
,-621.69,-621.69,2011,"4 Cheapside, Halifax, HX1 1TQ",,02-08-2010,01-11-2011
,-332.54,-665.08,2010,"4 Cheapside, Halifax, HX1 1TQ",,31-07-2009,01-08-2010
,-332.54,-665.08,2009,"4 Cheapside, Halifax, HX1 1TQ",,31-07-2009,01-08-2010
Cheque Centres Properties Ltd (In Administration),-395.2,-395.2,2014,"6 Cheapside, Halifax, HX1 1TQ","Access Europe, Ratho Park, Station Road, New Bridge, Edinburgh, EH28 8QQ",23-03-2007,02-07-2014
Andy's Records Ltd,-701.73,-701.73,2003,"8 Cheapside, Halifax, HX1 1TQ","[In Administration], C/O Robson Rhodes, 186 City Road, London, EC1 V2NU",18-11-1993,27-05-2003
,-500,-500,2013,"26 Cheapside, Halifax, HX1 1TQ",,01-02-2014,31-01-2014
Spirit Group Ltd,-5.46,-5.46,1999,"The Brass Cat Hotel, 20-22 Cheapside, Halifax, HX1 1TQ","Gerald Eve Llp, 35 Kings Hill Avenue, West Malling, Kent, ME19 4DN",01-04-1997,06-07-2007
,-76.27,-76.27,2002,"Birks Royd Quarry, Church Lane, Southowram, Halifax             HX3 9TD",,01-11-1995,28-01-1998
Artistic Design Contracts Ltd [In Liquidation],-57.02,-57.02,2002,"Unit A, Church Street Garage, Church Street, Halifax             HX1 1QY","C/O Deloitte & Touche, 10-12 East Parade, Leeds, LS1 2AJ",01-03-1997,10-02-2000
,-361.78,-361.78,2002,"Part 1ST Floor, 18 Clare Road, Halifax, HX1 2HX",,18-09-2000,31-03-2001
Spectrum Search & Selection Ltd,-71.48,-71.48,2002,"28 Clare Road, Halifax, HX1 2HX","[In Liquidation], C/O Sargent & Co, 36 Clare Road, Halifax, HX1 2HX",27-09-2001,30-11-2002
,-9.59,-9.59,2000,"Dirty Dicks Ale House, 1 Clare Road, Halifax, HX1 2HX",,18-02-2001,25-09-2002
,-10.58,-10.58,2002,"Part First Floor, 38 Clare Road, Halifax, HX1 2HX",,01-04-1990,28-05-1993
,-41.6,-41.6,2005,"5 Clare Road, Halifax, HX1 2HX",,01-04-2004,31-03-2005
J.H.P Group Ltd,-1563.9,-1563.9,2012,"1st Floor, 5 Clare Road, Halifax, HX1 2HX","Unit 3 Riverstone Court, Siskin Drive, Middlemarch Business Park, Coventry, CV3 4FJ",01-03-2004,28-09-2012
J.H.P Group Ltd,-1290.63,-1290.63,2012,"3 Clare Road, Halifax, HX1 2HX","Unit 3 Riverstone Court, Siskin Drive, Middlemarch Business Park, Coventry, CV3 4FJ",23-05-2011,28-09-2012
,-81.18,-81.18,2007,"3 Clare Road, Halifax, HX1 2HX",,01-04-2007,31-03-2007
,-1.26,-1.26,2012,"291 Claremount Road, Halifax, HX3 6AW",,26-04-2008,
,-83.15,-83.15,2005,"303 Claremount Road, Halifax, HX3 6AW",,05-04-2003,31-07-2005
Titan Fluid Power Ltd [In Administration],-2422.69,-2422.69,2008,"Central Ironworks, Claremount Road, Halifax, HX3 6NT","C/O P.K.F, Sovereign House, Queen Street, Manchester, M5 5HR",09-02-2002,12-12-2008
,-27.86,-27.86,2009,"44 Clough Lane, Mixenden, Halifax, HX2 8SN",,01-04-2005,29-06-2009
,-0.85,-0.85,2012,"44 Clough Lane, Mixenden, Halifax, HX2 8SW",,01-02-2010,
,-546,-546,2004,"13 Clover Hill Road, Halifax, HX1 2YH",,01-08-2004,08-08-2004
Bizspace Ltd,-149.35,-149.35,2015,"Units 12A & 12B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",02-06-2014,30-09-2014
Headway Plc,-2163.15,-4521.46,2002,"Unit 16, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","C/O Petchey Holdings Plc, Exchange House, 13/14 Clements Court, Ilford, IG1 2QY",03-10-2000,14-05-2001
Headway Plc,-486.4,-4521.46,2003,"Unit 16, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","C/O Petchey Holdings Plc, Exchange House, 13/14 Clements Court, Ilford, IG1 2QY",03-10-2000,14-05-2001
Headway Plc,-1871.91,-4521.46,2001,"Unit 16, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","C/O Petchey Holdings Plc, Exchange House, 13/14 Clements Court, Ilford, IG1 2QY",03-10-2000,14-05-2001
Dorlux Beds Ltd [In Administration],-383.57,-383.57,2005,"Unit 2, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","C/O Price Waterhouse Coopers, Benson House, 33 Wellington Street, Leeds, LS1 4JP",06-05-2004,29-07-2005
,-339,-339,2002,"Unit 4e(Part), Calderdale Business Park, Club Lane, Halifax             HX2 8AX",,01-06-2000,01-06-2000
,-783.98,-783.98,2003,"Unit 18, Calderdale Business Park, Club Lane, Halifax             HX2 8AX",,01-04-2000,30-06-2003
1st 4 Training Ltd,-30.55,-30.55,2006,"Unit 15B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","12 Prospect Court, Norton Tower, Halifax, HX2 0NR",14-07-2005,14-02-2007
Pennine Magpie Ltd,-0.01,-0.01,2011,"Unit 15F, Calderdale Business Park, Club Lane, Halifax              HX3 8AX","Unit 4A, Calderdale Business Park, Club Lane, Halifax, HX2 8AX",01-10-2011,
,-47.84,-47.84,2009,"Unit 6G, Calderdale Business Park, Club Lane, Halifax              HX2 8DB",,01-04-2007,30-09-2009
Bizspace Ltd,-271,-271,2015,"Unit 16H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",02-06-2014,30-09-2014
Bizspace Ltd,-136,-136,2015,"Unit 8H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",01-04-2014,22-10-2014
Security Professionals Ltd,-20.39,-20.39,2008,"Unit 7B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","C/O 31 Willowfield Close, Willowfield, Halifax, HX2 7LP",01-06-2006,30-10-2008
Bizspace Ltd,-13916,322,2014,"Unit 4G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",01-12-2013,
Bizspace Ltd,-180.01,-180.01,2013,"Unit 16I & Unit 16J, Calderdale Business Park, Club Lane, Halifax              HX2 8DB","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",01-03-2009,28-10-2012
Bizspace Ltd,-603.91,-603.91,2013,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",01-07-2013,31-12-2013
Blenheim Displays Ltd,-0.05,-0.05,2014,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX","27 Church Street, West Lavington, Devizes, SN10 4LF",01-02-2015,31-03-2015
Bizspace Ltd,-600.21,-600.21,2014,"Unit 11, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",18-11-2013,01-06-2014
Bizspace Ltd,-3375.65,-3375.65,2014,"Unit 18, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",29-07-2014,31-10-2014
Bizspace Ltd,-657,-657,2012,"Unit 1C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",01-12-2011,30-04-2012
Bizspace Ltd,-2088.82,-2088.82,2013,"Unit 2, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao A Barrie, 1 Albert Place, Finchley, London, N3 1QB",02-05-2013,01-05-2013
,-107.95,-107.95,2012,"Coal Lane, Ogden, Halifax, HX2 9PG",,01-04-1993,
,-26.08,-26.08,2007,"The Delvers, Wainstalls, Halifax, HX2 7UA",,18-07-2005,31-01-2008
,-0.3,-0.3,2012,"The Delvers, Wainstalls, Halifax, HX2 7UA",,01-02-2008,
,-0.19,-0.19,2012,"Lower Field Bottom Farm, Coley Road, Northowram, Halifax             HX3 7SA",,01-04-2010,
Halifax Estate Agencies Ltd,-2441.61,-2441.61,2009,"15/17/19 Commercial Street, Halifax, HX1 1HJ","C/O B N P Paribas Real Estate, Rating Support Unit, 9 Colmore Row, Birmingham, B3 2BT",31-01-1992,15-01-2010
Hidayat Trading (Uk) Ltd,-100,-100,2004,"55 Commercial Street, Halifax, HX1 1BE","55 Commercial Street, Halifax, HX1 1BE",03-12-2003,10-10-2004
,-1.75,-1.75,2012,"72 Commercial Street, Halifax, HX1 2JE",,01-04-1990,
Lloyds Bank Plc,-3775.5,22626,2014,"Commercial Street, Halifax, HX1 1BB","Lloyds Banking Group, C/O Cbre Corporate Outsourcing Ltd, 55 Temple Row, Birmingham, B2 5LS",01-04-1990,
Atmosphere Bars & Clubs Ltd (In Administration),-1744.37,-1744.37,2013,"Abc Cinema, Commercial Street, Halifax, HX1 1BX","F.A.O.Craig  Florence, C/O Deloitte Llp, 1 City Square, Leeds, LS1 2AL",26-02-2010,14-05-2013
Carter Towler,-88,4917,2014,"1ST Floor, 20/26 Commercial Street, Halifax, HX1 1TA","C/O Coronet House, Queen Street, Leeds, LS1 2TW",25-12-2013,
Mobile Broadband Network Ltd,-0.01,2687.99,2013,"Telecommunication Mast, Site Ref H X 0005, Commercial Street, Halifax              HX1 1AD","C/O Gva Business Rates Tm, Po Box 16097, 3 Brindley Place, Birmingham, B2 2UY",01-04-2011,
,-367.42,-367.42,2012,"3 Common Lane, Southowram, Halifax, HX3 9PA",,01-01-2006,
Marie Curie Cancer Care,-1200.08,-1200.08,2013,"1 Corn Market, Halifax, HX1 1TH","Suite One Enterprise House, Cheney Manor Industrial Estate, Swindon, Wiltshire, SN2 2YZ",01-03-2014,
Coppernob Group Holdings Ltd(In Administration),-458.12,-458.12,2002,"10 Corn Market, Halifax, HX1 1TH","C/O Messrs Simms & Partners, P O Box 5, Lutterworth, Leicestershire, LE17 4UF",18-08-1990,07-08-1992
