ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,PAID DATE,AMOUNT (£),PURPOSE,TRANSACTION ID
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FAMILIES @ FAMILYCARE LTD,13/10/16,3582.9,FOSTER PARENTS BASIC ALLOWANCE,V001052885
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,13/10/16,3302.85,FOSTER PARENTS BASIC ALLOWANCE,V001052886
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,13/10/16,4027.05,FOSTER PARENTS BASIC ALLOWANCE,V001052887
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,13/10/16,3302.85,FOSTER PARENTS BASIC ALLOWANCE,V001052888
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,13/10/16,4111.83,FOSTER PARENTS BASIC ALLOWANCE,V001052889
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,STRAND PRIVATE HIRE,12/10/16,766.7,TAXI HIRE,V001052890
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,STRAND PRIVATE HIRE,12/10/16,1008,TAXI HIRE,V001052890
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,STRAND PRIVATE HIRE,12/10/16,1443.6,TAXI HIRE,V001052890
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,STRAND PRIVATE HIRE,12/10/16,1465.2,TAXI HIRE,V001052890
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,STRAND PRIVATE HIRE,12/10/16,2179.2,TAXI HIRE,V001052890
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,STRAND PRIVATE HIRE,12/10/16,2494.7,TAXI HIRE,V001052890
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,STRAND PRIVATE HIRE,12/10/16,2644.8,TAXI HIRE,V001052890
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,13/10/16,3503.35,FOSTER PARENTS BASIC ALLOWANCE,V001052891
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,FOSTERING OUTCOMES LTD,14/10/16,2829.6,FOSTER PARENTS BASIC ALLOWANCE,V001052892
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTERING SOLUTIONS LTD,13/10/16,3251.85,FOSTER PARENTS BASIC ALLOWANCE,V001052894
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTERING SOLUTIONS LTD,13/10/16,3024.22,FOSTER PARENTS BASIC ALLOWANCE,V001052896
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTERING SOLUTIONS LTD,13/10/16,2861.63,FOSTER PARENTS BASIC ALLOWANCE,V001052898
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTERING SOLUTIONS LTD,13/10/16,3251.85,FOSTER PARENTS BASIC ALLOWANCE,V001052900
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FUSION FOSTERING LTD,13/10/16,3900,FOSTER PARENTS BASIC ALLOWANCE,V001052902
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,GBA CARE,13/10/16,14528.57,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001052904
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,2811.9,FOSTER PARENTS BASIC ALLOWANCE,V001052905
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,HEXAGON CARE SERVICES LTD,13/10/16,10907.15,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001052906
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3162.9,FOSTER PARENTS BASIC ALLOWANCE,V001052907
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,HEXAGON CARE SERVICES LTD,13/10/16,14314.29,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001052908
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3162.9,FOSTER PARENTS BASIC ALLOWANCE,V001052909
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,HOLISTIC APPROACH LTD,13/10/16,10590,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001052910
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3081.3,FOSTER PARENTS BASIC ALLOWANCE,V001052911
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3261.3,FOSTER PARENTS BASIC ALLOWANCE,V001052912
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,LANDSKER CHILD CARE,13/10/16,16928.57,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001052913
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3124.2,FOSTER PARENTS BASIC ALLOWANCE,V001052914
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,LIFETIME OPPORTUNITIES,13/10/16,9424,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001052915
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,2811.9,FOSTER PARENTS BASIC ALLOWANCE,V001052916
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,LIFETIME OPPORTUNITIES,13/10/16,9424,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001052917
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3081.3,FOSTER PARENTS BASIC ALLOWANCE,V001052918
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3124.2,FOSTER PARENTS BASIC ALLOWANCE,V001052919
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3137.1,FOSTER PARENTS BASIC ALLOWANCE,V001052920
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3053.7,FOSTER PARENTS BASIC ALLOWANCE,V001052921
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,14/10/16,3124.2,FOSTER PARENTS BASIC ALLOWANCE,V001052922
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,LORIMER FOSTER SERVICES,13/10/16,3373.07,FOSTER PARENTS BASIC ALLOWANCE,V001052923
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,NETHEREDGE CARE LTD,14/10/16,12160,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001052925
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,NUGENT CARE,13/10/16,12000,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001052927
ROCHDALE BOROUGH COUNCIL,13/10/16,LEARNING DIS & MENTAL HEALTH,CREATIVE SUPPORT LTD,13/10/16,1087.68,PERSONAL BUDGETS - MANAGED,V001052928
ROCHDALE BOROUGH COUNCIL,13/10/16,LEARNING DIS & MENTAL HEALTH,CREATIVE SUPPORT LTD,13/10/16,692.16,PERSONAL BUDGETS - MANAGED,V001052929
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,ORANGE GROVE FOSTERCARE LTD,13/10/16,3097.2,FOSTER PARENTS BASIC ALLOWANCE,V001052933
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,ORANGE GROVE FOSTERCARE LTD,13/10/16,3376.2,FOSTER PARENTS BASIC ALLOWANCE,V001052934
ROCHDALE BOROUGH COUNCIL,13/10/16,LEARNING DIS & MENTAL HEALTH,MENCAP,13/10/16,607.2,PERSONAL BUDGETS - MANAGED,V001052936
ROCHDALE BOROUGH COUNCIL,13/10/16,LEARNING DIS & MENTAL HEALTH,MENCAP,13/10/16,506,PERSONAL BUDGETS - MANAGED,V001052941
ROCHDALE BOROUGH COUNCIL,13/10/16,LEARNING DIS & MENTAL HEALTH,MENCAP,13/10/16,809.6,PERSONAL BUDGETS - MANAGED,V001052942
ROCHDALE BOROUGH COUNCIL,13/10/16,LEARNING DIS & MENTAL HEALTH,MENCAP,13/10/16,528,PERSONAL BUDGETS - MANAGED,V001052945
ROCHDALE BOROUGH COUNCIL,13/10/16,LEARNING DIS & MENTAL HEALTH,MENCAP,13/10/16,607.2,PERSONAL BUDGETS - MANAGED,V001052947
ROCHDALE BOROUGH COUNCIL,13/10/16,LEARNING DIS & MENTAL HEALTH,MENCAP,13/10/16,506,PERSONAL BUDGETS - MANAGED,V001052949
ROCHDALE BOROUGH COUNCIL,13/10/16,LEARNING DIS & MENTAL HEALTH,MENCAP,13/10/16,528,PERSONAL BUDGETS - MANAGED,V001052952
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,SAFEHOUSES FOSTERING,13/10/16,3660.3,FOSTER PARENTS BASIC ALLOWANCE,V001052953
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,SAFEHOUSES FOSTERING,13/10/16,3456.9,FOSTER PARENTS BASIC ALLOWANCE,V001052954
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,ORANGE GROVE FOSTERCARE LTD,13/10/16,4645.8,FOSTER PARENTS BASIC ALLOWANCE,V001052955
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,SAFEHOUSES FOSTERING,13/10/16,3456.6,FOSTER PARENTS BASIC ALLOWANCE,V001052956
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,SAFEHOUSES FOSTERING,13/10/16,3660.3,FOSTER PARENTS BASIC ALLOWANCE,V001052957
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,SAFEHOUSES FOSTERING,13/10/16,3456.6,FOSTER PARENTS BASIC ALLOWANCE,V001052958
ROCHDALE BOROUGH COUNCIL,18/10/16,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,18/10/16,874.02,FOSTER PARENTS BASIC ALLOWANCE,V001052959
ROCHDALE BOROUGH COUNCIL,18/10/16,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,18/10/16,721.98,FOSTER PARENTS BASIC ALLOWANCE,V001052960
ROCHDALE BOROUGH COUNCIL,18/10/16,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,18/10/16,803.25,FOSTER PARENTS BASIC ALLOWANCE,V001052961
ROCHDALE BOROUGH COUNCIL,18/10/16,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,18/10/16,803.25,FOSTER PARENTS BASIC ALLOWANCE,V001052962
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,FOSTER CARES LTD,14/10/16,850,FOSTER PARENTS BASIC ALLOWANCE,V001052963
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,FOSTERING LTD,13/10/16,799,FOSTER PARENTS BASIC ALLOWANCE,V001052965
ROCHDALE BOROUGH COUNCIL,13/10/16,CHILDREN’S SOCIAL CARE,PERPETUAL FOSTERING LTD,13/10/16,3257.1,FOSTER PARENTS BASIC ALLOWANCE,V001052981
ROCHDALE BOROUGH COUNCIL,13/10/16,NEIGHBOURHOODS AND ENVIRONMENT,CYGNIA TECHNOLOGIES,13/10/16,1824.9,PURCHASE OF ICT HARDWARE,V001052985
ROCHDALE BOROUGH COUNCIL,14/10/16,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,14/10/16,1120,CAPITAL SALARIES,V001052991
ROCHDALE BOROUGH COUNCIL,14/10/16,NEIGHBOURHOODS AND ENVIRONMENT,SENITOR RECRUITMENT,14/10/16,2000,CAPITAL SALARIES,V001052992
ROCHDALE BOROUGH COUNCIL,12/10/16,PROPERTY AND HIGHWAYS,ROCHDALE ELECTRICAL DISTRIBUTORS,12/10/16,505.65,TRANSACTIONS-EXPENDITURE,V001053004
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,TEACRATE PLC,12/10/16,2393.6,PROPERTY - WORKS ELEMENT,V001053010
ROCHDALE BOROUGH COUNCIL,21/10/16,NEIGHBOURHOODS AND ENVIRONMENT,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,21/10/16,2121.55,GRANTS TO THE VOLUNTARY SECTOR,V001053025
ROCHDALE BOROUGH COUNCIL,14/10/16,NEIGHBOURHOODS AND ENVIRONMENT,PITNEY BOWES POSTAGE BY PHONE,14/10/16,10000,TRANSACTIONS-EXPENDITURE,V001053027
ROCHDALE BOROUGH COUNCIL,14/10/16,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE AND DISTRICT DISABLED ACTION GRP,14/10/16,6775,GRANTS TO THE VOLUNTARY SECTOR,V001053028
ROCHDALE BOROUGH COUNCIL,17/10/16,PUBLIC HEALTH,STEPPING STONE PROJECT ROCHDALE LTD,17/10/16,13000,CONTRACTED SERVICES,V001053029
ROCHDALE BOROUGH COUNCIL,14/10/16,ECONOMY DIRECTORATE,GMCA,14/10/16,1475329.6,PASSENGER TRANSPORT LEVY,V001053030
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,12/10/16,625,GRANTS TO THE NON VOLUNTARY SECTOR,V001053031
ROCHDALE BOROUGH COUNCIL,14/10/16,PUBLIC HEALTH,ASHWORTH STREET SURGERY,14/10/16,1175.16,PH LCS PAYMENTS,V001053033
ROCHDALE BOROUGH COUNCIL,14/10/16,PUBLIC HEALTH,CASTLETON HEALTH CENTRE,14/10/16,1228.64,PH LCS PAYMENTS,V001053034
ROCHDALE BOROUGH COUNCIL,14/10/16,PUBLIC HEALTH,DR M B TAYLOR,14/10/16,515.01,PH LCS PAYMENTS,V001053038
ROCHDALE BOROUGH COUNCIL,14/10/16,PUBLIC HEALTH,ASDA PHARMACY,14/10/16,1461.5,PH LCS PAYMENTS,V001053040
ROCHDALE BOROUGH COUNCIL,14/10/16,PUBLIC HEALTH,BOOTS THE CHEMIST,14/10/16,670.35,PH LCS PAYMENTS,V001053041
ROCHDALE BOROUGH COUNCIL,12/10/16,FINANCE SERVICES,REDACTED - PERSONAL DATA,12/10/16,775.76,RENT ALLOWS-PRIVATE TENANTS ST,V001053095
ROCHDALE BOROUGH COUNCIL,12/10/16,FINANCE SERVICES,HAJI INVESTMENTS,12/10/16,550,RENT ALLOWS-PRIVATE TENANTS ST,V001053103
ROCHDALE BOROUGH COUNCIL,12/10/16,FINANCE SERVICES,MACK RESIDENTIAL LETTINGS,12/10/16,1303.57,RENT ALLOWS-PRIVATE TENANTS ST,V001053104
ROCHDALE BOROUGH COUNCIL,12/10/16,FINANCE SERVICES,REDACTED - PERSONAL DATA,12/10/16,1036.4,RENT ALLOWS-PRIVATE TENANTS ST,V001053106
ROCHDALE BOROUGH COUNCIL,13/10/16,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,13/10/16,3549.83,HOME CARE - CHILDRENS SERVICES,V001053107
ROCHDALE BOROUGH COUNCIL,13/10/16,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,13/10/16,5268.73,HOME CARE - CHILDRENS SERVICES,V001053108
ROCHDALE BOROUGH COUNCIL,13/10/16,EARLY HELP AND SCHOOLS,THE LANCASHIRE ARTILLERY V BAND,13/10/16,500,EQUIPMENT - GENERAL,V001053109
ROCHDALE BOROUGH COUNCIL,13/10/16,EARLY HELP AND SCHOOLS,THE LANCASHIRE ARTILLERY V BAND,13/10/16,500,EQUIPMENT - GENERAL,V001053109
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,14/10/16,584.68,RESIDENTIAL LONG TERM,V001053110
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,14/10/16,545.24,RESIDENTIAL LONG TERM,V001053111
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053112
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,14/10/16,884.7,RESIDENTIAL LONG TERM,V001053113
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053114
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,14/10/16,731.5,NURSING LONG TERM,V001053115
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,14/10/16,598.12,NURSING LONG TERM,V001053117
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,14/10/16,578.54,NURSING LONG TERM,V001053118
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,14/10/16,515.68,RESIDENTIAL LONG TERM,V001053119
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,14/10/16,623.3,RESIDENTIAL LONG TERM,V001053120
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,14/10/16,610.64,NURSING LONG TERM,V001053121
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,14/10/16,575,RESIDENTIAL LONG TERM,V001053122
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053123
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,14/10/16,698.62,RESIDENTIAL LONG TERM,V001053125
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LIMITED IN ADMINISTRATION,14/10/16,736.8,NURSING LONG TERM,V001053126
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053127
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,14/10/16,623.3,RESIDENTIAL LONG TERM,V001053129
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053130
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,14/10/16,588.28,RESIDENTIAL LONG TERM,V001053131
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,14/10/16,617.94,RESIDENTIAL LONG TERM,V001053132
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053133
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,14/10/16,544.68,RESIDENTIAL LONG TERM,V001053134
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,14/10/16,602.82,RESIDENTIAL LONG TERM,V001053135
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,14/10/16,613.98,RESIDENTIAL LONG TERM,V001053137
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,14/10/16,595.46,NURSING LONG TERM,V001053138
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,14/10/16,646.3,NURSING LONG TERM,V001053139
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,HORIZON  RESIDENTIAL HOMES LTD,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053141
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,14/10/16,582.8,RESIDENTIAL LONG TERM,V001053142
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053143
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,14/10/16,598.12,NURSING LONG TERM,V001053144
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,14/10/16,608.12,RESIDENTIAL LONG TERM,V001053145
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,BELVOIR CARE HOME LIMITED,14/10/16,545.04,RESIDENTIAL LONG TERM,V001053146
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053147
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,HALF ACRE HOUSE,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053148
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,14/10/16,598.12,NURSING LONG TERM,V001053149
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,14/10/16,598.12,NURSING LONG TERM,V001053151
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,14/10/16,721.9,NURSING LONG TERM,V001053152
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053153
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053154
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,14/10/16,598.12,NURSING LONG TERM,V001053155
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,14/10/16,591.68,NURSING LONG TERM,V001053156
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,14/10/16,698.62,RESIDENTIAL LONG TERM,V001053157
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053159
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,LEYTON HEALTHCARE NO 12 LIMITED IN ADMINISTRATION,14/10/16,609,RESIDENTIAL LONG TERM,V001053160
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,14/10/16,736.8,NURSING LONG TERM,V001053161
ROCHDALE BOROUGH COUNCIL,14/10/16,LEARNING DIS & MENTAL HEALTH,ELDERCARE LANCS LIMITED,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053162
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,14/10/16,551.62,RESIDENTIAL LONG TERM,V001053163
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053164
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053165
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053166
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,14/10/16,636.3,NURSING LONG TERM,V001053167
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,14/10/16,598.12,RESIDENTIAL LONG TERM,V001053168
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,14/10/16,897.7,NURSING LONG TERM,V001053169
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,14/10/16,556.28,RESIDENTIAL LONG TERM,V001053171
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,14/10/16,556.28,RESIDENTIAL LONG TERM,V001053172
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,14/10/16,556.28,RESIDENTIAL LONG TERM,V001053173
