Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,Occupied
1.38652E+13,BAMFORD BOWLING CLUB            ,                                ,01.04.2005                                               ,BAMFORD BOWLING CLUB            ,                                ,88 NORDEN ROAD                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5PN,6600,BOWLING GREEN AND PREMISES                                  ,     ,                                                         , ,0,0, 
1.14839E+13,BAMFORD COMM CENTRE             ,C/O WENDY WOODHEAD              ,01.04.2005                                               ,BAMFORD COMMUNITY CENTRE        ,                                ,DIGGLES LANE                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5PP,3050,COMMUNITY CENTRE AND PREMISES                               ,     ,                                                         ,Y,0,80, 
1.10367E+13,BAMFORD CONTRACT SERVICES LTD   ,                                ,01.04.2005                                               ,                                ,                                ,17 CHEETHAM STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,12750,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
40667X00070018     ,BAMFORD DRY CLEANERS LTD        ,                                ,01.04.2005                                               ,                                ,                                ,13 HARE HILL ROAD                  ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 9AD,6600,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.38652E+13,BAMFORD DRY CLEANERS LTD        ,                                ,01.04.2005                                               ,                                ,                                ,5A THE PRECINCT                    ,NORDEN ROAD                        ,ROCHDALE                        ,LANCASHIRE                      ,OL11 5PN,14000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1259600000106A     ,BAMFORD FIELDHOUSE CRICKET CLUB ,C/O THE TREASURER               ,01.04.2005                                               ,FIELDHOUSE CRICKET CLUB         ,                                ,HOLLIN LANE                        ,ROCHDALE                           ,                                ,                                ,OL11 5PW,8800,CRICKET GROUND & TENNIS COURTS                              ,     ,                                                         ,Y,100,0, 
3.05022E+13,BAMFORD PRINT LTD               ,                                ,01.09.2010                                               ,BAMFORD PRINT LTD               ,                                ,COWBURN STREET                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2AJ,10750,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
15383X00010083     ,BAMFORD TENNIS CLUB C/O MRS J B ,BROWN                           ,01.04.2005                                               ,BAMFORD TENNIS CLUB             ,                                ,WAR OFFICE ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5HX,3050,TENNIS CLUB AND PREMISES                                    ,     ,                                                         , ,0,0, 
11750X0042003A     ,BANGLADESH ASSOC &              ,COMM PROJECT FAO MR A KHAN (C   ,01.04.2005                                               ,                                ,                                ,131 ENTWISLE ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2JJ,6800,OFFICES AND PREMISES                                        ,     ,                                                         ,Y,0,80, 
2.16814E+13,BANK MACHINE LTD                ,                                ,18.01.2012                                               ,                                ,                                ,BANK MACHINE AT                    ,44-46 NOWELL ROAD                  ,MIDDLETON                       ,MANCHESTER                      ,M24 6FL ,8300,Site of Automatic Teller machine                            ,     ,                                                         , ,0,0, 
1.50173E+13,BANK MACHINE LTD                ,                                ,01.04.2010                                               ,                                ,                                ,ATM SITE AT                        ,8 THE STRAND                       ,ROCHDALE                        ,                                ,OL11 2JG,2000,Site of ATM                                                 ,     ,                                                         , ,0,0, 
3.00349E+13,BANK MACHINE LTD                ,                                ,01.04.2010                                               ,                                ,                                ,ATM SITE AT                        ,24 ARGYLE PARADE                   ,HEYWOOD                         ,                                ,OL10 3RY,900,Site of ATM                                                 ,     ,                                                         , ,0,0, 
2186179067141D     ,BANK MACHINE LTD                ,                                ,01.04.2010                                               ,                                ,                                ,ATM SITE AT HOPWOOD SERVICE STATION,ROCHDALE ROAD                      ,MIDDLETON                       ,                                ,M24 2RA ,900,Site of ATM                                                 ,     ,                                                         , ,0,0, 
1.2243E+13,BANK MACHINE LTD                ,                                ,01.04.2010                                               ,                                ,                                ,ATM SITE AT HEYBROOK CORNER        ,SERVICE STATION                    ,HALIFAX ROAD                    ,ROCHDALE                        ,OL12 9QU,1300,Site of ATM                                                 ,     ,                                                         , ,0,0, 
3.13882E+13,BANNER VAN HIRE LTD             ,                                ,01.04.2012                                               ,BIRCH GARAGE                    ,                                ,MANCHESTER ROAD                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2QD,14000,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
1.5557E+13,BANSON TOOL HIRE LTD            ,                                ,01.04.2005                                               ,                                ,                                ,27 WHITWORTH ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0RA,4750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.04338E+13,BAPP INDUSTRIAL SUPPLIES LTD    ,                                ,05.03.2012                                               ,UNIT B TRAFALGAR CENTRE         ,                                ,BELFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UP,40250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
3.23804E+13,BARCLAYS BANK PLC               ,                                ,01.04.2005                                               ,T0270 1341 RMBC                 ,                                ,HIND HILL STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1AN,1950,CAR PARK AND PREMISES                                       ,     ,                                                         , ,0,0, 
2.13992E+13,BARCLAYS BANK PLC               ,                                ,01.04.2005                                               ,                                ,                                ,27-29 LONG STREET                  ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 6TE ,38000,BANK AND PREMISES                                           ,     ,                                                         , ,0,0, 
3042770001008B     ,BARCLAYS BANK PLC A/C REF       ,68721017,01.04.2005                                               ,                                ,                                ,2 LANCE CORP. STEPHEN SHAW MC WAY  ,CHURCH STREET                      ,HEYWOOD                         ,LANCASHIRE                      ,OL10 1LU,11000,BANK AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.58008E+13,BARCLAYS BANK PLC A/C REF       ,68721017,01.04.2005                                               ,                                ,                                ,1 YORKSHIRE STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,48250,BANK AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.40214E+13,BARLEY PUB COMPANY LIMITED      ,                                ,06.02.2015                                               ,                                ,                                ,2ND FLR COUNTY COURT BUILDINGS     ,PACKER STREET                      ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1NJ,6100,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
3.12164E+13,BARNARDO'S                      ,                                ,12.10.2011                                               ,                                ,                                ,29 MARKET STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1HX,13500,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
1.04303E+13,BARNARDOS                       ,                                ,10.10.2011                                               ,                                ,                                ,OFFICE 6 2ND FLR                   ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UP,1100,Offices and Premises                                        ,     ,                                                         ,Y,0,80, 
1.04303E+13,BARNARDOS                       ,                                ,31.03.2012                                               ,                                ,                                ,UNITS 7& 8                         ,UNIQUE ENTERPRISE CENTRE           ,BELFIELD ROAD                   ,ROCHDALE                        ,OL16 2UP,3500,"Offices, Office and Premises                                ",     ,                                                         ,Y,0,80, 
3.07036E+13,BARNARDOS                       ,                                ,10.11.2014                                               ,                                ,                                ,UNIT ADJ ICELAND                   ,GEORGE STREET                      ,HEYWOOD                         ,                                ,OL10 4PW,7400,Shop and Premises                                           ,     ,                                                         ,Y,0,80, 
3.05354E+13,BARNARDOS                       ,                                ,29.06.2015                                               ,UNIT 8 & 9 TIMES RETAIL PARK    ,                                ,DAWSON STREET                      ,HEYWOOD                            ,LANCS                           ,                                ,OL10 4ND,21500,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
142648002000XB     ,BARNES LOGISTICS LTD            ,                                ,29.04.2016                                               ,BARNES LOGISTICS                ,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCS                           ,                                ,OL11 2RG,144000,Warehouse and Premises                                      ,     ,                                                         , ,0,0, 
1.42649E+13,BARNFIELD CENTRIC LTD           ,                                ,17.10.2016                                               ,                                ,                                ,1ST FLR UNIT 2B                    ,CROWN BUSINESS PARK                ,COWM TOP LANE                   ,ROCHDALE                        ,OL11 2PU,11500,Offices and Premises                                        ,Y    ,17.10.2016                                               , ,0,0, 
1.52753E+13,BAROQUE FOODS LTD               ,T/A SANAM SWEET & BAKERY        ,01.08.2015                                               ,                                ,                                ,20-22 TWEEDALE STREET              ,ROCHDALE                           ,                                ,                                ,OL11 1HH,8400,Shop and Premises                                           ,     ,                                                         , ,0,0, 
1.52753E+13,BAROQUE FOODS LTD               ,T/A SANAM SWEET & BAKERY        ,01.11.2015                                               ,                                ,                                ,24-26 TWEEDALE STREET              ,ROCHDALE                           ,                                ,                                ,OL11 1HH,11750,Shop and Premises                                           ,     ,                                                         , ,0,0, 
4.02202E+13,BARRATT HOMES LTD               ,                                ,18.12.2014                                               ,                                ,                                ,SALES CABIN                        ,ST JAMES PLACE                     ,CALDERBROOK ROAD                ,LITTLEBOROUGH                   ,OL15 9NP,3500,Sales Office & Premises                                     ,     ,                                                         , ,0,0, 
13298X90255026     ,BARRATT HOMES LTD               ,                                ,18.05.2013                                               ,                                ,                                ,1 3 & 5 MONTROSE STREET            ,ROCHDALE                           ,                                ,                                ,OL11 2WD,37500,showhouses and premises                                     ,     ,                                                         , ,0,0, 
3.1528E+13,BARTEC LTD                      ,                                ,06.03.2007                                               ,unit p1 (bay 4)                 ,                                ,PARKLANDS                          ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                         ,LANCS                           ,OL10 2TA,25000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.58032E+13,BARTON KENDAL                   ,                                ,01.04.2005                                               ,                                ,                                ,122 YORKSHIRE STREET               ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1LA,12750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
2139920006004A     ,BARTON KENDAL (MIDDLETON) LTD   ,                                ,24.06.2015                                               ,                                ,                                ,13 LONG STREET                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 6TE ,9500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
4.14358E+13,BDW TRADING LTD                 ,T/A BARRATT HOMES               ,24.06.2016                                               ,                                ,                                ,"1, 3 & 5 SHOPWOOD WAY              ",LITTLEBOROUGH                      ,                                ,                                ,OL15 9AN,29000,showhouses & premises                                       ,     ,                                                         , ,0,0, 
1.27872E+13,BDW TRADING LTD                 ,T/A DAVID WILSON HOMES NORTH    ,01.09.2016                                               ,                                ,                                ,1 JONES WAY                        ,ROCHDALE                           ,                                ,                                ,OL16 4FX,15750,SHOWHOUSE & PREMISES                                        ,     ,                                                         , ,0,0, 
1.37167E+13,BEARING & ENGINEERING SERVICES  ,LTD                             ,29.05.2012                                               ,UNIT 3 GLOBE PARK               ,                                ,MOSS BRIDGE ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5HG,9200,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.58032E+13,BEAUTY SPOT WAREHOUSE LIMITED   ,                                ,13.10.2016                                               ,                                ,                                ,18 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1EN,15500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3065270003002B     ,BECKETTS BAKERY ENGINEERS LTD   ,                                ,01.04.2005                                               ,BECKETTS BAKERY ENGINEERING LTD ,                                ,FIR STREET                         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1NW,28750,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.55231E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,07.08.2006                                               ,UNIT 2                          ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,14250,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.55231E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,20.03.2006                                               ,THE ROOFTOP CAR PARK            ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JZ,23500,CAR PARK AND PREMISES                                       ,     ,                                                         , ,0,0, 
1552309915150A     ,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,01.01.2013                                               ,UNIT 26                         ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,13500,SHOP AND PREMISES                                           ,Y    ,01.01.2013                                               , ,0,0, 
1.5523E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,15.03.2013                                               ,(SU24)                          ,                                ,UNIT 29 THE WHEATSHEAF CENTRE      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JZ,27250,SHOP AND PREMISES                                           ,Y    ,15.03.2013                                               , ,0,0, 
1.55231E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,18.04.2013                                               ,UNIT 7                          ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,18500,SHOP AND PREMISES                                           ,Y    ,18.04.2013                                               , ,0,0, 
1.55231E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,07.02.2014                                               ,                                ,                                ,MANAGEMENT SUITE UPPER LEVEL       ,THE WHEATSHEAF CENTRE              ,ROCHDALE                        ,                                ,OL16 1JZ,5400,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.58033E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,27.06.2014                                               ,                                ,                                ,1ST FLR 84-86                      ,YORKSHIRE STREET                   ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JX,8900,OFFICES AND PREMISES                                        ,Y    ,27.06.2014                                               , ,0,0, 
1.58033E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM LIMITED                  ,27.06.2014                                               ,                                ,                                ,2ND FLR 84-86                      ,YORKSHIRE STREET                   ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JX,7500,STORE AND PREMISES                                          ,Y    ,27.06.2014                                               , ,0,0, 
1.55231E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,27.11.2013                                               ,THE WHEATSHEAF CENTRE           ,OLD T J HUGHES SHOP             ,YORKSHIRE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,164000,SHOP AND PREMISES                                           ,Y    ,27.11.2013                                               , ,0,0, 
1.55231E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,28.09.2015                                               ,UNIT 18                         ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,30250,SHOP AND PREMISES                                           ,Y    ,28.09.2015                                               , ,0,0, 
1.55231E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD             ,13.09.2015                                               ,                                ,                                ,UNIT 30                            ,THE WHEATSHEAF CENTRE              ,ROCHDALE                        ,                                ,OL16 1JZ,66000,Shop and Premises                                           ,Y    ,13.09.2015                                               , ,0,0, 
1.15231E+13,BEDELL CORPORATE TRUSTEES &     ,ATRIUM TRUSTEES LTD (IN ADMIN)  ,17.07.2016                                               ,UNIT 5/6                        ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,                                ,                                ,OL16 1JY,45250,SHOP AND PREMISES                                           ,Y    ,17.07.2016                                               , ,0,0, 
1.15231E+13,BEDELL CORPORATE TRUSTEES LTD & ,ATRIUM TRUSTEES LTD             ,06.01.2012                                               ,UNIT 21                         ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,20500,SHOP AND PREMISES                                           ,Y    ,06.01.2012                                               , ,0,0, 
1.07008E+13,BEECH HOUSE SCHOOL LTD          ,                                ,01.08.2005                                               ,GLEBE HOUSE SCHOOL              ,                                ,BROADFIELD STILE                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1UT,6700,SCHOOL AND PREMISES                                         ,     ,                                                         , ,0,0, 
13298X00290059     ,BEECH HOUSE SCHOOL LTD          ,                                ,01.04.2005                                               ,BEECH HOUSE SCHOOL              ,182-184                         ,MANCHESTER ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JQ,32000,SCHOOL AND PREMISES                                         ,     ,                                                         , ,0,0, 
150148001501X5     ,BEECHROW CLOTHING MANUFACTURING ,CO                              ,01.04.2005                                               ,BEECHROW CLOTHING               ,                                ,STOTT STREET                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0JZ,2225,WAREHOUSE AND PREMISES                                      ,Y    ,01.04.2005                                               , ,0,0, 
1.50148E+13,BEECHROW CLOTHING MANUFACTURING ,LTD.                            ,01.04.2005                                               ,BEECH ROW CLOTHING              ,MANUFACTURING CO                ,STOTT STREET                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2SB,5300,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.35923E+13,BEECHWOOD MARKETING LIMITED     ,                                ,15.05.2015                                               ,GROUND FLOOR BEECHWOOD HOUSE    ,                                ,WOOD STREET                        ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2AA,2900,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.0115E+13,BEEWEB LTD                      ,                                ,01.04.2005                                               ,LANCASHIRE WORKS BEE WEBB       ,                                ,AMBROSE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QX,5600,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
15812X00530059     ,BELFIELD COMM SCHOOL            ,                                ,01.04.2005                                               ,BELFIELD COMMUNITY SCHOOL       ,                                ,SAMSON STREET                      ,ROCHDALE                           ,                                ,                                ,OL16 2XW,29250,SCHOOL AND PREMISES                                         ,     ,                                                         , ,0,0, 
1.11862E+13,BELGRAVE (NORTH WEST) LTD       ,                                ,24.07.2013                                               ,PT GND FLR (RIGHT)              ,                                ,MITCHELL HEY PLACE                 ,COLLEGE ROAD                       ,ROCHDALE                        ,LANCS                           ,OL12 6AE,31750,OFFICES                                                     ,Y    ,24.07.2013                                               , ,0,0, 
1.11862E+13,BELGRAVE (NORTH WEST) LTD       ,                                ,11.04.2014                                               ,                                ,                                ,2ND FLOOR MITCHELL HEY PLACE       ,COLLEGE ROAD                       ,ROCHDALE                        ,LANCASHIRE                      ,OL12 6AE,64000,OFFICES AND PREMISES                                        ,Y    ,11.04.2014                                               , ,0,0, 
1.11862E+13,BELGRAVE (NORTH WEST) LTD       ,                                ,01.04.2014                                               ,PT 1ST FLR MITCHELL HEY PLACE   ,                                ,COLLEGE ROAD                       ,ROCHDALE                           ,LANCS                           ,                                ,OL12 6AE,36500,OFFICES                                                     ,Y    ,01.04.2014                                               , ,0,0, 
1.11862E+13,BELGRAVE (NORTH WEST) LTD       ,                                ,01.01.2016                                               ,PT GND FLR (LEFT)               ,                                ,MITCHELL HEY PLACE COLLEGE ROAD    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6AE,31750,OFFICES AND PREMISES                                        ,Y    ,01.01.2016                                               , ,0,0, 
50925X91232125     ,BEN LONG T/A CMC CLOTHING       ,                                ,14.03.2016                                               ,                                ,                                ,UNIT AM 102                        ,GND FLR 34 NEWHEY ROAD             ,MILNROW                         ,ROCHDALE                        ,OL16 3NR,910,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
3.06528E+13,BENCHMARK SECURITY SOLUTIONS LTD,                                ,01.12.2012                                               ,                                ,                                ,PT ROEACRE HOUSE                   ,FIR STREET                         ,HEYWOOD                         ,                                ,OL10 1NW,11500,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.46602E+13,BENJAMINS ITALIAN LIMITED       ,                                ,03.02.2015                                               ,                                ,                                ,117 SANDY LANE                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5DG,3000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
4.13423E+13,BENTLEY CORPORATE MANUFACTURING ,LLP                             ,01.09.2014                                               ,                                ,                                ,UNIT 8B GREENVALE BUSINESS PARK    ,TODMORDEN ROAD                     ,LITTLEBOROUGH                   ,LANCS                           ,OL15 9EG,17500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
4023820003002A     ,BES ACCOUNTANCY SERVICES LIMITED,                                ,01.10.2014                                               ,CANAL WHARF                     ,                                ,CANAL STREET                       ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 0HA,8200,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.15313E+13,BEST ASIAN MEDIA LIMITED        ,                                ,13.04.2010                                               ,                                ,                                ,187 DRAKE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1EF,1800,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
50925X95478547     ,BEST BUY BATHROOMS LTD          ,                                ,01.03.2014                                               ,                                ,                                ,UNIT AM 106                        ,GND FLR 34 NEWHEY ROAD             ,MILNROW                         ,ROCHDALE                        ,OL16 3NR,4600,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
1.16273E+13,BESTWAY PANACEA HOLDINGS LTD    ,T/A WELL                        ,06.10.2014                                               ,                                ,                                ,309-311 EDENFIELD ROAD             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5AQ,16250,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.1679E+13,BESTWAY PANACEA HOLDINGS LTD    ,T/A WELL                        ,06.10.2014                                               ,WILLIAMS (CHEMIST) ROCHDALE LTD ,                                ,ELIZABETH STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3HY,12500,PHARMACY AND PREMISES                                       ,     ,                                                         , ,0,0, 
13298X8272969A     ,BESTWAY PANACEA HOLDINGS LTD    ,T/A WELL                        ,06.10.2014                                               ,                                ,                                ,870 MANCHESTER ROAD                ,CASTLETON                          ,ROCHDALE                        ,LANCASHIRE                      ,OL11 2SP,5800,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.5679E+13,BETTAPRINT (GARMENT DECORATIONS),LTD                             ,01.03.2011                                               ,UNIT 1C                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,14000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
13298X02100081     ,BETTER DENTAL LTD               ,                                ,01.04.2013                                               ,                                ,                                ,758 MANCHESTER ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3AW,3300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.11682E+13,BETTER DREAMS LTD               ,                                ,04.09.2012                                               ,MITCHELL HEY MILL FRONT         ,                                ,COLLEGE ROAD                       ,ROCHDALE                           ,LANCS                           ,                                ,OL12 6AF,64500,"Warehouse, Office and Premises                              ",     ,                                                         , ,0,0, 
5.03912E+13,BETTER INSURED LTD              ,                                ,01.08.2015                                               ,GND FLR                         ,                                ,65 DALE STREET                     ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 3NJ,4550,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.10735E+13,BEVA INVESTMENTS LIMITED        ,                                ,02.09.2016                                               ,                                ,                                ,UNIT 9                             ,CHICHESTER BUSINESS CENTRE         ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AR,7800,Workshop and Premises                                       ,Y    ,02.09.2016                                               , ,0,0, 
1.10735E+13,BEVA INVESTMENTS LTD            ,                                ,15.06.2012                                               ,                                ,                                ,2ND FLR VACANT OFFICE              ,AT VILEDA HOUSE                    ,2 CHICHESTER STREET             ,ROCHDALE                        ,OL16 2AX,60500,Offices and Premises                                        ,Y    ,15.06.2012                                               , ,0,0, 
1.10735E+13,BEVA INVESTMENTS LTD            ,                                ,30.11.2012                                               ,OFFICE B CHICHESTER BUSINESS    ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2AR,11000,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.10735E+13,BEVA INVESTMENTS LTD            ,                                ,30.11.2012                                               ,OFFICE C CHICHESTER BUSINESS    ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2AR,19750,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.10735E+13,BEVA INVESTMENTS LTD            ,                                ,01.07.2016                                               ,UNIT 12                         ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 2AR,17000,Workshop and Premises                                       ,Y    ,01.07.2016                                               , ,0,0, 
1.10735E+13,BEVA INVESTMENTS LTD            ,                                ,15.09.2016                                               ,OFFICE A CHICHESTER BUSINESS    ,CENTRE                          ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2AR,27750,OFFICES AND PREMISES                                        ,Y    ,15.09.2016                                               , ,0,0, 
1.42656E+13,BFM GLAZING LTD                 ,                                ,07.11.2011                                               ,UNIT 8 HARP INDUSTRIAL ESTATE   ,                                ,QUEENSWAY                          ,ROCHDALE                           ,                                ,                                ,OL11 2PU,6400,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.4891E+13,BHG HOSPITALITY LTD             ,                                ,09.03.2012                                               ,THE BROADFIELD HOTEL            ,                                ,SPARROW HILL                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1AF,31500,HOTEL AND PREMISES                                          ,     ,                                                         , ,0,0, 
1.1274E+13,BIG LIFE CENTRES                ,                                ,01.04.2014                                               ,                                ,                                ,SUITE G2                           ,LOCK 50 BUSINESS CENTRE            ,CRAWFORD STREET                 ,ROCHDALE                        ,OL16 5RD,17750,Offices and Premises                                        ,     ,                                                         ,Y,0,80, 
1.1274E+13,BIG LIFE CENTRES                ,                                ,01.08.2015                                               ,SUITE G6 LOCK 50 BUSINESS CENTRE,                                ,CRAWFORD STREET                    ,ROCHDALE                           ,                                ,                                ,OL16 5RD,1700,Offices and Premises                                        ,     ,                                                         ,Y,0,80, 
3.07645E+13,BILLYS INDIAN CUISINE LTD       ,                                ,01.11.2005                                               ,UNIT 17                         ,                                ,PHOENIX CLOSE                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2JG,2300,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
30838X96604616     ,BINDMONT PRINT SERVICES LTD     ,                                ,11.03.2011                                               ,UNIT A4 AXIS POINT              ,                                ,HARESHILL BUSINESS PARK            ,HEYWOOD                            ,LANCS                           ,                                ,OL10 2RQ,12000,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
2.06678E+13,BIRCH FARMS (HEYWOOD) LTD       ,                                ,01.04.2005                                               ,LOWER WHITTLE FARM              ,                                ,DOCTOR FOLD LANE                   ,HEYWOOD                            ,                                ,                                ,OL10 2QE,3400,STABLES AND PREMISES                                        ,     ,                                                         , ,0,0, 
