Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date,Relief Granted
,64836704,"Lower New Yard, Dog Lane, Stainland, Halifax             HX4 9QD",,3300,0,04/01/90,SBR
Dryclough Lane Garage Ltd,64840708,"Dryclough Lane Garage, Dryclough Lane, Halifax, HX3 0LD","Dryclough Lane Garage, Dryclough Lane, Halifax, HX3 0LD",10250,0,07/01/04,SBR
,64848705,"Dundas Street, Halifax, HX1 3PQ",,2950,0,05/01/14,SBR
Cockroft Timber Ltd,64848702,"Unit A, Dundas Street, Halifax, HX1 3PQ",,7000,0,04/01/90,SBR
,64852707,"Devon Works, Dunkirk Lane, Halifax, HX1 3TA",,3000,0,04/01/04,SBR
Ppc Uk Ltd (In Administration),64852702,"Ground Floor, Unit 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA","Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",1925,0,09/27/14,EX
,64864701,"Dyson Road, Halifax, HX1 4RJ",,4100,0,04/01/95,SBR
Bridgeplan Ltd,65012701,"Eldon Works, Eldon Street, Range Lane, Halifax             HX3 6DW","Eldon Works, Ellen Royd Street, Halifax, HX3 6DN",4800,2236.8,04/01/15,SBR
,65020716,"Unit 16 Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",,2850,0,04/01/14,SBR
,65020703,"Unit 1, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",,2075,0,10/01/07,SBR
,65020712,"Unit 8, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",,3100,0,03/01/16,SBR
,65364747,"Culver Works, Hopwood Lane, Halifax, HX1 5ER",,6600,0,02/01/06,SBR
,64242813,"Unit 3 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",,4200,0,07/11/15,SBR
,65164733,"Unit 12b, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,830,0,02/24/05,EX
,65164747,"Unit 27, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,1700,0,03/14/05,SBR
,65484716,"First Floor, 43 Keighley Road, Halifax, HX2 8BA",,2250,0,02/13/07,SBR
,65484052,"52 Keighley Road, Halifax, HX2 8AL",,3400,1252.95,10/02/99,DUR SBR
Clear Channel (Uk) Ltd,65484220,"Advertising Right, Bus Shelter 0702 0137, Opp 220 Keighley Road, Halifax              HX2 9DP","Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",450,209.7,09/09/08,SBR
,65504701,"3 Kershaw Crescent, Luddendenfoot, Halifax, HX2 6NR",,2900,172.91,06/16/01,DOR DUR SBR
Thor Homecare Ltd,65516775,"Rear Of, 159 King Cross Road, Halifax, HX1 3LN","159 King Cross Road, King Cross, Halifax, HX1 3LN",2550,0,04/01/10,SBR
,65516179,"179 King Cross Road, Halifax, HX1 3LN",,1950,0,04/01/15,EX
,65516714,"Valeson House, 190 King Cross Road, Halifax, HX1 3LN",,7700,0,06/29/00,SBR
,56224005,"5 Southgate, Elland, HX5 0BW",,3300,0,07/09/01,SBR
Golden Days Training Ltd,56224014,"14 Southgate, Elland, HX5 0BW",,8400,0,11/06/15,SBR
Earththings Florists Ltd,56224029,"29 Southgate, Elland, HX5 0BW",,8400,0,11/09/91,SBR
,56224062,"62 Southgate, Elland, HX5 0PS",,3550,0,01/01/17,SBR
,56224064,"64A Southgate, Elland, HX5 0PS",,5200,0,04/07/14,SBR
Ami Baxter Ltd,56224722,"65/67 Southgate, Elland, HX5 0DQ","47 Whitwell Green Lane, Elland, West Yorkshire, HX5 9EG",7100,0,09/01/15,SBR
,56224069,"69 Southgate, Elland, HX5 0DQ",,5800,0,04/01/12,SBR
Calderdale Mbc Markets Manager,64288791,"Balcony Store 20, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",485,0,07/11/11,EX
,64288023,"23 Borough Market, Halifax, HX1 1DY",,6000,0,02/01/08,SBR
,64288824,"28 & 29 Borough Market, Halifax, HX1 1DZ",,5900,0,09/01/13,SBR
P Wilkinson Bakers Ltd,64288036,"36 Borough Market, Halifax, HX1 1DY","244 King Cross Road, Halifax, HX1 3JP",3650,1700.9,06/04/04,SBR
Thai Corner @ Halifax Market Ltd,64288705,"40/42 Borough Market, Halifax, HX1 1DY","C/O 50 Ogden Cresent, Denholme, Bradford, BD13 4LB",9500,0,08/01/15,SBR
,64288045,"45 Borough Market, Halifax, HX1 1DY",,2350,0,03/01/15,SBR
Dean Clough Ltd,64788758,"Office Suite D176, Dean Clough Office Park, Halifax, HX3 5AX","Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",1950,0,08/01/16,EX
,64788820,"Office Suite D203, Dean Clough, Halifax, HX3 5AX",,2500,0,08/20/12,SBR
R F A Design Ltd,64788724,"Office Suite D214, Dean Clough Office Park, Halifax, HX3 5AX","Office Suite D214, Dean Clough, Halifax, HX3 5AX",4250,0,02/01/16,SBR
Tri-Coastal Design Uk Ltd,64788797,"Office Suite D218, Dean Clough Office Park, Halifax, HX3 5AX",,4100,0,08/12/15,SBR
Dean Clough Ltd,64788855,"Office Suites D242 & D244, Dean Clough Mills, Halifax, HX3 5AX","Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",2950,0,07/01/17,EX
Export Partners Ltd,64788736,"Office Suite D254, Dean Clough Office Park, Halifax, HX3 5AX","Office Suite d254, Dean Clough Mills, Halifax, HX3 5AX",1750,0,09/01/08,SBR
Dean Clough Ltd,64778778,"Office Suite D 258, Dean Clough Mills, Halifax, HX3 5AX","Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",3650,0,12/02/16,EX
Halifax Party Nights Ltd,64788810,"Office Suite E 129, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E127-129, Dean Clough Mills, Halifax, HX3 5AX",5300,0,10/08/14,SBR
Ricci's Tapas & Chicchetti Ltd,64788824,"Office Suite E 144, Dean Clough Mills, Halifax, HX3 5AX","Ricci's Group Office, Office Suite E144, Dean Clough Mills, Halifax, HX3 5AX",4200,1957.2,12/20/13,SBR
D Midgley & Sons Ltd,65344523,"D Midgley & Sons, Holmfield Industrial Estate, Holmfield, Halifax              HX2 9TN","85 Riley Lane, Bradshaw, Halifax, HX2 9QE",7400,0,06/01/11,SBR
Knightsbridge Wealth Management Ltd,64344724,"Unit 81 (Part Ground Floor), Bowers Mill, Branch Road, Barkisland          HX4 0AD","Office 81, Bowers Mill, Branch Road, Barkisland, HX4 0AD",2025,0,04/01/13,SBR
Binns & Sons (Greetland) Ltd,68444731,"Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8NF","The Woodlands, Rochdale Road, Greetland, Halifax, HX4 8PH",455,0,09/17/05,EX
Binns & Sons (Greetland) Ltd,68444733,"4th Flr Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF","The Woodlands, Rochdale Road, Greetland, Halifax, HX4 8PH",1150,0,09/17/05,EX
Kendalls Ices Ltd,64812700,"Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",,7000,0,04/01/90,SBR
Headlands Garage Ltd,64812710,"Headlands Garage, Denholmegate Road, Hipperholme, Halifax             HX3 8JX",,10250,0,08/13/12,SBR
,64812738,"5 Co-Op Shopping Parade, Denholmegate Road, Hipperholme, Halifax             HX3 8LT",,8900,0,02/06/07,SBR
,64380700,"Brighouse&Denholmegate Rd, Shelf, Halifax, HX3 7TG",,9100,0,04/01/90,SBR
,64812741,"6A Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",,4250,0,09/22/16,SBR
,64812750,"10A Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",,5000,0,05/31/11,SBR
,64812751,"27 Lees Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 8EW",,3200,0,12/04/16,SBR
Dean Farm Fabrications Ltd,64456709,"Unit 4 Springwood Bu'ss Park, Brookwoods Industrial Estate, Burrwood Way, Holywell Green       HX4 9BH","Dean House Farm, Jagger Green Dean, Holywell Green, Halifax, HX4 9DQ",10000,0,11/19/16,SBR
Bousfield Waite & Co,64584766,"Part 2ND Floor, 38 Clare Road, Halifax, HX1 2HX","Part 2nd Floor, 38 Clare Road, Halifax, HX1 2HX",2700,0,10/21/05,SBR
,64584713,"39/41 Clare Road, Halifax, HX1 2JP",,8100,3774.6,04/01/90,SBR
Second Halifax Housing Ltd,64584790,"4 Clare Road Flats, Clare Road, Halifax, HX1 2JR","Greycourt House, 160 King Cross Road, Halifax, HX1 3LN",500,233,04/01/13,SBR
,64592700,"Claremount Road, Halifax, HX3 6AW",,2250,0,04/01/90,SBR
Calderdale Engineering Services Ltd,64600700,"Thrum Hall Works, Clay Pits Lane, Halifax, HX1 4QS","Unit 5 Grantham Works, Grantham Road, Halifax, HX3 6PL",7700,0,04/15/94,SBR
Calderdale Mbc,64176714,"Ryburn House, Clay Street / Battinson Road, Halifax, HX1 4SG","Temporary Accommodation, Support Services, Ryburn House, Clay Street, Halifax, HX1 4SG",10750,5009.5,03/01/06,SBR
C N C Services Ltd,64596702,"Clay House Mills, Clay House Lane, Greetland, Halifax             HX4 8AW",,8700,0,04/01/90,SBR
,64612046,"44 Clough Lane, Mixenden, Halifax, HX2 8SW",,2950,0,02/01/10,SBR
,64624001,"1 Club Houses, Ovenden, Halifax, HX2 8AY",,3350,0,11/06/17,SBR
Focus Validation Services Ltd,64628834,"Unit 16, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",,1600,0,10/29/12,SBR
Bizspace Ltd,64628837,"Unit 16D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",2250,0,01/01/12,EX
Bizspace Ltd,64628865,"Unit 18G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",5900,2461.17,03/24/16,ER
Westfield Properties Ltd,65164731,"Unit 11, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ","2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1600,0,10/16/10,EX
,65164763,"Ground Floor Unit, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",,7400,0,06/26/14,SBR
,65168135,"135 Gibraltar Road, Halifax, HX1 3UH",,3000,0,07/04/17,SBR
,65184701,"Unit 2 Godly Branch Road, Godly, Halifax, HX3 6AH",,4500,0,06/01/02,SBR
Primesight Ltd,65180707,"Advertising Right, Adj Undercliffe Service Stn, Godley Lane, Shibden              HX3 6XG","2nd Floor, 3/5 Charlotte Street, Manchester, M1 4HB",450,124.41,04/01/05,SBR
,65184700,"Godley Iron Works, Godley Branch Road, Halifax, HX3 6AH",,4800,0,10/01/07,SBR
Inomed Health Ltd,64242710,"Office 12 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,3800,0,09/01/16,SBR
Interserve Healthcare Ltd,64242753,"Office 24 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Registered Office, Interserve House, Ruscombe Park, Twyford, Reading, RG10 9JU",5600,2563.2,04/01/16,DUR SBR
Calderdale Mbc,56265701,"Public Convenience, Town Hall Square, Elland, HX5 9JA","Attn Wendy Backhouse, Building Cleaning Servces, Northgate House, Northgate, Halifax, HX1 1UN",2750,1281.5,04/01/03,SBR
,65264807,"Unit 1, 148/150 Hanson Lane, Halifax, HX1 5PQ",,4300,0,03/01/14,SBR
,65264051,"51 Hanson Lane, Halifax, HX1 5NX",,2800,0,08/17/17,SBR
Cts Ironmongery Ltd,65752717,"Unit 9, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW","Units 11 & 12, Halifax Industrialcentre, Marshway, Halifax, HX1 5RW",8400,1789.42,10/03/17,SBR
Al-Haatif Limited,65752707,"Unit 5, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW","31 Hanson Lane, Halifax, HX1 5NX",8600,0,10/21/16,SBR
,65764702,"N/R 9 Maude Street, Greetland, Halifax, HX4 8AJ",,3300,0,08/19/09,SBR
,65780044,"44 Meadow Lane, Wheatley, Halifax, HX3 5JR",,2750,0,03/03/02,SBR
Balmoral  Partnership,64130701,"Lockable Parking, Rear Of Balmoral Place, Halifax, HX1 2BG","C/O Ab Copyright Ltd, 5 Springwell Court, Leeds, West Yorkshire, LS12 1AL",5500,1102.6,02/06/09,DUR SBR
J.I Electronics Ltd,64144704,"Unit A Bank Top Works, Bank Top, Southowram, Halifax              HX3 9NJ","Bank Top Works, Bank Top, Southowram, Halifax, HX3 9NJ",4600,0,04/01/14,SBR
,64164001,"1 Barum Top, Halifax, HX1 1NL",,7900,0,04/21/17,SBR
,64172003,"3 Batley Street, Lee Mount, Halifax, HX3 5DG",,1825,0,04/01/15,EX
,64184702,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",,7500,0,04/01/90,SBR
,64188707,"S/O 8 Bedford Street, Halifax, HX1 5DL",,2500,350.82,04/18/14,DUR SBR
The Luminar Group Ltd,65100707,"Adjacent Coliseum, Fountain Street, Halifax, HX1 2AB","Fao Alan Measom, Luminar House, Deltic Avenue, Rooksley, Milton Keynes, MK13 8LW",1175,547.55,12/10/11,SBR
Nexusinformatics Ltd,65104715,"Unit 1GF, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",,1075,0,09/01/14,SBR
,65964002,"2 Franklin Street, Halifax, HX1 4LH",,3550,0,04/01/15,SBR
E.J.G Associates Ltd,65132717,"Offices 7-9 Britannia Works, Garden Street North, Halifax, HX3 6AE","Offices 7-9 Britannia Works, Garden Street North, Halifax, HX3 6AE",4900,0,03/25/14,SBR
,65516215,"215 King Cross Road, Halifax, HX1 3JL",,7600,0,05/02/17,SBR
Clear Channel (Uk) Ltd,65516740,"Board No. 0702 0010, King Cross Road, Halifax, HX1 3JP","Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",250,118.48,04/01/00,SBR
,65520710,"Adj 8 King Cross Street, Halifax, HX1 2SH",,10000,1940.6,07/01/97,SBR
,56244724,"3 Victoria Road, Elland, HX5 0AB",,4950,0,09/01/15,SBR
,56244005,"5 Victoria Road, Elland, HX5 0AB",,4400,0,10/18/10,SBR
,56244008,"8 Victoria Road, Elland, HX5 0PU",,5300,0,03/15/17,SBR
,56244037,"37 Victoria Road, Elland, HX5 0AB",,3850,0,09/01/05,SBR
Malcolm Taylor (Halifax) Ltd,64192006,"6 Bedford Street North, Halifax, HX1 5BH",,4500,0,09/01/06,SBR
,64196002,"1/2 Beech Grove, Lightcliffe, Halifax, HX3 8UU",,11750,0,08/01/11,SBR
Pennine Housing 2000 Ltd,64196007,"7 Beech Grove, Lightcliffe, Halifax, HX3 8UU","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",2750,0,04/01/02,EX
,64224700,"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",,6400,0,04/01/10,SBR
,64236700,"Belmont Street, Claremount, Halifax, HX3 6AT",,900,315.74,04/01/99,DUR SBR
,64744043,"43 Crossley Hill, Halifax, HX3 0PL",,7500,0,04/01/97,SBR
,65264118,"118 Hanson Lane, Halifax, HX1 5PG",,2600,0,01/02/16,SBR
Halifax Opportunities Trust,65264770,"Communal Areas, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG","Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",7800,74.72,04/01/03,DCR MCR
Jack Threapleton Ltd,65264742,"Workspace Unit 20, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG","6 Willow Park Drive, Shelf, Halifax, HX3 7PZ",3200,0,02/20/05,SBR
Happydays Ministries Uk,65264745,"Workspace Unit 16, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG","Unit 16, Hanson Lane Enterprise Centre, Hanson Lane, Halifax, HX1 5PG",5700,546.06,03/01/15,MCR
,65264783,"Unit 15, Hansonlane Enterprise Centre, Halifax, HX1 5PG",,5800,0,09/01/15,SBR
Halifax Opportunities Trust,65264777,"Unit 5, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG","Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",3500,33.53,12/01/11,DCR MCR
,65264726,"Unit 9, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,3250,0,04/01/11,SBR
Gns (Halifax) Ltd,65264817,"Offices 27-29 1ST Floor, Hanson Lane Ent Centre, Hanson Lane, Halifax              HX1 5PG","Office 27, Hanson Lane Enterprise Centre, Hanson Lane, Halifax, HX1 5PG",3700,0,04/01/16,SBR
Rsk Fastenings Ltd,65264767,"Units 1 & 2, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF","C/O Mr R Searle, 70 Fixby Road, Huddersfield, HD2 2JF",11250,0,10/13/03,SBR
Architectural Glass Systems Ltd,65264765,"Unit 2 Windsor Business Park, Hanson Lane, Halifax, HX1 4SE","Unit 2, Windsor Business Park, Hanson Lane, Halifax, HX1 4SD",9300,0,04/14/08,SBR
,65344995,"Unit 20 Holmfield Mills, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,5400,0,01/01/15,SBR
,65344803,"Unit HM15 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,2700,0,05/01/16,SBR
,65344804,"Unit HM16 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,2700,0,07/01/09,SBR
Ererco Doors And Loading Bay Solutions Ltd,56108705,"Unit 5, George Street, Elland, HX5 0NE","Unit 2a Wakes End Farm Estate, Eversholt, MK17 9FB",2850,1328.1,11/10/14,SBR
,64288716,"Market Stall 17-20, Market Hall, Borough Market, Halifax             HX1 1DZ",,6100,0,01/05/03,SBR
,64288717,"Market Stalls 18/19, Market Hall, Borough Market, Halifax              HX1 1DZ",,4600,0,05/01/11,SBR
,64288718,"Market Stall 21, Market Hall, Borough Market, Halifax             HX1 1DZ",,3850,0,04/01/16,SBR
Tesco Stores Ltd,65412716,"Adj.Hss Hire Shop, Huddersfield Road, Halifax, HX3 0AA","G L Hearn Management Ltd, Po Box 1821, Southampton, SO18 9NA",3750,1796.25,08/20/14,ER
Primesight Ltd,68452365,"Advertising Right No 4772, 365 Salterhebble Hill, Halifax, HX3 9LU","2nd Floor, 3/5 Charlotte Street, Manchester, M1 4HB",1725,803.85,09/01/09,SBR
,65416014,"14 Hunger Hill, Halifax, HX1 2JT",,3250,0,03/31/06,SBR
Warmco Space Heating Ltd,56212734,"Unit 204 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",660,0,04/01/12,EX
Lets Away Ltd,56212738,"Unit 210 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Waterside 2 Cocking Steps Mill, Cocking Steps Lane, Netherton, Huddersfield, HD4 7EA",770,0,04/01/12,SBR
Warmco Space Heating Ltd,56212741,"Unit 301 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",310,0,07/06/13,EX
Warmco Space Heating Ltd,56212745,"Unit 305A 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,0,04/01/12,EX
Bizspace Ltd,64628791,"Unit 16E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",1650,0,10/01/13,EX
Bizspace Ltd,64628813,"Unit 8A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",4050,1528.6,03/01/10,DUR SBR
,64628806,"Unit 4F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",,3100,0,07/06/15,SBR
Bizspace Ltd,64628764,"Unit 6E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",2425,0,04/01/13,EX
Bizspace Ltd,64628807,"Unit 16F, Calderdale Busines Park, Club Lane, Halifax              HX2 8AX","Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",560,260.96,09/26/08,SBR
Green Hill Landscapes Ltd,64628726,"Unit 21, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","107 Shroggs Road, Wheatley, Halifax, HX3 5HL",2850,0,09/01/10,SBR
Festival Glass Ltd,64628805,"Unit 4B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Unit 6, Calderdale Business Park, Club Lane, Ovenden, HX2 8DB",9900,4613.4,06/01/10,SBR
,64288727,"Market Stall 43-44, Market Hall, Borough Market, Halifax             HX1 1DZ",,4150,1933.9,05/19/95,SBR
,64288735,"Market Stall 63-64, Market Hall, Borough Market, Halifax             HX1 1DZ",,5800,0,09/30/13,SBR
,64288742,"Market Stall 80-81, Market Hall, Borough Market, Halifax             HX1 1DZ",,5600,0,07/01/13,SBR
,64288747,"Market Stall 89-90, Market Hall, Borough Market, Halifax             HX1 1DZ",,5600,0,04/21/10,SBR
,64288750,"Market Stall 94-95a, Market Hall, Borough Market, Halifax             HX1 1DZ",,7200,0,01/01/16,SBR
Estio Healthcare Recruitment Limited,64296747,"Office Suite E240, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E240, Dean Clough Mills, Halifax, HX3 5AX",3750,1603.78,03/08/16,DUR SBR
Servoca Education Resourcing Ltd,64788852,"Unit G 432, Dean Clough, Halifax, HX3 5AX","4th Floor Solar House, 1 - 9 Romford Road, London, E15 4LJ",8900,3808.98,09/01/13,DUR SBR
Northern Broadsides Theatre Company,64784827,"Office Suite LG34, Dean Clough Industrial Park, Halifax, HX3 5AZ","Office Suite E135, Dean Clough Office Park, Dean Clough, Halifax, HX3 5AX",9300,890.94,03/20/17,MCR
Dean Clough Ind Park Ltd,64784833,"Unit D Mill Annexe, Dean Clough Industrial Park, Halifax, HX3 5AX","Unit OP14-20, Dean Clough Office Park, Halifax, HX3 5AY",1400,0,12/08/09,EX
,65344793,"Unit HM5 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,3000,0,01/02/13,SBR
,64832703,"4 Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",,3800,1371.23,04/21/08,ER
,65356704,"Part Hope Mills, Hope Street, Halifax, HX1 5DW",,5400,0,02/01/12,SBR
,64242828,"First Floor Rear, 8 Hopwood Lane, Halifax, HX1 5HW",,1700,0,02/07/15,SBR
,65364298,"298 Hopwood Lane, Halifax, HX1 4HD",,1650,0,04/01/09,SBR
,64242818,"Front Part Rear Unit H, Craven Edge Ent Centre, Hopwood Lane, Halifax              HX1 5JH",,3250,0,08/01/14,SBR
R Dunnett & Son Ltd,56174777,"Rear Of Micheldever Tyres, Lowfields Way, Lowfields Business Park, Elland               HX5 9DA","Thornton Park Farm, Ash Hall Lane, Soyland, Sowerby Bridge, HX6 4NT",11250,0,09/01/06,SBR
Hodgson Hey Ltd,56220808,"Office 11 James Street Mills, South Lane, Elland, HX5 0HB","Heritage Exchange, South Lane, Elland, HX5 0HG",7400,0,10/01/13,SBR
,64488702,"19 Carlton Street, Halifax, HX1 2AL",,1975,0,07/01/14,SBR
Due West Limited,64488710,"Old Sunday School, Carlton Street, Halifax, HX1 2AD","O & C Management Limited, 9 Harrison Road, Halifax, HX1 2AF",10000,0,08/01/12,EX
Primesight Ltd,64500718,"Advertising Right, 14 Carr House Road, Shelf, Halifax             HX3 7QY","2nd Floor, 3/5 Charlotte Street, Manchester, M1 4HB",200,94.79,04/01/00,SBR
Lvk Properties Ltd,64516705,"The Livery, Coal Lane End Farm, Causeway Foot, Halifax              HX2 8YB","Coal Lane End Farm, Causeway Foot, Halifax, HX2 8YB",5700,0,04/22/07,SBR
,65144007,"7 George Street, Halifax, HX1 1HA",,9000,0,09/19/07,SBR
Blue Slate Properties Ltd,65144009,"9 George Street, Halifax, HX1 1HA",,9200,0,10/31/14,SBR
Clear Channel (Uk) Ltd,65164717,"Advertising Right 0702 0028, Junction Newstead Terrace, Gibbet Street, Halifax              HX1 4TA","Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",250,118.48,04/01/00,SBR
Primesight Ltd,65164115,"Advertising Right, 115 Gibbet Street, Halifax, HX1 5BP","2nd Floor, 3/5 Charlotte Street, Manchester, M1 4HB",740,387.05,09/01/09,SBR
Calderdale Graphite Ltd,65192723,"Unit 8, Grantham Works, Grantham Road, Halifax              HX3 6PL",,8900,0,07/01/17,SBR
,65196003,"3 Green Lane, Greetland, Halifax, HX4 8AB",,3050,0,10/01/08,SBR
,65196005,"5 Green Lane, Greetland, Halifax, HX4 8AB",,2900,0,12/07/02,SBR
,65934701,"Lower Fold Barn, Green Lane, Shelf, Halifax              HX3 7TR",,3400,0,04/01/06,SBR
,65224060,"60 Haley Hill, Halifax, HX3 6ED",,4600,0,11/17/14,SBR
J C Decaux Uk Ltd,65224105,"Advertising Right, 105 Haley Hill, Halifax, HX3 6EE","Rates Administrator, 27 Sale Place, London, W2 1YR",740,344.84,04/01/90,SBR
Homes & Communities Agency,65520734,"First Floor, 6 King Cross Street, Halifax, HX1 2SH","St Georges House, Kingsway, Team Valley, Gateshead, NE11 0NA",2325,0,04/01/12,EX
The Pain & Injury Clinic Ltd,65520723,"1st Floor, 8 King Cross Street, Halifax, HX1 2SH",,3400,0,04/01/12,SBR
The Cosy Cashmere Company Ltd,65344868,"Unit SM2 White Rose Mill, Holdsworth Road, Halifax, HX3 6SN","Unit SM2, White Rose Mill, Holdsworth Road, Halifax, HX3 6SN",4850,0,04/01/15,SBR
Rota Design Ltd,65344946,"Room 5.3, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,600,0,07/01/16,SBR
Kino & Co,65344892,"Unit S M 5.3, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2650,0,12/21/16,EX
Ark Home Healthcare Ltd,65344893,"Unit S M 5.1, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN","The Square, 2 Broad Street West, Sheffield, S1 2BQ",3350,1542.85,12/20/14,DUR SBR
Wright Morris Projects Ltd,56132738,"Unit 2 The Ainleys, Huddersfield Road, Elland, HX5 9JR","18 Haughs Road, Huddersfield, West Yorkshire, HD3 4YX",2175,0,08/18/14,SBR
V B T Engineering Ltd,56132821,"Unit 5 The Ainleys, Huddersfield Road, Elland, HX5 9JP","P O Box 614, Oldham, OL19 9GQ",2325,0,04/01/13,SBR
,56144732,"Unit 2 1ST Floor, James Street Mills, James Street, Elland               HX5 0HB",,4700,0,08/01/13,SBR
,56156701,"6A St Pauls Buildings, Langdale Street, Elland, HX5 0EX",,2850,0,04/25/97,SBR
,65612720,"Unit 6 Lower Brea, Leeds Road, Halifax, HX3 7AQ",,3600,0,04/01/17,SBR
,65616009,"9 Leeds Road, Hipperholme, Halifax, HX3 8ND",,6400,0,08/24/10,SBR
,65616012,"12 Leeds Road, Hipperholme, Halifax, HX3 8ND",,9600,0,08/27/16,SBR
The Spire Halifax Ltd,65620717,"Office 7, The Spire, Leeds Road, Lightcliffe          HX3 8NU",,1575,824.95,03/07/16,SBR
,65626708,"Unit 7 Victoria Park, Lightowler Road, Halifax, HX1 5ND",,6400,0,03/01/12,SBR
,65652700,"Lister Lane, Halifax, HX1 5DN",,6300,0,04/01/16,SBR
