Body Name,ONS Body Code,Service Label,Service Code,Service Division,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA detailed expenditure type,GLCode,CIPFA detailed expenditure code,Narrative,Date,Transaction Number,Net Amount,Capital and Revenue,SupplierNameEdit,SupplierNo
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Mental Health,S13,ASC North Recovery Team (OSS),Third Party Payments,500,P&V Homes & Hostels,S5128.54120,54120,Rent Payment 01/01/2013-31/01/2013, 01/03/2013,P2 639978,"£1,550.00",REV,Sani Hotel,603135
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Mental Health,S13,ASC North Recovery Team (OSS),Third Party Payments,500,P&V Homes & Hostels,S5128.54120,54120,Rent Payment 01/02/2013-28/02/2013, 01/03/2013,P2 639979,£980.80,REV,London Cyrenians Housing Ltd,600129
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3801.55355,55355,Homecare, 07/03/2013,P2 639980,£554.20,REV,Bluebird Care (Kensington & Chelsea),1265729
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care,S6125.54452,54452,continuing care, 08/03/2013,P2 639985,£673.72,REV,Workline Group Ltd,600423
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Physical Disability,S11,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care,S6520.54452,54452,home care, 06/03/2013,P2 639986,"£1,336.28",REV,Carewatch (Kensington & Chelsea),821083
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care over 65,S3800.54453,54453,LIVE-IN, 08/03/2013,P2 639993,"£4,975.68",REV,Saga Homecare,1280847
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Parking Divisional Expend (OSY),Third Party Payments,500,P&D Metric Contract,Y8300.55970,55970,Pay & Display maintenance contract 2012-2013, 08/03/2013,P2 640000,"£31,453.66",REV,Metric Group Ltd,611187
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Highway Maintenance,YT2,TTS Highways (OSY),Third Party Payments,500,Footway Maintenance-Other Jobs,Y7214.55540,55540,Non prog footway maintenance works on Borough Roads at various locations in the Borough, 08/03/2013,P2 640003,"£8,541.53",REV,J Murphy & Sons Ltd,611144
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Traffic Section,YT5,TTS Highways (OSY),Third Party Payments,500,Traffic Schemes,Y7130.55390,55390,Street Name Plate replacement for Queensdale Road, 08/03/2013,P2 640008,£547.67,REV,J Murphy & Sons Ltd,611144
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Capital Codes,002,COS Building Maintenance (OSC),Capital Code,003,Fees-Consultants,F5223.00065,00065,Colville School - structural engineering services, 01/03/2013,P2 640011,"£1,800.00",CAP,Morrish Consulting Engineers,1297805
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Supplies & Services,400,Telephone Charges-Calls,S3009.43330,43330,Telephone Charges, 01/03/2013,P2 640135,"£1,606.00",REV,Panztel (UK) Ltd,1155827
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS ISD Training (OSC),Holding Code,005,Telephone Charges,C1068.00660,00660,Network Team Transaction, 01/03/2013,P2 640138,"£16,178.38",CAH,MDNX Managed Services Ltd,1070857
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Community Safety & DIP,C27,COS Community Safety (OSC),Third Party Payments,500,Contractors Costs,P5772.55170,55170,Minerva Project, 01/03/2013,P2 640139,"£10,500.00",REV,Advance WKC,1268634
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS ISD Training (OSC),Holding Code,005,Mobile Phone Charges,C1068.00661,00661,O2 Bill - Main Bill, 07/03/2013,P2 640150,"£20,274.00",CAH,O2,622622
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Non Budget Book Business Unit,001,HOS West London Sub Region (OSS),Balance Sheet Code,002,Payments,B0549.04609,04609,West London Single Homeless Scheme, 01/03/2013,P2 640151,"£2,200.00",CAB,Capital Housing Associates Ltd,1297084
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Parking Divisional Expend (OSY),Third Party Payments,500,P&D Metric Contract,Y8300.55970,55970,Pay & Display maintenance contract 2012-2013, 08/03/2013,P2 640152,£522.25,REV,Metric Group Ltd,611187
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3800.55355,55355,home care, 07/03/2013,P2 640153,£850.89,REV,Bluebird Care (Kensington & Chelsea),1265729
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3800.55355,55355,continuing care, 07/03/2013,P2 640154,£596.30,REV,Bluebird Care (Kensington & Chelsea),1265729
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3800.55355,55355,continuing care, 07/03/2013,P2 640155,"£2,197.96",REV,Bluebird Care (Kensington & Chelsea),1265729
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care over 65,S3800.54453,54453,home care, 06/03/2013,P2 640157,"£1,800.00",REV,Carewatch (Kensington & Chelsea),821083
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care,S6125.54452,54452,home care, 08/03/2013,P2 640160,£827.14,REV,Special People,625778
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care over 65,S3801.54453,54453,home care, 08/03/2013,P2 640164,"£1,504.14",REV,Crossroads Care CNL,1257503
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Information Systems,C02,COS ISD Network and Telecomms (OSC),Supplies & Services,400,Computer Supplies-Misc,P4826.43060,43060,Network Utilities Professional Services, 08/03/2013,P2 640168,£850.00,REV,Network Utilities Systems Ltd,839441
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,StrategyCommissioning&Perform,E20,CHS Workforce Development Team (OSF),Supplies & Services,400,Training Awards,E9752.44390,44390,Training and professional development, 01/03/2013,P2 640171,"£4,824.76",REV,All Dimension Ltd,1289932
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Homelessness & Housing Advice,H07,HOS Temp Accommodation (OSS),Supplies & Services,400,Computer Supplies-Misc,H6400.43060,43060,ID Cards for printer, 08/03/2013,P2 640172,£559.50,REV,Lesar UK Ltd,1060648
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,StrategyCommissioning&Perform,E20,CHS Workforce Development Team (OSF),Supplies & Services,400,Training Programme Delivery,E9752.42113,42113,Training and professional development, 01/03/2013,P2 640173,£525.00,REV,Payment to an individual or sole trader,809592
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Transport Expenses,300,Client Travel Costs,S6123.32140,32140,Day Transport 28.1.13-1.2.13 *******, 08/03/2013,P2 640175,£732.00,REV,Westway Community Transport,600313
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,COS ISD Network and Telecomms (OSC),Supplies & Services,400,Mobile Phone Charges,Y8200.43280,43280,O2 Bill - Parking, 07/03/2013,P2 640176,£817.50,REV,O2,622622
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Community Safety & DIP,C27,COS Community Safety (OSC),Supplies & Services,400,Community Safety Projects,P5748.42530,42530,Personal Attack Alarms, 08/03/2013,P2 640180,£975.00,REV,Solon Security Ltd,1256860
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Promoting Services,E42,FCS Portobello South SWT (OSF),Third Party Payments,500,Hotel BandB Accommodation,S1622.54170,54170,placement fees for a young person for the month of January 2013, 01/03/2013,P2 640181,"£2,992.99",REV,Netpex Ltd,1296996
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Finance (OSS),Third Party Payments,500,Boarding School Placements,S6125.54190,54190,Fees for March 2013, 01/03/2013,P2 640183,"£23,290.00",REV,Priors Court Foundation,834983
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Facilitating School Imp,E26,FCS Continual Profession Devel (OSF),Supplies & Services,400,EDP/CPD,E3500.46975,46975,NQT training - 31/01/13 (KS2) & 08/02/13 (KS1), 08/03/2013,P2 640190,£700.00,REV,Payment to an individual or sole trader,1304593
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Community Safety & DIP,C27,COS Community Safety (OSC),Third Party Payments,500,Consultants,P5748.54530,54530,ECAT Consultant Fee, 08/03/2013,P2 640191,"£1,542.28",REV,Payment to an individual or sole trader,1304595
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS Children with Disabilities (OSF),Third Party Payments,500,Res Care Disabled Children,S1752.54150,54150,"Pield Heath School Respite care for one disabled child September, October, November, December 2012", 06/03/2013,P2 640195,"£3,164.00",REV,Pield Heath House RC School,603660
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS Children with Disabilities (OSF),Third Party Payments,500,Res Care Disabled Children,S1752.54150,54150,"Pield Heath School Respite care for one disabled child September, October, November, December 2012", 06/03/2013,P2 640196,"£2,100.00",REV,Pield Heath House RC School,603660
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6125.54135,54135,Outreach (CC) January 2013 *******, 01/03/2013,P2 640197,"£4,194.40",REV,London Cyrenians Housing Ltd & Yarrow Ho,926481
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Governance Services,C09,COS Governance Services (OSC),Third Party Payments,500,Couriers,P4201.54690,54690,Courier costs for January 2013, 01/03/2013,P2 640199,£711.69,REV,Courier Systems,600778
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Transport Expenses,300,Client Travel Costs,S6123.32140,32140,Day Transport 4.2.13-8.2.13 *******, 14/03/2013,P2 640209,£732.00,REV,Westway Community Transport,600313
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children's Centres,E22,FCS Violett Melchett Centre (OSF),Supplies & Services,400,Equipment Purchase,S2135.40080,40080,resources, 01/03/2013,P2 640210,"£2,438.85",REV,Rahmqvist Uk Ltd/Avico Division,605264
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children's Centres,E22,FCS Violett Melchett Centre (OSF),Supplies & Services,400,Miscellaneous Expenses,S2137.45000,45000,resources, 01/03/2013,P2 640215,"£1,011.56",REV,GLS Educational Supplies Ltd,600283
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS ISD Training (OSC),Holding Code,005,Telephone Charges,C1068.00660,00660,Network Team Transaction, 13/03/2013,P2 640219,"£9,716.79",CAH,MDNX Managed Services Ltd,1070857
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6125.54135,54135,Supported Living (CC) January 2013 *******, 01/03/2013,P2 640225,"£14,400.00",REV,London Cyrenians Housing Ltd & Yarrow Ho,926481
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6125.54135,54135,Outreach (CC) January 2013 *******, 01/03/2013,P2 640226,"£4,194.40",REV,London Cyrenians Housing Ltd & Yarrow Ho,926481
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6125.54135,54135,Supported Living (CC) January 2013 *******, 01/03/2013,P2 640227,"£14,400.00",REV,London Cyrenians Housing Ltd & Yarrow Ho,926481
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Highway Maintenance,YT2,TTS Highways (OSY),Third Party Payments,500,Non-Programmed Footway Mntce,Y7212.55510,55510,Footway Maintenance works at various locations within the Borough, 08/03/2013,P2 640229,"£1,334.91",REV,J Murphy & Sons Ltd,611144
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children's Centres,E22,FCS Violett Melchett Centre (OSF),Supplies & Services,400,Miscellaneous Expenses,S2137.45000,45000,resources, 07/03/2013,P2 640237,"£1,732.51",REV,Early Years Resources,923760
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Housing Management & Support,H05,HOS Directorate (OSS),Supplies & Services,400,Legal Costs,H6000.42340,42340,General fund for Housing, 08/03/2013,P2 640238,"£1,000.00",REV,Trowers & Hamlins,605266
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care over 65,S3800.54453,54453,home care, 08/03/2013,P2 640241,"£2,646.74",REV,Saga Homecare,1280847
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care,S6125.54452,54452,home care, 08/03/2013,P2 640242,£637.63,REV,Saga Homecare,1280847
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Highway Maintenance,YT2,TTS Highways (OSY),Third Party Payments,500,Street Furniture,Y7220.55735,55735,Street Name Plate maintenance at various locations within the Borough, 08/03/2013,P2 640243,"£3,810.15",REV,J Murphy & Sons Ltd,611144
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Commercial Lettings,C23,COS Commercial Properties (OSC),Premises Expenses,200,Gas Non-Contract,P5720.22050,22050,Gas bill for 3 Jan to 1 Feb, 07/03/2013,P2 640271,£681.23,REV,Swalec,605907
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6125.54135,54135,Supported Living (CC) 28.1.13-3.2.13 *******, 07/03/2013,P2 640274,"£1,404.50",REV,CTRC Community Care Company,1278515
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6125.54135,54135,Supported Living (CC) 28.1.13-3.2.13 *******, 07/03/2013,P2 640275,"£1,800.00",REV,CTRC Community Care Company,1278515
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,P&V Supp Accom,S6125.54210,54210,Supported Living (CC) January 2013 *******, 01/03/2013,P2 640280,"£14,400.00",REV,London Cyrenians Housing Ltd & Yarrow Ho,926481
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6125.54135,54135,Supported Living (CC) 4.2.13-10.2.13 *******, 13/03/2013,P2 640282,"£1,350.50",REV,CTRC Community Care Company,1278515
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6125.54135,54135,Supported Living (CC) 4.2.13-10.2.13 *******, 13/03/2013,P2 640283,"£1,800.00",REV,CTRC Community Care Company,1278515
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Emergency support 1.2.13-11.2.13 MW, 15/03/2013,P2 640287,£646.00,REV,Yarrow Housing Ltd,602070
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Administration,YT1,TTS Business Support (OSY),Supplies & Services,400,Events,Y7005.45340,45340,London Transport Awards, 25/03/2013,P2 640291,£510.00,REV,Portobello Partnership Ltd,1050406
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Governance Services,C09,COS Governance Services (OSC),Supplies & Services,400,Computer Software Purchase,P4201.43050,43050,CMIS upgrade, 14/03/2013,P2 640292,"£2,124.00",REV,Astech Consultants Ltd,1197978
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,EY Management & Admin,E23,FCS Early Start (Golborne) (OSF),Employee Expenses,100,Training Expenses,E1049.19090.RES,19090,PVI Grant Funding, 08/03/2013,P2 640293,£600.00,REV,Little Cherubs Nursery School,1158220
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Information Systems,C02,COS ISD General (OSC),Supplies & Services,400,Specific ISD Projects,P4815.43215,43215,Mobile Data Services, 15/03/2013,P2 640409,£750.00,REV,Incentivated Ltd,1258743
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Capital Codes,002,COS AssetMngt & Capital Prjcts (OSC),Capital Code,003,Construction-Main Ctrctrs A/C,X6336.00090,00090,Demolition and Construction of Avondale Park amenity buildings, 15/03/2013,P2 640411,"£25,270.00",CAP,H A Marks Ltd,879715
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Support Servs/Management,S70,ASC L&D (OSS),Employee Expenses,100,Training Expenses,S0021.19090,19090,Safeguarding Awareness Training for adult social care staff, 14/03/2013,P2 640415,£600.00,REV,A&R Associates,645926
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Capital Codes,002,COS AssetMngt & Capital Prjcts (OSC),Capital Code,003,Construction-Main Ctrctrs A/C,X6359.00090,00090,"Demolition and Construction of new Ecology Centre, Adventure Playground, Holland Park.", 15/03/2013,P2 640418,"£36,575.00",CAP,Gowlain Building Group Contractors Ltd,811383
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Support Servs/Management,S70,ASC L&D (OSS),Employee Expenses,100,Training Expenses,S0021.19090,19090,Mental capacity act training for adult social care staff, 15/03/2013,P2 640434,"£2,500.00",REV,Capacity Care Community Interest Co,1288974
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,StrategyCommissioning&Perform,E20,CHS Workforce Development Team (OSF),Supplies & Services,400,Training Programme Delivery,E9752.42113,42113,Training and professional development, 13/03/2013,P2 640437,£550.00,REV,Nice Work Consulting Ltd,1271859
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Human Resources,C04,COS Learning and Development (OSC),Supplies & Services,400,Annual Programme,P4421.42515,42515,RBKC staff training., 15/03/2013,P2 640447,£960.00,REV,Cepec Career Management Ltd,1247057
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Schools Strategic Management,E25,FCS Governors Support (OSF),Supplies & Services,400,Music,E9510.46050,46050,CYM Spring term 2013, 15/03/2013,P2 640454,"£5,450.00",REV,Centre For Young Musicians,602110
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Schools Strategic Management,E25,FCS Governors Support (OSF),Supplies & Services,400,Music,E9510.46050,46050,CYM Invoice - Spring term 2013, 15/03/2013,P2 640455,"£5,086.67",REV,Centre For Young Musicians,602110
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Public Lighting,YT3,TTS Derek Mahon-Lighting (OSY),Third Party Payments,500,Public Lighting-Irrecov Works,Y7254.55920,55920,est 12511459, 15/03/2013,P2 640633,£546.96,REV,Eurovia Infrastructure Ltd,949196
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Ladbroke South SWT (OSF),Third Party Payments,500,P & V Fostering,S1742.54005,54005,LAC - Respite cost, 14/03/2013,P2 640634,£719.40,REV,Integrated Services Programme,604978
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,HHASC Thamesbrook Residential (OSS),Employee Expenses,100,Salaries Agency,S3130.12000,12000,Thamesbrook Nursing Salary, 12/03/2013,P2 640640,£674.56,REV,Geneva Health International Ltd,1214305
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,HHASC Thamesbrook Residential (OSS),Employee Expenses,100,Salaries Agency,S3130.12000,12000,Thamesbrook Nursing Salary, 12/03/2013,P2 640642,£634.96,REV,Geneva Health International Ltd,1214305
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3800.55355,55355,Homecare, 01/03/2013,P2 640658,£926.11,REV,Ashbourne Healthcare Services,642207
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Local Taxation Administration,C14,COS Council Tax & Revenues IT (OSC),Supplies & Services,400,External Printing,P5810.41600,41600,IBS Summons RJ 42 LIVE 31/01/2013, 01/03/2013,P2 640660,£505.27,REV,Financial Data Management Ltd,601031
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3801.55355,55355,Homecare 28.01.13-10/2/12, 14/03/2013,P2 640663,"£2,239.14",REV,Bluebird Care (Kensington & Chelsea),1265729
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3801.55355,55355,Homecare 28/01/13-10.02.13, 14/03/2013,P2 640664,£547.28,REV,Bluebird Care (Kensington & Chelsea),1265729
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,HHASC Thamesbrook Residential (OSS),Employee Expenses,100,Salaries Agency,S3130.12000,12000,Thamesbrook Agency Nurses Salary, 12/03/2013,P2 640668,£954.46,REV,Geneva Health International Ltd,1214305
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Exec-Environmental Strategy,YE1,ELR Climate Change (OSY),Supplies & Services,400,Miscellaneous Expenses,Y0016.45000,45000,PV Production and Energy Demand Displays & Monitoring, 07/03/2013,P2 640672,"£4,540.00",REV,More Associates Ltd,1304509
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Physical Disability,S11,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care,S6520.54452,54452,carewatch, 06/03/2013,P2 641425,£807.60,REV,Carewatch (Kensington & Chelsea),821083
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Physical Disability,S11,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care,S6520.54452,54452,carewatch, 06/03/2013,P2 641426,£602.40,REV,Carewatch (Kensington & Chelsea),821083
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Support Servs/Management,S70,ASC L&D (OSS),Employee Expenses,100,Training Expenses,S0021.19090,19090,Mental health awareness training for social workers across Tri-borough adult social care, 08/03/2013,P2 641427,£700.00,REV,Payment to an individual or sole trader,601770
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Support Servs/Management,S70,ASC L&D (OSS),Employee Expenses,100,Training Expenses,S0021.19090,19090,Procurement qualification for adult social care triborough contracting and procurement team, 13/03/2013,P2 641436,"£2,045.00",REV,Harley Reed (UK) Ltd,1270592
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Support Servs/Management,S70,ASC L&D (OSS),Employee Expenses,100,Training Expenses,S0021.19090,19090,Coaching Supervision for Learning and Development professional staff., 15/03/2013,P2 641439,£600.00,REV,Mind For Work Ltd,1275397
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Support Servs/Management,S70,ASC L&D (OSS),Employee Expenses,100,Training Expenses,S0021.19090,19090,Compassionate Practitioner Training for adult social care provider staff., 15/03/2013,P2 641454,"£2,002.30",REV,Frameworks 4 Change Ltd,1033088
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Support Servs/Management,S70,ASC L&D (OSS),Employee Expenses,100,Training Expenses,S0021.19090,19090,Compassionate Practitioner Training for adult social care provider staff., 06/03/2013,P2 641455,"£1,950.00",REV,Frameworks 4 Change Ltd,1033088
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care,S6125.54452,54452,Homecare 4/02/13-08/02/13, 15/03/2013,P2 641459,£655.80,REV,Workline Group Ltd,600423
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,YouthSupport&Development Ser,E07,FCS Achievement Team (OSF),Supplies & Services,400,Programme Activities,E7128.45345,45345,graffiti art project, 08/03/2013,P2 641463,"£1,100.00",REV,Cancontrol,1119754
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Parking On St Services (OSY),Third Party Payments,500,NCP Drop Curb Enforcement,Y8359.56614,56614,NSL Variable Invoices - January 2013, 15/03/2013,P2 641464,"£9,206.42",REV,NSL Ltd,997114
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Physical Disability,S11,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care,S6520.54452,54452,Homecare, 14/03/2013,P2 641465,£808.50,REV,Hope Care Agency Ltd,1285327
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3800.55355,55355,Homecare 28/01/13-06/02/13, 14/03/2013,P2 641471,£734.42,REV,Bluebird Care (Kensington & Chelsea),1265729
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3801.55355,55355,Homecare 28/01/13-10/02/13, 14/03/2013,P2 641472,£583.37,REV,Bluebird Care (Kensington & Chelsea),1265729
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care-Ext Providers-Health,S3800.55355,55355,Homecare, 14/03/2013,P2 641473,£871.20,REV,Bluebird Care (Kensington & Chelsea),1265729
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Pupil Referral Unit,E29,FCS Pupil Referral Unit (OSF),Employee Expenses,100,Agency Staff-Support Services,E5606.12100,12100,English supply teacher, 08/03/2013,P2 641479,"£1,025.00",REV,Axcis Education Recruitment,1078767
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,"A,I&A Other",E39,FCS Education Psychology (OSF),Supplies & Services,400,Materials Purchase,E5603.40140,40140,VR equipment and training, 15/03/2013,P2 641489,"£3,660.00",REV,Hands Free Computing Ltd,632452
