Election year,Area Code,Constituency,Candidate name,Party abbreviation,Party,Candidate Votes,Candidate rank,Share of vote,Total constituency votes,Winning party,Majority,Electorate,% Turnout,% Majority,Gain/Hold
2015,B99,Hampstead and Kilburn,Tulip Siddiq,Lab,Labour,"23,977",1,44.4,"53,964",Lab,"1,138","80,184",67.3,2.1,LAB HOLD
2015,B99,Hampstead and Kilburn,Simon Marcus,Cons,Conservative,"22,839",2,42.3,,,,,,,
2015,B99,Hampstead and Kilburn,Maajid Nawaz,LibDem,Liberal Democrat,"3,039",3,5.6,,,,,,,
2015,B99,Hampstead and Kilburn,Rebecca Johnson,Green,Green,"2,387",4,4.4,,,,,,,
2015,B99,Hampstead and Kilburn,Magnus Nielsen,UKIP,UK Independence Party,"1,532",5,2.8,,,,,,,
2015,B99,Hampstead and Kilburn,The Eurovisionary Carroll,Ind,Independent,113,6,0.2,,,,,,,
2015,B99,Hampstead and Kilburn,Robin Ellison,UP,U Party,77,7,0.1,,,,,,,
2015,C04,Harrow East,Bob Blackman,Cons,Conservative,"24,668",1,50.3,"49,000",Cons,"4,757","71,015",69,9.7,CON HOLD
2015,C04,Harrow East,Uma Kumaran,Lab,Labour,"19,911",2,40.6,,,,,,,
2015,C04,Harrow East,Aidan Powlesland,UKIP,UK Independence Party,"2,333",3,4.8,,,,,,,
2015,C04,Harrow East,Ross Barlow,LibDem,Liberal Democrat,"1,037",4,2.1,,,,,,,
2015,C04,Harrow East,Emma Wallace,Green,Green,846,5,1.7,,,,,,,
2015,C04,Harrow East,Nana Asante,TUSC,Trade Unionist and Socialist Coalition,205,6,0.4,,,,,,,
2015,C05,Harrow West,Gareth Thomas,Lab,Labour,"21,885",1,47.0,"46,603",Lab,"2,208","69,661",66.9,4.7,LAB HOLD
2015,C05,Harrow West,Hannah David,Cons,Conservative,"19,677",2,42.2,,,,,,,
2015,C05,Harrow West,Mohammad Ali Bhatti,UKIP,UK Independence Party,"2,047",3,4.4,,,,,,,
2015,C05,Harrow West,Chris Noyce,LibDem,Liberal Democrat,"1,567",4,3.4,,,,,,,
2015,C05,Harrow West,Rowan Langley,Green,Green,"1,310",5,2.8,,,,,,,
2015,C05,Harrow West,Kailash Trivedi,Ind,Independent,117,6,0.3,,,,,,,
2015,C10,Hayes and Harlington,John McDonnell,Lab,Labour,"26,843",1,59.6,"45,056",Lab,"15,700","74,844",60.2,34.8,LAB HOLD
2015,C10,Hayes and Harlington,Pearl Lewis,Cons,Conservative,"11,143",2,24.7,,,,,,,
2015,C10,Hayes and Harlington,Cliff Dixon,UKIP,UK Independence Party,"5,388",3,12.0,,,,,,,
2015,C10,Hayes and Harlington,Satnam Khalsa,LibDem,Liberal Democrat,888,4,2.0,,,,,,,
2015,C10,Hayes and Harlington,Alick Munro,Green,Green,794,5,1.8,,,,,,,
2015,C14,Hendon,Matthew Offord,Cons,Conservative,"24,328",1,49.0,"49,630",Cons,"3,724","74,632",66.5,7.5,CON HOLD
2015,C14,Hendon,Andrew Dismore,Lab,Labour,"20,604",2,41.5,,,,,,,
2015,C14,Hendon,Raymond Shamash,UKIP,UK Independence Party,"2,595",3,5.2,,,,,,,
2015,C14,Hendon,Alasdair Hill,LibDem,Liberal Democrat,"1,088",4,2.2,,,,,,,
2015,C14,Hendon,Ben Samuel,Green,Green,"1,015",5,2.0,,,,,,,
2015,C23,Holborn and St. Pancras,Keir Starmer,Lab,Labour,"29,062",1,52.9,"54,917",Lab,"17,048","86,894",63.2,31,LAB HOLD
2015,C23,Holborn and St. Pancras,Will Blair,Cons,Conservative,"12,014",2,21.9,,,,,,,
2015,C23,Holborn and St. Pancras,Natalie Bennett,Green,Green,"7,013",3,12.8,,,,,,,
2015,C23,Holborn and St. Pancras,Jill Fraser,LibDem,Liberal Democrat,"3,555",4,6.5,,,,,,,
2015,C23,Holborn and St. Pancras,Maxine Spencer,UKIP,UK Independence Party,"2,740",5,5.0,,,,,,,
2015,C23,Holborn and St. Pancras,Shane O'Donnell,CSTA,Cannabis is Safer than Alcohol,252,6,0.5,,,,,,,
2015,C23,Holborn and St. Pancras,Vanessa Hudson,AWP,Animal Welfare Party,173,7,0.3,,,,,,,
2015,C23,Holborn and St. Pancras,David O'Sullivan,SEP,Socialist Equality Party,108,8,0.2,,,,,,,
2015,C24,Hornchurch and Upminster,Angela Watkinson,Cons,Conservative,"27,051",1,49.0,"55,236",Cons,"13,074","79,362",69.6,23.7,CON HOLD
2015,C24,Hornchurch and Upminster,Lawrence Webb,UKIP,UK Independence Party,"13,977",2,25.3,,,,,,,
2015,C24,Hornchurch and Upminster,Paul McGeary,Lab,Labour,"11,103",3,20.1,,,,,,,
2015,C24,Hornchurch and Upminster,Jonathan Mitchell,LibDem,Liberal Democrat,"1,501",4,2.7,,,,,,,
2015,C24,Hornchurch and Upminster,Melanie Collins,Green,Green,"1,411",5,2.6,,,,,,,
2015,C24,Hornchurch and Upminster,Paul Borg,BNP,British National Party,193,6,0.3,,,,,,,
2015,C25,Hornsey and Wood Green,Catherine West,Lab,Labour,"29,417",1,50.9,"57,785",Lab,"11,058","79,266",72.9,19.1,LAB GAIN FROM LIB DEM
2015,C25,Hornsey and Wood Green,Lynne Featherstone,LibDem,Liberal Democrat,"18,359",2,31.8,,,,,,,
2015,C25,Hornsey and Wood Green,Suhail Rahuja,Cons,Conservative,"5,347",3,9.3,,,,,,,
2015,C25,Hornsey and Wood Green,Gordon Peters,Green,Green,"3,146",4,5.4,,,,,,,
2015,C25,Hornsey and Wood Green,Clive Morrison,UKIP,UK Independence Party,"1,271",5,2.2,,,,,,,
2015,C25,Hornsey and Wood Green,Helen Spiby-Vann,CPA,Christian Peoples Alliance,118,6,0.2,,,,,,,
2015,C25,Hornsey and Wood Green,Frank Sweeney,WRP,Workers' Revolutionary Party,82,7,0.1,,,,,,,
2015,C25,Hornsey and Wood Green,Geoff Moseley,HP,Hoi Polloi,45,8,0.1,,,,,,,
2015,C32,Ilford North,Wes Streeting,Lab,Labour,"21,463",1,43.9,"48,932",Lab,589,"78,166",62.6,1.2,LAB GAIN FROM CON
2015,C32,Ilford North,Lee Scott,Cons,Conservative,"20,874",2,42.7,,,,,,,
2015,C32,Ilford North,Philip Hyde,UKIP,UK Independence Party,"4,355",3,8.9,,,,,,,
2015,C32,Ilford North,Rich Clare,LibDem,Liberal Democrat,"1,130",4,2.3,,,,,,,
2015,C32,Ilford North,David Reynolds,Green,Green,"1,023",5,2.1,,,,,,,
2015,C32,Ilford North,Doris Osen,Ind,Independent,87,6,0.2,,,,,,,
2015,C33,Ilford South,Mike Gapes,Lab,Labour,"33,232",1,64.0,"51,912",Lab,"19,777","95,077",54.6,38.1,LAB HOLD
2015,C33,Ilford South,Chris Chapman,Cons,Conservative,"13,455",2,25.9,,,,,,,
2015,C33,Ilford South,Amjad Khan,UKIP,UK Independence Party,"2,705",3,5.2,,,,,,,
2015,C33,Ilford South,RoseMary Warrington,Green,Green,"1,506",4,2.9,,,,,,,
2015,C33,Ilford South,Ashburn Holder,LibDem,Liberal Democrat,"1,014",5,2.0,,,,,,,
2015,C36,Islington North,Jeremy Corbyn,Lab,Labour,"29,659",1,60.2,"49,234",Lab,"21,194","73,374",67.1,43,LAB HOLD
2015,C36,Islington North,Alex Burghart,Cons,Conservative,"8,465",2,17.2,,,,,,,
2015,C36,Islington North,Caroline Russell,Green,Green,"5,043",3,10.2,,,,,,,
2015,C36,Islington North,Julian Gregory,LibDem,Liberal Democrat,"3,984",4,8.1,,,,,,,
2015,C36,Islington North,Gregory Clough,UKIP,UK Independence Party,"1,971",5,4.0,,,,,,,
2015,C36,Islington North,Bill Martin,SPGB,Socialist Party of Great Britain,112,6,0.2,,,,,,,
2015,C37,Islington South and Finsbury,Emily Thornberry,Lab,Labour,"22,547",1,50.9,"44,270",Lab,"12,708","68,108",65,28.7,LAB HOLD
2015,C37,Islington South and Finsbury,Mark Lim,Cons,Conservative,"9,839",2,22.2,,,,,,,
2015,C37,Islington South and Finsbury,Terry Stacy,LibDem,Liberal Democrat,"4,829",3,10.9,,,,,,,
2015,C37,Islington South and Finsbury,Pete Muswell,UKIP,UK Independence Party,"3,375",4,7.6,,,,,,,
2015,C37,Islington South and Finsbury,Charlie Kiss,Green,Green,"3,371",5,7.6,,,,,,,
2015,C37,Islington South and Finsbury,Jay Kirton,CSTA,Cannabis is Safer than Alcohol,309,6,0.7,,,,,,,
2015,C41,Kensington,Victoria Borwick,Cons,Conservative,"18,199",1,52.3,"34,828",Cons,"7,361","61,317",56.8,21.1,CON HOLD
2015,C41,Kensington,Rod Abouharb,Lab,Labour,"10,838",2,31.1,,,,,,,
2015,C41,Kensington,Robin McGhee,LibDem,Liberal Democrat,"1,962",3,5.6,,,,,,,
2015,C41,Kensington,Robina Rose,Green,Green,"1,765",4,5.1,,,,,,,
2015,C41,Kensington,Jack Bovill,UKIP,UK Independence Party,"1,557",5,4.5,,,,,,,
2015,C41,Kensington,Tony Auguste,CSTA,Cannabis is Safer than Alcohol,211,6,0.6,,,,,,,
2015,C41,Kensington,Andrew Knight,AWP,Animal Welfare Party,158,7,0.5,,,,,,,
2015,C41,Kensington,Toby Abse,Green Soc,Alliance for Green Socialism,115,8,0.3,,,,,,,
2015,C41,Kensington,Roland Courtenay,NIC,New Independent Centralists,23,9,0.1,,,,,,,
2015,C43,Kingston and Surbiton,James Berry,Cons,Conservative,"23,249",1,39.2,"59,253",Cons,"2,834","81,280",72.9,4.8,CON GAIN FROM LIB DEM
2015,C43,Kingston and Surbiton,Ed Davey,LibDem,Liberal Democrat,"20,415",2,34.5,,,,,,,
2015,C43,Kingston and Surbiton,Lee Godfrey,Lab,Labour,"8,574",3,14.5,,,,,,,
2015,C43,Kingston and Surbiton,Ben Roberts,UKIP,UK Independence Party,"4,321",4,7.3,,,,,,,
2015,C43,Kingston and Surbiton,Clare Keogh,Green,Green,"2,322",5,3.9,,,,,,,
2015,C43,Kingston and Surbiton,Daniel Gill,CPA,Christian Peoples Alliance,198,6,0.3,,,,,,,
2015,C43,Kingston and Surbiton,Laurel Fogarty,TUSC,Trade Unionist and Socialist Coalition,174,7,0.3,,,,,,,
2015,C60,Lewisham East,Heidi Alexander,Lab,Labour,"23,907",1,55.7,"42,923",Lab,"14,333","73,373",58.5,33.4,LAB HOLD
2015,C60,Lewisham East,Peter Fortune,Cons,Conservative,"9,574",2,22.3,,,,,,,
2015,C60,Lewisham East,Anne Marie Waters,UKIP,UK Independence Party,"3,886",3,9.1,,,,,,,
2015,C60,Lewisham East,Julia Fletcher,LibDem,Liberal Democrat,"2,455",4,5.7,,,,,,,
2015,C60,Lewisham East,Storm Poorun,Green,Green,"2,429",5,5.7,,,,,,,
2015,C60,Lewisham East,Nick Long,PBP,People Before Profit,390,6,0.9,,,,,,,
2015,C60,Lewisham East,Maureen Martin,CPA,Christian Peoples Alliance,282,7,0.7,,,,,,,
2015,C61,Lewisham West and Penge,Jim Dowd,Lab,Labour,"24,347",1,50.6,"48,125",Lab,"12,714","72,260",66.6,26.4,LAB HOLD
2015,C61,Lewisham West and Penge,Russell Jackson,Cons,Conservative,"11,633",2,24.2,,,,,,,
2015,C61,Lewisham West and Penge,Tom Chance,Green,Green,"4,077",3,8.5,,,,,,,
2015,C61,Lewisham West and Penge,Gary Harding,UKIP,UK Independence Party,"3,764",4,7.8,,,,,,,
2015,C61,Lewisham West and Penge,Alex Feakes,LibDem,Liberal Democrat,"3,709",5,7.7,,,,,,,
2015,C61,Lewisham West and Penge,Martin Powell-Davies,TUSC,Trade Unionist and Socialist Coalition,391,6,0.8,,,,,,,
2015,C61,Lewisham West and Penge,David Hansom,Ind,Independent,160,7,0.3,,,,,,,
2015,C61,Lewisham West and Penge,George Whale,Lib GB,Liberty GB,44,8,0.1,,,,,,,
2015,C62,"Lewisham, Deptford",Vicky Foxcroft,Lab,Labour,"28,572",1,60.2,"47,426",Lab,"21,516","73,415",64.6,45.4,LAB HOLD
2015,C62,"Lewisham, Deptford",Bim Afolami,Cons,Conservative,"7,056",2,14.9,,,,,,,
2015,C62,"Lewisham, Deptford",John Coughlin,Green,Green,"5,932",3,12.5,,,,,,,
2015,C62,"Lewisham, Deptford",Michael Bukola,LibDem,Liberal Democrat,"2,497",4,5.3,,,,,,,
2015,C62,"Lewisham, Deptford",Massimo Dimambro,UKIP,UK Independence Party,"2,013",5,4.2,,,,,,,
2015,C62,"Lewisham, Deptford",Helen Mercer,PBP,People Before Profit,666,6,1.4,,,,,,,
2015,C62,"Lewisham, Deptford",Malcolm Martin,CPA,Christian Peoples Alliance,300,7,0.6,,,,,,,
2015,C62,"Lewisham, Deptford",Chris Flood,TUSC,Trade Unionist and Socialist Coalition,286,8,0.6,,,,,,,
2015,C62,"Lewisham, Deptford",Phillip Badger,DRP,Democratic Reform Party,74,9,0.2,,,,,,,
2015,C62,"Lewisham, Deptford",David Harvey,Ind,Independent,30,10,0.1,,,,,,,
2015,C63,Leyton and Wanstead,John Cryer,Lab,Labour,"23,858",1,58.6,"40,705",Lab,"14,919","64,714",62.9,36.7,LAB HOLD
2015,C63,Leyton and Wanstead,Matthew Scott,Cons,Conservative,"8,939",2,22.0,,,,,,,
2015,C63,Leyton and Wanstead,Ashley Gunstock,Green,Green,"2,974",3,7.3,,,,,,,
2015,C63,Leyton and Wanstead,Rosamund Beattie,UKIP,UK Independence Party,"2,341",4,5.8,,,,,,,
2015,C63,Leyton and Wanstead,Carl Quilliam,LibDem,Liberal Democrat,"2,304",5,5.7,,,,,,,
2015,C63,Leyton and Wanstead,Mahtab Aziz,Ind,Independent,289,6,0.7,,,,,,,
2015,C96,Mitcham and Morden,Siobhain McDonagh,Lab,Labour,"27,380",1,60.7,"45,142",Lab,"16,922","68,501",65.9,37.5,LAB HOLD
2015,C96,Mitcham and Morden,Paul Holmes,Cons,Conservative,"10,458",2,23.2,,,,,,,
2015,C96,Mitcham and Morden,Richard Hilton,UKIP,UK Independence Party,"4,287",3,9.5,,,,,,,
2015,C96,Mitcham and Morden,Mason Redding,Green,Green,"1,422",4,3.2,,,,,,,
2015,C96,Mitcham and Morden,Diana Coman,LibDem,Liberal Democrat,"1,378",5,3.1,,,,,,,
2015,C96,Mitcham and Morden,Des Coke,CPA,Christian Peoples Alliance,217,6,0.5,,,,,,,
2015,D43,Old Bexley and Sidcup,James Brokenshire,Cons,Conservative,"24,682",1,52.8,"46,748",Cons,"15,803","66,028",70.8,33.8,CON HOLD
2015,D43,Old Bexley and Sidcup,Ibrahim Mehmet,Lab,Labour,"8,879",2,19.0,,,,,,,
2015,D43,Old Bexley and Sidcup,Catherine Reilly,UKIP,UK Independence Party,"8,528",3,18.2,,,,,,,
2015,D43,Old Bexley and Sidcup,Jennifer Keen,LibDem,Liberal Democrat,"1,644",4,3.5,,,,,,,
2015,D43,Old Bexley and Sidcup,Derek Moran,Green,Green,"1,336",5,2.9,,,,,,,
2015,D43,Old Bexley and Sidcup,Bob Gill,NHAP,National Health Action Party,"1,216",6,2.6,,,,,,,
2015,D43,Old Bexley and Sidcup,Laurence Williams,Ch P,Christian Party,245,7,0.5,,,,,,,
2015,D43,Old Bexley and Sidcup,Nicola Finch,BNP,British National Party,218,8,0.5,,,,,,,
2015,D46,Orpington,Joseph Johnson,Cons,Conservative,"28,152",1,57.4,"49,032",Cons,"19,979","68,100",72,40.7,CON HOLD
2015,D46,Orpington,Idham Ramadi,UKIP,UK Independence Party,"8,173",2,16.7,,,,,,,
2015,D46,Orpington,Nigel de Gruchy,Lab,Labour,"7,645",3,15.6,,,,,,,
2015,D46,Orpington,Peter Brooks,LibDem,Liberal Democrat,"3,330",4,6.8,,,,,,,
2015,D46,Orpington,Tamara Galloway,Green,Green,"1,732",5,3.5,,,,,,,
2015,D56,Poplar and Limehouse,Jim Fitzpatrick,Lab,Labour,"29,886",1,58.5,"51,044",Lab,"16,924","82,064",62.2,33.2,LAB HOLD
2015,D56,Poplar and Limehouse,Christopher Wilford,Cons,Conservative,"12,962",2,25.4,,,,,,,
2015,D56,Poplar and Limehouse,Nicholas McQueen,UKIP,UK Independence Party,"3,128",3,6.1,,,,,,,
2015,D56,Poplar and Limehouse,Maureen Childs,Green,Green,"2,463",4,4.8,,,,,,,
2015,D56,Poplar and Limehouse,Elaine Bagshaw,LibDem,Liberal Democrat,"2,149",5,4.2,,,,,,,
2015,D56,Poplar and Limehouse,Hugo Pierre,TUSC,Trade Unionist and Socialist Coalition,367,6,0.7,,,,,,,
2015,D56,Poplar and Limehouse,Rene Mugenzi,RFAC,Red Flag Anti-Corruption,89,7,0.2,,,,,,,
2015,D61,Putney,Justine Greening,Cons,Conservative,"23,018",1,53.8,"42,813",Cons,"10,180","63,900",67,23.8,CON HOLD
2015,D61,Putney,Sheila Boswell,Lab,Labour,"12,838",2,30.0,,,,,,,
2015,D61,Putney,Andy Hallett,LibDem,Liberal Democrat,"2,717",3,6.3,,,,,,,
2015,D61,Putney,Chris Poole,Green,Green,"2,067",4,4.8,,,,,,,
2015,D61,Putney,Tricia Ward,UKIP,UK Independence Party,"1,989",5,4.6,,,,,,,
2015,D61,Putney,Guy Dessoy,AWP,Animal Welfare Party,184,6,0.4,,,,,,,
2015,D70,Richmond Park,Zac Goldsmith,Cons,Conservative,"34,404",1,58.2,"59,101",Cons,"23,015","77,256",76.5,38.9,CON HOLD
2015,D70,Richmond Park,Robin Meltzer,LibDem,Liberal Democrat,"11,389",2,19.3,,,,,,,
2015,D70,Richmond Park,Sachin Patel,Lab,Labour,"7,296",3,12.3,,,,,,,
2015,D70,Richmond Park,Andree Frieze,Green,Green,"3,548",4,6.0,,,,,,,
2015,D70,Richmond Park,Sam Naz,UKIP,UK Independence Party,"2,464",5,4.2,,,,,,,
2015,D74,Romford,Andrew Rosindell,Cons,Conservative,"25,067",1,51.0,"49,178",Cons,"13,859","72,641",67.7,28.2,CON HOLD
2015,D74,Romford,Gerard Batten,UKIP,UK Independence Party,"11,208",2,22.8,,,,,,,
2015,D74,Romford,Sam Gould,Lab,Labour,"10,268",3,20.9,,,,,,,
2015,D74,Romford,Ian Sanderson,LibDem,Liberal Democrat,"1,413",4,2.9,,,,,,,
2015,D74,Romford,Lorna Tooley,Green,Green,"1,222",5,2.5,,,,,,,
2015,D80,"Ruislip, Northwood and Pinner",Nick Hurd,Cons,Conservative,"30,521",1,59.6,"51,222",Cons,"20,224","73,174",70,39.5,CON HOLD
2015,D80,"Ruislip, Northwood and Pinner",Michael Borio,Lab,Labour,"10,297",2,20.1,,,,,,,
2015,D80,"Ruislip, Northwood and Pinner",Gerard Barry,UKIP,UK Independence Party,"5,598",3,10.9,,,,,,,
2015,D80,"Ruislip, Northwood and Pinner",Joshua Dixon,LibDem,Liberal Democrat,"2,537",4,5.0,,,,,,,
2015,D80,"Ruislip, Northwood and Pinner",Karen Pillai,Green,Green,"1,801",5,3.5,,,,,,,
2015,D80,"Ruislip, Northwood and Pinner",Wally Kennedy,TUSC,Trade Unionist and Socialist Coalition,302,6,0.6,,,,,,,
2015,D80,"Ruislip, Northwood and Pinner",Sockalingam Yogalingam,NLP,National Liberal Party,166,7,0.3,,,,,,,
2015,E53,Streatham,Chuka Umunna,Lab,Labour,"26,474",1,53.0,"49,933",Lab,"13,934","78,635",63.5,27.9,LAB HOLD
2015,E53,Streatham,Kim Caddy,Cons,Conservative,"12,540",2,25.1,,,,,,,
2015,E53,Streatham,Amna Ahmad,LibDem,Liberal Democrat,"4,491",3,9.0,,,,,,,
2015,E53,Streatham,Jonathan Bartley,Green,Green,"4,421",4,8.9,,,,,,,
2015,E53,Streatham,Bruce Machan,UKIP,UK Independence Party,"1,602",5,3.2,,,,,,,
2015,E53,Streatham,Artificial Beast,CSTA,Cannabis is Safer than Alcohol,192,6,0.4,,,,,,,
2015,E53,Streatham,Unjum Mirza,TUSC,Trade Unionist and Socialist Coalition,164,7,0.3,,,,,,,
2015,E53,Streatham,Deon Gayle,WRP,Workers' Revolutionary Party,49,8,0.1,,,,,,,
2015,E59,Sutton and Cheam,Paul Scully,Cons,Conservative,"20,732",1,41.5,"49,905",Cons,"3,921","69,121",72.2,7.9,CON GAIN FROM LIB DEM
2015,E59,Sutton and Cheam,Paul Burstow,LibDem,Liberal Democrat,"16,811",2,33.7,,,,,,,
2015,E59,Sutton and Cheam,Emily Brothers,Lab,Labour,"5,546",3,11.1,,,,,,,
2015,E59,Sutton and Cheam,Angus Dalgleish,UKIP,UK Independence Party,"5,341",4,10.7,,,,,,,
2015,E59,Sutton and Cheam,Maeve Tomlinson,Green,Green,"1,051",5,2.1,,,,,,,
2015,E59,Sutton and Cheam,Dave Ash,NHAP,National Health Action Party,345,6,0.7,,,,,,,
2015,E59,Sutton and Cheam,Pauline Gorman,TUSC,Trade Unionist and Socialist Coalition,79,7,0.2,,,,,,,
2015,E73,Tooting,Sadiq Khan,Lab,Labour,"25,263",1,47.2,"53,529",Lab,"2,842","76,799",69.7,5.3,LAB HOLD
2015,E73,Tooting,Dan Watkins,Cons,Conservative,"22,421",2,41.9,,,,,,,
2015,E73,Tooting,Esther Obiri-Darko,Green,Green,"2,201",3,4.1,,,,,,,
2015,E73,Tooting,Philip Ling,LibDem,Liberal Democrat,"2,107",4,3.9,,,,,,,
2015,E73,Tooting,Przemek Skwirczynski,UKIP,UK Independence Party,"1,537",5,2.9,,,,,,,
2015,E77,Tottenham,David Lammy,Lab,Labour,"28,654",1,67.3,"42,558",Lab,"23,564","70,812",60.1,55.4,LAB HOLD
2015,E77,Tottenham,Stefan Mrozinski,Cons,Conservative,"5,090",2,12.0,,,,,,,
2015,E77,Tottenham,Dee Searle,Green,Green,"3,931",3,9.2,,,,,,,
2015,E77,Tottenham,Turhan Ozen,LibDem,Liberal Democrat,"1,756",4,4.1,,,,,,,
2015,E77,Tottenham,Tariq Saeed,UKIP,UK Independence Party,"1,512",5,3.6,,,,,,,
2015,E77,Tottenham,Jenny Sutton,TUSC,Trade Unionist and Socialist Coalition,"1,324",6,3.1,,,,,,,
2015,E77,Tottenham,Tania Mahmood,PP,The Peace Party,291,7,0.7,,,,,,,
2015,E80,Twickenham,Tania Mathias,Cons,Conservative,"25,580",1,41.3,"62,004",Cons,"2,017","80,212",77.3,3.3,CON GAIN FROM LIB DEM
2015,E80,Twickenham,Vince Cable,LibDem,Liberal Democrat,"23,563",2,38.0,,,,,,,
2015,E80,Twickenham,Nick Grant,Lab,Labour,"7,129",3,11.5,,,,,,,
2015,E80,Twickenham,Barry Edwards,UKIP,UK Independence Party,"3,069",4,4.9,,,,,,,
2015,E80,Twickenham,Tanya Williams,Green,Green,"2,463",5,4.0,,,,,,,
2015,E80,Twickenham,Dominic Stockford,CHRI,Christian,174,6,0.3,,,,,,,
2015,E80,Twickenham,David Wedgwood,Magna Carta,Magna Carta Party,26,7,0.0,,,,,,,
2015,E82,Uxbridge and South Ruislip,Boris Johnson,Cons,Conservative,"22,511",1,50.2,"44,811",Cons,"10,695","70,680",63.4,23.9,CON HOLD
2015,E82,Uxbridge and South Ruislip,Chris Summers,Lab,Labour,"11,816",2,26.4,,,,,,,
2015,E82,Uxbridge and South Ruislip,Jack Duffin,UKIP,UK Independence Party,"6,346",3,14.2,,,,,,,
2015,E82,Uxbridge and South Ruislip,Mike Cox,LibDem,Liberal Democrat,"2,215",4,4.9,,,,,,,
2015,E82,Uxbridge and South Ruislip,Graham Lee,Green,Green,"1,414",5,3.2,,,,,,,
2015,E82,Uxbridge and South Ruislip,Gary Harbord,TUSC,Trade Unionist and Socialist Coalition,180,6,0.4,,,,,,,
2015,E82,Uxbridge and South Ruislip,Jenny Thompson,Ind,Independent,84,7,0.2,,,,,,,
2015,E82,Uxbridge and South Ruislip,Howling Laud,MRL,Hope Monster Raving Loony Party,72,8,0.2,,,,,,,
2015,E82,Uxbridge and South Ruislip,Sabrina Moosun,CUP,Communities United Party,52,9,0.1,,,,,,,
2015,E82,Uxbridge and South Ruislip,Lord Toby Jug,EPGB,The Eccentric Party of Great Britain,50,10,0.1,,,,,,,
2015,E82,Uxbridge and South Ruislip,Michael Doherty,Ind,Independent,39,11,0.1,,,,,,,
2015,E82,Uxbridge and South Ruislip,Jane Lawrence,RP,The Realists' Party,18,12,0.0,,,,,,,
2015,E82,Uxbridge and South Ruislip,James Jackson,Ind,Independent,14,13,0.0,,,,,,,
2015,E83,Vauxhall,Kate Hoey,Lab,Labour,"25,778",1,53.8,"47,941",Lab,"12,708","81,671",58.7,26.5,LAB HOLD
2015,E83,Vauxhall,James Bellis,Cons,Conservative,"13,070",2,27.3,,,,,,,
2015,E83,Vauxhall,Gulnar Hasnain,Green,Green,"3,658",3,7.6,,,,,,,
2015,E83,Vauxhall,Adrian Hyyrylainen-Trett,LibDem,Liberal Democrat,"3,312",4,6.9,,,,,,,
2015,E83,Vauxhall,Ace Nnorom,UKIP,UK Independence Party,"1,385",5,2.9,,,,,,,
2015,E83,Vauxhall,Mark Chapman,Pirate,Pirate Party UK,201,6,0.4,,,,,,,
2015,E83,Vauxhall,Simon Hardy,LU,Left Unity,188,7,0.4,,,,,,,
2015,E83,Vauxhall,Louis Jensen,CSTA,Cannabis is Safer than Alcohol,164,8,0.3,,,,,,,
2015,E83,Vauxhall,Waleed Salman Ghani,WP,Whig Party,103,9,0.2,,,,,,,
2015,E83,Vauxhall,Danny Lambert,SPGB,Socialist Party of Great Britain,82,10,0.2,,,,,,,
2015,E88,Walthamstow,Stella Creasy,Lab,Labour,"28,779",1,68.9,"41,796",Lab,"23,195","67,304",62.1,55.5,LAB HOLD
2015,E88,Walthamstow,Molly Samuel-Leport,Cons,Conservative,"5,584",2,13.4,,,,,,,
2015,E88,Walthamstow,Michael Gold,Green,Green,"2,661",3,6.4,,,,,,,
2015,E88,Walthamstow,Paul Hillman,UKIP,UK Independence Party,"2,507",4,6.0,,,,,,,
2015,E88,Walthamstow,Steven Cheung,LibDem,Liberal Democrat,"1,661",5,4.0,,,,,,,
2015,E88,Walthamstow,Nancy Taaffe,TUSC,Trade Unionist and Socialist Coalition,394,6,0.9,,,,,,,
2015,E88,Walthamstow,Ellie Merton,Ind,Independent,129,7,0.3,,,,,,,
2015,E88,Walthamstow,Jonty Leff,WRP,Workers' Revolutionary Party,81,8,0.2,,,,,,,
2015,F08,West Ham,Lyn Brown,Lab,Labour,"36,132",1,68.4,"52,793",Lab,"27,986","90,710",58.2,53,LAB HOLD
2015,F08,West Ham,Festus Akinbusoye,Cons,Conservative,"8,146",2,15.4,,,,,,,
2015,F08,West Ham,Jamie McKenzie,UKIP,UK Independence Party,"3,950",3,7.5,,,,,,,
2015,F08,West Ham,Rachel Collinson,Green,Green,"2,651",4,5.0,,,,,,,
2015,F08,West Ham,Paul Reynolds,LibDem,Liberal Democrat,"1,430",5,2.7,,,,,,,
2015,F08,West Ham,Andy Uzoka,CPA,Christian Peoples Alliance,369,6,0.7,,,,,,,
2015,F08,West Ham,Cydatty Bogie,CUP,Communities United Party,115,7,0.2,,,,,,,
2015,F12,Westminster North,Karen Buck,Lab,Labour,"18,504",1,46.8,"39,514",Lab,"1,977","62,325",63.4,5,LAB HOLD
2015,F12,Westminster North,Lindsey Hall,Cons,Conservative,"16,527",2,41.8,,,,,,,
2015,F12,Westminster North,Nigel Sussman,UKIP,UK Independence Party,"1,489",3,3.8,,,,,,,
2015,F12,Westminster North,Kirsty Allan,LibDem,Liberal Democrat,"1,457",4,3.7,,,,,,,
2015,F12,Westminster North,Jennifer Nadel,Green,Green,"1,322",5,3.3,,,,,,,
2015,F12,Westminster North,Gabriela Fajardo,Ch P,Christian Party,152,6,0.4,,,,,,,
2015,F12,Westminster North,Nicholas Ward,Ind,Independent,63,7,0.2,,,,,,,
