Business Name,Address Line 1,Address Line 2,Address Line 3,Postcode,Business Type ID,Business Type Description,Food Hygiene Rating Scheme ID,Food Hygiene Rating Scheme Type,Hygiene Score,Structural Score,Confidence In Management Score,Rating Value,Rating Date,New Rating Pending,Local Authority Business ID,Local Authority Code,Local Authority Name,Local Authority Email Address,Local Authority Website,Ward Code,Ward Name,Longitude,Latitude,Last Uploaded,Location,Organisation URI
Ginger and White,,2a England's Lane,London,NW3 4TG,1,Restaurant/Cafe/Canteen,426368,FHRS,10,10,10,3,06/12/2016,False,72470,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000128,Belsize,-0.161553,51.546521,15/04/2018,"(51.546521, -0.161553)",http://opendatacommunities.org/id/london-borough-council/camden
Friend at Hand,,4 Herbrand Street,London,WC1N 1HX,7843,Pub/bar/nightclub,426483,FHRS,5,5,5,5,17/07/2017,False,8739,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.124592,51.522933,15/04/2018,"(51.522933, -0.124592)",http://opendatacommunities.org/id/london-borough-council/camden
Tiny Italian,Bloomsbury Market,Malet Street,London,,7844,Takeaway/sandwich shop,1029690,FHRS,15,5,10,2,18/01/2018,False,194082,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
Cafe Plus,,79 Mill Lane,London,NW6 1NB,1,Restaurant/Cafe/Canteen,424990,FHRS,10,10,10,3,28/02/2017,False,43411,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,-0.196798,51.552094,15/04/2018,"(51.552094, -0.196798)",http://opendatacommunities.org/id/london-borough-council/camden
Montana Wines & Spirits,,19 Great Ormond Street,London,WC1N 3JB,4613,Retailers - other,425302,FHRS,5,5,5,5,21/12/2009,False,53475,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.119161,51.522135,15/04/2018,"(51.522135, -0.119161)",http://opendatacommunities.org/id/london-borough-council/camden
Christ Church Co E Primary,Christ Church Primary School,Christchurch Hill,London,NW3 1JH,7845,School/college/university,423980,FHRS,0,5,0,5,21/02/2017,False,1751,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,-0.176319,51.559565,15/04/2018,"(51.559565, -0.176319)",http://opendatacommunities.org/id/london-borough-council/camden
Michael Loizou,,68 Cleveland Street,,W1T 6LX,7,Distributors/Transporters,976279,FHRS,,,,Exempt,26/05/2017,False,80908,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.140175,51.521824,15/04/2018,"(51.521824, -0.140175)",http://opendatacommunities.org/id/london-borough-council/camden
The Bree Louise,,69 Cobourg Street,London,NW1 2HH,7843,Pub/bar/nightclub,426256,FHRS,5,10,5,4,18/06/2013,False,7008,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.135672,51.527282,15/04/2018,"(51.527282, -0.135672)",http://opendatacommunities.org/id/london-borough-council/camden
Sodexo,The Wolfson Centre,Mecklenburgh Square,,WC1N 2AP,1,Restaurant/Cafe/Canteen,759363,FHRS,0,5,0,5,12/07/2017,False,82726,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,-0.119426,51.525143,15/04/2018,"(51.525143, -0.119426)",http://opendatacommunities.org/id/london-borough-council/camden
Starbucks Coffee Company,,60 Hampstead High Street,London,NW3 1QH,1,Restaurant/Cafe/Canteen,424801,FHRS,5,10,5,4,25/02/2011,False,35103,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,-0.17824,51.556249,15/04/2018,"(51.556249, -0.17824)",http://opendatacommunities.org/id/london-borough-council/camden
Venchi Uk,,65 Hampstead High Street,,NW3 1QP,4613,Retailers - other,943075,FHRS,0,0,0,5,10/01/2017,False,83023,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,-0.177735,51.555909,15/04/2018,"(51.555909, -0.177735)",http://opendatacommunities.org/id/london-borough-council/camden
Aroma Spice,,98 Fleet Road,London,NW3 2QX,1,Restaurant/Cafe/Canteen,424587,FHRS,10,15,20,1,07/11/2017,False,2696,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000134,Gospel Oak,-0.163092,51.553802,15/04/2018,"(51.553802, -0.163092)",http://opendatacommunities.org/id/london-borough-council/camden
Friends Snack Bar 3rd floor,Royal London Homeopathic Hospi,Great Ormond Street,London,WC1N 3AY,1,Restaurant/Cafe/Canteen,425293,FHRS,0,0,5,5,29/03/2016,False,53368,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.123143,51.522406,15/04/2018,"(51.522406, -0.123143)",http://opendatacommunities.org/id/london-borough-council/camden
Montadito Original Spanish Delicacies,,,,,7841,Other catering premises,907804,FHRS,5,0,5,5,11/02/2014,False,79867,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
Pret A Manger,,100 Tottenham Court Road,London,W1T 4TT,1,Restaurant/Cafe/Canteen,424410,FHRS,0,0,0,5,18/03/2014,False,22626,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.136755,51.522641,15/04/2018,"(51.522641, -0.136755)",http://opendatacommunities.org/id/london-borough-council/camden
The Food Chain (UK) Ltd,Acorn House,314-320 Gray's Inn Road,London,WC1X 8DP,1,Restaurant/Cafe/Canteen,470824,FHRS,0,5,5,5,04/10/2017,False,72584,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,-0.118948,51.528355,15/04/2018,"(51.528355, -0.118948)",http://opendatacommunities.org/id/london-borough-council/camden
The Alliance,,40-42 Mill Lane,London,NW6 1NR,7843,Pub/bar/nightclub,424623,FHRS,15,15,20,1,28/02/2017,True,2855,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,-0.201297,51.551012,15/04/2018,"(51.551012, -0.201297)",http://opendatacommunities.org/id/london-borough-council/camden
The Beef Steaks,,,,,7841,Other catering premises,907806,FHRS,5,5,5,5,30/06/2016,False,80482,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
Indian Thai Foods,7 F G  The Stables Market,Chalk Farm Road,London,NW1 8AH,7844,Takeaway/sandwich shop,425154,FHRS,15,15,20,1,01/06/2016,True,49633,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.147372,51.541999,15/04/2018,"(51.541999, -0.147372)",http://opendatacommunities.org/id/london-borough-council/camden
Hell's Kitchen,,124 Kentish Town Road,London,NW1 9QB,7843,Pub/bar/nightclub,978055,FHRS,5,5,5,5,09/06/2017,False,184034,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000131,Cantelowes,-0.141548,51.546187,15/04/2018,"(51.546187, -0.141548)",http://opendatacommunities.org/id/london-borough-council/camden
Sanctuary Cafe,St James' Church,Sherriff Road,,NW6 2AP,1,Restaurant/Cafe/Canteen,947381,FHRS,5,5,10,4,09/02/2017,False,80489,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,-0.192415,51.54584,15/04/2018,"(51.54584, -0.192415)",http://opendatacommunities.org/id/london-borough-council/camden
Hampstead Hill School,Hampstead Hill Preparatory School,Pond Street,London,NW3 2PP,7845,School/college/university,424346,FHRS,0,5,0,5,22/03/2018,False,22190,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
The YMCA Cafe,,112 Great Russell Street,London,WC1B 3NP,1,Restaurant/Cafe/Canteen,1036604,FHRS,0,5,5,5,22/02/2018,False,194329,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.130482,51.517434,15/04/2018,"(51.517434, -0.130482)",http://opendatacommunities.org/id/london-borough-council/camden
Picks Organic Farm,Hampstead Parochial School,Holly Bush Vale,London,NW3 6TX,7844,Takeaway/sandwich shop,1003620,FHRS,5,10,5,4,16/09/2017,False,193336,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000133,Frognal and Fitzjohns,-0.179041,51.556451,15/04/2018,"(51.556451, -0.179041)",http://opendatacommunities.org/id/london-borough-council/camden
Colour Mint Lounge,92 The Stables Market,Chalk Farm Road,,NW1 8AH,7844,Takeaway/sandwich shop,653500,FHRS,10,15,10,2,18/03/2015,False,79516,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.147372,51.541999,15/04/2018,"(51.541999, -0.147372)",http://opendatacommunities.org/id/london-borough-council/camden
Rhyl Primary School,,Rhyl Street,London,NW5 3HB,7845,School/college/university,424368,FHRS,0,0,5,5,05/03/2018,False,22327,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000136,Haverstock,-0.151135,51.547706,15/04/2018,"(51.547706, -0.151135)",http://opendatacommunities.org/id/london-borough-council/camden
Camden Chinese Community Centr,,9 Tavistock Place,London,WC1H 9SN,7841,Other catering premises,424991,FHRS,5,5,10,4,04/10/2017,False,43415,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,-0.127422,51.525271,15/04/2018,"(51.525271, -0.127422)",http://opendatacommunities.org/id/london-borough-council/camden
Marks & Spencer Simply Food,"Unit 11, Euston Station",Eversholt Street,London,NW1 2DU,7840,Retailers - supermarkets/hypermarkets,425364,FHRS,0,0,0,5,09/01/2018,False,54783,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.133309,51.528674,15/04/2018,"(51.528674, -0.133309)",http://opendatacommunities.org/id/london-borough-council/camden
Shah Tandoori Restaurant,,159 Drummond Street,London,NW1 2PB,1,Restaurant/Cafe/Canteen,426274,FHRS,10,10,10,3,04/01/2017,False,7040,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.13785,51.526543,15/04/2018,"(51.526543, -0.13785)",http://opendatacommunities.org/id/london-borough-council/camden
Pret A Manger,"Unit 17b, St Pancras Internati",Pancras Road,London,NW1 2QL,1,Restaurant/Cafe/Canteen,425600,FHRS,0,5,0,5,18/07/2012,False,58073,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.146633,51.533368,15/04/2018,"(51.533368, -0.146633)",http://opendatacommunities.org/id/london-borough-council/camden
Mini H Mart,,115 Tottenham Court Road,,W1T 5AH,7840,Retailers - supermarkets/hypermarkets,830822,FHRS,10,5,10,3,13/11/2015,False,84343,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.137232,51.523323,15/04/2018,"(51.523323, -0.137232)",http://opendatacommunities.org/id/london-borough-council/camden
Sainsburys Supermarket,Jameson House,146-148 Clerkenwell Road,London,EC1R 5DG,7840,Retailers - supermarkets/hypermarkets,426249,FHRS,0,5,0,5,06/11/2015,False,69972,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.109989,51.522249,15/04/2018,"(51.522249, -0.109989)",http://opendatacommunities.org/id/london-borough-council/camden
The Late Late Shop,,60 Belsize Lane,London,NW3 5AR,4613,Retailers - other,424724,FHRS,10,10,5,3,12/12/2017,False,3174,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000133,Frognal and Fitzjohns,-0.171647,51.549457,15/04/2018,"(51.549457, -0.171647)",http://opendatacommunities.org/id/london-borough-council/camden
Costa Coffee,,55 Marchmont Street,London,WC1N 1AP,7844,Takeaway/sandwich shop,425811,FHRS,0,0,0,5,27/10/2009,False,61116,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.125442,51.525051,15/04/2018,"(51.525051, -0.125442)",http://opendatacommunities.org/id/london-borough-council/camden
Cafe 54 Mezzanine & Hospitality Services,,54 Lincoln's Inn Fields,London,WC2A 3LJ,1,Restaurant/Cafe/Canteen,425673,FHRS,0,0,0,5,28/07/2017,False,59299,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.118481,51.515551,15/04/2018,"(51.515551, -0.118481)",http://opendatacommunities.org/id/london-borough-council/camden
The Guilford House Hotel,,6 Guilford Street,London,WC1N 1DR,7842,Hotel/bed & breakfast/guest house,424691,FHRS,5,5,10,4,18/01/2017,False,30886,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.116383,51.524132,15/04/2018,"(51.524132, -0.116383)",http://opendatacommunities.org/id/london-borough-council/camden
Costa,,163 Fortess Road,,NW5 2HR,1,Restaurant/Cafe/Canteen,667834,FHRS,10,5,5,4,22/05/2014,False,75796,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,-0.138756,51.556757,15/04/2018,"(51.556757, -0.138756)",http://opendatacommunities.org/id/london-borough-council/camden
Upper Crust  Barrier Line,"Unit 23, Euston Station",Eversholt Street,London,NW1 2DU,7844,Takeaway/sandwich shop,424182,FHRS,5,5,0,5,19/12/2017,False,20827,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.133309,51.528674,15/04/2018,"(51.528674, -0.133309)",http://opendatacommunities.org/id/london-borough-council/camden
Revital Health Shop,,197 Haverstock Hill,London,NW3 4QG,4613,Retailers - other,425564,FHRS,,,,Exempt,02/08/2017,False,57708,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000128,Belsize,-0.165628,51.550631,15/04/2018,"(51.550631, -0.165628)",http://opendatacommunities.org/id/london-borough-council/camden
William Hill (Southern) Ltd,,147-149 Malden Road,London,NW5 4HT,4613,Retailers - other,423973,FHRS,,,,Exempt,19/12/2017,False,1700,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000136,Haverstock,-0.15559,51.5506,15/04/2018,"(51.5506, -0.15559)",http://opendatacommunities.org/id/london-borough-council/camden
The Coffee Cup,,74 Hampstead High Street,London,NW3 1QX,1,Restaurant/Cafe/Canteen,424518,FHRS,0,5,5,5,20/06/2017,False,2529,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,-0.177381,51.555742,15/04/2018,"(51.555742, -0.177381)",http://opendatacommunities.org/id/london-borough-council/camden
Royal College of General Practitioners,,Euston Square,London,,1,Restaurant/Cafe/Canteen,1016189,FHRS,10,0,10,4,24/10/2017,False,72603,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.1317,51.52772,15/04/2018,"(51.52772, -0.1317)",http://opendatacommunities.org/id/london-borough-council/camden
Asadal,,227 High Holborn,London,WC1V 7EG,1,Restaurant/Cafe/Canteen,424919,FHRS,15,15,10,2,31/10/2017,False,40415,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.11977,51.517496,15/04/2018,"(51.517496, -0.11977)",http://opendatacommunities.org/id/london-borough-council/camden
Pizza East Kentish Town,"Shop And Premises At Suite 501, Highgate Studios",53-79 Highgate Road,,NW5 1TL,1,Restaurant/Cafe/Canteen,667848,FHRS,10,15,10,2,28/09/2017,False,80004,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,-0.144846,51.553407,15/04/2018,"(51.553407, -0.144846)",http://opendatacommunities.org/id/london-borough-council/camden
Tropicana Beach Club,"Tropicana Beach Club, New London Theatre",Parker Street,London,WC2B 5PW,1,Restaurant/Cafe/Canteen,983638,FHRS,5,5,5,5,23/06/2017,False,184053,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
Benugo,"Unit 32, St Pancras Station",Pancras Road,London,NW1 2QL,1,Restaurant/Cafe/Canteen,425531,FHRS,0,0,0,5,07/09/2017,False,57216,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000143,St Pancras and Somers Town,-0.12469,51.530671,15/04/2018,"(51.530671, -0.12469)",http://opendatacommunities.org/id/london-borough-council/camden
Marrakech,38 The Stables Market,Chalk Farm Road,London,NW1 8AH,7846,Mobile caterer,425420,FHRS,10,15,10,2,16/03/2015,False,55769,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.147372,51.541999,15/04/2018,"(51.541999, -0.147372)",http://opendatacommunities.org/id/london-borough-council/camden
El Parrillion Mexican,,79a Tottenham Court Road,London,W1T 4TB,7846,Mobile caterer,947363,FHRS,10,5,10,3,27/01/2017,False,183271,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.135008,51.520949,15/04/2018,"(51.520949, -0.135008)",http://opendatacommunities.org/id/london-borough-council/camden
Mag One,,68 Rosslyn Hill,London,NW3 1ND,4613,Retailers - other,978058,FHRS,0,10,5,4,13/06/2017,False,3226,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,-0.1739,51.555268,15/04/2018,"(51.555268, -0.1739)",http://opendatacommunities.org/id/london-borough-council/camden
Abokado,,160 Drury Lane,London,WC2B 5PN,1,Restaurant/Cafe/Canteen,425031,FHRS,0,5,0,5,12/04/2017,False,45315,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.122305,51.515082,15/04/2018,"(51.515082, -0.122305)",http://opendatacommunities.org/id/london-borough-council/camden
Marathon News,,128 Camden Road,London,NW1 9EE,4613,Retailers - other,939490,FHRS,5,10,10,3,22/12/2016,False,182996,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000131,Cantelowes,-0.137803,51.54218,15/04/2018,"(51.54218, -0.137803)",http://opendatacommunities.org/id/london-borough-council/camden
Lure Fish Kitchen,,56 Chetwynd Road,,NW5 1DJ,1,Restaurant/Cafe/Canteen,830820,FHRS,5,10,10,3,18/11/2015,False,82195,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000137,Highgate,-0.143385,51.558086,15/04/2018,"(51.558086, -0.143385)",http://opendatacommunities.org/id/london-borough-council/camden
113 Restaurant & Bar,,111-113 Hampstead Road,London,NW1 3EE,1,Restaurant/Cafe/Canteen,424907,FHRS,10,5,10,3,15/03/2017,False,39608,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.139002,51.528,15/04/2018,"(51.528, -0.139002)",http://opendatacommunities.org/id/london-borough-council/camden
Kings Cross Kiosk,Forecourt -Kings Cross Station,Euston Road,London,N1 9AP,4613,Retailers - other,632476,FHRS,5,5,10,4,21/01/2014,False,68671,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
Sushi Rolls,,8-10 Warner Street,London,EC1R 5HA,7844,Takeaway/sandwich shop,993190,FHRS,5,10,5,4,03/08/2017,False,192890,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.11183,51.523376,15/04/2018,"(51.523376, -0.11183)",http://opendatacommunities.org/id/london-borough-council/camden
Active learning JW3,,341-351 Finchley Road,,NW3 6ET,5,Hospitals/Childcare/Caring Premises,688196,FHRS,0,5,0,5,01/12/2016,False,78164,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,-0.184856,51.550948,15/04/2018,"(51.550948, -0.184856)",http://opendatacommunities.org/id/london-borough-council/camden
Martins Butchers,,177 Camden High Street,London,NW1 7JY,4613,Retailers - other,425580,FHRS,10,15,10,2,21/04/2015,False,5783,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.142577,51.53829,15/04/2018,"(51.53829, -0.142577)",http://opendatacommunities.org/id/london-borough-council/camden
Dixy Chicken,,171 Fortess Road,London,NW5 2HR,7844,Takeaway/sandwich shop,424206,FHRS,10,10,10,3,19/12/2017,False,21047,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,-0.139193,51.556186,15/04/2018,"(51.556186, -0.139193)",http://opendatacommunities.org/id/london-borough-council/camden
Tesco Express,,59 Fortune Green Road,London,NW6 1DR,7840,Retailers - supermarkets/hypermarkets,425966,FHRS,,,,5,02/06/2016,False,62415,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,-0.196632,51.556282,15/04/2018,"(51.556282, -0.196632)",http://opendatacommunities.org/id/london-borough-council/camden
Costa Coffee,,3 Millbrook Place,London,NW1 2JA,1,Restaurant/Cafe/Canteen,425493,FHRS,0,5,5,5,28/06/2017,False,56672,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.138756,51.534372,15/04/2018,"(51.534372, -0.138756)",http://opendatacommunities.org/id/london-borough-council/camden
School Of Oriental & African S,,10 Thornhaugh Street,London,WC1H 0XG,7845,School/college/university,424407,FHRS,5,10,5,4,31/08/2017,False,22598,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.129271,51.52236,15/04/2018,"(51.52236, -0.129271)",http://opendatacommunities.org/id/london-borough-council/camden
Drury,,188-189 Drury Lane,London,WC2B 5QD,1,Restaurant/Cafe/Canteen,964216,FHRS,5,5,5,5,18/04/2017,False,183756,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.123775,51.51613,15/04/2018,"(51.51613, -0.123775)",http://opendatacommunities.org/id/london-borough-council/camden
Arosfa Hotel,,83 Gower Street,London,WC1E 6HJ,7842,Hotel/bed & breakfast/guest house,426476,FHRS,10,10,10,3,10/05/2016,False,8536,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.132151,51.521723,15/04/2018,"(51.521723, -0.132151)",http://opendatacommunities.org/id/london-borough-council/camden
Benugo,Highgate Studios,53-79 Highgate Road,London,NW5 1TL,1,Restaurant/Cafe/Canteen,1006861,FHRS,0,0,0,5,28/09/2017,False,183399,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,-0.144766,51.553954,15/04/2018,"(51.553954, -0.144766)",http://opendatacommunities.org/id/london-borough-council/camden
Cut And Grind Burgers,,25 Canal Reach,London,N1C 4DD,1,Restaurant/Cafe/Canteen,1019594,FHRS,5,0,5,5,29/11/2017,False,193777,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000143,St Pancras and Somers Town,-0.127789,51.53786,15/04/2018,"(51.53786, -0.127789)",http://opendatacommunities.org/id/london-borough-council/camden
Wasabi,,127 Tottenham Court Road,London,W1T 5AU,1,Restaurant/Cafe/Canteen,425601,FHRS,10,0,5,4,08/09/2015,False,58087,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.137807,51.524079,15/04/2018,"(51.524079, -0.137807)",http://opendatacommunities.org/id/london-borough-council/camden
Itsu Regent's Place,"Restaurant And Premises, Regent's Place",15-20 Hampstead Road,,NW1 3JA,1,Restaurant/Cafe/Canteen,653511,FHRS,0,0,0,5,22/01/2017,False,79890,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
P G Enterprise,,,,,4613,Retailers - other,424746,FHRS,,,,Exempt,20/01/2010,False,32698,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
The Gift Centre,,140 Southampton Row,London,WC1B 5AG,4613,Retailers - other,423730,FHRS,,,,Exempt,30/06/2017,False,11191,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.123248,51.521248,15/04/2018,"(51.521248, -0.123248)",http://opendatacommunities.org/id/london-borough-council/camden
The Bangalore Brasserie,,1 Brecknock Road,London,N7 0BL,1,Restaurant/Cafe/Canteen,424607,FHRS,10,10,10,3,28/09/2016,False,2803,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,-0.130046,51.549197,15/04/2018,"(51.549197, -0.130046)",http://opendatacommunities.org/id/london-borough-council/camden
Camden Arts Centre Cafe,Camden Arts Centre,Arkwright Road,London,NW3 6DG,1,Restaurant/Cafe/Canteen,424774,FHRS,5,5,10,4,13/11/2017,False,33421,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000133,Frognal and Fitzjohns,-0.183503,51.55126,15/04/2018,"(51.55126, -0.183503)",http://opendatacommunities.org/id/london-borough-council/camden
Arbina (Taste of Spain) Restaurant,,110 Whitfield Street,London,W1T 5ED,1,Restaurant/Cafe/Canteen,1003606,FHRS,,,,5,26/09/2017,False,183550,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.137972,51.523218,15/04/2018,"(51.523218, -0.137972)",http://opendatacommunities.org/id/london-borough-council/camden
Seven Dials Hotel,,7 Monmouth Street,London,WC2H 9DA,7842,Hotel/bed & breakfast/guest house,485298,FHRS,10,10,10,3,26/11/2012,False,13346,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.126723,51.514901,15/04/2018,"(51.514901, -0.126723)",http://opendatacommunities.org/id/london-borough-council/camden
Made in Hungaria,1-3 The Stables Market,Chalk Farm Road,,NW1 8AH,7844,Takeaway/sandwich shop,773853,FHRS,15,15,10,2,22/08/2017,False,84014,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.147372,51.541999,15/04/2018,"(51.541999, -0.147372)",http://opendatacommunities.org/id/london-borough-council/camden
Cote Brasserie,,32 Parkway,London,NW1 7AH,1,Restaurant/Cafe/Canteen,426376,FHRS,0,5,0,5,14/12/2016,False,72593,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.144699,51.538225,15/04/2018,"(51.538225, -0.144699)",http://opendatacommunities.org/id/london-borough-council/camden
Magic Churros,Brunswick Market,Brunswick Centre,London,,7844,Takeaway/sandwich shop,1016165,FHRS,10,5,5,4,04/11/2017,False,183594,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,-0.166389,51.590279,15/04/2018,"(51.590279, -0.166389)",http://opendatacommunities.org/id/london-borough-council/camden
Cino's Sandwich Bar /Cino's Cafe,,66 Leather Lane,London,EC1N 7TR,1,Restaurant/Cafe/Canteen,939493,FHRS,10,10,10,3,28/11/2016,False,182999,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.109598,51.521226,15/04/2018,"(51.521226, -0.109598)",http://opendatacommunities.org/id/london-borough-council/camden
