Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA Sub Group Label (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,66.99,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,67.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,89.82,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,119.09,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,159.89,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,71.12,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,209.52,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,267.87,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,289.65,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,297.16,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,168.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,178.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,181.25,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,198.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,221.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,115.34,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,185.59,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,196.58,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,215.66,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,234.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,208.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,217.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,219.02,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,220.6,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,229.71,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,154.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,199.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,204.3,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,213.21,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,243.54,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,124.62,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,127.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,131.52,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,172.65,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,173.61,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,19.51,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,35.54,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,40.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,50.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,54.54,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,56.99,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,64.05,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,69.07,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,89.39,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,92.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,114.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,175.68,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,51.71,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,54.42,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,66.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,87.16,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,121.46,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,124.66,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,135.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,184.36,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,222.36,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,81.96,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,165.28,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,169.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,174.05,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,179.61,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,212.57,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,226.42,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,227.56,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,230.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,268.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,140.98,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,174.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,199.34,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,207.12,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,226.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,131.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,143.55,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,195.36,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,196.29,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,129.44,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,146.49,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,188.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,203.22,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,238.99,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,54.05,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,105.41,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,107.25,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,121.73,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,155.1,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,102.15,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,16.76,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,24.49,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,26.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,29.17,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,30.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,42.45,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,53.52,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,56.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,60.12,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,76.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,78.1,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,78.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,89.69,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,98.42,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,104.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,106.82,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,118.64,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,122.39,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,128.29,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,23.58,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,32.12,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,73.14,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,83.65,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,46.09,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,69.05,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,84.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,96.47,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,146.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,93.29,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,103.37,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,107.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,123.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,89.59,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,111.72,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,129.76,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,131.37,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,132.07,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,50.05,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,90.57,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,109.01,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,113.45,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,118.78,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,127.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,30.07,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,61.19,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,47.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,48.49,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,40.44,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,47.12,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,47.62,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,48.95,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,74.85,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,60.72,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,63.08,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,65.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,65.49,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,35.22,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,39.45,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,40.54,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,66.41,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,21.15,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,21.28,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,34.01,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,38.87,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,43.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,27.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,29.3,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,39.59,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,49.83,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,64.99,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,65.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,65.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,65.58,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,66.85,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,44.43,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,44.62,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,46.86,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,46.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,90.14,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 28/06/2016,AAS0272738,34.1,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 14/06/2016,AAS0272248,40.36,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,43.59,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 07/06/2016,AAS0272247,46.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 01/06/2016,AAS0272235,89.69,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 21/06/2016,AAS0272488,43.29,N,N/A,N,N/A
