ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,year,type,area,Surname,Forename,Description,Votes,Elected,Electorate
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Moortown,Hinchliffe,Benjamin Andrew,Green Party,979,,17563
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Moortown,Laidlaw,Ian,UK Independence Party (UKIP),989,,17563
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley North,Andrews,Peter Richard,Liberal Democrats,263,,17743
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley North,Cussons,Karen,Trade Unionist and Socialist Coalition,78,,17743
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley North,Fenney,Deborah,Green Party,354,,17743
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley North,Gettings,Bob,Morley Borough Independents,4271,Elected,17743
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley North,Sewards,Mark James,Labour Party,2505,,17743
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley North,Stead,Samuel,UK Independence Party (UKIP),1487,,17743
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley North,Tempest,Sophie Ann,The Conservative Party Candidate,2496,,17743
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley South,Cussons,Neil,Trade Unionist and Socialist Coalition,107,,16706
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley South,Dawson,Neil,Labour and Co-operative Party,3071,Elected,16706
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley South,Dove,Lindon,UK Independence Party (UKIP),1708,,16706
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley South,Hawker,Claire,Green Party,370,,16706
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley South,Kidger,Wyn,Morley Borough Independents,2523,,16706
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley South,MacArthur,John Durno,Liberal Democrats,203,,16706
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Morley South,Tempest,Kathleen Ann,The Conservative Party Candidate,2096,,16706
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Otley and Yeadon,Bale,John,The Conservative Party Candidate,2200,,17598
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Otley and Yeadon,Bradley,Mick,Green Party,1098,,17598
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Otley and Yeadon,Campbell,Colin Andrew,Liberal Democrats,4347,Elected,17598
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Otley and Yeadon,Eveleigh,John,Labour Party,3193,,17598
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Otley and Yeadon,Hollings,Tom,UK Independence Party (UKIP),1396,,17598
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Pudsey,Allen,Claire Elizabeth,Green Party,629,,17431
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Pudsey,Arbuckle,Jude Patrick,Liberal Democrats,354,,17431
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Pudsey,Johnson,Michael James,Trade Unionist and Socialist Coalition,72,,17431
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Pudsey,Lewis,Richard Alwyn,Labour Party,4935,Elected,17431
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Pudsey,Seary,Simon Anthony,The Conservative Party Candidate,4266,,17431
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Pudsey,Tattersall,Roger,UK Independence Party (UKIP),1613,,17431
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Rothwell,Bruce,Karen,Labour Party,4206,Elected,15889
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Rothwell,Ellis,Steve,The Conservative Party Candidate,2715,,15889
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Rothwell,Spivey,Paul,UK Independence Party (UKIP),1447,,15889
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Rothwell,Terry,Stephen Paul,Green Party,408,,15889
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Rothwell,Ward,Ben,Liberal Democrats,2133,,15889
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Roundhay,Christie,Malcolm Scott,Alliance for Green Socialism - Save NHS,277,,17418
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Roundhay,Ellis,Paul Charles,Green Party,1021,,17418
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Roundhay,Hendon,Warren,UK Independence Party (UKIP),773,,17418
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Roundhay,Iqbal,Najeeb,Liberal Democrats,702,,17418
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Roundhay,MacNiven,Christine,Labour Party,6178,Elected,17418
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Roundhay,Paraskos,Andy,The Conservative Party Candidate,3506,,17418
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Temple Newsam,Allen,Nathan,Green Party,401,,16455
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Temple Newsam,Hayden,Helen,Labour Party,4493,Elected,16455
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Temple Newsam,Hayes,Elizabeth Mary,The Conservative Party Candidate,3059,,16455
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Temple Newsam,Naylor,Bruce,UK Independence Party (UKIP),2097,,16455
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Temple Newsam,Norman,Keith Cecil,Liberal Democrats,420,,16455
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Weetwood,Bentley,Sue,Liberal Democrats,3790,Elected,15771
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Weetwood,Cullen,Mike,UK Independence Party (UKIP),812,,15771
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Weetwood,Cussons,Max,Trade Unionist and Socialist Coalition,56,,15771
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Weetwood,Flynn,Dorothy,The Conservative Party Candidate,1802,,15771
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Weetwood,Garthwaite,Alison Elisabeth,Labour Party,2901,,15771
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Weetwood,Hemingway,Martin Francis,Green Party,1400,,15771
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Wetherby,Cole,Bronwen Elizabeth,UK Independence Party (UKIP),1085,,15756
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Wetherby,Howell,Sara Karen,Liberal Democrats,709,,15756
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Wetherby,Lamb,Alan,The Conservative Party Candidate,6924,Elected,15756
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Wetherby,Lynch,John,Labour Party,2517,,17576
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Wetherby,Murray,Sam,Green Party,631,,17576
