Account Name,Business Address 1,Business Address 2,Business Address 3,Business Address 4,Business Address 5,Business Post Code,Property Description,Rates Payable 17/18,Transitional Amount,Liable From,2017 Rateable Value,Account Type,Small Business Relief,Mandatory Relief,Discretionary Relief,Top Up Discretionary Relief,Exempt Property,VO reference
ASH MOULDINGS UK LIMITED,Unit 8 Crigglestone Ind Estate,High St,Crigglestone,Wakefield,,WF4 3HT,Workshop & Premises,"£4,349.33",,23/05/2014,14000,Occupied,Yes,,,,,3702700081
ASHLEA LIMITED,Cedars Business Centre,(Room 22),Barnsley Road,Hemsworth,Pontefract,WF9 4PU,Offices & Premises,"£1,327.41",-£164.14,01/07/2013,3300,Occupied,,,,,,1500312222
ASHLEIGH SIGNS LIMITED,Ripley Drive,Normanton Industrial Estate,Normanton,West Yorkshire,,WF6  1QT,Factory & Premises,"£103,099.09","£2,509.09",01/06/2015,210000,Occupied,,,,,,2709839160
ASHSTEAD PLANT HIRE COMPANY LIMITED,Olway Works,Healey Road,Ossett,West Yorkshire,,WF5  8LT,Workshop & Premises,"£60,735.23",,01/04/2007,127000,Occupied,,,,,,3307159003
ASHTEAD PLANT HIRE COMPANY LIMITED,Unit 5A South Park Way,Wakefield 41,Wrenthorpe,Wakefield,West Yorkshire,WF2  0XJ,Offices & Premises,"£18,438.95","£7,021.95",05/10/2016,24500,Occupied,,,,,,3113075971
ASHTENNE INDUSTRIAL FUND LTD PARTNERSHIP,Unit 12 The Shipyard,Fernley Green Road,Knottingley,West Yorkshire,,WF11 8DH,Warehouse & Premises,£0.00,-£36.64,01/07/2016,1775,Unoccupied,,,,,Yes,2003832235
ASHTENNE INDUSTRIAL FUND LTD PARTNERSHIP,Unit 16 The Shipyard,Fernley Green Road,Knottingley,West Yorkshire,,WF11 8DH,Store & Premises,£912.11,-£518.87,01/07/2017,3950,Unoccupied,,,,,,2003830160
ASHTENNE INDUSTRIAL FUND LTD PARTNERSHIP,Unit 17 The Shipyard,Fernley Green Road,Knottingley,West Yorkshire,,WF11 8DH,Workshop & Premises,£917.14,-£518.87,01/07/2017,3950,Unoccupied,,,,,,2003830170
ASHTENNE INDUSTRIAL FUND LTD PARTNERSHIP,Units 20 & 20B,The Shipyard,Fearnley Green Road,Knottingley,West Yorkshire,WF11 8DH,Gymnasium,£724.05,-£313.36,17/11/2017,5400,Unoccupied,,,,,,2003830201
ASHTENNE INDUSTRIAL FUND LTD PARTNERSHIP,Units 11 & 18,The Shipyard,Fearnley Green Road,Knottingley,West Yorkshire,WF11 8DH,Workshop & Premises,£715.66,-£669.11,15/08/2017,9000,Unoccupied,,,,,,2003832234
ASHTREE ROOFING LIMITED,Charlotte Street Garage,Charlotte Street,Wakefield,West Yorkshire,,WF1  1UH,Store & Premises,£0.00,-£851.34,01/11/2007,7500,Occupied,Yes,,,,,2406459130
ASHWAY ENERGY SOLUTIONS LIMITED,30 Queen Street,Horbury,Wakefield,West Yorkshire,,WF4  6LP,Offices & Premises,£0.00,-£85.59,14/04/2016,4800,Occupied,Yes,,,,,2906603657
ASHWORTH BIRD JERSEY LIMITED,13-17 Cross Square,Wakefield,West Yorkshire,,,WF1  1PQ,Shop & Premises,"£13,662.59",£614.59,24/09/2014,28000,Occupied,,,,,,2408757013
ASK RESTAURANTS LIMITED,Unit 10 Xscape Centre,Colorado Way,Glasshoughton,Castleford,West Yorkshire,WF10 4TA,Restaurant & Premises,"£29,022.20","-£6,902.80",09/10/2003,75000,Occupied,,,,,,2620161010
ASKERN UK LIMITED,Unit 28A Langthwaite,Grange Industrial Estate,South Kirkby,Pontefract,,WF9  3NR,Workshop & Premises,£0.00,-£719.15,31/10/2017,37000,Unoccupied,,,,,,1004342811
ASKERN UK LIMITED,Unit 28 Langthwaite,Grange Industrial Estate,South Kirkby,Pontefract,West Yorkshire,WF9  3NR,Workshop & Premises,"£48,857.99",£0.00,04/09/2017,102000,Occupied,,,,,,1004340280
ASPIN GROUP LIMITED,Unit 3 Ripley Drive,Normanton,West Yorkshire,,,WF6  1QT,Warehouse & Premises,"£7,534.65",,19/09/2016,16500,Occupied,,,,,,2709837148
ASPIRE (YORKSHIRE) LLP,Unit 4B Church Street,Wakefield,West Yorkshire,,,WF1  5QY,Offices & Warehouse,£0.00,-£427.23,01/04/2016,5700,Occupied,Yes,,,,,2406874499
ASPIRE DECORATIONS LIMITED,Office 14 Charles Roberts,Office Park,Charles Roberts Street,Horbury,Wakefield,WF4  5FH,Offices & Premises,£0.00,-£376.85,01/04/2015,2950,Occupied,Yes,,,,,2901279114
ASPIRE2B COMMUNITY INTEREST COMPANY,257 Kirkgate,(Unit 5),Wakefield,West Yorkshire,,WF1  5PL,Offices & Premises,£0.00,-£393.95,05/08/2013,14750,Occupied,,,Yes,,,2418507005
ASPRAY TRANSPORT LIMITED,Unit 1A Onward Park,Phoenix Avenue,Featherstone,Pontefract,West Yorkshire,WF7  6EP,Warehouse & Premises,"£60,201.45","£5,116.45",23/04/2015,115000,Occupied,,,,,,2203009875
ASQUITH BROTHERS LIMITED,Unit 2B/1 Poppletons Mill,Engine Lane,Horbury,Wakefield,West Yorkshire,WF4 5NH,Workshop & Premises,£0.00,"-£2,322.65",01/04/2006,9100,Occupied,Yes,,,,,2907009121
ASSENT BUILDING CONTROL LIMITED,4 Navigation Court,Calder Park,Wakefield,West Yorkshire,,WF2  7BJ,Offices & Premises,"£13,551.52","£4,115.02",01/10/2007,20250,Occupied,,,,,,3701639004
ASSURED SALE AND PROGRESSION LIMITED,The Barracks,(Garrison Suite),Wakefield Road,Pontefract,West Yorkshire,WF8  4EY,Offices & Premises,£0.00,£0.00,01/10/2017,11250,Occupied,Yes,,,,,2119859990
ASSYST BULLMER LIMITED,6B South Park Way,Wakefield 41,Wrenthorpe,Wakefield,West Yorkshire,WF2  0XJ,Offices & Premises,"£12,539.47","£3,335.97",01/03/2015,19750,Occupied,,,,,,3113070062
AST FABRICATION LIMITED,Unit 16,Greens Industrial Estate,Calder Vale Road,Wakefield,West Yorkshire,WF1  5PF,Warehouse & Premises,"£9,203.50",,24/03/2016,19750,Occupied,,,,,,2405066359
ASTORBUSH LIMITED,Land Used As Car Park,Southgate,Pontefract,West Yorkshire,,WF8  7LN,Car Park & Premises,£0.00,,01/04/2005,6400,Occupied,Yes,,,,,2117450202
ASTORBUSH LIMITED,45 Ropergate,(Room 11),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,£0.00,£0.00,08/05/2017,930,Unoccupied,,,,,Yes,214504511
ASTORBUSH LIMITED,45 Ropergate,(Room 2),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,-£0.01,£0.00,08/05/2017,1225,Unoccupied,,,,,Yes,214504502
ASTORBUSH LIMITED,45 Ropergate,(Room 5),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,-£0.01,£0.00,08/05/2017,1275,Unoccupied,,,,,Yes,214504505
ASTORBUSH LIMITED,45 Ropergate,(Room 9),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,-£0.01,£0.00,08/05/2017,1275,Unoccupied,,,,,Yes,214504509
ASTORBUSH LIMITED,45 Ropergate,(Room 10),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,£0.00,£0.00,08/05/2017,1325,Unoccupied,,,,,Yes,214504510
ASTORBUSH LIMITED,45 Ropergate,(Room 6),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,£0.00,£0.00,08/05/2017,1525,Unoccupied,,,,,Yes,214504506
ASTORBUSH LIMITED,45 Ropergate,(Room 8),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,£0.00,£0.00,08/05/2017,1625,Unoccupied,,,,,Yes,214504508
ASTORBUSH LIMITED,45 Ropergate,(Room 7),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,£0.01,£0.00,08/05/2017,1650,Unoccupied,,,,,Yes,214504507
ASTORBUSH LIMITED,45 Ropergate,(Room 3),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,-£0.01,£0.00,08/05/2017,1700,Unoccupied,,,,,Yes,2145404503
ASTORBUSH LIMITED,45 Ropergate,(Room 13),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,-£0.01,£0.00,08/05/2017,1700,Unoccupied,,,,,Yes,214504513
ASTORBUSH LIMITED,45 Ropergate,(Room 4),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,£0.00,£0.00,08/05/2017,2125,Unoccupied,,,,,Yes,214504504
ASTORBUSH LIMITED,45 Ropergate,(Reception),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,£0.00,£0.00,08/05/2017,2800,Unoccupied,,,,,Yes,214504516
ASTORBUSH LIMITED,45 Ropergate,(Room 12),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,-£0.01,£0.00,08/05/2017,1000,Unoccupied,,,,,Yes,214504512
ASTORBUSH LIMITED,45 Ropergate,(Room 14),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,-£0.01,£0.00,08/05/2017,960,Unoccupied,,,,,Yes,2145404515
ASTORBUSH LIMITED,45 Ropergate,(Room 1),Pontefract,West Yorkshire,,WF8  1JY,Offices & Premises,£0.00,£0.00,08/05/2017,1475,Unoccupied,,,,,Yes,2145404501
ASTORBUSH LIMITED,Churchill House,(Rooms 35 & 35A),Mill Hill Road,Pontefract,West Yorkshire,WF8  4HY,Offices & Premises,£0.02,-£174.74,01/09/2017,2850,Unoccupied,,,,,,212563535
ASTRA BLINDS LIMITED,18A Albion Street,Castleford,West Yorkshire,,,WF10 1EW,Shop & Premises,£0.00,"£1,084.70",01/12/2011,5300,Occupied,Yes,,,,,2600400128
ASTRAL COMMUNICATIONS ELECTRONICS LTD,15 Wellington Street,Alverthorpe,Wakefield,West Yorkshire,,WF2  9AA,Offices & Premises,"£7,392.64",-£43.13,01/04/1999,16500,Occupied,,,,,,2435450150
ATKINSONS FENCING LIMITED,Green Lane,Cutsyke,Castleford,West Yorkshire,,WF10 2RY,Factory & Premises,"£57,032.85",,06/11/2013,124000,Occupied,,,,,,2606641122
ATOS IT SERVICES UK LIMITED,Unit 2 Mulberry House,8 Burgage Square,Wakefield,West Yorkshire,,WF1  2TS,Offices & Premises,"£17,550.32","£7,647.82",01/04/2015,21250,Occupied,,,,,,2400610208
ATPAC LIMITED,Old Headland Works,Spawd Bone Lane,Knottingley,West Yorkshire,,WF11 0HY,Workshop & Premises,"£14,602.71",-£781.43,23/09/2015,34750,Occupied,,,,,,2009509100
ATPAC LIMITED,Jackson's Old Glass Works,Simpsons Lane,Knottingley,West Yorkshire,,WF11 0HE,Workshop & Premises,"£4,009.78","-£1,445.09",16/02/2016,12000,Occupied,,,,,,2009507620
ATS EUROMASTER LTD,Unit C1 Willowbridge Way,Castleford,West Yorkshire,,,WF10 5NP,Workshop & Premises,"£19,805.00",,09/01/2003,42500,Occupied,,,,,,2619577301
ATTENDS LIMITED,Unit 22 Monckton Road,Wakefield,West Yorkshire,,,WF2  7AL,Workshop & Premises,"£11,218.88",£34.88,03/08/2012,24000,Occupied,,,,,,2422378220
ATTENDS LIMITED,Unit 10 Mariner Court,Calder Park,Wakefield,West Yorkshire,,WF4  3FL,Offices & Premises,"£14,440.14","£4,537.64",24/02/2015,21250,Occupied,,,,,,3701631010
AUCKLAND (OPTICIANS) LIMITED,9 High Street,Horbury,Wakefield,West Yorkshire,,WF4  5AB,Shop & Premises,"£3,557.52",-£513.62,01/04/2014,9000,Occupied,,,,,,2903900090
AUCKLAND (OPTICIANS) LIMITED,27 Towngate,Ossett,West Yorkshire,,,WF5  9BL,Shop & Premises,"£3,634.80",£0.00,31/08/2017,7800,Occupied,,,,,,3316200270
AUDIO VISUAL EQUIPMENT LIMITED,76A Station Lane,Featherstone,Pontefract,West Yorkshire,,WF7  5BB,Warehouse & Premises,£0.00,-£747.67,01/11/2014,7500,Occupied,Yes,,,,,2207457667
AUTHENTIC ALEHOUSES TRADING LTD,The Ponty Tavern,(Formerly Blackmoor Head),Cornmarket,Pontefract,West Yorkshire,WF8  1BJ,Public House & Premises,£223.00,£0.00,18/09/2017,50000,Occupied,,,,,,2104959040
AUTHENTIC ALEHOUSES TRADING LTD,The Wakey Tavern,6 Lower Warrengate,Wakefield,West Yorkshire,,WF1  1SA,Public House & Premises,"£3,387.59","-£6,330.41",16/10/2017,23000,Occupied,,,,,,2419800060
AUTO ELECTRICAL SUPPLIES LIMITED,128/130 Thornes Lane,Wakefield,West Yorkshire,,,WF2  7RE,Warehouse & Premises,"£18,174.00",,17/12/2011,39000,Occupied,,,,,,2432751128
AUTOBAR VENDING SERVICES LIMITED,Unit 2B Ardane Park,Phoenix Avenue,Featherstone,Pontefract,West Yorkshire,WF7  6EP,Warehouse & Premises,"£22,886.23",,01/04/2012,50500,Occupied,,,,,,2203009025
AUTOGEAR (OSSETT) LIMITED,21 Towngate,Ossett,West Yorkshire,,,WF5  9BL,Shop & Premises,£0.00,,01/04/2007,7500,Occupied,Yes,,,,,3316200210
AUTO-GRAPH SPECIALIST CARS LIMITED,Unit 1 Park Street,Wakefield,West Yorkshire,,,WF1  4EJ,Warehouse & Premises,£0.00,-£175.36,01/04/2008,11500,Occupied,Yes,,,,,2424370010
AUTOMATIC PROCESS LIMITED,59 Featherstone Lane,Featherstone,Pontefract,West Yorkshire,,WF7  6LS,Nursery,"£11,533.50",,22/12/2003,24750,Occupied,,,,,,2202400590
AUTOMOTIVE EQUIPMENT SOLUTIONS UK LIMITED,Unit 4 All Saints Industrial E,Baghill Lane,Pontefract,West Yorkshire,,WF8  2HA,Store & Premises,£0.00,-£541.64,20/08/2008,5000,Occupied,Yes,,,,,2101150040
AUTONO-MED LIMITED,Unit 16,Green Lane Network Centre,Boothroyds Way,Featherstone,Pontefract,WF7  6EN,Business Unit & Premises,£0.00,,24/06/2013,6600,Occupied,Yes,,,,,2207455016
AUTOSAVE LTD,Wakefield Road,Pontefract,West Yorkshire,,,WF8 4HN,Vehicle Rep W'shop & Prem,"£6,515.67","-£2,464.77",31/03/1999,19750,Occupied,,,,,,2119859160
AUTOTAILORS LIMITED,Adj. 45 Wakefield Road,Ossett,West Yorkshire,,,WF5  9LB,Car Display Area,£0.00,£0.00,29/06/2017,9200,Occupied,Yes,,,,,3316707045
AVALEC LIMITED,Unit 12B Wellgate Centre,Bank Street,Ossett,West Yorkshire,,WF5  8NL,Offices & Premises,£0.00,-£244.51,01/01/2010,3250,Occupied,Yes,,,,,3300601121
AVANT HOMES LIMITED,1 Conqueror Way,Pontefract,West Yorkshire,,,WF8  2YJ,Sales Office & Showhouse,"£14,773.37",£443.87,16/04/2016,30750,Occupied,,,,,,2115107936
AVANT HOMES LIMITED,Sales Office &,2 4 & 6 Wolfenden Way,Wakefield,West Yorkshire,,WF1  4AD,Showhouse & Sales Office,"£23,992.85",£692.85,01/05/2016,50000,Occupied,,,,,,3103305918
AVEIVE LIMITED,Unit 7 Valencia Court,Pontefract Road,Normanton,West Yorkshire,,WF6  1ZD,Warehouse & Premises,£0.00,-£111.22,30/07/2016,10250,Occupied,Yes,,,,,2702600507
AVENUE BARS LIMITED,Kindred Spirit,Albion Court,Wakefield,West Yorkshire,,WF1  1BD,Club & Premises,£151.45,£0.00,20/07/2017,32500,Occupied,,,,,,2400417211
AW SYKES MOTORCYCLES LIMITED,15 Halfpenny Lane,Pontefract,West Yorkshire,,,WF8  4AY,Showroom & Premises,£0.00,-£229.31,01/04/2016,7500,Occupied,Yes,,,,,2108700150
AXIOM RAIL (STOKE) LIMITED,Former Horbury Goods Yard,Off Bridge Road,Horbury Bridge,Wakefield,West Yorkshire,WF4  5NR,Factory & Premises,"£7,805.50",,01/04/1990,16750,Occupied,,,,,,2900800971
AXIOM TRAFFIC LIMITED,74 Leeds Road,Wakefield,West Yorkshire,,,WF1  2QF,Workshop & Premises,"£9,366.08",,01/04/2010,21000,Occupied,,,,,,2418850767
AXISWEB,76A Leeds Road,Wakefield,West Yorkshire,,,WF1  2QF,Workshop & Premises,£0.00,,27/03/2017,20500,Occupied,,Yes,,Yes,,2418850766
AZURE CONSULTING LIMITED,Calder House,4 Lakeside,Calder Island Way,Wakefield,West Yorkshire,WF2  7AW,Offices & Premises,£0.00,,17/08/2012,11500,Occupied,Yes,,,,,2409307666
B & A INVESTMENTS LIMITED,21 Smyth Street,Wakefield,West Yorkshire,,,WF1  1ED,Car Park & Premises,£0.00,,07/03/2011,4950,Occupied,Yes,,,,,2429059021
B & BMH LTD T/A BADSWORTH & BRAMHAM MOOR,Adjacent To Hillthorpe,Wentbridge Lane,Thorpe Audlin,Pontefract,West Yorkshire,WF8  3EH,Kennels & Premises,£0.00,-£711.54,31/03/2006,7200,Occupied,Yes,,,,,1101259110
B & L RECRUITMENT NORTHERN LIMITED,Unit 4 Calder House,Room 1,Calder Vale Road,Wakefield,West Yorkshire,WF1 5PE,Warehouse,£0.00,-£654.99,01/11/2017,6300,Occupied,Yes,,,,,2405076401
B & M RETAIL LIMITED T/A GLYNWEBB,27 Market Street,Hemsworth,Pontefract,West Yorkshire,,WF9  4JY,Shop & Premises,"£132,743.76","£38,859.76",26/08/2015,196000,Occupied,,,,,,1506509090
B & M RETAIL LIMITED T/A GLYNWEBB,43/45 Market Place,Pontefract,West Yorkshire,,,WF8  1AG,Shop & Premises,"£62,750.65",£959.65,31/01/2009,129000,Occupied,,,,,,2111800430
B & M RETAIL LIMITED T/A GLYNWEBB,Unit 2 Rear Of Aldi,South Baileygate,Pontefract,West Yorkshire,,WF8  2LN,Retail Warehouse & Premis,"£99,990.90","£26,703.90",31/10/2016,153000,Occupied,,,,,,2117350021
B & M RETAIL LIMITED T/A GLYNWEBB,Unit 2 Quora Retail Park,Wakefield Road,Featherstone,Pontefract,West Yorkshire,WF7  5LD,Retail Warehouse & Premis,"£123,183.98","£32,652.98",30/11/2016,189000,Occupied,,,,,,223819320
B & M RETAIL LIMITED T/A GLYNWEBB,Units 9 & 10,Beck Retail Park,Ings Road,Wakefield,West Yorkshire,WF1  1DZ,Retail Warehouse & Premis,"£125,811.17","£25,700.17",01/11/2016,209000,Occupied,,,,,,2417070910
B & M RETAIL LIMITED T/A GLYNWEBB,Enterprise Way,Castleford,West Yorkshire,,,WF10 1EQ,Retail Warehouse & Premis,"£150,885.00",,28/11/2013,315000,Occupied,,,,,,2605239000
B & M RETAIL LIMITED T/A GLYNWEBB,West Street,Normanton,West Yorkshire,,,WF6  2AP,Shop & Premises,"£86,220.00",,28/05/2016,180000,Occupied,,,,,,2712409021
B & P WINDOWS LIMITED,Potovens Lane,Lofthouse Gate,Wakefield,West Yorkshire,,WF3  3HY,Stores Offices & Premises,"£7,015.75","-£1,014.40",01/08/2014,17750,Occupied,,,,,,3110959020
B & Q PLC,Unit A,Cathedral Retail Park,Charlesworth Way,Wakefield,West Yorkshire,WF2  9SE,Retail Warehouse & Premis,"£279,442.49","£13,597.49",19/08/2008,555000,Occupied,,,,,,2406409100
B & Q PLC,Aspen Way,Castleford,West Yorkshire,,,WF10 4TE,Retail Warehouse & Premis,"£547,986.21","£68,986.21",20/01/2005,1000000,Occupied,,,,,,2608919630
B C ACKWORTH LIMITED,Brown Cow Hotel,Pontefract Road,Ackworth,Pontefract,West Yorkshire,WF7  7EL,Public House & Premises,£0.00,£150.38,10/06/2015,9000,Occupied,Yes,,,,,0103609380
B C COMPUTING LIMITED,Suite 3 The Studios,Colorado Way,Glasshoughton,Castleford,West Yorkshire,WF10 4AT,Office,£567.30,,01/05/2016,3650,Occupied,Yes,,,,,2605359903
B M HOWARTH LIMITED,Metic House,Ripley Drive,Normanton,West Yorkshire,,WF6  1QT,Offices & Premises,"£18,883.26","£3,971.26",12/09/2015,32000,Occupied,,,,,,2709837100
B P C BUILDING PRODUCTS LIMITED,Flanshaw Way,Wakefield,West Yorkshire,,,WF2  9LP,Workshop & Premises,"£26,826.88",,01/04/1990,56500,Occupied,,,,,,2412069080
B S B NORMANTON LIMITED,Adjacent 30 Altofts Road,Normanton,West Yorkshire,,,WF6  2AY,Petrol Fill' Stat' & Prem,"£8,388.00",,01/10/2000,18000,Occupied,,,,,,2700300302
B S WRIGHT AUTO ENGINEERS,Unit 20 Phoenix Works,St Johns Street,Horbury,Wakefield,,WF4 5NU,Workshop & Premises,£0.00,"-£1,446.67",15/05/1994,9000,Occupied,Yes,,,,,2907750200
B Z T DEVELOPMENTS LIMITED,Unit 3 Greens Industrial,Park,(West Bay),Calder Vale Road,Wakefield,WF1  5PF,Workshop & Premises,"£31,294.79","-£4,323.68",01/11/2014,79000,Occupied,,,,,,2405079020
B.B.S. (BRICK AND STONE) LIMITED,106/106A Barnsley Road,Wakefield,West Yorkshire,,,WF1  5NX,Offices & Premises,"£7,069.50",£79.50,07/04/2000,15000,Occupied,,,,,,2402057106
B38 FACILITIES MANAGEMENT LIMITED,Block A - First Floor,Cedar Court Office Park,Denby Dale Road,Calder Grove,Wakefield,WF4  3QZ,Offices & Premises,"£17,106.01","£5,689.01",20/02/2014,24500,Occupied,,,,,,3701637544
BABY WONDERLAND LIMITED,21 Carlton Street,Castleford,West Yorkshire,,,WF10 1AX,Shop & Premises,£0.00,-£422.24,31/10/2011,10250,Occupied,Yes,,,,,2602550210
BADSWORTH NURSERY LIMITED,The Nursery,Main Street,Badsworth,Pontefract,West Yorkshire,WF9  1AJ,Day Nursery & Premises,£397.41,-£939.55,01/04/2015,12250,Occupied,Yes,,,,,0200551122
BAGNALL HOPKINS RECRUITMENT LTD,5 Crown Court - Suite 2,(Old Town Hall - 1St. Fl),Wakefield,West Yorkshire,,WF1  2SU,Offices & Premises,£0.00,,30/08/2012,7800,Occupied,Yes,,,,,2403650005
BAGS AND COVERS DIRECT LIMITED,Diamond House,(Room 2 Lower Ground Fl.),Diamond Business Park,Thornes Moor Road,Wakefield,WF2  8PT,Offices & Premises,£0.00,-£270.67,04/04/2014,7700,Occupied,Yes,,,,,2433101518
BAGS ETC LIMITED,Unit C7 Junction 32,Outlet Shopping Village,Carr Wood Road,Castleford,West Yorkshire,WF10 4FB,Shop & Premises,"£18,327.87",£503.37,21/01/2005,38250,Occupied,,,,,,2608881519
BAILEYGATE CARPETS LIMITED,Unit 3B Rear Of Aldi,South Baileygate,Pontefract,West Yorkshire,,WF8  2LN,Retail Warehouse & Premis,"£17,106.01","£3,941.51",22/06/2016,28250,Occupied,,,,,,2117350202
BAINS & HAYRE LIMITED,93 Station Lane,Featherstone,Pontefract,West Yorkshire,,WF7  5BJ,Post Office & Premises,£0.00,,01/04/2014,5200,Occupied,Yes,,,,,2207459300
BALANCE BEST LIMITED,Unit 16,Acorn Park,Albion Street,Castleford,West Yorkshire,WF10 1BE,Store & Premises,"£2,656.64",-£561.27,30/06/2015,7100,Occupied,,,,,,2600080160
BALANCE BEST LIMITED,Unit 6,Acorn Park,Albion Street,Castleford,West Yorkshire,WF10 1EG,Workshop & Premises,"£3,608.99",-£927.78,09/07/2012,10000,Occupied,,,,,,2600407608
BALANCE BEST LIMITED,118 Wheldon Road,Castleford,West Yorkshire,,,WF10 2RT,Workshop & Premises,"£2,255.85",-£789.56,01/04/1990,6700,Occupied,,,,,,2619159110
BALL BEVERAGE PACKAGING UK LIMITED,Kenmore Road,Wakefield 41,Wrenthorpe,Wakefield,West Yorkshire,WF2  0XE,Factory & Premises,"£515,625.47","£7,885.47",14/03/2003,1060000,Occupied,,,,,,3106179020
BALMERS GM LIMITED,Units 13-14 Monckton Road,Wakefield,West Yorkshire,,,WF2  7AL,Workshop & Premises,"£21,837.42",-£251.31,29/06/2015,50000,Occupied,,,,,,2422379013
BALUN LIMITED,Units 1-3,Riverside Business Park,Chantry Bridge,Wakefield,West Yorkshire,WF1  5DL,Factory & Premises,"£52,535.42",£803.42,01/04/2010,108000,Occupied,,,,,,2418520010
BALVIMAA CHARITY TRUST,30-40 Gillygate,(Suite 1),Pontefract,West Yorkshire,,WF8  1PQ,Building Under Reconstruction,£0.00,£0.00,25/06/2011,1,Unoccupied,,,,,Yes,2107859000
BALVIMAA CHARITY TRUST,30-34 Gillygate,(Part First Floor),Pontefract,West Yorkshire,,WF8  1PQ,Building Under Reconstruction,£0.00,£0.00,25/06/2011,1,Unoccupied,,,,,Yes,2107853034
BALVIMAA CHARITY TRUST,30-34 Gillygate,(First Floor Offices),Pontefract,West Yorkshire,,WF8  1PQ,Building Under Reconstruction,£0.00,£0.00,25/06/2011,1,Unoccupied,,,,,Yes,2107850301
BANK MACHINE LIMITED,Atm Site At,75 Cow Lane,Havercroft,Wakefield,West Yorkshire,WF4  2HF,Site Of Automatic Teller Machine,"£1,747.50",,01/04/2010,3750,Occupied,,,,,,0300250100
BANK MACHINE LIMITED,Atm Site At Costcutter,New London House,Wakefield Road,Fitzwilliam,Pontefract,WF9  5AJ,Site Of Automatic Teller Machine,"£1,001.99","-£1,712.67",01/04/2010,5900,Occupied,,,,,,1510591017
BANK MACHINE LIMITED,Atm At Barnsdale P.f.s.,Great North Road,Barnsdale Bar,Pontefract,West Yorkshire,WF8  3JF,Site Of Automatic Teller Machine,£605.80,,01/04/2013,1300,Occupied,,,,,,1801239515
BANK MACHINE LIMITED,Atm Site At,84 Baghill Lane,Pontefract,West Yorkshire,,WF8  2HB,Site Of Automatic Teller Machine,£650.84,"-£1,073.63",01/04/2010,3750,Occupied,,,,,,2101151013
BANK MACHINE LIMITED,Site Of Atm At,Nevison Service Station,Ferrybridge Road,Pontefract,West Yorkshire,WF8  2PB,Site Of Automatic Teller Machine,"£1,747.50",,12/04/2010,3750,Occupied,,,,,,2107109233
BANK MACHINE LIMITED,Atm At Nisa Shop,Priory Road,Featherstone,Pontefract,West Yorkshire,WF7  5HY,Site Of Automatic Teller Machine,£932.00,,04/04/2012,2000,Occupied,,,,,,2206501598
BANK MACHINE LIMITED,Atm Site At Unit G37a,Trinity Walk,Wakefield,West Yorkshire,,WF1  1QS,Site Of Automatic Teller Machine,"£3,867.80",,09/05/2011,8300,Occupied,,,,,,2418211021
BANK MACHINE LIMITED,Atm Site Opposite,55 Bishopgate Walk,The Ridings Centre,Wakefield,West Yorkshire,WF1  1YB,Site Of Automatic Teller Machine,"£3,867.80",,20/05/2014,8300,Occupied,,,,,,2403534569
BANK MACHINE LIMITED,Atm Site Adjacent To,80 Kirkgate,Wakefield,West Yorkshire,,WF1  1UT,Site Of Automatic Teller Machine,"£2,772.70",,01/07/2014,5950,Occupied,,,,,,2418508080
BANK MACHINE LIMITED,Atm Site At,Riverside Service Station,Lock Lane,Castleford,West Yorkshire,WF10 2JU,Site Of Automatic Teller Machine,"£3,867.80",,01/05/2012,8300,Occupied,,,,,,2610259999
BANK MACHINE LIMITED,Site Of Atm - E001862,1 Lancefield House,Potovens Lane,Outwood,Wakefield,WF1  2LE,Site Of Automatic Teller Machine,£932.00,,10/09/2007,2000,Occupied,,,,,,3106850111
BANK MACHINE LIMITED,Atm Site At,31-37 High Street,Crofton,Wakefield,West Yorkshire,WF4  1NF,Site Of Automatic Teller Machine,"£1,747.50",,01/05/2012,3750,Occupied,,,,,,3801501007
BANKFIELD HEATH SOLICITORS LIMITED,Langham House,(Suite 3),140-148 Westgate,Wakefield,West Yorkshire,WF2  9SR,Offices & Premises,£430.95,-£78.46,01/03/2013,1125,Occupied,,,,,,2436058103
BANNATYNE FITNESS LIMITED,Paragon Avenue,Paragon Business Village,Wrenthorpe,Wakefield,West Yorkshire,WF1  2UF,Leisure Centre & Premises,"£94,725.63","£6,110.63",01/08/2006,185000,Occupied,,,,,,3110439090
BANNER PLANT LIMITED,49 Wakefield Road,Ossett,West Yorkshire,,,WF5  9LB,Workshop & Premises,"£28,021.50",,11/12/2006,58500,Occupied,,,,,,3316700505
