establishmentname,establishmentaddressline1,establishmentaddressline2,establishmentaddressline3,establishmentaddressline4,postcode,rating,latitude,longitude,inspectiondate
City Picnic,Mcauley House,,2-14 Castle Street,Belfast,BT1 1HB,5,374276,333787,29/10/2015
Cafe Nero,,,2-4 Chichester Street,Belfast,BT1 4LA,5,374111,333925,05/06/2015
The Pantry,Crescent Arts Centre,,2-4 University Road,Belfast,BT7 1NH,4,373033,333549,30/06/2015
Pipeworks,,,2-6 Union Street,Belfast,BT1 2JF,5,374833,333710,12/03/2013
Carberry @ Into,,,2-8 Lennoxvale,Belfast,BT9 5BY,5,372107,333327,21/11/2013
INTO Queen's University Belfast,,,2-8 Lennoxvale,Belfast,BT9 5BY,,372099,333338,
Springvale Cafe,,,200 Springfield Road,Belfast,BT12 7DR,5,374288,331828,11/06/2015
Coffee co,"Unit 9, Dairy Farm Centre",,205 Stewartstown Road,Belfast,BT17 0AW,5,369828,328119,09/11/2014
The Pump House Cafe,The Innovation Centre,,20 Queens Road,Belfast,BT3 9DT,4,375965,335659,10/09/2015
Subway,,,220-230 Holywood Road,Belfast,BT4 1PD,5,374945,337402,23/07/2015
Bistro Este,,,221 Upper Newtownards Road,Belfast,BT4 3JD,5,373961,337761,16/01/2014
Beths Bakery,,,223 Shankill Road,Belfast,BT13 1FQ,3,374821,332512,26/08/2015
Subway,,,228 Shankill Road,Belfast,BT13 2BJ,5,374791,332483,30/09/2014
The Poppogoblin,,,23 Alfred Street,Belfast,BT2 8ED,5,373701,334009,06/12/2014
The Cookie Box,Calvert House,,23 Castle Place,Belfast,BT1 1FY,4,374337,333835,12/07/2015
Starbucks Coffee Company,,,24-26 Great Victoria Street,Belfast,BT2 7BA,5,373856,333581,26/06/2015
BHS Customer Cafe,,,24-26 Castle Place,Belfast,BT1 1GB,5,374294,333850,22/10/2015
Cafe Nicole,,,24 Cregagh Road,Belfast,BT6 9EQ,5,372780,335879,05/06/2015
The Throne Cafe,"Unit 6, The Throne Centre",,250 Whitewell Road,Newtownabbey,BT36 7RW,4,380577,333451,12/11/2014
The Bread Filler,,,255 Castlereagh Road,Belfast,BT5 5FL,4,372882,336348,02/12/2015
Cafe 2 U,,,25 Blenheim Drive,Belfast,BT6 9GB,5,372511,336656,08/11/2014
Printers Cafe,,,25 Donegall Street,Belfast,BT1 2FF,5,374552,333947,13/08/2014
C'Mon In,Woodvale Methodist Church,,260 Cambrai Street,Belfast,BT13 3JJ,5,375061,331894,29/04/2014
Beths Bakery,Unit 3,,260 Suffolk Road,Belfast,BT11 9PB,4,371493,327761,20/04/2015
Beechtree Cafe,,,265 Falls Road,Belfast,BT12 6FD,4,373417,331667,19/11/2014
Clements,Unit 1,,269 Upper Newtownards Road,Belfast,BT4 3JF,5,373934,337947,19/01/2015
Reubens Gourmet Sandwich Co.,,,26a Linenhall Street,Belfast,BT2 8BG,3,373726,333890,02/03/2015
Cafe Souk,,,27-29 Castle Lane,Belfast,BT1 5DB,4,374223,333857,03/12/2015
Sandwich Dee Lite,,,272 Newtownards Road,Belfast,BT4 1HE,4,374325,335967,09/03/2014
Cafe Meluzyna,,,273 Woodstock Road,Belfast,BT6 8PR,,373390,335612,
Cafe Le Petit Ormeau,,,274-276 Ormeau Road,Belfast,BT7 2GB,4,371877,334677,24/07/2015
Enjoy Inn Cafe,,,27 Botanic Avenue,Belfast,BT7 1JG,4,373109,333632,05/08/2014
Cuban Sandwich Factory,,,29-31 Queens Arcade,Belfast,BT1 5FE,,374188,333741,
Isobels,,,299 Shankill Road,Belfast,BT13 1FT,4,374838,332304,21/07/2015
Polita Cafe Bistro,,,29a Ravenhill Road,Belfast,BT6 8DP,,373741,335030,
JJ Ice Cream Cafe,,,29 Botanic Avenue,Belfast,BT7 1JG,5,373109,333632,23/06/2015
Bobby's Bakery,,,29 Brittons Parade,Belfast,BT12 7PJ,2,373339,331034,09/03/2014
Loaf @ the Bobbin,Belfast City Hall,,2 Donegall Square North,Belfast,BT1 5GS,4,374014,333832,10/02/2014
THE LOCK KEEPER'S INN,The Lock Keepers Inn,Belfast,2 Lock Keepers Lane,,BT8 7XT,4,369199,333039,24/03/2014
Maggie Mays Two,,,2 Malone Road,Belfast,BT9 5BN,3,372464,333449,12/08/2014
Broken Biscuits @ Drummond Reid Antiques Tea Room,,Castlereagh,2 Prince Regent Road,,BT5 6QR,5,,,06/05/2015
Proni Cafe,,,2 Titanic Boulevard,Belfast,BT3 9HQ,5,374896,335064,10/09/2015
The Dark Horse,Hildon House,,30-34 Hill Street,Belfast,BT1 2LB,5,374613,333994,24/09/2015
The Granary Coffee and Sandwich Bar,,,300 Ormeau Road,Belfast,BT7 2GD,5,371791,334711,17/02/2014
B & Q CAFE,,,302 Airport Road West,Belfast,BT3 9EJ,5,377508,338486,10/01/2014
BHS,Holywood Exchange Retail Park,,303 Airport Road West,Belfast,BT3 9EJ,5,,,16/01/2015
Subway,,,306b Airport Road West,Belfast,BT3 9EJ,5,377045,338116,01/08/2014
Costa Coffee,,,306d Airport Road West,Belfast,BT3 9EJ,5,377045,338116,01/08/2014
Loaf Cafe Bakery,,,307-309 Grosvenor Road,Belfast,BT12 4LP,5,373820,332472,11/10/2015
Boden Park Coffee Co,,,307 Ormeau Road,Belfast,BT7 3GG,5,372132,334518,18/03/2014
Basils,2,,31A Shore Road,Belfast,BT15 3PG,5,376967,334246,21/08/2014
Cafe 31,,,31 North Street,Belfast,BT1 1NA,4,374544,333851,18/02/2015
Pronto,,,32-34 Dublin Road,Belfast,BT2 7HN,3,373475,333709,27/08/2014
Caffe Nero,,,328-330 Lisburn Road,Belfast,BT9 6GH,5,371675,332341,01/06/2016
The Pie Lady,,,336 Donegall Road,Belfast,BT12 6FX,4,373083,332294,08/03/2015
Raw Food Rebellion,,,336 Lisburn Road,Belfast,BT9 6GH,5,371662,332330,26/11/2015
Harlem Cafe,,,34-36 Bedford Street,Belfast,BT2 7FF,4,373768,333794,12/01/2014
Hot Pot Cafe,,,342 Newtownards Road,Belfast,BT4 1HE,3,374284,336142,14/08/2014
Barista,,,346 Upper Newtownards Road,Belfast,BT4 3EX,5,373994,337782,03/11/2015
TASTE CAFE AND BISTRO,,Castlereagh,350 Cregagh Road,,BT6 9EY,4,371344,336240,25/08/2015
MAUD'S TEMPTATIONS,,Castlereagh,352 Cregagh Road,,BT6 9EY,5,371336,336241,07/01/2014
The Bread and Banjo Bakery,,,353 Ormeau Road,Belfast,BT7 3GL,4,372040,334558,04/09/2014
Flamenco Patisserie,,,353 Woodstock Road,Belfast,BT6 8PT,,373131,335734,11/11/2013
An Cafe Tacsa,,,35a King Street,Belfast,BT1 1HU,3,374337,333550,21/10/2015
The Cookie Box,,,35 Ann Street,Belfast,BT1 4EB,5,374295.2,334100.7,02/10/2015
No. 36,,,36a Belmont Road,Belfast,BT4 2AN,5,374541,337301,15/06/2015
California Coffee,,,36 Ann Street,Belfast,BT1 4EG,,374315,334074,
Amanda's Diner,,,36 Woodvale Road,Belfast,BT13 3BT,3,375058,331780,16/12/2014
Espresso Elements,,,370A Lisburn Road,Belfast,BT9 6GL,5,371326,332055,11/09/2015
"The Beautiful Flower Company, The Tea Room","Unit 1, Earlswood House",,374 Upper Newtownards Road,Belfast,BT4 3EY,5,373989,337864,03/04/2015
Braeside Sandwich Bar,,,37a Braeside Grove,Belfast,BT5 7JX,5,372146,338172,16/06/2015
Established Coffee,,,37 Talbot Street,Belfast,BT1 2LD,5,374691,333984,23/01/2014
Belfast Citadel Corps,,,38 Dublin Road,Belfast,BT2 7HD,5,373484,333675,03/04/2014
Espresso East,,,395 Newtownards Road,Belfast,BT4 1AQ,5,374184,336481,25/02/2015
Flour Power,,,39 Donegall Pass,Belfast,BT7 1DQ,5,373228,333732,19/03/2015
JAKBERRY,,,3 Finaghy Road North,Belfast,BT10 0JA,5,370007,330380,26/08/2015
Ground Expresso Bars,Next Plc Unit 2,,40-46 Donegall Place,Belfast,BT1 5BB,4,374175,333849,20/03/2015
Costa @ Easons,,,40-46 Donegall Place,Belfast,BT1 5BB,4,,,12/12/2013
The Thinking Cup,,,407 Lisburn Road,Belfast,BT9 7EW,5,372050,332542,08/04/2015
Relish,Connswater Shopping Centre,,40 Bloomfield Avenue,Belfast,BT5 5LP,5,374002,336456,24/09/2014
CAFE ROJO,Unit 6,,40 Montgomery Road,,BT6 9HL,4,,,09/09/2015
Kaffe O,,,411 Ormeau Road,Belfast,BT7 3GP,5,371829,334659,07/11/2014
The Daily Bread,,,419 Ballysillan Road,Belfast,BT14 6RE,3,377748,331732,08/05/2014
Glen Community Parent & Youth Group,,,41c Suffolk Road,Belfast,BT11 9PE,5,370926,328414,06/09/2014
Serendipity Cafe,,,423 Lisburn Road,Belfast,BT9 7EW,3,371994,332508,05/05/2015
Cafe Nero,The Carriages,,42 Botanic Avenue,Belfast,BT7 1JQ,5,373066,333693,05/12/2015
Kangaroos Tie Their Own Laces Coffee Shop,,,430 Falls Road,Belfast,BT12 6EN,4,372984,331277,06/03/2015
Rcity Youth CIC,Holy Cross Roman Catholic Church,,432 Crumlin Road,Belfast,BT14 7GE,,375731,331672,
438 Coffee Bake,,,438 Ormeau Road,Belfast,BT7 3HY,5,370768,335014,02/12/2015
California Coffee Company,,,43 Arthur Street,Belfast,BT1 4GB,5,374127,333967,25/07/2013
Ground Expresso Bar,Brookmount Buildings,,44-46 Fountain Street,Belfast,BT1 5EE,4,374139,333756,08/03/2015
Marias Coffee Shop and Sandwich Bar,,,447 Falls Road,Belfast,BT12 6DD,3,373239,331383,10/06/2015
Brunch,,,448a Shore Road,Belfast,BT15 4HD,4,378118,334142,04/09/2014
Soul Food Company,,,455 Ormeau Road,Belfast,BT7 3GQ,3,371664,334714,30/03/2015
Caffe Nero,,,48-50 Ann Street,Belfast,BT1 4EG,5,374323,334107,11/03/2014
The Lott,5,,48d York Street,Belfast,BT15 1AS,5,375017,333917,06/05/2014
Allotment Bistro,,,48 Upper Queen Street,Belfast,BT1 6FD,5,373998,333646,02/03/2015
Subway,Unit 4 St George's Market,,49-81 Oxford Street,Belfast,BT1 3LA,5,,,13/12/2015
Sinnamon,,,49 Botanic Avenue,Belfast,BT7 1JL,4,373022,333661,28/08/2015
Manns Deli and Coffee Bar,,,4B Cromac Quay,Belfast,BT7 2JD,4,373431,334150,23/01/2014
The New Pad,Unit 1,,4 Havana Way,Belfast,BT14 7QH,3,376019.9,332044,24/02/2015
Park Lane Bakery & Coffee Shop,,,4 Orangefield Lane,Belfast,BT5 6BW,4,373463,337065,05/06/2015
Coffee Den,,,4 Union Street,Belfast,BT1 2JF,5,374826,333724,20/07/2015
Doorsteps,"Unit 1, Conway Mill",,5-7 Conway Street,Belfast,BT13 2DE,4,,,10/03/2014
Grapevine,,,5-7 Pottingers Entry,Belfast,BT1 4DT,4,374367,334051,11/11/2015
Goodtimes Coffee,,,5-7 Pottingers Entry,Belfast,BT1 4DT,4,374367,334051,22/10/2014
The Hot Spot,Jill House,,502 Antrim Road,Newtownabbey,BT36 5DB,5,382881,330785,30/07/2014
Maggie Mays,,,50 Botanic Avenue,Belfast,BT7 1JR,3,373029,333691,22/12/2014
Chat Coffee House,Belfast City Hospital (cancer centre),,51a Lisburn Road,Belfast,BT9 7AE,5,,,26/11/2014
Homemade by Manns,,,52 Boucher Road,Belfast,BT12 6HR,5,371457,331575,23/01/2015
The Bakery,,,52 Howard Street,Belfast,BT1 6PG,4,373902,333581,10/07/2014
The Crum Cafe,Crumlin Road Gaol,,53-55 Crumlin Road,Belfast,BT14 6ST,5,375296,333057,20/10/2015
Subway,"Unit 43c, Park Centre",,537 Donegall Road,Belfast,BT12 6HN,5,373129,331780,10/05/2015
Doorsteps,,,54 Lisburn Road,Belfast,BT9 6AF,5,372825,333245,12/04/2013
Metz Express,,,55-57 High Street,Belfast,BT1 2AB,4,374386,334040,25/03/2015
First Trust Subway,,,551 Antrim Road,Belfast,BT15 3BU,5,377215,333256,05/12/2014
Cafe Mauds,,,555 Lisburn Road,Belfast,BT9 7GQ,5,371606,332248,01/07/2015
Pizza Works,,,565 Antrim Road,Belfast,BT15 3BU,3,377252,333256,10/07/2014
Cafe Smart,,,56 Belmont Road,Belfast,BT4 2AN,5,374530,337362,08/06/2015
Oliver's Coffee Bar,,,57-59 Belmont Road,Belfast,BT4 2AA,5,374518,337296,06/05/2014
The Cookie Box,,,579 Lisburn Road,Belfast,BT9 7GS,5,371536,332192,06/04/2013
Scotts Coffee Company Ltd,,,58 Bradbury Place,Belfast,BT7 1RU,5,373068,333540,25/11/2015
5A,,,5a Lockview Road,Belfast,BT9 5FH,2,371410,333776,26/10/2015
Barnams,,,601 Lisburn Road,Belfast,BT9 7GS,4,371494,332157,12/03/2014
Oasis Amusement Centre,,,61 Boucher Road,Belfast,BT12 6HR,5,371709,331668,01/07/2014
Subway,,,62 Botanic Avenue,Belfast,BT7 1JR,4,372992,333705,29/04/2015
Press 29,,,63 Agincourt Avenue,Belfast,BT7 1QB,4,372542,334146,27/11/2013
Truffles,,,63 Belmont Road,Belfast,BT4 2AA,5,374515,337307,18/06/2015
Whats in Store,,,689 Springfield Road,Belfast,BT12 7FP,4,373634,330031,27/10/2015
Fed and Watered,Obel Building,,68 Donegall Quay,Belfast,BT1 3NL,5,374645,334349,06/02/2015
Nom Nom Noodles,,,697 Lisburn Road,Belfast,BT9 7GU,5,371272,331961,10/02/2014
Big Papa Drew,,,699 Oldpark Road,Belfast,BT14 6QY,4,377291,331456,24/02/2014
Mikey's Deli,2 Northern Whig House,,6 Bridge Street,Belfast,BT1 1LU,3,374452,333977,19/10/2015
Belmont Bowling Club - ladies,,,6 Kincora Avenue,Belfast,BT4 3DW,4,374157,337821,27/05/2015
IANS HOME BAKERY AND COFFEE SHOP,,Belfast,6 Rosetta Road,,BT6 0LT,3,371284,335515,21/01/2015
Starbucks Coffee Company,,,711 Lisburn Road,Belfast,BT9 7GU,5,371246,331928,24/02/2014
Cafe Royale,,,72-74 Royal Avenue,Belfast,BT1 1DJ,,374576,333710,
Thyme,,,7 Antrim Road,Belfast,BT15 2BE,2,375797,333343,28/10/2014
Falafel Eatery & Coffee House,,,7 Botanic Avenue,Belfast,BT7 1JG,4,373170,333616,05/07/2014
THE LOTT,,Belfast,7 Elesington Court,,BT6 9JY,4,372069,336081,12/06/2013
Sinnamon,,,80 Stranmillis Road,Belfast,BT9 5AD,5,372049,333617,23/07/2015
Cafe Mojo,,,83 Cregagh Road,Belfast,BT6 8PY,5,372643,335881,18/11/2015
Indigo Coffee & Gelato,,,86 Stranmillis Road,Belfast,BT9 5AD,2,372024,333630,01/08/2016
The Teapot,,,87 Dublin Road,Belfast,BT2 7HF,3,373356,333627,16/09/2015
That Wee Cafe,,,8 Bedford Street,Belfast,BT2 7FB,5,373917,333774,30/03/2015
Lunches To Go,,,8 Church Lane,Belfast,BT1 4QN,5,374416,334123,06/08/2015
Kathmandu Kitchen,,,9-11 Botanic Avenue,Belfast,BT7 1JG,3,373121,333629,09/07/2015
Caffe Nero,,,91-93 Royal Avenue,Belfast,BT1 1FE,5,374572,333751,20/10/2015
Cafe Wah,,,93 North Street,Belfast,BT1 1ND,4,374642,333695,20/08/2014
Cafe Carberry @ Law Society House,,,96-98 Victoria Street,Belfast,BT1 3GN,5,374023,334256,20/05/2015
French Village,,,99 Botanic Avenue,Belfast,BT7 1JN,4,372856,333705,28/04/2014
Percy's Picnic Pitstop,Belfast Zoological Gardens,,Antrim Road,Newtownabbey,BT36 5ED,5,380796,332769,20/07/2015
The Lions Den Restaurant,Belfast Zoological Gardens,,Antrim Road,Newtownabbey,BT36 5ED,5,380796,332769,14/03/2014
Treetop Tearoom Cafe,Belfast Zoological Gardens,,Antrim Road,Newtownabbey,BT36 5ED,5,380796,332769,15/03/2014
Grand Dame Cafe,Ulster Hall,,Bedford Street,Belfast,BT2 7FF,4,373792,333812,19/11/2013
Costa Coffee,"Unit 9, Balmoral Plaza",,Boucher Road,Belfast,,5,,,24/07/2015
Caffe Nero,Fountain Centre,,College Street,Belfast,BT1 6ET,5,374174,333675,14/05/2014
The Cookie Box,A12 Fountain Centre,,College Street,Belfast,BT1 6ET,4,,,01/12/2015
Ashers Baking Co,Louisville House,,Dargan Road,Belfast,BT3 9JU,4,377690,335852,21/10/2014
Cafe Krem,Duncairn Arts and Cultural Centre,,Duncairn Avenue,Belfast,BT14 6BP,5,375769,333331,26/10/2015
Coffee Doc,Royal Victoria Hospital,,Grosvenor Road,Belfast,BT12 6BA,5,373702,332292,30/09/2015
Cream Cafe Bistro,Units 1 & 2,Dundonald,Hanwood Busines Kings Road,,BT16 1DG,4,,,04/03/2014
Holohans,,,Lanyon Quay,Belfast,,4,,,22/05/2014
Krem  (ECIT),,,Queens Road,Belfast,BT3 9DT,5,375957,335606,02/04/2015
Cafe Krem Students Union,,Belfast,Queens University,University Road,,5,,,05/06/2015
Zenerjii,Castlecourt,,Royal Avenue,Belfast,BT1 1AL,4,374449,333548,27/07/2015
O'Briens Sandwich Bar,Belfast City Airport,,Sydenham Bypass,Belfast,BT3 9JH,2,375715,337304,19/03/2015
British Airways PLC,Belfast City Airport,,Sydenham By-Pass,Belfast,BT3 9JH,5,375715,337304,24/03/2014
Aspire Lounge,Belfast City Airport,,Sydenham By-Pass,Belfast,BT3 9JH,5,375715,337304,13/05/2014
D+G Bistro,,,T 26 Smithfield Market,Belfast,BT1 1JE,4,374576,333569,15/10/2014
St Lukes Family Support Centre,,,Twinbrook Road,Belfast,BT17 0RP,5,369191,327948,28/05/2014
O'Briens,,,Unit 2FF Victoria Square,Belfast,BT1 4QG,5,,,05/12/2014
Cherry Orchard,,Gilnahirk,Unit 21 Kings Square,,BT5 7EA,5,,,24/09/2014
Clements,Queen's Student Union,,University Road,Belfast,BT7 1NF,4,372674,333412,15/08/2014
Costa Coffee Ltd,,,Victoria Square,Belfast,BT1 4QG,5,,,08/05/2014
Barista Coffee House - Stenaline,Victoria Terminal,,West Bank Road,Belfast,BT3 9JL,5,378294,336759,20/03/2015
Tesco Customer Cafe (Yorkgate),Yorkgate Shopping Centre,,100-150 York Street,Belfast,BT15 1WA,5,375412,334000,10/10/2014
ASDA Cafe,Yorkgate Shopping Centre,,100-150 York Street,Belfast,BT15 1WA,5,375412,334000,07/08/2014
Oasis Catering,,,104-108 Castlereagh Street,Belfast,BT5 4NJ,5,373756,335645,22/07/2015
Loaf Catering ( Maureen Sheehan Centre),,,106A Albert Street,Belfast,BT12 4HL,5,374114,332852,29/01/2014
Benny's,Blackstaff Industrial Complex,,111-129 Springfield Road,Belfast,BT12 7AE,4,374138,332013,15/08/2014
Ravenous,,,117 Falls Road,Belfast,BT12 6AA,5,373863,332208,07/10/2015
The Pound Cafe Ltd,,,11 Arthur Street,Belfast,BT1 4GA,3,374201,333958,03/04/2014
Bridge Newsagency,,,11 Bridge Street,Belfast,BT1 1LT,4,374393,333957,06/09/2015
Cafe Grace,,,12-14 Elmwood Avenue,Belfast,BT9 6AY,5,372644.6,333339,04/02/2014
Subway,"Unit 69, Castlecourt",,12-56 Royal Avenue,Belfast,BT1 1DD,5,374449,333548,12/01/2014
Subway,,,121 Falls Road,Belfast,BT12 6AA,5,373853,332203,27/10/2015
The Coffee House,,,124 Stewartstown Road,Belfast,BT11 9JQ,5,370669,328793,13/11/2013
Clements,,,129 Royal Avenue,Belfast,BT1 1FG,3,374713,333788,18/05/2015
St Theresa's Youth Club,,,131A Glen Road,Belfast,BT11 8BL,4,372190,329920,02/04/2015
BLT9,,,133 Lisburn Road,Belfast,BT9 7AG,4,372574,332970,06/12/2014
Clements,,,139 Stranmillis Road,Belfast,BT9 5AJ,5,372046,333576,03/04/2014
Oasis,,,14 Shaftesbury Square,Belfast,BT2 7DB,5,373224,333566,17/07/2014
Cafe Carberry,,,153-155 Victoria Street,Belfast,BT1 4PE,5,374067,334210,20/05/2015
Kirks Home Bakery,,,158 Sandy Row,Belfast,BT12 5EY,5,373277,333435,06/02/2015
Doorsteps,,,15 Garmoyle Street,Belfast,BT15 1DY,5,375343,334396,28/01/2014
McAufields Bakery,,,17 Ardoyne Road,Belfast,BT14 7HX,5,375954,331473,09/10/2013
Beths Bakery,The Vine,,193 Crumlin Road,Belfast,BT14 7AA,4,375483,332625,10/08/2014
Stax,,,197 Cliftonville Road,Belfast,BT14 6JT,5,376597,332363,23/09/2013
Strikes,,,19 Bridge Street,Belfast,BT1 1LT,4,374393,333957,21/02/2014
Blinkers,,,1 Bridge Street,Belfast,BT1 1LT,3,374416,333935,31/03/2015
Starbucks,Castlecourt,,Royal Avenue,Belfast,BT1 1DD,5,374449,333548,06/05/2014
Berries,,,206 Falls Road,Belfast,BT12 6AH,2,373444,331820,26/02/2015
The Peppercorn,,,209 Woodstock Road,Belfast,BT6 8PQ,5,373569,335514,26/11/2013
Deli Lites,Gordon House,,22-24 Lombard Street,Belfast,BT1 1RD,5,374379,333875,17/02/2015
The Causeway Cafe,,,22-32 Donegall Road,Belfast,BT12 5JN,5,373180,333505,03/07/2014
Ramzy's,,,227-233 Antrim Road,Belfast,BT15 2GZ,3,376144,333306,03/02/2015
Hub,,,22 Elmwood Avenue,Belfast,BT9 6AY,4,372662,333301,21/05/2014
Sandwich Station (Chamber Of Commerce House),,,22 Great Victoria Street,Belfast,BT2 7BA,5,373856,333581,30/05/2014
The Arches Sandwich Bar,,,23 Holywood Road,Belfast,BT4 3BA,5,374236,336575,02/09/2015
Jellybean Cafe,,,250 Upper Newtownards Road,Belfast,BT4 3EU,5,374070,337470,10/09/2014
Catholic Chaplaincy QUB,,,28 Elmwood Avenue,Belfast,BT9 6AY,5,372644,333335,27/04/2015
Mad Hatter,,,2 Eglantine Avenue,Belfast,BT9 6DW,5,372407,332873,24/02/2014
The Streat,Odyssey Pavilion,,2 Queens Quay,Belfast,BT3 9QQ,5,374853,334757,03/10/2014
Orchard Cafe,Belfast Foyer,,3-5 Malone Road,Belfast,BT9 6BY,5,372402,333363,17/10/2014
Angela's Sandwich Bar & Bistro,,,315 Antrim Road,Belfast,BT15 2HF,5,382259,331770,24/01/2014
Urban Retreat Coffee Company,,,31 Linenhall Street,Belfast,BT2 8AB,4,373772,333845,06/11/2015
Clements,,,342 Lisburn Road,Belfast,BT9 6GH,5,371650,332317,26/11/2014
Newton Brunch Bar,,,345 Newtownards Road,Belfast,BT4 1AJ,4,374260,336140,25/02/2014
Care & Share,,,349 Newtownards Road,Belfast,BT4 1AJ,4,374259,336150,16/06/2014
Sarnies,,,35 Rosemary Street,Belfast,BT1 1QB,4,374423,333815,17/02/2015
Cafe Italia,,,36 Hill Street,Belfast,BT1 2LB,5,374623,333998,24/09/2014
Clements,,,37-39 Rosemary Street,Belfast,BT1 1QB,4,374426,333853,20/01/2015
Deli Licious,,,373-375 Beersbridge Road,Belfast,BT5 5DT,3,373740,336614,12/03/2014
Planks ( Douglas House),,,397 Ormeau Road,Belfast,BT7 3GP,4,371898,334627,30/01/2014
Madisons Gourmet Sandwich,,,39A Holywood Road,Belfast,BT4 3BA,5,374248,336611,09/04/2015
Cuba Coffee Bar,,,3 Donegall Square East,Belfast,BT1 5HB,4,374077,333938,12/03/2014
Ravenous,,,3 Stranmillis Road,Belfast,BT9 5AF,5,372452,333451,12/05/2014
Browns Bruncherie,"Unit 5, Lyndon Court",,Queen Street,Belfast,BT1 6EF,3,374146,333636,10/10/2014
Piggly Wiggly,"Unit 2, Library Court",,398 Upper Newtownards Road,Belfast,BT4 3EZ,5,,,02/02/2015
Loaf Coffee Shop,,,400 Springfield Road,Belfast,BT12 7DU,5,374423,331313,14/01/2014
BELB (Cafe),,,40 Academy Street,Belfast,BT1 2NQ,5,374872,333948,19/08/2013
Subway,,,43-45 Fountain Street,Belfast,BT1 5EB,4,374157,333709,12/09/2015
Doorsteps Hughes Bread Trading,,,455-457 Lisburn Road,Belfast,BT9 7EY,4,371896,332449,01/05/2016
Subway,,,461 Ormeau Road,Belfast,BT7 3GR,5,371647,334735,11/04/2013
Bookfinders Cafe,,,47 University Road,Belfast,BT7 1ND,2,372821,333464,27/03/2014
Clements Coffee Shop,,,4 Donegall Square West,Belfast,BT1 6JA,5,374012,333716,15/10/2014
Rehoboth Evangelical Mission,Rehoboth Church,,4 Mount Vernon Road,Belfast,BT15 4AY,5,,,17/06/2014
The Open Door,Berry Street Presbyterian Chur,,50 Berry Street,Belfast,BT1 1FJ,3,374383,333671,23/04/2015
Subway,,,51 Dublin Road,Belfast,BT2 7HE,5,373452,333666,20/01/2015
Chat Coffee House,Belfast City Day Hospital (Tower Block),,51 Lisburn Road,Belfast,BT9 7AB,5,372803,332891,10/10/2014
Postscript Coffee House,,,537 Antrim Road,Belfast,BT15 3BU,1,377149,333242,10/06/2015
Bayleaf ( ParkCentre),,,537 Donegall Road,Belfast,BT12 6HW,3,373129,331780,28/07/2014
Randals,,,569 Lisburn Road,Belfast,BT9 7GS,2,371569,332220,12/09/2015
Dr B's Kitchen 5-9,,,7 Bridge Street,Belfast,BT1 1LT,5,374393,333957,17/09/2015
Courtyard Cafe,"Unit 5d Weavers Court, Weavers",,Linfield Road,Belfast,BT12 5GH,5,373536.6,333137.8,18/11/2015
Subway,,,6-8 Great Victoria Street,Belfast,BT2 7BA,4,373890,333579,04/04/2014
Bagel Bagel,,,60 Donegall Street,Belfast,BT1 2GT,5,374704,333823,14/10/2015
Swantons Gourmet Foods,,,639 Lisburn Road,Belfast,BT9 7GT,5,371399,332076,16/12/2013
Doorsteps,,,64 Ann Street,Belfast,BT1 4EH,3,374334,334142,02/10/2015
Chatters Coffee Shop,,,64 Bloomfield Avenue,Belfast,BT5 5AD,5,374002,336535,08/07/2014
Katies Kitchen,,,685 Oldpark Road,Belfast,BT14 6QY,4,377266,331481,08/04/2014
Clements,,,68 Botanic Avenue,Belfast,BT7 1JR,3,372986,333706,25/11/2015
Subway,,,69 Royal Avenue,Belfast,BT1 1PE,5,,,21/10/2013
Manor House Catering Services / Cafe Double Decker,,,6 Donegall Quay,Belfast,BT1 3EA,5,374397,334339,03/10/2015
Belmont Tower Coffee Shop,,,82 Belmont Church Road,Belfast,BT4 3FG,3,374305,338060,25/09/2014
Subway,Lindsay House,,8 Callender Street,Belfast,BT1 5BN,4,374184,333932,10/02/2015
Starbucks,,,90 Botanic Avenue,Belfast,BT7 1JR,5,372926,333725,06/04/2015
Starbucks,,,90 Lisburn Road,Belfast,BT9 6AG,5,372719,333174,30/07/2015
Cafe Red,,,94 Castle Street,Belfast,BT1 1HE,4,374289,333540,06/12/2014
Starvos,,,9 Whiterock Drive,Belfast,BT12 7PR,5,373395,330919,23/06/2015
Mill Cafe,"Unit 7, Flax Centre",,Ardoyne Avenue,Belfast,BT14 7DA,3,375948,332158,23/03/2015
The Gallery Restaurant,Avoniel Leisure Centre,,Avoniel Road,Belfast,BT5 4SF,5,373855,336068,13/01/2015
Cafe Pausa ( Shane Retail Park),Balmoral Centre,,105-115 Boucher Road,Belfast,BT12 6RH,5,371188,331266,25/07/2014
Subway,"Unit 4, Boucher Centre",,Boucher Road,Belfast,BT12 6HR,5,371688,331635,02/12/2015
Citigolf,Haymarket House,,Cromac Street,Belfast,BT2 8LA,5,,,14/05/2012
SSP Restaurant  (Central Station),Central Station,,47 East Bridge Street,Belfast,BT1 3NR,5,373916,334687,23/03/2015
Yummy Sandwiches,Spires Mall,,Fisherwick Place,Belfast,BT1 6DU,5,373952,333585,22/11/2013
The Streat (Great Northern Mall),"Unit 11, Great Northern Mall",,17-21 Great Victoria Street,Belfast,BT2 7GN,4,373745,333527,12/10/2014
Tesco Customer Cafe,Tesco 24hr Store,,2 Knocknagoney Road,Belfast,BT4 2PW,5,376729,338385,31/10/2014
