ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001091321
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001091468
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001096265
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001096380
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001096547
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,601.12 ,RESIDENTIAL LONG TERM,V001090902
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,601.12 ,RESIDENTIAL LONG TERM,V001095957
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,619.31 ,RESIDENTIAL LONG TERM,V001091573
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001091134
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001091138
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001091429
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001091539
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001096182
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001096186
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001096499
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001096631
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001096650
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,653.50 ,RESIDENTIAL LONG TERM,V001092058
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,653.50 ,RESIDENTIAL LONG TERM,V001092059
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,666.94 ,RESIDENTIAL LONG TERM,V001091574
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,666.94 ,RESIDENTIAL LONG TERM,V001096661
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,736.73 ,ASSESSMENT CARE,V001095865
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,798.13 ,SHORT TERM CARE - RESIDENTIAL,V001096630
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,859.52 ,ASSESSMENT CARE,V001096781
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,859.52 ,ASSESSMENT CARE,V001096782
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,03/02/2017,884.70 ,RESIDENTIAL LONG TERM,V001091617
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,884.70 ,ASSESSMENT CARE,V001096671
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,884.70 ,ASSESSMENT CARE,V001096672
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/02/2017,884.70 ,RESIDENTIAL LONG TERM,V001096706
ROCHDALE BOROUGH COUNCIL,13/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,13/02/2017,2578.56 ,ASSESSMENT CARE,V001094831
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,03/02/2017,547.72 ,RESIDENTIAL LONG TERM,V001091150
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,17/02/2017,547.72 ,RESIDENTIAL LONG TERM,V001096198
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,03/02/2017,595.90 ,RESIDENTIAL LONG TERM,V001091311
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,17/02/2017,595.90 ,RESIDENTIAL LONG TERM,V001096361
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,859.52 ,RESIDENTIAL LONG TERM,V001091349
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,859.52 ,RESIDENTIAL LONG TERM,V001096407
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,659.22 ,NURSING LONG TERM,V001091492
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,659.22 ,NURSING LONG TERM,V001096580
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,591.68 ,NURSING LONG TERM,V001090671
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,591.68 ,NURSING LONG TERM,V001095729
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,539.30 ,RESIDENTIAL LONG TERM,V001090898
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,539.30 ,RESIDENTIAL LONG TERM,V001095954
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,555.46 ,RESIDENTIAL LONG TERM,V001091230
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,555.46 ,RESIDENTIAL LONG TERM,V001096270
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,582.12 ,RESIDENTIAL LONG TERM,V001091068
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,582.12 ,RESIDENTIAL LONG TERM,V001096125
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,613.98 ,RESIDENTIAL LONG TERM,V001090640
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,613.98 ,RESIDENTIAL LONG TERM,V001095693
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,617.94 ,RESIDENTIAL LONG TERM,V001090634
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,617.94 ,RESIDENTIAL LONG TERM,V001095688
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,622.44 ,RESIDENTIAL LONG TERM,V001090845
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001091421
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,623.30 ,RESIDENTIAL LONG TERM,V001096487
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,859.52 ,RESIDENTIAL LONG TERM,V001090841
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,884.70 ,RESIDENTIAL LONG TERM,V001095900
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,-512.67 ,NURSING LONG TERM,V001091094
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,542.22 ,NURSING LONG TERM,V001090999
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,542.22 ,NURSING LONG TERM,V001096056
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,554.68 ,NURSING LONG TERM,V001091527
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,554.68 ,NURSING LONG TERM,V001096618
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,598.12 ,NURSING LONG TERM,V001090864
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,598.12 ,NURSING LONG TERM,V001091405
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,598.12 ,NURSING LONG TERM,V001091584
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,598.12 ,NURSING LONG TERM,V001095925
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,598.12 ,NURSING LONG TERM,V001096463
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,598.12 ,NURSING LONG TERM,V001096673
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,606.12 ,NURSING LONG TERM,V001091312
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,606.12 ,NURSING LONG TERM,V001096366
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,502.94 ,RESIDENTIAL LONG TERM,V001091482
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,502.94 ,RESIDENTIAL LONG TERM,V001096564
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,523.72 ,RESIDENTIAL LONG TERM,V001091136
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,523.72 ,RESIDENTIAL LONG TERM,V001096184
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,553.34 ,RESIDENTIAL LONG TERM,V001091372
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,553.34 ,RESIDENTIAL LONG TERM,V001096434
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,573.40 ,RESIDENTIAL LONG TERM,V001091020
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,573.40 ,RESIDENTIAL LONG TERM,V001096085
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,582.40 ,RESIDENTIAL LONG TERM,V001091275
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,582.40 ,RESIDENTIAL LONG TERM,V001096311
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001091316
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001091567
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001096368
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001096655
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,628.18 ,RESIDENTIAL LONG TERM,V001091250
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,628.18 ,RESIDENTIAL LONG TERM,V001096282
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,736.73 ,ASSESSMENT CARE,V001091042
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,859.52 ,ASSESSMENT CARE,V001091043
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,598.12 ,NURSING LONG TERM,V001095748
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,598.12 ,NURSING LONG TERM,V001095749
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,598.12 ,NURSING LONG TERM,V001095750
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,598.12 ,NURSING LONG TERM,V001095751
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,-859.52 ,NURSING LONG TERM,V001091300
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,859.52 ,NURSING LONG TERM,V001090874
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,859.52 ,NURSING LONG TERM,V001091258
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,859.52 ,NURSING LONG TERM,V001095935
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,859.52 ,NURSING LONG TERM,V001096288
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,03/02/2017,884.70 ,RESIDENTIAL LONG TERM,V001090604
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,17/02/2017,884.70 ,RESIDENTIAL LONG TERM,V001095667
ROCHDALE BOROUGH COUNCIL,14/02/2017,ECONOMY DIRECTORATE,EAST LANCASHIRE RAILWAY TRUST LTD,14/02/2017,1060.50 ,CONSULTANT FEES,V001092265
ROCHDALE BOROUGH COUNCIL,06/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,EBONIUM LIMITED TA BISLEY DIRECT,06/02/2017,1092.93 ,REPAIRS & ALTS OF BUILDINGS,V001085146
ROCHDALE BOROUGH COUNCIL,23/02/2017,PUBLIC HEALTH,EBONIUM LIMITED TA BISLEY DIRECT,23/02/2017,782.00 ,EQUIPMENT - GENERAL,V001098792
ROCHDALE BOROUGH COUNCIL,01/02/2017,FINANCE SERVICES,EBONIUM LIMITED TA BISLEY DIRECT,01/02/2017,4007.41 ,ACTIVITIES,V001087880
ROCHDALE BOROUGH COUNCIL,27/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,ECO FUELS SERVICES LTD,27/02/2017,1500.00 ,PROPERTY - WORKS ELEMENT,V001097008
ROCHDALE BOROUGH COUNCIL,22/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY 1 LIMITED,22/02/2017,1585.94 ,ELECTRICITY,V001098376
ROCHDALE BOROUGH COUNCIL,16/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY 1 LIMITED,16/02/2017,3065.91 ,GAS,V001094743
ROCHDALE BOROUGH COUNCIL,17/02/2017,CHILDREN’S SOCIAL CARE,EDGE HILL UNIVERSITY,17/02/2017,1533.18 ,YOUNG PEOPLES RENTS,V001087960
ROCHDALE BOROUGH COUNCIL,17/02/2017,CHILDREN’S SOCIAL CARE,EDGE HILL UNIVERSITY,17/02/2017,1533.64 ,YOUNG PEOPLES RENTS,V001087951
ROCHDALE BOROUGH COUNCIL,08/02/2017,ECONOMY DIRECTORATE,EDGE HILL UNIVERSITY,08/02/2017,10000.00 ,GRANTS TO THE NON VOLUNTARY SECTOR,V001092593
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EHC MOSTON GRANGE LTD,03/02/2017,1080.00 ,RESIDENTIAL LONG TERM,V001091291
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EHC MOSTON GRANGE LTD,03/02/2017,1080.00 ,RESIDENTIAL LONG TERM,V001091292
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EHC MOSTON GRANGE LTD,03/02/2017,1080.00 ,RESIDENTIAL LONG TERM,V001091293
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EHC MOSTON GRANGE LTD,03/02/2017,1080.00 ,RESIDENTIAL LONG TERM,V001091294
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EHC MOSTON GRANGE LTD,03/02/2017,925.00 ,NURSING LONG TERM,V001091215
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EHC MOSTON GRANGE LTD,03/02/2017,925.00 ,NURSING LONG TERM,V001091216
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EHC MOSTON GRANGE LTD,03/02/2017,925.00 ,NURSING LONG TERM,V001091217
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,EHC MOSTON GRANGE LTD,03/02/2017,925.00 ,NURSING LONG TERM,V001091218
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,ELDERCARE HALIFAX LTD,03/02/2017,1238.60 ,RESIDENTIAL LONG TERM,V001090977
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ELDERCARE HALIFAX LTD,17/02/2017,1238.60 ,RESIDENTIAL LONG TERM,V001096037
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,511.94 ,RESIDENTIAL LONG TERM,V001091149
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,511.94 ,RESIDENTIAL LONG TERM,V001096197
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,547.56 ,RESIDENTIAL LONG TERM,V001091158
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,547.56 ,RESIDENTIAL LONG TERM,V001096210
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,588.28 ,RESIDENTIAL LONG TERM,V001090633
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,588.28 ,RESIDENTIAL LONG TERM,V001095687
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001091276
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001091282
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001096312
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001096331
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,521.26 ,RESIDENTIAL LONG TERM,V001090806
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,521.26 ,RESIDENTIAL LONG TERM,V001095863
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,527.00 ,RESIDENTIAL LONG TERM,V001091430
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,527.00 ,RESIDENTIAL LONG TERM,V001096500
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,540.60 ,RESIDENTIAL LONG TERM,V001090947
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,540.60 ,RESIDENTIAL LONG TERM,V001096006
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,555.40 ,RESIDENTIAL LONG TERM,V001096513
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,569.36 ,RESIDENTIAL LONG TERM,V001091370
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,569.36 ,RESIDENTIAL LONG TERM,V001096432
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,03/02/2017,590.30 ,RESIDENTIAL LONG TERM,V001091529
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/02/2017,590.30 ,RESIDENTIAL LONG TERM,V001096620
