Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Directorate,Supplies and Services,4301,Printing & Stationery,SHAW & SONS LTD,A0002414, 15/10/2015,�74.75,MAN0265547,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,3601,Tprt : Annual Hire Charge,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 15/10/2015,"�2,200.00",OPS0265637,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4405,Veterinary Fees,STANLEY HOUSE VETERINARY GROUP,A0002423, 15/10/2015,�25.00,OPS0265655,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4405,Veterinary Fees,STANLEY HOUSE VETERINARY GROUP,A0002423, 15/10/2015,�30.00,OPS0265656,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,2,Expenditure : Materials,SPALDINGS (UK) LTD,A0002537, 29/10/2015,�126.00,PCO0265886,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 29/10/2015,�13.00,PCO0265873,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 29/10/2015,�17.50,PCO0265873,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 29/10/2015,�22.50,PCO0265873,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 29/10/2015,�29.40,PCO0265873,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 29/10/2015,�35.00,PCO0265873,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 29/10/2015,�44.00,PCO0265873,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 29/10/2015,�50.00,PCO0265873,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 29/10/2015,�55.00,PCO0265873,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 15/10/2015,�175.00,PCO0265560,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,7201,Bank Charges,G4S CASH SOLUTIONS (UK) LIMITED,A0002616, 15/10/2015,�239.52,AAS0265641,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,T & F STEEL DESIGNS LTD,A0002627, 08/10/2015,�15.00,EST0265433,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,T & F STEEL DESIGNS LTD,A0002627, 08/10/2015,�105.00,EST0265433,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,T & F STEEL DESIGNS LTD,A0002627, 08/10/2015,�30.00,HED0265502,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,T & F STEEL DESIGNS LTD,A0002627, 08/10/2015,�40.00,HED0265502,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,T & F STEEL DESIGNS LTD,A0002627, 08/10/2015,�60.00,HED0265501,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,T & F STEEL DESIGNS LTD,A0002627, 08/10/2015,�160.00,HED0265501,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4304,Reference Books Acts,LEXIS NEXIS,A0002634, 29/10/2015,�868.89,AAS0265922,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4601,Seminars etc All Costs,LEXIS NEXIS,A0002634, 01/10/2015,�360.45,HED0265306,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4705,Other Expenses,JOHNSONS TEXICARE LTD,A0002665, 08/10/2015,�75.00,ENV0265478,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,TRAVIS PERKINS TRADING CO LTD,A0002709, 01/10/2015,�28.12,PCO0265233,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,TRAVIS PERKINS TRADING CO LTD,A0002709, 29/10/2015,�52.02,PCO0265881,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,TRAVIS PERKINS TRADING CO LTD,A0002709, 29/10/2015,�166.94,PCO0265882,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,TRAVIS PERKINS TRADING CO LTD,A0002709, 15/10/2015,�67.20,PCO0265612,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,TRAVIS PERKINS TRADING CO LTD,A0002709, 22/10/2015,�73.10,HED0265769,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,TRAVIS PERKINS TRADING CO LTD,A0002709, 22/10/2015,�162.05,PCO0265734,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4707,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 15/10/2015,�37.00,REG0265557,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4707,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 22/10/2015,�60.00,REG0265774,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4707,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 22/10/2015,�60.00,REG0265776,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4707,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 22/10/2015,�60.00,REG0265778,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4707,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 22/10/2015,�61.55,REG0265775,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4707,Miscellaneous : Other,TRAVIS PERKINS TRADING CO LTD,A0002709, 22/10/2015,�120.00,REG0265777,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,WICKSTEED LEISURE LTD,A0004748, 01/10/2015,�15.00,PCO0265229,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,WICKSTEED LEISURE LTD,A0004748, 22/10/2015,�8.50,PCO0265722,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,WICKSTEED LEISURE LTD,A0004748, 22/10/2015,�100.00,PCO0265722,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,WICKSTEED LEISURE LTD,A0004748, 01/10/2015,�169.00,PCO0265229,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2102,Grounds : Vandalism Repairs,WICKSTEED LEISURE LTD,A0004748, 01/10/2015,�90.00,PCO0265226,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2102,Grounds : Vandalism Repairs,WICKSTEED LEISURE LTD,A0004748, 01/10/2015,"�1,197.00",PCO0265226,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4301,Printing & Stationery,CHILD POVERTY ACTION GROUP,A0004890, 29/10/2015,�100.99,AAS0265921,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�98.79,EST0265623,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�164.66,EST0265623,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�37.80,EST0265616,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�45.00,EST0265616,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�79.76,EST0265615,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�94.95,EST0265615,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�113.80,EST0265614,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�136.26,EST0265614,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 01/10/2015,�35.00,EST0265246,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�37.80,EST0265619,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�39.31,EST0265613,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�45.00,EST0265619,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�46.80,EST0265613,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�53.30,EST0265620,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 01/10/2015,�59.00,EST0265246,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�63.45,EST0265620,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�79.51,EST0265618,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�95.20,EST0265618,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 01/10/2015,�105.00,EST0265258,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�114.55,EST0265622,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 15/10/2015,�137.16,EST0265622,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 01/10/2015,�197.66,EST0265258,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,FAST GLASS LIMITED,A0005903, 01/10/2015,�65.00,HED0265313,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,FAST GLASS LIMITED,A0005903, 01/10/2015,�153.87,HED0265313,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,FAST GLASS LIMITED,A0005903, 29/10/2015,�166.00,HED0265903,No,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,4601,Seminars etc All Costs,Redacted - Personal Data,A0007326, 29/10/2015,�18.80,MAN0265907,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BARCHAM TREES PLC,A0007884, 29/10/2015,�795.00,PCO0265879,No,N/A,N,N/A
Pendle Borough Council,Property Services,Indirect Employee Expenses,1261,Staff Refreshments,VENDA VALET (MACHINES) LTD,A0009649, 08/10/2015,�216.67,EST0265440,No,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,POLICE & CRIME COMMISSIONER FOR LANCASHIRE,A0009816, 01/10/2015,"�16,500.00",COR0265222,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,RAILSIDE TRADING CO.,A0010378, 01/10/2015,�18.50,HED0265308,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,RAILSIDE TRADING CO.,A0010378, 01/10/2015,�23.00,HED0265308,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,RAILSIDE TRADING CO.,A0010378, 01/10/2015,�30.70,HED0265308,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,RAILSIDE TRADING CO.,A0010378, 01/10/2015,�33.24,HED0265308,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,RAILSIDE TRADING CO.,A0010378, 01/10/2015,�54.60,HED0265308,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,RAILSIDE TRADING CO.,A0010378, 01/10/2015,�83.40,HED0265308,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2002,Bldgs : R & M : Abnormal,CPC PROP & GARDENING SERV LTD,A0011770, 01/10/2015,�890.00,HED0265205,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,2002,Bldgs : R & M : Abnormal,CPC PROP & GARDENING SERV LTD,A0011770, 22/10/2015,�120.00,ENV0265816,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,CD14,Capital : Payments,CPC PROP & GARDENING SERV LTD,A0011770, 08/10/2015,�160.00,HMR0265419,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4601,Seminars etc All Costs,PENDLE LEISURE LTD,A0012961, 01/10/2015,�250.00,HED0265203,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4705,Other Expenses,PENDLE LEISURE LTD,A0012961, 01/10/2015,"�940,100.00",AAS0265359,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Capital Costs,CD14,Capital : Payments,PENDLE LEISURE LTD,A0012961, 08/10/2015,"�7,700.00",REG0265442,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2001,Bldgs : R & M : Day To Day,WM SMITH & SONS (BARNARD CASTLE),A0013824, 08/10/2015,�54.50,HED0265499,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2001,Bldgs : R & M : Day To Day,WM SMITH & SONS (BARNARD CASTLE),A0013824, 08/10/2015,�209.94,HED0265499,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,WM SMITH & SONS (BARNARD CASTLE),A0013824, 08/10/2015,�105.53,HED0265499,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,,9302,Fees Income : Non-VATable,SPAIN BUILDING & MAINTENANCE,A0015325, 22/10/2015,"�1,036.35",HMR0265719,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4002,EFM : Office and computer equipment,ORCHARD RECYCLING SERVICE,A0015803, 08/10/2015,"�1,354.50",OPS0265417,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4002,EFM : Office and computer equipment,ORCHARD RECYCLING SERVICE,A0015803, 29/10/2015,"�1,404.90",OPS0265908,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4002,EFM : Office and computer equipment,ORCHARD RECYCLING SERVICE,A0015803, 15/10/2015,"�1,423.80",OPS0265586,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4007,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 22/10/2015,"�1,467.90",OPS0265754,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4007,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 01/10/2015,"�1,505.70",OPS0265219,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 29/10/2015,-�93.53,HED0265868,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 29/10/2015,-�90.46,HED0265867,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 08/10/2015,-�46.12,HED0265484,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 01/10/2015,-�37.07,HED0265300,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 29/10/2015,-�20.00,HED0265866,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 29/10/2015,-�10.00,HED0265865,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 29/10/2015,�10.00,HED0265865,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 29/10/2015,�20.00,HED0265866,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 01/10/2015,�37.07,HED0265300,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 08/10/2015,�46.12,HED0265484,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 29/10/2015,�90.46,HED0265867,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4419,LCC Levy (Admins Costs),JACOBS,A0016294, 29/10/2015,�93.53,HED0265868,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,AUTO SMART,A0016358, 08/10/2015,�272.30,PCO0265370,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Indirect Employee Expenses,1217,Emp : Training : General,ABC AWARDS,A0017706, 29/10/2015,�49.20,REG0265835,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,A & M TODD & SON LIMITED,A0018148, 01/10/2015,�895.00,EST0265251,No,N/A,N,N/A
Pendle Borough Council,Human Resources,,9399,Payroll deductions,HEALTHSHIELD,A0018488, 15/10/2015,-�5.29,PER0265676,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,1013,Emp : Training : Courses,KEEP BRITAIN TIDY,A0021088, 01/10/2015,�997.50,OPS0265302,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4705,Other Expenses,KEEP BRITAIN TIDY,A0021088, 01/10/2015,�997.50,OPS0265302,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,DRAIN BUSTERS,A0021656, 29/10/2015,�85.00,PCO0265870,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4707,Miscellaneous : Other,ASPEN VALLEY KENNELS & CATTERY,A0022106, 15/10/2015,"�1,160.00",OPS0265654,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,ECOGEN,A0022890, 15/10/2015,"�2,080.00",HED0265593,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,E.ON,A0023073, 08/10/2015,�151.05,HMR0265497,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2202,Gas,E.ON,A0023073, 01/10/2015,�8.74,AAS0265289,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2202,Gas,E.ON,A0023073, 29/10/2015,�16.19,AAS0265954,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,E.ON,A0023073, 29/10/2015,�35.03,EST0265939,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,E.ON,A0023073, 29/10/2015,-�0.83,EST0265952,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,E.ON,A0023073, 29/10/2015,�2.06,EST0265952,No,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4301,Printing & Stationery,PETER SCOTT PRINTERS LTD,A0024985, 15/10/2015,�595.00,COR0265564,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3601,Tprt : Annual Hire Charge,ALD AUTOMOTIVES,A0025555, 26/10/2015,�244.87,AAS0265856,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,RIPON FARM SERVICES,A0025562, 15/10/2015,�32.29,PCO0265558,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,RIPON FARM SERVICES,A0025562, 15/10/2015,�37.58,PCO0265559,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4705,Other Expenses,GRADKO INTERNATIONAL LTD,A0025806, 01/10/2015,�4.65,ENV0265314,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4705,Other Expenses,GRADKO INTERNATIONAL LTD,A0025806, 29/10/2015,�4.65,ENV0265974,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4705,Other Expenses,GRADKO INTERNATIONAL LTD,A0025806, 01/10/2015,�216.55,ENV0265314,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4705,Other Expenses,GRADKO INTERNATIONAL LTD,A0025806, 29/10/2015,�216.55,ENV0265974,No,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2702,Service Charge,BARNFIELD INVESTMENT PROPERTIES LTD,A0026595, 08/10/2015,�709.75,AAS0265448,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4401,Consultants Fees,PENNINE EVENTS LIMITED,A0027128, 01/10/2015,"�4,000.00",HED0265206,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2001,Bldgs : R & M : Day To Day,LITE,A0040032, 15/10/2015,�60.50,HED0265661,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,LITE,A0040032, 15/10/2015,�390.50,HED0265662,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4801,Renewals & Repairs Fund,LITE,A0040032, 15/10/2015,�478.50,HED0265602,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0040331, 22/10/2015,-�9.04,EST4004825,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,BRITISH GAS BUSINESS,A0040331, 22/10/2015,�10.04,EST0265808,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,4001,EFM : Photocopiers,CANON (UK) LIMITED,A0040400, 01/10/2015,�171.65,HMR0265231,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4301,Printing & Stationery,CANON (UK) LIMITED,A0040400, 22/10/2015,"-�2,170.71",OPS4004822,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4301,Printing & Stationery,CANON (UK) LIMITED,A0040400, 22/10/2015,-�440.14,OPS4004823,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4301,Printing & Stationery,CANON (UK) LIMITED,A0040400, 01/10/2015,�411.17,OPS0265186,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4301,Printing & Stationery,CANON (UK) LIMITED,A0040400, 22/10/2015,�440.14,OPS0265753,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4301,Printing & Stationery,CANON (UK) LIMITED,A0040400, 22/10/2015,�463.39,OPS0265751,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4301,Printing & Stationery,CANON (UK) LIMITED,A0040400, 22/10/2015,�730.77,OPS0265750,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4301,Printing & Stationery,CANON (UK) LIMITED,A0040400, 22/10/2015,"�1,704.56",OPS0265752,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4301,Printing & Stationery,CANON (UK) LIMITED,A0040400, 22/10/2015,�233.68,OPS0265780,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Premises Related Expense,2301,Rents,ROLLS ROYCE LEISURE,A0040636, 29/10/2015,�350.00,DAL0265995,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,PENNINE FIRE & SAFETY LTD,A0040931, 08/10/2015,�128.90,EST0265436,No,N/A,N,N/A
