Publisher Label,Publisher URI,"Contract Reference","Title of the Agreement","Directorate or service responsible","Description of goods and services","Procurement classification: CPV code","Procurement classification: CPV label","Procurement classification: Proclass code","Procurement classification: Proclass label","Start date","End date","Review date","Contract value","Irrecoverable VAT","Supplier name","Supplier registered company number","Supplier registered company number Uri","Supplier registered charity number","Supplier registered charity number Uri","SME supplier","VCSE supplier","Tender type"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CLDVQ","Passenger Transport Services for Vulnerable Children,Young People and Adults","Regeneration, Economic Development & Environment","Passenger Transport Services for Vulnerable Children,Young People and Adults","60130000","Special-purpose road passenger-transport services","361300","Public Transport",18/07/2012 00:00:00,17/07/2016 00:00:00,18/07/2015 00:00:00,571857,0,"Welcome Cars Ltd","6802197","https://beta.companieshouse.gov.uk/company/6802197","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CLDZ2","Passenger Transport Services for Vulnerable Children, Youngl People and Adults","Regeneration, Economic Development & Environment","Passenger Transport Services for Vulnerable Children, Youngl People and Adults","60130000","Special-purpose road passenger-transport services","361300","Public Transport",18/07/2012 00:00:00,17/07/2016 00:00:00,18/07/2015 00:00:00,571857,0,"A-Z Associates Ltd. T/A Westside Cars","4344450","https://beta.companieshouse.gov.uk/company/4344450","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CLE3J","Passenger Transport Services for Vulnerable Children,Young People and Adults","Regeneration, Economic Development & Environment","Passenger Transport Services for Vulnerable Children,Young People and Adults","60130000","Special-purpose road passenger-transport services","361300","Public Transport",18/07/2012 00:00:00,17/07/2016 00:00:00,18/07/2015 00:00:00,571857,0,"Wheel get You There Ltd","4621387","https://beta.companieshouse.gov.uk/company/4621387","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CLE6Q","Passenger Transport Services for Vulnerable Children,Young People and Adults","Regeneration, Economic Development & Environment","Passenger Transport Services for Vulnerable Children,Young People and Adults","60130000","Special-purpose road passenger-transport services","361300","Public Transport",18/07/2012 00:00:00,17/07/2016 00:00:00,18/07/2015 00:00:00,571857,0,"CRUISE MINIBUSES LTD","6164000","https://beta.companieshouse.gov.uk/company/6164000","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CLEFA","Passenger Transport Services for Vulnerable Children, Young People and Adults","Regeneration, Economic Development & Environment","Passenger Transport Services for Vulnerable Children, Young People and Adults","60130000","Special-purpose road passenger-transport services","361300","Public Transport",18/07/2012 00:00:00,17/07/2016 00:00:00,18/07/2015 00:00:00,571857,0,"Manor Wheels","8263752","https://beta.companieshouse.gov.uk/company/8263752","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C9KSR","Government Procurement Cards","Corporate Resources","Government Procurement Cards","66110000","Banking services","201200","Financial Services",01/08/2012 00:00:00,31/07/2016 00:00:00,01/11/2015 00:00:00,210000,0,"Royal Bank of Scotland plc","SC090312","https://beta.companieshouse.gov.uk/company/SC090312","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJNB","Agreement for the Provision of Cycle Training Services 2012","Road Safety Education Team Leader","Agreement for the Provision of Cycle Training Services 2012","34430000","Bicycles","381700","Vehicle Management",13/08/2012 00:00:00,12/08/2015 00:00:00,13/08/2013 00:00:00,135000,0,"MP Building Ltd","5166608","https://beta.companieshouse.gov.uk/company/5166608","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJMV","Serengeti EDMS Solutions","Hounslow Homes","Serengeti EDMS Solutions","48000000","Software package and information systems","279999","Information Communication Technology",21/08/2012 00:00:00,20/08/2015 00:00:00,21/08/2013 00:00:00,28875,0,"BancTec Limited,","1283512","https://beta.companieshouse.gov.uk/company/1283512","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJMY","Parking & Traffic CCTV Control Room and Wireless Net Work","Street Management","Parking & Traffic CCTV Control Room and Wireless Net Work","35120000","Surveillance and security systems and devices","C10.1N ES","",01/09/2012 00:00:00,31/08/2015 00:00:00,01/09/2013 00:00:00,91500,0,"Cognetix Ltd","",,"",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C9KXR","E- Tendering","Supply Chain","E- Tendering","48490000","Procurement software package","271430","Information Communication Technology",20/09/2012 00:00:00,19/09/2016 00:00:00,19/09/2015 00:00:00,50000000,0,"Due North Ltd","4499218","https://beta.companieshouse.gov.uk/company/4499218","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9G9E6K","Energy Purchasing Corporate Contract","REDE","Energy Purchasing Corporate Contract","65400000","Other sources of energy supplies and distribution","379999","Utilities",01/10/2012 00:00:00,30/09/2016 00:00:00,01/10/2015 00:00:00,142000,0,"Kent County Council","",,"",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJPF","Universal Preventative Health & Well-being Services for Adults Lot 3 Improved Health & Well Being","Wellbeing","Universal Preventative Health & Well-being Services for Adults Lot 3 Improved Health & Well Being","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/10/2012 00:00:00,30/09/2015 00:00:00,01/10/2014 00:00:00,70000,0,"St Mary's University","5977277","https://beta.companieshouse.gov.uk/company/5977277","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJL3","Agreement relating to the provision of Hosting Services for Adult & Childrens Social Services","SCM","Agreement relating to the provision of Hosting Services for Adult & Childrens Social Services","72260000","Software-related services","279999","Information Communication Technology",01/11/2012 00:00:00,30/11/2014 00:00:00,30/05/2014 00:00:00,570000,0,"McKesson Information Solutions UK Ltd","2507035","https://beta.companieshouse.gov.uk/company/2507035","",,"","","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CAE65","Converged Network Service Procurement","Corporate Resources","Converged Network Service Procurement","72700000","Computer network services","279999","Information Communication Technology",01/12/2012 00:00:00,01/12/2015 00:00:00,01/10/2014 00:00:00,45000,0,"Logicalis UK Limited","3732397","https://beta.companieshouse.gov.uk/company/3732397","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9L8DKS","Contract for the Provision of in care support programme service to monitor daily school attendance of looked after children","SCM","Contract for the Provision of in care support programme service to monitor daily school attendance of looked after children","98390000","Other services","329999","Social Community Care Supplies & Services�",01/12/2012 00:00:00,30/11/2015 00:00:00,30/09/2015 00:00:00,14623,0,"Welfare Call","6835794","https://beta.companieshouse.gov.uk/company/6835794","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLR","Provision Of Incare Support Programme service to monitor daily school attendance of looked after Children (LAC)","Childrens Services & Life Long Learning","Provision Of Incare Support Programme service to monitor daily school attendance of looked after Children (LAC)","85311300","Welfare services for children and young people","329999","Social Community Care Supplies & Services�",01/12/2012 00:00:00,30/11/2015 00:00:00,01/05/2015 00:00:00,500000000,0,"Welfare Call","6835794","https://beta.companieshouse.gov.uk/company/6835794","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6DEN","Highways Maintenance","Environment","Highways Maintenance","45000000","Construction work","399999","Works - Construction, Repair & Maintenance",01/01/2013 00:00:00,31/12/2037 00:00:00,04/07/2036 00:00:00,800000000,0,"Hounslow Highways Services Limited","8114900","https://beta.companieshouse.gov.uk/company/8114900","",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJP4","Term Contract for Drainage,Bridge maintenance & Minor Works","Supplier Performance","Term Contract for Drainage,Bridge maintenance & Minor Works","50000000","Repair and maintenance services","No Match","",01/01/2013 00:00:00,01/01/2038 00:00:00,01/01/2014 00:00:00,800000000,0,"Ringway Infrastructure Services","2756434","https://beta.companieshouse.gov.uk/company/2756434","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJPT","Main Body Schedules of the Project Agreement in Respect of Hounslow Highways Maintenance PFI Project","Supplier Peformance","Main Body Schedules of the Project Agreement in Respect of Hounslow Highways Maintenance PFI Project","71311220","Highways engineering services","399999","Works - Construction, Repair & Maintenance",01/01/2013 00:00:00,31/12/2038 00:00:00,01/01/2034 00:00:00,6278000,0,"Hounslow Highways Services Ltd","8114900","https://beta.companieshouse.gov.uk/company/8114900","",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJJU","Consultant Services for Schools Expansion Programme 2012-2016","REDE","Consultant Services for Schools Expansion Programme 2012-2016","71315200","Building consultancy services","399999","Works - Construction, Repair & Maintenance",02/01/2013 00:00:00,01/01/2017 00:00:00,02/01/2016 00:00:00,129000,0,"Pick Everard","1276837","https://beta.companieshouse.gov.uk/company/1276837","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJL4","Access Agreement for the supply and Delivery of Fruit & Vegetables","Supply Chain Management","Access Agreement for the supply and Delivery of Fruit & Vegetables","15300000","Fruit, vegetables and related products","111200","Catering",04/01/2013 00:00:00,04/01/2017 00:00:00,04/07/2016 00:00:00,23206.5,0,"PRESCOTT-THOMAS","600075","https://beta.companieshouse.gov.uk/company/600075","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9RLEHY","IT- Support & Maintenance - Logicalis","corporate resources","IT- Support & Maintenance - Logicalis","72253200","Systems support services","271300","Information Communication Technology",14/01/2013 00:00:00,13/01/2016 00:00:00,01/08/2015 00:00:00,275807.35,0,"Logicalis UK Limited","3732397","https://beta.companieshouse.gov.uk/company/3732397","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CFDD","Office waste/recycling and confidential waste contract","Rede","Office waste/recycling and confidential waste contract","90000000","Sewage, refuse, cleaning and environmental services","182000","Environmental Services",14/01/2013 00:00:00,11/01/2016 00:00:00,01/10/2015 00:00:00,275807,0,"Bywaters (Leyton) Ltd","505212","https://beta.companieshouse.gov.uk/company/505212","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9KQJCZ","Supporting Independence service,housing","REDE","Supporting Independence service,housing","98000000","Other community, social and personal services","329999","Social Community Care Supplies & Services�",22/01/2013 00:00:00,21/01/2017 00:00:00,01/10/2016 00:00:00,7200000,0,"LondonBorough of Hounslow","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJJM","Service Level Agreement for the Supporting Independence Service","Supported housing","Service Level Agreement for the Supporting Independence Service","70333000","Housing services","191700","Facilities & Management Services",22/01/2013 00:00:00,21/01/2017 00:00:00,21/07/2016 00:00:00,7200000,0,"SME Status not set,
VCS Status not set,","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJK9","Pollocks Lifts Limited","REDE","Pollocks Lifts Limited","42416100","Lifts","191400","Facilities & Management Services",28/01/2013 00:00:00,27/01/2017 00:00:00,28/07/2016 00:00:00,72000,0,"Pollock Lifts","NI 18971","https://beta.companieshouse.gov.uk/company/NI 18971","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKA","Terry Group Limited","REDE","Terry Group Limited","98390000","Other services","329999","Social Community Care Supplies & Services�",28/01/2013 00:00:00,27/01/2017 00:00:00,28/07/2016 00:00:00,7200000,0,"Terry Group Ltd","1683339","https://beta.companieshouse.gov.uk/company/1683339","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKB","Agreement for Supply of Products and Services - Lot 1","REDE","Agreement for Supply of Products and Services - Lot 1","98390000","Other services","329999","Social Community Care Supplies & Services�",28/01/2013 00:00:00,27/01/2017 00:00:00,27/01/2016 00:00:00,7200000,0,"Handicare Accessibility Ltd","4109093","https://beta.companieshouse.gov.uk/company/4109093","",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKC","Wessex Lift Co Ltd","REDE","Wessex Lift Co Ltd","42416100","Lifts","191400","Facilities & Management Services",28/01/2013 00:00:00,27/01/2017 00:00:00,28/07/2016 00:00:00,7200000,0,"Wessex Lift Co Ltd","1269836","https://beta.companieshouse.gov.uk/company/1269836","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKD","Stannah lift Services Ltd","REDE","Stannah lift Services Ltd","42416100","Lifts","191400","Facilities & Management Services",28/01/2013 00:00:00,27/01/2017 00:00:00,28/07/2016 00:00:00,347127.28,0,"Stannah Lift Services Ltd","1189799","https://beta.companieshouse.gov.uk/company/1189799","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKE","Nova Lift Company Ltd","REDE","Nova Lift Company Ltd","42416100","Lifts","191400","Facilities & Management Services",28/01/2013 00:00:00,27/01/2017 00:00:00,28/07/2016 00:00:00,7200000,0,"N L C Nova Lift Company Limited","3423173","https://beta.companieshouse.gov.uk/company/3423173","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9P2KNJ","Supporting People Services Agreement Call-off awarded by mini-competition for Defined Services","corporate resources","Supporting People Services Agreement Call-off awarded by mini-competition for Defined Services","98390000","Other services","329999","Social Community Care Supplies & Services�",01/02/2013 00:00:00,31/01/2017 00:00:00,01/03/2016 00:00:00,55909,0,"RADICLE","3135106","https://beta.companieshouse.gov.uk/company/3135106","",,"No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Sunbeam Fostering Agency Limited","",,"",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Pride Fostering","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Nexus Fostering,
1 Grace House","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"National Fostering Agency Ltd","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"UK Fostering Ltd","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Chrysalis Care,
Kings House","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Foster Care Associates","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Cornerways Fostering Services","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Brighter Futures foster Care","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Time for Children","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Capstone Vision Foster Care","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"BRIDGING GAPS Fostering Agency","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Children First Fostering Agency Limited","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Connect Family Placements Limited","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"RAINBOW FOSTERING SERVICE","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Next Step Fostering","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Ethelbert Childrens Services","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"By the Bridge Limited","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Fostering Options","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Families for Children","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Fostering Solutions","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Fostering Outcomes Ltd","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Outlook","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Hillcrest Care Ltd","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Greater london fostering","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"The Fostering Foundation(London) Ltd","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Futures for Children","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLC","The West London Housing related Support Services Framework","Supported housing","The West London Housing related Support Services Framework","70333000","Housing services","191700","Facilities & Management Services",26/02/2013 00:00:00,09/09/2016 00:00:00,09/03/2016 00:00:00,55909,0,"Safehouses","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLK","Independent NHS Complaints Advocacy Services","Health and Well Being","Independent NHS Complaints Advocacy Services","85312300","Guidance and counselling services","329999","Social Community Care Supplies & Services�",01/03/2013 00:00:00,28/02/2017 00:00:00,01/03/2014 00:00:00,55909,0,"Royal Borough of Greenwich","",,"",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKH","Access Agreement","Health and Well Being","Access Agreement","98390000","Other services","329999","Social Community Care Supplies & Services�",08/03/2013 00:00:00,28/02/2017 00:00:00,28/08/2016 00:00:00,7100000,0,"Barnet Council","",,"",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKS","Access Agreement Independent NHS Complaints Advocacy Services","Health and Well Being","Access Agreement Independent NHS Complaints Advocacy Services","85312300","Guidance and counselling services","329999","Social Community Care Supplies & Services�",08/03/2013 00:00:00,28/02/2017 00:00:00,28/08/2016 00:00:00,55909,0,"London Borough of Hackney","",,"",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9J3ETX","Framework Agreement for Independent NHS Complaints Advocacy Services","REDE","Framework Agreement for Independent NHS Complaints Advocacy Services","79100000","Legal services","289999","Legal Services",21/03/2013 00:00:00,21/03/2015 00:00:00,11/01/2015 00:00:00,55909,0,"Voiceability","",,"",,"No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKW","Access Agreement Independent NHS Complaints Advocacy Services","Health and Well Being","Access Agreement Independent NHS Complaints Advocacy Services","85312300","Guidance and counselling services","329999","Social Community Care Supplies & Services�",21/03/2013 00:00:00,31/03/2017 00:00:00,01/10/2016 00:00:00,55909,0,"L B Ealing","",,"",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKX","Access Agreement Independent NHS Complaints Advocacy Services","Health and Well Being","Access Agreement Independent NHS Complaints Advocacy Services","85312300","Guidance and counselling services","329999","Social Community Care Supplies & Services�",21/03/2013 00:00:00,28/02/2017 00:00:00,21/03/2014 00:00:00,55909,0,"LONDON BOROUGH OF MERTON","",,"",,"No","Yes","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJKY","Access Agreement Independent NHS Complaints Advocacy Services","Health and Well Being","Access Agreement Independent NHS Complaints Advocacy Services","85312300","Guidance and counselling services","329999","Social Community Care Supplies & Services�",25/03/2013 00:00:00,07/03/2017 00:00:00,07/09/2016 00:00:00,55909,0,"London Borough of Haringey","",,"",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLF","Independent NHS Complaints Advocacy Services","Health and Well Being","Independent NHS Complaints Advocacy Services","85312300","Guidance and counselling services","329999","Social Community Care Supplies & Services�",25/03/2013 00:00:00,28/02/2017 00:00:00,25/03/2014 00:00:00,55909,0,"London Borough of Lewisham","",,"",,"No","No","RFQ"
