Account Holder1,Liable From,Rateable Value,% Mandatory relief,% Discretionary relief, % small business rate relief,Empty property,Empty From,Address,Addr2,Addr3,Addr4,Postcode,Exemption reason,Description Code,Property Description,Property reference
ARCH ESTATE AGENTS LTD T/A YOUR MOVE,14/02/2011,10500,0,0,0,,,GROUND FLOOR,50 AUSTHORPE ROAD,LEEDS,,LS15 8DX,,CS,Shop and Premises,2110060655685
ASK RESTAURANTS LTD T/A ZAIN,01/04/2005,66500,0,0,0,,,UNIT 2,CLOTH HALL STREET,LEEDS,,LS1 2HD,,CR,RESTAURANT AND PREMISES,2055036425821
RICHARD ASTON T/AS ASTON PROPERTY MANAGEMENT,01/04/2000,3750,0,0,100,,,10 ASH ROAD,HEADINGLEY,LEEDS,,LS6 3JF,,CO,OFFICES AND PREMISES,2120038311740
PATHVALLEY LTD T/AS COHENS CHEMIST,15/10/2007,4450,0,0,0,,,5A SHAFTON LANE,HOLBECK,LEEDS,,LS11 9LY,,CS,SHOP AND PREMISES,2051411317572
STRATEGY SCHEDULE LTD T/AS EHS,01/04/2010,3000,0,0,0,,,UNIT 3 AT,39 HIGH STREET,KIPPAX,LEEDS,LS25 7AF,,CS7,SHOWROOM AND PREMISES,2262376361180
HAIGHS (GUISELEY) LTD T/AS HAIGHS BAKERY,01/12/2006,3350,0,0,0,,,GROUND FLOOR,30A OTLEY ROAD,GUISELEY,LEEDS,LS20 8AH,Industrial Property,IF3,WORKSHOP AND PREMISES,2222115358498
MIXING TIME LTD T/AS LIVING CARE GROUP,06/12/2005,14000,0,0,0,,,PHARMACY AT,PARKSIDE COMMUNITY HEALTH CENTRE,311 DEWSBURY ROAD,LEEDS,LS11 5NN,,CS,SHOP AND PREMISES,2020186445709
MCLAREN DICK & CO LTD T/AS MCLARENS TOPLIS,01/04/2000,151000,0,0,0,,,PART GROUND FLOOR,2 THE EMBANKMENT,SOVEREIGN STREET,LEEDS,LS1 4BJ,,CO,OFFICES AND PREMISES,2053661338776
M & N COMMODITIES LTD T/AS PREMIER METALS,21/10/2013,16000,0,0,0,,,279 TONG ROAD,LEEDS,,,LS12 4NQ,Industrial Property,CW,Warehouse and Premises,2214111304869
STEFFCO LTD T/AS RESOURCE PRINT SOLUTIONS,01/03/2013,76000,0,0,0,Y,01/03/2013,JOHN PETERS FURNISHINGS LTD,78 ARMLEY ROAD,ARMLEY,LEEDS,LS12 2EJ,Z,CS10,RETAIL WAREHOUSE AND PREMISES,2050031328503
D BULLOCK LTD T/AS SHOE RENEW,01/04/2000,7500,0,0,75,,,122 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AH,,CS,SHOP AND PREMISES,2332284313021
DK SIGNS LTD T/AS SIGNS EXPRESS (LEEDS EAST),01/12/2003,11000,0,0,17,,,2 LEODIS COURT,LEEDS,,,LS11 5JJ,Industrial Property,CW,WAREHOUSE AND PREMISES,2054648354015
NIGEL WYATT & CO LTD T/AS WYATT & CO,01/04/2000,7200,0,0,80,,,125 MAIN STREET,GARFORTH,LEEDS,,LS25 1AF,,CS,SHOP AND PREMISES,2272301314649
PAUL SHAKESHAFT & RACHEL FORD T/AS YAZZ NO 1 HAIR STUDIOS,03/04/2010,6400,0,0,0,,,14 OTLEY ROAD,GUISELEY,LEEDS,,LS20 8AH,,CS,SHOP AND PREMISES,2222115313631
JHP GROUP LTD T/S JHP TRAINING,09/08/2010,27250,0,0,0,,,GROUND FLOOR UNIT 11,UNITED BUSINESS PARK,LOWFIELDS ROAD,LEEDS,LS12 6BS,,CO,OFFICES AND PREMISES,2053828647755
JUPITER HOTELS LTD TA MERCURE,30/09/2011,171000,0,0,0,,,RAMADA JARVIS LEEDS,OTLEY ROAD,LEEDS,,LS16 8AG,,CH,HOTEL AND PREMISES,2061172362834
SAMUEL SMITH OLD BREWERY TADCASTER,01/04/2000,33000,0,0,0,,,GENERAL ELLIOTT,VICAR LANE,LEEDS,,LS2 7NL,Listed Building,CL,PUBLIC HOUSE AND PREMISES,2051701315624
SAMUEL SMITH OLD BREWERY TADCASTER LTD,01/04/2000,34500,0,0,0,,,MOOR HOUSE INN,MOOR CRESCENT,HUNSLET,LEEDS,LS11 5NQ,,CL,PUBLIC HOUSE AND PREMISES,2051068315682
THE ALLBRIGHT FACILITIES GROUP L TD,24/10/2013,2375,0,0,100,,,SUITE 3,BANK HOUSE,PARKFIELD STREET,LEEDS,LS11 5PH,,CO,Office,2053639647128
LEARNING INNOVATIONS TRAINING TEAM LTD,01/06/2010,12250,0,0,0,,,THE COACH HOUSE,75 ALLERTON HILL,CHAPEL ALLERTON,LEEDS,LS7 3QB,,CO,OFFICES AND PREMISES,2040014323143
ALTMAN INTEGRATED TECHNOLOGIES LTD,01/04/2013,17750,0,0,0,,,PART GROUND FLOOR - UNIT 2,HAWTHORN PARK,COAL ROAD,LEEDS,LS14 1PQ,,CO,OFFICES AND PREMISES,2180361421673
BEACON COMMUNICATIONS TECHNOLOGY (NORTH) LTD,01/10/2000,3250,0,0,100,,,1 KILDARE TERRACE,LEEDS,,,LS12 1DB,Industrial Property,IF3,WORKSHOP AND PREMISES,2054137304452
HORSFORTH (THROSTLE NEST) TENNIS CLUB,01/04/2000,2275,0,25,100,,,HORSFORTH TENNIS CLUB,NEWLAY WOOD DRIVE,HORSFORTH,LEEDS,LS18 4LL,,LX,TENNIS COURTS AND PREMISES,2332266313480
TUTKU LTD T/A THE OLIVE BRANCH,01/04/2013,14500,0,0,0,,,UNIT 2,139 STREET LANE,ROUNDHAY,LEEDS,LS8 1AA,,CR,RESTAURANT AND PREMISES,2201544331122
ARMLEY JUNIORS PROJECT FOR YOUNG THE OPEN ACCESS ZONE,27/03/2004,3800,0,50,100,,,26 HEIGHTS DRIVE,ARMLEY,LEEDS,,LS12 3SU,,CS,SHOP AND PREMISES,2210771315353
PRESSISION LTD THE PRINT LAB,16/04/2007,22250,0,0,0,,,UNIT 2,KINGSMARK COURT,INTERCITY WAY,LEEDS,LS13 4LY,Industrial Property,CW,WAREHOUSE AND PREMISES,2323549361444
CITY CABS ASSOCIATION ,10/08/2007,6500,0,0,92,,,6 PICKERING STREET,LEEDS,,,LS12 2QG,,CO,OFFICES AND PREMISES,2104124303826
MBW CORPORATION LTD THE SPICE QUARTER,01/10/2012,17500,0,0,0,,,225-227 SELBY ROAD,HALTON,LEEDS,,LS15 0DN,,CR,RESTAURANT AND PREMISES,2111392605002
YORKSHIRE COLLEGE OF BEAUTY THERAPY LTD,01/12/2010,19750,0,0,0,,,2ND FLOOR UNIT 5,REGENCY HOUSE,"5 THE GREEN, YEADON",LEEDS,LS19 7EP,,CO,Offices and Premises,2222185331443
WOMENS COUNSELLING AND THERAPY SERVICE,01/04/2000,11500,80,0,0,,,"3RD FLOOR, OXFORD CHAMBERS",OXFORD PLACE,LEEDS,,LS1 3AU,Listed Building,CO,OFFICES AND PREMISES,2054347308382
THOMAS WRIGHT THORITE GROUP LTD,18/12/2006,19250,0,0,0,,,UNIT 4,RIVERSIDE PLACE,BRIDGEWATER ROAD,LEEDS,LS9 0RQ,Industrial Property,CW,WAREHOUSE AND PREMISES,2174530335750
SACKVILLE UKPEC1 LEEDS (GP) LTD THREADNEEDLE LTD,06/01/2014,11500,0,0,0,Y,01/04/2014,SU 3.13,THE CORE,THE HEADROW,LEEDS,LS1 6JD,,CS,Shop and Premises,2054445100890
SACKVILLE UKPEC1 LEEDS (GP) LTD THREADNEEDLE LTD,16/04/2012,3800,0,0,0,Y,16/04/2012,BASEMENT STORE 1:5,HEADROW SHOPPING CENTRE,LEEDS,,LS1 6JE,Industrial Property,CW3,STORE AND PREMISES,2054445337153
AIRE COMMERCIALS LTD & TIMEC 1205 LLP,24/03/2014,77000,0,0,0,Y,24/03/2014,LLOYDS BANK PLC PT GRD FLR,ACCLAIM HOUSE,NEW LANE,LEEDS,LS11 5UF,,CO,OFFICES AND PREMISES,2054437361022
AIRE COMMERCIALS LTD & TIMEC 1205 LLP,24/03/2014,66000,0,0,0,Y,24/03/2014,PT 1ST FLOOR,LONDON HOUSE,NEW LANE,LEEDS,LS11 5DZ,,CO,OFFICES AND PREMISES,2054437367127
AIRE COMMERCIALS LTD & TIMEC 1205 LLP,24/12/2013,282500,0,0,0,Y,24/12/2013,GROUND FLOOR UNIT 2,CENTRAL PARK,NEW LANE,LEEDS,LS11 5EB,,CO,Offices and Premises,2054437476036
AIRE COMMERCIALS LTD & TIMEC 1205 LLP,24/12/2013,69500,0,0,0,Y,24/12/2013,VACANT PART 1ST FLOOR UNIT 2,CENTRAL PARK,NEW LANE,LEEDS,LS11 5EB,,CO,Offices and Premises,2054437500732
AIRE COMMERCIALS LTD & TIMEC 1205 LLP,24/03/2014,74000,0,0,0,Y,24/03/2014,VACANT PT GROUND FLOOR,ACCLAIM HOUSE,NEW LANE,LEEDS,LS11 5UF,,CO,Offices and Premises,2054437628937
AIRE COMMERCIALS LTD & TIMEC 1205 LLP,24/03/2014,67500,0,0,0,Y,24/03/2014,SCOTTISH WIDOWS,ACCLAIM HOUSE,NEW LANE,LEEDS,LS11 5UF,,CO,Offices and Premises,2054437628948
HXRUX11 (NORTH EAST) LTD RE TMA LOANS,06/12/2013,13750,0,0,0,,,UNIT B6,WIRA BUSINESS PARK,"RING ROAD, WEST PARK",LEEDS,LS16 6EL,,CO,OFFICES AND PREMISES,2141317357774
MALCOLM CHADWICK T/A LEEDS TOOL AND GAUGE,25/09/2012,4450,0,0,100,,,LEEDS TOOL & GAUGE CO LTD,TOWN STREET,STANNINGLEY,PUDSEY,LS28 6EZ,Industrial Property,IF3,Workshop and Premises,2321683646567
HOMES AND COMMUNITIES AGENCY TOWER WORKS,01/05/2012,4000,0,0,0,Y,01/04/2013,ROOM 0005 TOWER WORKS,GLOBE ROAD,LEEDS,,LS11 5QG,Listed Building,CO,Office,2053346644136
HOMES AND COMMUNITIES AGENCY TOWER WORKS,30/04/2013,4550,0,0,0,Y,01/04/2014,ROOM 0007 TOWER WORKS,GLOBE ROAD,LEEDS,,LS11 5QG,Listed Building,CO,Office,2053346644158
HOMES AND COMMUNITIES AGENCY TOWER WORKS,30/04/2013,7100,0,0,0,Y,01/04/2014,ROOM 0106 TOWER WORKS,GLOBE ROAD,LEEDS,,LS11 5QG,Listed Building,CO,Office,2053346644279
HOMES AND COMMUNITIES AGENCY TOWER WORKS,30/11/2013,3100,0,0,0,Y,01/04/2014,ROOM 0108 TOWER WORKS,GLOBE ROAD,LEEDS,,LS11 5QG,Listed Building,CO,Office,2053346644301
PAL TRUSTEES LTD C/O CARTER TOWLER,18/03/2010,8700,0,0,0,Y,18/03/2010,2ND FLOOR REAR,12 SOUTH PARADE,LEEDS,,LS1 5QS,Listed Building,CO,OFFICES AND PREMISES,2053584308435
PAL TRUSTEES LTD C/O CARTER TOWLER,18/03/2010,9900,0,0,0,Y,18/03/2010,1ST FLOOR REAR,12 SOUTH PARADE,LEEDS,,LS1 5QS,Listed Building,CO,OFFICES AND PREMISES,2053584308437
LEEKS MOTORS LTD T/A TOWN GARAGE,01/04/2010,11000,0,0,0,,,TOWN GARAGE,FEATHERBANK LANE,HORSFORTH,LEEDS,LS18 4QR,Industrial Property,CG2,GARAGE AND PREMISES,2332215307966
YORKSHIRE WINDOWS CONSERVATORIES TRADE LTD,07/11/2008,18250,0,0,0,,,UNIT D/E UNION WORKS,LEATHLEY ROAD,LEEDS,,LS10 1BG,Industrial Property,CW,WAREHOUSE AND PREMISES,2053934366646
YORKSHIRE WINDOWS CONSERVATORIES TRADE LTD,07/11/2008,3150,0,0,0,,,UNIT 1 UNION WORKS,LEATHLEY ROAD,LEEDS,,LS10 1BG,,CO,OFFICES AND PREMISES,2053934411522
YORKSHIRE WINDOWS CONSERVATORIES TRADE LTD,18/06/2012,2550,0,0,0,,,OFFICE 3,UNION WORKS,LEATHLEY ROAD,LEEDS,LS10 1BG,,CO,Offices and Premises,2053934644653
UNION OF CONSTRUCTION ALLIED TRADES & TECHNICIANS,01/04/2000,13750,0,0,0,,,UNION OF CONSTRUCTION ALLIED,TRADES AND TECHNICIANS,64/66 CROSSGATES ROAD,LEEDS,LS15 7NN,,CO,Offices and Premises,2083325311439
UNION OF CONSTRUCTION ALLIED TRADES & TECHNICIANS,01/04/2010,15500,0,0,0,Y,01/04/2010,MEGAN TECHNICAL SERVICES LTD,64 CROSSGATES ROAD,LEEDS,,LS15 7NN,,CS7,SHOWROOM AND PREMISES,2083325366640
BEAN LEISURE TRADING A LIMITED TRADING AS WILDCATS,02/07/2013,108000,0,0,0,,,WILDCATS,149-155 THE HEADROW,LEEDS,,LS1 2QS,Listed Building,CL,NIGHTCLUB AND PREMISES,2051612470085
SOUTH LEEDS ALTERNATIVE TRADING ENTERPRISE LTD,25/02/2011,27000,80,0,0,,,1 LOW ROAD,HUNSLET,LEEDS,,LS10 1RE,,CS,SHOP AND PREMISES,2070982352965
THE CONSTRUCTION INDUSTRY TRAINING BOARD,06/08/2013,20750,80,0,0,,,GROUND FLR 1 DEANHURST PARK,GELDERD ROAD,GILDERSOME,LEEDS,LS27 7LG,,CO,Offices and Premises,2302680614671
ACTION ENGLISH LANGUAGE TRAINING LLP,22/02/2010,27000,0,0,0,,,9 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HZ,Listed Building,CO,Classrooms and Premises,2010172659251
GLOBAL KNOWLEDGE NETWORK TRAINING LTD,31/01/2011,129000,0,0,0,,,GROUND & 1ST FLOOR BLOCK A,CHANCELLOR COURT,THE CALLS,LEEDS,LS2 7EY,,CO,Offices and Premises,2051605502536
GLOBAL KNOWLEDGE NETWORK TRAINING LTD,31/01/2011,9000,0,0,0,,,GLOBAL KNOWLEDGE 6 CAR SPACES,CHANCELLOR COURT,THE CALLS,LEEDS,LS2 7EY,LD,CP1,Car Parking Space and Premises,2051605656939
INDUSTRIA BEARINGS & TRANSMISSIONS LTD,01/12/2006,11500,0,0,0,,,17 MOORHOUSE AVENUE,LEEDS,,,LS11 8HA,Industrial Property,IF3,WORKSHOP AND PREMISES,2023916328620
WEST YORKSHIRE PASSENGER TRANSPORT EXECUTIVE,01/09/2011,2175,0,0,0,Y,01/09/2011,YORKSHIRE COASTLINER,LEEDS CITY BUS STATION,NEW YORK STREET,LEEDS,LS2 7HU,,CO,Offices and Premises,2053804355563
WEST YORKSHIRE PASSENGER TRANSPORT EXECUTIVE,01/04/2000,196000,0,0,0,,,LEEDS CITY BUS STATION,ST PETERS STREET,LEEDS,,LS2 7HU,,NT,Bus Station and Premises,2053804358427
WEST YORKSHIRE PASSENGER TRANSPORT EXECUTIVE,13/11/2000,11750,0,0,0,,,BUS STATION,SEACROFT AVENUE,LEEDS,,LS14 6JD,,NT,BUS STATION AND PREMISES,2084200365186
WEST YORKSHIRE PASSENGER TRANSPORT EXECUTIVE,08/10/2012,4650,0,0,0,Y,08/10/2012,21 HEADINGLEY LANE,HEADINGLEY,LEEDS,,LS6 1BL,,CS,SHOP AND PREMISES,2120762314578
WEST YORKSHIRE PASSENGER TRANSPORT EXECUTIVE,15/10/2012,5000,0,0,0,Y,15/10/2012,17 HEADINGLEY LANE,HEADINGLEY,LEEDS,,LS6 1BL,,CS,SHOP AND PREMISES,2120762314581
WEST YORKSHIRE PASSENGER TRANSPORT EXECUTIVE,14/11/2010,38500,0,0,0,,,PUDSEY BUS STATION,MARKET PLACE,PUDSEY,LEEDS,LS28 7UA,,NT,Bus Station and Premises,2313107501975
DEPARTMENT FOR WORK & PENSIONS TRILLIUM (PRIME) LTD,04/07/2005,575000,0,0,0,,,21/22 PARK PLACE,LEEDS,,,LS1 2SR,,CO,OFFICES AND PREMISES,2053255450626
LEEDS TEACHING HOSPITALS NHS TRUST,01/04/2010,5120000,0,0,0,,,ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,,LS9 7LP,,MH2,HOSPITAL AND PREMISES,2010116622272
YORKSHIRE AMBULANCE SERVICE NHS TRUST,01/04/2008,1050,0,0,0,,,YORKSHIRE AMBULANCE SERVICE CABIN,HUNSLET FIRE STATION,DEWSBURY ROAD,LEEDS,LS11 6JT,,MS2,AMBULANCE STATION AND PREMISES,2020186476333
HULL & EAST RIDING CHARITABLE TRUST,01/09/2003,15250,0,0,0,Y,01/09/2003,"SWISS LIFE, PART 1ST FLOOR",EYTON HOUSE,12 PARK PLACE,LEEDS,LS1 2RU,Listed Building,CO,OFFICES AND PREMISES,2053255308341
HULL & EAST RIDING CHARITABLE TRUST,06/01/2005,2900,0,0,0,Y,06/01/2005,MCARA & CO PART 1ST FLOOR,EYTON HOUSE,PARK PLACE,LEEDS,LS1 2RU,Listed Building,CO,OFFICES AND PREMISES,2053255353672
HULL & EAST RIDING CHARITABLE TRUST,18/11/2011,8000,0,0,0,Y,01/04/2012,BISSETT KENNING NEWISS,"PART 1ST FLOOR, EYTON HOUSE",12 PARK PLACE,LEEDS,LS1 2RU,Listed Building,CO,OFFICES AND PREMISES,2053255353868
HULL & EAST RIDING CHARITABLE TRUST,01/09/2013,24750,0,0,0,Y,01/04/2014,GROUND FLOOR,EYTON HOUSE,12 PARK PLACE,LEEDS,LS1 2RU,Listed Building,CO,OFFICES AND PREMISES,2053255367677
HULL & EAST RIDING CHARITABLE TRUST,06/10/2009,3250,0,0,0,Y,01/04/2010,PT 3RD FLOOR,EYTON HOUSE,PARK PLACE,LEEDS,LS1 2RU,Listed Building,CO,OFFICES AND PREMISES,2053255632035
TRUSTEES OF THE RH EXECUTIVE TRUST,12/02/2013,37750,0,0,0,Y,12/02/2013,"UNIT 1, HAMAC WORKS",LOWFIELDS ROAD,LEEDS,,LS11 6BS,Industrial Property,CW,WAREHOUSE AND PREMISES,2053828304517
LEEDS PARTNERSHIP FOUNDATION TRUST,01/06/2009,21000,0,0,0,,,UNIT 1 AT 32/34 SPRINGWELL ROAD,LEEDS,,,LS12 1AW,,EX,Education & Training Centre,2054207430056
YORKSHIRE AMBULANCE SERVICE NHS TRUST,01/04/2000,11250,0,0,0,,,WYMAS,RAMSHEAD APPROACH,SEACROFT,LEEDS,LS14 1HH,,MS2,AMBULANCE STATION AND PREMISES,2081258361292
YORKSHIRE AMBULANCE SERVICE NHS TRUST,01/04/2008,1050,0,0,0,,,AMBULANCE SERVICE BUILDING,R/O KIRKSTALL HEALTH CENTRE,MORRIS LANE,LEEDS,LS5 3JT,,MS2,AMBULANCE STATION AND PREMISES,2131081477158
LEEDS (ACHE) FOUNDATION LEARNING TRUST,04/01/2010,25500,80,0,0,,,FOUNDATION LEARNING TRUST,OSMONDTHORPE LANE,LEEDS,,LS9 9EG,,LC,Community Centre and Premises,2171161314737
YORKSHIRE AMBULANCE SERVICE NHS TRUST,01/04/2000,40500,0,0,0,,,BRAMLEY AMBULANCE STATION,RAILSFIELD RISE,BRAMLEY,LEEDS,LS13 3AA,,MS2,AMBULANCE STATION AND PREMISES,2191877337825
BISHOP WHEELER CATHOLIC ACADEMY TRUST,01/03/2013,205000,80,0,0,,,ST MARYS RC SCHOOL,BRADFORD ROAD,GUISELEY,LEEDS,LS20 8PP,,EL,SCHOOL AND PREMISES,2222167325353
BISHOP WHEELER CATHOLIC ACADEMY TRUST,01/04/2013,67000,80,0,0,,,ST PETER & PAUL RC SCHOOL,NEW ROAD,YEADON,LEEDS,LS19 7HW,,EL,SCHOOL AND PREMISES,2222192325335
BISHOP WHEELER CATHOLIC ACADEMY TRUST,01/03/2013,20500,80,0,0,,,ST JOSEPHS CATHOLIC PRIMARY SCHOOL,MANOR SQUARE,OTLEY,,LS21 3AY,,EL,SCHOOL AND PREMISES,2232514324130
OTLEY PRINCE HENRY'S ACADEMY TRUST,01/12/2011,262500,80,0,0,,,PRINCE HENRY GRAMMAR SCHOOL,FARNLEY LANE,OTLEY,,LS21 2AB,,EL,SCHOOL AND PREMISES,2232542323985
YORKSHIRE AMBULANCE SERVICE NHS TRUST,01/04/2000,23000,0,0,0,,,GILDERSOME AMBULANCE STATION,WAKEFIELD ROAD,GILDERSOME,LEEDS,LS27 7HH,,MS2,AMBULANCE STATION AND PREMISES,2302675335841
BISHOP WHEELER CATHOLIC ACADEMY TRUST,01/03/2013,25000,80,0,0,,,ST JOSEPHS CATHOLIC PRIMARY SCHOOL,MOUNT PLEASANT ROAD,PUDSEY,LEEDS,LS28 7AQ,,EL,SCHOOL AND PREMISES,2311972325283
YORKSHIRE AMBULANCE SERVICE NHS TRUST,01/10/2009,530,0,0,0,,,YORKSHIRE AMBULANCE SERVICE CABIN,ADJ ELECTRICITY SUB STATION,RING ROAD,HORSFORTH LEEDS,LS18 4ER,,CO,AMBULANCE RESTROOM AND PARKING AREA,2335159491734
ING CADBURY SCHWEPPES PENSION TRUST LIMITED,05/09/2013,26250,0,0,0,Y,05/09/2013,UNIT 10,GLOVER WAY,LEEDS,,LS11 5JP,Industrial Property,CW,WAREHOUSE AND PREMISES,2024346304943
ING CADBURY SCHWEPPES PENSION TRUST LIMITED,28/10/2013,25500,0,0,0,Y,01/04/2014,UNIT 5,GLOVER WAY,LEEDS,,LS11 5JP,Industrial Property,CW,WAREHOUSE AND PREMISES,2024346322127
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,28/07/2012,99500,0,0,0,Y,01/04/2013,5TH FLOOR,PARK ROW HOUSE,19/20 PARK ROW,LEEDS,LS1 5JF,Listed Building,CO,OFFICES AND PREMISES,2051186355680
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,22/10/2012,35000,0,0,0,Y,01/04/2013,PART GROUND FLOOR,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CO,OFFICES AND PREMISES,2051186363417
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,07/02/2006,6000,0,0,0,Y,01/04/2010,CAR SPACES 14-16,PARK ROW HOUSE,19/20 PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,CAR PARKING SPACE AND PREMISES,2051186364243
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,01/04/2011,4000,0,0,0,Y,01/04/2011,CAR PARKING SPACES 1 & 2,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,CAR PARKING SPACE AND PREMISES,2051186367429
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,07/02/2006,2000,0,0,0,Y,07/02/2006,CAR SPACE 18,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,CAR PARKING SPACE AND PREMISES,2051186367431
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,15/07/2012,6000,0,0,0,Y,15/07/2012,CAR SPACES 22 29 30,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,CAR PARKING SPACE AND PREMISES,2051186410906
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,15/07/2011,46500,0,0,0,Y,01/04/2012,AZENDI LTD PART 2ND FLOOR,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CO,OFFICES AND PREMISES,2051186436887
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,08/08/2012,75500,0,0,0,Y,01/04/2013,3RD FLOOR REAR,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CO,OFFICES AND PREMISES,2051186460339
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,15/07/2012,88000,0,0,0,Y,15/07/2012,1ST FLR WEST,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CO,OFFICES AND PREMISES,2051186470228
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,27/07/2007,91000,0,0,0,Y,27/07/2007,1ST FLR EAST,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CO,OFFICES AND PREMISES,2051186470239
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,13/02/2008,4000,0,0,0,Y,01/04/2010,CAR SPACES 6 & 7,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,CAR PARKING SPACE AND PREMISES,2051186474012
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,15/04/2010,2000,0,0,0,Y,15/04/2010,CAR SPACE 4,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,Car Parking Space and Premises,2051186499401
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,05/03/2013,2000,0,0,0,Y,05/03/2013,CAR SPACE 19,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,Car Parking Space and Premises,2051186499412
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,15/04/2010,2000,0,0,0,Y,15/04/2010,CAR SPACE 31,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,Car Parking Space and Premises,2051186499423
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,05/03/2013,2000,0,0,0,Y,05/03/2013,CAR SPACE 20,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,Car Parking Space and Premises,2051186499434
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,05/03/2013,53500,0,0,0,Y,05/03/2013,GROUND FLOOR LEFT,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CO,Offices and Premises,2051186499445
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,15/04/2010,42500,0,0,0,Y,15/04/2010,UPPER GROUND FLOOR,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CO,Offices and Premises,2051186499456
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,21/02/2011,6000,0,0,0,Y,21/02/2011,"CAR SPACES 8, 25 & 28",PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,Car Parking Space and Premises,2051186501271
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,01/04/2012,45000,0,0,0,Y,01/04/2012,VACANT FRONT PT 3RD FLOOR,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CO,Offices and Premises,2051186609589
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,15/07/2012,2000,0,0,0,Y,15/07/2012,CAR SPACE 5,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,CAR PARKING SPACE AND PREMISES,2051186610341
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,30/04/2010,2000,0,0,0,Y,30/04/2010,CAR SPACE 13,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,CAR PARKING SPACE AND PREMISES,2051186613267
JOHN LEWIS PARTNERSHIP PENSION TRUST LTD,31/12/2008,2000,0,0,0,Y,31/12/2008,CAR SPACE 17,PARK ROW HOUSE,PARK ROW,LEEDS,LS1 5JF,Listed Building,CP1,CAR PARKING SPACE AND PREMISES,2051186613278
CO-OPERATIVE GROUP PENSION FUND TRUSTEES LTD,01/04/2012,2000,0,0,0,Y,01/04/2012,CAR SPACE 19,36 PARK ROW,LEEDS,,LS1 5HG,,CP1,CAR PARKING SPACE AND PREMISES,2051186359477
CO-OPERATIVE GROUP PENSION FUND TRUSTEES LTD,10/03/2009,2000,0,0,0,Y,10/03/2009,CAR SPACE 2,36 PARK ROW,LEEDS,,LS1 5HG,,CP1,CAR PARKING SPACE AND PREMISES,2051186359478
CO-OPERATIVE GROUP PENSION FUND TRUSTEES LTD,01/04/2012,2000,0,0,0,Y,01/04/2012,CAR SPACE 1,36 PARK ROW,LEEDS,,LS1 5HG,,CP1,CAR PARKING SPACE AND PREMISES,2051186363300
