Propref,Property Description,Ratepayer,Rv,Liability Start,Reliefs Granted
56144724,Warehouse And Premises,Ramsdens Solicitors Llp,4800,03/01/11,SBR
56144728,Store And Premises,Viewstone Ltd,5000,04/01/14,ER
56144729,Warehouse And Premises,C J Morton & Co Ltd,29500,04/01/10,SBR
56144732,Warehouse And Premises,,4700,08/01/13,SBR
56144733,Warehouse And Premises,Ramsdens Solicitors Llp,4600,04/01/15,SBR
56148701,Hall And Premises,C H Property Trustee Bands Capital Limited,4850,05/19/16,ER
56156071,Shop and Premises,,4800,07/16/08,SBR
56156700,Shop and Premises,Lorna Stewart Hair Ltd,2800,08/05/06,SBR
56156701,Shop and Premises,,2850,04/25/97,SBR
56156703,Store And Premises,,1100,04/01/90,SBR
56160700,Store And Premises,Mr Phillip E Jones,1875,04/01/90,SBR
56164700,Cricket Club And Premises,,3700,04/01/90,SBR
56164701,Public House and Premises,,37000,11/08/11,SBR DBR
56172703,School and Premises,Old Earth School,65000,09/01/11,MCR
56174700,Offices and Premises,Legal & General Assn [Pens Mgmt] Ltd,37000,02/09/15,ER
56174701,Offices and Premises,Hexstone Ltd,23250,11/22/02,SBR
56174705,Offices and Premises,Stonewater (2) Ltd,41000,04/19/96,MCR
56174707,Factory and Premises,Caffe Shop Ltd,28000,02/01/10,SBR
56174709,Offices and Premises,Wynne Systems Uk Ltd,38250,04/01/16,ER
56174711,Warehouse And Premises,Cask Express Ltd,53000,11/03/09,
56174712,Warehouse And Premises,Huddersfield Fine Worsteds Ltd,47000,09/11/09,SBR
56174714,Factory and Premises,Decorative Panels Holdings Ltd,660000,04/01/12,
56174715,Offices and Premises,Evolution Technical Services (Group) Ltd,14000,02/17/12,SBR
56174716,Offices and Premises,Vita Hardware Ltd,14250,09/09/11,
56174719,Factory and Premises,Waddington & Ledger Plc,472500,04/01/97,
56174722,Factory and Premises,Naughtone Ltd,59500,12/10/12,
56174723,Workshop And Premises,C.N.C Marketing Ltd,79000,01/04/00,
56174724,Warehouse And Premises,,123000,04/01/00,
56174725,Factory and Premises,Feather Diesel Services Ltd,135000,11/23/00,
56174726,Warehouse And Premises,Wildax Conversions Ltd,94000,10/23/17,
56174727,Warehouse And Premises,Debriar Ltd,51500,04/01/01,
56174728,Workshop And Premises,Triangle Wholefoods Collective Ltd,59000,10/02/15,
56174729,Warehouse And Premises,Centrebus Holidings Ltd,51500,12/01/09,
56174731,Offices and Premises,Direct Group Ltd,42250,11/02/09,SBR
56174732,Warehouse And Premises,Samplerite Ltd,42000,04/01/01,SBR
56174733,Warehouse And Premises,Smith Brothers (Contracting) Limited,54500,12/20/16,
56174734,Warehouse And Premises,Triangle Wholefoods Collective Ltd,287500,06/20/01,
56174735,Warehouse And Premises,Seal It Services Ltd,102000,07/03/04,
56174736,Warehouse And Premises,Seal It Services Ltd,54500,09/04/12,
56174737,Factory and Premises,Decorative Panels Lamination Ltd,545000,10/01/01,
56174738,Warehouse And Premises,Prosep Filter Systems Ltd,30250,01/28/02,SBR
56174740,Workshop And Premises,Exertis (Uk) Ltd,75500,11/01/16,
56174741,Warehouse And Premises,A.D.D Express Ltd,135000,04/26/12,
56174742,Warehouse And Premises,A.D.D Express Ltd,95000,07/29/14,
56174743,Warehouse And Premises,Ability Matters Group Limited,53500,03/13/15,
56174744,Warehouse And Premises,Mobus Fabrics Ltd,54000,11/15/02,
56174745,Warehouse And Premises,B C A Leisure Ltd,143000,04/01/03,
56174750,Warehouse And Premises,Seal It Services Ltd,62500,07/01/17,
56174751,Offices and Premises,Direct Group Ltd,37250,01/31/07,SBR
56174752,Warehouse And Premises,R.A.J. Transport Ltd,94000,04/14/03,
56174754,Warehouse And Premises,Exertis (Uk) Ltd,199000,05/26/03,
56174755,Offices and Premises,Marshalls Mono Ltd,237000,09/01/03,
56174763,Warehouse And Premises,A Share & Sons Ltd,242000,03/21/06,
56174764,Offices and Premises,Royds Properties Ltd,42500,09/02/17,ER
56174765,Offices and Premises,Logicalis Uk Limited,26000,03/24/16,SBR
56174769,Warehouse And Premises,Radicon Transmission Uk Ltd,156000,11/25/11,
56174771,Offices and Premises,Arran Isle Holdings Ltd,43250,04/01/11,SBR
56174773,Offices and Premises,Vapour Media Ltd,42000,08/01/16,SBR
56174775,Warehouse And Premises,Sungard Availability Services [Uk] Ltd,402500,04/20/07,
56174776,Offices and Premises,Hsl Compliance Ltd,23000,11/19/15,SBR
56174777,Land Used For Storage and Premises,R Dunnett & Son Ltd,11250,09/01/06,SBR
56174780,Warehouse And Premises,Buy It Direct Ltd,477500,04/29/17,
56174782,Warehouse And Premises,Mitutoyo [Uk] Ltd,63000,04/01/07,
56174784,Warehouse And Premises,A Field Transport Ltd,189000,01/14/08,
56174785,Offices and Premises,Vaillant Group Uk Ltd,60000,04/01/16,
56174790,Offices and Premises,Group Management Electrical Surveys Ltd,9900,05/09/12,SBR
56174792,Factory and Premises,Terberg Dts [Uk] Ltd,167000,05/11/09,
56174793,Offices and Premises,Dickinson Harrison (Rbm) Ltd,14250,02/14/11,
56174794,Offices and Premises,N U Construction Ltd,14250,08/09/10,
56174795,Offices and Premises,,23750,10/01/11,SBR
56174797,Offices and Premises,Edel Telenzo Carpets Ltd,28500,07/02/12,SBR
56174800,Car Parking Space And Premises,B C A Leisure Ltd,3100,03/01/12,SBR
56174802,Offices and Premises,Fostering Solutions Ltd,18500,02/12/16,SBR
56174803,Offices and Premises,Wayne Fuel Management Uk Ltd,18500,04/18/16,SBR
56174805,Warehouse And Premises,Micheldever Tyre Services Plc,505000,04/01/11,
56174806,Warehouse And Premises,A Field Transport Ltd,142000,03/01/15,
56174807,Factory and Premises,Design & Display Ltd,297500,03/01/15,
56174813,Offices and Premises,Legal & General Assn [Pens Mgmt] Ltd,111000,05/06/17,ER
56174814,Warehouse And Premises,Lmj Overseas Investments Ltd,140000,06/07/17,ER
56174815,Warehouse And Premises,Northern Gas Networks Ltd,11500,06/30/17,SBR
56176742,Warehouse And Premises,Mobus Fabrics Ltd,44750,05/03/13,SBR
56180024,Offices and Premises,Joseph Dobson & Sons Ltd,7100,09/13/08,ER
56180032,Offices and Premises,Joseph Dobson & Sons Ltd,6200,01/01/13,ER
56180036,Hairdressing Salon and Premises,,3700,02/26/07,SBR
56180702,Day Nursery and Premises,Little People Elland Ltd,10500,05/21/04,SBR
56180703,Car Park and Premises,Calderdale Mbc,3500,04/01/90,SBR
56180706,Factory and Premises,Joseph Dobson & Sons Ltd,20500,04/01/90,SBR
56180707,Store And Premises,Joseph Dobson & Sons Ltd,1275,06/29/99,SBR
56188700,Football Ground And Premises,Huddersfield Amateurs F.C,6300,04/01/90,SBR
56192705,Crematorium And Premises,Director Of Safer & Stronger Communities,101700,04/01/90,
56192711,Public House and Premises,,8800,08/08/17,SBR
56192712,Public House and Premises,Samuel Smith Ltd,10250,04/01/90,ER
56192717,Workshop And Premises,Advanced Engineering Ltd,13750,07/01/04,SBR
56192719,Day Nursery and Premises,Water's Edge Nursery Ltd,39750,12/01/14,DUR SBR
56192725,Store And Premises,Benjamin Whiteley & Sons Ltd,3500,08/01/01,SBR
56192733,Advertising Right and Premises,J C Decaux Uk Ltd,900,04/01/03,SBR
56192735,Warehouse,Benjamin Whiteley & Sons Ltd,980,09/08/08,EX
56192736,Warehouse And Premises,Benjamin Whiteley & Sons Ltd,23250,11/29/17,EX
56192738,Workshop And Premises,Pilot Group Infrastructure Ltd,24250,06/13/17,SBR
56192756,Warehouse And Premises,Taylors Trailers Ltd,14250,01/25/15,SBR
56192762,Warehouse And Premises,Pilot Group Infrastructure Ltd,5200,06/13/17,SBR
56192765,Workshop,Benjamin Whiteley & Sons Ltd,1450,04/01/08,SBR
56192766,Workshop And Premises,Benjamin Whiteley & Sons Ltd,10000,09/08/08,ER
56192768,Warehouse And Premises,Hilclare Technology Ltd,2700,09/29/14,SBR
56192769,Warehouse And Premises,Benjamin Whiteley & Sons Ltd,2300,12/25/11,EX
56192770,Offices and Premises,Orchard Energy Ltd,47750,04/01/14,SBR
56192771,Factory and Premises,Colson X-Cel Ltd,48000,07/01/12,SBR
56192772,Workshop And Premises,V-Seal Ltd,52500,01/25/17,
56194700,Day Nursery and Premises,Providence Day Nursery Ltd,9200,10/01/02,SBR
56196702,Workshop And Premises,Combserve Heating Services Ltd,5700,05/31/17,SBR
56196709,Warehouse And Premises,Redtronic Ltd,10500,01/14/13,SBR
56196714,Store And Premises,Bramham Home Care Ltd,2850,04/01/16,SBR
56196715,Warehouse And Premises,Scorpion Event Production Ltd,8000,09/01/07,SBR
56196719,Workshop And Premises,Rol-Trac (Automatic Doors) Ltd,13250,07/01/03,SBR
56196720,Workshop And Premises,Penrose Control Systems Ltd,3650,12/01/05,SBR
56196721,Workshop And Premises,Woodview Textiles Ltd,2300,07/01/07,SBR
56196722,Workshop And Premises,Nicsol Limited,9300,11/17/15,SBR
56196724,Warehouse And Premises,E.T.S Halifax Ltd,8100,11/09/14,SBR
56196725,Warehouse And Premises,Redtronic Ltd,23500,12/31/09,SBR
56196730,Communication Station and Premises,Royds Properties Ltd,12000,05/28/10,EX
56196731,Communication Station and Premises,Mobile Broadband Network Ltd,12000,10/01/09,SBR
56196734,Workshop And Premises,Rapidname Ltd,10500,04/01/06,SBR
56196735,Store,Hilton Process Solutions Ltd,3350,05/09/12,SBR
56196736,Offices and Premises,20th Century Foxy Ltd,5500,06/01/12,SBR
56196738,Store,Royds Properties Ltd,370,04/01/06,EX
56196740,Workshop And Premises,Logicalis Uk Limited,15500,03/01/12,SBR
56196741,Warehouse And Premises,Hammerstones Construction Ltd,17250,09/27/17,EX
56196742,Warehouse And Premises,Xpo Direct Ltd,10250,05/03/17,SBR
56196743,Workshop And Premises,Royds Properties Ltd,5500,05/01/08,ER
56196746,Workshop And Premises,Hilton Process Solutions Ltd,24000,12/01/08,SBR
56196751,Warehouse And Premises,Aspire Crafts Ltd,10750,09/01/15,SBR
56196752,Workshop And Premises,Atlas Machine Knives Ltd,4550,06/01/09,SBR
56196753,Warehouse And Premises,Aspire Crafts Ltd,8500,09/01/14,SBR
56196754,Warehouse And Premises,Design 55 Interiors Ltd,6100,04/01/11,SBR
56196755,Warehouse And Premises,Redtronic Ltd,7800,10/14/16,SBR
56196756,Warehouse And Premises,,6100,09/01/10,SBR
56196757,Offices and Premises,Northlight Studios Ltd,7600,08/18/15,SBR
56196759,Factory and Premises,George Nugent Trading Ltd,3600,06/01/13,SBR
56196760,Factory and Premises,Feral Studios Ltd,4100,04/01/14,SBR
56196761,Workshop And Premises,,8600,01/01/14,SBR
56196762,Workshop And Premises,Royds Properties Ltd,6200,01/01/14,SBR
56196763,Warehouse And Premises,Prestige Fire Rated Building Systems Ltd,10250,09/13/16,SBR
56196765,Workshop And Premises,Arthur McKay & Co Ltd,13500,12/03/13,SBR
56196766,Workshop And Premises,Enco Ltd,12250,05/16/14,SBR
56196767,Workshop And Premises,Footwear Accessories And Bags Ltd (In Liquidation),6900,06/06/16,SBR
56196768,Workshop And Premises,Redtronic Ltd,7500,06/01/14,SBR
56196770,Workshop And Premises,Faulkner Moulds Ltd,7500,07/01/15,SBR
56204007,Beauty Salon And Premises,,4000,08/05/17,SBR
56208700,Workshop And Premises,Pure Innovations Group  Ltd,32750,04/05/94,SBR
56208701,Club and Premises,,14250,04/01/90,SBR
56212701,Workshop And Premises,Robinson & Hanson Ltd,23500,04/01/90,DUR SBR
56212702,Offices and Premises,Passdata Ltd,38250,04/06/94,SBR
56212706,Store And Premises,Newsome Ltd,9100,04/01/90,SBR
56212707,Workshop And Premises,H P C Laser Ltd,13500,09/02/10,SBR
56212708,Garage And Premises,Warmco Space Heating Ltd,1525,11/02/17,EX
56212712,Workshop And Premises,Seadrift Offshore Ltd,14750,09/01/14,DUR SBR
56212713,Offices and Premises,,10750,01/01/03,SBR
56212717,Workshop And Premises,,2900,10/01/11,SBR
56212718,Warehouse And Premises,Warmco Space Heating Ltd,2550,04/01/12,EX
56212719,Warehouse And Premises,Warmco Space Heating Ltd,3000,04/01/14,EX
56212720,Warehouse And Premises,Ejr Projects Ltd,2550,04/01/12,SBR
56212721,Warehouse And Premises,Warmco Space Heating Ltd,2500,04/01/12,EX
56212722,Store And Premises,Warmco Space Heating Ltd,710,04/01/12,EX
56212723,Store And Premises,,820,04/01/12,SBR
56212724,Store And Premises,Industrial Power & Engineering Ltd,1025,04/01/12,SBR
56212725,Store And Premises,Warmco Space Heating Ltd,1075,04/01/12,EX
56212726,Store And Premises,Eurosonix Freight Management Ltd,1225,04/01/12,SBR
56212727,Store And Premises,Warmco Space Heating Ltd,1250,04/01/13,EX
56212728,Store And Premises,,1350,03/02/14,SBR
56212729,Store And Premises,,1125,04/01/12,SBR
56212730,Store And Premises,Studio 110 Ltd,1400,08/19/12,SBR
56212731,Store And Premises,Books2You.Org,490,04/01/12,SBR
56212732,Store And Premises,Kieran Douglas Electrical Ltd,490,04/01/12,SBR
56212733,Store And Premises,Warmco Space Heating Ltd,610,04/08/14,EX
56212734,Store And Premises,Warmco Space Heating Ltd,660,04/01/12,EX
56212735,Store And Premises,,570,04/01/12,SBR
56212736,Store And Premises,Warmco Space Heating Ltd,770,04/01/12,EX
56212737,Store And Premises,,800,04/01/12,SBR
56212738,Store And Premises,Lets Away Ltd,770,04/01/12,SBR
56212739,Store And Premises,Warmco Space Heating Ltd,770,04/01/12,EX
56212740,Store And Premises,Warmco Space Heating Ltd,830,03/02/14,EX
56212741,Store And Premises,Warmco Space Heating Ltd,310,07/06/13,EX
56212742,Store And Premises,,325,04/01/12,SBR
56212743,Store And Premises,Warmco Space Heating Ltd,325,04/01/12,EX
56212744,Store And Premises,,680,04/01/12,SBR
56212745,Store And Premises,Warmco Space Heating Ltd,680,04/01/12,EX
56212746,Store And Premises,,570,04/01/12,SBR
56212747,Store And Premises,Warmco Space Heating Ltd,890,01/01/13,EX
56212748,Store And Premises,,580,04/01/12,SBR
56212749,Store And Premises,Warmco Space Heating Ltd,680,11/02/13,EX
56212750,Warehouse And Premises,Greenthumb Ltd,3150,10/01/14,SBR
56212751,Warehouse And Premises,Eltro Direct Uk Ltd,2050,04/01/15,SBR
56212752,Store And Premises,,1525,04/01/14,SBR
56212753,Store And Premises,Warmco Space Heating Ltd,1450,04/01/14,EX
56212754,Store And Premises,Warmco Space Heating Ltd,1250,03/01/16,EX
56212755,Warehouse And Premises,,3300,04/01/12,SBR
56212757,Warehouse And Premises,,2450,04/01/12,SBR
56212758,Store And Premises,,1250,04/01/12,SBR
56212759,Store And Premises,Warmco Space Heating Ltd,1450,02/01/13,EX
56212760,Store And Premises,,1775,04/01/12,SBR
56212761,Store And Premises,Warmco Space Heating Ltd,1300,04/01/13,EX
56212762,Warehouse And Premises,Warmco Space Heating Ltd,5200,03/02/13,EX
56212763,Offices and Premises,,4800,04/01/14,SBR
56212764,Store And Premises,Warmco Space Heating Ltd,455,06/08/12,EX
56212765,Warehouse And Premises,Warmco Space Heating Ltd,2025,04/01/12,EX
56212766,Offices and Premises,Provident Personal Credit Plc,13750,05/01/14,SBR
56212767,Warehouse And Premises,Garlock [G B] Ltd,4900,08/08/16,SBR
56212768,Offices and Premises,Freudenberg Filtration Technologies Uk Ltd,12250,05/01/14,DUR SBR
56212770,Offices and Premises,Five Talents Ltd,6300,08/03/15,SBR
56212771,Warehouse And Premises,Guest Properties Ltd,14000,08/02/17,EX
56212772,Warehouse And Premises,Crj Holdings Ltd,20750,11/23/15,SBR
56220022,Workshop And Premises,C J W Printers Ltd,7000,04/01/90,SBR
56220700,Factory and Premises,Elland Metal Spinning Co Ltd,28750,04/01/90,SBR
56220701,Shop and Premises,Aldi Stores Ltd,192000,09/19/13,
56220705,Chapel Of Rest And Premises,Dignity Funerals Ltd,6300,04/01/13,SBR
56220706,Garage And Premises,,3300,02/21/93,SBR
56220709,Showroom And Premises,Poundstretcher Ltd,38000,12/18/07,SBR
56220711,Workshop And Premises,Texfelt Ltd,19500,10/01/96,SBR
56220715,Offices And Premises,Vesa Mount Ltd,5700,01/23/17,SBR
56220718,Waste Transfer Station And Premises,Edwards Excavations Ltd,14000,04/01/14,SBR
56220721,Workshop And Premises,C P Holland & Sons Ltd,4600,10/01/17,SBR
56220722,Workshop And Premises,Heathleigh Ltd,1300,05/28/17,EX
56220723,Workshop And Premises,High Spec Metal Spinning Ltd,7400,05/01/15,SBR
56220725,Garage And Premises,,1100,04/01/90,SBR
56220735,Workshop And Premises,M C M Services Uk Ltd,9600,04/01/12,SBR
56220736,Workshop And Premises,Commercial Vehicle Cleaning Services,3800,04/01/07,SBR
56220737,Workshop And Premises,,3800,11/17/97,SBR
56220738,Workshop And Premises,Calder Valley Fire & Security Ltd,3800,04/01/17,SBR
56220739,Warehouse And Premises,D P Design Holdings Limited,4700,07/01/15,SBR
56220740,Workshop And Premises,Poundstretcher Ltd,7600,12/18/07,SBR
56220742,Warehouse And Premises,Heathleigh Ltd,7700,08/11/17,EX
56220746,Office and Premises,Heathleigh Ltd,970,03/01/99,SBR
56220748,Office and Premises,,920,11/01/15,SBR
56220750,Gymnasium And Premises,,7400,06/01/11,SBR
56220751,Workshop And Premises,Advanced Pipeline Services Ltd,4600,08/01/05,SBR
56220754,Workshop And Premises,A R Commercial Repairs,5700,10/01/13,SBR
56220755,Workshop And Premises,Green Valley Arborists Ltd,5800,07/11/16,SBR
56220756,Workshop And Premises,,5200,01/01/14,SBR
56220757,Store,Optimum Mechanical & Electrical Ltd,2850,05/01/14,SBR
56220758,Workshop And Premises,We Fit Solar Uk Ltd,3400,01/01/15,SBR
56220759,Cafe and Premises,,2000,11/01/16,SBR
56220762,Workshop And Premises,Pyxis Joinery Ltd,4850,11/30/14,SBR
56220763,Store,,2850,04/01/16,SBR
56220764,Communication Station and Premises,Mobile Broadband Network Ltd,12000,01/15/09,SBR
56220768,Workshop And Premises,Heathleigh Ltd,10750,09/29/17,EX
56220769,Workshop And Premises,,4300,01/01/14,SBR
56220770,Workshop And Premises,Heathleigh Ltd,335,09/01/05,EX
56220771,Workshop And Premises,Elland Metal Finishers Ltd,3550,11/08/04,SBR
56220773,Workshop,Woodman Architectural Fittings Ltd,1175,11/08/04,SBR
56220774,Workshop And Premises,T's Transport Ltd,1100,07/01/14,SBR
56220777,Workshop And Premises,Pws (Leeds) Ltd,10750,11/01/16,SBR
56220778,Workshop And Premises,,3900,03/01/08,SBR
56220779,Workshop And Premises,,4450,06/17/11,SBR
56220780,Workshop And Premises,Calder Sheetmetal Ltd,10500,05/01/07,SBR
56220782,Communication Station and Premises,Tefonica O2 (Uk) Ltd,12000,04/01/05,SBR
56220783,Land Used For Storage and Premises,Heathleigh Ltd,2050,07/01/16,EX
56220791,Office,Viewstone Ltd,1600,04/01/14,EX
56220792,Office,Viewstone Ltd,2275,01/21/12,DUR SBR
56220796,Office,Viewstone Ltd,1250,03/01/14,DUR SBR
56220797,Office,Viewstone Ltd,3500,09/01/17,ER
56220800,Offices and Premises,Yorkshire Air Ambulance Ltd,15000,01/12/10,MCR
56220802,Warehouse And Premises,Woodfield Car Sales Ltd,7800,10/01/17,SBR
56220803,Warehouse And Premises,Northgate Fabrications Ltd,9200,09/01/17,SBR
56220805,Workshop And Premises,Gb Forklift Training Services Ltd,5000,04/01/11,SBR
56220806,Land Used For Storage and Premises,Caecillian Limited,2600,04/01/16,DUR SBR
56220807,Land Used For Storage and Premises,Emd Building Services Ltd,5100,04/01/11,SBR
56220808,Offices and Premises,Hodgson Hey Ltd,7400,10/01/13,SBR
56220809,Offices and Premises,Synergy Financial Solutions Ltd,4400,06/13/11,SBR
56220810,Offices and Premises,Viewstone Ltd,1625,01/21/12,DUR SBR
56220811,Workshop And Premises,,8000,10/01/13,SBR
56220812,Workshop And Premises,Heathleigh Ltd,3500,04/01/17,SBR
56220813,Workshop And Premises,,5100,12/01/11,SBR
56220814,Workshop And Premises,Whitaker Electrical Ltd,310,07/01/11,SBR
56220815,Workshop And Premises,,2550,07/01/11,SBR
56220817,Factory and Premises,Mbe Glazing Systems Ltd,86000,02/01/13,
56220818,Workshop And Premises,,6600,01/05/15,SBR
56220819,Workshop And Premises,Calder Sheetmetal Ltd,7400,12/01/15,DUR SBR
56220820,Offices and Premises,Megson Construction Ltd,3250,06/01/14,DUR SBR
56220821,Warehouse And Premises,,7000,12/01/13,SBR
56224001,Bank And Premises,Barclays Bank Plc,14250,04/01/90,ER
56224005,Shop and Premises,,3300,07/09/01,SBR
56224009,Shop and Premises,One Stop Stores Ltd,19000,06/10/96,SBR
56224012,Cafe and Premises,,3400,12/11/13,SBR
56224014,Shop and Premises,Golden Days Training Ltd,8400,11/06/15,SBR
56224019,Shop and Premises,"R.S.P.C.A. Halifax, Huddersfield",5900,12/08/14,DCR MCR
56224025,Shop and Premises,,11000,08/24/12,SBR
56224027,Shop and Premises,,4900,05/04/07,SBR
56224029,Shop and Premises,Earththings Florists Ltd,8400,11/09/91,SBR
56224031,Shop and Premises,Andrew Lomas Optometrist Ltd,7100,06/01/05,SBR
56224033,Shop and Premises,Andrew Lomas Optometrist Ltd,6800,08/07/17,SBR
56224037,Shop and Premises,,14000,11/09/98,DCR DUR MCR
56224043,Offices and Premises,Calderdale Mbc,6600,03/06/06,SBR
56224045,Shop and Premises,Halifax Plc,14750,04/01/90,ER
56224046,Shop And Premises,,3700,05/17/93,SBR
56224047,Shop and Premises,Done Brothers [Cash Betting] Ltd,12750,12/14/04,SBR
56224052,Shop and Premises,Skf Lo (Chemists) Ltd,7600,03/01/16,DUR SBR
56224054,Shop and Premises,Ciella Ltd,4850,04/16/01,SBR
56224062,Shop and Premises,,3550,01/01/17,SBR
56224064,Shop and Premises,,5200,04/07/14,SBR
56224066,Shop and Premises,,6900,11/23/15,SBR
56224068,Shop and Premises,,5900,04/01/90,SBR
56224069,Shop and Premises,,5800,04/01/12,SBR
56224070,Shop and Premises,Joseph Dobson & Sons Ltd,6600,04/01/90,DUR SBR
56224071,Shop and Premises,,5500,08/01/13,SBR
56224072,Shop and Premises,,8600,01/02/98,SBR
56224078,Shop and Premises,,7300,07/28/08,SBR
56224079,Shop and Premises,Armitage & Barker Ltd,5000,04/01/16,DUR SBR
56224080,Shop and Premises,,6100,07/09/00,SBR
56224082,Shop and Premises,,9900,05/19/16,SBR
56224090,Restaurant and Premises,,15750,06/01/17,SBR
56224092,Taxi Office And Premises,Elland Cars Ltd,6100,04/24/00,SBR
56224094,Offices and Premises,Ramsdens Solicitors Llp,12750,04/01/05,SBR
56224098,Surgery And Premises,,6600,04/17/92,SBR
56224100,Shop and Premises,Jumping Clay Ltd,7600,06/23/14,SBR
56224102,Offices and Premises,,6900,07/13/12,SBR
56224700,Offices and Premises,Calderdale Mbc Children & Young People's Services,21000,04/01/10,SBR
56224701,Store And Premises,,2475,04/20/15,SBR
56224706,Shop and Premises,,4450,05/01/01,SBR
56224707,Shop and Premises,,6900,09/15/11,SBR
56224711,Public House and Premises,Punch Partnerships,13000,07/29/16,SBR
56224713,Shop and Premises,Overgate Hospice,6100,11/08/17,DCR MCR
56224714,Club and Premises,,3200,04/01/90,SBR
56224715,Shop and Premises,Craftlocker Ltd,8000,05/21/16,SBR
56224718,Shop and Premises,,7100,06/03/14,SBR
56224719,Bank And Premises,Clydesdale Bank Plc,11250,04/01/90,SBR
56224721,Shop and Premises,Harold Robertshaw & Sons Ltd,16500,04/01/14,DUR SBR
56224722,Offices and Premises,Ami Baxter Ltd,7100,09/01/15,SBR
56224724,Car Park and Premises,Calderdale Mbc,3800,04/01/90,SBR
56224728,Workshop And Premises,Leading Force Ltd,6500,12/18/93,SBR
56224729,Offices and Premises,The Association Of Colleges,4900,06/09/03,SBR
56224730,Offices and Premises,Worsted Yarns Ltd,2950,04/07/17,SBR
56224731,Offices and Premises,Yorkshire Children's Trust,3200,10/01/17,DCR MCR
56224736,Offices and Premises,,3800,06/27/16,SBR
56224737,Shop and Premises,,3900,10/08/11,SBR
56224743,Offices and Premises,Calderdale Mbc,18500,02/01/05,SBR
56224744,Shop and Premises,The Samaritans Of Halifax & Calderdale,9000,07/01/08,DCR MCR
56224745,Shop and Premises,,6300,02/29/16,ER
56224746,Shop and Premises,Kerry Berry Ltd,5200,07/21/14,SBR
56224748,Shop and Premises,,12250,04/29/13,SBR
56224750,Shop and Premises,Ladbrokes Betting & Gaming Ltd,13000,07/17/13,SBR
56224751,Letting Rooms and Premises,,5400,05/06/14,SBR
56224752,Shop and Premises,,9000,06/05/17,SBR
56224753,Offices And Premises,The A J Bell Investcentre Sipp Re Lynne Ryder,10500,12/22/16,ER
56224754,Shop And Premises,,14250,12/22/16,DUR SBR
56228006,Shop and Premises,,6600,04/01/90,SBR
56228008,Restaurant and Premises,,5700,04/20/95,SBR
56228700,Public House and Premises,,12200,01/03/11,SBR DBR
56228701,Restaurant and Premises,,16500,07/14/15,SBR
56232700,Car Park,Calderdale Mbc Environmental Services,4300,04/07/97,SBR
56234700,Communication Station and Premises,Vodafone Ltd,12000,02/10/98,SBR
56236002,Hairdressing Salon and Premises,,9400,07/29/09,EX
56236003,Shop and Premises,,8900,02/09/01,SBR
56236005,Shop and Premises,,3350,07/01/07,EX
56236006,Shop and Premises,,3000,04/01/14,EX
56236011,Shop and Premises,,6800,07/01/17,SBR
56236700,Gymnasium And Premises,,12750,08/12/06,EX
56236704,Store And Premises,,4150,01/01/17,SBR
56236705,Restaurant and Premises,,25000,05/31/17,ER
56244001,Shop and Premises,,6200,12/17/10,SBR
56244004,Shop and Premises,,3300,01/19/08,SBR
56244005,Shop and Premises,,4400,10/18/10,SBR
56244006,Beauty Salon,,4200,10/03/05,SBR
56244008,Offices and Premises,,5300,03/15/17,SBR
56244009,Workshop and Offices,Clifford Cooper & Son Ltd,19250,04/01/90,SBR
56244010,Shop and Premises,,2850,02/01/13,SBR
56244011,Offices and Premises,,8800,04/01/90,SBR
56244012,Shop and Premises,Bramleys Estate Agents,14500,07/21/06,SBR
56244013,Hairdressing Salon and Premises,,2700,04/01/11,SBR
56244014,Shop and Premises,,3850,07/30/14,SBR
56244016,Shop and Premises,,5500,07/01/13,SBR
56244020,Shop and Premises,,7400,08/12/16,SBR
56244035,Shop and Premises,,3300,05/20/11,SBR
56244037,Shop and Premises,,3850,09/01/05,SBR
56244039,Shop and Premises,,3750,03/01/17,SBR
56244700,Shop and Premises,Greetings & Choices Ltd,5000,05/01/12,SBR
56244701,Shop and Premises,,4150,09/01/09,SBR
56244702,Shop and Premises,,4000,04/28/09,SBR
56244703,Surgery And Premises,Elland Practice Ltd,8000,09/13/13,SBR
56244704,Changing Rooms And Premises,Director Of Safer & Stronger Communities,930,04/01/90,SBR
56244706,School and Premises,Brooksbank School And Sports College,337500,10/01/11,MCR
56244715,Vehicle Repair Workshop And Premises,C N Autos Ltd,8500,04/01/09,SBR
56244716,Advertising Right and Premises,Primesight Ltd,900,04/01/05,SBR
56244723,Shop and Premises,,5500,02/01/14,SBR
56244724,Shop and Premises,,4950,09/01/15,SBR
56244725,"Offices, Office And Premises",Passion For Support Ltd,2400,09/01/15,SBR
56244728,Shop and Premises,,4850,08/12/16,SBR
56244729,Shop and Premises,E-Rainbow Ltd,10000,12/23/16,SBR
56244730,Shop and Premises,,7100,12/23/16,ER
56248706,Warehouse And Premises,,3400,08/10/01,SBR
56248710,Warehouse And Premises,Tuv Sud Product Services Ltd,12250,04/01/11,SBR
56248711,Warehouse And Premises,J L A Ltd,10500,06/06/05,SBR
56248713,Warehouse And Premises,Control House Ltd,10500,09/03/04,SBR
56252700,School and Premises,Elland Ce (Va) Junior & Infant School,31750,04/01/99,MCR
56252701,Public House and Premises,,20750,08/30/17,SBR DBR
56252706,Shop and Premises,,4000,09/28/09,SBR
56252707,Shop and Premises,,7000,09/23/09,SBR
