UID,Client,Pro Class,Contract Title,Route to Market,Contract Type,Contract Start Date,Initial Contract Term (Months),Potential Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier,Supplier Type,Registered Number,Postcode,Council Directorate
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,03/11/2013,36,48,02/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Autism Care UK,",Other,03997337,SE1 0AS,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,04/11/2013,36,48,03/11/2016,No,31/10/2017,01/08/2016,nil,nil,BROTHERS OF CHARITY MERSEYSIDE,VCSE,234252,L14 7NY,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,05/11/2013,36,48,04/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Future Directions CIC,",Other,08041420,BB7 9PE,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,06/11/2013,36,48,05/11/2016,No,31/10/2017,01/08/2016,nil,nil,"CHOICE SUPPORT,",Other,298149,SE1 7XA,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,07/11/2013,36,48,06/11/2016,No,31/10/2017,01/08/2016,"œ1,579,232.00","œ6,316,928.00","Community Integrated Care,",VCSE,"Company: 2225727 
Charity: 519996",C.I.Care: WA87SP,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,08/11/2013,36,48,07/11/2016,No,31/10/2017,01/08/2016,"œ68,888.00","œ275,552.00","Craegmoor Supporting You,",OTher, 07480152,W14 8UD,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,09/11/2013,36,48,08/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Creative Support Ltd,",VCSE,27440R,M1 2HF,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,10/11/2013,36,48,09/11/2016,No,31/10/2017,01/08/2016,"œ339,744.76","œ1,358,979.04",FitzRoy supported living,VCSE,"charity: 1011290
company: 2699902",PO7 7SE,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,11/11/2013,36,48,10/11/2016,No,31/10/2017,01/08/2016,"œ320,924.25","œ1,283,697.00",HF Trust Ltd (HFT),VCSE,"Company: 734984
Charity: 313069", BS16 7FL,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,12/11/2013,36,48,11/11/2016,No,31/10/2017,01/08/2016,"œ215,703.00","œ862,812.00","Cherrytree Vale Ltd (t/a Home Focus), ",Other,03079096,M30 0DL,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,13/11/2013,36,48,12/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Imagine Act and Succeed,",VCSE,1141823,WN7 2DB,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,14/11/2013,36,48,13/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Independent Options (North West), ",SME,"company: 02560910
charity:  1022680",SK7 5PE,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,15/11/2013,36,48,14/11/2016,No,31/10/2017,01/08/2016,nil,nil,"KeyRing  Living Support Networks , ",VCSE,1054234,E8 2NG,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,16/11/2013,36,48,15/11/2016,No,31/10/2017,01/08/2016,nil,nil,"MacIntyre,",VCSE,250840,MK9 2JA,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,17/11/2013,36,48,16/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Mears Care Limited,",VCSE,3232863,GL3 4AH,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,18/11/2013,36,48,17/11/2016,No,31/10/2017,01/08/2016,nil,nil,Royal Mencap Society,SME,00889191,PE7 8HP,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,19/11/2013,36,48,18/11/2016,No,31/10/2017,01/08/2016,"œ355,887.62","œ1,423,550.48","North West Community Services Ltd,",Other,02068130 ,PR2 9ZG,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,20/11/2013,36,48,19/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Perthyn, ",Other,"Company: 3017158
Charity: 1046763",SA7 9FG,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,21/11/2013,36,48,20/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Respite North West Ltd,",SME,04186179,OL10  1JP,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,22/11/2013,36,48,21/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Sevacare (UK) Ltd,",Other,03615347,WV9 5HD,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,23/11/2013,36,48,22/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Stockport, East Cheshire, High Peak , Urmston and District Cerebral Palsy Society,",VCSE,1009768,SK7 5BW,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,24/11/2013,36,48,23/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Thera North,",Other,"company: 03593418
charity: 1090163",NG31 7XT,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,25/11/2013,36,48,24/11/2016,No,31/10/2017,01/08/2016,nil,nil,ubu,Other,,M28 3LY,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,26/11/2013,36,48,25/11/2016,No,31/10/2017,01/08/2016,nil,nil,"United Response, ",Other,"company: 01133776
charity: 265249",SW19 8UX,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,27/11/2013,36,48,26/11/2016,No,31/10/2017,01/08/2016,"œ287,542.00","œ1,150,168.00",Voyage Care,Other,9141139,WS14 0QP,
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,28/11/2013,36,48,27/11/2016,No,31/10/2017,01/08/2016,nil,nil,"CHOICE SUPPORT,",VCSE,298149,SK56DA,
662,Stockport Council,321111-Social Community Care Supplies & Services - Children : Specialist Needs : Adoption Services,Inter country adoption pre-assessment service,RFQ,Contract,01/05/2014,24,36,30/04/2016,Yes,30/04/2017,01/08/2016,œ750.00,"œ2,250.00",Inter Country Adoption Centre,SME,3344762,EN5 4HZ,Stockport- Services to People
670,Stockport Council,321117-Social Community Care Supplies & Services - Children : Residential Services : Residential Care,Greater Manchester Residential Framework 2014,OJEU,Contract,01/04/2014,24,48,31/03/2016,Yes,31/03/2017,01/08/2016,"œ1,245,640.00","œ4,982,560.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
671,Stockport Council,321117-Social Community Care Supplies & Services - Children : Residential Services : Residential Care,North West Foster Care Framework 2014,OJEU,Contract,01/04/2014,24,48,31/03/2016,Yes,31/03/2017,01/08/2016,"œ666,884.00","œ2,667,536.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
675,Stockport Council,SOCIAL CARE SERVICES : Adult,LD Development Fund,RFQ,Contract,01/04/2013,24,36,30/04/2015,Yes,31/03/2016,01/08/2016,"œ13,500.00","œ40,500.00",Pure Innovations,VCSE,5241249,SK3 0RF,Stockport- Services to People
726,Stockport Council,171113-Education : Library Books : ,Supply & Servicing of materials to Public Library Authorities Lot 7,OJEU,Framework Agreement,01/04/2013,36,48,31/03/2017,Yes,31/03/2017,01/06/2016,"œ84,000.00","œ336,000.00",Dandy,SME,4846829,NW6 7UP,Stockport- Corporate & Support Services
758,Stockport Council,201800-Financial Services : Insurance : ,Insurance - All Risk,RFQ,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"œ43,035.00","œ215,175.00",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
759,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Contractors All Risk,Tender,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"œ11,471.67","œ57,358.33",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
760,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Directors and Officers,Tender,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"œ8,126.67","œ40,633.33",Risk Management Partners,Other,02989025,EC4N 8AW,Stockport- Corporate & Support Services
761,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Engineering Inspection ,RFQ,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"œ72,473.33","œ362,366.67",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
762,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Fidelity Guarantee,OJEU,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"œ43,638.33","œ218,191.67",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
763,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Liability ,Tender,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"œ461,010.00","œ2,305,050.00",Risk Management Partners,Other,02989025,EC4N 8AW,Stockport- Corporate & Support Services
764,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Motor Fleet,OJEU,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"œ840,738.33","œ4,203,691.67",Risk Management Partners,Other,02989025,EC4N 8AW,Stockport- Corporate & Support Services
765,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Personal Accident / Travel,OJEU,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"œ29,885.00","œ149,425.00",ACE,Other,3410547,OL4 3JY,Stockport- Corporate & Support Services
766,Stockport Council,201800-Financial Services : Insurance : ,"Insurance - Property, Property Owners and Business Interruptions",Tender,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"œ687,793.33","œ3,438,966.67",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
798,Stockport Council,201800-Financial Services : Insurance : ,Leaseholders Property Insurance ,Tender,Contract,01/04/2014,36,60,31/03/2017,No,31/03/2019,01/10/2016,"œ50,000.00","œ250,000.00",legal & General Insurance C/O Arthur J Gallagher Housing Ltd,Other,01417162,EC2 12 5AA,Stockport- Corporate & Support Services
806,Stockport Council,ENVIRONMENT : Services,Managed Workspace,Tender,Contract,01/09/2010,60,79,30/06/2017,Yes,30/06/2017,01/06/2016,"œ80,000.00","œ526,666.67",Regus,SME,4868977,W2 2AQ ,Stockport- Corporate & Support Services
816,Stockport Council,271400-Information Communication Technology : Office & Reprographics Equipment : ,Printing Equipment MFD Fleet,RFQ,Contract,18/11/2013,24,48,17/11/2015,Yes,17/11/2017,17/11/2016,"œ274,000.00","œ1,096,000.00",Xerox (UK) Ltd,Other,00330754,UB8 1HS,Stockport- Corporate & Support Services
830,Stockport Council,271800-Information Communication Technology : Telecommunications : Mobile,Mobile Telephony,Mini Competition,Contract,01/10/2013,36,36,30/09/2016,No,30/09/2016,01/08/2016,"œ220,000.00","œ660,000.00",EE,Other,02382161,AL10 9BW,Stockport- Corporate & Support Services
847,Stockport Council,340000-Stationery :  ,Office Stationery,RFQ,Contract,05/07/2010,48,48,31/08/2016,No,31/08/2016,01/08/2016,"œ111,000.00","œ444,000.00",Egan Reid ,SME,00593651,SK6 2SU,Stockport- Corporate & Support Services
857,Stockport Council,341000-Stationery : Paper : ,Paper,RFQ,Contract,28/11/2012,48,48,27/11/2016,No,27/11/2016,01/08/2016,"œ96,729.39","œ386,917.57",Banner,Other,03658750,S9 1XU,Stockport- Corporate & Support Services
882,Stockport Council,301200-Mail Services : Postage : ,Outbound Mail Services Revs and Bens ,Tender,Contract,16/12/2013,36,36,15/12/2016,No,15/12/2016,15/06/2016,"œ131,000.00","œ393,000.00",DSI,SME,03823171,RM9 6BF,Stockport- Corporate & Support Services
904,Stockport Council,192213-Facilities & Management Services : Security : Manned Guarding,Security Guarding SSK ,OJEU,Contract,15/10/2014,24,36,14/10/2016,Yes,14/10/2017,01/06/2017,"œ555,000.00","œ1,665,000.00",Manpower Direct (uk) Ltd,Other,4632279,RM10 7DF,Stockport- Services to Place
908,Stockport Council,151000-Consultancy : Business : ,Service Support for Business Incubator,RFQ,Contract,01/09/2013,60,96,31/08/2018,No,31/08/2018,01/01/2018,"œ260,302.00","œ2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
909,Stockport Council,271501-Information Communication Technology : Services : ,SIMS Top Up Support,OJEU,Contract,01/04/2013,24,48,31/03/2017,Yes,31/03/2017,01/08/2016,"œ29,988.00","œ119,952.00",School ICT Services Ltd,SME,06884143,LS15 4TA,Stockport- Corporate & Support Services
942,Stockport Council,271800-Information Communication Technology : Telecommunications : Mobile,Stockport Market Wi-Fi,RFQ,Contract,01/09/2014,12,24,31/08/2015,Yes,31/08/2016,01/08/2016,"œ44,680.00","œ89,360.00",Pinacle Solutions UK Ltd,SME,05217374,LL17 OJD,Stockport- Corporate & Support Services
952,Stockport Council,SOCIAL CARE SERVICES: SUPPLIES,Supply of Complex Aids for Daily Living ,OJEU,Contract,01/10/2015,30,54,31/03/2018,No,31/03/2020,30/04/2017,"œ600,000.00","œ2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
963,Stockport Council,271700-Information Communication Technology : Telecommunications : Fixed,Telephony Fixed Line & Call Costs ,Mini Competition,Contract,01/01/2012,36,48,31/12/2015,Yes,31/12/2016,01/06/2016,"œ128,000.00","œ512,000.00",Virgin Media ,Other,02591237,RG27 9UP,Stockport- Corporate & Support Services
975,Stockport Council,200000-Financial Services :  ,Treasury Management Services ,RFQ,Contract,01/10/2012,36,48,30/09/2016,Yes,30/09/2016,01/08/2016,"œ15,000.00","œ60,000.00",Sector Treasury Services ,Other,20181330,EC3A 7NH,Stockport- Corporate & Support Services
988,Stockport Council,271501-Information Communication Technology : Services : ,Voice Recording ,RFQ,Contract,15/11/2015,12,12,14/11/2016,No,14/11/2016,01/08/2016,"œ8,283.00","œ8,283.00",Liquid Voice ,SME,05014558,LS10 1NZ,Stockport- Corporate & Support Services
1006,Stockport Council,101100-Building Construction Materials : Electrical : ,"Electrical and Security components, related accessories and ancillary items ",RFQ,Framework Agreement,11/11/2013,24,48,24/10/2016,Yes,24/10/2017,24/10/2016,"œ11,049.88","œ44,199.51",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to Place
1006,Stockport Council,101100-Building Construction Materials : Electrical : ,"Electrical and Security components, related accessories and ancillary items ",RFQ,Framework Agreement,11/11/2013,24,36,23/10/2016,No,23/10/2016,24/10/2016,"œ5,524.00","œ16,572.00",City Electrical Factors Ltd,Other,336408,EN6 5BS,
1006,Stockport Council,101100-Building Construction Materials : Electrical : ,"Electrical and Security components, related accessories and ancillary items ",RFQ,Framework Agreement,11/11/2013,36,48,24/10/2016,No,24/10/2017,24/10/2016,"œ5,524.00","œ22,096.00",Rexel UK Ltd T/A Newey & Eyre ,Other,00216596,CV8 2SU     ,
1010,Stockport Council,241500-Horticultural : Tools & Equipment : ,"Highways and Horticultural Tools, Equipment and Road Signs",Tender,Contract,01/06/2014,24,24,31/05/2018,Yes,31/05/2018,01/08/2016,"œ273,073.30","œ546,146.60",PF Cusack (Tool Supplies) Ltd,SME,2404505,BL5 3XU,Stockport- Services to Place
1104,Stockport Council,171010-Education : Adult & Further Education Services : ,Bikeability Cycle Training - Stockport ,Tender,Contract,20/04/2015,12,24,31/03/2017,Yes,31/03/2017,01/10/2016,"œ49,760.00","œ99,520.00",Cycle Training Scheme (CTL),SME,07903754,NE6 1BU,Stockport- Corporate & Support Services
1118,Stockport Council,201100-Financial Services : Audit : ,External Audit ,Call Off (External),Contract,01/04/2012,60,60,31/03/2018,Yes,31/03/2017,10/07/2017,"œ168,000.00","œ840,000.00",Grant Thornton UK LLP,Other,OC307742 ,NW1 2EP,Stockport- Corporate & Support Services
1119,Stockport Council,201800-Financial Services : Insurance : ,Insurance Claims Handling Service,OJEU,Contract,29/11/2012,36,60,28/11/2017,No,28/11/2017,09/02/2017,"œ114,760.00","œ573,800.00",Gallagher Bassett,SME,08158284,B77 4DU,Stockport- Corporate & Support Services
1123,Stockport Council,201200-Financial Services : Banking : ,Bill Payment Services,OJEU,Contract,01/04/2013,36,58,31/03/2017,Yes,31/01/2018,01/10/2016,"œ125,000.00","œ604,166.67",Co-operative Bank ,Other,00990937,M60 4EP,Stockport- Corporate & Support Services
1153,Stockport Council,SOCIAL CARE SERVICES : Adult,Mental Health Prevention Through Peer Support,RFQ,Contract,01/04/2012,36,72,30/09/2015,Yes,31/03/2018,01/04/2017,"œ200,000.00","œ1,200,000.00",Trafford Centre for Independent Living (TCIL),VCSE,5879337,SK1 3NP,Stockport- Services to People
1155,Stockport Council,152100-Consultancy : Strategic Planning : ,South East Manchester Multi Modal Strategy (A6 Development Consultation),RFQ,Contract,11/07/2012,60,60,31/12/2017,No,31/12/2017,31/12/2016,"œ71,510.00","œ357,550.00",WSP UK Ltd/CMS(CIRCA 2014),Other,1383511,WC2A1AF,Stockport- Services to Place
1160,Stockport Council,152100-Consultancy : Strategic Planning : ,Bridgefield (HCA),OJEU,Framework Agreement,02/04/2013,24,60,01/04/2018,No,01/04/2018,01/04/2017,"œ413,000.00","œ2,065,000.00",Gardiner and Theobald LLP ,Other,6434650,B12JB,Stockport- Services to Place
1162,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Compostable Liners,OJEU,Contract,01/04/2014,36,60,31/03/2019,No,31/03/2019,01/08/2016,"œ240,000.00","œ1,200,000.00",BioBag,SME,4151564,PR133HP,Stockport- Services to Place
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,12,36,31/03/2016,Yes,31/03/2017,30/09/2016,"œ138,000.00","œ414,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,1,24,31/03/2016,Yes,31/03/2017,30/09/2016,"œ8,162.00","œ16,324.00",Leisure for Autism,SME,1076305,WA3 2QL,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,1,24,31/03/2016,Yes,31/03/2017,30/09/2016,"œ10,409.00","œ20,818.00",Lisburne School,SME,N/a,SK2 5LB,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,1,24,31/03/2016,Yes,31/03/2017,30/09/2016,"œ15,000.00","œ30,000.00",Pure Innovations Ltd,SME,05241249,SK3 0RF,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,1,24,31/03/2016,Yes,31/03/2017,30/09/2016,"œ5,700.00","œ11,400.00",Seashell Trust,VCSE,"company: 04216714
charity: 1092655",SK8 6RQ,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,1,24,31/03/2016,Yes,31/03/2017,30/09/2016,"œ16,893.75","œ33,787.50",Stockport CP Together Trust ,VCSE,209782,SK8 1JE,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,1,24,31/03/2016,Yes,31/03/2017,30/09/2016,"œ6,262.00","œ12,524.00",More Play More Often Community Interest Company,VCSE, 09083995,SK3 9RQ,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,1,24,31/03/2016,Yes,31/03/2017,30/09/2016,"œ9,425.00","œ18,850.00",Autistic Society of Greater Manchester,SME,04326334,M32 0HL,
1177,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Support for Young Carers ,OJEU,Contract,01/04/2015,24,36,31/03/2017,No,31/03/2017,31/10/2016,"œ108,000.00","œ324,000.00",Signpost Stockport,SME,4176004,SK4 3LD,Stockport- Services to People
1194,Stockport Council,320000-  ,Occupational and Speech Therapy,OJEU,Contract,01/10/2016,36,48,31/07/2019,No,31/07/2020,31/07/2017,"œ300,000.00","œ1,200,000.00",Together Trust ,SME,301722,SK8 1JE ,Stockport- Services to People
1203,Stockport Council,320000-  ,Alliance for Positive Relationships,OJEU,Contract,01/08/2015,36,60,31/07/2018,No,31/07/2018,30/01/2018,"œ280,000.00","œ1,400,000.00",Stockport Without Abuse Alliance,SME,3890735,SK1 3QP,Stockport- Services to People
1204,Stockport Council,320000-  ,Targeted Prevention Alliance,OJEU,Contract,01/08/2015,36,60,31/07/2018,No,31/07/2018,31/03/2018,"œ1,500,000.00","œ7,500,000.00",Stockport Homes ,Other,4521257,SK1 1NZ,Stockport- Services to People
1205,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Stockport Advocacy Services ,Tender,Contract,01/04/2015,36,60,31/03/2018,No,31/03/2018,31/03/2018,"œ200,000.00","œ1,000,000.00",Stockport Advocacy Trust,SME,5274481,SK1 1EG,Stockport- Services to People
1207,Stockport Council,111200-Catering : Food & Beverages : ,Supply of Groceries Frozen and Chilled Food for SSK,OJEU,Contract,01/04/2015,24,48,31/03/2017,No,31/03/2019,01/09/2016,"œ545,000.00","œ2,180,000.00",Hannah Foodservice,SME,4400237,WN8 9UB,Stockport- Services to Place
1214,Stockport Council,SOCIAL CARE SERVICES : Adult,Mini comp supported living - 103.6 (Phase 4),Mini Competition,Contract,30/07/2015,36,48,29/07/2018,No,29/07/2019,30/04/2018,"œ287,542.00","œ1,150,168.00",United Response,VCSE,265249,WN7 3XJ,Stockport- Services to People
1230,Stockport Council,SOCIAL CARE SERVICES : Adult,Babyclear,Exemption,Contract,01/04/2015,12,12,31/03/2016,No,31/03/2016,01/08/2016,"œ21,147.52","œ21,147.52",Wates Construction Ltd,SME,1977948,KT227SW,Stockport- Services to People
1250,Stockport Council,151510-Healthcare : Public Health : ,Restorative Practice Training for whole Social care Workforce,Tender,Contract,01/06/2015,24,24,31/03/2017,No,31/03/2017,05/07/2016,"œ78,000.00","œ156,000.00",Mark Finnis Training and Consultancy Ltd,SME,8477529,HU55RY,Stockport- Services to People
1255,Stockport Council,321119-Social Community Care Supplies & Services - Children : Youth Services : Youth Offending Services,Restorative Services to the Youth Offending Service 2016/17,Tender,Contract,01/04/2016,36,36,31/03/2019,No,31/03/2019,31/03/2018,"œ39,896.00","œ119,688.00",Remedi,SME,1063359,EC4R 2GA,Stockport- Services to People
1258,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,ERP System,RFQ,Contract,02/02/2010,84,84,01/02/2017,No,01/02/2017,01/08/2016,"œ104,000.00","œ728,000.00",SAP,Other,02152073,TW14 8HD,Stockport- Corporate & Support Services
1259,Stockport Council,"391100-Works - Construction, Repair & Maintenance : Buildings : ",Redrock Stockport Construction Scheme,Mini Competition,Framework Agreement,01/09/2015,18,18,01/10/2016,No,01/10/2016,01/08/2016,"œ16,666,666.00","œ24,999,999.00",Wates Construction Ltd,Other,1977948,KT227SW,Stockport- Services to Place
1263,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,MIDLAND I TRENT,Tender,Contract,06/01/2010,84,84,05/01/2017,No,05/01/2017,01/08/2016,"œ75,000.00","œ525,000.00",Midland HR&Payroll Solutions,SME,08099611,B79 9DZ,Stockport- Corporate & Support Services
1275,Stockport Council,351000-Street & Traffic Management : Parking : Car Parks,Redrock Car Park Management ,OJEU,Contract,01/11/2015,48,84,31/10/2019,No,31/10/2022,01/07/2019,"œ400,000.00","œ2,800,000.00",National Car Parks Ltd (NCP),SME,253240,EC1N 8XA,Stockport- Services to Place
1279,Stockport Council,361300-Public Transport : Passenger Transport : ,School Swimming Transport ,Tender,Contract,07/09/2015,12,12,26/07/2016,No,26/07/2016,01/08/2016,"œ105,000.00","œ105,000.00",Belle Vue Manchester Ltd,SME,3272014,SK4 5DZ,Stockport- Services to Place
1283,Stockport Council,381200-Vehicle Management : Heavy Construction Equipment : Leasing,Specialist Vehicles and Plant,OJEU,Framework Agreement,04/02/2015,24,24,03/02/2018,Yes,03/02/2018,30/08/2016,"œ230,000.00","œ460,000.00",Arnold Plant Hire Ltd ,SME,570639918,SK6 2SN,Stockport- Services to Place
1303,Stockport Council,"391310-Works - Construction, Repair & Maintenance : Open Spaces : Construction",Alexandra Skate Park Project,Tender,Contract,30/06/2016,6,6,31/12/2016,No,31/12/2016,01/12/2016,"œ140,000.00","œ70,000.00",Bendcrete Leisure Ltd.,SME,3220846,SK15 1ST,Stockport- Services to Place
1314,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1,OJEU,Contract,01/10/2015,36,60,30/09/2018,Yes,30/09/2019,30/03/2018,"œ300,000.00","œ1,500,000.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2,OJEU,Contract,01/10/2015,36,60,30/09/2018,Yes,30/09/2019,30/03/2018,"œ300,000.00","œ1,500,000.00",Pure Innovations,SME,5241249,SK3 0RF ,Stockport- Services to People
1316,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3,OJEU,Contract,01/10/2015,36,60,30/09/2018,Yes,30/09/2019,30/03/2018,"œ120,000.00","œ600,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,"œ4,000,000.00","œ16,000,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Access Minibus Services,SME,Supplier does not have company number,M20 6QX,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Asapp Cars,SME,Supplier does not have company number,SK3 9EU,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Buckley / Culbert,SME,Supplier does not have company number,SK8 3EG,
