Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
March,Economy,UK,EEA,138.27,BRITISH AIRWAYS,International Group
March,Economy,UK,UK,142.53,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
March,Economy,UK,EEA,172.81,MALEV,Immigration Group
February,Economy,UK,UK,160.59,BMI,Strategic Director Border
March,Economy,UK,EEA,344.37,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,135.21,FLYBE BRITISH EUROPEAN,Science & Research Group
February,Business Class,UK,EEA,290.4,BMI,Strategic Director Border
February,Economy,UK,UK,263.19,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,60,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,128.51,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,UK,135.21,FLYBE BRITISH EUROPEAN,Science & Research Group
March,Economy,UK,EEA,138.27,BRITISH AIRWAYS,International Group
February,Economy,UK,Non EEA,450.33,KLM-ROYAL DUTCH AIRLINES,Strategic Director Border
February,Economy,UK,UK,116,BMI,HROD
March,Economy,UK,UK,137.23,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,135.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,60.69,BRITISH AIRWAYS,OSCT
February,Economy,UK,UK,127,BMI,Strategic Director Border
February,Economy,UK,UK,276.62,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,UK,319,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,210.2,BRITISH AIRWAYS,Science & Research Group
February,Economy,UK,UK,144.55,BRITISH AIRWAYS,Science & Research Group
February,Economy,UK,UK,127,BMI,Strategic Director Border
March,Economy,UK,UK,121.35,BRITISH AIRWAYS,HROD
March,Economy,UK,UK,126.35,BRITISH AIRWAYS,HROD
March,Economy,UK,UK,100.01,FLYBE BRITISH EUROPEAN,Science & Research Group
February,Economy,UK,UK,128.89,AIR FRANCE,Science & Research Group
February,Economy,UK,Non EEA,1278.31,VIRGIN ATLANTIC,Strategic Director Border
February,Economy,UK,UK,32.5,FLYBE BRITISH EUROPEAN,HMIC
March,Economy,UK,UK,175.9,EASTERN AIRWAYS,Strategic Director Border
February,Economy,UK,UK,184.43,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,186.43,BRITISH AIRWAYS,Group HR
March,Economy,UK,UK,100.35,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,248.51,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,146.35,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,121.35,BRITISH AIRWAYS,HROD
March,Economy,UK,EEA,141.03,EASYJET,Resource Management Group
February,Economy,UK,UK,21,FLYBE BRITISH EUROPEAN,HMIC
March,Economy,UK,UK,44.59,BMI,Immigration Group
March,Economy,UK,UK,175.51,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,138.51,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,240.51,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,UK,78,BMI,Strategic Director Border
February,Economy,UK,EEA,398.53,LUFTHANSA GERMAN AIRLINES,Science & Research Group
April,Premium Economy,UK,Non EEA,1679.33,BRITISH AIRWAYS,OSCT
March,Economy,UK,UK,190.51,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,UK,182,EASTERN AIRWAYS,Strategic Director Border
March,Economy,UK,UK,47.74,EASYJET,Immigration Group
February,Economy,UK,Non EEA,895.71,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,252.73,BRITISH AIRWAYS,Policy & Strategy
February,Economy,UK,UK,240.51,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,EEA,312.17,BRITISH AIRWAYS,International Group
February,Economy,UK,UK,206,BMI,HROD
April,Economy,UK,UK,64.5,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,93.03,EASYJET,Science & Research Group
March,Economy,UK,UK,111.35,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,86.43,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,EEA,315.37,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,UK,111.35,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,UK,254.23,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
March,Economy,UK,UK,198.01,FLYBE BRITISH EUROPEAN,Immigration Group
February,Business Class,UK,UK,172.35,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,175.51,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,210.43,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,234,BMI,Strategic Director Border
March,Economy,UK,UK,100.01,FLYBE BRITISH EUROPEAN,Immigration Group
April,Business Class,UK,Non EEA,3282.84,CONTINENTAL AIRLINES,Science & Research Group
February,Economy,UK,EEA,398.53,LUFTHANSA GERMAN AIRLINES,Science & Research Group
March,Economy,UK,UK,138.51,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,154.54,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,UK,141.35,BRITISH AIRWAYS,HROD
March,Economy,UK,EEA,391.47,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,86.43,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,120.34,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,234.59,BMI,Strategic Director Border
March,Economy,UK,UK,86.43,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,150.23,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,64.5,BRITISH AIRWAYS,Policy & Strategy
February,Economy,UK,Non EEA,297.37,TURKISH AIRLINES,Policy & Strategy
February,Economy,UK,UK,207.23,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,121.99,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,EEA,60,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,116.7,FLYBE BRITISH EUROPEAN,HMIC
March,Economy,UK,UK,92.7,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Resource Management Group
March,Economy,Non EEA,Non EEA,390.2,JET AIRWAYS,International Group
February,Economy,UK,EEA,1116.5,BMI,Strategic Director Border
March,Economy,Non EEA,UK,70,AIR ALGERIE,International Group
February,Economy,UK,UK,295.59,BMI,Legal Advisors Branch
March,Economy,UK,UK,190.51,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,15,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,210.23,BRITISH AIRWAYS,OSCT
May,Economy,UK,Non EEA,1428.13,AIR CANADA,Strategic Director Border
February,Economy,UK,UK,237.53,FLYBE BRITISH EUROPEAN,Resource Management Group
March,Economy,UK,UK,202.62,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,Non EEA,895.71,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,110.03,EASYJET,Resource Management Group
March,Economy,UK,UK,105.01,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,UK,164.23,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Business Class,UK,UK,238.35,BRITISH AIRWAYS,Criminal & Detention Group
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Resource Management Group
March,Economy,UK,UK,101.35,BRITISH AIRWAYS,HROD
March,Economy,UK,UK,206.81,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Premium Economy,UK,Non EEA,1296.67,BRITISH AIRWAYS,OSCT
February,Economy,UK,UK,210.43,BRITISH AIRWAYS,Group HR
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,240.51,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,EEA,273.96,AIR FRANCE,Immigration Group
March,Economy,UK,UK,48.85,BRITISH AIRWAYS,SIG
March,Economy,UK,UK,126.35,BRITISH AIRWAYS,HROD
March,Business Class,UK,Non EEA,1163.27,QATAR AIRWAYS,International Group
March,Economy,UK,EEA,109,BRITISH AIRWAYS,Strategic Director Border
April,Economy,UK,UK,81.51,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,UK,100.01,FLYBE BRITISH EUROPEAN,Science & Research Group
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Science & Research Group
May,Economy,UK,EEA,110.21,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,112.1,BMI,Strategic Director Border
March,Economy,UK,EEA,273.96,AIR FRANCE,Immigration Group
February,Economy,UK,EEA,243.89,EASYJET,Strategic Director Border
March,Economy,UK,UK,49.5,BMI,Immigration Group
March,Economy,UK,UK,136.35,BRITISH AIRWAYS,Criminal & Detention Group
February,Economy,UK,Non EEA,150.31,CROATIA  AIRLINES,International Directorate
March,Economy,UK,UK,75.99,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
March,Economy,UK,UK,121.35,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,293.49,BRITISH AIRWAYS,OSCT
May,Economy,UK,Non EEA,1584.13,AIR CANADA,Strategic Director Border
February,Economy,UK,EEA,422.3,BMI,UKBA
February,Business Class,UK,EEA,698.97,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,Non EEA,394.67,BRITISH AIRWAYS,Science & Research Group
March,Economy,UK,UK,44.93,BRITISH AIRWAYS,HMIC
February,Economy,UK,UK,210.43,BRITISH AIRWAYS,Group HR
March,Economy,UK,EEA,506.17,BRITISH AIRWAYS,International Group
March,Economy,UK,UK,135.21,FLYBE BRITISH EUROPEAN,Science & Research Group
March,Economy,UK,UK,169.5,BRITISH AIRWAYS,HMIC
February,Economy,UK,EEA,388.87,AIR MALTA,Strategic Director Border
February,Economy,UK,UK,184.43,BRITISH AIRWAYS,Strategic Director Border
March,Business Class,UK,Non EEA,2342.67,QATAR AIRWAYS,Strategic Director Border
February,Economy,UK,UK,218.94,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Business Class,UK,UK,208.35,BRITISH AIRWAYS,Finance & Commercial Group
March,Economy,UK,UK,190.51,FLYBE BRITISH EUROPEAN,Immigration Group
February,Business Class,UK,UK,189.93,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,187,BMI,Strategic Director Border
March,Economy,UK,UK,90.35,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,EEA,157.07,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,188.7,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,HMIC
March,Economy,UK,UK,136.31,FLYBE BRITISH EUROPEAN,OSCT
February,Economy,UK,UK,234.59,BMI,Legal Advisors Branch
February,Economy,UK,UK,237.53,FLYBE BRITISH EUROPEAN,Resource Management Group
February,Economy,UK,UK,237.53,FLYBE BRITISH EUROPEAN,Resource Management Group
March,Economy,UK,UK,57.74,EASYJET,Strategic Director Border
March,Economy,UK,UK,107.59,BMI,Strategic Director Border
February,Economy,UK,EEA,312.97,AIR MALTA,Strategic Director Border
February,Business Class,UK,UK,208.35,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,25,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,60,BRITISH AIRWAYS,Strategy & Reform Directorate
February,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,117.01,FLYBE BRITISH EUROPEAN,HMIC
March,Economy,UK,EEA,431.8,BMI,International Group
February,Economy,UK,EEA,312.97,AIR MALTA,Strategic Director Border
March,Economy,UK,EEA,200.2,BMI,International Directorate
February,Economy,UK,UK,210.23,BRITISH AIRWAYS,OSCT
April,Economy,UK,EEA,174.95,AIR FRANCE,Strategic Director Border
March,Economy,UK,UK,142.5,BRITISH AIRWAYS,HMIC
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Science & Research Group
February,Economy,UK,UK,151.31,FLYBE BRITISH EUROPEAN,Strategic Director Border
April,Economy,UK,UK,113.99,BRITISH AIRWAYS,Group HR
March,Economy,UK,UK,100.01,FLYBE BRITISH EUROPEAN,Science & Research Group
March,Economy,UK,UK,96.51,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,Non EEA,Non EEA,178.4,UNITED AIRLINES,Strategic Director Border
February,Business Class,Non EEA,UK,782,BRITISH AIRWAYS,Strategic Director Border
February,Business Class,Non EEA,UK,750,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Science & Research Group
March,Economy,UK,UK,96.51,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,EEA,458.8,BMI,Strategic Director Border
February,Economy,UK,UK,239.23,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,UK,UK,78.1,BMI,Strategic Director Border
March,Business Class,UK,Non EEA,2642.27,VIRGIN ATLANTIC,OSCT
March,Economy,UK,UK,220,EASTERN AIRWAYS,Immigration Group
February,Economy,UK,EEA,312.97,AIR MALTA,Strategic Director Border
February,Economy,UK,EEA,312.97,AIR MALTA,Strategic Director Border
February,Economy,UK,EEA,312.97,AIR MALTA,Strategic Director Border
April,Economy,UK,UK,139.8,BRITISH AIRWAYS,OSCT
March,Economy,EEA,UK,156.23,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,EEA,238.77,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,116.01,FLYBE BRITISH EUROPEAN,Science & Research Group
February,Economy,UK,Non EEA,1128.6,DELTA AIR LINES,Strategic Director Border
March,Economy,EEA,UK,336.9,AIR MALTA,Strategic Director Border
April,Economy,UK,UK,108.66,FLYBE BRITISH EUROPEAN,OSCT
March,Business Class,Non EEA,UK,1059.7,VIRGIN ATLANTIC,International Group
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Science & Research Group
March,Economy,UK,UK,32.5,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
March,Economy,EEA,UK,336.9,AIR MALTA,Strategic Director Border
March,Economy,EEA,UK,336.9,AIR MALTA,Strategic Director Border
March,Business Class,UK,UK,215.54,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,UK,122.7,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Resource Management Group
March,Economy,UK,UK,206.81,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,EEA,312.97,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,286.23,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,EEA,388.87,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,2,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
February,Economy,UK,UK,230.94,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Economy,EEA,UK,336.9,AIR MALTA,Strategic Director Border
March,Economy,EEA,UK,336.9,AIR MALTA,Strategic Director Border
April,Economy,Non EEA,Non EEA,188.4,CONTINENTAL AIRLINES,Science & Research Group
March,Economy,EEA,UK,336.9,AIR MALTA,Strategic Director Border
April,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,OSCT
March,Economy,UK,UK,165.53,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,EEA,321.17,BRITISH AIRWAYS,OSCT
March,Economy,UK,UK,167.5,BRITISH AIRWAYS,HMIC
March,Business Class,UK,UK,193.35,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,293.49,BRITISH AIRWAYS,OSCT
March,Economy,UK,EEA,217.77,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,EEA,282.11,BRITISH AIRWAYS,Science & Research Group
March,Economy,UK,EEA,85.2,BMI,Crime & Policing Group
February,Economy,UK,EEA,458.8,BMI,Strategic Director Border
February,Business Class,UK,UK,208.35,BRITISH AIRWAYS,Finance & Commercial Group
February,Economy,UK,EEA,312.97,AIR MALTA,Strategic Director Border
February,Economy,UK,UK,288.01,FLYBE BRITISH EUROPEAN,HMIC
April,Economy,UK,UK,113.99,BRITISH AIRWAYS,Group HR
March,Economy,UK,EEA,217.77,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,100.35,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,EEA,312.97,AIR MALTA,Strategic Director Border
March,Economy,UK,EEA,195.97,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,116.2,FLYBE BRITISH EUROPEAN,HMIC
February,Economy,UK,EEA,388.87,AIR MALTA,Strategic Director Border
March,Economy,UK,UK,100.01,FLYBE BRITISH EUROPEAN,Science & Research Group
February,Economy,UK,UK,210.43,BRITISH AIRWAYS,Group HR
March,Economy,UK,UK,87.03,EASYJET,Strategic Director Border
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Business Class,UK,Non EEA,2617.67,BRITISH AIRWAYS,OSCT
February,Economy,UK,EEA,388.87,AIR MALTA,Strategic Director Border
February,Economy,UK,UK,210.43,BRITISH AIRWAYS,Group HR
February,Economy,UK,EEA,458.8,BMI,Strategic Director Border
April,Economy,UK,UK,139.8,BRITISH AIRWAYS,OSCT
February,Economy,UK,EEA,458.8,BMI,Strategic Director Border
February,Economy,UK,UK,0,BRITISH AIRWAYS,IPS
February,Economy,UK,Non EEA,0,BRITISH AIRWAYS,Policy & Strategy
March,Economy,UK,UK,0,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
March,Economy,UK,UK,0,BMI,Strategic Director Border
March,Business Class,Non EEA,Non EEA,0,KENYA AIRWAYS,International Group
March,Business Class,Non EEA,Non EEA,0,KENYA AIRWAYS,International Group
February,Business Class,UK,UK,0,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Business Class,Non EEA,Non EEA,0,KENYA AIRWAYS,International Group
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,189.1,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,80.91,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,CRB
March,Economy,UK,UK,80.91,FLYBE BRITISH EUROPEAN,CRB
April,Economy,UK,UK,185.9,EASTERN AIRWAYS,CRB
April,Economy,UK,UK,185.9,EASTERN AIRWAYS,CRB
May,Economy,UK,UK,185.9,EASTERN AIRWAYS,CRB
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,50.51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,50.5,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,107.03,EASYJET,IPS
March,Economy,UK,UK,60,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,100.91,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,123.09,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,100.91,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,128.03,EASYJET,IPS
March,Economy,UK,UK,105.03,EASYJET,IPS
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,159.01,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,93.03,EASYJET,IPS
March,Economy,UK,UK,144.03,EASYJET,IPS
March,Economy,UK,UK,243.51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,62.74,EASYJET,IPS
March,Economy,UK,UK,93.03,EASYJET,IPS
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,107.03,EASYJET,IPS
March,Economy,UK,UK,134.5,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,182.34,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,50.31,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,35.49,BMI BABY,IPS
March,Economy,UK,UK,46.41,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,169.8,MANX2,IPS
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,121.74,EASYJET,IPS
March,Economy,UK,UK,62.74,EASYJET,IPS
March,Economy,UK,UK,65.91,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,65.6,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,186.3,EASTERN AIRWAYS,IPS
March,Economy,UK,UK,78.74,EASYJET,IPS
March,Economy,UK,UK,139,BMI,IPS
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,90.69,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,71.53,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,188.53,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,96.85,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,102.03,EASYJET,IPS
March,Economy,UK,UK,236.83,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,158.15,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,57.74,EASYJET,IPS
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,112.93,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,140.01,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,65.6,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,94,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,24.5,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,45.01,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,170.62,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,253.59,BMI,IPS
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,318.59,BMI,IPS
November,Economy,UK,UK,79.03,EASYJET,IPS
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,117.01,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,259.5,EASTERN AIRWAYS,IPS
March,Economy,UK,UK,48.74,EASYJET,IPS
March,Economy,UK,UK,32.5,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,17.5,EASYJET,IPS
March,Business Class,UK,UK,124.85,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,175.51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,23.43,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,61.43,EASYJET,IPS
March,Economy,UK,UK,102.6,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,6,EASYJET,IPS
March,Economy,UK,UK,349.1,BMI,IPS
March,Economy,UK,UK,194.51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,65.6,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,175.51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,154.54,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,235.62,BRITISH AIRWAYS,IPS
May,Business Class,UK,Non EEA,3599.93,AIR CANADA,IPS
March,Economy,UK,UK,194.51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,EEA,287.67,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,290.49,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,318.59,BMI,IPS
March,Economy,UK,UK,214.51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,264.09,BMI,IPS
March,Economy,UK,UK,90.58,EASYJET,IPS
May,Business Class,UK,Non EEA,3599.93,AIR CANADA,IPS
March,Economy,UK,UK,323.09,BMI,IPS
March,Economy,UK,UK,169.54,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,294.09,BMI,IPS
March,Business Class,UK,UK,241.54,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,90.58,EASYJET,IPS
March,Economy,UK,UK,90.58,EASYJET,IPS
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,EEA,30.75,EASYJET,IPS
March,Economy,UK,UK,79.69,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,117.01,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,167.03,EASYJET,IPS
March,Economy,UK,UK,208.8,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,91.73,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,82.6,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,184.01,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,116,BMI,IPS
April,Economy,UK,UK,56.21,EASYJET,IPS
April,Economy,UK,UK,68.03,EASYJET,IPS
March,Economy,UK,UK,32.5,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,50.51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,318.59,BMI,IPS
March,Economy,UK,UK,223.51,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,90.69,BRITISH AIRWAYS,IPS
April,Economy,UK,UK,5,FLYBE BRITISH EUROPEAN,IPS
March,Business Class,UK,UK,105.69,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,225.03,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,239.59,BMI,IPS
March,Economy,UK,UK,71.74,EASYJET,IPS
April,Economy,UK,UK,68.03,EASYJET,IPS
April,Economy,UK,UK,32.5,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,56.21,EASYJET,IPS
March,Economy,UK,UK,107.74,EASYJET,IPS
March,Economy,UK,UK,318.59,BMI,IPS
March,Economy,UK,UK,224.62,BRITISH AIRWAYS,IPS
April,Economy,UK,UK,206.69,FLYBE BRITISH EUROPEAN,IPS
April,Economy,UK,UK,104.18,BMI,IPS
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,125.81,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,247.83,BRITISH AIRWAYS,IPS
March,Economy,UK,UK,318.59,BMI,IPS
April,Economy,UK,UK,110.03,EASYJET,IPS
March,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
March,Economy,UK,UK,251.93,BRITISH AIRWAYS,IPS
May,Premium Economy,UK,Non EEA,1635.23,VIRGIN ATLANTIC,IPS
March,Economy,UK,UK,267.7,EASTERN AIRWAYS,ISA
