Reference Number,Title of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Non-recoverable VAT,Start Date,End Date,End Date (including extension),Review Date,Award Method,SME?
SWIFT,Sir Thomas Lipton Home,Adults & Communities,Residential & Nursing Care,Friends Of The Elderly,"£87,934.11",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Lancam Nursing Home,Adults & Communities,Residential & Nursing Care,Lancam Nursing Care Ltd,"£89,092.34",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Courtlands Care Home,Adults & Communities,Residential & Nursing Care,The Gannon Family Partnership,"£89,319.69",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,St John's School and College,Adults & Communities,Residential & Nursing Care,St John's School and College,"£89,372.00",,10/10/2012,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,Skills Development Centre,"£91,342.10",,11/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Cotswold,Adults & Communities,Residential & Nursing Care,The Disabilities Trust,"£91,596.73",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Leo Baeck Housing Association,"£91,997.24",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,City Of Westminster,Adults & Communities,Residential & Nursing Care,City Of Westminster,"£92,911.71",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Binnegar Hall,Adults & Communities,Residential & Nursing Care,Purbeck Care Ltd,"£93,173.14",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,St Vincents Nursing Home,Adults & Communities,Residential & Nursing Care,St Vincent'S Hospital,"£93,682.62",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Balmyre Centre,Adults & Communities,Residential & Nursing Care,Scottish Autism,"£94,335.45",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Sonesta Nursing Home,Adults & Communities,Residential & Nursing Care,Sonesta Nursing Home Ltd,"£97,269.73",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Acacia Lodge,Adults & Communities,Residential & Nursing Care,Torrington Homes Ltd,"£98,552.82",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Norwood 60 Carlton Avenue,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£99,199.59",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Conifer Lodge,Adults & Communities,Residential & Nursing Care,Four Seasons Healthcare,"£101,034.30",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Allied Healthcare,Adults & Communities,Residential & Nursing Care,Allied Healthcare,"£101,747.48",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,St Christophers Hse,Adults & Communities,Residential & Nursing Care,Platinum Health Resources Ltd,"£102,874.23",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Boxgrove House (Choice Group),Adults & Communities,Residential & Nursing Care,Choice Care Group,"£103,149.78",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Rainbow Homes,Adults & Communities,Residential & Nursing Care,Rainbow Homes Ltd,"£108,921.60",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Havard & Henderson(Scope),Adults & Communities,Residential & Nursing Care,Scope,"£110,329.13",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,Abbots Care Limited,"£114,588.33",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,Dimensions Ltd,"£114,806.00",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Agudas Israel Housing Assn,"£117,363.13",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Catherine Lodge,Adults & Communities,Residential & Nursing Care,Catherine Lodge Ltd,"£118,535.90",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Elizabeth Fitzroy Support,"£122,457.33",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Goodwin Court,Adults & Communities,Housing related support,Sanctuary Housing Association,"£124,047.86",,01/04/2011,31/03/2015,,04/07/2014,ITT,
SWIFT,Chatsworth Care (Hollyfield Ho,Adults & Communities,Residential & Nursing Care,Chatsworth Care,"£125,224.29",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Poolmead Centre (RNID),Adults & Communities,Residential & Nursing Care,Action Of Hearing Loss Formerly Rnid,"£128,261.04",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Electronic Call Monitoring,Adults & Communities,Home and Community Support,CM2000,"£130,000.00",,01/10/2011,01/04/2014,,05/07/2013,ITT,
SWIFT,Yad Voezer ,Adults & Communities,Residential & Nursing Care,Yad Voezer,"£131,220.93",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Sydmar Lodge,Adults & Communities,Residential & Nursing Care,European Care Ltd,"£132,981.39",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£133,710.78",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Oakdene,Adults & Communities,Residential & Nursing Care,Glenholme Mental Healthcare Ltd,"£134,579.25",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Osmond House,Adults & Communities,Residential & Nursing Care,Jewish Care,"£135,675.20",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Orchard (Ravenswood Village),Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£136,384.67",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Two Rivers,Adults & Communities,Residential & Nursing Care,Suncare Recovery Ltd,"£137,982.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Quantum Care Ltd,Adults & Communities,Residential & Nursing Care,Quantum Care Ltd,"£138,764.44",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,HFT,Adults & Communities,Residential & Nursing Care,HFT,"£139,761.81",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Ashton Lodge Care Centre,Adults & Communities,Residential & Nursing Care,Macneil Ltd,"£140,015.91",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Woodfield House,Adults & Communities,Residential & Nursing Care,Woodfield House,"£142,478.57",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Copper Beech (Ravenswood),Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£148,633.12",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Princess Alexandra Home,Adults & Communities,Residential & Nursing Care,Jewish Care,"£152,015.76",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Home care,Adults & Communities,Home care,Individualised care,"£152,276.00",,18/09/2012,31/03/2014,,04/07/2013,ITT,
SWIFT,Springdene; Spring Lane ,Adults & Communities,Residential & Nursing Care,Springdene Nursing & Care Home Ltd,"£153,050.37",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Conifers Care Ltd,Adults & Communities,Residential & Nursing Care,Connifers Care Ltd,"£153,114.53",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Mowbray House,Adults & Communities,Residential & Nursing Care,Young Foundations,"£154,242.86",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Glebelands,Adults & Communities,Residential & Nursing Care,Liaise Loddon Limited,"£156,000.00",,16/05/2012,31/03/2014,,04/07/2013,ITT,
SWIFT,IMCA,Adults & Communities,Independent Mental Capacity Advocacy,Voiceability,"£161,192.00",,01/10/2010,01/04/2014,,05/07/2013,ITT,
SWIFT,Peer Support Brokerage services,Adults & Communities,Voluntary sector preventative services,Barnet Centre for Independent Living,"£164,000.00",,01/04/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Arden House - The Regard,Adults & Communities,Residential & Nursing Care,The Regard Partnership,"£164,871.15",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,The Farmhouse (Ravenswood),Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£167,242.65",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Baytree Lodge,Adults & Communities,Residential & Nursing Care,Baytree Community Care,"£170,172.98",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Sam Beckman Day Centre,Adults & Communities,Day Care,Jewish Care,"£172,149.28",,07/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Old Church Lane (Ravenswood),Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£174,400.05",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Hill Green Care,Adults & Communities,Residential & Nursing Care,Hill Green Care,"£179,151.77",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Dr French Memorial Home,Adults & Communities,Residential & Nursing Care,Dr French Memorial Home Ltd,"£179,368.27",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Hilton Lodge,Adults & Communities,Residential & Nursing Care,Hilton Lodge Ltd,"£190,367.70",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Jewish Care,"£192,910.23",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,62 Vicarage Road,Adults & Communities,Residential & Nursing Care,Hertfordshire County Council,"£192,997.03",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Magnolia Court,Adults & Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£193,647.21",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Complete Care Services,Adults & Communities,Residential & Nursing Care,Complete Care Services Ltd,"£196,227.24",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,National Society For Epilepsy,Adults & Communities,Residential & Nursing Care,Epilepsy Society,"£204,332.57",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Sidney Corob House,Adults & Communities,Residential & Nursing Care,Jewish Care,"£205,779.26",,01/11/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Baxendale (Woodside Home),Adults & Communities,Residential & Nursing Care,The Trustees - Woodside Home,"£207,005.35",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Porlock House,Adults & Communities,Residential & Nursing Care,National Autistic Society,"£208,823.91",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Rubens House (Jewish Care),Adults & Communities,Residential & Nursing Care,Jewish Care,"£217,323.71",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Macintyre,Adults & Communities,Residential & Nursing Care,Macintyre Care,"£219,742.74",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,New Century Care,Adults & Communities,Residential & Nursing Care,New Century Care Ltd,"£223,754.97",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Broughton House ,Adults & Communities,Residential & Nursing Care,Cambian Group,"£226,839.48",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Orchard Manor Transition Serv,Adults & Communities,Residential & Nursing Care,Scope,"£229,757.55",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£230,358.31",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Kisharon,"£231,795.12",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,The Green (Ravenswood Village),Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£233,923.67",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Disabilities Trust,Adults & Communities,Residential & Nursing Care,The Disabilities Trust,"£234,786.39",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Hugh Middleton House,Adults & Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£238,766.90",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Norwood 55 Edgeworth Crescent,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£260,172.67",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Brookdale Healthcare Ltd,Adults & Communities,Residential & Nursing Care,Brookdale Healthcare Ltd,"£262,748.79",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Norwood 1 Woodcock Dell Avenue,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£268,727.66",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Clovelly House,Adults & Communities,Residential & Nursing Care,Clovelly House Res. Home Ltd,"£282,730.82",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,St Elizabeths,Adults & Communities,Residential & Nursing Care,Congregation Of The Daughters Of The Cross Of Liege,"£290,139.18",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Craegmoor ,Adults & Communities,Residential & Nursing Care,Priory Group,"£291,361.93",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,Kisharon,"£295,026.19",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Selia Court,Adults & Communities,Residential & Nursing Care,Jewish Care,"£300,248.00",,01/04/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Henry Nihill House,Adults & Communities,Residential & Nursing Care,The Convent Of St Marys,"£311,479.59",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Appletree Court Care Ltd,Adults & Communities,Residential & Nursing Care,Appletree Court Care Ltd,"£317,398.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Wood Court,Adults & Communities,Extra Care ,Metropolitan Support Trust,"£321,824.06",,07/10/2008,05/10/2014,,08/01/2014,ITT,
SWIFT,Tager Centre,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£327,383.34",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Lansdowne Care Centre,Adults & Communities,Residential & Nursing Care,Four Seasons Healthcare,"£327,535.34",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Manor House (Sense),Adults & Communities,Residential & Nursing Care,Sense Day Centre,"£332,695.04",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Walsingham Community,Adults & Communities,Residential & Nursing Care,Walsingham,"£332,818.44",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Services For Older People,Adults & Communities,Voluntary sector preventative services,Age Uk Barnet,"£334,619.00",,01/04/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Meera House,Adults & Communities,Residential & Nursing Care,Meera Nursing Home Ltd,"£344,344.50",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Sage Nursing Home,Adults & Communities,Residential & Nursing Care,Service To The Aged,"£358,408.48",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Life Style Care Plc,Adults & Communities,Residential & Nursing Care,Life Style Care Plc,"£386,453.64",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Dana Care Ltd,Adults & Communities,Residential & Nursing Care,Dana Care Ltd,"£391,161.98",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Rosetrees (Jewish Care),Adults & Communities,Residential & Nursing Care,Jewish Care,"£399,913.84",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Hoffman Foundation For Autism,"£406,359.34",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Jewish Care,"£414,371.36",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Clore Manor (Jewish Care),Adults & Communities,Residential & Nursing Care,Jewish Care,"£426,747.07",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Jewish Care,"£434,522.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Fernbank ,Adults & Communities,Residential & Nursing Care,Fernbank Nursing Home.,"£449,670.50",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Rela Goldhill Lodge,Adults & Communities,Residential & Nursing Care,Jewish Care,"£458,017.63",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Bradbury Court,Adults & Communities,Residential & Nursing Care,Livability,"£466,035.12",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Extended Hours Scheme/Housing Support Service,Adults & Communities,Housing related support,One Housing Group,"£473,867.61",,01/04/2011,30/04/2015,,03/08/2014,ITT,
SWIFT,Goodwin Court,Adults & Communities,Extra Care,Sanctuary Housing Association,"£481,365.16",,01/06/2008,31/05/2018,,03/09/2017,ITT,
SWIFT,Abbey Ravenscroft Park,Adults & Communities,Residential & Nursing Care,Abbey Ravenscroft Park Ltd,"£499,910.12",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Peer Support Brokerage Service,Adults & Communities,Voluntary sector preventative services,Barnet Centre For Independent Living,"£505,546.00",,01/03/2011,31/03/2015,,04/07/2014,ITT,
SWIFT,Elenor Palmer Trust,Adults & Communities,Residential & Nursing Care,Eleanor Palmer Trust,"£509,945.96",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Meals At Home,Adults & Communities,Meals services,Sodexo,"£548,435.01",,01/04/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Lady Sarah Cohen (Jewish Care),Adults & Communities,Residential & Nursing Care,Jewish Care,"£570,952.27",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Willow Care Homes,Adults & Communities,Residential & Nursing Care,Willow Care Homes Ltd,"£575,456.57",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Norwood Pamela Barnett Centre,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£582,759.84",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,"Creswick House, Shulas, Lilas House, Mandela House, Treehaven",Adults & Communities,Residential & Nursing Care,Jeesal Residential Care Ltd,"£585,359.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Bevetone Road,Adults & Communities,Housing related support,One Housing Group,"£589,079.06",,01/11/2010,31/10/2015,,03/02/2015,ITT,
SWIFT,"Milbury Care, The Lodge & The Cedars",Adults & Communities,Residential & Nursing Care,Voyage 1 Ltd,"£591,938.08",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Elm Park Lodge(M L Homes Ltd),Adults & Communities,Residential & Nursing Care,ML Homes Ltd,"£630,944.79",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Forest Healthcare,Adults & Communities,Residential & Nursing Care,Forest Healthcare,"£763,849.66",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Carlton Court/ Candle Court ,Adults & Communities,Residential & Nursing Care,TLC Group,"£853,708.05",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Bupa Care Homes,Adults & Communities,Residential & Nursing Care,BUPA Care Homes,"£1,478,925.88",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Carers Support,Adults & Communities,Voluntary sector preventative services,Barnet Carers Centre,"£1,539,760.00",,01/07/2012,30/03/2015,,03/07/2014,ITT,
SWIFT,Voluntary services commissioning,Adults & Communities,Section 75,Barnet Primary Care Trust,"£1,642,540.00",,01/02/2012,31/01/2014,,06/05/2013,ITT,
SWIFT,Learning Disability Campus relocation,Adults & Communities,Section 75,Barnet Primary Care Trust,"£1,709,087.00",,01/04/2010,31/03/2014,,04/07/2013,ITT,
SWIFT,Caretech ,Adults & Communities,Residential & Nursing Care,Caretech Community Services,"£2,062,128.34",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Mental health day opportunities,Adults & Communities,Voluntary sector preventative services,Richmond Fellowship,"£2,650,000.00",,14/01/2013,13/01/2018,,18/04/2017,ITT,
SWIFT,Integrated Learning disability services,Adults & Communities,Section 75,Barnet Primary Care Trust,"£2,974,569.00",,01/02/2012,31/01/2014,,06/05/2013,ITT,
SWIFT,Enablement,Adults & Communities,Enablement,Housing 21,"£3,369,600.00",,04/09/2010,03/09/2015,,07/12/2014,ITT,
SWIFT,Dimensions Ltd,Adults & Communities,Residential & Nursing Care,Dimensions Ltd,"£3,378,808.38",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Barnet Outreach,Adults & Communities,Housing related support,Notting Hill Housing,"£3,984,190.20",,01/05/2010,31/03/2014,,04/07/2013,ITT,
SWIFT,Supported Housing & Day Care (Was Your Choice (Barnet)),Adults & Communities,Supported Living & Day Care,Thebarnetgroup Ltd,"£5,223,837.00",,01/02/2012,31/01/2017,,06/05/2016,ITT,
SWIFT,Catalyst Residential/Nursing And Day Care,Adults & Communities,Residential & Nursing Care,Catalyst,"£8,563,191.85",,01/04/2001,31/03/2026,,04/07/2025,ITT,
SWIFT,Home And Community Support,Adults & Communities,Home and Community Support,Personnel & Care Bank,"£12,000,001.00",,07/11/2011,06/11/2015,,09/02/2015,ITT,
SWIFT,Home And Community Support,Adults & Communities,Home and Community Support,London Care,"£12,000,002.00",,07/11/2011,06/11/2015,,09/02/2015,ITT,
SWIFT,Home And Community Support,Adults & Communities,Home and Community Support,Enara,"£12,000,003.00",,07/11/2010,06/11/2015,,09/02/2015,ITT,
5000003586,Care Homes Lease  (AD),Adults & Communities,Care Homes Lease  (AD),Catalyst Housing Ltd,"£375,000.00",,28/03/2013,29/03/2034,,02/07/2033,ITT,
5000003876,Home and Community Enablement (adults),Adults & Communities,Home and Community Enablement (adults),Housing 21 (Barnet),"£1,171,000.00",,13/08/2012,31/10/2015,,03/02/2015,ITT,
5000004079,Soc Serv Indv Care Paymts  (AD),Adults & Communities,Soc Serv Indv Care Paymts  (AD),Barnet Carers Centre,"£578,000.00",,01/07/2012,30/06/2015,,03/10/2014,ITT,
5000004183,Training  (AD),Adults & Communities,Training  (AD),Middlesex University,"£20,000.00",,30/10/2012,31/03/2016,,05/07/2015,ITT,
5000005665,Legal Costs - Consent order,Adults & Communities,To pay for service goods received.,Capsticks Solicitors LLB,"£25,000.00",,20/08/2013,31/03/2015,,04/07/2014,ITT,
5000005663,Healthwatch Barnet,Adults & Communities,Healthwatch Barnet,Community Barnet,"£592,083.00",,01/04/2013,30/03/2016,,04/07/2015,ITT,
5000005398,"Registrars Serv, info & Training  (AD)",Adults & Communities,Registrar training and advice,London Borough Of Brent,"£60,000.00",,01/04/2013,31/03/2014,31/03/2014,04/07/2013,ITT,
5000005333,BT-THE NETWORK USE ONLY  (AD),Adults & Communities,telephone lines to access,British Telecom Plc,"£15,000.00",,03/07/2013,31/03/2014,,04/07/2013,ITT,
5000005276,Elec Leaving Care Team Woodhouse Rd(AD),Adults & Communities,Electricity supply for a resident,EDF Energy,"£13,000.00",,13/06/2013,31/03/2016,,05/07/2015,ITT,
5000005234,Admin fee for Comm Eqiup F/work(AD),Adults & Communities,Fee to join the framework,Royal Borough Of K&C,"£40,000.00",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
5000005227,Indp Health Complaints Adv agreement(AD),Adults & Communities,Pan London adviceline,VoiceAbility,"£170,138.00",,01/04/2013,31/03/2015,31/03/2015,04/07/2014,ITT,
5000005106,Residential Care Fremantle contract,Adults & Communities,Block bed contract for elderly residential and nusring care,Fremantle Trust,"£6,113,250.00",,23/05/2013,30/09/2023,30/09/2023,03/01/2023,ITT,
5000005102,CCTV Lines for Borough Cameras (AD),Adults & Communities,CCTV Lines for Borough Cameras (AD),British Telecom Plc,"£160,000.00",,22/05/2013,31/03/2014,,04/07/2013,ITT,
5000005018,Public Health Service for 2013/14 (AD),Adults & Communities,Public health contracts,London Borough Of Harrow,"£13,799,000.00",,01/04/2013,31/03/2016,31/03/2018,05/07/2015,ITT,
5000003597,Voiceablity,Adults & Communities,IMCA contract,Voiceability,"£205,083.00",,01/10/2010,30/04/2014,30/04/2014,03/08/2013,ITT,
5000001651,All Direcorates contract,Adults & Communities,All Direcorates contract,Dairy Crest,"£24,999.00",,01/04/2012,31/03/2016,,05/07/2015,ITT,
5000000501,Care Place System,Adults & Communities,Information Systems,London Borough of Ealing,"£24,010.00",,04/12/2012,15/12/2014,,20/03/2014,ITT,
5000000040,Leisure Partnership,Adults & Communities,Provision of leisure services in the borough - Service Contract,Greenwich Leisure Limited (GLL),"£15,000,000.00",,01/01/2003,31/12/2017,,05/04/2017,ITT,
5000005059,Barnet Timebanking,Adults & Communities,Pilot 4 areas - for a timebank scheme,Time Banking UK,"£80,000.00",,01/12/2013,01/01/2016,,06/04/2015,ITT,
5000005555,LD Ethnographic Research (AD),Adults & Communities,LD Ethnographic Research (AD),The Innovation unit Ltd,"£24,960.00",,15/09/2013,11/09/2014,,15/12/2013,Quote,
SWIFT 30,Carers Emergency Plan Service,Adults & Communities,Carers Emergency Plan Service,Barnet homes Ltd Assist,"£25,000.00",,23/07/2013,23/06/2016,,27/09/2015,ITT,
SWIFT 31,Whitehall Road,Adults & Communities,Whitehall Road,Care Assist Ltd,"£85,146.00",,24/07/2013,31/07/2015,,03/11/2014,ITT,
SWIFT 08,Carer Matron,Adults & Communities,Carers Matron,Central London Community Healthcare,"£55,000.00",,01/04/2013,31/07/2014,,03/11/2013,ITT,
5000005892,Shelter Accom Home Care,Adults & Communities,Previously Enara. - homecare,Mihome Care (was enara),"£140,000.00",,01/10/2013,31/10/2015,,03/02/2015,ITT,
5000005910,Restorative Justice Panels,Adults & Communities,"victim support panels- £72,800 paid from Councils Budget and remainder from the Mayors Office for Polciing and crime",Victim Support,"£90,150.00",,01/10/2013,31/10/2015,,03/02/2015,ITT,
5000005410,Backfill Ali Hossein Housing Lead (AD),Adults & Communities,Temporary staffing,The Barnetgroup,"£26,000.00",,30/11/2012,31/03/2014,,04/07/2013,ITT,
5000004943,Community Equipment Serv  (AD),Adults & Communities,Community equipment,Medequip Assistive,"£3,540,000.00",,01/04/2013,31/03/2015,31/03/2017,04/07/2014,ITT,
5000005963,Alcohol Conditional Charging,Adults & Communities,Community Intervention Service,Westminster Drug Project,"£18,008.92",,16/12/2013,15/12/2015,,20/03/2015,Quote,
5000005731,"Hertfordshire Partnership, NHS",Adults & Communities,"Hertfordshire Partnership, NHS",Hertfordshire Partnership NHS Foundation Trust,"£1,459,013.80",,01/04/2013,31/03/2015,,04/07/2014,ITT,
5000005738,Alina Boca,Adults & Communities,Alina Boca,Alina Boca Event Floristry,"£12,000.00",,20/06/2013,31/03/2016,,05/07/2015,ITT,
5000005704,National Pen Promption Prod,Adults & Communities,National Pen Promption Prod,National Pen Ltd,"£15,000.00",,20/06/2013,31/03/2016,,05/07/2015,ITT,
5000005843,Membership of localis 2014/14,Adults & Communities,Membership of localis 2014/14,Localis Research Limited,"£13,144.00",,01/08/2013,31/07/2014,,03/11/2013,ITT,
5000006030,Supervision Training,Adults & Communities,Supervision Training,Middlesex University,"£24,000.00",,31/10/2013,31/12/2014,,05/04/2014,ITT,
5000006053,Stopford Information Systems,Adults & Communities,Stopford Information Systems,Stopford Information Sytems Limited,"£24,000.00",,07/11/2013,31/03/2018,,04/07/2017,ITT,
5000006135,LMS (Bolton) Ltd,Adults & Communities,LMS (Bolton) Ltd,LMS (Bolton) Ltd,"£24,500.00",,13/11/2013,12/11/2017,,15/02/2017,ITT,
