Property Reference,Account Holder 1,Account Holder 2,Liability Start Date,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Post Code,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4, Charged Amount ,Rateable Value,Property Description,Charity Relief,Discretionary,Rural Relief,Discretionary ,Mandatory,Small Business Rate Relief,Exemption,Empty Relief
13937X98988961     ,PRIMESIGHT LTD                  ,                                ,08.03.2011               ,PRIMELIGHT ADJ 293              ,                                ,OLDHAM ROAD                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JG,UNIT 9                             ,WESTPOINT ENTERPRISE PARK          , CLARENCE HOUSE                 ,TRAFFORD PARK                   , �145.20 ,300,ADVERTISING RIGHT                                           ,      ,0,      ,0,0,      ,      ,      
13937X99152378     ,NORTHERN ACCIDENT REPAIR CO LTD ,                                ,16.04.2007               ,ROCHDALE BODY REPAIRS           ,                                ,WOOD STREET                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5QN,ROCHDALE BODY REPAIRS              ,WOOD STREET                        ,ROCHDALE LANCASHIRE             ,                                ," �16,649.50 ",33500,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,      ,0,      ,0,0,      ,      ,      
13937X99159324     ,PRIMESIGHT LIMITED              ,                                ,01.10.2014               ,GABLE                           ,                                ,210 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2ER,UNIT 9 WESTPOINT ENTERPRISE PARK   ,CLARENCE AVENUE                    ,TRAFFORD PARK                   ,MANCHESTER                      , �677.60 ,1400,ADVERTISING RIGHT AND PREMISES                              ,      ,0,      ,0,0,      ,      ,      
13937X99168728     ,ROCHDALE MBC                    ,                                ,01.04.2005               ,T0260 1341                      ,                                ,R/O 91 OLDHAM ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5QR,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �3,581.60 ",7400,CAR PARK AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
13937x94566261     ,MR MOHAMED SALIM KARIM          ,                                ,01.04.2008               ,                                ,                                ,367A OLDHAM ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LN,5 LYNDHURST AVENUE                 ,ROCHDALE                           ,                                ,                                , �-   ,4550,SHOP AND PREMISES                                           ,      ,0,      ,0,0,Y     ,      ,      
1394080013007B     ,HEAP DAWSON & CO LTD            ,                                ,01.04.2005               ,HEAP DAWSON LTD                 ,                                ,OLDHAM ROAD                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1BU,HEAP DAWSON LTD                    ,OLDHAM ROAD                        ,ROCHDALE LANCASHIRE             ,                                ," �13,294.75 ",26750,FACTORY AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
13940800140049,TILE GIANT LIMITED              ,                                ,13.03.2006               ,TILE GIANT LTD                  ,                                ,OLDHAM ROAD                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1DA,TRAVIS PERKINS PLC                 ,ESTATES DEPT - RATING              ,Ryehill Close                   ,Northampton                     ," �11,555.25 ",23250,SHOWROOM AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
13940800600084,FELD MCKAY SOLICITORS           ,                                ,01.04.2005               ,                                ,                                ,160 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1AG,160 OLDHAM ROAD                    ,ROCHDALE LANCASHIRE                ,                                ,                                , �-   ,4350,SHOP AND PREMISES                                           ,      ,0,      ,0,0,Y     ,      ,      
13940801170023,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005               ,BAY HORSE                       ,                                ,260 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2ER,FAO MR M DAWSON                    ,THE OLD BREWERY                    ,TADCASTER NORTH YORKSHIRE       ,                                ," �3,775.20 ",7800,PUBLIC HOUSE AND PREMISES                                   ,      ,0,      ,0,0,      ,      ,      
139408021300X3     ,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005               ,YEW TREE HOTEL                  ,                                ,560 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2AZ,FAO MR M DAWSON                    ,THE OLD BREWERY                    ,TADCASTER NORTH YORKSHIRE       ,                                ," �3,218.60 ",6650,PUBLIC HOUSE AND PREMISES                                   ,      ,0,      ,0,0,      ,      ,      
13940883524324,FISHERS CLEANING SERVICES LTD   ,                                ,01.04.2006               ,T1014 1341                      ,210-212                         ,OLDHAM ROAD                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2ER,T1014 1341 210-212                 ,OLDHAM ROAD                        ,ROCHDALE LANCASHIRE             ,                                ," �2,276.18 ",9100,SHOP AND PREMISES                                           ,      ,0,      ,0,0,Y     ,      ,      
13940891023983,SHEPHERD PRINTERS LTD           ,                                ,01.03.2006               ,                                ,                                ,218 & 220 OLDHAM ROAD              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2ER,218 & 220                          ,OLDHAM ROAD                        ,ROCHDALE LANCASHIRE             ,                                , �49.21 ,6100,SHOP AND PREMISES                                           ,      ,0,      ,0,0,Y     ,      ,      
13940893488153,GIBSONS ACCOUNTANTS LTD         ,                                ,24.06.2009               ,                                ,                                ,226 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2ER,226 OLDHAM ROAD                    ,ROCHDALE LANCASHIRE                ,                                ,                                , �-   ,4100,OFFICE AND PREMISES                                         ,      ,0,      ,0,0,Y     ,      ,      
13940894135925,PRIMESIGHT LTD                  ,                                ,08.03.2011               ,PRIMELIGHT GABLE PRINCE ALBERT  ,104,YC0205019127 (A671) 104            ,OLDHAM ROAD                        ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1AG,UNIT 9 WESTPOINT ENTERPRISE PARK   ,CLARENCE AVENUE                    ,TRAFFORD PARK                   ,MANCHESTER                      , �145.20 ,300,ADVERTISING RIGHT                                           ,      ,0,      ,0,0,      ,      ,      
13940899149409,BLUE DIAMOND RESTAURANT LTD     ,                                ,01.04.2006               ,THE BLUE DIAMOND                ,                                ,222 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LR,THE BLUE DIAMOND                   ,222 OLDHAM ROAD                    ,ROCHDALE LANCASHIRE             ,                                ," �1,132.67 ",7800,RESTAURANT AND PREMISES                                     ,      ,0,      ,0,0,Y     ,      ,      
13940899154074,LOCAL MAP CO LTD                ,                                ,01.04.2005               ,                                ,                                ,485 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4TF,RAWCLIFFE HOUSE                    ,30 MARATHON PLACE MOSS SIDE ESTATE ,LEYLAND LANCASHIRE              ,                                , �-   ,5000,SHOP AND PREMISES                                           ,      ,0,      ,0,0,Y     ,      ,      
14003X93798585     ,SAZIA TAHIR                     ,                                ,01.03.2012               ,                                ,                                ,ENVI FASHIONS PT GND & 1ST FLR     ,SABIR HOUSE                        ,OVERT STREET                    ,ROCHDALE                        ,OL11 1PW,11 ST ANDREWS DRIVE                ,HEYWOOD                            ,                                ,                                ," �3,775.20 ",7800,Workshop and Premises                                       ,      ,0,      ,0,0,      ,      ,      
1400640001008A     ,R CUDWORTH (NORDEN) LTD         ,                                ,01.04.2005               ,CUDWORTH OF NORDEN BAITINGS MILL,                                ,OVERTOWN LANE                      ,ROCHDALE                           ,LANCS                           ,                                ,OL12 7TQ,BAITING MILL                       ,OVERTOWN LANE                      ,ROCHDALE LANCASHIRE             ,                                , �100.03 ,6200,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,Y     ,      ,      
14021400030028,PLATINUM SECURITIES LTD         ,                                ,27.05.2016               ,DALI BAR                        ,                                ,PACKER STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1NJ,26 COOK ROAD                       ,KINGSWAY                           ,ROCHDALE                        ,                                ," �9,572.02 ",22750,PUBLIC HOUSE AND PREMISES                                   ,      ,0,      ,0,0,      ,      ,      
140214000400X9     ,GUMBOO HOTELS LTD               ,                                ,15.04.2011               ,THE FLYING HORSE                ,                                ,PACKER STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1NJ,                                   ,                                   ,                                ,                                ," �16,898.00 ",34000,HOTEL AND PREMISES                                          ,      ,0,      ,0,0,      ,      ,      
14021400050074,BARLEY PUB COMPANY LIMITED      ,                                ,06.02.2015               ,                                ,                                ,2ND FLR COUNTY COURT BUILDINGS     ,PACKER STREET                      ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1NJ,PORTER TUN HOUSE                   ,P O BOX 985                        ,LUTON BEDFORDSHIRE              ,                                ," �2,952.40 ",6100,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
14021493797462,KO-KO LOUNGE LTD                ,                                ,01.04.2011               ,KOKO LOUNGE                     ,                                ,PACKER STREET                      ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1NJ,                                   ,                                   ,                                ,                                ," �16,276.75 ",32750,Club (Social) and Premises                                  ,      ,0,      ,0,0,      ,      ,      
14029895395351,ENGLISH CHURCHES HOUSING GROUP  ,                                ,11.11.2011               ,                                ,                                ,5A PARK COURT                      ,ROCHDALE                           ,                                ,                                ,OL11 1HE,C/O RIVERSIDE NORTH                ,2 ESTUARY BOULEVARD                ,SPEKE                           ,LIVERPOOL                       , �156.56 ,1575,Offices and Premises                                        ,Y     ,0,      ,0,0,      ,      ,      
14075400080093,CO-OPERATIVE GROUP LTD          ,                                ,01.04.2005               ,ADJ 102                         ,                                ,PEEL STREET                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6PS,C/O RATE ACCOUNT MANAGEMENT        ,COLLIERS INTERNATIONAL RATING UKLLP,"12TH FLR, ELEVEN BRINDLEYPLACE  ","2 BRUNSWICK SQUARE, BIRMINGHAM  "," �1,427.80 ",2950,FUNERAL PARLOUR AND PREMISES                                ,      ,0,      ,0,0,      ,      ,      
14090493421685,ROCHDALE MBC                    ,                                ,01.04.2013               ,                                ,                                ,ROCHDALE MBC CAR PARK              ,PENN STREET                        ,ROCHDALE                        ,                                ,OL16 1HX,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �3,194.40 ",6600,CAR PARK AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
14120399154113,"NHS HEYWOOD, MIDDLETON &        ",ROCHDALE CCG                    ,01.04.2013               ,RAHA                            ,                                ,PHOENIX STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7DW,PENNINE CARE NHS TRUST             ,TRUST HQ                           ,225 OLD STREET                  ,ASHTON UNDER LYNE               ," �2,904.00 ",6000,HEALTH CENTRE AND PREMISES                                  ,      ,0,      ,0,0,      ,      ,      
14141295695151,ALFIRDAUS ARABIC SCHOOL LTD     ,                                ,01.06.2013               ,                                ,                                ,207 DRAKE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL11 4LW,                                   ,                                   ,                                ,                                ," �1,539.75 ",8300,Shop and Premises                                           ,      ,0,      ,0,0,Y     ,      ,      
1415930001016B     ,ACTION ROCHDALE LIMITED T/A     ,ROLLERCITY                      ,02.07.2013               ,B MANNING                       ,                                ,PLATTING LANE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2JT,                                   ,                                   ,                                ,                                , �357.84 ,3600,CAR PARK AND PREMISES                                       ,Y     ,0,      ,0,0,      ,      ,      
1415930016009B     ,DUNPHY OIL & GAS BURNERS LTD    ,                                ,01.04.2005               ,DUNPHY COMBUSTION LTD           ,                                ,QUEENSWAY                          ,ROCHDALE                           ,                                ,                                ,OL11 2SL,DUNPHY COMBUSTION LTD              ,QUEENSWAY                          ,ROCHDALE                        ,                                ," �48,457.50 ",97500,FACTORY AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
14159300170069,SUNFLOWER NURSERIES LTD         ,                                ,04.09.2010               ,CHAPELFIELD HOUSE               ,                                ,PLATTING LANE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2HD,CHAPELFIELD HOUSE                  ,PLATTING LANE                      ,ROCHDALE LANCASHIRE             ,                                ," �3,115.47 ",9900,DAY NURSERY AND PREMISES                                    ,      ,0,      ,0,0,Y     ,      ,      
14186594240853,B DOBSON & SON LTD              ,                                ,01.05.2011               ,"UNITS 2, 3 & 4                  ",                                ,PRIMROSE STREET                    ,ROCHDALE                           ,                                ,                                ,OL12 6AW,                                   ,                                   ,                                ,                                ," �14,661.50 ",29500,Warehouse and Premises                                      ,      ,0,      ,0,0,      ,      ,      
14198700060045,H & C BELL PROPERTIES           ,                                ,01.04.2005               ,H BELL AND SONS LTD             ,                                ,PRINCESS STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HA,33 PRINCESS STREET                 ,ROCHDALE LANCASHIRE                ,                                ,                                , �-   ,3700,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,Y     ,      ,      
14198700190003,ROCHDALE MBC                    ,                                ,01.04.2005               ,T0011 1341 R M B C HIGHWAY      ,SERVICES                        ,PRINCESS STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HA,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �23,856.00 ",48000,STORAGE DEPOT AND PREMISES                                  ,      ,0,      ,0,0,      ,      ,      
14198700230018,J H CUNLIFFE & CO LTD           ,                                ,01.04.2005               ,DUKE STREET MILL                ,                                ,WHITEHALL STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0LW,DUKE STREET MILL                   ,WHITEHALL STREET                   ,ROCHDALE LANCASHIRE             ,                                ," �19,258.75 ",38750,FACTORY AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
14198700240096,ISAAC BUTTERWORTH (IRONFOUNDERS),LTD                             ,07.06.2006               ,UNITS 2 AND 3                   ,                                ,PRINCESS STREET                    ,ROCHDALE                           ,LANCS                           ,                                ,OL12 0HA,UNITS 2 & 3                        ,PRINCESS STREET                    ,Rochdale                        ,                                ," �6,413.00 ",13250,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,Y     ,      ,      
14198709331575,THE RECRUITMENT FIX LTD         ,                                ,16.05.2014               ,                                ,                                ,31 PRINCESS STREET                 ,ROCHDALE                           ,                                ,                                ,OL12 0HA,                                   ,                                   ,                                ,                                , �-   ,4900,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,Y     ,      ,      
14198799165782,ANIMO ASSOCIATES LIMITED        ,                                ,01.09.2009               ,                                ,                                ,35 PRINCESS STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HA,35 PRINCESS STREET                 ,ROCHDALE LANCASHIRE                ,                                ,                                ," �6,897.00 ",14250,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
14201800010085,LAKETEX LIMITED                 ,                                ,27.02.2015               ,S0300 1341 HARGREAVES AND GOTT  ,LTD                             ,PRINCESS STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HA,PRINCESS HOUSE                     ,PRINCESS STREET                    ,ROCHDALE                        ,                                ," �19,755.75 ",39750,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
14201899145417,BRIAN CLEGG (EDUCATIONAL        ,PRODUCTS) LTD                   ,01.04.2005               ,REGENT MILL                     ,                                ,PRINCESS STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HA,REGENT MILL                        ,PRINCESS STREET                    ,ROCHDALE LANCASHIRE             ,                                ," �27,086.50 ",54500,FACTORY AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
14260976623025,ENSOR MILL LTD                  ,                                ,01.01.2015               ,                                ,                                ,VACANT UNITS                       ,ENSOR MILL                         ,QUEENSWAY                       ,ROCHDALE                        ,OL11 2NU,SILVESTER HOUSE                    ,BRADSHAW STREET                    ,HEYWOOD                         ,                                ," �21,743.75 ",43750,Workshop and Premises                                       ,      ,0,      ,0,0,      ,      ,      
14261090094406,RYDALE POLYMERS LTD             ,                                ,08.08.2012               ,                                ,                                ,UNIT 10A ENSOR MILL                ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2NU,6 BUCKLEY VIEW                     ,SMALLBRIDGE                        ,ROCHDALE                        ,                                , �696.96 ,7200,Warehouse and Premises                                      ,      ,0,      ,0,0,Y     ,      ,      
14261091062888,ENSOR ENTERTAINMENTS LIMITED    ,                                ,14.05.2016               ,                                ,                                ,UNIT 8 ENSOR MILL                  ,QUEENSWAY                          ,ROCHDALE                        ,LANCS                           ,OL11 2NU,                                   ,                                   ,                                ,                                ," �19,072.55 ",43500,Workshop and Premises                                       ,      ,0,      ,0,0,      ,      ,      
14261095002118,GSG CARPET FACTORY SHOP LTD     ,                                ,01.08.2009               ,GSG CARPETS PT MILL 3 ENSOR MILL,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCS                           ,                                ,OL11 2NU,UNIT 4B ENSOR MILL                 ,QUEENSWAY                          ,ROCHDALE                        ,                                ," �9,070.25 ",18250,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,      ,      ,      
14261095252412,UNIVERSAL TRADING CO LTD        ,                                ,01.05.2013               ,                                ,                                ,UNIT LG1 AT UNITS 1-2 ENSOR MILL   ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2NU,                                   ,                                   ,                                ,                                ," �12,176.50 ",24500,Warehouse and Premises                                      ,      ,0,      ,0,0,      ,      ,      
14261096000135,GLOBAL COMPOUNDS LTD            ,                                ,08.07.2014               ,                                ,                                ,UNIT LG2 AT UNITS 1-2 ENSOR MILL   ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2NU,EARL BUSINESS CENTRE               ,DOWRY STREET                       ,OLDHAM                          ,                                ," �14,413.00 ",29000,Warehouse and Premises                                      ,      ,0,      ,0,0,      ,      ,      
14261096321478,FCPC LTD                        ,                                ,01.11.2013               ,                                ,                                ,FCPC LTD                           ,UNIT 10 ENSOR MILL                 ,QUEENSWAY                       ,ROCHDALE                        ,OL11 2NU,                                   ,                                   ,                                ,                                ," �7,623.00 ",15750,Gym and Premises                                            ,      ,0,      ,0,0,      ,      ,      
14261096395983,CUSTOM COMPOSITES LTD           ,                                ,01.02.2009               ,CUSTOM COMPOSITES               ,                                ,UNITS 1-2 PT MILL 3 ENSOR MILL     ,QUEENSWAY                          ,ROCHDALE                        ,LANCS                           ,OL11 2NU,CUSTOM COMPOSITES                  ,UNITS 1-2 PT MILL 3 ENSOR MILL     ,QUEENSWAY                       ,ROCHDALE LANCS                  ," �9,443.00 ",19000,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
14261097000257,ROCHDALE AIRGUN CLUB LTD        ,                                ,08.07.2014               ,                                ,                                ,UNIT LG3 AT UNITS 1-2 ENSOR MILL   ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2NU,2 GORSE ROAD                       ,MILNROW                            ,ROCHDALE                        ,                                , �-   ,14750,Warehouse and Premises                                      ,Y     ,100,      ,0,0,      ,      ,      
14261097623015,PRESTIGE BUILDING SUPPLIES LTD  ,                                ,01.01.2015               ,                                ,                                ,PRESTIGE BUILDING SUPPLIES         ,ENSOR MILL                         ,QUEENSWAY                       ,ROCHDALE                        ,OL11 2NU,                                   ,                                   ,                                ,                                ," �20,004.25 ",40250,Workshop and Premises                                       ,      ,0,      ,0,0,      ,      ,      
14261097895412,ROCHDALE MMA LTD                ,                                ,01.11.2013               ,                                ,                                ,RMMA LTD                           ,UNIT 10 ENSOR MILL                 ,QUEENSWAY                       ,ROCHDALE                        ,OL11 2NU,13 YEOMANS CLOSE                   ,MILNROW                            ,ROCHDALE                        ,                                ," �1,455.37 ",8200,Boxing Centre & premises                                    ,      ,0,      ,0,0,Y     ,      ,      
14261098745854,COMPOSITE TEXTILES LTD          ,                                ,28.03.2013               ,                                ,                                ,UNIT LG1A AT UNIT 1-2 ENSOR MILL   ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2NU,                                   ,                                   ,                                ,                                ," �7,744.00 ",16000,Warehouse and Premises                                      ,      ,0,      ,0,0,      ,      ,      
14264500000001,CLEAR CHANNEL (UK) LTD          ,                                ,01.04.2005               ,MORE O'FERRALL JUNCTION         ,                                ,QUEENSWAY/WELL I'TH LANE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1AU,NNDR DEPT                          ,ORION GATE                         ,GUILDFORD ROAD                  ,WOKING                          ," �1,984.40 ",4100,ADVERTISING STATION AND PREMISES                            ,      ,0,      ,0,0,      ,      ,      
1426450001008A     ,FISHER CLEANING SERVICES LTD    ,                                ,20.11.2015               ,T1011 1341                      ,1A                              ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2LB,210-212 OLDHAM ROAD                ,ROCHDALE                           ,                                ,                                , �-   ,2325,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,Y     ,Y     
14264500020058,FISHERS CLEANING SERVICES LTD   ,                                ,21.07.2007               ,                                ,                                ,1 QUEENSWAY                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2LB,210-212 OLDHAM ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ," �1,355.20 ",2800,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
14264500030026,ROCHDALE CAR AUDIO LTD          ,                                ,01.04.2009               ,                                ,                                ,11 QUEENSWAY                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2LB,11 QUEENSWAY                       ,ROCHDALE LANCASHIRE                ,                                ,                                , �-   ,4150,SHOP AND PREMISES                                           ,      ,0,      ,0,0,Y     ,      ,      
142645000400X7     ,PRIMESIGHT LIMITED              ,                                ,01.09.2009               ,GABLE                           ,                                ,11 QUEENSWAY                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2LB,UNIT 9 WESTPOINT ENTERPRISE PARK   ,CLARENCE AVENUE                    ,TRAFFORD PARK                   ,MANCHESTER                      , �629.20 ,1300,ADVERTISING RIGHT AND PREMISES                              ,      ,0,      ,0,0,      ,      ,      
14264500050231,ADORABLE TOTS LTD               ,                                ,12.05.2016               ,GREEN MILL QUEENSWAY SNOOKER    ,LTD                             ,WELL I'TH LANE                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1BB,PLATTING LANE                      ,ROCHDALE                           ,                                ,                                ," �4,869.17 ",12000,CLUB AND PREMISES                                           ,      ,0,      ,0,0,      ,      ,      
14264500300042,PRIMESIGHT LIMITED              ,                                ,01.09.2009               ,GABLE OF                        ,                                ,395 QUEENSWAY                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2NU,UNIT 9 WESTPOINT ENTERPRISE PARK   ,CLARENCE AVENUE                    ,TRAFFORD PARK                   ,MANCHESTER                      , �629.20 ,1300,ADVERTISING RIGHT AND PREMISES                              ,      ,0,      ,0,0,      ,      ,      
14264500380028,PRIMESIGHT LIMITED              ,                                ,01.09.2009               ,GABLE                           ,                                ,409 QUEENSWAY                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2NU,UNIT 9 WESTPOINT ENTERPRISE PARK   ,CLARENCE AVENUE                    ,TRAFFORD PARK                   ,MANCHESTER                      , �677.60 ,1400,ADVERTISING RIGHT AND PREMISES                              ,      ,0,      ,0,0,      ,      ,      
142645003900X9     ,GAUHAR DEVELOPMENTS LLP         ,                                ,31.07.2014               ,                                ,                                ,445 QUEENSWAY                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2NY,CASTLE MILL                        ,QUEENSWAY                          ,ROCHDALE                        ,                                , �-   ,1575,SHOP AND PREMISES                                           ,      ,0,      ,0,0,      ,Y     ,Y     
14264500690037,SWANSWAY GARAGES                ,T/A SWANSWAY HONDA ROCHDALE     ,09.11.2010               ,swans way garages ltd           ,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCS                           ,                                ,OL11 2TJ,                                   ,                                   ,                                ,                                ," �33,796.00 ",68000,CAR SHOWROOM AND PREMISES                                   ,      ,0,      ,0,0,      ,      ,      
1426452674986A     ,PRIMESIGHT LIMITED              ,                                ,01.09.2009               ,MAIDEN NO 1512 GABLE            ,                                ,563 QUEENSWAY                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2QJ,UNIT 9 WESTPOINT ENTERPRISE PARK   ,CLARENCE AVENUE                    ,TRAFFORD PARK                   ,MANCHESTER                      , �617.10 ,1275,ADVERTISING RIGHT                                           ,      ,0,      ,0,0,      ,      ,      
14264544573009,EMBER RENTAL LTD                ,                                ,01.04.2005               ,EAGLE TECHNOLOGY PARK           ,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1TQ,NORTHGATE PLC                      ,LAMBERT SMITH HAMPTON              ,2ND FLR 41-51 GREY STREET       ,NEWCASTLE UPON TYNE             ," �24,725.75 ",49750,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,      ,0,      ,0,0,      ,      ,      
14264591050350,ACTION ROCHDALE LIMITED         ,                                ,02.07.2013               ,GREEN MILL                      ,                                ,WELL I'TH LANE                     ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1BB,                                   ,                                   ,                                ,                                ," �2,509.85 ",25250,"WAREHOUSE, OFFICE AND PREMISES                              ",Y     ,0,      ,0,0,      ,      ,      
14264593120163,SHELL UK LTD                    ,                                ,02.02.2009               ,SHELL EAGLE                     ,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2TJ,C/O MUA PROPERTY SERVICES LTD      ,PO BOX 716                         ,WALTHAM ABBEY                   ,                                ," �36,529.50 ",73500,PETROL FILLING STATION AND PREMISES                         ,      ,0,      ,0,0,      ,      ,      
14264598458565,REEVE (DERBY) LTD T/A           ,PENTAGON ROCHDALE               ,02.12.2011               ,PENTAGON ROCHDALE               ,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1TQ,PENTAGON VAUXHALL                  ,CHADDERTON WAY                     ,OLDHAM                          ,                                ," �31,062.50 ",62500,CAR SHOWROOM AND PREMISES                                   ,      ,0,      ,0,0,      ,      ,      
14264599178449,ADHESIVE COATINGS LIMITED       ,                                ,01.04.2005               ,EAGLE TECHNOLOGY PARK ADHESIVE  ,COAT                            ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1TQ,EAGLE TECHNOLOGY PARK ADHESIVE COAT,QUEENSWAY                          ,ROCHDALE LANCASHIRE             ,                                ," �19,880.00 ",40000,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
14264599180152,KERF DEVELOPMENTS LIMITED       ,                                ,10.07.2014               ,UNIT A EAGLE TECHNOLOGY PARK    ,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1TQ,                                   ,                                   ,                                ,                                ," �14,661.50 ",29500,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
