Organisation Name,Dept,Service Cat Label,Service Cat Label Description,Expenditure CIPFA Sub Group Label,Supplier,Date,Transaction No.,Net Amount,Grant to VCSE?,Card Transaction
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,SIBCAS LIMITED, 27/11/2014,EST0257281,"£5,130.00",No, 
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Seminars etc All Costs,4601,REDACTED PERSONAL DATA, 27/11/2014,COR0257349,£121.90,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Other Equipment,4003,VIP SYSTEMS LIMITED, 06/11/2014,HED0256810,£548.18,No, 
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,ST PHILIP`S CE PRIMARY SCHOOL, 20/11/2014,COR0257174,£400.00,No, 
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Protective Clothing,4201,REDACTED PERSONAL DATA, 27/11/2014,HMR0257289,£33.32,No, 
Pendle Borough Council,Housing Regeneration Services,Premises Related Expense,Premises Cleaning,2601,PETER ROACH, 06/11/2014,HMR0256812,£120.00,No, 
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Recruitment,1221,LIBERATA UK LTD, 13/11/2014,PER0256940,£470.00,No, 
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,LIBERATA UK LTD, 13/11/2014,AAS0256931,"£1,665.62",No, 
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,4601,LIBERATA UK LTD, 13/11/2014,PER0256949,£962.00,No, 
Pendle Borough Council,Financial Services,Agency Costs,Liberata,5301,LIBERATA UK LTD, 13/11/2014,AAS0256930,"£405,392.07",No, 
Pendle Borough Council,Financial Services,Capital Costs,Capital : Salaries,CD13,LIBERATA UK LTD, 27/11/2014,AAS0257330,"£5,485.16",No, 
Pendle Borough Council,Human Resources,Supplies and Services,Other Expenses,4705,FIDELITI LIMITED, 13/11/2014,PER0256942,£125.95,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,C B PRICE & SONS BUILDERS, 27/11/2014,PCO0257243,"£3,150.00",No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,4401,ANTHONY COLLINS SOLICITORS LLP, 20/11/2014,DAL0257169,£685.00,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,4508,O2 (UK) LIMITED, 20/11/2014,AAS0257215,"£1,245.00",No, 
Pendle Borough Council,Financial Services,Capital Financing Costs,Lease costs:Computer (Orchard),8204,O2 (UK) LIMITED, 20/11/2014,AAS0257215,£23.00,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,FARMHOUSE BISCUITS LTD, 27/11/2014,REG0257277,£121.46,No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD14,NPOWER, 13/11/2014,HMR0256945,£433.85,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,ITHAAD COMMUNITY DEVELOPMENT TRUST LTD, 06/11/2014,HED0256830,"£2,500.00",Yes, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,4705,URBAN VISION PARTNERSHIP LTD, 27/11/2014,ENV0257321,£225.00,No, 
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Lone Worker Monitoring Service,1270,HOUSING PENDLE LIMITED, 20/11/2014,PCO0257080,"£2,054.00",No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,"Monitoring, Console etc",4510,HOUSING PENDLE LIMITED, 20/11/2014,PCO0257080,"£3,353.11",No, 
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,4706,CAPITA TREASURY SERVICES LIMITED, 13/11/2014,AAS0256932,"£3,750.00",No, 
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Training,1211,BEN SHAW TRAINING LIMITED, 20/11/2014,OPS0257119,"£4,413.00",No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Other Expenses,4705,PORTABLE APPLIANCE SAFETY SERVICES LTD, 27/11/2014,PCO0257235,£9.99,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,RIGBY`S EXECUTIVE COACHES LTD, 06/11/2014,OPS0256759,£175.00,No, 
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,ZEN INTERNET, 13/11/2014,COR0256972,£75.71,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,A BINNS & CO, 20/11/2014,PCO0257078,"£12,115.00",No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Tax Deducted,pd05,A BINNS & CO, 20/11/2014,PCO0257078,£450.00,No, 
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,BRITISH GAS BUSINESS, 20/11/2014,AAS0257218,£391.13,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS, 20/11/2014,EST0257165,£18.92,No, 
Pendle Borough Council,Property Services,Supplies and Services,Publicity & advertisement,4704,EIGHT IMAGING, 20/11/2014,EST0257148,£150.00,No, 
Pendle Borough Council,Engineering & Special Projects,Agency Costs,Lancashire C C,5102,NSL LIMITED, 13/11/2014,HED0256869,"£1,393.75",No, 
Pendle Borough Council,Financial Services,Supplies and Services,Printing & Stationery,4301,JOHNSTON PUBLISHING LIMITED, 20/11/2014,AAS0257363,£41.60,No, 
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,4702,JOHNSTON PUBLISHING LIMITED, 27/11/2014,MAN0257248,"£1,532.64",No, 
Pendle Borough Council,Planning & Building Control,Supplies and Services,Other Expenses,4705,JOHNSTON PUBLISHING LIMITED, 20/11/2014,PBC0257147,£420.88,No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,JOHNSTON PUBLISHING LIMITED, 13/11/2014,EST0256996,"£1,128.33",No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN DAVIDSON PIPES LIMITED, 06/11/2014,HED0256751,£84.10,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,2001,COMMUTAPORTS LIMITED, 06/11/2014,HED0256826,"£2,093.00",No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JAMES ALPE SIGN & DESIGN, 13/11/2014,PCO0256842,£65.80,No, 
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS, 06/11/2014,OPS0256758,£720.00,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,4705,LIBRA TEXTILES LTD, 20/11/2014,REG0257206,"£7,277.84",No, 
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,ARVAL LTD (ALLSTAR FUEL SERVICES), 19/11/2014,AAS0257253,"£19,787.99",No, 
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES), 17/11/2014,AAS0257185,£581.52,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,KEYPLUS SECURITY LIMITED, 06/11/2014,PCO0256690,£457.14,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,KIRK ENVIRONMENTAL LTD, 20/11/2014,REG0257202,£650.00,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,SAFETY AT HEIGHT LIMITED, 20/11/2014,EST0257129,£264.30,No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,SAFETY AT HEIGHT LIMITED, 20/11/2014,EST0257128,£180.00,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,THE BOOKSHOP, 20/11/2014,REG0257200,£130.73,No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Clearance,CD17,SCOTTISH POWER, 20/11/2014,HMR0257026,£90.44,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,WHISTL NORTH LIMITED, 20/11/2014,DAL0257048,"£2,439.22",No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Publicity & advertisement,4704,WHISTL NORTH LIMITED, 06/11/2014,DAL0256786,£32.74,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Other Expenses,4705,MISS A MONK, 06/11/2014,PCO0256692,£850.00,No, 
Pendle Borough Council,Democratic & Legal Services,Indirect Employee Expenses,Staff Refreshments,1261,P T ALLISON, 06/11/2014,DAL0256789,£28.00,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Hospitality,4611,P T ALLISON, 06/11/2014,DAL0256789,£20.40,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,P T ALLISON, 06/11/2014,DAL0256789,£6.00,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,TWO BOROUGHS RADIO LIMITED, 13/11/2014,REG0257023,£289.60,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Stock : Purchases,PJ01,THE BELL BRUSH COMPANY, 27/11/2014,OPS0257300,£69.67,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,SAWLEY FINE ARTS LTD, 13/11/2014,REG0257025,£410.63,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,4610,THE RAINHALL CENTRE, 13/11/2014,DAL0256921,£16.00,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,THE RAINHALL CENTRE, 27/11/2014,REG0257301,£68.00,No, 
Pendle Borough Council,Human Resources,Capital Financing Costs,Lease Costs : Transport/Plant,8202,LEX AUTOLEASE LIMITED, 13/11/2014,PER0256967,£258.76,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,SPEAKMAN CONTRACTORS LTD, 20/11/2014,EST0257122,£727.62,No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Salaries,CD13,SPEAKMAN CONTRACTORS LTD, 20/11/2014,EST0257166,"£4,048.75",No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,SPEAKMAN CONTRACTORS LTD, 20/11/2014,EST0257227,"£8,914.40",No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,2001,LIVESEY BUILDING MAINTENANCE CONTRACTORS, 20/11/2014,HED0257198,£530.00,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LIVESEY BUILDING MAINTENANCE CONTRACTORS, 20/11/2014,HED0257197,"£1,374.10",No, 
Pendle Borough Council,Democratic & Legal Services,Capital Costs,Capital : Payments,CD14,LICENSING MATTERS LIMITED, 27/11/2014,DAL0257317,£60.00,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),4419,PATROL, 06/11/2014,HED0256770,£233.75,No, 
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD, 27/11/2014,OPS0257341,"£1,459.87",No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Other Equipment,4003,PRIVATE HIRE & TAXI MONTHLY LTD, 13/11/2014,HED0256865,£30.00,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),4419,CHIPSIDE LTD, 27/11/2014,HED0257266,"£1,245.72",No, 
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,SWALEC, 13/11/2014,EST0256988,£159.35,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,M C & M A STEWART HAULAGE, 20/11/2014,PCO0257068,"£1,030.00",No, 
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS, 03/11/2014,AAS0257254,£243.89,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Other Equipment,4003,ID MANAGEMENT SYSTEMS, 06/11/2014,HED0256811,£293.40,No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Salaries,CD13,PEARL 2, 20/11/2014,HMR0257089,"£1,390.24",No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD14,PEARL 2, 20/11/2014,HMR0257090,"£143,990.00",No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Clearance,CD17,PEARL 2, 20/11/2014,HMR0257091,"£10,268.77",No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Site Management,CD51,PEARL 2, 20/11/2014,HMR0257092,"£39,104.05",No, 
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD14,CRAEMER UK LIMITED, 06/11/2014,OPS0256760,"£6,460.00",No, 
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Consultants Fees,4401,GRAHAM KAY, 20/11/2014,COR0257177,£300.00,No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,UNITED UTILITIES WATER PLC, 27/11/2014,EST0257353,£141.00,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,GLOBAL PAYMENTS, 18/11/2014,AAS0257187,£955.49,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,4421,GLOBAL PAYMENTS, 18/11/2014,AAS0257189,"£1,557.65",No, 
Pendle Borough Council,Financial Services,Support Services,Bank Charges,7201,LLOYDS BANKING GROUP, 28/11/2014,AAS0257378,£664.04,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,OCS GROUP UK LIMITED, 20/11/2014,OPS0257138,£378.52,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,JOHNSONS PPE, 13/11/2014,PCO0256844,£41.46,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Stock : Purchases,PJ01,JOHNSONS PPE, 27/11/2014,OPS4004431,£356.42,No, 
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Recruitment,1221,DBS, 18/11/2014,AAS0257186,£440.00,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,DBS, 18/11/2014,AAS0257186,£924.00,No, 
Pendle Borough Council,Operational Services,Agency Costs,Refuse Collection DLO,5005,C & C PROCESS SERVERS, 06/11/2014,OPS0256805,£65.00,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,RUSSELL HOLDEN, 06/11/2014,HED0256790,£595.00,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,RUSSELL HOLDEN, 06/11/2014,HED0256790,£580.00,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,NELSON VOLLEYBALL CLUB, 13/11/2014,HED0256957,£500.00,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,GEORGE ROMNEY LIMITED, 20/11/2014,REG0257201,£110.36,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,REDACTED PERSONAL DATA, 27/11/2014,DAL0257323,£60.82,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,RIGHTMOVE.CO.UK, 03/11/2014,AAS0257036,£274.50,No, 
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD14,RIGHTMOVE.CO.UK, 03/11/2014,AAS0257036,£535.50,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,HERITAGE CARDS & SOUVENIRS LTD, 13/11/2014,REG0257010,£287.60,No, 
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,4003,GLASDON UK LIMITED, 20/11/2014,OPS0257116,£708.00,No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,M L PLUMBING & BUILDING, 13/11/2014,HMR0256881,"£4,685.00",No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Passenger Shelter Cleaning,2606,JANDON CLEANING SERVICES, 06/11/2014,HED0256771,£400.00,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,GROUNDSMAN, 20/11/2014,PCO0257081,£219.78,No, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,4705,ENVITECH EUROPE LTD, 27/11/2014,ENV0257322,"£1,300.00",No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Other Expenses,4705,TRAWDEN LADIES CHOIR, 06/11/2014,PCO0256693,£150.00,No, 
Pendle Borough Council,Revenues Services,Supplies and Services,Consultants Fees,4401,HM COURTS & TRIBUNALS SERVICE, 20/11/2014,TRE0257104,"£3,454.00",No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Court Fees,4403,HM COURTS & TRIBUNALS SERVICE, 13/11/2014,DAL0256982,£200.00,No, 
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,HENRY CHRISTOPHER COMMERCIAL PRINTERS LTD, 27/11/2014,COR0257337,£150.00,No, 
Pendle Borough Council,Property Services,Supplies and Services,Publicity & advertisement,4704,REDACTED PERSONAL DATA, 27/11/2014,EST0257312,£48.18,No, 
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Seminars etc All Costs,4601,KELBROOK & SOUGH PARISH COUNCIL, 13/11/2014,COR0256817,£17.00,No, 
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,BLACK HORSE CONTRACT HIRE - FLEET 564391, 13/11/2014,OPS0256891,£377.00,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKO PARISH COUNCIL, 13/11/2014,HED0256955,£412.00,No, 
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,4705,EMPIRE ESTATES TEAM LIMITED, 06/11/2014,HMR0256748,£200.00,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,4401,REDACTED PERSONAL DATA, 20/11/2014,DAL0257176,£500.00,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,3202,TATE FUEL OILS LIMITED, 27/11/2014,PCO0257233,"£2,062.00",No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,RAYNORS, 27/11/2014,PCO0257232,£36.44,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Seminars etc All Costs,4601,LAND DATA, 27/11/2014,DAL0257275,£570.00,No, 
Pendle Borough Council,Financial Services,Capital Costs,Capital : Surveyors Fees,CD07,REDACTED PERSONAL DATA, 11/11/2014,AAS0257044,£690.00,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Other Expenses,4705,REDACTED PERSONAL DATA, 06/11/2014,PCO0256691,£850.00,No, 
Pendle Borough Council,Housing Regeneration Services,Transfer Payments,Accommodation ,6103,JAYS PROPERTIES SUPPORT, 06/11/2014,HMR0256747,£240.00,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,MARSDEN COMMUNITY CENTRE, 13/11/2014,HED0256948,£100.00,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,4422,ALLPAY LIMITED, 06/11/2014,AAS0256835,"£1,507.63",No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,4401,DWF LLP, 06/11/2014,DAL0256796,£260.00,No, 
Pendle Borough Council,Housing Regeneration Services,Premises Related Expense,Bldgs : R & M : Abnormal,2002,ELITE PLUMBING, 13/11/2014,HMR0256879,"£1,360.00",No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,VICTORIA PARK PAVILION CIC, 13/11/2014,HED0256871,"£2,500.00",Yes, 
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,2002,RODNEY CAPSTICK BUILDING MAINTENANCE, 20/11/2014,ENV0257159,£64.00,No, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,Consultants Fees,4401,RODNEY CAPSTICK BUILDING MAINTENANCE, 06/11/2014,ENV0256777,£216.00,No, 
Pendle Borough Council,Property Services,Supplies and Services,Subscriptions & Donations,4706,RAZAMATAZ.COM LIMITED, 20/11/2014,EST0257161,£537.30,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,4705,LIBERTY SERVICES, 06/11/2014,HED0256787,£53.06,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,MOVING PEOPLE BUS & COACHES SERVICES, 27/11/2014,REG4004432,£206.00,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,KEVIN WILKINSON LANDSCAPES LTD, 13/11/2014,HED0257003,£199.50,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,NELSON IN BLOOM, 13/11/2014,HED0256867,"£7,000.00",No, 
Pendle Borough Council,Environmental Health Services,Transport Related Expense,Tprt : Pooled Transport,3401,WEST WALLASEY CAR HIRE LIMITED, 05/11/2014,ENV4004408,£0.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,MARCHBRIDGE BUILDERS LIMITED, 06/11/2014,PCO0256688,"£12,642.06",No, 
Pendle Borough Council,Engineering & Special Projects,Transport Related Expense,Tprt : Repairs : General,3105,COLNE MOT CENTRE LIMITED, 20/11/2014,HED0257180,£68.50,No, 
Pendle Borough Council,Revenues Services,Supplies and Services,Consultants Fees,4401,JBW GROUP LTD, 06/11/2014,TRE0256788,£110.00,No, 
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Emp : Medical Expenses,1236,HEALTH BUSINESS LIMITED, 13/11/2014,PER0256953,£595.00,No, 
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BES COMMERCIAL ELECTRICITY LTD, 27/11/2014,AAS0257335,£28.52,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,DAVID NORMAN SOLICITORS LIMITED, 06/11/2014,REG0256823,£650.00,No, 
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Lone Worker Monitoring Service,1270,CONNEXION2 LIMITED, 06/11/2014,OPS0256761,£350.79,No, 
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,BES COMMERCIAL GAS, 20/11/2014,AAS0257222,£28.52,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,NM ENERGY LIMITED, 20/11/2014,REG0257204,£650.00,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,ST JOHNS WITH ST PHILIP PCC, 13/11/2014,HED0256868,"£1,000.00",No, 
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,4003,IMPERIAL POLYTHENE PRODUCTS LIMITED, 20/11/2014,OPS0257115,£482.72,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,INSIGHT WITH PASSION, 13/11/2014,REG0257014,"£1,136.00",No, 
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,SEC-1 LIMITED, 06/11/2014,AAS0256791,"£2,850.00",No, 
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,RAYNET RECRUITMENT AGENCY, 20/11/2014,OPS0257150,"£1,609.34",No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,O`CALLAGHAN LIMITED, 20/11/2014,HED0257182,"£9,037.02",No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Public Realm,CD20,O`CALLAGHAN LIMITED, 20/11/2014,HED0257184,"£39,580.70",No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,B & W PLANT HIRE AND SALES LTD, 13/11/2014,PCO0256862,£136.00,No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Salaries,CD13,PJ SERVICES (BOLTON) LIMITED, 20/11/2014,EST0257167,"£7,727.53",No, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,4705,IAN WHITTAKER, 06/11/2014,ENV0256776,£200.00,No, 
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,RAPID RECRUIT LIMITED, 13/11/2014,OPS0256914,"£11,802.52",No, 
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Training,1211,PLAYSAFETY LIMITED, 20/11/2014,PCO0257072,£880.00,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Other Expenses,4705,REDACTED PERSONAL DATA, 06/11/2014,PCO0256730,£400.00,No, 
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,4705,REDACTED PERSONAL DATA, 06/11/2014,HMR0256749,£300.00,No, 
Pendle Borough Council,Property Services,Supplies and Services,Publicity & advertisement,4704,REDACTED PERSONAL DATA, 06/11/2014,EST0256785,£170.00,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,MARCIN BURZYNSKI, 06/11/2014,REG0256799,"£1,868.00",No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,4401,REDACTED PERSONAL DATA, 06/11/2014,DAL0256816,£187.50,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Seminars etc All Costs,4601,REDACTED PERSONAL DATA, 06/11/2014,DAL0256816,£187.50,No, 
Pendle Borough Council,Planning & Building Control,Supplies and Services,Planning Appeals,4415,GLEESON DEVELOPMENTS LIMITED, 13/11/2014,PBC0256838,"£6,288.55",No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,ANDREW PICKARD, 13/11/2014,REG0257012,"£2,000.00",No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,WE LOVE PR, 13/11/2014,REG0257013,£650.00,No, 
Pendle Borough Council,Economic Development & Tourism,Capital Costs,Capital : Payments,CD14,INSPIRED FLOORING, 13/11/2014,REG0257024,"£3,000.00",No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,DALES RENEWABLES, 20/11/2014,EST0257168,"£1,270.32",No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,LEWIS EQUIPMENT LIMITED, 27/11/2014,PCO0257352,£138.86,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,SMARTYPANTS, 27/11/2014,HED0257269,£100.00,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,FRIENDS OF ST JOHN SOUTHWORTH, 27/11/2014,HED0257270,£100.00,No, 
