Organisation,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000849059,13/11/2014,NORTH WEST EMPLOYERS,Public Transport,FINANCE SERVICES,CHIEF EXECUTIVE EXPENSES,3084.8
Rochdale,V000849685,17/11/2014,PUBLICOLA LTD,Human Resources,FINANCE SERVICES,CHIEF EXECUTIVE EXPENSES,2250
Rochdale,V000854321,25/11/2014,THE FOUNDATION STAGE FORUM LTD,Education,EARLY HELP AND SCHOOLS,CHILDCARE DEVELOPMENT TEAM,2000
Rochdale,V000847765,06/11/2014,PENNINE CARE NHS,Social Community Care Supplies & Services,PUBLIC HEALTH,CHILDREN 5 TO 19 COMMISSIONING,120305
Rochdale,V000850334,18/11/2014,ROCHDALE MEMORIAL SERVICE,Cemetery & Crematorium,CUSTOMERS & CORPORATE SERVICES,CIVIL CONTINGENCY INCIDENTS,5000
Rochdale,V000849365,14/11/2014,POWERCARE,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,CLEANING EQUIPMENT,1950
Rochdale,V000854959,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,PROPERTY AND HIGHWAYS,CLIENT SIDE PROPERTIES,1826.88
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,PROPERTY AND HIGHWAYS,CLIENT SIDE PROPERTIES,1269.25
Rochdale,V000854084,26/11/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,COMMITTEE SERVICES,562.38
Rochdale,V000849132,13/11/2014,BROOKSIDE COMMUNITY ASSOCIATION,Financial Services,CUSTOMERS & CORPORATE SERVICES,COMMUNITY CENTRE EVENTS,7510
Rochdale,V000855082,28/11/2014,DEEPLISH COMMUNITY CENTRE,Financial Services,CUSTOMERS & CORPORATE SERVICES,COMMUNITY CENTRE EVENTS,1639.2
Rochdale,V000849672,17/11/2014,FIRST GROUP PLC,Public Transport,ECONOMY AND ENVIRONMENT,COMMUNITY CHAMPION,2375
Rochdale,V000852619,20/11/2014,FIRST GROUP PLC,Public Transport,ECONOMY AND ENVIRONMENT,COMMUNITY CHAMPION,2375
Rochdale,V000849673,17/11/2014,FIRST GROUP PLC,Public Transport,ECONOMY AND ENVIRONMENT,COMMUNITY CHAMPION,-2375
Rochdale,V000847401,04/11/2014,JUST POETS,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,COMMUNITY CHAMPION,600
Rochdale,V000854936,28/11/2014,DISABLED LIVING LTD,Human Resources,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY OCCUPATIONAL THERAPY &HANDLING,500
Rochdale,V000854959,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,CHILDREN’S SOCIAL CARE,CONTACT OFFICERS,552
Rochdale,V000850296,18/11/2014,SYNTAX CONTROLS LIMITED,Unclassifiable,PROPERTY AND HIGHWAYS,CONTACT OFFICERS,1332
Rochdale,V000844721,01/11/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,302167
Rochdale,V000844722,01/11/2014,LINK4LIFE (TRADING),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,7300
Rochdale,V000847594,04/11/2014,TRENCH RIGHT LTD,Environmental Services,PROPERTY AND HIGHWAYS,CORING,7113.35
Rochdale,V000854457,25/11/2014,HERITAGE ROOFING AND MAINTENANCE,Building Construction Materials,PROPERTY AND HIGHWAYS,CORPORATE LANDLORD GENERAL,600
Rochdale,V000849298,14/11/2014,ROTA ROD LIMITED,Environmental Services,PROPERTY AND HIGHWAYS,CORPORATE LANDLORD GENERAL,2020
Rochdale,V000848195,07/11/2014,PS&P  LTD,Financial Services,FINANCE SERVICES,COUNCIL TAX LIABILITY AND RECOVERY,543.91
Rochdale,V000847552,20/11/2014,AGA BIOENGINEERING SYSTEMS LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,3293
Rochdale,V000854960,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,887.71
Rochdale,V000855095,28/11/2014,H2O FLOWTECH LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,1233.96
Rochdale,V000848897,13/11/2014,NORDEN AGRICULTURAL CONTRACTORS,Horticultural,ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,1300
Rochdale,V000836481,04/11/2014,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,Healthcare,CUSTOMERS & CORPORATE SERVICES,COURSES SCHOOL SAFETY,1330
Rochdale,V000848484,10/11/2014,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,Healthcare,CUSTOMERS & CORPORATE SERVICES,COURSES SCHOOL SAFETY,1140
Rochdale,V000848695,10/11/2014,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,Healthcare,CUSTOMERS & CORPORATE SERVICES,COURSES SCHOOL SAFETY,810
Rochdale,V000849072,13/11/2014,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,Healthcare,CUSTOMERS & CORPORATE SERVICES,COURSES SCHOOL SAFETY,810
Rochdale,V000854505,26/11/2014,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,Healthcare,CUSTOMERS & CORPORATE SERVICES,COURSES SCHOOL SAFETY,950
Rochdale,V000854862,27/11/2014,PETRUS COMMUNITY,Financial Services,ECONOMY AND ENVIRONMENT,CREATIVE EMPL PROGRAMME,3000
Rochdale,V000849822,17/11/2014,SOLON SECURITY LIMITED,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,CRIME PREVENTION AND COMMUNITY SAFETY,1589
Rochdale,V000854960,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,1475.26
Rochdale,V000854962,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,3082.1
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,1316.54
Rochdale,V000847786,06/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,580.5
Rochdale,V000847957,06/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,540
Rochdale,V000847964,06/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,1066.5
Rochdale,V000847985,06/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,4677.75
Rochdale,V000847986,06/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,4961.25
Rochdale,V000847988,06/11/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,580.5
Rochdale,V000852542,20/11/2014,ANGLIA DNA SERVICES LTD,Environmental Services,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,740
Rochdale,V000852543,20/11/2014,ANGLIA DNA SERVICES LTD,Environmental Services,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,740
Rochdale,V000847615,05/11/2014,MR ANDREW MOORE,Unclassifiable,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,9096
Rochdale,V000848744,19/11/2014,STOCKPORT PSYCHOLOGY SERVICES LIMITED,Healthcare,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,661.71
Rochdale,V000848142,07/11/2014,INFORMATION COMMISSIONERS OFFICE,Financial Services,CUSTOMERS & CORPORATE SERVICES,CUSTOMER SERVICES SYSTEMS,500
Rochdale,V000848145,07/11/2014,INFORMATION COMMISSIONERS OFFICE,Financial Services,CUSTOMERS & CORPORATE SERVICES,CUSTOMER SERVICES SYSTEMS,2100
Rochdale,V000854750,27/11/2014,PHS RECORDSMANAGEMENT,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,CUSTOMER SERVICES SYSTEMS,3205
Rochdale,V000848836,11/11/2014,SURVEY OPERATIONS,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,DALE MILL (HMRF),1100
Rochdale,V000852946,25/11/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,DARNHILL LIBRARY,707.28
Rochdale,V000852457,19/11/2014,LITTLEBOROUGH COMMUNITY PRIMARY SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,DAY TO DAY REPAIRS & SERVICING OF PLANT,25000
Rochdale,V000848987,12/11/2014,BRIERLEYS FUNERAL SERVICE LIMITED,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,DEATH IN THE COMMUNITY,1831.5
Rochdale,V000849122,13/11/2014,BRIERLEYS FUNERAL SERVICE LIMITED,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,DEATH IN THE COMMUNITY,1282
Rochdale,V000852509,19/11/2014,NSL LIMITED,Street & Traffic Management,PROPERTY AND HIGHWAYS,DECRIMINALISATION OF CAR PARKING,38363.3
Rochdale,V000852510,19/11/2014,NSL LIMITED,Street & Traffic Management,PROPERTY AND HIGHWAYS,DECRIMINALISATION OF CAR PARKING,6148
Rochdale,V000848802,11/11/2014,D SHAWCROSS LTD                      (S),"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,DEMESNE MEDIA ARTS CENT REPLACE ROOF 349,535.68
Rochdale,V000853072,21/11/2014,FRIENDS OF DENEHURST PARK,Financial Services,ECONOMY AND ENVIRONMENT,DENEHURST PARK IMPROVEMENTS,500
Rochdale,V000854960,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,1827.89
Rochdale,V000852762,20/11/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,978.86
Rochdale,V000849378,14/11/2014,GROUNDWORK LANDSCAPES LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,1390
Rochdale,V000849375,14/11/2014,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,4748.8
Rochdale,V000854959,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,1305.86
Rochdale,V000847718,05/11/2014,ACCESS DOOR SYSTEMS LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,DERBY ST CHILDRENS CENTRE,670
Rochdale,V000847755,06/11/2014,CROWN TELECOM SOLUTIONS LTD,Information Communication Technology,EARLY HELP AND SCHOOLS,DERBY ST CHILDRENS CENTRE,519.46
Rochdale,V000852659,20/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,EARLY HELP AND SCHOOLS,DERBY ST CHILDRENS CENTRE,1217.58
Rochdale,V000847628,05/11/2014,THE OYSTER PARTNERSHIP LTD,Human Resources,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,712.5
Rochdale,V000847629,05/11/2014,THE OYSTER PARTNERSHIP LTD,Human Resources,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,877.75
Rochdale,V000848794,11/11/2014,THE OYSTER PARTNERSHIP LTD,Human Resources,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,743.2
Rochdale,V000848848,11/11/2014,THE OYSTER PARTNERSHIP LTD,Human Resources,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,919.15
Rochdale,V000850362,24/11/2014,THE OYSTER PARTNERSHIP LTD,Human Resources,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,756.6
Rochdale,V000850363,18/11/2014,THE OYSTER PARTNERSHIP LTD,Human Resources,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,889.3
Rochdale,V000849169,13/11/2014,REDACTED - PERSONAL DATA,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,DIRECT PAYMENTS TO CARERS,500
Rochdale,V000849184,13/11/2014,REDACTED - PERSONAL DATA,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,DIRECT PAYMENTS TO CARERS,500
Rochdale,V000849187,13/11/2014,REDACTED - PERSONAL DATA,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,DIRECT PAYMENTS TO CARERS,500
Rochdale,V000844294,12/11/2014,LISCLARE LTD,Healthcare,EARLY HELP AND SCHOOLS,DISABILITIES PREVENTIVE,1984.49
Rochdale,V000847855,06/11/2014,CYGNET HEALTH CARE GODDEN GREEN,Healthcare,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,1261.07
Rochdale,V000849231,14/11/2014,CYGNET HEALTH CARE GODDEN GREEN,Healthcare,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,2496.16
Rochdale,V000849238,14/11/2014,DOMAIN CARE NORTH WEST LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,577.66
Rochdale,V000854660,26/11/2014,DOMAIN CARE NORTH WEST LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,885.92
Rochdale,V000854662,26/11/2014,DOMAIN CARE NORTH WEST LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,679.6
Rochdale,V000854663,26/11/2014,DOMAIN CARE NORTH WEST LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,750
Rochdale,V000847713,05/11/2014,E MARLAND CHILDRENS RESPITE CARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,512
Rochdale,V000847946,06/11/2014,E MARLAND CHILDRENS RESPITE CARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,512
Rochdale,V000847947,06/11/2014,E MARLAND CHILDRENS RESPITE CARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,512
Rochdale,V000852456,19/11/2014,POSSABILITIES CIC TRADING,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,1985.48
Rochdale,V000854889,28/11/2014,POSSABILITIES CIC TRADING,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,4532.76
Rochdale,V000847705,05/11/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,2635.92
Rochdale,V000849242,14/11/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,2635.92
Rochdale,V000852967,21/11/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,2635.92
Rochdale,V000854489,26/11/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,2635.92
Rochdale,V000847689,05/11/2014,RESPITE NORTH WEST LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,696.44
Rochdale,V000847690,05/11/2014,RESPITE NORTH WEST LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,908.4
Rochdale,V000847696,05/11/2014,RESPITE NORTH WEST LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,991.67
Rochdale,V000850213,18/11/2014,ROSHNI RESPITE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,924
Rochdale,V000850216,18/11/2014,ROSHNI RESPITE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,726
Rochdale,V000847810,06/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,671.5
Rochdale,V000847825,06/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,518.5
Rochdale,V000849265,14/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,518.5
Rochdale,V000849276,14/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,680
Rochdale,V000852700,20/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,518.5
Rochdale,V000852713,20/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,748
Rochdale,V000852714,20/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,773.5
Rochdale,V000852716,20/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,654.5
Rochdale,V000852720,20/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,773.5
Rochdale,V000852721,20/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,637.5
Rochdale,V000853113,24/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,773.5
Rochdale,V000853114,24/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,569.5
Rochdale,V000853129,24/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,578
Rochdale,V000854900,28/11/2014,ROUTES HEALTHCARE (NORTH),Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,578
Rochdale,V000849000,13/11/2014,A & S BUILDING & ROOFING,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,2815
Rochdale,V000850567,19/11/2014,A1 PLUMBING & HEATING,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,4232
Rochdale,V000849002,13/11/2014,ADAPT BUILDING SERVICES LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,3095
Rochdale,V000850249,24/11/2014,ADAPT BUILDING SERVICES LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,4245.88
Rochdale,V000853065,24/11/2014,ADAPT BUILDING SERVICES LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,3577
Rochdale,V000849116,13/11/2014,AUTUMN UK LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,2383.73
Rochdale,V000849120,13/11/2014,AUTUMN UK LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,3191.48
Rochdale,V000847671,05/11/2014,JPK PLUMBING & HEATING LTD,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,2855
Rochdale,V000849009,13/11/2014,K P DODD CONSTRUCTION LIMITED,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,6738
Rochdale,V000847672,05/11/2014,MACK4 LIMITED,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,9511.5
Rochdale,V000849014,13/11/2014,STANNAH LIFT SERVICES LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,2093
Rochdale,V000849015,13/11/2014,STANNAH LIFT SERVICES LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,2203
Rochdale,V000849017,13/11/2014,TERRY GROUP LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,7393
Rochdale,V000852740,20/11/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PROPERTY AND HIGHWAYS,DISPOSAL COSTS,709.2
Rochdale,V000853219,24/11/2014,KEPPIE MASSIE,Consultancy,PROPERTY AND HIGHWAYS,DISPOSAL COSTS,3500
Rochdale,V000847498,04/11/2014,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,1293.5
Rochdale,V000849816,17/11/2014,MANCHESTER DOGS HOME,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,1169.74
Rochdale,V000849359,26/11/2014,ENTERPRISE MANCHESTER PARTNERSHIP LTD,Environmental Services,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,1042.36
Rochdale,V000854665,26/11/2014,ROTHWELL PROMOTIONAL GIFTS LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,982.4
Rochdale,V000848891,13/11/2014,WHEELDON BROTHERS WASTE LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,3390.44
Rochdale,V000854793,27/11/2014,OFFICE DEPOT UK LIMITED,Stationery,CUSTOMERS & CORPORATE SERVICES,DRUG & ALCOHOL ACTION TEAM,1078.92
Rochdale,V000850320,18/11/2014,GTR MANCH WEST MENTAL HEALTH NHS FOUNDATION TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,DRUGS & ALCOHOL - SPECIALIST D&A SRVC,4416
Rochdale,V000852143,18/11/2014,GTR MANCH WEST MENTAL HEALTH NHS FOUNDATION TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,DRUGS & ALCOHOL - SPECIALIST D&A SRVC,3864
Rochdale,V000844718,01/11/2014,PENNINE CARE NHS,Social Community Care Supplies & Services,CUSTOMERS & CORPORATE SERVICES,DRUGS & ALCOHOL - SPECIALIST D&A SRVC,160051
Rochdale,V000848992,12/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,DRUGS & ALCOHOL - SPECIALIST D&A SRVC,3647.35
Rochdale,V000841376,07/11/2014,THE AWARDS SCHEME LTD,Arts & Leisure Services,EARLY HELP AND SCHOOLS,DUKE OF EDINBURGH SCHEME,1616.67
Rochdale,V000838434,28/11/2014,EARLY BREAK,Social Community Care Supplies & Services,PUBLIC HEALTH,EARLY BREAK SMOKING CESSATION,22500
Rochdale,V000848902,12/11/2014,SOFTCAT LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,EDIT GENERAL,2051
Rochdale,V000849218,14/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,500
Rochdale,V000852625,20/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,500
Rochdale,V000848049,07/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,6809.1
Rochdale,V000848186,07/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,2016
Rochdale,V000848033,07/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1023
Rochdale,V000848041,07/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,528
Rochdale,V000848043,07/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1736
Rochdale,V000848044,07/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1204
Rochdale,V000848045,07/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,595
Rochdale,V000848048,07/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1984.5
Rochdale,V000847742,06/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,3840
Rochdale,V000854509,26/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,4548.5
Rochdale,V000848191,07/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,850
Rochdale,V000854522,26/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,935
Rochdale,V000854526,26/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,935
Rochdale,V000849206,14/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1008
Rochdale,V000849230,14/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,640
Rochdale,V000852483,19/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,640
Rochdale,V000848187,07/11/2014,REDACTED - PERSONAL DATA,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,2754
Rochdale,V000849137,13/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,915
Rochdale,V000852485,19/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,915
Rochdale,V000854848,27/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,915
Rochdale,V000848062,07/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1586
Rochdale,V000848192,07/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1670
