Organisation name,Organisation code,Effective date,Contract Reference Number,Open Contracting ID,Title of agreement,Contract type,Directorate/service responsible,Service category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: Proclass label,Procurement classification: CPV code,Contract Start Date,End Date,Review date,Last extension date,Contract value,Fixed cost/estimated cost,Irrecoverable VAT,Supplier Name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,541697,,Grant payment to: GoodGym,,Community and Environmental Services,,,Grant payment to: GoodGym,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,12500,,0,GOOD GYM LTD,,,2264188,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540985,,Chemdata � Coporate Licence (up to 100 installations) 1/4/17-31/3/18,,Community and Environmental Services,,,Chemdata � Coporate Licence (up to 100 installations) 1/4/17-31/3/18,ICT-SOFTWARE & SAAS,,,,,,,12260,,0,RICARDO-AEA LIMITED,,,1045760,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535750,,Secondment into Highway Projects Team 1 to support Norwich North Fringe drainage scheme delivery 315 Hours,,Community and Environmental Services,,,Secondment into Highway Projects Team 1 to support Norwich North Fringe drainage scheme delivery 315 Hours,HIGHWAYS-PROFESSIONAL SERVICES.CAPITAL-ENGINEERING DESIGN FEES,,,,,,,11970,,0,MOTT MACDONALD LIMITED,,,71980,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536848,,Hedge Cutting Carry out flail cutting in West 1 as per the plans already provided.  All works to be completed by the end of February 2017,,Community and Environmental Services,,,Hedge Cutting Carry out flail cutting in West 1 as per the plans already provided.  All works to be completed by the end of February 2017,"FM-GROUNDS, GROUNDS EQUIP & TREE SURGERY.GROUNDS EQUIPMENT",,,,,,,11856.35,,0,COUNTRY GROUNDS MAINTENANCE LIMITED,,,67742,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543320,,PharmOutcomes Licence 2017 / 18,,Resources,,,PharmOutcomes Licence 2017 / 18,ICT-SOFTWARE & SAAS,,,,,,,11790,,0,PINNACLE HEALTH PARTNERSHIP LLP,,,1649794,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,545149,,WPC Software Ltd - Coroners Management System - 40% of installation costs,,Resources,,,WPC Software Ltd - Coroners Management System - 40% of installation costs,ICT-SOFTWARE & SAAS,,,,,,,11600,,0,WPC SOFTWARE LTD,,,2260335,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,534632,,Agile Project Management training,,Resources,,,Agile Project Management training,HR-TRAINING,,,,,,,11100,,0,JARROLD & SONS LIMITED,,,84035,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539727,,External specialist services - Cyber Security Audit 2017.,,Finance & Property,,,External specialist services - Cyber Security Audit 2017.,"AUDITORS, INSPECTIONS & REGISTRATIONS.NON-STATUTORY AUDIT & INSPECTION",,,,,,,10950,,0,SILVERTHORN ASSOCIATES LTD,,,2280260,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,509818,,Independent SCR Work - 6.12.15-May 2016,,Children's Services,,,Independent SCR Work - 6.12.15-May 2016,SAFEGUARDING-PROFESSIONAL SERVICES,,,,,,,10800,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,538135,,Staffordshire wheels,,Community and Environmental Services,,,Staffordshire wheels,EDUCATION & LEARNING MATERIALS & EQUIPT,,,,,,,10680,,0,LONGTON LIGHT ALLOYS INC GLADSTONE ENGINEERING CO LTD,,,2273252,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536626,,"3D animation / virtual tour to show the development of Norwich Castle Keep, including music licensing and infographics",,Community and Environmental Services,,,"3D animation / virtual tour to show the development of Norwich Castle Keep, including music licensing and infographics",MUSEUMS-DEMONSTRATORS & EDUCATIONAL SVCS,,,,,,,10500,,0,EMBER FILMS LTD,,,2268185,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,545084,,2017/18 ISAM connection fees for ITSO,,Community and Environmental Services,,,2017/18 ISAM connection fees for ITSO,PASSENGER TRANSPORT-INFRASTRUCTURE,,,,,,,10230,,0,ITSO LIMITED,,,994831,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,534763,,ELGIN TM App annual service fee 01/01/2017 through 31/12/2017,,Community and Environmental Services,,,ELGIN TM App annual service fee 01/01/2017 through 31/12/2017,ICT-PROFESSIONAL ADVICE & SERVICES,,,,,,,10200,,0,ROADWORKS INFORMATION LTD,,,1392804,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,538203,,Improvement works at Market Gates bus interchange.,,Community and Environmental Services,,,Improvement works at Market Gates bus interchange.,HIGHWAYS-WORKS.CAPITAL SCHEMES,,,,,,,10000,,0,CHK Ltd,,,97020,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540585,,Aylsham Care Trust - Dementia Support Pilot Project,,Adult Social Care,,,Aylsham Care Trust - Dementia Support Pilot Project,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,10000,,0,AYLSHAM & DISTRICT CARE TRUST 001,,,79476,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543158,,Work for music service up to July 2017 exemption 095-17,,Children's Services,,,Work for music service up to July 2017 exemption 095-17,SCHOOLS-PROFESSIONAL,,,,,,,10000,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543322,,Grant Payment to Norfolk and Suffolk Care Support Ltd for Advanced Care Planning,,Adult Social Care,,,Grant Payment to Norfolk and Suffolk Care Support Ltd for Advanced Care Planning,GRANTS.GRANTS TO BUSINESSES,,,,,,,10000,,0,NORFOLK & SUFFOLK CARE SUPPORT LIMITED,,,72464,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543761,,"Specialist alternative provision for 8 x pupils in March 2017, pending full contract on 01.04.17",,Children's Services,,,"Specialist alternative provision for 8 x pupils in March 2017, pending full contract on 01.04.17",CHILDREN'S-CHILDREN'S CENTRES,,,,,,,10000,,0,GREAT YARMOUTH COMMUNITY TRUST,,,69429,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544155,,Inward Investment support work for the Bioscience Sector,,Community and Environmental Services,,,Inward Investment support work for the Bioscience Sector,GRANTS.GRANTS TO BUSINESSES,,,,,,,10000,,0,NEW ANGLIA LOCAL ENTERPRISE PARTNERSHIP LIMITED,,,737769,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,545148,,WPC Software Ltd - Coroners Management System - Annual support and hosting,,Resources,,,WPC Software Ltd - Coroners Management System - Annual support and hosting,ICT-SOFTWARE & SAAS,,,,,,,10000,,0,WPC SOFTWARE LTD,,,2260335,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,505162,,Transportation to detox & rehab treatment centres for clients during Fin Year 2016-17 (Extension of Finance),,Resources,,,Transportation to detox & rehab treatment centres for clients during Fin Year 2016-17 (Extension of Finance),PASSENGER TRANSPORT-TAXI AND COACH HIRE,,,,,,,10000,,0,HAILEY'S TAXIS LIMITED,,,1170771,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,541145,,Safeguarding Adult Review,,Adult Social Care,,,Safeguarding Adult Review,RESEARCH AND EVALUATION,,,,,,,9358,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,537257,,Maintain current support for social media channels 3 days per month` manage social media advertising` set of 26 tips of the week` one new recipe card and video,,Community and Environmental Services,,,Maintain current support for social media channels 3 days per month` manage social media advertising` set of 26 tips of the week` one new recipe card and video,"COMMUNICATIONS-DESIGN, PRINT, ETC.DESIGN & PRINT",,,,,,,9010,,0,MAGIC ONLINE SOLUTIONS LIMITED,,,2117943,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536759,,Apprentice Costs til end of March 2017,,Community and Environmental Services,,,Apprentice Costs til end of March 2017,GRANTS.GRANTS TO BUSINESSES,,,,,,,9000,,0,TRAC LTD,,,1011912,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,538056,,"H/W work: felling of dead/dying ash that are a danger to the public. Location: NCC owned land adj to Marriott's Way. To improve woodland structure, habitat diversity & resilience of this wildlife corridor & volunteer safety. ",,Community and Environmental Services,,,"H/W work: felling of dead/dying ash that are a danger to the public. Location: NCC owned land adj to Marriott's Way. To improve woodland structure, habitat diversity & resilience of this wildlife corridor & volunteer safety. ",FM-BUILDING MAINTENANCE.TREE SURGEONS,,,,,,,8800,,0,EASTON COUNTRYSIDE SERVICES,,,142789,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536449,,Contribution to the costs of Council Tax Single Persons Discount review work.,,Finance & Property,,,Contribution to the costs of Council Tax Single Persons Discount review work.,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,8704.8,,0,NORTH NORFOLK DISTRICT COUNCIL,,,85340,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535323,,"Stage 1 payment for Coroner Management System Dated January 05,2017 WPC Software",,Resources,,,"Stage 1 payment for Coroner Management System Dated January 05,2017 WPC Software",ICT-SOFTWARE & SAAS,,,,,,,8700,,0,WPC SOFTWARE LTD,,,2260335,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536926,,Supply of Kitchens,,Community and Environmental Services,,,Supply of Kitchens,FM-FURNITURE & EQUIPMENT.KITCHENWARE,,,,,,,8700,,0,MAGNET LIMITED,,,99614,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,542881,,Sexual Health Grant 2017/18 for The Magdalene Group,,Resources,,,Sexual Health Grant 2017/18 for The Magdalene Group,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,8593,,0,MAGDALENE GROUP,,,75476,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,545185,,Toxicology reports for Norwich - estimate for March 2017,,Resources,,,Toxicology reports for Norwich - estimate for March 2017,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,,,8500,,0,FORENSIS LIMITED,,,2181100,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,542284,,Sitecore Software Maintenance & Support- Yr2 of 4 Maintenance for Sitecore Experience Platform (XP) (365/365 days). Period:2016:2016-Jun-30-2017-Jun-29,,Community and Environmental Services,,,Sitecore Software Maintenance & Support- Yr2 of 4 Maintenance for Sitecore Experience Platform (XP) (365/365 days). Period:2016:2016-Jun-30-2017-Jun-29,ICT-SOFTWARE & SAAS,,,,,,,8493.53,,0,SITECORE UK LTD,,,1921788,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539630,,Autodata web services,,Community and Environmental Services,,,Autodata web services,ICT-SOFTWARE & SAAS,,,,,,,8111.25,,0,AUTODATA LIMITED,,,66334,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536193,,"18 days of support for the Norfolk Better to Best programme, spring term 2016-17",,Children's Services,,,"18 days of support for the Norfolk Better to Best programme, spring term 2016-17",SCHOOLS-PROFESSIONAL,,,,,,,8100,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544491,,Funding Contribution towards cost of further Recovery Officers Period 1/10/16 to 31/3/17,,Finance & Property,,,Funding Contribution towards cost of further Recovery Officers Period 1/10/16 to 31/3/17,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,8000,,0,BRECKLAND DISTRICT COUNCIL,,,81095,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504521,,NPLAW locum solicitor - Sept16-Dec16,,Resources,,,NPLAW locum solicitor - Sept16-Dec16,LEGAL.SOLICITORS,,,,,,,8000,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544322,,Grant payment to: Iceni Academy for delivery of Bikeability as part of Pushing Ahead project.  ,,Community and Environmental Services,,,Grant payment to: Iceni Academy for delivery of Bikeability as part of Pushing Ahead project.  ,GRANTS.GRANTS TO BUSINESSES,,,,,,,7680,,0,ICENI ACADEMY,,,1065759,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,541823,,Coroner Officer cover Jan - Mar 2017,,Resources,,,Coroner Officer cover Jan - Mar 2017,HR-INTERIM & TEMPORARY STAFF.TEMPORARY STAFF,,,,,,,7548.65,,0,NORFOLK POLICE AUTHORITY,,,85302,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535072,,"Agreed Host Partner contribution for the Strengthening Our Common Life (SOCL3, Year 3) project for one trainee",,Community and Environmental Services,,,"Agreed Host Partner contribution for the Strengthening Our Common Life (SOCL3, Year 3) project for one trainee",HR-TRAINING,,,,,,,7500,,0,STRENGTHENING OUR COMMON LIFE,,,1921899,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544186,,Small Stories - final fee payment,,Community and Environmental Services,,,Small Stories - final fee payment,MUSEUMS-EXHIBITS,,,,,,,7500,,0,VICTORIA & ALBERT MUSEUM/ENTERPRISES LTD,,,75958,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,542883,,Sexual Health Grant 2017/18 for The Matthew Project,,Resources,,,Sexual Health Grant 2017/18 for The Matthew Project,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,7335.84,,0,THE MATTHEW PROJECT,,,87169,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544713,,Professional services carried out  on behalf of NCC Public Health between Oct 2017 - Mar 2017,,Resources,,,Professional services carried out  on behalf of NCC Public Health between Oct 2017 - Mar 2017,PUBLIC HEALTH-SUBSTANCE MISUSE,,,,,,,7200,,0,SUBSTANCE MISUSE SOLUTIONS LTD,,,2258186,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543149,,Rent & Service charge for the Coroner's Court 25 Mar 2017 to 23 Jun 2017 ,,Resources,,,Rent & Service charge for the Coroner's Court 25 Mar 2017 to 23 Jun 2017 ,FM-RENT & RATES.RENT,,,,,,,7057.06,,0,MIDOS PROPERTIES MANAGEMENT LTD,,,2185143,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,541929,,PERSONAL BUDGET COST DOWNHAM PREP CALL OFF SPR 2017,,Children's Services,,,PERSONAL BUDGET COST DOWNHAM PREP CALL OFF SPR 2017,CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS.OOC 38 WEEK SCHOOLS,,,,,,,7033.09,,0,DOWNHAM PREP SCH & MONTESSORI NURSERY,,,68317,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,508800,,Provision of scrap vehicles for training purposes Western Area Norfolk Fire and Rescue Service sites up to 31/03/17,,Community and Environmental Services,,,Provision of scrap vehicles for training purposes Western Area Norfolk Fire and Rescue Service sites up to 31/03/17,EDUCATION & LEARNING MATERIALS & EQUIPT,,,,,,,7000,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536366,,Disposal of surplus and obsolete Norfolk Fire and Rescue Service Assets Year 3,,Community and Environmental Services,,,Disposal of surplus and obsolete Norfolk Fire and Rescue Service Assets Year 3,FM-WASTE DISPOSAL.GENERAL TRADE WASTE,,,,,,,7000,,0,MINISTRY OF DEFENCE (DISPOSAL SERVICES AUTHORITY),,,476414,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,537756,,Final Phase Conservation of Samson ,,Community and Environmental Services,,,Final Phase Conservation of Samson ,MUSEUMS & LIBRARIES-CONSERVATION,,,,,,,7000,,0,PLOWDEN & SMITH LIMITED,,,1241833,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504521,,NPLAW locum solicitor - Jun16-Sept16,,Resources,,,NPLAW locum solicitor - Jun16-Sept16,LEGAL.SOLICITORS,,,,,,,7000,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543807,,Signs of Safety - Delivery of Practice Lead Training - 18-21 April + Expenses,,Children's Services,,,Signs of Safety - Delivery of Practice Lead Training - 18-21 April + Expenses,HR-TRAINING,,,,,,,6500,,0,MJ TRAINING & CONSULTANCY,,,2275259,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540220,,Supply Haagen smoke liquid 1000Ltr ,,Community and Environmental Services,,,Supply Haagen smoke liquid 1000Ltr ,EMERGENCY SVCES-EMERGENCY RESPONSE EQPT,,,,,,,6373.13,,0,HAWKESFIRE,,,2281273,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536671,,Norfolk Music Hub Conference - 09/03/17,,Children's Services,,,Norfolk Music Hub Conference - 09/03/17,"VENUE HIRE, BUFFETS & EVENT CATERING",,,,,,,6322.5,,0,DUNSTON HALL HOTEL TRADING LTD,,,2264197,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,545000,,Flood support deployment by Nottinghamshire Fire and Rescue (Jan 2017),,Community and Environmental Services,,,Flood support deployment by Nottinghamshire Fire and Rescue (Jan 2017),EMERGENCY SVCES-EMERGENCY RESPONSE EQPT,,,,,,,6303.14,,0,NOTTINGHAMSHIRE FIRE & RESCUE SERVICE,,,110218,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544999,,Deployment to NFRS during tidal surge on 13/14th January 2017,,Community and Environmental Services,,,Deployment to NFRS during tidal surge on 13/14th January 2017,EMERGENCY SVCES-EMERGENCY RESPONSE EQPT,,,,,,,6213.91,,0,HEREFORD & WORCESTER FIRE & RESCUE SERVICE,,,172054,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,542284,,Sitecore Software Maintenance & Support- Yr2 of 4 Priority (Silver) Support (365/365 Days) Period:2016-Jun-30-2017-Jun-29,,Resources,,,Sitecore Software Maintenance & Support- Yr2 of 4 Priority (Silver) Support (365/365 Days) Period:2016-Jun-30-2017-Jun-29,ICT-SOFTWARE & SAAS,,,,,,,6200.27,,0,SITECORE UK LTD,,,1921788,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,519615,,Leadership Development - November 2016 (Feedback Sessions),,Resources,,,Leadership Development - November 2016 (Feedback Sessions),HR-TRAINING,,,,,,,6075,,0,MENDAS,,,2172967,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540988,,Renewal of Essential & premier UPS service contract as per page 3 ,,Community and Environmental Services,,,Renewal of Essential & premier UPS service contract as per page 3 ,ICT-MANAGED SERVICES,,,,,,,6040.17,,0,EMERSON NETWORK POWER LTD,,,1027764,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,519615,,Leadership Development - October 2016,,Resources,,,Leadership Development - October 2016,HR-TRAINING,,,,,,,6028,,0,MENDAS,,,2172967,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,520915,,Arboricultural work at Thorpe St Andrew,,Community and Environmental Services,,,Arboricultural work at Thorpe St Andrew,HIGHWAYS-PROFESSIONAL SERVICES.ECOLOGY,,,,,,,6000,,0,A T COOMBES ASSOCIATES,,,476424,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,529213,,Grant for apprentice Sept 2016 - March 2017 Hours worked at Depot  ,,Community and Environmental Services,,,Grant for apprentice Sept 2016 - March 2017 Hours worked at Depot  ,GRANTS.GRANTS TO BUSINESSES,,,,,,,6000,,0,TRAC LTD,,,1011912,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536754,,Life Story Work,,Children's Services,,,Life Story Work,CHILDREN'S SERVICES.THERAPY,,,,,,,6000,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544492,,Guildhall Management Fee for Norfolk Centre for Young Musicians 17/18,,Children's Services,,,Guildhall Management Fee for Norfolk Centre for Young Musicians 17/18,SUBSCRIPTIONS,,,,,,,6000,,0,CENTRE FOR YOUNG MUSICIANS,,,1247813,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544731,,NCC contribution for Voluntary Sector Development Post hosted by GYBC. 1st December 2016 to 31st March 2017,,Adult Social Care,,,NCC contribution for Voluntary Sector Development Post hosted by GYBC. 1st December 2016 to 31st March 2017,VOLUNTARY SECTOR-INFRASTRUCTURE.ADULTS,,,,,,,6000,,0,GREAT YARMOUTH BOROUGH COUNCIL,,,79684,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504432,,SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from Jul16-Mar17 ,,Resources,,,SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from Jul16-Mar17 ,LEGAL.COUNSEL'S FEES,,,,,,,6000,,0,Redacted,,,Redacted,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504478,,LMH Clinical Psychology Services - SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from FEB17-Mar17 ,,Resources,,,LMH Clinical Psychology Services - SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from FEB17-Mar17 ,LEGAL.SOLICITORS,,,,,,,6000,,0,LMH CLINICAL PSYCHOLOGY SERVICES,,,1003773,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540560,,Hydrant Management System Renewal 16 December 2016 to 15 December 2017,,Community and Environmental Services,,,Hydrant Management System Renewal 16 December 2016 to 15 December 2017,ICT-MANAGED SERVICES,,,,,,,6000,,0,INFOGRAPHICS UK LTD.,,,70088,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504419,,This is a call off purchase order for SSCTR cases on behalf of NPLAW from OCT16-Mar17 ,,Resources,,,This is a call off purchase order for SSCTR cases on behalf of NPLAW from OCT16-Mar17 ,LEGAL.COUNSEL'S FEES,,,,,,,6000,,0,Redacted,,,Redacted,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504432,,Extra for SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from Nov16-Mar17 ,,Resources,,,Extra for SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from Nov16-Mar17 ,LEGAL.COUNSEL'S FEES,,,,,,,6000,,0,Redacted,,,Redacted,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504478,,LMH Clinical Psychology Services - SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from FEB17-Mar17 ,,Resources,,,LMH Clinical Psychology Services - SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from FEB17-Mar17 ,LEGAL.SOLICITORS,,,,,,,6000,,0,LMH CLINICAL PSYCHOLOGY SERVICES,,,1003773,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544073,,Delivery of ILM  level 3 Volunteer Management course at Stowmarket and Bedford for 18 participants,,Community and Environmental Services,,,Delivery of ILM  level 3 Volunteer Management course at Stowmarket and Bedford for 18 participants,HR-TRAINERS & TUTORS,,,,,,,5880,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539675,,Social Care Recruitment PPC Campaign costs,,Adult Social Care,,,Social Care Recruitment PPC Campaign costs,ADVERTISING.ONLINE,,,,,,,5736.5,,0,AFFINITY LTD,,,2172066,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543954,,Bus Stop Infrastructure Support from First Bus.  2015/16 balancing payment,,Community and Environmental Services,,,Bus Stop Infrastructure Support from First Bus.  2015/16 balancing payment,HIGHWAYS-WORKS.CAPITAL SCHEMES,,,,,,,5682.08,,0,FIRST GROUP PLC,,,68966,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,534701,,Head of HR recruitment - Advertising,,Resources,,,Head of HR recruitment - Advertising,HR-RECRUITMENT.RECRUITMENT OF PERMANENT STAFF,,,,,,,5605,,0,NORTHERN DESIGN COLLECTIVE,,,1621831,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536581,,"Carry out tree works @ Footpath from Tennyson Avenue, Kings Lynn ",,Community and Environmental Services,,,"Carry out tree works @ Footpath from Tennyson Avenue, Kings Lynn ","FM-GROUNDS, GROUNDS EQUIP & TREE SURGERY.TREE WORK",,,,,,,5600,,0,COUNTRY GROUNDS MAINTENANCE LIMITED,,,67742,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,545127,,Mitel 5000 HX Communications Server,,Children's Services,,,Mitel 5000 HX Communications Server,"ICT-NETWORKS, TELEPHONY & RADIOCOMMS.SUPERFAST BROADBAND",,,,,,,5538,,0,FINE LINE COMMUNICATIONS (E.A.) LTD.,,,68951,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,531541,,"Equipment (locks, lights, helmets), repair/replacement of accessories budget,  mid-loan service",,Community and Environmental Services,,,"Equipment (locks, lights, helmets), repair/replacement of accessories budget,  mid-loan service",TOOLS & HARDWARE-PURCHASE & MAINTENANCE,,,,,,,5500,,0,PEDAL PARK COMMUNITY INTEREST CO,,,2238104,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504784,,Expert Assessment & Consultancy - SSCTR Cases - This is a continuation of the call off purchase order for SSCTR cases on behalf of NPLAW from JAN17 to Mar17 ,,Resources,,,Expert Assessment & Consultancy - SSCTR Cases - This is a continuation of the call off purchase order for SSCTR cases on behalf of NPLAW from JAN17 to Mar17 ,LEGAL.MEDICAL REPORTS,,,,,,,5500,,0,EXPERT ASSESSMENT AND CONSULTANCY LIMITED,,,602479,,,,,,
