ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,PAID DATE,NET AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,2534.40,INDIVIDUAL SERVICE FUND,V001013918
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,2686.64,INDIVIDUAL SERVICE FUND,V001013919
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,03/06/2016,1014.20,INDIVIDUAL SERVICE FUND,V001013920
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,03/06/2016,1051.76,INDIVIDUAL SERVICE FUND,V001013921
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,03/06/2016,1051.76,INDIVIDUAL SERVICE FUND,V001013922
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,03/06/2016,1051.76,INDIVIDUAL SERVICE FUND,V001013923
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,03/06/2016,6321.00,INDIVIDUAL SERVICE FUND,V001013926
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,03/06/2016,3946.40,INDIVIDUAL SERVICE FUND,V001013927
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,03/06/2016,1825.32,INDIVIDUAL SERVICE FUND,V001013928
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,03/06/2016,5260.00,INDIVIDUAL SERVICE FUND,V001013929
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,03/06/2016,2910.00,INDIVIDUAL SERVICE FUND,V001013930
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,03/06/2016,4539.44,INDIVIDUAL SERVICE FUND,V001013933
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,1924.00,INDIVIDUAL SERVICE FUND,V001013934
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,03/06/2016,2100.00,INDIVIDUAL SERVICE FUND,V001013935
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1353.52,INDIVIDUAL SERVICE FUND,V001013936
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,772.00,INDIVIDUAL SERVICE FUND,V001013937
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,3690.20,INDIVIDUAL SERVICE FUND,V001013939
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,3690.20,INDIVIDUAL SERVICE FUND,V001013940
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,3690.20,INDIVIDUAL SERVICE FUND,V001013941
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,3690.20,INDIVIDUAL SERVICE FUND,V001013942
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,3690.20,INDIVIDUAL SERVICE FUND,V001013943
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,792.00,INDIVIDUAL SERVICE FUND,V001013944
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,-601.03,INDIVIDUAL SERVICE FUND,V001013946
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,-701.20,INDIVIDUAL SERVICE FUND,V001013947
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,3558.08,INDIVIDUAL SERVICE FUND,V001013948
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,660.00,INDIVIDUAL SERVICE FUND,V001013950
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,548.00,INDIVIDUAL SERVICE FUND,V001013951
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,558.80,INDIVIDUAL SERVICE FUND,V001013952
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,696.40,INDIVIDUAL SERVICE FUND,V001013953
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,-1026.00,INDIVIDUAL SERVICE FUND,V001013954
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,880.00,INDIVIDUAL SERVICE FUND,V001013955
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,558.80,INDIVIDUAL SERVICE FUND,V001013958
ROCHDALE BOROUGH COUNCIL,16/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/06/2016,978.29,GAS,V001013960
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,755.96,INDIVIDUAL SERVICE FUND,V001013962
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,539.44,INDIVIDUAL SERVICE FUND,V001013963
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,5607.96,INDIVIDUAL SERVICE FUND,V001013964
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,7207.20,INDIVIDUAL SERVICE FUND,V001013968
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,03/06/2016,1168.40,INDIVIDUAL SERVICE FUND,V001013969
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,03/06/2016,1591.52,INDIVIDUAL SERVICE FUND,V001013970
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1562.00,INDIVIDUAL SERVICE FUND,V001013971
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1012.20,INDIVIDUAL SERVICE FUND,V001013972
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,1560.00,INDIVIDUAL SERVICE FUND,V001013973
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,3806.40,INDIVIDUAL SERVICE FUND,V001013974
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,3173.32,SUPPORTED LIVING,V001013976
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,3173.32,SUPPORTED LIVING,V001013977
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,3173.32,SUPPORTED LIVING,V001013978
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,3173.32,SUPPORTED LIVING,V001013980
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,WELLESLEY HOUSE,03/06/2016,4059.44,INDIVIDUAL SERVICE FUND,V001013982
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,885.08,INDIVIDUAL SERVICE FUND,V001013983
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,03/06/2016,1460.28,INDIVIDUAL SERVICE FUND,V001013984
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,03/06/2016,3420.52,SUPPORTED LIVING,V001013985
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,740.88,INDIVIDUAL SERVICE FUND,V001013986
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,03/06/2016,4289.44,INDIVIDUAL SERVICE FUND,V001013987
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,533.40,INDIVIDUAL SERVICE FUND,V001013989
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,NEWBARN LTD,03/06/2016,5096.00,SUPPORTED LIVING,V001013991
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,528.00,INDIVIDUAL SERVICE FUND,V001013992
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,1060.00,INDIVIDUAL SERVICE FUND,V001013994
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,1736.00,INDIVIDUAL SERVICE FUND,V001013995
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,612.00,INDIVIDUAL SERVICE FUND,V001013996
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,739.20,INDIVIDUAL SERVICE FUND,V001013999
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,1965.14,SUPPORTED LIVING,V001014000
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,2895.99,SUPPORTED LIVING,V001014001
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,2896.00,SUPPORTED LIVING,V001014002
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,2896.00,SUPPORTED LIVING,V001014003
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,03/06/2016,5574.80,INDIVIDUAL SERVICE FUND,V001014004
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,CREATIVE SUPPORT LIMITED,03/06/2016,2100.00,SUPPORTED LIVING,V001014005
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,600.00,INDIVIDUAL SERVICE FUND,V001014006
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,600.00,INDIVIDUAL SERVICE FUND,V001014007
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,1711.80,DIRECT PAYMENTS,V001014009
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,524.96,INDIVIDUAL SERVICE FUND,V001014011
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,2966.08,INDIVIDUAL SERVICE FUND,V001014013
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,597.04,INDIVIDUAL SERVICE FUND,V001014014
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,1040.00,INDIVIDUAL SERVICE FUND,V001014015
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,856.80,INDIVIDUAL SERVICE FUND,V001014018
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,849.24,INDIVIDUAL SERVICE FUND,V001014019
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,1711.80,DIRECT PAYMENTS,V001014020
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,998.00,INDIVIDUAL SERVICE FUND,V001014021
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,1624.00,INDIVIDUAL SERVICE FUND,V001014022
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,767.64,INDIVIDUAL SERVICE FUND,V001014025
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,03/06/2016,7258.00,INDIVIDUAL SERVICE FUND,V001014028
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1240.80,INDIVIDUAL SERVICE FUND,V001014029
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,849.20,INDIVIDUAL SERVICE FUND,V001014030
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,03/06/2016,3637.48,INDIVIDUAL SERVICE FUND,V001014031
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,1304.00,INDIVIDUAL SERVICE FUND,V001014032
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1056.00,INDIVIDUAL SERVICE FUND,V001014034
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1078.96,INDIVIDUAL SERVICE FUND,V001014035
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1209.32,INDIVIDUAL SERVICE FUND,V001014036
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,648.00,INDIVIDUAL SERVICE FUND,V001014039
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,1744.24,INDIVIDUAL SERVICE FUND,V001014040
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,1636.00,INDIVIDUAL SERVICE FUND,V001014043
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,2912.00,INDIVIDUAL SERVICE FUND,V001014044
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,03/06/2016,-3712.80,INDIVIDUAL SERVICE FUND,V001014045
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,03/06/2016,794.68,INDIVIDUAL SERVICE FUND,V001014046
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,1711.80,DIRECT PAYMENTS,V001014047
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,03/06/2016,556.00,INDIVIDUAL SERVICE FUND,V001014048
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1155.00,INDIVIDUAL SERVICE FUND,V001014049
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,1711.80,DIRECT PAYMENTS,V001014051
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,CREATIVE SUPPORT LIMITED,03/06/2016,2380.00,SUPPORTED LIVING,V001014052
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,686.40,INDIVIDUAL SERVICE FUND,V001014053
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,686.40,INDIVIDUAL SERVICE FUND,V001014058
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,03/06/2016,560.00,INDIVIDUAL SERVICE FUND,V001014063
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,765.08,INDIVIDUAL SERVICE FUND,V001014065
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,952.40,INDIVIDUAL SERVICE FUND,V001014068
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1980.00,INDIVIDUAL SERVICE FUND,V001014069
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,904.20,INDIVIDUAL SERVICE FUND,V001014070
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1891.44,INDIVIDUAL SERVICE FUND,V001014075
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1535.04,INDIVIDUAL SERVICE FUND,V001014076
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1416.24,INDIVIDUAL SERVICE FUND,V001014077
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1416.24,INDIVIDUAL SERVICE FUND,V001014078
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,1416.24,INDIVIDUAL SERVICE FUND,V001014079
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,03/06/2016,1711.80,DIRECT PAYMENTS,V001014080
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,NEWBARN LTD,03/06/2016,541.34,INDIVIDUAL SERVICE FUND,V001014081
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,NEWBARN LTD,03/06/2016,1894.68,INDIVIDUAL SERVICE FUND,V001014082
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,03/06/2016,3161.68,SUPPORTED LIVING,V001014084
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,03/06/2016,1288.00,INDIVIDUAL SERVICE FUND,V001014085
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,03/06/2016,1288.00,INDIVIDUAL SERVICE FUND,V001014086
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,03/06/2016,3404.80,INDIVIDUAL SERVICE FUND,V001014087
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,SELECT SUPPORT PARTNERSHIPS,03/06/2016,622.13,PERSONAL BUDGETS - MANAGED,V001014089
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,SELECT SUPPORT PARTNERSHIPS,03/06/2016,1935.50,PERSONAL BUDGETS - MANAGED,V001014090
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,SELECT SUPPORT PARTNERSHIPS,03/06/2016,1935.50,PERSONAL BUDGETS - MANAGED,V001014091
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,552.00,INDIVIDUAL SERVICE FUND,V001014092
ROCHDALE BOROUGH COUNCIL,16/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/06/2016,1043.91,GAS,V001014108
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,VOOSH HOLIDAY CLUB,01/06/2016,1950.00,HOME CARE - CHILDRENS SERVICES,V001014109
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,711.20,INDIVIDUAL SERVICE FUND,V001014112
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,4597.44,INDIVIDUAL SERVICE FUND,V001014113
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,03/06/2016,3127.56,INDIVIDUAL SERVICE FUND,V001014114
ROCHDALE BOROUGH COUNCIL,01/06/2016,PHYSICAL DIS & OLDER PEOPLE,JASNA GORA RESIDENTIAL CARE HOME,01/06/2016,1164.82,RESIDENTIAL LONG TERM,V001014115
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,03/06/2016,920.00,EQUIPMENT - GENERAL,V001014119
ROCHDALE BOROUGH COUNCIL,03/06/2016,PHYSICAL DIS & OLDER PEOPLE,STANNAH LIFT SERVICES LTD,03/06/2016,1275.00,REMOVAL EXPENDITURE,V001014120
ROCHDALE BOROUGH COUNCIL,03/06/2016,ECONOMY DIRECTORATE,URBAN VISION PARTNERSHIP LTD,03/06/2016,7311.57,AGENCY STAFF,V001014122
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,NATIONAL TEACHING AND ADVISORY SERVICE,01/06/2016,535.62,OTHER EST - SEN PROVISION,V001014125
ROCHDALE BOROUGH COUNCIL,03/06/2016,ECONOMY DIRECTORATE,SOUTHERN ELECTRIC GAS LTD,03/06/2016,1030.42,ELECTRICITY,V001014135
ROCHDALE BOROUGH COUNCIL,02/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,SUPPLIES TEAM LIMITED,02/06/2016,-558.55,PROVISIONS,V001014140
ROCHDALE BOROUGH COUNCIL,02/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,02/06/2016,34053.25,COMMUNICATION AND COMPUTING - GENERAL,V001014141
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,PHOENIX SOFTWARE LIMITED,03/06/2016,288359.93,SOFTWARE LICENSES,V001014143
ROCHDALE BOROUGH COUNCIL,07/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,07/06/2016,3230.36,TELEPHONE EXPENDITURE,V001014144
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,01/06/2016,4971.25,COMMUNICATION AND COMPUTING - GENERAL,V001014146
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,PHOENIX SOFTWARE LIMITED,03/06/2016,65405.88,SOFTWARE LICENSES,V001014147
ROCHDALE BOROUGH COUNCIL,07/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,07/06/2016,3900.00,CAPITAL SALARIES,V001014149
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,OPTEVIA LTD,03/06/2016,3002.00,SOFTWARE,V001014150
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,OPTEVIA LTD,03/06/2016,4725.00,SOFTWARE,V001014150
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,OPTEVIA LTD,03/06/2016,15275.00,SOFTWARE,V001014150
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,01/06/2016,-2219.62,COMMUNICATION AND COMPUTING - GENERAL,V001014151
ROCHDALE BOROUGH COUNCIL,06/06/2016,PHYSICAL DIS & OLDER PEOPLE,DR BABATUNDE ADENIJI,06/06/2016,693.48,EXPENSES - GENERAL,V001014158
