Organisation name,Organisation code,Effective date,Contract Reference Number,Open Contracting ID,Title of agreement,Contract type,Directorate/service responsible,Service category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: Proclass label,Procurement classification: CPV code,Contract Start Date,End Date,Review date,Last extension date,Contract value,Fixed cost/estimated cost,Irrecoverable VAT,Supplier Name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,530711,,External review to be undertaken by CIPFA in May 2017.  Assurance review of the NAS internal audit compliance with PSIAS.,,Finance & Property,,,External review to be undertaken by CIPFA in May 2017.  Assurance review of the NAS internal audit compliance with PSIAS.,"AUDITORS, INSPECTIONS & REGISTRATIONS.NON-STATUTORY AUDIT & INSPECTION",,,,,,,6900,,0,CIPFA,,,187115,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531121,,From 12/09/16 to 30/08/2017  - 3183254  46 x Therapy Sessions,,Children's Services,,,From 12/09/16 to 30/08/2017  - 3183254  46 x Therapy Sessions,CHILDREN'S SERVICES.THERAPY,,,,,,,6895,,0,TEMEN LTD,,,2236112,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531537,,"Annual subscription that we pay Hertfordshire for roadworks.org. for 2016/17.- Highway authority Band Before discount �10,200.00 Discount (33.3%) After discount (�3,397.00) �6,803.00",,Community and Environmental Services,,,"Annual subscription that we pay Hertfordshire for roadworks.org. for 2016/17.- Highway authority Band Before discount �10,200.00 Discount (33.3%) After discount (�3,397.00) �6,803.00",ICT-SOFTWARE & SAAS,,,,,,,6803,,0,SUFFOLK COUNTY COUNCIL,,,75016,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527854,,Link Maker Systems Ltd - Link Maker Family Finding - 6 month licence 24/11/2016 to 24/05/2017 invoice No. 2802 date 18/10/2016,,Children's Services,,,Link Maker Systems Ltd - Link Maker Family Finding - 6 month licence 24/11/2016 to 24/05/2017 invoice No. 2802 date 18/10/2016,CHILDREN'S-ADOPTION,,,,,,,6037.5,,0,LINK MAKER SYSTEMS LTD,,,1306776,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,519615,,Leadership Development - October 2016,,Resources,,,Leadership Development - October 2016,HR-TRAINING,,,,,,,6028,,0,MENDAS,,,2172967,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,526296,,PE4124 - Lakenham Way Tree Felling,,Community and Environmental Services,,,PE4124 - Lakenham Way Tree Felling,"FM-GROUNDS, GROUNDS EQUIP & TREE SURGERY.GROUNDS EQUIPMENT",,,,,,,6000,,0,NORSE GROUP LIMITED,,,179148,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528830,,Carefirst no. (if applicable): 3184952 -  Description of Service - Play/Art Therapy,,Children's Services,,,Carefirst no. (if applicable): 3184952 -  Description of Service - Play/Art Therapy,CHILDREN'S SERVICES.THERAPY,,,,,,,6000,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529213,,Grant for apprentice Sept 2016 - March 2017 Hours worked at Depot  Rodrigues ,,Community and Environmental Services,,,Grant for apprentice Sept 2016 - March 2017 Hours worked at Depot  Rodrigues ,GRANTS.GRANTS TO BUSINESSES,,,,,,,6000,,0,TRAC LTD,,,1011912,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529215,,Grant for apprentice - Sept 2016 - March 2017 Hours worked at Depot  ,,Community and Environmental Services,,,Grant for apprentice - Sept 2016 - March 2017 Hours worked at Depot  ,GRANTS.GRANTS TO BUSINESSES,,,,,,,6000,,0,TRAC LTD,,,1011912,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,504432,,Octagon Legal - SSCTR Cases - call off purchase order for SSCTR cases on behalf of NPLAW from Jul16-Mar17 ,,Resources,,,Octagon Legal - SSCTR Cases - call off purchase order for SSCTR cases on behalf of NPLAW from Jul16-Mar17 ,LEGAL.COUNSEL'S FEES,,,,,,,6000,,0,Redacted � Personal Data,,,Redacted,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,504419,,Octagon Legal - SSCTR Cases - call off purchase order for SSCTR cases on behalf of NPLAW from OCT16-Mar17 ,,Resources,,,Octagon Legal - SSCTR Cases - call off purchase order for SSCTR cases on behalf of NPLAW from OCT16-Mar17 ,LEGAL.COUNSEL'S FEES,,,,,,,6000,,0,Redacted � Personal Data,,,Redacted,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531365,,"Promethean ActivPanel Touch 75"" (V4) - 2 x Pens and Cable Pack included. Includes access to ActivInspire Professional 2  Edition, comes with 5 years Onsite Warranty Quotation 596",,Resources,,,"Promethean ActivPanel Touch 75"" (V4) - 2 x Pens and Cable Pack included. Includes access to ActivInspire Professional 2  Edition, comes with 5 years Onsite Warranty Quotation 596",AUDIO VISUAL EQUIPMENT,,,,,,,5998,,0,CDEC LIMITED,,,295446,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531541,,"Equipment (locks, lights, helmets), repair/replacement of accessories budget,  mid-loan service",,Community and Environmental Services,,,"Equipment (locks, lights, helmets), repair/replacement of accessories budget,  mid-loan service",TOOLS & HARDWARE-PURCHASE & MAINTENANCE,,,,,,,5500,,0,PEDAL PARK COMMUNITY INTEREST CO,,,2238104,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528474,,For payment only of Spire Support Services invoice INV235 of 26.10.16 for services carried out at former King George VI now closed school (Gt Bircham) on behalf of Children's Services CHPPOJF27.10.16.,,Children's Services,,,For payment only of Spire Support Services invoice INV235 of 26.10.16 for services carried out at former King George VI now closed school (Gt Bircham) on behalf of Children's Services CHPPOJF27.10.16.,FM-MANAGEMENT OF LAND & PROPERTY.ESTATE MANAGEMENT,,,,,,,5346.66,,0,SPIRE SUPPORT SERVICES LTD,,,1998929,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531189,,HNTF FOR TM1728381 AT BLUNDESTON SCH AUT 15 - AUT 2016,,Children's Services,,,HNTF FOR TM1728381 AT BLUNDESTON SCH AUT 15 - AUT 2016,CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS.NON-RESI SCHOOLS FEES,,,,,,,5333.32,,0,BLUNDESTON C OF E PRIMARY SCHOOL,,,2170051,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,532058,,OOC PP LAC funding for 2016/17 as per invoice_241116,,Children's Services,,,OOC PP LAC funding for 2016/17 as per invoice_241116,CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS.NON-RESI SCHOOLS FEES,,,,,,,5250,,0,BARNHAM COFE VC PRIMARY SCHOOL,,,2115985,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527261,,Hazardous materials advisor course 30/01/17-17/02/17,,Community and Environmental Services,,,Hazardous materials advisor course 30/01/17-17/02/17,HR-TRAINING,,,,,,,5120,,0,TACTICAL HAZMAT LTD,,,2135954,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525468,,Installation and monitoring of 2 automatic cycle sites on A1062 Quotation No: SA0916-018 refers.,,Community and Environmental Services,,,Installation and monitoring of 2 automatic cycle sites on A1062 Quotation No: SA0916-018 refers.,HIGHWAYS-TRAFFIC SIGNALS,,,,,,,5090,,0,CA TRAFFIC LIMITED,,,193934,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,532680,,Legal counsel for trading standards,,Community and Environmental Services,,,Legal counsel for trading standards,LEGAL.COUNSEL'S FEES,,,,,,,5042.52,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525812,,Grant payment to: Confirmation only invoice Shak01 - Society of chief Librarians Shakespeare 2016 - funding refund ,,Community and Environmental Services,,,Grant payment to: Confirmation only invoice Shak01 - Society of chief Librarians Shakespeare 2016 - funding refund ,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,5040,,0,SOCIETY OF CHIEF LIBRARIANS,,,86742,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,526709,,2 x UltraGuard Units + installation - Quotation: Sw506289/Rev 1,,Adult Social Care,,,2 x UltraGuard Units + installation - Quotation: Sw506289/Rev 1,FM-BUILDING MAINTENANCE.FIRE ALARM INSTALLATION & MAINTENANCE,,,,,,,5040,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525542,,Fire Investiagtion Parctical Course,,Community and Environmental Services,,,Fire Investiagtion Parctical Course,HR-TRAINING,,,,,,,5000,,0,GARDINER ASSOCIATES TRAINING & RESEARCH LTD,,,2184102,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,526493,,Strategic Development Grant payment to: Creative Arts East - Spirit of 2012 Project Match Funding 2016,,Community and Environmental Services,,,Strategic Development Grant payment to: Creative Arts East - Spirit of 2012 Project Match Funding 2016,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,5000,,0,CREATIVE ARTS EAST,,,67781,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527823,,Top up fee for additional requirements for Renewal of Membership with CFAB start date 010716,,Children's Services,,,Top up fee for additional requirements for Renewal of Membership with CFAB start date 010716,SUBSCRIPTIONS,,,,,,,5000,,0,CHILDREN & FAMILIES ACROSS BORDERS (CFAB),,,470292,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,530720,,20 Days Support to Raise the attainment for Looked After Children,,Children's Services,,,20 Days Support to Raise the attainment for Looked After Children,GRANTS.GRANTS TO BUSINESSES,,,,,,,5000,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,532435,,Countryside Access Improvement Plan report,,Community and Environmental Services,,,Countryside Access Improvement Plan report,"COMMUNICATIONS-DESIGN, PRINT, ETC.PROMOTIONAL MATERIALS",,,,,,,5000,,0,LANDSCAPE PARTNERSHIP,,,71099,,Yes,,,,
