Ratepayer Name,Property Address,PROPREF,RV
,"Bedford Street Garage, 16a Bedford Street, Halifax, HX1 5DL",64188706,2325
Malcolm Taylor (Halifax) Ltd,"6 Bedford Street North, Halifax, HX1 5BH",64192006,4950
,"Bedford Street North, Halifax, HX1 5BH",64192701,6800
,"85 Beechwood Road, Halifax, HX2 9BT",64212085,4950
,"3 Savile Park Street, Halifax, HX1 3DY",64224003,4550
,"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",64224700,6400
,"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",64224701,7900
,"32 Bell Hall Terrace, Halifax, HX1 3EE",64228032,5200
,"55 Parkinson Lane, Halifax, HX1 3XL",64232002,2700
,"Eastfield Mills, Belmont Street, Claremount, HX3 6AT",64236701,4800
,"Unit 8, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236704,3350
,"Unit 4, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236705,2375
,"Unit 10, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236707,3750
,"Unit 3, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236708,1775
,"Unit 8A Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236712,2600
,"Unit 6 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236713,2650
,"Unit 11 Eastfields Mill, Belmont Street, Halifax, HX3 6AT",64236715,6900
J & G Ainley Ltd,"Unit 12 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236716,8900
,"Unit 1 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236720,3150
,"Unit 2 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236721,4100
Injectors & Glow Plugs Removals Ltd,"Adj Unit 1 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236722,910
,"Unit B The Shed, Eastfield Mills, Belmont Street, Halifax              HX3 6AT",64236723,2550
,"Unit A The Shed, Eastfield Mills, Belmont Street, Halifax              HX3 6AT",64236724,4050
,"Unit C The Shed, Eastfield Mills, Belmont Street, Halifax              HX3 6AT",64236725,2550
,"Unit H Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236726,8100
,"Unit G Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236727,7100
,"Unit E Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236728,4650
,"Unit D Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236729,3400
,"Unit F Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236730,8800
,"76 Hopwood Lane, Halifax, HX1 4DG",64242076,1300
Inomed Health Ltd,"Office 13 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242711,1875
Attollo Elevator Ltd,"Office 15 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242713,4250
Smart People Training & Development Company Ltd,"Office 16 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242714,1400
Dawn To Dusk Ltd,"Office 18 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242716,1475
Nmj Holdings Ltd,"Office 20 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242718,2750
,"Office 30 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242727,1925
,"Office 31 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242728,1825
H.F Supported Accommodation,"Office 32 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242729,3450
A I D C Solutions Ltd,"Office 35 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242732,2550
Ejw Media Ltd,"Office 37 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242734,1400
,"Office 38 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242735,1375
Lime Tree Europe Ltd,"Office 39 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242736,1450
,"Office 41 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242738,1425
,"Office 42 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242739,3450
,"Office 23 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242749,5400
Aim For Achievement In Mind Ltd,"Office 25 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242750,2100
,"Office 22 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242752,2700
Happy Days Ministries Uk,"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242754,4100
Organic Human Resources Ltd,"Office 27 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242756,2425
Ulearn Education Ltd,"Office 2 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242759,3350
Dexter Nicholas Ltd,"Off 4/5 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242793,7300
,"Suite 3 2ND Flr Bond Mill, The Innovation Ctr, Hopwood Lane, Halifax              HX1 5ER",64242803,4700
,"101B Hopwood Lane, Halifax, HX1 4HB",64242808,1600
,"101A Hopwood Lane, Halifax, HX1 4HB",64242809,1275
,"Unit 1 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",64242811,3600
,"Unit 3 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",64242813,4600
,"Part 2nd Floor, Berwick Street, Halifax, HX1 1QG",64244703,5900
,"1st Floor, Berwick Mill, Berwick Street, Halifax             HX1 1QG",64244705,3050
,"Part 2nd Floor, Berwick Mill, Berwick Street, Halifax             HX1 1QG",64244706,5300
Kja Halifax Ltd,"1ST Floor, Berwick Mill, Berwick Street, Halifax              HX1 1QG",64244707,10500
,"37 Stainland Road, Greetland, Halifax, HX4 8AD",64254037,1825
Fat Cat Associates Ltd,"Ground Floor, 89 Stainland Road, Greetland, Halifax              HX4 8BD",64254089,5100
Sharpe Hydraulic Services Ltd,"The Gatehouse, Unit 4 Black Brook Way, Stainland Road, Greetland            HX4 8ED",64254706,9000
D.N.B Transport Ltd,"Unit 12E Black Brook Way, Greetland, Halifax, HX4 8ED",64254721,10000
Seadrift Holdings Ltd,"Unit 3B Blackbrook Way, Stainland Road, Greetland, Halifax              HX4 8ED",64254726,5700
,"Ground Floor, 7/9 Stainland Road, Greetland, Halifax              HX4 8AD",64254732,6000
Edkins & Holmes Estate Agents Ltd,"6A Stainland Road, Greetland, Halifax, HX4 8AD",64254745,3900
,"33A Stainland Road, Greetland, Halifax, HX4 8AD",64254752,6500
Long Mill Carpets Ltd,"2 The Long Mill, Bowes Yard, Stainland Road, Greetland            HX4 8AD",64254757,7200
Janjua Associates Ltd,"Janjua Chambers, Black Swan Passage, George Street, Halifax              HX1 1HA",64256704,5600
Dowsland Electrical Ltd,"20a Blackwall, Halifax, HX1 2BE",64268702,2800
,"25 Boothtown Road, Halifax, HX3 6EU",64284025,1350
,"51 Boothtown Road, Halifax, HX3 6NE",64284051,6000
,"117 Boothtown Road, Halifax, HX3 6PD",64284117,6000
,"147 Boothtown Road, Halifax, HX3 6TU",64284147,2200
,"178 Boothtown Road, Halifax, HX3 6TU",64284178,2400
,"38 Boothtown Road, Halifax, HX3 6NE",64284710,1925
,"25a Boothtown Road, Halifax, HX3 6EU",64284715,2300
,"27a Boothtown Road, Halifax, HX3 6EU",64284717,4350
,"19 Boothtown Road, Halifax, HX3 6EU",64284819,2275
,"27 Boothtown Road, Halifax, HX3 6EU",64284822,4050
West Yorkshire Windscreens Limited,"Units 1 & 2, New Delight Works, Boothtown Road, Halifax              HX3 6TU",64284827,5000
,"3 Borough Market, Halifax, HX1 1DY",64288003,3650
,"4 Borough Market, Halifax, HX1 1DY",64288004,3650
,"5 Borough Market, Halifax, HX1 1DY",64288005,3600
,"7 Borough Market, Halifax, HX1 1DY",64288007,3600
,"15 Borough Market, Halifax, HX1 1DY",64288015,3250
,"16 Borough Market, Halifax, HX1 1DY",64288016,2125
,"23 Borough Market, Halifax, HX1 1DY",64288023,6000
,"25 Borough Market, Halifax, HX1 1DY",64288025,3450
,"26 Borough Market, Halifax, HX1 1DY",64288026,4150
,"27 Borough Market, Halifax, HX1 1DY",64288027,3350
,"33 Borough Market, Halifax, HX1 1DY",64288033,3850
,"34 Borough Market, Halifax, HX1 1DY",64288034,3600
,"35 Borough Market, Halifax, HX1 1DY",64288035,3000
,"37 Borough Market, Halifax, HX1 1DY",64288037,3550
,"43 Borough Market, Halifax, HX1 1DY",64288043,4000
,"44 Borough Market, Halifax, HX1 1DY",64288044,1250
,"45 Borough Market, Halifax, HX1 1DY",64288045,2350
,"9/10 Borough Market, Halifax, HX1 1DY",64288701,5500
Rice N Roll Ltd,"21/22 Borough Market, Halifax, HX1 1DY",64288704,7600
,"Market Stall 1-4, Market Hall, Borough Market, Halifax             HX1 1DZ",64288707,4100
,"Market Stall 2-3, Market Hall, Borough Market, Halifax             HX1 1DZ",64288708,3750
,"Market Stall 9-12, Market Hall, Borough Market, Halifax             HX1 1DZ",64288711,9000
,"Market Stall 13-14, Market Hall, Borough Market, Halifax             HX1 1DZ",64288713,4850
,"Market Stalls 15 & 16, Market Hall, Borough Market, Halifax             HX1 1DZ",64288714,4550
,"Market Stalls 18/19, Market Hall, Borough Market, Halifax              HX1 1DZ",64288717,4600
,"Market Stall 21, Market Hall, Borough Market, Halifax             HX1 1DZ",64288718,3850
,"Market Stall 25-26, Market Hall, Borough Market, Halifax             HX1 1DZ",64288721,5000
,"Market Stall 27-28, Market Hall, Borough Market, Halifax             HX1 1DZ",64288722,5900
,"Market Stall 29-32, Market Hall, Borough Market, Halifax             HX1 1DZ",64288723,10250
,"Market Stall 33-36, Market Hall, Borough Market, Halifax             HX1 1DZ",64288724,4900
,"Market Stall 45-46, Market Hall, Borough Market, Halifax             HX1 1DZ",64288728,4750
,"Market Stall 55-56, Market Hall, Borough Market, Halifax             HX1 1DZ",64288731,4650
,"Market Stall 57-58, Market Hall, Borough Market, Halifax             HX1 1DZ",64288732,5300
,"Market Stall 59-60, Market Hall, Borough Market, Halifax             HX1 1DZ",64288733,4650
,"Market Stall 63-64, Market Hall, Borough Market, Halifax             HX1 1DZ",64288735,5800
Mr Robert Ashton,"Market Stall 65-66, Market Hall, Borough Market, Halifax             HX1 1DZ",64288736,4950
,"Market Stall 69-71, Market Hall, Borough Market, Halifax             HX1 1DZ",64288738,10000
,"Market Stall 75-76, Market Hall, Borough Market, Halifax             HX1 1DZ",64288740,4850
,"Market Stall 80-81, Market Hall, Borough Market, Halifax             HX1 1DZ",64288742,5600
,"Market Stall 82-84, Market Hall, Borough Market, Halifax             HX1 1DZ",64288743,7600
,"Market Stall 85-86, Market Hall, Borough Market, Halifax             HX1 1DZ",64288744,5500
,"Market Stall 89-90, Market Hall, Borough Market, Halifax             HX1 1DZ",64288747,5600
,"Market Stall 93, Market Hall, Borough Market, Halifax             HX1 1DZ",64288749,1525
,"Market Stall 91-92, Market Hall, Borough Market, Halifax             HX1 1DZ",64288751,6700
,"Market Stall 112-113, Market Hall, Borough Market, Halifax             HX1 1DZ",64288754,6600
,"Market Stall 114, Market Hall, Borough Market, Halifax             HX1 1DZ",64288756,4350
,"Market Stall 116, Market Hall, Borough Market, Halifax             HX1 1DZ",64288758,4150
,"Market Stall 121, Market Hall, Borough Market, Halifax             HX1 1DZ",64288761,1425
,"Market Stall 122/132/133, Market Hall, Borough Market, Halifax             HX1 1DZ",64288762,10500
,"Market Stall 123, Market Hall, Borough Market, Halifax             HX1 1DZ",64288763,3200
,"Market Stall 125, 125A 126A, Market Hall, Borough Market, Halifax              HX1 1DZ",64288765,3950
,"Market Stall 126, Market Hall, Borough Market, Halifax             HX1 1DZ",64288766,2700
,"Market Stall 134-135, Market Hall, Borough Market, Halifax             HX1 1DZ",64288769,4700
,"30-31 Borough Market, Halifax, HX1 1DY",64288807,5700
,"Market Stalls 87/88, Market Hall, Borough Market, Halifax              HX1 1RE",64288810,9000
J F K Fashion Limited,"Market Stall 5,6-8, Borough Market, Halifax, HX1 1DZ",64288811,7300
,"38/39 Borough Market, Halifax, HX1 1DZ",64288812,7300
,"Market Stall 110-111, Market Hall, Borough Market, Halifax              HX1 1DZ",64288819,4000
,"Market Stall 117,118 &120, Market Hall, Borough Market, Halifax              HX1 1DZ",64288821,6000
,"Market Stall 77-79, Market Hall, Borough Market, Halifax              HX1 1DZ",64288823,9100
,"28 & 29 Borough Market, Halifax, HX1 1DZ",64288824,5900
,"Market Stalls 127-128, Market Hall, Borough Market, Halifax              HX1 1DZ",64288825,6000
,"Office Suite T3, Dean Clough Mills, Halifax, HX3 5AX",64296716,1500
Eight Sixteen Coffee Company Ltd,"F Mill Ground East A, Dean Clough Mills, Halifax, HX3 5AX",64296718,11750
Ground Strategies Ltd,"Office Suite E207, Dean Clough Mills, Halifax, HX3 5AX",64296732,7200
Craven Slater & Associates Ltd,"Office Suite E209, Dean Clough Mills, Halifax, HX3 5AX",64296733,3000
,"Office Suite D109, Dean Clough Mills, Halifax, HX3 5AX",64296735,1850
,"Unit 4 F Mill Courtyard, Dean Clough Mills, Halifax, HX3 5AX",64296737,6800
,"Unit 3 F Mill Courtyard, Dean Clough Mills, Halifax, HX3 5AX",64296739,4800
Bowling Green Primary School,"Bowling Green Primary School, Stainland, Halifax, HX4 9HU",64300700,11000
,"Rose & Crown Inn, Bowling Green, Stainland, Halifax             HX4 9PF",64300702,3300
,"R/O 7/9 Bowling Green, Stainland, Halifax, HX4 9PF",64300703,3250
,"1/3 Bowman Terrace, Halifax, HX1 5PB",64304001,6100
,"Unit 1, The Tannery, Bradford Road, Halifax             HX3 7HR",64332703,2050
,"Unit 2, The Tannery, Bradford Road, Halifax             HX3 7HR",64332704,780
Select Electrical Contractors Ltd,"Unit 4, The Tannery, Bradford Road, Halifax             HX3 7HR",64332705,1725
Hawley Business Solutions Ltd,"Unit 6, The Tannery, Bradford Road, Halifax             HX3 7HR",64332706,2100
,"Unit 5, The Tannery, Bradford Road, Halifax             HX3 7HR",64332707,6900
,"Unit 3, The Tannery, Bradford Road, Halifax             HX3 7HR",64332708,3250
The Bradshaw Pub Co Ltd,"Golden Fleece Inn, 1 Bradshaw Lane, Bradshaw, Halifax             HX2 9UZ",64336702,4100
,"The Coach House, 3 Bradshaw Lane, Bradshaw, Halifax              HX2 9UZ",64336706,1425
,"7 Branch Road, Barkisland, Halifax, HX4 8NU",64344701,5300
,"Unit 10 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344703,5200
,"Unit 11 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344708,2700
,"Unit 20 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344709,3050
Arctic Media Ltd,"Unit 23 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344710,2275
,"Unit 30 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344711,2025
Bowers Mill Cafe Ltd,"Unit 32 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344712,2225
,"Unit 51 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344713,3650
Whiteley Textiles Ltd,"Unit 52 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344714,4550
,"Unit 21 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344716,1275
,"Unit 60 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344719,4100
,"Unit 64 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344722,4950
Knightsbridge Wealth Management Ltd,"Unit 81 (Part Ground Floor), Bowers Mill, Branch Road, Barkisland          HX4 0AD",64344724,2025
,"Unit 55 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344726,4600
Priory Hardwoods Ltd,"Unit 61 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344727,8200
,"Unit 57 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344730,3150
Jade 3 Architecture Ltd,"Unit 67 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344733,3050
Wright Angle Marketing Ltd,"Unit 70 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344734,4950
,"Unit 75 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344738,1450
J C A Ltd,"Units 80/83 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344747,5700
,"Unit 68 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344752,4600
,"Unit 69 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344753,3050
Vaughan Ergonomic Ltd,"Unit 69A Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344755,4550
,"Unit 71 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344756,2900
,"Yard Opp Far Sykes House, Branch Road, Barkisland, Halifax              HX4 8NU",64344760,4900
,"Land R/O Boys Scarr, Boy Mill Road, Luddendenfoot, Halifax              HX2 6ET",64348701,1100
P.C Lifting Services Ltd,"Unit 2a, Brunswick Works, Brassey Street, Halifax             HX1 2EA",64352705,3150
Pc Lifting Services Ltd,"Unit 2b, Brunswick Works, Brassey Street, Halifax             HX1 2EA",64352706,3150
Complete Packaging Sevices Ltd,"Unit 5, Brunswick Works, Brassey Street, Halifax             HX1 2EA",64352710,9700
,"Unit 3B, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EL",64352727,3150
Prestige Sportswear Ltd,"Unit 6, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA",64352732,10500
F H L (Services) Ltd,"Unit 12, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356705,11000
Calder Construction & Shopfitting Ltd,"Unit 15, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356706,11250
West Riding Classic Cars Limited,"Unit 16, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356707,7400
Fisher & Haynes Ltd,"Unit 3-5, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356708,4600
Crescent Machinery Ltd,"Unit 6, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356709,9500
,"Unit 2a Riverside Works, Brearley Lane, Luddendenfoot, Halifax             HX2 6HU",64356711,4400
,"Unit 7/8 Lower Brearley Mill, Luddendenfoot, Halifax, HX2 6HU",64356712,4800
Chris Rhodes Electrical Ltd,"Unit 1A, Brearley Lane Trading Estate, Brearley Lane, Luddendenfoot        HX2 6HU",64356716,2300
Vernon Robinson & Son Haulage Contractors,"Brow Stone Yard, Brighouse Road, Hipperholme, Halifax             HX3 8DD",64376706,4200
,"Southedge Iron Works, Brighouse Road, Hipperholme, Halifax             HX3 8EG",64376711,5300
Label Pak Ltd,"Unit 1, Brow Mills, Brighouse Road, Hipperholme          HX3 8EF",64376713,4550
,"Adj Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",64376726,3900
Keswickton Securities Ltd,"Unit 12, Brow Mills Industrial Estate, Brighouse Road, Hipperholme          HX3 8EF",64376732,5600
,"Unit 2 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",64376751,5000
,"Unit 4 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",64376753,3100
,"Unit 3 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",64376755,3750
,"Unit 1 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",64376756,8100
,"Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",64376758,8900
,"Brighouse&Denholmegate Rd, Shelf, Halifax, HX3 7TG",64380700,9100
,"Dundee Farm, Brighouse&Denholmegate Rd, Shelf, Halifax             HX3 7TG",64380703,1600
,"Laura Brennan, Equestrian Centre, Brighouse&Denholmegate Rd, Shelf                HX3 7TL",64380705,3900
,"35 Broad Street, Halifax, HX1 1YA",64400718,6100
Thai Halifax Limited,"37/39 Broad Street, Halifax, HX1 1YA",64400720,8300
Accurating Ltd,"Brooke House, 7 Brooke Green, Hipperholme, Halifax             HX3 8ES",64404700,2250
Independent Healthcare Solutions Ltd,"29 Brow Lane, Shelf, Halifax, HX3 7QJ",64428029,7300
,"8/10 Bull Close Lane, Halifax, HX1 2EF",64432008,9100
,"39 Bull Close Lane, Halifax, HX1 2EF",64432039,7900
,"23B Bull Close Lane, Halifax, HX1 2EF",64432716,2700
,"17 Bull Green, Halifax, HX1 2RZ",64436017,7000
,"20 Bull Green, Halifax, HX1 5AB",64436020,5900
,"23 Bull Green, Halifax, HX1 2RZ",64436023,5300
,"28 Bull Green, Halifax, HX1 5AB",64436028,6700
Nana Jeans Ltd,"30 Bull Green, Halifax, HX1 5AB",64436030,6900
,"32 Bull Green, Halifax, HX1 5AB",64436032,7800
,"38 Bull Green, Halifax, HX1 5AB",64436038,8900
,"4 Bull Green, Halifax, HX1 5AB",64436720,960
,"34 Bull Green, Halifax, HX1 5AB",64436807,10750
,"Burnley Hill Farm, Burnley Hill, Shelf, Halifax             HX3 7LJ",64440700,1650
,"King Cross Garage, Burnley Road, Halifax, HX2 7JG",64444700,3600
,"King Cross Garage, Burnley Road, Halifax, HX2 7JG",64444701,5900
,"The Allan Fold, Halifax, HX1 3SU",64444703,4000
,"1 Burnley Road, Luddendenfoot, Halifax, HX2 6AA",64448001,820
,"London House, Burnley Road, Luddendenfoot, Halifax             HX2 6AA",64448708,2850
,"Room 2, Council Offices, Burnley Road, Luddendenfoot       HX2 6AA",64448716,1800
,"Unit R6, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",64448725,2900
,"Unit R5, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",64448726,2850
,"Unit R4, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448733,6900
,"Unit B2, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",64448740,6200
,"Unit C1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",64448746,1475
N W H Trading Ltd,"Unit B1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448752,5600
Tutto Mio Ltd,"Weavers Arms, Burnley Road, Luddendenfoot, Halifax             HX2 6AH",64448758,3600
,"Unit G6, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448767,5900
,"Unit B3, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",64448769,1725
,"Unit C2, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448773,1525
L S Audio Tech Ltd,"Unit W1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448774,4650
I J M Construction Ltd,"Unit G6a, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448779,3600
,"Unit B9, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EJ",64448784,1125
,"Unit R8, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448785,2850
,"Unit C7, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448786,3250
E.S Maintenance Services Ltd,"Unit G5, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",64448790,3400
,"Unit W7, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",64448791,980
Pd Metal Polishing Ltd,"Unit R7, Tenterfields Business Park, Luddendenfoot, Halifax              HX2 6EQ",64448792,2850
G P S Range Services Ltd,"Unit G4, Tenterfield Business Park, Luddendenfoot, Halifax              HX2 6EQ",64448800,2750
,"Unit W3, Tenterfield Business Pk, Burnley Road, Luddendenfoot        HX2 6EQ",64448811,3500
,"Unit G3, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",64448813,3100
,"Unit G3 A, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",64448816,4150
,"Unit G1 Tenterfields Bsn Pk, Burnley Road, Luddendenfoot, Halifax              HX2 6EQ",64448821,4600
,"Unit G2 Tenterfields Bsn Pk, Burnley Road, Luddendenfoot, Halifax              HX2 6EJ",64448822,4750
,"Unit R3, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",64448823,6200
Fresco Picturewall Ltd,"Unit C6, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",64448826,6400
The Dark Angel Design Co Ltd,"Unit R1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",64448827,6000
,"Unit R2, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",64448828,6300
Ab Open Limited,"Unit C5 2ND Floor, Burnley Road, Luddendenfoot, Halifax              HX2 6EJ",64448834,1900
,"Warley Springs Garage, Burnley Road, Halifax, HX2 7NB",64452703,5700
,"Unit 1 The Old Bakery, Cain Lane, Southowram, Halifax              HX3 9SA",64464700,4600
,"Pack Horse Inn, Cain Lane, Southowram, Halifax             HX3 9SA",64464703,4150
,"Unit 2 The Old Bakery, Cain Lane, Southowram, Halifax              HX3 9SA",64464704,3650
,"Edwards Road Post Office, Edwards Road, Halifax, HX2 7DL",64472002,6700
,"Luddendenfoot Bowling Club, Tillotson Holme, Luddendenfoot, Halifax              HX2 6AF",64476700,2900
Work Life Health Ltd,"Office 4, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",64480712,1425
,"4 Carlton Place, Halifax, HX1 2SB",64484702,8500
,"5 Carlton Place, Halifax, HX1 2SB",64484704,9300
,"First Floor, 5 Carlton Place, Halifax, HX1 2SB",64484705,8100
,"Lower Ground Floor, 3 Carlton Place, Halifax, HX1 2SB",64484707,9000
,"3 Carlton Street, Halifax, HX1 2AL",64488003,7700
,"7 Carlton Street, Halifax, HX1 2AL",64488007,5900
,"18 Carlton Street, Halifax, HX1 2AL",64488018,8000
,"16 Carlton Street, Halifax, HX1 2AL",64488700,6000
Conscious Health Ltd,"12 Carlton Street, Halifax, HX1 2AL",64488711,6400
Translate Uk Ltd,"First & Second Floor, 8 Carlton Street, Halifax, HX1 2AL",64488713,6000
,"24 Carr House Lane, Shelf, Halifax, HX3 7RB",64496024,730
,"9 Carr House Road, Shelf, Halifax, HX3 7QY",64500009,3700
Shelf Pharmacy Ltd,"14 Carr House Road, Shelf, Halifax, HX3 7QY",64500014,4950
,"16 Carr House Road, Shelf, Halifax, HX3 7QY",64500016,4300
,"18 Carr House Road, Shelf, Halifax, HX3 7QY",64500018,4750
,"20 Carr House Road, Shelf, Halifax, HX3 7QY",64500020,4350
,"22/24 Carr House Road, Shelf, Halifax, HX3 7QY",64500024,6300
,"54 Carr House Road, Shelf, Halifax, HX3 7RJ",64500055,4450
,"63 Carr House Road, Shelf, Halifax, HX3 7RJ",64500063,2550
,"Carr Wood House, Carr House Road, Shelf, Halifax             HX3 7RJ",64500701,6200
,"1/3 Carr House Road, Shelf, Halifax, HX3 7QY",64500706,10500
,"55 Carr House Road, Shelf, Halifax, HX3 7RJ",64500707,3800
Cafe Revive,"66b Carr House Road, Shelf, Halifax, HX3 7RJ",64500708,5200
,"Manchester House, 68 Carr House Road, Shelf, Halifax             HX3 7RJ",64500709,6400
,"Causeway Foot Inn, 13 Causeway Foot, Halifax, HX2 8XX",64516700,4800
Arbe Integrated Engineering Ltd,"Coal Lane End Farm, Causeway Foot, Halifax, HX2 8YB",64516704,6900
Lvk Properties Ltd,"The Livery, Coal Lane End Farm, Causeway Foot, Halifax              HX2 8YB",64516705,3800
,"3 Central Street, Halifax, HX1 1HU",64524003,5900
