Property Address,PROPREF,DATE_START,RV as at March 2014
"66 Southgate, Elland, HX5 0PS",56224066,11/10/2010,5800
"69 Southgate, Elland, HX5 0DQ",56224069,01/04/2007,4850
"71 Southgate, Elland, HX5 0DQ",56224071,18/11/2013,4650
"72 Southgate, Elland, HX5 0PS",56224072,01/04/2007,7300
"78 Southgate, Elland, HX5 0EP",56224078,28/07/2008,5700
"80 Southgate, Elland, HX5 0EP",56224080,01/04/2007,4700
"82 Southgate, Elland, HX5 0EP",56224082,01/04/2007,7700
"92 Southgate, Elland, HX5 0EP",56224092,01/04/2010,4700
"100 Southgate, Elland, HX5 0EP",56224100,08/05/2012,6700
"102 Southgate, Elland, HX5 0EP",56224102,13/07/2012,6900
"1 Crown Yard, Southgate, Elland, HX5 0DQ",56224703,01/04/2007,4500
"St Pauls Buildings, Southgate, Elland, HX5 0EX",56224706,01/04/2010,3450
"3/4 St Pauls Buildings, Southgate, Elland, HX5 0EX",56224707,15/09/2011,5300
"54 Southgate, Elland, HX5 0DQ",56224714,01/04/2007,3200
"10 Southgate, Elland, HX5 0BW",56224718,28/10/2013,6000
"R/O 80 Southgate, Elland, HX5 0EP",56224728,01/04/2007,6500
"5 Crown Yard, Southgate, Elland, HX5 0DQ",56224730,01/04/2007,2950
"6 Crown Yard, Southgate, Elland, HX5 0DQ",56224731,01/05/2013,3200
"21 Southgate, Elland, HX5 0BW",56224737,08/10/2011,3250
"73 Southgate, Elland, HX5 0DQ",56224745,05/10/2013,5300
"6 The Cross, Elland, HX5 0BB",56228006,01/04/2007,5100
"8 The Cross, Westgate, Elland, HX5 0BB",56228008,01/04/2007,6600
"3/4 Town Hall Buildings, Elland, HX5 9AJ",56236003,01/04/2007,6400
"6 Town Hall Buildings, Elland, HX5 9AJ",56236006,01/12/2012,2150
"11 Town Hall Buildings, Elland, HX5 0EU",56236011,01/04/2007,5700
"1 Victoria Road, Elland, HX5 0AB",56244001,17/12/2010,4650
"4 Victoria Road, Elland, HX5 0PU",56244004,09/04/2008,2550
"5 Victoria Road, Elland, HX5 0AB",56244005,18/10/2010,3300
"6 Victoria Road, Elland, HX5 0PU",56244006,01/04/2007,3250
"10 Victoria Road, Elland, HX5 0PU",56244010,01/02/2013,2225
"11 Victoria Road, Elland, HX5 0AB",56244011,01/04/2007,8800
"13 Victoria Road, Elland, HX5 0AB",56244013,01/04/2011,2050
"16 Victoria Road, Elland, HX5 0PU",56244016,01/07/2013,4300
"35 Victoria Road, Elland, HX5 0AB",56244035,01/04/2007,2500
"37 Victoria Road, Elland, HX5 0AB",56244037,01/04/2007,2900
"39 Victoria Road, Elland, HX5 0AB",56244039,01/11/2012,2800
"Victoria Chambers, Victoria Road, Elland, HX5 0AB",56244700,01/05/2012,3750
"13A Victoria Road, Elland, HX5 0AB",56244701,01/09/2009,3100
"Burnham House, Victoria Road, Elland, HX5 0AB",56244702,28/07/2009,3350
"18/20 Victoria Road, Elland, HX5 0PU",56244714,01/04/2007,9200
"Victoria Rd Service Station, Victoria Road, Elland, HX5 0PU",56244715,01/04/2010,8900
"Part First Floor Office, 2 Victoria Buildings, Elland, HX5 0AB",56244718,01/05/2008,1200
"2 Victoria Buildings, Elland, HX5 0AB",56244719,01/08/2008,3900
"3 Victoria Road, Elland, HX5 0AB",56244722,01/10/2013,3950
"Media Mills, Westbury Mills, Westbury Street, Elland              HX5 9AT",56248706,01/04/2010,3400
"160 Westgate, Elland, HX5 0BB",56252706,28/09/2009,3150
"162 Westgate, Elland, HX5 0BB",56252707,23/09/2009,5500
"New Hall Farm Stables, And Livery, Whitwell Green Lane, Elland               HX5 9PH",56256702,04/03/2012,2400
"1 Whitwell Grove, Elland, HX5 9EJ",56260001,30/06/2013,2250
"The Works, Norman Street, Elland, HX5 9BS",56269701,01/04/2008,5600
"Unit 2 Jefferson House, Adelaide Street, Halifax, HX1 4LY",64024711,01/06/2012,9500
"Unit 1 Jefferson House, Adelaide Street, Halifax, HX1 4LY",64024712,01/04/2010,8600
"Clarence Brass Works, Aked's Road, Halifax, HX1 2TR",64028700,01/04/2007,7500
"Akroyd House, 2 Akroyd Place, Halifax, HX1 1YH",64036700,01/04/2007,7000
"1ST & 2ND Floors, 4 Akroyd Place, Halifax, HX1 1YH",64036711,01/04/2007,4850
"GRD,1ST & 2ND Floors, 10 Akroyd Place, Halifax, HX1 1YH",64036712,01/04/2011,8700
"Ground Floor, 4 Akroyd Place, Halifax, HX1 1YH",64036719,28/11/2012,7300
"Lower Ground Floor, 4-6 Akroyd Place, Halifax, HX1 1YH",64036720,10/10/2009,4800
"1 Albert Road, Halifax, HX2 0BY",64040001,01/10/2012,1850
"56 Albert Road, Halifax, HX2 0DF",64040056,01/04/2007,1575
"Albert Road, Halifax, HX2 0BY",64040700,01/04/2007,2700
"Unit 1A Moorlea Garage, Albert Road, Halifax, HX2 0DF",64040701,01/11/2012,6400
"Moorlea Garage, Albert Road, HX2 0DF",64040703,29/10/2012,2225
"Moorlea Garage, Albert Road, Halifax, HX2 0DF",64040705,01/04/2007,3050
"Unit 1 Moorlea Garage, Albert Road, Halifax, HX2 0DF",64040706,01/07/2008,2475
"Talbot Works, Albert Road, Halifax, HX2 0DF",64040714,01/04/2007,10500
"Unit 1 Victoria Terminal, Albert Road, Halifax, HX2 0BY",64040720,01/11/2012,2300
"Unit 4 Victoria Terminal, Albert Road, Halifax, HX2 0BY",64040721,01/04/2008,4750
"Unit 3 Victoria Terminal, Albert Road, Halifax, HX2 0BY",64040722,01/04/2010,4450
"Unit 5 Victoria Terminal, Albert Road, Halifax, HX2 0BY",64040723,01/04/2007,6200
"Unit 2 Victoria Terminal, Albert Road, Halifax, HX2 0BY",64040724,01/11/2011,2175
"Cdk Motors, Albert Road, Halifax, HX2 0DF",64040736,01/02/2012,4550
"Unit 2, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",64040741,01/10/2012,4250
"Units 4& 6, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",64040742,01/11/2012,7800
"Albert Street, Halifax, HX1 5NW",64044701,16/08/2010,8700
"Unit 2, 2 Albert Street, Halifax, HX1 5NW",64044711,01/04/2007,3800
"Unit 3, 2 Albert Street, Halifax, HX1 5NW",64044712,10/06/2013,3500
"Albert Street, Halifax, HX1 5NW",64044713,29/10/2012,6600
"120 Albert View, Pellon, Halifax, HX2 0DD",64048120,01/04/2011,2475
"2 Albion Street, Halifax, HX1 1DU",64052002,22/03/2011,10500
"3 Albion Street, Halifax, HX1 1DU",64052003,01/03/2013,3650
"9 Albion Street, Halifax, HX1 1DU",64052009,01/04/2007,3600
"15 Albion Street, Halifax, HX1 1DU",64052015,01/03/2011,3600
"17 Albion Street, Halifax, HX1 1DU",64052017,01/10/2009,3600
"5 Albion Street, Halifax, HX1 1DU",64052100,01/04/2007,3550
"11/13 Albion Street, Halifax, HX1 1DU",64052701,01/01/2012,7200
"7 Albion Street, Halifax, HX1 1DU",64052704,01/04/2007,3450
"23 Alexandra Street, Halifax, HX1 1BS",64056023,16/07/2011,6600
"Victoria Works, Allerton Place, Halifax, HX1 5JJ",64068700,01/04/2007,8100
"Bowling Club, Amisfield Road, Hipperholme, Halifax             HX3 8NE",64072703,01/04/2007,4650
"Arundel Street, Halifax, HX1 4LE",64084703,01/04/2007,8600
"95 Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096095,01/04/2007,3950
"97a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096700,01/04/2012,2350
"99a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096701,01/04/2007,2475
"101a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096702,27/07/2007,2550
"105a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096704,09/02/2010,2300
"38 Back Clough, Northowram, Halifax, HX3 7HH",64104038,10/11/2012,1075
"45 Back Clough, Northowram, Halifax, HX3 7HH",64104045,20/12/2007,3200
"40 Back Clough, Northowram, Halifax, HX3 7HH",64104706,07/12/2012,3250
"Backhold Lane, Siddal, Halifax, HX3 9DL",64120700,08/12/2011,2700
"Cross Roads Inn, Wainstalls, Halifax, HX2 7TB",64128700,09/01/2012,9700
"16 Bank Edge Road, Halifax, HX2 8JU",64136016,01/04/2007,2350
"32 Bank Top, Southowram, Halifax, HX3 9NJ",64144032,01/04/2010,4100
"Bankhouse Lane, Salterhebble, Halifax, HX3 0QL",64148701,01/04/2007,1775
"35 Bath Place, Halifax, HX3 6EG",64168035,01/08/2011,1325
"3 Batley Street, Lee Mount, Halifax, HX3 5DG",64172003,15/04/2011,2050
"5 Battinson Road, Halifax, HX1 5PR",64176005,11/02/2008,2600
"66/68 Battinson Road, Halifax, HX1 4RW",64176711,01/04/2010,8400
"Part B, Battinson Road Garage, Battinson Road, Halifax              HX1 4RP",64176715,01/06/2012,8500
"Part A, Battinson Road Garage, Battinson Road, Halifax              HX1 4RP",64176716,01/01/2014,7600
"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",64184702,01/04/2007,6900
"Bedford Street Works, Bedford Street, Halifax, HX1 5DL",64188702,01/04/2007,5800
"Stirling Works, 16 Bedford Street, Halifax, HX1 5DL",64188705,01/04/2011,3050
"Bedford Street Garage, 16a Bedford Street, Halifax, HX1 5DL",64188706,01/04/2007,2325
"6 Bedford Street North, Halifax, HX1 5BH",64192006,01/04/2007,4950
"Bedford Street North, Halifax, HX1 5BH",64192701,01/04/2011,6800
"85 Beechwood Road, Halifax, HX2 9BT",64212085,13/02/2011,4950
"3 Savile Park Street, Halifax, HX1 3DY",64224003,01/04/2010,4550
"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",64224700,01/04/2010,6400
"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",64224701,01/04/2013,7900
"32 Bell Hall Terrace, Halifax, HX1 3EE",64228032,08/11/2009,5200
"55 Parkinson Lane, Halifax, HX1 3XL",64232002,01/04/2007,2700
"Eastfield Mills, Belmont Street, Claremount, HX3 6AT",64236701,01/04/2007,4800
"Unit 4, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236705,01/04/2013,2375
"Unit 10, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236707,01/04/2007,3750
"Unit 6 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236713,01/04/2007,2650
"Unit 11 Eastfields Mill, Belmont Street, Halifax, HX3 6AT",64236715,01/06/2011,6900
"Unit 12 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236716,01/04/2007,8900
"Unit 2 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236721,01/03/2011,4100
"Office 13 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242711,01/09/2013,1875
"Office 15 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242713,01/05/2013,4250
"Office 16 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242714,10/04/2010,1400
"Office 17 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242715,01/07/2012,1375
"Office 18 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242716,01/04/2011,1475
"Office 19 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242717,01/02/2014,1425
"Office 20 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242718,14/12/2009,2750
"Office 30 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242727,07/03/2012,1925
"Office 32 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242729,13/07/2010,3450
"Office 33 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242730,01/07/2013,1875
"Office 34 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242731,08/03/2011,5400
"Office 35 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242732,01/06/2007,2550
"Office 37 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242734,01/08/2013,1400
"Office 38 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242735,01/04/2011,1375
"Office 39 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242736,01/10/2012,1450
"Office 41 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242738,17/04/2013,1425
"Office 42 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242739,01/10/2011,3450
"Office 21 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242748,10/05/2010,3100
"Office 23 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242749,18/07/2011,5400
"Office 26 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242751,01/06/2013,2200
"Office 22 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242752,01/02/2013,2700
"Office 27 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242756,18/07/2011,2425
"Off 4/5 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242793,01/06/2011,7300
"Unit 1 Culver Works, Hopwood Lane, Halifax, HX1 5ER",64242797,10/12/2011,4300
"Unit 3 Culver Works, Hopwood Lane, Halifax, HX1 5ER",64242799,10/12/2011,3600
"Off 6 2ND Flr W Grove Mill, The E W Innovtion Ctr, Hopwood Lane, Halifax              HX1 5ER",64242801,28/09/2012,1375
"Suite 3 2ND Flr Bond Mill, The Innovation Ctr, Hopwood Lane, Halifax              HX1 5ER",64242803,01/01/2013,4700
"Part 2nd Floor, Berwick Street, Halifax, HX1 1QG",64244703,03/11/2007,5900
"1st Floor, Berwick Mill, Berwick Street, Halifax             HX1 1QG",64244705,04/08/2009,3050
"Part 2nd Floor, Berwick Mill, Berwick Street, Halifax             HX1 1QG",64244706,01/04/2010,5300
"1ST Floor, Berwick Mill, Berwick Street, Halifax              HX1 1QG",64244707,01/10/2010,10500
"Ground Floor, 89 Stainland Road, Greetland, Halifax              HX4 8BD",64254089,29/09/2013,5100
"Unit 12E Black Brook Way, Greetland, Halifax, HX4 8ED",64254721,01/09/2009,10000
"Unit 3B Blackbrook Way, Stainland Road, Greetland, Halifax              HX4 8ED",64254726,01/10/2010,5700
"Ground Floor, 7/9 Stainland Road, Greetland, Halifax              HX4 8AD",64254732,02/01/2013,6000
"Unit 2 Lower Gf, The Long Mill Bowes Yard, Stainland Road, Greetland            HX4 8AD",64254738,01/02/2013,2900
"Portacabin Office, Black Brook Way, Stainland Road, Greetland            HX4 8BQ",64254739,23/12/2013,10000
"Janjua Chambers, Black Swan Passage, George Street, Halifax              HX1 1HA",64256704,01/04/2010,5600
"20a Blackwall, Halifax, HX1 2BE",64268702,26/07/2013,2800
"Springfield Mine, Blake Hill, Shibden, Halifax             HX3 7UN",64280700,01/04/2007,1125
"51 Boothtown Road, Halifax, HX3 6NE",64284051,01/04/2007,6000
"117 Boothtown Road, Halifax, HX3 6PD",64284117,01/04/2009,6000
"147 Boothtown Road, Halifax, HX3 6TU",64284147,01/04/2007,2200
"178 Boothtown Road, Halifax, HX3 6TU",64284178,01/04/2007,2400
"38 Boothtown Road, Halifax, HX3 6NE",64284710,01/04/2007,1925
"25a Boothtown Road, Halifax, HX3 6EU",64284715,01/07/2011,2300
"27a Boothtown Road, Halifax, HX3 6EU",64284717,01/04/2007,4350
"19 Boothtown Road, Halifax, HX3 6EU",64284819,01/04/2007,2275
"27 Boothtown Road, Halifax, HX3 6EU",64284822,01/04/2007,4050
"New Delight Works, Boothtown Road, Halifax, HX3 6TU",64284824,01/05/2011,2250
"4 Borough Market, Halifax, HX1 1DY",64288004,01/04/2007,3650
"5 Borough Market, Halifax, HX1 1DY",64288005,01/04/2007,3600
"7 Borough Market, Halifax, HX1 1DY",64288007,01/09/2008,3600
"15 Borough Market, Halifax, HX1 1DY",64288015,01/04/2007,3250
"16 Borough Market, Halifax, HX1 1DY",64288016,01/04/2007,2125
"23 Borough Market, Halifax, HX1 1DY",64288023,01/04/2008,6000
"25 Borough Market, Halifax, HX1 1DY",64288025,03/08/2009,3450
"26 Borough Market, Halifax, HX1 1DY",64288026,01/04/2007,4150
"27 Borough Market, Halifax, HX1 1DY",64288027,01/04/2011,3350
"29 Borough Market, Halifax, HX1 1DY",64288029,30/05/2011,2900
"33 Borough Market, Halifax, HX1 1DY",64288033,05/12/2011,3850
"34 Borough Market, Halifax, HX1 1DY",64288034,01/04/2007,3600
"35 Borough Market, Halifax, HX1 1DY",64288035,01/04/2007,3000
"37 Borough Market, Halifax, HX1 1DY",64288037,03/04/2010,3550
"43 Borough Market, Halifax, HX1 1DY",64288043,29/09/2010,4000
"45 Borough Market, Halifax, HX1 1DY",64288045,23/07/2007,2350
"9/10 Borough Market, Halifax, HX1 1DY",64288701,02/11/2010,5500
"21/22 Borough Market, Halifax, HX1 1DY",64288704,15/03/2013,7600
"Market Stall 1-4, Market Hall, Borough Market, Halifax             HX1 1DZ",64288707,01/04/2007,4100
"Market Stall 9-12, Market Hall, Borough Market, Halifax             HX1 1DZ",64288711,01/04/2007,9000
"Market Stall 13-14, Market Hall, Borough Market, Halifax             HX1 1DZ",64288713,01/04/2007,4850
"Market Stalls 15 & 16, Market Hall, Borough Market, Halifax             HX1 1DZ",64288714,17/06/2012,4550
"Market Stalls 18/19, Market Hall, Borough Market, Halifax              HX1 1DZ",64288717,01/05/2011,4600
"Market Stall 25-26, Market Hall, Borough Market, Halifax             HX1 1DZ",64288721,01/05/2011,5000
"Market Stall 27-28, Market Hall, Borough Market, Halifax             HX1 1DZ",64288722,01/04/2007,5900
"Market Stall 29-32, Market Hall, Borough Market, Halifax             HX1 1DZ",64288723,01/04/2012,10250
"Market Stall 33-36, Market Hall, Borough Market, Halifax             HX1 1DZ",64288724,26/11/2012,4900
"Market Stall 45-46, Market Hall, Borough Market, Halifax             HX1 1DZ",64288728,01/04/2007,4750
"Market Stall 55-56, Market Hall, Borough Market, Halifax             HX1 1DZ",64288731,17/06/2012,4650
"Market Stall 57-58, Market Hall, Borough Market, Halifax             HX1 1DZ",64288732,18/04/2011,5300
"Market Stall 59-60, Market Hall, Borough Market, Halifax             HX1 1DZ",64288733,01/06/2013,4650
"Market Stall 63-64, Market Hall, Borough Market, Halifax             HX1 1DZ",64288735,30/09/2013,5800
"Market Stall 65-66, Market Hall, Borough Market, Halifax             HX1 1DZ",64288736,01/06/2013,4950
"Market Stall 68, Market Hall, Borough Market, Halifax             HX1 1DZ",64288737,01/04/2007,2800
"Market Stall 75-76, Market Hall, Borough Market, Halifax             HX1 1DZ",64288740,01/04/2007,4850
"Market Stall 80-81, Market Hall, Borough Market, Halifax             HX1 1DZ",64288742,01/07/2013,5600
"Market Stall 82-84, Market Hall, Borough Market, Halifax             HX1 1DZ",64288743,01/12/2008,7600
"Market Stall 85-86, Market Hall, Borough Market, Halifax             HX1 1DZ",64288744,02/08/2010,5500
"Market Stall 89-90, Market Hall, Borough Market, Halifax             HX1 1DZ",64288747,21/04/2010,5600
"Market Stall 104-107, Market Hall, Borough Market, Halifax             HX1 1DZ",64288748,01/04/2009,5300
"Market Stall 93, Market Hall, Borough Market, Halifax             HX1 1DZ",64288749,06/01/2011,1525
"Market Stall 94-95a, Market Hall, Borough Market, Halifax             HX1 1DZ",64288750,01/04/2009,7200
"Market Stall 91-92, Market Hall, Borough Market, Halifax             HX1 1DZ",64288751,29/10/2012,6700
"Market Stall 101-103, Market Hall, Borough Market, Halifax             HX1 1DZ",64288753,06/06/2010,3850
"Market Stall 112-113, Market Hall, Borough Market, Halifax             HX1 1DZ",64288754,01/04/2007,6600
"Market Stall 114, Market Hall, Borough Market, Halifax             HX1 1DZ",64288756,17/08/2009,4350
"Market Stall 116, Market Hall, Borough Market, Halifax             HX1 1DZ",64288758,22/07/2013,4150
"Market Stall 121, Market Hall, Borough Market, Halifax             HX1 1DZ",64288761,01/04/2007,1425
"Market Stall 123, Market Hall, Borough Market, Halifax             HX1 1DZ",64288763,01/04/2007,3200
"Market Stall 125, 125A 126A, Market Hall, Borough Market, Halifax              HX1 1DZ",64288765,01/04/2007,3950
"Market Stall 126, Market Hall, Borough Market, Halifax             HX1 1DZ",64288766,01/04/2007,2700
"Market Stall 129-130, Market Hall, Borough Market, Halifax             HX1 1DZ",64288768,06/02/2010,4700
"Market Stall 134-135, Market Hall, Borough Market, Halifax             HX1 1DZ",64288769,01/04/2007,4700
"30-31 Borough Market, Halifax, HX1 1DY",64288807,16/06/2008,5700
"Market Stalls 87/88, Market Hall, Borough Market, Halifax              HX1 1RE",64288810,02/08/2010,9000
"Market Stall 5,6-8, Borough Market, Halifax, HX1 1DZ",64288811,01/05/2013,7300
"38/39 Borough Market, Halifax, HX1 1DZ",64288812,01/04/2007,7300
"Market Stall 119, Market Hall, Borough Market, Halifax              HX1 1DZ",64288820,01/12/2012,3800
"Market Stall 117,118 &120, Market Hall, Borough Market, Halifax              HX1 1DZ",64288821,29/01/2012,6000
"Office Suite T3, Dean Clough Mills, Halifax, HX3 5AX",64296716,01/04/2010,1500
"F Mill Ground East A, Dean Clough Mills, Halifax, HX3 5AX",64296718,17/05/2012,4150
"Bowling Green Primary School, Stainland, Halifax, HX4 9HU",64300700,01/04/2007,11000
"Rose & Crown Inn, Bowling Green, Stainland, Halifax             HX4 9PF",64300702,01/04/2007,3300
"R/O 7/9 Bowling Green, Stainland, Halifax, HX4 9PF",64300703,01/04/2007,3250
"1/3 Bowman Terrace, Halifax, HX1 5PB",64304001,01/04/2007,6100
"Unit 1, The Tannery, Bradford Road, Halifax             HX3 7HR",64332703,03/11/2010,2050
"Unit 2, The Tannery, Bradford Road, Halifax             HX3 7HR",64332704,01/04/2007,780
"Unit 4, The Tannery, Bradford Road, Halifax             HX3 7HR",64332705,01/10/2013,1725
"Unit 6, The Tannery, Bradford Road, Halifax             HX3 7HR",64332706,01/11/2011,2100
"Unit 5, The Tannery, Bradford Road, Halifax             HX3 7HR",64332707,01/11/2007,6900
"Unit 3, The Tannery, Bradford Road, Halifax             HX3 7HR",64332708,01/04/2007,3250
"Golden Fleece Inn, 1 Bradshaw Lane, Bradshaw, Halifax             HX2 9UZ",64336702,28/01/2010,4100
"The Coach House, 3 Bradshaw Lane, Bradshaw, Halifax              HX2 9UZ",64336706,03/04/2007,1425
"7 Branch Road, Barkisland, Halifax, HX4 8NU",64344701,25/08/2011,5300
"Unit 10 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344703,01/06/2013,5200
"Unit 11 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344708,01/04/2009,2700
"Unit 20 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344709,01/04/2007,3050
"Unit 23 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344710,01/04/2007,2275
"Unit 30 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344711,01/04/2010,2025
"Unit 32 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344712,01/01/2010,2225
"Unit 51 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344713,01/04/2007,3650
"Unit 52 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344714,01/04/2007,4550
"Unit 21 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344716,01/04/2007,1275
"Unit 60 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344719,01/01/2013,4100
"Unit 64 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344722,01/01/2013,4950
"Unit 61 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344727,01/07/2013,8200
"Unit 57 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344730,01/04/2007,3150
"Unit 67 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344733,01/05/2013,3050
"Unit 70 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344734,01/04/2007,4950
"Unit 73 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344736,01/07/2010,4100
"Units 80/83 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344747,01/04/2007,5700
"Unit 69A Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344755,01/11/2012,4550
"Unit 72 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344757,05/04/2013,1775
"Land R/O Boys Scarr, Boy Mill Road, Luddendenfoot, Halifax              HX2 6ET",64348701,01/04/2007,1100
"Unit 2a, Brunswick Works, Brassey Street, Halifax             HX1 2EA",64352705,25/12/2013,3150
"Unit 2b, Brunswick Works, Brassey Street, Halifax             HX1 2EA",64352706,05/10/2012,3150
"Unit 5, Brunswick Works, Brassey Street, Halifax             HX1 2EA",64352710,01/04/2007,9700
"Unit 3A, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EL",64352726,01/04/2007,3150
"Unit 6, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA",64352732,14/02/2011,10500
"Unit 2 Riverside Works, Luddendenfoot, Halifax, HX2 6HU",64356702,12/09/2013,6400
"Unit 12, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356705,01/04/2011,11000
"Unit 15, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356706,01/04/2008,11250
"Unit 16, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356707,01/08/2012,7400
"Unit 3-5, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356708,01/04/2011,4600
"Unit 6, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356709,30/11/2013,9500
"Unit 2a Riverside Works, Brearley Lane, Luddendenfoot, Halifax             HX2 6HU",64356711,01/04/2010,4400
"Unit 7/8 Lower Brearley Mill, Luddendenfoot, Halifax, HX2 6HU",64356712,01/05/2008,4800
"Unit 1A, Brearley Lane Trading Estate, Brearley Lane, Luddendenfoot        HX2 6HU",64356716,01/06/2012,2300
"Brow Stone Yard, Brighouse Road, Hipperholme, Halifax             HX3 8DD",64376706,01/04/2010,4200
"Southedge Iron Works, Brighouse Road, Hipperholme, Halifax             HX3 8EG",64376711,01/04/2007,5300
"Unit 1, Brow Mills, Brighouse Road, Hipperholme          HX3 8EF",64376713,01/07/2007,4550
"Adj Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",64376726,01/04/2007,3900
"Unit 12, Brow Mills Industrial Estate, Brighouse Road, Hipperholme          HX3 8EF",64376732,01/04/2011,5600
"Unit 3 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8DD",64376735,20/10/2009,10500
"Brighouse&Denholmegate Rd, Shelf, Halifax, HX3 7TG",64380700,01/04/2007,9100
"Dundee Farm, Brighouse&Denholmegate Rd, Shelf, Halifax             HX3 7TG",64380703,01/04/2007,1600
"Laura Brennan, Equestrian Centre, Brighouse&Denholmegate Rd, Shelf                HX3 7TL",64380705,01/10/2007,3900
"Brooke House, 7 Brooke Green, Hipperholme, Halifax             HX3 8ES",64404700,01/04/2007,2250
"29 Brow Lane, Shelf, Halifax, HX3 7QJ",64428029,28/05/2009,7300
"8/10 Bull Close Lane, Halifax, HX1 2EF",64432008,01/04/2012,9100
"39 Bull Close Lane, Halifax, HX1 2EF",64432039,01/04/2007,7900
"10 Bull Green, Halifax, HX1 5AB",64436010,07/12/2013,7300
"17 Bull Green, Halifax, HX1 2RZ",64436017,01/04/2007,7000
