Year,Ward code,Borough,Ward,Candidate rank,Name/Elected,Party,Votes,Elected
2010,00AFGN,Bromley,Cray Valley West,2,"Ince, John R.",Cons,"2,596",Elected
2010,00AFGN,Bromley,Cray Valley West,3,"Stranger, Harry R.",Cons,"2,372",Elected
2010,00AFGN,Bromley,Cray Valley West,4,"Bignell, Mike",Lib Dem,"1,911",
2010,00AFGN,Bromley,Cray Valley West,5,"Jenkins, Steve",Lib Dem,"1,655",
2010,00AFGN,Bromley,Cray Valley West,6,"Webber, Sam D.",Lib Dem,"1,570",
2010,00AFGN,Bromley,Cray Valley West,7,"Davies, Paul T.",Lab,"1,239",
2010,00AFGN,Bromley,Cray Valley West,8,"Wheeler, Sharon",Lab,"1,236",
2010,00AFGN,Bromley,Cray Valley West,9,"Roberts, Karen A.",Lab,"1,194",
2010,00AFGN,Bromley,Cray Valley West,10,"Allen-Rodgers, Sheila",UKIP,796,
2010,00AFGN,Bromley,Cray Valley West,11,"Tonks, Roger W.",BNP,690,
2010,00AFGN,Bromley,Cray Valley West,12,"Gibbens, Sue",Ind,519,
2010,00AFGN,Bromley,Cray Valley West,13,"Gibbens, John W.",Ind,495,
2010,00AFGN,Bromley,Cray Valley West,14,"Senft, Andy",Ind,432,
2010,00AFGP,Bromley,Crystal Palace,1,"Canvin, John",Lib Dem,"2,167",Elected
2010,00AFGP,Bromley,Crystal Palace,2,"Papworth, Tom",Lib Dem,"1,886",Elected
2010,00AFGP,Bromley,Crystal Palace,3,"King, Joshua M.P.",Lab,"1,668",
2010,00AFGP,Bromley,Crystal Palace,4,"Roche, Allison M.",Lab,"1,425",
2010,00AFGP,Bromley,Crystal Palace,5,"Durling, Paul A.",Cons,899,
2010,00AFGP,Bromley,Crystal Palace,6,"Moran, Karen A.",Cons,822,
2010,00AFGP,Bromley,Crystal Palace,7,"Leary, Maureen",Green,377,
2010,00AFGP,Bromley,Crystal Palace,8,"Mutti, Lisa",Green,283,
2010,00AFGQ,Bromley,Darwin,1,"Scoates, Richard W.",Cons,"1,362",Elected
2010,00AFGQ,Bromley,Darwin,2,"Bloomfield, Peter J.",Ind,"1,295",
2010,00AFGQ,Bromley,Darwin,3,"Greenhough, Mick",UKIP,299,
2010,00AFGR,Bromley,Farnborough & Crofton,1,"Joel, Charles",Cons,"5,067",Elected
2010,00AFGR,Bromley,Farnborough & Crofton,2,"Evans, Robert J.",Cons,"5,000",Elected
2010,00AFGR,Bromley,Farnborough & Crofton,3,"Stevens, Tim",Cons,"4,791",Elected
2010,00AFGR,Bromley,Farnborough & Crofton,4,"Rabbatts, Helen C.",Lib Dem,"2,139",
2010,00AFGR,Bromley,Farnborough & Crofton,5,"Powell, Charles",Lib Dem,"2,134",
2010,00AFGR,Bromley,Farnborough & Crofton,6,"Silvester, Harry A.",Lib Dem,"1,944",
2010,00AFGR,Bromley,Farnborough & Crofton,7,"Diamond, Christine A.F.",UKIP,726,
2010,00AFGR,Bromley,Farnborough & Crofton,8,"Gay, Bryan P.",Lab,656,
2010,00AFGR,Bromley,Farnborough & Crofton,9,"Amos, Andrew R.",Lab,629,
2010,00AFGR,Bromley,Farnborough & Crofton,10,"Taylor, Christopher W.",Lab,627,
2010,00AFGS,Bromley,Hayes & Coney Hall,1,"Manning, Thelma A.",Cons,"5,549",Elected
2010,00AFGS,Bromley,Hayes & Coney Hall,2,"Arthur, Graham L.",Cons,"5,250",Elected
2010,00AFGS,Bromley,Hayes & Coney Hall,3,"Reddin, Neil R.",Cons,"4,893",Elected
2010,00AFGS,Bromley,Hayes & Coney Hall,4,"Griffiths, Tudor",Lib Dem,"1,990",
2010,00AFGS,Bromley,Hayes & Coney Hall,5,"Daniell, Steven",Lib Dem,"1,648",
2010,00AFGS,Bromley,Hayes & Coney Hall,6,"Whitaker, Sonia M.",Lib Dem,"1,428",
2010,00AFGS,Bromley,Hayes & Coney Hall,7,"Head, Katharine M.",Lab,"1,182",
2010,00AFGS,Bromley,Hayes & Coney Hall,8,"Parke, John A.C.",Lab,"1,005",
2010,00AFGS,Bromley,Hayes & Coney Hall,9,"Watts, Richard F.",Lab,812,
2010,00AFGS,Bromley,Hayes & Coney Hall,10,"Reber, John D.",Green,769,
2010,00AFGT,Bromley,Kelsey And Eden Park,1,"Lynch, Paul M.",Cons,"4,827",Elected
2010,00AFGT,Bromley,Kelsey And Eden Park,2,"Dean, Peter L.",Cons,"4,658",Elected
2010,00AFGT,Bromley,Kelsey And Eden Park,3,"Smith, Diane H.",Cons,"4,586",Elected
2010,00AFGT,Bromley,Kelsey And Eden Park,4,"Tuhey, Oliver T.M.",Lib Dem,"2,067",
2010,00AFGT,Bromley,Kelsey And Eden Park,5,"Carter, Alan",Lib Dem,"2,020",
2010,00AFGT,Bromley,Kelsey And Eden Park,6,"Caine, Michael A.",Lib Dem,"1,869",
2010,00AFGT,Bromley,Kelsey And Eden Park,7,"Burn, Alan J.",Lab,"1,396",
2010,00AFGT,Bromley,Kelsey And Eden Park,8,"Dempster, John A.",Lab,"1,352",
2010,00AFGT,Bromley,Kelsey And Eden Park,9,"Albery, Sandie G.",Lab,"1,253",
2010,00AFGU,Bromley,Mottingham & Chislehurst North,1,"Charsley, Roger D.",Cons,"2,229",Elected
2010,00AFGU,Bromley,Mottingham & Chislehurst North,2,"Rideout, Charles J.",Cons,"1,914",Elected
2010,00AFGU,Bromley,Mottingham & Chislehurst North,3,"Armstrong, Judith E.",Lab,"1,061",
2010,00AFGU,Bromley,Mottingham & Chislehurst North,4,"Horrigan, Ian",Lab,969,
2010,00AFGU,Bromley,Mottingham & Chislehurst North,5,"Houghton, John P.",Lib Dem,836,
2010,00AFGU,Bromley,Mottingham & Chislehurst North,6,"Coyte, Jane",Lib Dem,812,
2010,00AFGU,Bromley,Mottingham & Chislehurst North,7,"Mercer, Zoe N.",Green,320,
2010,00AFGW,Bromley,Orpington,1,"Huntington-Thresher, William K.E.",Cons,"4,055",Elected
2010,00AFGW,Bromley,Orpington,2,"Tunnicliffe, Pauline A.",Cons,"3,990",Elected
2010,00AFGW,Bromley,Orpington,3,"Buttinger, Lydia H.",Cons,"3,954",Elected
2010,00AFGW,Bromley,Orpington,4,"Hall, Michael J.",Lib Dem,"2,802",
2010,00AFGW,Bromley,Orpington,5,"Taylor, Nigel W.",Lib Dem,"2,460",
2010,00AFGW,Bromley,Orpington,6,"Loosemore-Reppen, Gerda",Lib Dem,"2,408",
2010,00AFGW,Bromley,Orpington,7,"Price, Christopher",Lab,818,
2010,00AFGW,Bromley,Orpington,8,"Collins, Patrick H.",Lab,781,
2010,00AFGW,Bromley,Orpington,9,"Bhuiyan, Golam",Lab,664,
2010,00AFGW,Bromley,Orpington,10,"Galloway, Tamara E.",Green,495,
2010,00AFGX,Bromley,Penge And Cator,1,"Getgood, John M.",Lab,"3,300",Elected
2010,00AFGX,Bromley,Penge And Cator,2,"Bance, Katherine M.",Lab,"3,272",Elected
2010,00AFGX,Bromley,Penge And Cator,3,"Fookes, Peter T.",Lab,"3,229",Elected
2010,00AFGX,Bromley,Penge And Cator,4,"Phillips, Chris",Cons,"2,484",
2010,00AFGX,Bromley,Penge And Cator,5,"Papworth, Vicki",Lib Dem,"2,453",
2010,00AFGX,Bromley,Penge And Cator,6,"Rathbone, Douglas",Lib Dem,"2,183",
2010,00AFGX,Bromley,Penge And Cator,7,"Van Der Meer, Jo",Lib Dem,"2,088",
2010,00AFGX,Bromley,Penge And Cator,8,"Ike, Akudo",Cons,"1,580",
2010,00AFGX,Bromley,Penge And Cator,9,"Slawinski, Mark J.",Cons,"1,466",
2010,00AFGY,Bromley,Petts Wood & Knoll,1,"Auld, Douglas M.",Cons,"5,197",Elected
2010,00AFGY,Bromley,Petts Wood & Knoll,2,"Owen, Tony",Cons,"5,112",Elected
2010,00AFGY,Bromley,Petts Wood & Knoll,3,"Fawthrop, Simon H.",Cons,"4,667",Elected
2010,00AFGY,Bromley,Petts Wood & Knoll,4,"Anthony, Robert T.",Lib Dem,"1,904",
2010,00AFGY,Bromley,Petts Wood & Knoll,5,"Goodlad, Grace",Lib Dem,"1,903",
2010,00AFGY,Bromley,Petts Wood & Knoll,6,"Thompson, James G.",Lib Dem,"1,687",
2010,00AFGY,Bromley,Petts Wood & Knoll,7,"Evans, Frank J.",Lab,679,
2010,00AFGY,Bromley,Petts Wood & Knoll,8,"Barker, Malcolm",Lab,641,
2010,00AFGY,Bromley,Petts Wood & Knoll,9,"Spurrell, James R.",UKIP,635,
2010,00AFGY,Bromley,Petts Wood & Knoll,10,"Childs, Martin J.",Green,632,
2010,00AFGY,Bromley,Petts Wood & Knoll,11,"Tozer, Peter J.",Lab,522,
2010,00AFGZ,Bromley,Plaistow & Sundridge,1,"Harmer, Ellie",Cons,"3,562",Elected
2010,00AFGZ,Bromley,Plaistow & Sundridge,2,"Morgan, Peter L.W.",Cons,"3,538",Elected
2010,00AFGZ,Bromley,Plaistow & Sundridge,3,"Turner, Michael",Cons,"3,381",Elected
2010,00AFGZ,Bromley,Plaistow & Sundridge,4,"Comrie, Nicholas J.",Lib Dem,"1,952",
2010,00AFGZ,Bromley,Plaistow & Sundridge,5,"Furniss, Peter R.",Lib Dem,"1,932",
2010,00AFGZ,Bromley,Plaistow & Sundridge,6,"Pike, David C.",Lib Dem,"1,716",
2010,00AFGZ,Bromley,Plaistow & Sundridge,7,"Johnstone, Elizabeth R.",Lab,"1,455",
2010,00AFGZ,Bromley,Plaistow & Sundridge,8,"Richards, Julian G.",Lab,"1,330",
2010,00AFGZ,Bromley,Plaistow & Sundridge,9,"Johnstone, George F.",Lab,"1,257",
2010,00AFGZ,Bromley,Plaistow & Sundridge,10,"Clayton, Richard",UKIP,721,
2010,00AFGZ,Bromley,Plaistow & Sundridge,11,"Street, John R.",Green,696,
2010,00AFHA,Bromley,Shortlands,1,"Noad, Ernest G.",Cons,"3,629",Elected
2010,00AFHA,Bromley,Shortlands,2,"Taylor, George R.",Cons,"2,986",Elected
2010,00AFHA,Bromley,Shortlands,3,"James, Anna L.",Green,910,
2010,00AFHA,Bromley,Shortlands,4,"Abbit, Gareth W.",Lab,892,
2010,00AFHA,Bromley,Shortlands,5,"Connor, Jane E.",Lib Dem,835,
2010,00AFHA,Bromley,Shortlands,6,"Ayres, Peter J.",Lib Dem,767,
2010,00AFHA,Bromley,Shortlands,7,"Leslie, Isabel",Lab,428,
2010,00AFHB,Bromley,West Wickham,1,"Beckley, Jane E.",Cons,"5,487",Elected
2010,00AFHB,Bromley,West Wickham,2,"Humphrys, Brian C.",Cons,"5,364",Elected
2010,00AFHB,Bromley,West Wickham,3,"Bennett, Nicholas J.",Cons,"5,045",Elected
2010,00AFHB,Bromley,West Wickham,4,"Lane, Chantal E.",Lib Dem,"1,675",
2010,00AFHB,Bromley,West Wickham,5,"Radford, Graham F.K.",Lib Dem,"1,518",
2010,00AFHB,Bromley,West Wickham,6,"Crowe, Helen M.",Lib Dem,"1,504",
2010,00AFHB,Bromley,West Wickham,7,"Kent, Gary N.",Lab,"1,183",
2010,00AFHB,Bromley,West Wickham,8,"Dunford, Hazel",Lab,"1,165",
2010,00AFHB,Bromley,West Wickham,9,"Williams, Richard W.",Lab,818,
2010,00AGGD,Camden,Belsize,1,"Bucknell, Jonny",Cons,"1,969",Elected
2010,00AGGD,Camden,Belsize,2,"Leyland, Claire-Louise",Cons,"1,969",Elected
2010,00AGGD,Camden,Belsize,3,"Simon, Tom",Lib Dem,"1,949",Elected
2010,00AGGD,Camden,Belsize,4,"Rumble, Nigel",Cons,"1,897",
2010,00AGGD,Camden,Belsize,5,"Ward, Anne",Lib Dem,"1,746",
2010,00AGGD,Camden,Belsize,6,"Perkins, Paul",Lib Dem,"1,727",
2010,00AGGD,Camden,Belsize,7,"Gunasekera, Samantha",Lab,"1,094",
2010,00AGGD,Camden,Belsize,8,"Deshmukh, Sada",Lab,"1,051",
2010,00AGGD,Camden,Belsize,9,"Salice, Luca",Lab,"1,027",
2010,00AGGD,Camden,Belsize,10,"Courts, Anya",Green,410,
2010,00AGGD,Camden,Belsize,11,"North, Sophie A.",Green,372,
2010,00AGGD,Camden,Belsize,12,"Richards-Spiller, Francesca",Green,325,
2010,00AGGD,Camden,Belsize,13,"Collins, Derek",BNP,90,
2010,00AGGE,Camden,Bloomsbury,1,"Harrison, Adam",Lab,"1,670",Elected
2010,00AGGE,Camden,Bloomsbury,2,"Nuti, Milena",Lab,"1,554",Elected
2010,00AGGE,Camden,Bloomsbury,3,"Quadir, Abdul",Lab,"1,315",Elected
2010,00AGGE,Camden,Bloomsbury,4,"Hossack, Rebecca",Cons,"1,221",
2010,00AGGE,Camden,Bloomsbury,5,"Barnes, Timothy",Cons,"1,142",
2010,00AGGE,Camden,Bloomsbury,6,"Jones, Elizabeth S.",Lib Dem,"1,061",
2010,00AGGE,Camden,Bloomsbury,7,"De Malet, Aimery",Lib Dem,954,
2010,00AGGE,Camden,Bloomsbury,8,"Mohindra, Gotz",Cons,923,
2010,00AGGE,Camden,Bloomsbury,9,"Tarofdar, Abdul",Lib Dem,645,
2010,00AGGE,Camden,Bloomsbury,10,"Campbell, Beatrix",Green,602,
2010,00AGGE,Camden,Bloomsbury,11,"Hoffmann, Justin R.",Green,414,
2010,00AGGE,Camden,Bloomsbury,12,"Bueno De Mesquita, Samuel",Green,413,
2010,00AGGF,Camden,Camden Town With Primrose Hill,1,"Callaghan, Patricia A.",Lab,"2,482",Elected
2010,00AGGF,Camden,Camden Town With Primrose Hill,2,"Naylor, Christopher J.",Lib Dem,"1,835",Elected
2010,00AGGF,Camden,Camden Town With Primrose Hill,3,"Neumark, Thomas",Lab,"1,753",Elected
2010,00AGGF,Camden,Camden Town With Primrose Hill,4,"Higson, Rob",Lab,"1,742",
2010,00AGGF,Camden,Camden Town With Primrose Hill,5,"Gofur, Nazia",Lib Dem,"1,702",
2010,00AGGF,Camden,Camden Town With Primrose Hill,6,"Richards, Chris",Lib Dem,"1,511",
2010,00AGGF,Camden,Camden Town With Primrose Hill,7,"Corby, Michael",Cons,"1,290",
2010,00AGGF,Camden,Camden Town With Primrose Hill,8,"Horne, Peter",Cons,"1,170",
2010,00AGGF,Camden,Camden Town With Primrose Hill,9,"Kassapis, Christos",Cons,"1,059",
2010,00AGGF,Camden,Camden Town With Primrose Hill,10,"Oppenheimer, Russell J.",Green,595,
2010,00AGGF,Camden,Camden Town With Primrose Hill,11,"Walker, Pamela V.",Green,583,
2010,00AGGF,Camden,Camden Town With Primrose Hill,12,"Thurgood, Vincent",Green,569,
2010,00AGGF,Camden,Camden Town With Primrose Hill,13,"Grosvenor, Paul",Ind,140,
2010,00AGGG,Camden,Cantelowes,1,"Mason, Angela",Lab,"2,109",Elected
2010,00AGGG,Camden,Cantelowes,2,"Jones, Phil",Lab,"2,049",Elected
2010,00AGGG,Camden,Cantelowes,3,"Braithwaite, Paul N.",Lib Dem,"1,972",Elected
2010,00AGGG,Camden,Cantelowes,4,"Sharp, Warwick",Lab,"1,734",
2010,00AGGG,Camden,Cantelowes,5,"Hoyle, Sarah",Lib Dem,"1,681",
2010,00AGGG,Camden,Cantelowes,6,"Lorusso, Rocky",Lib Dem,"1,507",
2010,00AGGG,Camden,Cantelowes,7,"Hayman, Sheila",Green,752,
2010,00AGGG,Camden,Cantelowes,8,"Grover, Rohit",Cons,712,
2010,00AGGG,Camden,Cantelowes,9,"Martin, Iain",Cons,699,
2010,00AGGG,Camden,Cantelowes,10,"Ricketts, Carole",Cons,631,
2010,00AGGG,Camden,Cantelowes,11,"Houston, Colin B.",Green,469,
2010,00AGGG,Camden,Cantelowes,12,"Zatz, Rachel S.",Green,326,
2010,00AGGG,Camden,Cantelowes,13,"Spencer, Max",UKIP,147,
2010,00AGGH,Camden,Fortune Green,1,"Rea, Felicity M.P.",Lib Dem,"2,123",Elected
2010,00AGGH,Camden,Fortune Green,2,"Eagling, Russell",Lib Dem,"1,898",Elected
2010,00AGGH,Camden,Fortune Green,3,"Jirira, Nancy",Lib Dem,"1,788",Elected
2010,00AGGH,Camden,Fortune Green,4,"Hughes, Havard",Cons,"1,342",
2010,00AGGH,Camden,Fortune Green,5,"Spinella, Gio",Cons,"1,335",
2010,00AGGH,Camden,Fortune Green,6,"Woodward, Phil",Cons,"1,326",
2010,00AGGH,Camden,Fortune Green,7,"Turner, Phil",Lab,"1,207",
2010,00AGGH,Camden,Fortune Green,8,"Norman, Enyd",Lab,"1,190",
2010,00AGGH,Camden,Fortune Green,9,"Hedges, Charlie",Lab,"1,177",
2010,00AGGH,Camden,Fortune Green,10,"Greenhalgh, Paul A.",Green,595,
2010,00AGGH,Camden,Fortune Green,11,"Ennis, Jane S.",Green,536,
2010,00AGGH,Camden,Fortune Green,12,"Plowden, Hugo",Green,287,
2010,00AGGJ,Camden,Frognal And Fitzjohns,1,"Davies, Martin J.",Cons,"2,624",Elected
2010,00AGGJ,Camden,Frognal And Fitzjohns,2,"Trott, Laura",Cons,"2,490",Elected
2010,00AGGJ,Camden,Frognal And Fitzjohns,3,"Mennear, Andrew",Cons,"2,382",Elected
2010,00AGGJ,Camden,Frognal And Fitzjohns,4,"Fine, Jeffrey",Lib Dem,"1,151",
2010,00AGGJ,Camden,Frognal And Fitzjohns,5,"Bauer, Richard",Lib Dem,"1,046",
2010,00AGGJ,Camden,Frognal And Fitzjohns,6,"Hingley, Phil",Lab,910,
2010,00AGGJ,Camden,Frognal And Fitzjohns,7,"Blanchard, Paul",Lab,870,
2010,00AGGJ,Camden,Frognal And Fitzjohns,8,"Haslam-Jones, Andrew",Lib Dem,864,
2010,00AGGJ,Camden,Frognal And Fitzjohns,9,"Ahmed, Shahnewaz",Lab,724,
2010,00AGGJ,Camden,Frognal And Fitzjohns,10,"Harris, Charles",Green,359,
2010,00AGGJ,Camden,Frognal And Fitzjohns,11,"Taylor, Alice",Green,346,
2010,00AGGJ,Camden,Frognal And Fitzjohns,12,"Ross, Edward",Green,342,
2010,00AGGK,Camden,Gospel Oak,1,"Birch, Sean",Lab,"2,015",Elected
2010,00AGGK,Camden,Gospel Oak,2,"Blackwell, Theo",Lab,"1,965",Elected
2010,00AGGK,Camden,Gospel Oak,3,"Revah, Larraine",Lab,"1,825",Elected
2010,00AGGK,Camden,Gospel Oak,4,"Mitchell, Lulu",Cons,"1,421",
2010,00AGGK,Camden,Gospel Oak,5,"Sedgwick, Keith",Cons,"1,344",
2010,00AGGK,Camden,Gospel Oak,6,"Adams, Steven",Cons,"1,305",
2010,00AGGK,Camden,Gospel Oak,7,"Jackson-Roberts, Margaret",Lib Dem,"1,107",
2010,00AGGK,Camden,Gospel Oak,8,"Noel, Laura",Lib Dem,"1,006",
2010,00AGGK,Camden,Gospel Oak,9,"Horvat-Marcovic, Simon",Lib Dem,860,
2010,00AGGK,Camden,Gospel Oak,10,"Smith, Robin N.",Green,602,
2010,00AGGK,Camden,Gospel Oak,11,"Walby, Jane K.",Green,595,
2010,00AGGK,Camden,Gospel Oak,12,"Buhayer, Constantin T.",Green,548,
2010,00AGGL,Camden,Hampstead Town,1,"Knight, Christopher W.",Cons,"2,261",Elected
2010,00AGGL,Camden,Hampstead Town,2,"Chung, Linda",Lib Dem,"2,198",Elected
2010,00AGGL,Camden,Hampstead Town,3,"Roberts, Kirsty",Cons,"2,159",Elected
2010,00AGGL,Camden,Hampstead Town,4,"Stark, Stephen",Cons,"2,006",
2010,00AGGL,Camden,Hampstead Town,5,"Bouchier, David",Lib Dem,"1,775",
2010,00AGGL,Camden,Hampstead Town,6,"Harrison, Ian",Lib Dem,"1,681",
2010,00AGGL,Camden,Hampstead Town,7,"Guthrie, Janet",Lab,"1,113",
2010,00AGGL,Camden,Hampstead Town,8,"Tabori, Tom",Lab,757,
2010,00AGGL,Camden,Hampstead Town,9,"Islam, Suhel",Lab,728,
2010,00AGGL,Camden,Hampstead Town,10,"Houghton, Stuart",Green,528,
2010,00AGGL,Camden,Hampstead Town,11,"Patton, Iain F.",Green,349,
2010,00AGGL,Camden,Hampstead Town,12,"Vaze, Prashant",Green,303,
2010,00AGGM,Camden,Haverstock,1,"Fraser, Jill E.",Lib Dem,"1,462",Elected
2010,00AGGM,Camden,Haverstock,2,"Sanders, Matt",Lib Dem,"1,326",Elected
2010,00AGGM,Camden,Haverstock,3,"Bokth, Rahel",Lib Dem,"1,291",Elected
2010,00AGGM,Camden,Haverstock,4,"Francis, Sabrina",Lab,"1,257",
2010,00AGGM,Camden,Haverstock,5,"Copley, Tom",Lab,"1,202",
2010,00AGGM,Camden,Haverstock,6,"Uddin, Joynal",Lab,"1,114",
2010,00AGGM,Camden,Haverstock,7,"Stally, Joan",Cons,259,
2010,00AGGM,Camden,Haverstock,8,"Frost, Tim",Cons,250,
2010,00AGGM,Camden,Haverstock,9,"Lawrie, Jane A.",Green,246,
2010,00AGGM,Camden,Haverstock,10,"Grader, Paul",Green,240,
2010,00AGGM,Camden,Haverstock,11,"Ricketts, Robert",Cons,236,
2010,00AGGM,Camden,Haverstock,12,"Thompson, Sean",Green,181,
2010,00AGGN,Camden,Highgate,1,"De Souza, Maya H.",Green,"1,889",Elected
2010,00AGGN,Camden,Highgate,2,"Leach, Valerie",Lab,"1,800",Elected
2010,00AGGN,Camden,Highgate,3,"Nicolaides, Michael",Lab,"1,661",Elected
2010,00AGGN,Camden,Highgate,4,"Way, Michael",Lab,"1,625",
2010,00AGGN,Camden,Highgate,5,"Aptowitzer, Naomi",Green,"1,467",
2010,00AGGN,Camden,Highgate,6,"Smith, Tristan J.L.",Green,"1,307",
2010,00AGGN,Camden,Highgate,7,"Clayton, Ed",Lib Dem,"1,255",
2010,00AGGN,Camden,Highgate,8,"Denyer, Anthony",Cons,"1,254",
2010,00AGGN,Camden,Highgate,9,"Charlesworth, Beth",Cons,"1,239",
2010,00AGGN,Camden,Highgate,10,"Daughton, Stephen",Cons,"1,223",
2010,00AGGN,Camden,Highgate,11,"De Keyser, Kirsten",Lib Dem,"1,047",
2010,00AGGN,Camden,Highgate,12,"Simmons, David",Lib Dem,947,
2010,00AGGP,Camden,Holborn And Covent Garden,1,"Fulbrook, Julian G.H.",Lab,"2,279",Elected
2010,00AGGP,Camden,Holborn And Covent Garden,2,"Vincent, Susan   ",Lab,"1,947",Elected
2010,00AGGP,Camden,Holborn And Covent Garden,3,"Olad, Awale",Lab,"1,784",Elected
2010,00AGGP,Camden,Holborn And Covent Garden,4,"Frost, Alison",Cons,"1,277",
2010,00AGGP,Camden,Holborn And Covent Garden,5,"Hopkin, Richard",Cons,"1,168",
2010,00AGGP,Camden,Holborn And Covent Garden,6,"Samad, Abdus",Cons,"1,147",
2010,00AGGP,Camden,Holborn And Covent Garden,7,"Joy, Patrick",Lib Dem,"1,057",
2010,00AGGP,Camden,Holborn And Covent Garden,8,"Waiting, Christopher",Lib Dem,809,
2010,00AGGP,Camden,Holborn And Covent Garden,9,"Wainewright, Phil",Lib Dem,799,
2010,00AGGP,Camden,Holborn And Covent Garden,10,"Hartley, Suzanne",Green,617,
2010,00AGGP,Camden,Holborn And Covent Garden,11,"Mccracken, Robert H.J.",Green,472,
2010,00AGGP,Camden,Holborn And Covent Garden,12,"Protheroe, Benedict J.",Green,399,
2010,00AGGP,Camden,Holborn And Covent Garden,13,"Carlyle, Robert",BNP,180,
2010,00AGGQ,Camden,Kentish Town,1,"Gould, Georgia",Lab,"2,382",Elected
2010,00AGGQ,Camden,Kentish Town,2,"Horan, Dave",Lab,"2,273",Elected
2010,00AGGQ,Camden,Kentish Town,3,"Apak, Meric",Lab,"2,153",Elected
2010,00AGGQ,Camden,Kentish Town,4,"Scott, Ralph",Lib Dem,"2,052",
2010,00AGGQ,Camden,Kentish Town,5,"Russell, Nick",Lib Dem,"1,957",
2010,00AGGQ,Camden,Kentish Town,6,"Mohamud, Abdiwali",Lib Dem,"1,755",
2010,00AGGQ,Camden,Kentish Town,7,"Green, Victoria",Green,"1,198",
2010,00AGGQ,Camden,Kentish Town,8,"Bird, John C.",Green,939,
2010,00AGGQ,Camden,Kentish Town,9,"Bartlett, Doreen",Cons,812,
2010,00AGGQ,Camden,Kentish Town,10,"Barton, Paul",Cons,750,
2010,00AGGQ,Camden,Kentish Town,11,"Davies, Darryl",Cons,749,
2010,00AGGQ,Camden,Kentish Town,12,"Owaineh, Alaa",Green,690,
2010,00AGGQ,Camden,Kentish Town,13,"Dorman, Stephen",BNP,180,
2010,00AGGQ,Camden,Kentish Town,14,"Martin, Bill",SP,113,
2010,00AGGR,Camden,Kilburn,1,"Gardiner, Thomas",Lab,"2,047",Elected
2010,00AGGR,Camden,Kilburn,2,"Katz, Mike",Lab,"1,819",Elected
2010,00AGGR,Camden,Kilburn,3,"Eslamdoust, Maryam",Lab,"1,788",Elected
2010,00AGGR,Camden,Kilburn,4,"Grauberg, Janet",Lib Dem,"1,647",
2010,00AGGR,Camden,Kilburn,5,"King, James",Lib Dem,"1,497",
2010,00AGGR,Camden,Kilburn,6,"Hira, Mukul",Lib Dem,"1,431",
2010,00AGGR,Camden,Kilburn,7,"Davis, Will",Cons,"1,059",
2010,00AGGR,Camden,Kilburn,8,"Cook, Patricia",Cons,"1,011",
2010,00AGGR,Camden,Kilburn,9,"Hussain, Sabah",Cons,808,
2010,00AGGR,Camden,Kilburn,10,"Mayer, Helen",Green,391,
2010,00AGGR,Camden,Kilburn,11,"Whelan, Charlotte",Green,364,
2010,00AGGR,Camden,Kilburn,12,"Paris, Lauren",Green,327,
2010,00AGGR,Camden,Kilburn,13,"Bacon, Francis",Ind,90,
2010,00AGGS,Camden,Kings Cross,1,"Hayward, Sarah",Lab,"1,844",Elected
2010,00AGGS,Camden,Kings Cross,2,"Hai, Abdul",Lab,"1,706",Elected
2010,00AGGS,Camden,Kings Cross,3,"Simpson, Jonathan",Lab,"1,681",Elected
2010,00AGGS,Camden,Kings Cross,4,"Baker, Lee",Lib Dem,"1,546",
2010,00AGGS,Camden,Kings Cross,5,"Potts, Yuan",Lib Dem,"1,386",
2010,00AGGS,Camden,Kings Cross,6,"Prior, Huw",Lib Dem,"1,283",
2010,00AGGS,Camden,Kings Cross,7,"Abdul, Kashem",Cons,771,
2010,00AGGS,Camden,Kings Cross,8,"Lindsay-Fynn, Piers",Cons,742,
2010,00AGGS,Camden,Kings Cross,9,"Parkinson, Andrew",Cons,703,
2010,00AGGS,Camden,Kings Cross,10,"Milford, Edward M.",Green,454,
2010,00AGGS,Camden,Kings Cross,11,"Sapietis, Una",Green,427,
2010,00AGGS,Camden,Kings Cross,12,"Trento, Rienzi N.E.",Green,337,
2010,00AGGT,Camden,Regents Park,1,"Ali, Nasim   ",Lab,"2,304",Elected
2010,00AGGT,Camden,Regents Park,2,"Johnson, Heather M.",Lab,"2,171",Elected
2010,00AGGT,Camden,Regents Park,3,"Siddiq, Tulip",Lab,"1,984",Elected
2010,00AGGT,Camden,Regents Park,4,"Ahmed, Jubel",Lib Dem,"1,439",
2010,00AGGT,Camden,Regents Park,5,"Blair, Will",Cons,"1,173",
2010,00AGGT,Camden,Regents Park,6,"Austin, Bob",Lib Dem,"1,121",
2010,00AGGT,Camden,Regents Park,7,"Coleman-Harvey, Alan",Cons,"1,117",
2010,00AGGT,Camden,Regents Park,8,"Khanom, Nessa",Cons,"1,101",
2010,00AGGT,Camden,Regents Park,9,"Harris, Trevor P.",Lib Dem,"1,061",
2010,00AGGT,Camden,Regents Park,10,"Jackman, Myles",Green,529,
2010,00AGGT,Camden,Regents Park,11,"Plowden, Stephen P.",Green,471,
2010,00AGGT,Camden,Regents Park,12,"Yapp, Rowan",Green,367,
2010,00AGGU,Camden,St. Pancras And Somers Town,1,"Robinson, Roger",Lab,"2,744",Elected
2010,00AGGU,Camden,St. Pancras And Somers Town,2,"Brayshaw, Peter",Lab,"2,650",Elected
