Organisation Name (A),Department (B),Service Cat Label ©,Purpose of Spend (D),Expenditure CIPFA Sub Group €,Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,OPTION HYGIENE LIMITED,A0002063, 01/12/2016,OPS0275866,27.96,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,OPTION HYGIENE LIMITED,A0002063, 01/12/2016,OPS0275841,1969.80,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,POWER PIPES (PENDLE) LIMITED,A0002089, 08/12/2016,PCO0276037,8.46,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,POWER PIPES (PENDLE) LIMITED,A0002089, 21/12/2016,OPS0276398,65.20,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,POWER PIPES (PENDLE) LIMITED,A0002089, 08/12/2016,PCO0276038,24.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,POWER PIPES (PENDLE) LIMITED,A0002089, 08/12/2016,PCO0276038,102.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,POWER PIPES (PENDLE) LIMITED,A0002089, 08/12/2016,PCO0276038,107.88,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,POWER PIPES (PENDLE) LIMITED,A0002089, 21/12/2016,PCO0276401,16.34,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,4301,PRINTOFF GRAPHIC ARTS LTD,A0002115, 08/12/2016,DAL0276091,80.00,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,4705,PRINTOFF GRAPHIC ARTS LTD,A0002115, 08/12/2016,REG0276028,84.00,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Robes & Regalia,4203,PRECIOUS METALS,A0002148, 08/12/2016,DAL0276076,1148.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD,A0002198, 01/12/2016,OPS0275803,179.09,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD,A0002198, 21/12/2016,OPS0276384,70.07,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD,A0002198, 01/12/2016,OPS0275875,370.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD,A0002198, 15/12/2016,OPS0276174,370.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD,A0002198, 21/12/2016,OPS0276378,370.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD,A0002198, 01/12/2016,OPS0275803,186.97,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD,A0002198, 08/12/2016,OPS0275942,233.78,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD,A0002198, 15/12/2016,OPS0276180,298.15,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD,A0002198, 21/12/2016,OPS0276384,304.05,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,1020,PENDLE PERSONNEL LTD,A0002198, 21/12/2016,PCO0276422,453.47,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,1020,PENDLE PERSONNEL LTD,A0002198, 21/12/2016,PCO0276420,494.70,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,1020,PENDLE PERSONNEL LTD,A0002198, 21/12/2016,PCO0276254,555.32,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275919,-118.50,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,3.40,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,15.49,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,374.14,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275919,383.69,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,722.58,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,10.57,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,54.75,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275919,375.30,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,18.24,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,30.58,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,16.95,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,1.04,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,4.48,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,43.87,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,81.27,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,2.74,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,182.18,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,305.47,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,17.08,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,22.84,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,17.20,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,18.98,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,3.64,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,12.08,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,OPS0276234,41.42,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,438.90,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,738.88,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,12.87,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 15/12/2016,HED0276198,-1.89,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,1.37,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,2.74,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,12.04,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 15/12/2016,HED0276198,18.24,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 01/12/2016,DAL0275917,29.75,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,32.10,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276446,299.92,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,ROYAL MAIL GROUP LIMITED,A0002281, 21/12/2016,DAL0276445,8.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,RIBBLE VALLEY BOROUGH COUNCIL,A0002290, 01/12/2016,AAS0275901,2000.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 08/12/2016,OPS0276056,2100.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 21/12/2016,OPS0276399,2200.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 01/12/2016,OPS0275871,60.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 08/12/2016,OPS0276046,60.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 01/12/2016,OPS0275871,60.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 08/12/2016,OPS0276046,60.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Veterinary Fees,4405,STANLEY HOUSE VETERINARY GROUP,A0002423, 15/12/2016,OPS0276178,12.50,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,SOCITM LIMITED,A0002452, 01/12/2016,DAL0275921,925.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,SPALDINGS (UK) LTD,A0002537, 01/12/2016,PCO0275857,15.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,SPALDINGS (UK) LTD,A0002537, 21/12/2016,PCO0276405,30.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,SPALDINGS (UK) LTD,A0002537, 01/12/2016,PCO0275861,280.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ROBERTSON MEMORIALS,A0002590, 08/12/2016,PCO0276105,221.00,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,Bank Charges,7201,G4S CASH SOLUTIONS (UK) LIMITED,A0002616, 15/12/2016,AAS0276224,204.52,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,T & F STEEL DESIGNS LTD,A0002627, 15/12/2016,EST0276275,20.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,T & F STEEL DESIGNS LTD,A0002627, 15/12/2016,EST0276275,200.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,T & F STEEL DESIGNS LTD,A0002627, 15/12/2016,EST0276272,120.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,T & F STEEL DESIGNS LTD,A0002627, 15/12/2016,EST0276272,340.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,T & F STEEL DESIGNS LTD,A0002627, 15/12/2016,HED0276265,56.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,T & F STEEL DESIGNS LTD,A0002627, 15/12/2016,HED0276265,230.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,THE HELPING HAND CO LTD,A0002655, 15/12/2016,OPS0276169,5.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,THE HELPING HAND CO LTD,A0002655, 21/12/2016,OPS0276400,5.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,THE HELPING HAND CO LTD,A0002655, 21/12/2016,OPS0276400,80.20,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,THE HELPING HAND CO LTD,A0002655, 15/12/2016,OPS0276168,86.60,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,THE HELPING HAND CO LTD,A0002655, 15/12/2016,OPS0276169,96.24,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,4705,JOHNSONS TEXICARE LTD,A0002665, 08/12/2016,ENV0276079,98.50,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,4003,THE UNIVERSITY OF SALFORD,A0002696, 15/12/2016,ENV0276194,449.00,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,EFM : Office and computer equipment,4002,THE OLD BATHS TRADING CO,A0002697, 01/12/2016,COR0275819,200.00,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,THE OLD BATHS TRADING CO,A0002697, 08/12/2016,COR0275983,615.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,TRAVIS PERKINS TRADING CO LTD,A0002709, 01/12/2016,PCO0275860,16.83,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,TRAVIS PERKINS TRADING CO LTD,A0002709, 21/12/2016,PCO0276412,42.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,TRAVIS PERKINS TRADING CO LTD,A0002709, 21/12/2016,PCO0276436,42.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,TRAVIS PERKINS TRADING CO LTD,A0002709, 21/12/2016,PCO0276412,99.80,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,TRAVIS PERKINS TRADING CO LTD,A0002709, 21/12/2016,PCO0276436,99.80,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,TRAVIS PERKINS TRADING CO LTD,A0002709, 15/12/2016,REG0276156,19.26,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,TRAVIS PERKINS TRADING CO LTD,A0002709, 08/12/2016,REG0275959,28.68,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,TRAVIS PERKINS TRADING CO LTD,A0002709, 15/12/2016,REG0276155,37.93,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,TRAVIS PERKINS TRADING CO LTD,A0002709, 15/12/2016,REG0276157,37.93,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,TRAVIS PERKINS TRADING CO LTD,A0002709, 15/12/2016,REG0276158,37.93,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,TRAVIS PERKINS TRADING CO LTD,A0002709, 15/12/2016,REG0276159,37.93,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,TRAVIS PERKINS TRADING CO LTD,A0002709, 21/12/2016,REG0276374,37.93,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,TRAVIS PERKINS TRADING CO LTD,A0002709, 21/12/2016,REG0276375,37.93,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,YORKSHIRE WATER,A0002808, 01/12/2016,EST0275898,50.62,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,YORKSHIRE WATER,A0002808, 15/12/2016,EST0276249,14.83,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,YORKSHIRE WATER,A0002808, 08/12/2016,EST0276124,71.90,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,YORKSHIRE WATER,A0002808, 01/12/2016,EST0275895,23.85,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,YORKSHIRE WATER,A0002808, 21/12/2016,EST0276457,1.96,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 01/12/2016,OPS0275809,566.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 01/12/2016,OPS0275870,566.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 15/12/2016,OPS0276181,566.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 15/12/2016,OPS0276214,566.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 01/12/2016,OPS0275809,100.40,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 01/12/2016,OPS0275870,502.00,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Printing & Stationery,4301,CHILD POVERTY ACTION GROUP,A0004890, 15/12/2016,AAS0276217,7.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS GLAZING LIMITED,A0005903, 15/12/2016,EST0276287,25.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS GLAZING LIMITED,A0005903, 01/12/2016,EST0275887,45.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS GLAZING LIMITED,A0005903, 01/12/2016,EST0275888,45.00,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD14,VALUATION OFFICE AGENCY,A0006252, 08/12/2016,AAS0276058,1186.44,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD14,VALUATION OFFICE AGENCY,A0006252, 08/12/2016,AAS0276059,1761.20,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Indirect Employee Expenses,Staff Refreshments,1261,PHILIP SANDERSON,A0006611, 08/12/2016,DAL0276086,10.00,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Indirect Employee Expenses,Staff Refreshments,1261,PHILIP SANDERSON,A0006611, 08/12/2016,DAL0276086,7.40,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Hospitality,4611,PHILIP SANDERSON,A0006611, 08/12/2016,DAL0276086,20.40,N,N/A,N,N/A
Pendle Borough Council,Property Services,Indirect Employee Expenses,Staff Refreshments,1261,VENDA VALET (MACHINES) LTD,A0009649, 08/12/2016,EST0276131,216.67,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,POLICE & CRIME COMMISSIONER FOR LANCASHIRE,A0009816, 01/12/2016,COR0275780,450.00,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,CIPFA AUDIT GROUP,A0010784, 01/12/2016,AAS0275902,140.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,CPC PROP & GARDENING SERV LTD,A0011770, 01/12/2016,HED0275893,860.00,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,PENDLE LEISURE LTD,A0012961, 01/12/2016,REG0275889,353.33,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,4601,PENDLE LEISURE LTD,A0012961, 15/12/2016,PER0276319,175.00,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,PENDLE LEISURE LTD,A0012961, 08/12/2016,DAL0276082,108.00,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Subscriptions & Donations,4706,PENDLE LEISURE LTD,A0012961, 01/12/2016,DAL0275910,80.67,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 21/12/2016,PCO0276441,38.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 21/12/2016,PCO0276441,277.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,2102,BROWNS ENGINEERING SERVICES,A0012980, 21/12/2016,PCO0276441,584.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BROWNS ENGINEERING SERVICES,A0012980, 21/12/2016,PCO0276441,224.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BROWNS ENGINEERING SERVICES,A0012980, 21/12/2016,PCO0276441,338.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : Vandalism Repairs,2102,LANDSCAPE ENGINEERING LTD,A0013135, 21/12/2016,EST0276455,847.50,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,D J HAWORTH - GUMGETTERS LIMITED,A0014782, 08/12/2016,EST0276112,85.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,ORCHARD RECYCLING SERVICE,A0015803, 08/12/2016,OPS0276054,1335.60,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,ORCHARD RECYCLING SERVICE,A0015803, 01/12/2016,OPS0275867,1379.70,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,ORCHARD RECYCLING SERVICE,A0015803, 01/12/2016,OPS0275842,1518.30,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,ORCHARD RECYCLING SERVICE,A0015803, 21/12/2016,OPS0276396,1518.30,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,ORCHARD RECYCLING SERVICE,A0015803, 15/12/2016,OPS0276201,1587.60,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,4707,ORCHARD RECYCLING SERVICE,A0015803, 15/12/2016,OPS0276212,58.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,4707,ORCHARD RECYCLING SERVICE,A0015803, 01/12/2016,OPS0275873,71.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,4707,ORCHARD RECYCLING SERVICE,A0015803, 15/12/2016,OPS0276211,101.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,4707,ORCHARD RECYCLING SERVICE,A0015803, 01/12/2016,OPS0275844,120.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,4707,ORCHARD RECYCLING SERVICE,A0015803, 01/12/2016,OPS0275872,269.00,N,N/A,N,N/A
