Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,End Date (including extension),Review Date,Award Method,SME?
700281,SWIFT Rainbow Homes,Adults and Communities,Residential & Nursing Care,Rainbow Homes Ltd,"£108,921.60",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700197,SWIFT Raphael Medical Centre,Adults and Communities,Residential & Nursing Care,Raphael Medical Centre,"£48,657.61",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700174,SWIFT Reach,Adults and Communities,Residential & Nursing Care,Rehabiliation Education And Reach Ltd,"£38,714.43",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700236,SWIFT Real Life Options,Adults and Communities,Residential & Nursing Care,Real Life Options,"£68,654.80",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700577,SWIFT Rela Goldhill Lodge,Adults and Communities,Residential & Nursing Care,Jewish Care,"£458,017.63",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700175,SWIFT Roper House (RNID),Adults and Communities,Residential & Nursing Care,Action Of Hearing Loss Formerly Rnid,"£38,814.82",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700573,SWIFT Rosetrees (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£399,913.84",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700569,SWIFT Rubens House (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£217,323.71",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700348,SWIFT Sage Nursing Home,Adults and Communities,Residential & Nursing Care,Service To The Aged,"£358,408.48",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700226,SWIFT Saxon Court,Adults and Communities,Residential & Nursing Care,Abbey Care Saxon Ltd,"£57,475.59",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700214,SWIFT Seaforth Lodge,Adults and Communities,Residential & Nursing Care,Waterfall House Ltd,"£54,095.54",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700195,SWIFT Seva Care Home,Adults and Communities,Residential & Nursing Care,Seva Care Home,"£48,102.86",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700242,SWIFT SFI (College Road),Adults and Communities,Residential & Nursing Care,Striving For Independence (Sfi) Group Home,"£71,108.57",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700235,SWIFT Shakti Nursing Home,Adults and Communities,Residential & Nursing Care,Shakti Nursing Home,"£64,000.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700256,SWIFT Short Heath Road Home,Adults and Communities,Residential & Nursing Care,Thoughts Of Others Ltd,"£82,825.28",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700224,SWIFT Silver Springs,Adults and Communities,Residential & Nursing Care,Silver Springs Rch Ltd (Mr & Mrs K Sedani),"£57,411.81",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700261,SWIFT Sir Thomas Lipton Home,Adults and Communities,Residential & Nursing Care,Friends Of The Elderly,"£87,934.11",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700273,SWIFT Sonesta Nursing Home,Adults and Communities,Residential & Nursing Care,Sonesta Nursing Home Ltd,"£97,269.73",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700234,SWIFT Southdown Housing Association,Adults and Communities,Residential & Nursing Care,Southdown Housing Association,"£63,930.79",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700143,SWIFT Southgate Beaumont,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£28,432.97",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700231,SWIFT Spanish & Portuguese Jews Home,Adults and Communities,Residential & Nursing Care,Spanish & Portuguese Jews Home,"£62,991.96",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700243,SWIFT Springbank Care Home,Adults and Communities,Residential & Nursing Care,Four Seasons Healthcare,"£72,006.32",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700305,SWIFT Springdene; Spring Lane,Adults and Communities,Residential & Nursing Care,Springdene Nursing & Care Home Ltd,"£153,050.37",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700279,SWIFT St Christophers Hse,Adults and Communities,Residential & Nursing Care,Platinum Health Resources Ltd,"£102,874.23",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700337,SWIFT St Elizabeths,Adults and Communities,Residential & Nursing Care,Congregation Of The Daughters Of The Cross Of Liege,"£290,139.18",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700147,SWIFT St Raphaels,Adults and Communities,Residential & Nursing Care,The Frances Taylor Foundation,"£29,070.86",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700271,SWIFT St Vincents Nursing Home,Adults and Communities,Residential & Nursing Care,St Vincent'S Hospital,"£93,682.62",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700185,SWIFT Street Farm,Adults and Communities,Residential & Nursing Care,Bradbury House Organisation,"£40,858.67",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700258,SWIFT Sunridge Court,Adults and Communities,Residential & Nursing Care,Sunridge Housing Association,"£84,191.50",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700293,SWIFT Sydmar Lodge,Adults and Communities,Residential & Nursing Care,European Care Ltd,"£132,981.39",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700342,SWIFT Tager Centre,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£327,383.34",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700152,SWIFT The Conifers Nursing Home,Adults and Communities,Residential & Nursing Care,The Conifers Healthcare Ltd,"£29,487.57",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700312,SWIFT The Farmhouse (Ravenswood),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£167,242.65",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700223,SWIFT The Firs (Ravenswood Village),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£57,104.37",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700330,SWIFT The Green (Ravenswood Village),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£233,923.67",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700200,SWIFT The Marillac,Adults and Communities,Residential & Nursing Care,Sisters Of Charity-St Vincents,"£49,119.81",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700122,SWIFT The Meadow,Adults and Communities,Residential & Nursing Care,Methodist Homes For The Aged (Mha) Care Group,"£25,649.80",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700157,SWIFT The Rookery,Adults and Communities,Residential & Nursing Care,Janith Homes Ltd,"£31,290.91",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700259,SWIFT The Springs Community,Adults and Communities,Residential & Nursing Care,Cygnet Ltd,"£84,768.74",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700212,SWIFT The Well House Respite Unit,Adults and Communities,Residential & Nursing Care,The Well House,"£53,070.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700194,SWIFT Thorndene,Adults and Communities,Residential & Nursing Care,Thorndene Ltd,"£47,984.17",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700153,SWIFT Tudor Lodge,Adults and Communities,Residential & Nursing Care,Tudor Lodge Resiential Home,"£29,865.60",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700297,SWIFT Two Rivers,Adults and Communities,Residential & Nursing Care,Suncare Recovery Ltd,"£137,982.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700345,SWIFT Walsingham Community,Adults and Communities,Residential & Nursing Care,Walsingham,"£332,818.44",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700196,SWIFT Westgate College,Adults and Communities,Residential & Nursing Care,Royal School For Deaf Children,"£48,492.39",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700142,SWIFT Westgate House Care Centre,Adults and Communities,Residential & Nursing Care,Westgate Healthcare Ltd,"£27,457.04",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700228,SWIFT Westminster Barchester (Bulk),Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£59,085.47",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700121,SWIFT Whitchurch Lodge,Adults and Communities,Residential & Nursing Care,Finbond Ltd,"£25,332.43",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700360,SWIFT Willow Care Homes,Adults and Communities,Residential & Nursing Care,Willow Care Homes Ltd,"£575,456.57",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700217,SWIFT Wilsmere House,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£55,752.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700302,SWIFT Woodfield House,Adults and Communities,Residential & Nursing Care,Woodfield House,"£142,478.57",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700292,SWIFT Yad Voezer,Adults and Communities,Residential & Nursing Care,Yad Voezer,"£131,220.93",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700298,SWIFT Two Rivers,Adults and Communities,SWIFT Two Rivers,Suncare Recovery Ltd,"£137,982.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
5000000112,Banking Contract,CSG,Operational banking service contract,Co-Operative Bank Plc,"£414,400.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
5000000695,Public Tree Management,Street Scene,Maintenance of Borough owned trees,City Suburban Tree Surgeons Ltd,"£3,000,000.00",01/04/2009,31/03/2016,,30/06/2015,ITT,N/A
5000002215,Translation & Intrepretation Services,CSG,Provision of translation and intrepretaion services,Prime Productions,"£640,000.00",01/10/2009,30/09/2015,,30/12/2014,ITT,N/A
700568,SWIFT Sidney Corob House,Adults and Communities,Residential & Nursing Care,Jewish Care,"£205,779.26",01/11/2009,31/03/2015,,30/06/2014,ITT,N/A
5000000674,Civica Openrevenues It System,CSG,"CTAX, NNDR, Benefits IT system to administer operations",Civica,"£3,443,615.00",01/01/2010,01/01/2015,,01/04/2014,ITT,N/A
700371,SWIFT Learning Disability Campus relocation,Adults and Communities,Section 75,Barnet Primary Care Trust,"£1,709,087.00",01/04/2010,31/03/2015,,30/06/2014,ITT,N/A
700187,SWIFT Supported Housing,Adults and Communities,Residential & Nursing Care,Baytree Community Care,"£42,817.00",01/04/2010,31/03/2015,,30/06/2014,ITT,N/A
5000005357,London Care Placements,Children's Service,London Care Placements,Foster Care Associates,"£417,528.00",01/04/2010,31/07/2017,,31/10/2016,ITT,N/A
5000004284,Care Placements Contract,Children's Service,Placement of children in care,The Adolescent and Children's Trust,"£106,253.00",01/04/2010,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000004155,Social Care (Caldecott Foundation),Children's Service,Placement of Children in care.,The Caldecott Foundation,"£746,478.00",01/04/2010,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000002741,Care Placements Contract,Children's Service,Placement of children in care,Chrysalis Care Limited,"£136,929.00",01/04/2010,31/07/2017,30/05/2014,31/10/2016,ITT,N/A
5000002588,Care Placements Contract,Children's Service,Placement of Children in care.,Time For Children Ltd,"£73,000.00",01/04/2010,31/07/2017,,31/10/2016,ITT,N/A
5000002546,Care Placements Contract,Children's Service,Care Placements Contract,Arnfield Care Limited,"£181,701.99",01/04/2010,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000000441,Care Placements Contract,Children's Service,Placement of Children in care.,Bramley Care Ltd/ Apple Orchard,"£416,000.00",01/04/2010,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000002575,Care Placements Contract,Children's Service,Placement of Children in care.,Lioncare Limited,"£173,531.47",01/04/2010,30/06/2014,,30/09/2013,ITT,N/A
5000002545,Care Placements Contract,Children's Service,Placement of Children in care.,Archway Care Ltd,"£124,989.74",01/04/2010,30/06/2014,,30/09/2013,ITT,N/A
5000002550,Care Placements Contract,Children's Service,Placement of Children in care.,Beacon Lodge Charitable Trust,"£212,511.75",01/04/2010,30/06/2014,,30/09/2013,ITT,N/A
5000002555,Care Placements Contract,Children's Service,Placement of Children in care.,Capstone Foster Care (South West) Ltd,"£82,421.67",01/04/2010,31/03/2015,,30/06/2014,Quote,N/A
5000002557,Care Placements Contract,Children's Service,Placement of Children in care.,Children Of Colour Ltd,"£45,468.58",01/04/2010,31/03/2015,31/03/2015,30/06/2014,Quote,N/A
5000002544,Care Placements Contract,Children's Service,Placement of Children in care.,Anchor Foster Care Services Lt,"£141,681.88",01/04/2010,31/03/2015,,30/06/2014,Quote,N/A
5000002586,Care Placements Contract,Children's Service,Placement of Children in care.,Supported Fostering Servi,"£147,932.73",01/04/2010,31/03/2015,,30/06/2014,Quote,N/A
5000002558,Care Placements Contract,Children's Service,Placement of Children in care.,Ethelbert Specialist Homes,"£641,180.50",01/04/2010,31/03/2015,,30/06/2014,Quote,N/A
5000002574,Care Placements Contract,Children's Service,Placement of Children in care.,Link Fostering Agency Ltd,"£78,014.91",01/04/2010,31/03/2015,,30/06/2014,Quote,N/A
5000002571,Care Placements Contract,Children's Service,Placement of Children in care.,Kasper Ltd,"£83,819.33",01/04/2010,31/03/2015,,30/06/2014,ITT,N/A
5000002547,Care Placements Contract,Children's Service,Placement of Children in care.,The Beeches Uk Limited,"£189,325.83",01/04/2010,31/03/2015,,30/06/2014,ITT,N/A
5000002214,Stationery,CSG,Stationery Supplies,Office Depot,"£800,000.00",01/04/2010,01/03/2015,,01/06/2014,ITT,N/A
5000002213,Computer Consumables,CSG,Supply of computer consumables,Office Depot,"£600,000.00",01/04/2010,01/03/2014,,01/06/2013,ITT,N/A
700377,SWIFT Barnet Outreach,Adults and Communities,Housing related support,Notting Hill Housing,"£3,984,190.20",01/05/2010,31/03/2015,,30/06/2014,ITT,N/A
5000005791,Delib Ltd (CES),Commissioning Group,Delib Ltd (CES),Delib Ltd,"£31,744.50",26/05/2010,26/05/2015,,26/08/2014,ITT,N/A
5000000819,Citizens Space (Consultation Finder),Commissioning Group,Maintainence for online consultation portal,Delib Ltd,"£33,900.00",01/09/2010,26/05/2015,,26/08/2014,ITT,N/A
700375,SWIFT Enablement,Adults and Communities,Enablement,Housing 21,"£3,369,600.00",04/09/2010,03/09/2015,,03/12/2014,ITT,N/A
701171,Home and Community Enablement (Housing21),Adults and Communities,Home and Community Enablement (Housing21),Housing & Care 21,"£1,171,000.00",05/09/2010,05/09/2015,,05/12/2014,Other,N/A
700309,SWIFT IMCA,Adults and Communities,Independent Mental Capacity Advocacy,Voiceability,"£161,192.00",01/10/2010,01/04/2014,,01/07/2013,ITT,N/A
5000003597,Voiceablity,Adults and Communities,IMCA contract,Voiceability,"£205,083.00",01/10/2010,30/04/2014,30/04/2014,30/07/2013,ITT,N/A
Non,Non-Life Insurance - Liability And Motor,Commissioning Group,Combined Liability and Motor Insurance,Zurich Municipal,"£387,000.00",01/10/2010,31/03/2015,,30/06/2014,ITT,N/A
700715,Non Non-Life Insurance - Liability And Motor,Commissioning Group,Non Non-Life Insurance - Liability And Motor,Zurich Municipal,"£387,000.00",01/10/2010,31/03/2015,,30/06/2014,Other,N/A
5000002610,"Provision of potatoes, fruit & vegetables.",Children's Service,"Provision of potatoes, fruit & vegetables.",Premier Fruits,"£900,000.00",22/10/2010,30/09/2014,,30/12/2013,ITT,N/A
700363,SWIFT Bevetone Road,Adults and Communities,Housing related support,One Housing Group,"£589,079.06",01/11/2010,31/10/2015,,31/01/2015,ITT,N/A
700382,SWIFT Home And Community Support,Adults and Communities,Home and Community Support,Enara,"£12,000,003.00",07/11/2010,06/11/2015,,06/02/2015,ITT,N/A
700172,SWIFT Stroke Navigator,Adults and Communities,Voluntary sector preventative services,Stroke Association,"£38,251.32",15/11/2010,31/03/2015,,30/06/2014,ITT,N/A
700357,SWIFT Peer Support Brokerage Service,Adults and Communities,Voluntary sector preventative services,Barnet Centre For Independent Living,"£505,546.00",01/03/2011,31/03/2015,,30/06/2014,ITT,N/A
5000002231,One Barnet Legal Partner Contract,CSG,Legal support for the delivery of the One Barnet Programme,Trowers & Hamlins Llp,"£500,000.00",31/03/2011,31/03/2014,,30/06/2013,ITT,N/A
700192,SWIFT Asian Women's Services,Adults and Communities,Voluntary sector preventative services,Barnet Asian Womens Assn,"£46,526.00",01/04/2011,31/03/2015,,30/06/2014,ITT,N/A
700354,SWIFT Extended Hours Scheme/Housing Support Service,Adults and Communities,Housing related support,One Housing Group,"£473,867.61",01/04/2011,30/04/2015,,30/07/2014,ITT,N/A
700288,SWIFT Goodwin Court,Adults and Communities,Housing related support,Sanctuary Housing Association,"£124,047.86",01/04/2011,31/03/2015,,30/06/2014,ITT,N/A
700359,SWIFT Meals At Home,Adults and Communities,Meals services,Sodexo,"£548,435.01",01/04/2011,31/03/2015,,30/06/2014,ITT,N/A
700310,SWIFT Peer Support Brokerage services,Adults and Communities,Voluntary sector preventative services,Barnet Centre for Independent Living,"£164,000.00",01/04/2011,31/03/2015,,30/06/2014,ITT,N/A
700572,SWIFT Selia Court,Adults and Communities,Residential & Nursing Care,Jewish Care,"£300,248.00",01/04/2011,31/03/2015,,30/06/2014,ITT,N/A
700346,SWIFT Services For Older People,Adults and Communities,Voluntary sector preventative services,Age Uk Barnet,"£334,619.00",01/04/2011,31/03/2015,,30/06/2014,ITT,N/A
5000004716,Care Work,Children's Service,Software licence,Careworks Limited,"£36,000.00",01/04/2011,14/03/2015,30/05/2014,14/06/2014,ITT,N/A
5000004598I,Pre Payment Cards,Children's Service,Pre Payment Cards,Citibank Europe PLC,"£13,850.00",01/04/2011,31/03/2015,,30/06/2014,Quote,N/A
700992,Office Furniture,CSG,Office Furniture,Office Furniture Framework,"£150,000.00",01/04/2011,31/03/2015,,30/06/2014,Other,N/A
5000000811,Gcsx Conectivity,CSG,Secure email for government bodies to email ,London Grid For Learning,"£42,500.00",01/04/2011,31/03/2014,,30/06/2013,ITT,N/A
700986,PSCIP,CSG,Construction of Garden Suburb,Kier London Ltd,"£1,099,498.00",01/06/2011,29/07/2014,,29/10/2013,Other,N/A
700988,PSCIP,CSG,Construction of Etz Chaim,Kier London Ltd,"£2,775,054.00",29/07/2011,29/07/2015,,29/10/2014,Other,N/A
700990,PSCIP,CSG,Construction of Mill Hill East,Kier London Ltd,"£10,675,000.00",29/07/2011,29/07/2015,,29/10/2014,Other,N/A
700991,PSCIP,CSG,Construction of The Orion,Kier London Ltd,"£12,347,874.91",29/07/2011,29/07/2015,,29/10/2014,Other,N/A
5000002216,PSCIP,CSG,Construction of Childs Hill,Kier London Ltd,"£2,726,156.00",29/07/2011,29/07/2014,,29/10/2013,ITT,N/A
5000002609,Frozen Foods For Catering Services,Children's Service,"CRC has been cleared, awaiting documents from Daniel Bailey.",Hopwells,"£3,100,000.00",01/08/2011,29/07/2015,,29/10/2014,ITT,N/A
5000000677,Pensions System,CSG,Provision of Pension Management System,Heywoods,"£128,000.00",13/09/2011,13/09/2014,,13/12/2013,ITT,N/A
700291,SWIFT Electronic Call Monitoring,Adults and Communities,Home and Community Support,CM2000,"£130,000.00",01/10/2011,01/04/2014,,01/07/2013,ITT,N/A
Non,Community Advice Service,Commissioning Group,"Social welfare, law advice and legal services",Citizen's Advice Bureau,"£1,188,556.00",01/10/2011,30/09/2014,,30/12/2013,ITT,N/A
700719,Non Community Advice Service,Commissioning Group,Non Community Advice Service,Citizen's Advice Bureau,"£1,188,556.00",01/10/2011,30/09/2014,,30/12/2013,Other,N/A
5000002593,Catering Disposables,Children's Service,Catering consumables for Catering Services,Bunzle,"£152,000.00",10/10/2011,31/10/2015,,31/01/2015,ITT,N/A
700144,SWIFT Day Care,Adults and Communities,Day Care,Norwood Ravenswood Ltd,"£28,550.61",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700155,SWIFT Day Care,Adults and Communities,Day Care,Oakmere Day Centre (Caretech),"£30,450.68",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700206,SWIFT Day Care,Adults and Communities,Day Care,Sense Day Centre,"£50,539.37",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700219,SWIFT Day Care,Adults and Communities,Day Care,St Josephs Pastoral Centre,"£55,914.30",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700249,SWIFT Day Care,Adults and Communities,Day Care,The Stables,"£76,860.00",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700571,SWIFT Day Care,Adults and Communities,Day Care,Kisharon,"£295,026.19",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
5000006615,Home & Community Support Services,Adults and Communities,Home & Community Support Services,ServiceScale Ltd T/A Personnel & Caretech,"£160,000.00",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700138,SWIFT Homecare,Adults and Communities,Homecare,Gentle Hands Care Agency,"£26,883.63",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700160,SWIFT Homecare,Adults and Communities,Homecare,Hartwig Care Ltd,"£32,850.59",01/11/2011,07/11/2015,,07/02/2015,ITT,N/A
700241,SWIFT Homecare,Adults and Communities,Homecare,Barnet Mencap,"£70,958.51",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700257,SWIFT Homecare,Adults and Communities,Homecare,Pashun Outreach,"£82,873.38",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700283,SWIFT Homecare,Adults and Communities,Homecare,Abbots Care Limited,"£114,588.33",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700284,SWIFT Homecare,Adults and Communities,Homecare,Dimensions Ltd,"£114,806.00",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700178,SWIFT The Banyan Centre,Adults and Communities,Day Care,Curo Care (Care Innovation),"£39,065.27",01/11/2011,31/03/2015,,30/06/2014,ITT,N/A
701158,Service Scale Ltd t/a Intouch Homecare,Adults and Communities,Service Scale Ltd t/a Intouch Homecare,Servicescale Ltd t/a Intouch Homecare,"£160,000.00",01/11/2011,31/10/2015,,31/01/2015,Other,N/A
700380,SWIFT Home And Community Support,Adults and Communities,Home and Community Support,Personnel & Care Bank,"£12,000,001.00",07/11/2011,06/11/2015,,06/02/2015,ITT,N/A
700381,SWIFT Home And Community Support,Adults and Communities,Home and Community Support,London Care,"£12,000,002.00",07/11/2011,06/11/2015,,06/02/2015,ITT,N/A
700151,SWIFT Homecare,Adults and Communities,Homecare,Somali Carers Project,"£29,464.57",07/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700561,SWIFT Leonard Sainer Day Centre,Adults and Communities,Day Care,Jewish Care,"£53,904.48",07/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700566,SWIFT Sam Beckman Day Centre,Adults and Communities,Day Care,Jewish Care,"£172,149.28",07/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700265,SWIFT Day Care,Adults and Communities,Day Care,Skills Development Centre,"£91,342.10",11/11/2011,31/03/2015,,30/06/2014,ITT,N/A
5000006074,Legal services for West Hendon Regeneration,Re,Legal Services for West Hendon Regen,Ashfords LLP,"£100,000.00",13/11/2011,31/03/2015,,30/06/2014,ITT,N/A
700120,SWIFT Gainsborough House Nursing Home,Adults and Communities,Residential & Nursing Care,London & Manchester Healthcare Ltd,"£24,776.00",03/12/2011,31/03/2015,,30/06/2014,ITT,N/A
700118,SWIFT Homecare,Adults and Communities,Homecare,Marego Ltd,"£11,046.00",12/12/2011,06/11/2015,,06/02/2015,ITT,N/A
5000004060,Greater London Enterprise,Re,"Tripartite Agreement relates to the 'Barnet WorkFinder' project,  as part of the  'London Councils boroughs ESF Programme. (Renaisi have been contracted by London Councils to deliver WorkFinder)",GLE & London Councils,"£410,000.00",23/12/2011,31/12/2014,,31/03/2014,ITT,N/A
5000004394,Client Aids,Adults and Communities,Client Aids,The Barnetgroup,"£125,000.00",01/01/2012,31/03/2014,,30/06/2013,ITT,N/A
5000001488,Publications & Distribution (CES),Commissioning Group,Distribution company (to deliver Barnet First),London letterbox Marketing,"£115,798.00",01/01/2012,31/12/2014,,31/03/2014,ITT,N/A
5000005243,Family Group Conferences,Children's Service,Provision of Family Group Conferences,Forward 4 Families,"£180,000.00",23/01/2012,31/03/2016,,30/06/2015,ITT,N/A
5000000793,Landlines,CSG,Main Council telephony contract Telephone line rental/LES  Circuits,Daisy,"£362,992.00",23/01/2012,22/01/2014,,22/04/2013,ITT,N/A
700374,SWIFT Integrated Learning disability services,Adults and Communities,Section 75,Barnet Primary Care Trust,"£2,974,569.00",01/02/2012,31/01/2014,,30/04/2013,ITT,N/A
700378,SWIFT Supported Housing & Day Care (Was Your Choice (Barnet)),Adults and Communities,Supported Living & Day Care,Thebarnetgroup Ltd,"£5,223,837.00",01/02/2012,31/01/2017,,30/04/2016,ITT,N/A
700370,SWIFT Voluntary services commissioning,Adults and Communities,Section 75,Barnet Primary Care Trust,"£1,642,540.00",01/02/2012,31/01/2014,,30/04/2013,ITT,N/A
700037,Adult Social Care Service,Adults and Communities,Adult Social Care Service,The Barnet Group Limited,"£250,000.00",01/02/2012,31/01/2015,,30/04/2014,SLA,N/A
5000000532,IT Maintenance to Gov Serv,Assurance,IT Maintenance to Gov Serv,Modern Mindset,"£66,160.00",23/02/2012,22/02/2017,,22/05/2016,ITT,N/A
5000000316,Improve English Ltd,Children's Service,Improve English Ltd,Improve English Ltd,"£20,000.00",24/02/2012,31/03/2016,,30/06/2015,ITT,N/A
5000000808,Wisdom,CSG,Wisdom,2e2 Solutions Ltd - In Administration,"£112,000.00",28/02/2012,27/02/2015,,27/05/2014,ITT,N/A
5000000805,Swift (Adults & Childrens Application Supprt) To Include Adults Data Warehouse External Content,CSG,Main Adults & Childrens ssytem ,Northgate Public Sector,"£89,000.00",28/02/2012,27/02/2014,,27/05/2013,ITT,N/A
5000000801,Message Labs,CSG,Email scanning and secure email,Symantec,"£122,000.00",28/02/2012,28/02/2014,,28/05/2013,ITT,N/A
5000004927,Acolaid System (all Modules),CSG,Acolaid System (all Modules),Idox Software,"£188,000.00",28/02/2012,27/02/2014,,27/05/2013,ITT,N/A
5000004131,Consult Fin Acct (DCE),CSG,Consult Fin Acct (DCE),KPMG Fee Account,"£140,000.00",01/03/2012,31/03/2016,,30/06/2015,ITT,N/A
700123,SWIFT Day Care,Adults and Communities,Day Care,St Marks Day Service,"£26,218.67",09/03/2012,31/03/2015,,30/06/2014,ITT,N/A
700137,SWIFT Day Care,Adults and Communities,Day Care,National Autistic Society,"£26,608.72",09/03/2012,31/03/2015,,30/06/2014,ITT,N/A
700221,SWIFT Day Care,Adults and Communities,Day Care,Delrow House (Camphill),"£56,452.89",09/03/2012,31/03/2015,,30/06/2014,ITT,N/A
700244,SWIFT Day Care,Adults and Communities,Day Care,The Shaw Trust,"£72,268.68",09/03/2012,31/03/2015,,30/06/2014,ITT,N/A
700253,SWIFT Homecare,Adults and Communities,Homecare,The Extra Mile Care Company,"£78,798.79",09/03/2012,06/11/2015,,06/02/2015,ITT,N/A
5000000650,BT Internet - British Telecom 114421,CSG,BT Internet - British Telecom 114421,British Telecommunications Plc,"£88,320.00",30/03/2012,27/03/2015,,27/06/2014,ITT,N/A
5000000810,Bt Network,CSG,LBB data and VOIP channel,BT,"£330,408.00",30/03/2012,29/03/2014,,29/06/2013,ITT,N/A
5000001651,All Direcorates contract,Adults and Communities,All Direcorates contract,Dairy Crest,"£24,999.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000002454,Mental Health Assessments,Adults and Communities,Mental Health Assessments,Dt Patrick Purcell,"£15,000.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000001115,Training,Assurance,Training,The Emergency Planning College,"£24,999.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
