Ratepayer,Property Address,RV,Property Description
Mmt Scheme Trsts. Dsm/Dps,"Shay Lane Works, Shay Lane, Halifax, HX3 6SF",5200,Offices And Premises
Lloyd Loaders [ M.H ] Ltd,"Shibden Hall Road, Halifax, HX3 8PJ",4100,Garage And Premises
B & Q Properties  Limited,"1 Shroggs Road, Halifax, HX1 5HZ",101000,Retail Warehouse And Premises
Anglo Canadian Alloys Ltd (In Liquidation),"Cinderhill Works, Siddal, Halifax, HX3 9JR",19500,Factory and Premises
Avco Trust Ltd,"First Floor, 18 Silver Street, Halifax, HX1 1HS",9500,Offices and Premises
United Friendly Insurance Plc,"Second Floor, 18 Silver Street, Halifax, HX1 1HS",9500,Offices and Premises
,"Third Floor, 18 Silver Street, Halifax, HX1 1HS",9000,Offices and Premises
Premium Reserve Ltd,"Ground Floor, 24/26 Silver Street, Halifax, HX1 1HS",8100,Shop and Premises
Redman Properties,"2ND Floor, 3 Silver Street, Halifax, HX1 1HS",11750,Offices and Premises
Due West Ltd,"38 Southgate, Halifax, HX1 1DL",29000,Restaurant and Premises
Santander U.K Plc,"7 Southgate, Halifax, HX1 1DL",44000,Shop and Premises
,"Second Floor Offices, Warwick Chambers, 37 Southgate, Halifax              HX1 1DL",2950,Offices and Premises
Gallyville Ltd,"11 Southgate House, Southgate, Halifax, HX1 1DE",9800,Office and Premises
M Y Wholesale Ltd,"Company House, Spring Hall Lane, Halifax, HX1 4UA",6600,Warehouse And Premises
Packaging Machine Services Ltd,"Spring Hall Works, Spring Hall Grove, Spring Hall Lane, Halifax              HX1 4TW",12250,Workshop And Premises
Coal Pension Properties Ltd,"9 Square, Halifax, HX1 1RJ",32250,Shop and Premises
,"14 Square, Halifax, HX1 1RJ",12750,Shop and Premises
,"16 Square, Halifax, HX1 1RJ",13000,Shop and Premises
The Imperial Crown Hotel Ltd,"Hughes Corporation, 31 Square Road, Halifax, HX1 1QG",49000,Public House And Premises
Iredale Investments Ltd,"35 Stainland Road, Greetland, Halifax, HX4 8AD",9700,Shop and Premises
,"85 Stainland Road, Greetland, Halifax, HX4 8BD",2850,Showroom And Premises
J Speak & Co Ltd,"Unit 3, North Dean Mills, Stainland Road, Greetland           HX4 8LS",4300,Workshop And Premises
J Speak & Co Ltd,"Unit 6, North Dean Mills, Stainland Road, Greetland           HX4 8LS",5200,Workshop And Premises
Smart Storm Ltd,"Office Block(First Floor), North Dean Business Park, Stainland Road, Greetland           HX4 8LR",12500,Offices and Premises
Bower Green Warehousing Ltd.,"Rookes Mill (Vacant), Station Road, Norwood Green, Halifax              HX3 8QD",9900,Warehouse And Premises
,"Unit 2, 38 Sunderland Street, Halifax, HX1 5AF",3900,Store And Premises
Blackshaw Holdings Ltd,"Swales Moor Yard, Swales Moor Road, Halifax, HX3 6UF",18000,Land Used For Storage and Premises
Trustees Of The G & H L Mountain Executors Pension Scheme,"Offices, Stoney Royd, Swan Bank Lane, Halifax              HX3 9HT",23750,Offices And Premises
Homes & Communities Agency,"Part First Floor, 25B Union Street, Halifax, HX1 1PR",6000,Offices and Premises
Homes & Communities Agency,"Part First Floor, 25B Union Street, Halifax, HX1 1PR",6700,Offices and Premises
,"Grove Mill Yard, Shelf, Halifax, HX3 7PF",4300,Workshop And Premises
Interface Europe Ltd,"Shelf Mills (Vacant), Wade House Road, Shelf, Halifax              HX3 7PA",437500,Factory And Premises
Bostocks Boyce Welch & Co,"Bbw Business Cent. Base & Gf, 12 Wade House Road, Shelf, Halifax              HX3 7PB",4400,Shop And Premises
Travis Perkins Trading Co Ltd,"Globe Works, Wade Street, Halifax, HX1 1SG",51500,Retail Warehouse And Premises
W.Y.P.T.E,"Bus Station, Wade Street, Halifax, HX1 1SN",25750,Cafe and Premises
H.R Goodale [ Northern] Ltd,"Star Garage, Wakefield Road, Halifax, HX3 0TP",6100,Workshop And Premises
Altaf Properties Ltd,"1ST Floor, 3 Wards End, Halifax, HX1 1DD",4600,Offices and Premises
Gallyville Ltd,"1ST Floor, Southgate House, Wards End, Halifax              HX1 1BX",45000,Offices And Premises
Gallyville Ltd,"Base, 2ND, 3RD & 4TH Floors, Southgate House, Wards End, Halifax              HX1 1BX",85500,Offices And Premises
XH1 Ltd,"Basement (The Tube), Southgate House, Wards End, Halifax              HX1 1DE",23000,Club And Premises
Friarshill Ltd,"Units 1 & 8, Washer Lane Works, Washer Lane, Halifax             HX2 7DX",7000,Workshop And Premises
,"24 Waterhouse Street, Halifax, HX1 1UQ",3050,Shop and Premises
,"30 Waterhouse Street, Halifax, HX1 1UQ",3850,Shop and Premises
Retech Recycling Ltd,"Unit 29 Empire Works, Watkinson Road, Halifax, HX3 6SG",7500,Workshop And Premises
Marshalls Mono Ltd,"West Lane, Southowram, Halifax, HX3 9TW",104000,Factory and Premises
Marshalls Mono Ltd,"Hall Ings, West Lane, Southowram, Halifax              HX3 9RG",9300,Offices And Premises
Marshalls Mono Ltd,"Hall Ings, West Lane, Southowram, Halifax              HX3 9RG",10500,Offices And Premises
Marshalls Mono Ltd,"Remote Store, Hall Ings, West Lane, Southowram, Halifax              HX3 9RG",8200,Warehouse And Premises
Halifax Property Services Ltd,"Century House, West Parade, Halifax, HX1 2TE",16750,Offices and Premises
,"Basement, Waterloo House Two, West Parade, Halifax             HX1 2TE",2950,Store And Premises
Halifax Property Services Ltd,"Part 1st Floor, West Parade, Halifax, HX1 2TE",2600,Workroom
C F K Developments (Croft Myl) Llp,"Office B19 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",5200,Offices and Premises
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A8, West Parade, Halifax              HX1 2EQ",3900,Offices And Premises
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A3, West Parade, Halifax              HX1 2EQ",3250,Offices And Premises
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A5, West Parade, Halifax              HX1 2EQ",3600,Offices And Premises
,"West View Garage, Boothtown, Halifax, HX3 6PG",4650,Workshop And Premises
Cullingworth Commericials & Freight Services Ltd,"Lumbrook Mills, Westercroft Lane, Shelf, Halifax              HX3 7TY",24500,Warehouse And Premises
Cullingworth Commercials & Freight Services Ltd,"Mezzanine Office 11, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",5500,Office
Cullingworth Commercials & Freight Services Ltd,"First Floor Offices, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",27750,Offices and Premises
Cullingworth Commercials & Freight Services Ltd,"Stores (Under Mezz Offices), Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",5400,Store And Premises
Cullingworth Commercials & Freight Services Ltd,"Lumbrook Mills, Westercroft Lane, Halifax, HX3 7TY",5100,Offices and Premises
O & C Management Services Ltd,"First Floor, 1 Wards End, Halifax, HX1 1DD",4950,Offices and Premises
,"Stainland Community Centre, Westgate, Stainland, Halifax             HX4 9HN",7400,Community Centre And Premises
Coal Pension Properties Ltd,"19 Woolshops, Halifax, HX1 1RU",41000,Shop and Premises
Setbray Properties Ltd,"1ST Floor Unit 1, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",13500,Offices and Premises
Setbray Properties Ltd,"2ND Floor Unit 1, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",11250,Offices and Premises
,"Bankfoot House, Bankfoot, Hebden Bridge, HX7 6BS",2600,Surgery And Premises
E.P.I.C Plc,"28 Bridge Gate, Hebden Bridge, HX7 8EX",3000,Offices and Premises
Co-Operative Group Ltd,"Units 3-7, Burnley Road Garage, Mytholmroyd, Hebden Bridge        HX7 5LH",21500,Laboratory And Premises
Trustees Of The Damika Ltd Pension Fund,"White Lion Hotel, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5LN",6250,Public House and Premises
Caldene Business Park Ltd,"Rockwood House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",9600,Warehouse And Premises
,"Part Ground & First Floor, Cragg Road, Mytholmroyd, Hebden Bridge       HX7 5EG",13000,Warehouse And Premises
Thornber Chicks Ltd,"Unit 10E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",3350,Offices And Premises
Sackville Spf Iv (Gp) No. 3 Ltd,"2 Crown Street, Hebden Bridge, HX7 8EH",7900,Surgery And Premises
,"3a Crown Street, Hebden Bridge, HX7 8EH",5400,Salon And Premises
Setbray Properties Ltd,"Suite 4, 1ST Floor Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",6800,Offices and Premises
Setbray Properties Ltd,"Suite 2 Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",6100,Offices and Premises
Wattlid Ltd,"Units 18C, 18D & 18E, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",24500,Warehouse And Premises
,"Unit 1D & Remainder, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",2650,Warehouse And Premises
Lionel D Levine & Co,"15 Market Street, Hebden Bridge, HX7 6EU",8200,Shop and Premises
,"36 Market Street, Hebden Bridge, HX7 6AA",4600,Shop and Premises
Hebden Bridge Community Association,"Units 23,24 & 25 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",6500,Offices And Premises
,"Stocks Avenue, Mytholmroyd, Hebden Bridge, HX7 5AY",2650,Factory and Premises
Setbray Properties Ltd,"Adj The Packing Centre, Victoria Road, Hebden Bridge, HX7 8JX",15750,Warehouse And Premises
Setbray Properties Ltd,"Unit 7 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",11000,Workshop And Premises
Setbray Properties Ltd,"Unit 7 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",3450,Workshop And Premises
Setbray Properties Ltd,"Unit 10 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",3050,Workshop And Premises
Setbray Properties Ltd,"Unit 11 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",3450,Workshop And Premises
Setbray Properties Ltd,"Unit 13 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",2950,Workshop And Premises
,"21a West End, Hebden Bridge, HX7 8UQ",6500,Office and Premises
S D H Holdings,"Unit 4, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",5800,Warehouse And Premises
Howard Smith Paper Ltd,"Unit C 2ND Floor, Salt Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",16250,Offices and Premises
,"Office 2 & 3, Church View Office Centre, Elland Road, Ripponden            HX6 4DB",3550,Offices and Premises
,"Unit 9 Church View Offices, Elland Road, Ripponden, HX6 4DB",3500,Dance Studio And Premises
Calderdale Mbc Adults Health And Social Care,"Council Offices, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",12250,Offices and Premises
Calderdale Mbc Land & Property Services,"West Yorkshire Fire Service, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",3650,Workshop And Premises
,"Hollins Mill, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",25250,Warehouse And Premises
Denroyd Ltd,"Vacant Part Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",28500,Warehouse And Premises
,"Unit 3 Ripponden Mills, Mill Fold Lane, Ripponden, Sowerby Bridge      HX6 4DJ",7600,Offices and Premises
,"Unit 1C, Mill Fold, Elland Road, Ripponden, Sowerby Bridge       HX6 4HS",5000,Workshop And Premises
,"Unit 1b Mill Fold Way, Elland Road, Ripponden, Sowerby Bridge      HX6 4HS",2750,Store And Premises
,"Unit 4a Ripponden Mill, Mill Fold Lane, Ripponden, HX6 4AJ",2850,Office and Premises
,"Unit 4 (11), Ripponden Mill, Mill Fold Lane, Ripponden            HX6 4DH",2950,Offices and Premises
,"Unit 4B / 4C Ripponden Mill, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DJ",3450,Offices and Premises
,"Old Cawsey, Sowerby Bridge, HX6 2AJ",4600,Workshop And Premises
C H Property Trustee Quality Course Ltd,"Commercial Mills, Ripponden, Sowerby Bridge, HX6 4EH",13000,Warehouse And Premises
,"Oldham Road, Ripponden, Sowerby Bridge, HX6 4EB",8900,Restaurant and Premises
,"The Grove, Oldham Road, Rishworth, Sowerby Bridge      HX6 4QT",11000,Warehouse And Premises
,"Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",5600,Offices and Premises
Trustees Of Whiteleys Engineering,"Former Cottage, Rishworth Business Complex, Rishworth, Sowerby Bridge       HX6 4EW",3500,Offices And Premises
Trustees Of Whiteleys Engineering,"Unit 3, Rishworth Business Complex, Rishworth, Sowerby Bridge       HX6 4EW",3500,Store & Premises
,"7 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",5900,Offices and Premises
Pbb Properties Ltd,"First Floor, Westfield, Sowerby New Road, Sowerby Bridge       HX6 1AB",3350,Offices and Premises
Pbb Properties Ltd,"Ground Floor, Westfield, Sowerby New Road, Sowerby Bridge       HX6 1AB",3850,Offices and Premises
,"Unit 1 Tubend Ltd, Stanley Street, Sowerby Bridge, HX6 2AH",8300,Workshop And Premises
,"Former Coal Drops, Station Road, Sowerby Bridge, HX6 3AB",6200,Land Used For Storage and Premises
Network Rail Ltd,"Bridges Cafe Bar, Station Road, Sowerby Bridge, HX6 3LB",14000,Public House and Premises
Mark Mercer Electronics Ltd (In Liquidation),"Unit 4 The Old Post Office, Station Road, Sowerby Bridge, HX6 3AQ",12000,Warehouse And Premises
Daniel Thwaites Plc,"17 Town Hall Street, Sowerby Bridge, HX6 2EA",3800,Offices and Premises
Mark Mercer Electronics Ltd (In Liquidation),"Victoria Road, Sowerby Bridge, HX6 3AQ",11500,Workshop And Premises
Fiona Cooper Audio Visual Ltd,"60 West Street, Sowerby Bridge, HX6 3AP",6800,Shop and Premises
P & M Services Ltd,"Stoneswood Mill, Bacup Road, Todmorden, OL14 7HG",10500,Factory and Premises
Calderdale Mbc Markets Manager,"Stalls 6/7 Market Hall, Brook Street, Todmorden, OL14 5AJ",2950,Market Stall And Premises
,"22 Burnley Road, Todmorden, OL14 5DJ",3700,Cafe and Premises
Asda Stores Ltd,"Kwiksave, Burnley Road, Todmorden, OL14 7BU",31750,Shop and Premises
,"The Acorn Centre, 32 Burnley Road, Todmorden, OL14 5EZ",3100,Community Centre And Premises
Asda Stores Ltd,"Ridgefoot, Burnley Road, Todmorden, OL14 7BZ",25250,Health Centre and Premises
Mardan Products Ltd,"Stores Adj, Sandholme Mills, Commercial Street, Todmorden           OL14 5RG",6400,Store And Premises
Liberty Investments [Lancs] Ltd,"9 Halifax Road, Todmorden, OL14 5AG",5300,Shop and Premises
Merrie Men Inns Preston Ltd,"22 Halifax Road, Todmorden, OL14 5QG",2850,Offices and Premises
,"Unit 1 Harley House Mill, Todmorden, OL14 5JE",10750,Warehouse And Premises
Ideal Boats Company Ltd,"Woodbottom Mill, Todmorden, OL14 6PG",10000,Factory and Premises
,"Lacy Mill, Lacy Avenue, Todmorden, OL14 6RP",2600,Workshop And Premises
,"The Old Fire Station, Quality Works, Rochdale Road, Todmorden           OL14 7NA",7600,Warehouse And Premises
Adhan Property Consultants Ltd,"Unit 1, Salford Industrial Estate, Salford, Todmorden           OL14 7LF",2950,Workshop And Premises
Foodmac International Ltd,"Pt Stoodley Bridge Mill, Stoodley Lane, Todmorden, OL14 6HA",5700,Workshop And Premises
...,,,
