Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,OPTION HYGIENE LIMITED,A0002063, 11/02/2016,OPS0268663,14.98,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,OPTION HYGIENE LIMITED,A0002063, 25/02/2016,EST0269074,10.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,OPTION HYGIENE LIMITED,A0002063, 25/02/2016,OPS0268989,38.4,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,OPTION HYGIENE LIMITED,A0002063, 25/02/2016,OPS0268987,59,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,OPTION HYGIENE LIMITED,A0002063, 11/02/2016,OPS0268660,92,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,OPTION HYGIENE LIMITED,A0002063, 25/02/2016,OPS0268986,1871.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,OPTION HYGIENE LIMITED,A0002063, 25/02/2016,OPS0268986,2805,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,POWER PIPES (PENDLE) LIMITED,A0002089, 25/02/2016,OPS0268985,109.97,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,PENBURN CONSTRUCTION LTD,A0002191, 11/02/2016,HMR0268774,6160,N,N/A,N,1026.67
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 25/02/2016,OPS0269045,361.12,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 11/02/2016,OPS0268664,361.12,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 18/02/2016,OPS0268806,361.12,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 18/02/2016,OPS0268904,361.12,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 11/02/2016,OPS0268662,367.59,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,10,PENDLE PERSONNEL LTD,A0002198, 04/02/2016,PCO0268573,42.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,10,PENDLE PERSONNEL LTD,A0002198, 25/02/2016,PCO0269037,47.45,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,10,PENDLE PERSONNEL LTD,A0002198, 04/02/2016,PCO0268574,75.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,10,PENDLE PERSONNEL LTD,A0002198, 25/02/2016,PCO0269035,125.75,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,10,PENDLE PERSONNEL LTD,A0002198, 25/02/2016,PCO0269038,360.63,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,10,PENDLE PERSONNEL LTD,A0002198, 11/02/2016,PCO0268687,396.21,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/02/2016,DAL0269098,22.62,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/02/2016,DAL0269098,24.9,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/02/2016,DAL0269098,1276.78,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 18/02/2016,DAL0268937,298.25,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Telephones : Direct,45,REMGUARD LIMITED,A0002338, 04/02/2016,OPS0268508,112,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 25/02/2016,OPS0269039,2000,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 25/02/2016,OPS0268990,256,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,EFM : Other Equipment,40,STANLEY HOUSE VETERINARY GROUP,A0002423, 11/02/2016,PBC0268743,206,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,EFM : Other Equipment,40,STANLEY HOUSE VETERINARY GROUP,A0002423, 11/02/2016,PBC0268743,206,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BRENT STEVENSON MEMORIALS,A0002426, 18/02/2016,PCO0268802,250,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,ROBERTSON MEMORIALS,A0002590, 11/02/2016,PCO0268686,207.53,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,Bank Charges,72,G4S CASH SOLUTIONS (UK) LIMITED,A0002616, 18/02/2016,AAS0268931,180.56,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,T & F STEEL DESIGNS LTD,A0002627, 11/02/2016,HED0268781,65,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,T & F STEEL DESIGNS LTD,A0002627, 11/02/2016,HED0268781,200,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,T & F STEEL DESIGNS LTD,A0002627, 25/02/2016,HED0269110,920,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,T & F STEEL DESIGNS LTD,A0002627, 25/02/2016,HED0269110,3060,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,T & F STEEL DESIGNS LTD,A0002627, 11/02/2016,HED0268697,30,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,T & F STEEL DESIGNS LTD,A0002627, 11/02/2016,HED0268783,194,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,T & F STEEL DESIGNS LTD,A0002627, 11/02/2016,HED0268783,540,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,THE HELPING HAND CO LTD,A0002655, 25/02/2016,PCO4005017,-1053.83,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,THE HELPING HAND CO LTD,A0002655, 04/02/2016,PCO0268497,34.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,THE HELPING HAND CO LTD,A0002655, 04/02/2016,PCO0268497,50,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,THE HELPING HAND CO LTD,A0002655, 04/02/2016,PCO0268497,219,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,THE HELPING HAND CO LTD,A0002655, 25/02/2016,PCO0269036,1170.92,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,THE HELPING HAND CO LTD,A0002655, 18/02/2016,OPS0268795,85.2,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,JOHNSONS TEXICARE LTD,A0002665, 04/02/2016,ENV0268619,76.14,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TRAVIS PERKINS TRADING CO LTD,A0002709, 11/02/2016,PCO0268677,6.92,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TRAVIS PERKINS TRADING CO LTD,A0002709, 18/02/2016,HED0268861,5.83,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,TRAVIS PERKINS TRADING CO LTD,A0002709, 04/02/2016,HED0268578,73.1,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 25/02/2016,REG0269005,6.22,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 25/02/2016,REG0268760,23.4,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 11/02/2016,REG0268499,28.5,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 25/02/2016,REG0269004,37,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 11/02/2016,REG0268500,38,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 11/02/2016,REG0268501,38,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 11/02/2016,REG0268498,45.4,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 25/02/2016,REG0268761,47.4,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 11/02/2016,REG0268503,52.5,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,TRAVIS PERKINS TRADING CO LTD,A0002709, 11/02/2016,REG0268504,95.87,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Seminars etc All Costs,46,TRISTAR PRINTERS LTD,A0002731, 11/02/2016,REG0268775,299,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,YORKSHIRE WATER,A0002808, 25/02/2016,HED0269118,30.15,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,YORKSHIRE WATER,A0002808, 25/02/2016,EST0269094,5.6,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Long Service Awards,12,REDACTED - PERSONAL DATA,A0004669, 04/02/2016,PER0268586,415,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,WICKSTEED LEISURE LTD,A0004748, 25/02/2016,PCO0269000,47.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 18/02/2016,EST0268936,48,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 04/02/2016,EST0268599,138.73,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 04/02/2016,EST0268599,165.15,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 25/02/2016,EST0269078,210.6,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 25/02/2016,EST0269078,215.44,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,FAST GLASS GLAZING LIMITED,A0005903, 11/02/2016,HED0268782,98,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,FAST GLASS GLAZING LIMITED,A0005903, 25/02/2016,EST0269077,148,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,FAST GLASS GLAZING LIMITED,A0005903, 25/02/2016,EST0269077,384.56,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARCHAM TREES PLC,A0007884, 25/02/2016,PCO0268996,76,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARCHAM TREES PLC,A0007884, 25/02/2016,PCO0268997,129,N,N/A,N,N/A
Pendle Borough Council,Property Services,Indirect Employee Expenses,Staff Refreshments,12,VENDA VALET (MACHINES) LTD,A0009649, 11/02/2016,EST0268740,216.67,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,VENDA VALET (MACHINES) LTD,A0009649, 18/02/2016,OPS0268805,17,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,20,CPC PROP & GARDENING SERV LTD,A0011770, 04/02/2016,HED0268596,260,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,20,CPC PROP & GARDENING SERV LTD,A0011770, 25/02/2016,ENV0269108,680,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,CPC PROP & GARDENING SERV LTD,A0011770, 11/02/2016,HMR0268693,280,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Capital Grants,B4,HODGE HOUSE RESIDENTS ASSOC,A0011843, 24/02/2016,AAS0269143,14624,Y,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,46,PENDLE LEISURE LTD,A0012961, 11/02/2016,PER0268705,475,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mayoral Expenses,46,PENDLE LEISURE LTD,A0012961, 25/02/2016,DAL0269105,60,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANDSCAPE ENGINEERING LTD,A0013135, 11/02/2016,PCO0268680,960,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,ROYAL MAIL RETAIL,A0015318, 04/02/2016,REG0268613,176.4,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,SPAIN BUILDING & MAINTENANCE,A0015325, 11/02/2016,HMR0268771,912.4,N,N/A,N,152.07
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Office and computer equipment,40,ORCHARD RECYCLING SERVICE,A0015803, 04/02/2016,OPS0268556,1423.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Office and computer equipment,40,ORCHARD RECYCLING SERVICE,A0015803, 11/02/2016,OPS0268649,1675.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,ORCHARD RECYCLING SERVICE,A0015803, 18/02/2016,OPS0268891,1360.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,ORCHARD RECYCLING SERVICE,A0015803, 25/02/2016,OPS0269007,1726.2,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 11/02/2016,HED0268724,-83.03,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 11/02/2016,HED0268721,-29.65,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 11/02/2016,HED0268721,29.65,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 11/02/2016,HED0268724,83.03,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,REDACTED - PERSONAL DATA,A0020031, 04/02/2016,ENV0268617,155,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,WALTON SUMMIT TRUCK  CENTRE LTD,A0020983, 25/02/2016,PCO0269032,20.56,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,WALTON SUMMIT TRUCK  CENTRE LTD,A0020983, 25/02/2016,PCO0269033,29.61,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,WALTON SUMMIT TRUCK  CENTRE LTD,A0020983, 25/02/2016,PCO0269034,89.4,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,KEEP BRITAIN TIDY,A0021088, 25/02/2016,PCO0269018,510,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,EFM Materials,40,KEEP BRITAIN TIDY,A0021088, 25/02/2016,PCO0269018,1500,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,ASPEN VALLEY KENNELS & CATTERY,A0022106, 18/02/2016,OPS0268790,846.78,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,E.ON,A0023073, 11/02/2016,HED0268776,90.17,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,E.ON,A0023073, 11/02/2016,HED0268777,257.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,E.ON,A0023073, 04/02/2016,AAS0268592,17.16,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 18/02/2016,AAS0268927,11.94,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 18/02/2016,AAS0268929,17.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 18/02/2016,AAS0268930,8.92,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 25/02/2016,EST0269091,49.21,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 25/02/2016,EST0269093,0.18,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 11/02/2016,EST0268744,26.67,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ALD AUTOMOTIVES,A0025555, 24/02/2016,AAS0269204,244.87,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,GRADKO INTERNATIONAL LTD,A0025806, 25/02/2016,ENV0269120,221.2,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,WOODSTOCK SIGNS,A0040045, 18/02/2016,PCO0268801,525,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Telephones : Central,45,BRITISH TELECOMMUNICATIONS PLC,A0040210, 04/02/2016,AAS0268589,2309.23,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Emp : Medical Expenses,12,REDACTED - PERSONAL DATA,A0040626, 25/02/2016,PER0269066,415,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,CHOYCE CONTRACTORS LTD,A0040924, 04/02/2016,HED0268522,450,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,CHOYCE CONTRACTORS LTD,A0040924, 04/02/2016,HED0268521,250,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,PENNINE FIRE & SAFETY LTD,A0040931, 18/02/2016,EST0268948,195.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,PENNINE FIRE & SAFETY LTD,A0040931, 18/02/2016,EST0268948,55,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,PENNINE FIRE & SAFETY LTD,A0040931, 18/02/2016,EST0268948,55,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,PENNINE FIRE & SAFETY LTD,A0040931, 18/02/2016,EST0268948,87,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,PENNINE FIRE & SAFETY LTD,A0040931, 18/02/2016,EST0268948,80,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,PENNINE FIRE & SAFETY LTD,A0040931, 18/02/2016,EST0268948,223.6,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,PENNINE FIRE & SAFETY LTD,A0040931, 18/02/2016,EST0268948,285,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,PENNINE FIRE & SAFETY LTD,A0040931, 04/02/2016,EST0268600,1258.85,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Transport Related Expense,Tprt : Repairs : General,31,REDACTED - PERSONAL DATA,A0041674, 11/02/2016,REG0268490,4.99,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C & R WALNE ENGRAVERS,A0042734, 11/02/2016,PCO0268683,32,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C & R WALNE ENGRAVERS,A0042734, 11/02/2016,PCO0268682,42,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,PMC POLYTHENE LTD,A0043215, 11/02/2016,OPS0268654,600,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM : Other Equipment,40,ROBERTSHAWS GARDEN MACHINERY LTD,A0043296, 25/02/2016,REG0268758,70.4,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,OFFICE OF COMMUNICATIONS,A0043419, 18/02/2016,HED0268926,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.22,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.22,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.22,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.22,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.22,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,TERBERG MATEC UK LTD,A0043970, 11/02/2016,OPS0268665,698.22,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,RUSSELL LEISURE LTD,A0044034, 11/02/2016,PCO0268679,99.16,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 18/02/2016,OPS0268903,150,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 18/02/2016,OPS0268903,150,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Paid in the Year,PD,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 11/02/2016,OPS0268651,160,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Paid in the Year,PD,S M SHEPHERD BUILDING CONTRACTORS,A0044037, 11/02/2016,OPS0268651,200,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON UK PLC,A0044040, 11/02/2016,EST0268754,253.69,N,N/A,N,N/A
