Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA Sub Group Label (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Financial Services,,Paid in the Year,PD,REDACTED - PERSONAL DATA,A0090745, 20/04/2016,AAS0270689,500,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Recruitment,12,DBS,A0072958, 18/04/2016,AAS0270683,1538,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,47,DBS,A0072958, 18/04/2016,AAS0270683,616,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 21/04/2016,PCO0270466,17.1,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 21/04/2016,PCO0270466,23,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 21/04/2016,PCO0270466,28.45,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 21/04/2016,PCO0270466,66.24,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,DICK LEIGH,A0001675, 28/04/2016,PCO0270661,44,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0,DLF SEEDS LIMITED,A0090254, 21/04/2016,PCO0270540,1900,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,DONALD HOLDEN,A0063707, 28/04/2016,REG0270699,140,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,DR L R PARKER,A0090282, 07/04/2016,REG0270073,59.95,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,20,DRAIN BUSTERS,A0021656, 21/04/2016,ENV0270561,65,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,DUAL ENERGY DIRECT LIMITED,A0090544, 07/04/2016,AAS0270122,20.15,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,E.ON,A0023073, 14/04/2016,EST0270412,63.79,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,E.ON,A0023073, 14/04/2016,EST0270411,377.01,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 14/04/2016,AAS0270365,4.4,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 07/04/2016,EST0270078,40,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 07/04/2016,EST0270078,49.04,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 28/04/2016,EST0270728,0.18,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Premises Related Expense,Rents,23,E.ON,A0023073, 07/04/2016,DAL0270116,32.02,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,E.ON UK PLC,A0044040, 14/04/2016,AAS0270372,53.79,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON UK PLC,A0044040, 21/04/2016,EST0270507,253.69,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,E.ON UK PLC,A0044040, 14/04/2016,COR0270444,407.67,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,3,EARBY TOWN COUNCIL,A0001004, 28/04/2016,AAS0270752,94920,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Seminars etc All Costs,46,EAST LANCASHIRE NEWSPAPERS LTD,A0001000, 28/04/2016,REG0270711,288.6,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,47,EJS MARKETING,A0090749, 28/04/2016,REG0270702,1200,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,43,ELECTORAL REFORM SERVICES,A0041321, 07/04/2016,DAL0270183,133.25,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ELECTORAL REFORM SERVICES,A0041321, 07/04/2016,DAL0270183,317.75,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,ELITE PLUMBING,A0084584, 07/04/2016,HMR0270011,125,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,47,EMAP LIMITED,A0001039, 18/04/2016,AAS0270910,219,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Seminars etc All Costs,46,EMPTY HOMES NETWORK,A0077493, 07/04/2016,HMR0269946,95,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,40,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,ENV0270778,6.78,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,40,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,ENV0270778,71.8,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,PCO0270460,63.9,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,PCO0270460,129,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,PCO0270460,177.65,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,PCO0270460,265.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,PCO0270659,300.19,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,OPS0270648,11.49,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,OPS0270648,27.48,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270470,33.3,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,OPS0270648,37.28,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270470,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270471,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270471,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,OPS0270648,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,OPS0270648,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,OPS0270648,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270470,38.85,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270471,39.96,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,OPS0270648,48.16,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 28/04/2016,OPS0270648,55.92,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270471,64.04,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270471,64.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270470,76,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 21/04/2016,OPS0270471,405,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,ENVIRONMENT AGENCY,A0003560, 14/04/2016,OPS0270292,7090,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,47,EQUIFAX LIMITED,A0058121, 14/04/2016,AAS0270370,16.9,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Publicity & advertisement,47,EUROMEDIA ASSOCIATES LIMITED,A0007610, 07/04/2016,EST0270083,87.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Publicity & advertisement,47,EUROMEDIA ASSOCIATES LIMITED,A0007610, 07/04/2016,EST0270083,87.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,44,FARRER & CO,A0027034, 01/04/2016,AAS0270017,350,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 07/04/2016,EST0270054,70.69,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 07/04/2016,EST0270054,84.15,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 28/04/2016,EST0270726,37.42,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 28/04/2016,EST0270726,44.1,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 07/04/2016,EST0270059,45,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,20,FAST GLASS GLAZING LIMITED,A0005903, 28/04/2016,EST0270727,105,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,20,FAST GLASS GLAZING LIMITED,A0005903, 28/04/2016,EST0270727,112.86,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,FAST GLASS GLAZING LIMITED,A0005903, 14/04/2016,HED0270204,85,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,FENLAND LEISURE PRODUCTS LIMITED,A0072950, 21/04/2016,PCO0270469,300,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Other Expenses,47,FIDELITI LIMITED,A0052058, 21/04/2016,PER0270529,15.95,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Other Expenses,47,FIDELITI LIMITED,A0052058, 14/04/2016,PER0270377,92.01,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,3,FOULRIDGE PARISH COUNCIL,A0077715, 28/04/2016,AAS0270753,18923,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,47,FOUZIA KIRAN,A0090721, 14/04/2016,REG0270439,582.52,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,FREIGHT TRANSPORT ASSOCIATION,A0001124, 07/04/2016,OPS0269938,42.2,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,FST CONSUMABLES LIMITED,A0000004, 28/04/2016,PCO0270665,45.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,32.13,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,45.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,69.7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,97.64,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,128.55,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,139.14,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,62.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,197.28,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,252.71,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,172.78,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,174.51,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,179.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,240.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,126.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,154.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,159.23,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,225.82,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,150.53,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,202.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,215.64,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,224.17,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,199.82,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,204.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,211.65,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,213.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,119.12,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,140.44,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,160.14,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,185.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,34.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,40.3,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,46.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,49,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,50.86,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,52.6,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,56.29,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,62.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,149.7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,41.91,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,48.77,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,50.78,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,53.25,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,121.43,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,150.23,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,152.42,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,184.61,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,121.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,124.02,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,125.47,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,194.59,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,190.96,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,192.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,193.13,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,250.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,169.77,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,172.07,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,197.21,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,201.86,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,120.13,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,122.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,156.83,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,192.01,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,145.35,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,168.96,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,169.46,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,185.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,64.02,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,109.37,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,140.68,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,153.17,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,64.35,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,97.13,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,110.51,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,114.06,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,37.46,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,38.76,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,57.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,87.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,89.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,97,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,97.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,38.77,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,42.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,44.73,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,76.22,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,47.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,51.1,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,94.69,N,N/A,N,N/A
