Contract ID,Date From,Date To,Review Date,Value,Category,Department,Type,Description,SuppID,Supplier,SupSize,Address 1,Address 2,Address 3,Post Code
C631,04/01/2016,03/01/2018,01/08/2017,7462,Information Communication Technology,Business Improvement,Request For Quotation,Website Speech and Reading Support (Browsealoud),20019122,TEXTHELP LTD,SME,LUCAS EXCHANGE,1 ORCHARD WAY GREYSTONE ROAD,ANTRIM,BT41 2RU
C632,01/12/2015,01/12/2017,01/08/2017,170000,Consultancy,Community Services Directorate,Framework,"Provision of Design and Quality Management Services for the Flood Alleviation Scheme at Northway and Marston, Oxford",20013684,ATKINS LIMITED,SME,ATKINS SHARED SERVICE FACILITY,PO BOX 329 KINGS COURT,CHARLES HASTINGS WAY,WR5 1TX
C634,01/04/2014,31/03/2018,01/01/2018,185425,Facilities & Management Services,Community Services,Request For Quotation,Management and Promotion of Carfax Tower,20012056,CITY SIGHTSEEING,SME,OXFORD RAILWAY STATION,OXFORD,,OX1 1HS
C635,01/09/2015,31/08/2019,01/01/2019,28000,Legal Services,Law & Governance,Framework,Legal Services Framework,20017278,BROWNE JACOBSON LLP,SME,MOWBRAY HOUSE,CASTLE MEADOW ROAD,NOTTINGHAM,NG2 1BJ
C636,01/02/2016,31/01/2018,01/12/2017,17400,Environmental Services,Community Services Directorate,Framework,Biomass pellet supply for Albert House and Cardinal House,20019124,BILLINGTON BIOENERGY LTD,SME,CUNARD BUILDING,LIVERPOOL,,L3 1EL
C645,01/01/2016,31/03/2017,01/01/2017,120000,Information Communication Technology,Business Improvement,Request For Quotation,Provision of Mobile Devices,20006940,BT GLOBAL SERVIES,LGE,81 NEWGATE STREET,LONDON,,EC1A 7AJ
C646,17/09/2015,16/09/2017,01/05/2017,9817.42,Information Communication Technology,Business Improvement,Request For Quotation,Development Appraisal Software,20019157,SHELTON DEVELOPMENT SERVICES LTD,SME,ASTRA HOUSE,THE COMMON,CRANLEIGH,GU6 8RZ
C652,06/11/2015,05/11/2018,01/09/2018,8100,Information Communication Technology,Financial Services,Request For Quotation,Ilatch - Tenancy Checker Software,20018810,INTEC FOR BUSINESS LTD,SME,ASHBY HOUSE,3 DERBYSHIRE ROAD SOUTH,SALE,M33 3JN
C653,11/07/2013,10/07/2017,01/01/2017,22800,Information Communication Technology,Business Improvement,Request For Quotation,Tree Management System,20018060,R & A SOFTWARE SYSTEMS T/A RA INFORM SYSTEMS,SME,RA HOUSE,9-10 THE BRIDGE,BERESFORD WAY,S41 9FG
C655,25/02/2016,30/09/2017,30/09/2017,600000,Environmental Services,Community Services Directorate,Tender,Local Growth Funding for Northway and Marston Flood Alleviation Scheme,20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C656,08/04/2016,07/04/2017,01/01/2017,54000,Facilities & Management Services,Law & Governance,Request For Quotation,Printing & Posting of Poll Cards,20010748,ELECTORAL REFORM SERVICES LTD,LGE,THE ELECTION CENTRE,33 CLARENDON ROAD,LONDON,N8 ONW
C657,08/04/2016,07/04/2017,01/01/2017,24400,Facilities & Management Services,Law & Governance,Request For Quotation,Printing of Ballot Papers,20003799,LYNX DPM LIMITED,SME,AVAD HOUSE,BELVUE ROAD,NORTHOLT,UB5 5HY
C658,24/06/2015,23/06/2018,01/01/2018,67543,Information Communication Technology,Community Services,Framework,Provision of a Leisure Booking Facility for Community Services,20019212,XN LEISURE SYSTEMS LTD,SME,"85D Park Drive,","Milton Park,","Abingdon,",OX14 4RY
C659,01/04/2016,31/03/2019,01/06/2018,99000,Facilities & Management Services,Business Improvement,Tender,Out of Hours Call Handling Service,20010258,ORBIS PROTECT LIMITED,LGE,BEAUFORT HOUSE,CRICKET FIELD ROAD,UXBRIDGE,UB8 1QG
C660,01/01/2015,31/12/2017,01/01/2017,50000,Housing Management,Housing & Property,Request For Quotation,Asset Valuations (Commercial) 2014/15-2016/17,20016567,CARTER JONAS,LGE,43 PRIESTGATE,PETERBOROUGH,,PE1 1AR
C661,01/04/2016,31/03/2017,01/01/2017,32050,Information Communication Technology,Business Improvement,Request For Quotation,Microsoft Office 365 Project,20018919,CORE TECHNOLOGY SYSTEMS,SME,1 ALIE STREET,LONDON,,E1 8DE
C662,01/04/2015,31/03/2018,01/01/2017,1052679,Social Community Care,Housing & Property,Official Journal of the European Union,A Single Homeless Outreach & Assessment Service,20019143,ST MUNGOS,LGE,FLOOR 2,GRIFFIN HOUSE,161 HAMMERSMITH ROAD,W6 8BS
C663,08/05/2015,30/06/2025,08/05/2020,366500,Construction,Direct Services,Tender,"Highway Works and Removal at A40 Barton, Oxford",20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C664,30/10/2015,27/08/2018,01/01/2018,96500,Housing Management,Housing & Property,Request For Quotation,Strategy & Implementation of Lease Renewals,20019171,GREEN & PARTNERS,SME,2 GEE'S COURT,ST CHRISTOPHER PLACE,LONDON,WIU 1JA
C666,25/04/2016,24/04/2017,01/09/2016,49850,Construction,Direct Services,Request For Quotation,Architectural Services for Underhill Circus Regeneration,20002369,RIDGE & PARTNERS LLP,SME,THE COWYARDS,BLENHEIM PARK,OXFORD ROAD,OX20 1QR
C668,01/04/2016,31/03/2017,01/01/2017,18000,Consultancy,Business Improvement,Request For Quotation,iTree Eco Project,20018875,TREECONOMICS,SME,CHAPTER HOUSE,PRIESTHAWES FARM,HALISHAM ROAD,BN26 6QA
C669,25/04/2016,24/04/2019,07/01/2019,1656200,Housing Management,Housing & Property,Official Journal of the European Union,Furnished Tenancy Scheme,20007932,FURNISHED HOMES (UNDERLEY FURNISHINGS) LTD,SME,GREAT WESTERN BUSINESS PARK,ARMSTRONG WAY,YATE,BS37 5NG
C670,13/04/2016,01/04/2017,01/01/2017,16200,Vehicle Management,Community Services,Request For Quotation,Taxi Marshalling Scheme,20016981,SCOPE SECURITY LTD,SME,162 COWLEY ROAD,OXFORD,,OX4 1UE
C673,01/06/2016,31/05/2019,20/05/2017,500000,Construction,Housing & Property,Official Journal of the European Union,Lift Maintenance Contract,20004494,COTSWOLD LIFTS LTD,SME,5 THORPE CLOSE,THORPE WAY INDUSTRIAL ESTATE,BANBURY,OX16 4SW
C674,01/05/2016,30/04/2019,01/01/2018,19230,Information Communication Technology,Financial Services,Request For Quotation,South East Business Portal,20015657,DUE NORTH LIMITED,SME,UNIT 16-17 ENTERPRISE COURT,NELSON INDUSTRIAL ESTATE,CRAMLINGTON,NE23 1LZ
C678,01/05/2016,30/04/2018,01/09/2017,800000,Construction Materials,Direct Services,Framework,Supply of Electrical Materials,20002254,GRAFTON MERCHANTING GB LTD,LGE,"WATLINGTON ROAD, COWLEY, OXFORDSHIRE",,,OX4 6LN
C679,01/06/2016,31/05/2018,01/09/2017,700000,Construction Materials,Direct Services,Framework,Supply of Building Materials,20006342,JEWSON LTD,LGE,"3 LAMARSH ROAD,","OFF BOTLEY ROAD,","OXFORD,",OX2 0HF
C680,01/05/2016,30/04/2018,01/09/2017,400000,Construction Materials,Direct Services,Framework,Supply of Gas Spares,20019236,POWRED HEATING COMPONENTS LTD,SME,"344-346 Cowbridge Road,",East Cardiff,,CF5 1HD
C681,01/06/2016,31/05/2018,01/09/2017,1700000,Construction Materials,Direct Services,Framework,Supply of Plumbing & Heating Materials,20002464,WOLSELEY UK LIMITED,LGE,"BOTLEY WORKS,","NORTH HINKSEY LANE,","BOTLEY,",OX2 0LS
C682,01/06/2016,31/03/2019,01/01/2017,25200,Information Communication Technology,Business Improvement,Request For Quotation,IT Health Checks,20009269,NTA MONITOR LTD,SME,"13-15 Railway Street,","Chatham,",Kent,ME4 4HU
C683,03/06/2016,02/06/2017,01/01/2017,23000,Utilities,Housing & Property,Request For Quotation,Upgrade Electrically Heated Council Homes to Gas Central Heating - Phase 1,20019296,SGN Connections,LGE,"Billing & Credit Department,","PO Box 609,",Horley,RH6 9HJ
C684,02/07/2016,31/03/2020,01/07/2017,130000,Consultancy,Housing & Property,,"Architectural Design, Project Development & Management Services for Museum Development",20018107,PURCELL MILLER TRITTON LLP T/A PURCELL,LGE,3 COLEGATE,NORWICH,NORFOLK,NR3 1BN
C685,02/07/2016,31/03/2020,01/01/2017,22000,Consultancy,Housing & Property,Request For Quotation,Museum Designer for The Redevelopment of The Museum of Oxford,20019294,Simon Leach Design,SME,"United House,","39-41 North Road,",London,N7 9DP
C686,04/07/2016,30/06/2017,01/03/2017,6000,Consultancy,Community Services,Request For Quotation,Production of an HLF Business Plan,20019300,Katie Norgrove T/A Cultural Consulting,SME,"7 Yarningale Road, Kings Heath,",Birmingham,,B14 6LT
C687,04/07/2016,30/06/2017,01/03/2017,3900,Consultancy,Community Services,Request For Quotation,Production of an HLF Management and Maintenance Plan,20019300,Katie Norgrove T/A Cultural Consulting,SME,"7 Yarningale Road, Kings Heath,",Birmingham,,B14 6LT
C688,04/07/2016,31/07/2017,01/03/2016,8000,Consultancy,Community Services,Request For Quotation,Fundraising Support for HLF project,20019304,Marilyn Scott,SME,"13 Beech Drive,","Ripley,",Surrey,GU23 6LG
C689,06/06/2016,31/10/2017,01/08/2017,25000,Consultancy,Community Services,Request For Quotation,Provision of Project Management Services,20019305,BELVEDERE PROJECT SOLUTIONS LLP,SME,4 NARROW LANE,WARLINGHAM,SURREY,CR6 9HY
C691,04/07/2016,30/06/2017,01/03/2017,15200,Consultancy,Community Services,Request For Quotation,Production of an HLF Activity Plan,20017380,NATALIE CHAMBERS,SME,3 CHURCHILL ROAD,CHIPPING NORTON,OXON,OX7 5HR
C692,02/05/2016,31/03/2017,01/01/2017,23854,Consultancy,Community Services,,Event Management and Co-Producing Services for Christmas Light Festival,20016762,IAN NOLAN EVENTS LTD,SME,HURST STREET STUDIOS,50 HURST STREET,OXFORD,OX4 1HD
C693,06/06/2016,02/02/2018,01/12/2017,33400,Consultancy,Community Services,Request For Quotation,Community Engagement Co-ordinator,20019317,NEIL STEVENSON,SME,"20 NORTH STREET,","BANBURY,",OXFORDSHIRE,OX16 3LH
C694,01/09/2016,31/08/2019,01/09/2018,17500000,Human Resources,Business Improvement,Framework,Managed Services for Temporary Agency Resources,20018053,REED SPECIALIST RECRUITMENT LTD,LGE,CALIFORNIA,COOMBE LANE,LONDON,SW20 0BA
C696,01/07/2016,30/06/2017,01/01/2017,23000,Construction,Housing & Property,Request For Quotation,IHS Subscription,20014707,IHS (GLOBAL) LTD,LGE,WILLOUGHBY ROAD,BRACKNELL,BERKSHIRE,RG12 8FB
C699,01/08/2016,31/07/2017,01/04/2016,10000,Health & Safety,OD & Corporate Services Directorate,Request For Quotation,Personal Safety Training Workshops,20016254,CONFLICT RESOLUTION LTD,SME,1 CROSS LANES CLOSE,CHALFONT ST PETER,BUCKS,SL9 0LS
C700,01/04/2016,31/03/2019,01/04/2018,350000,Health & Safety,Housing & Property,Official Journal of the European Union,"Prevention, Risk Management and Control of Legionella and Associated Works",20013614,SMS ENVIRONMENTAL LIMITED,SME,1-3 CHURCH STREET,THEALE,READING,RG7 5BU
C702,06/10/2015,05/10/2019,05/10/2018,4000000,Environmental Services,Direct Services,Official Journal of the European Union,"Management & Treatment of Dry Recyclate - Lot 3: Collection of Dry Recyclate, Onward Transport and Treatment",20007990,VIRIDOR WASTE MANAGEMENT,LGE,PO BOX 237,TAUNTON,SOMERSET,TA1 1QU
C703,06/10/2015,05/10/2019,05/10/2018,400000,Environmental Services,Direct Services,Official Journal of the European Union,Management & Treatment of Dry Recyclate - Lot 2: Provision of Transfer Station,20002077,BIFFA MUNICIPAL LTD,LGE,THIRD FLOOR,THE GATEHOUSE,AYLSEBURY,HP19 8DB
C707,30/08/2016,29/08/2017,29/08/2017,4259.3999999999996,Facilities & Management Services,Business Improvement,Framework,Postal Goods and Services - Digital Mailer,20003547,PITNEY BOWES LTD,LGE,PO BOX 4238,THE PINNACLES,HARLOW,CM19 5BD
C708,01/07/2016,30/07/2018,01/01/2018,54600,Facilities & Management Services,Law & Governance,Request For Quotation,Electoral Canvass Forms Printing,20018754,STEPHEN AUSTIN & SONS LTD,SME,CAXTON HILL,WARE ROAD,HERTFORD,SG13 7LU
C709,01/07/2016,30/06/2018,01/01/2018,18500,Facilities & Management Services,Law & Governance,Request For Quotation,Electoral Letters Printing,20010748,ELECTORAL REFORM SERVICES LTD,LGE,THE ELECTION CENTRE,33 CLARENDON ROAD,LONDON,N8 ONW
C712,11/08/2016,31/03/2017,01/01/2017,50000,Consultancy,Financial Services,Request For Quotation,Agresso consultancy - Harald Schulz,20019355,AQUA BUBBLE LTD T/A CRYSTAL UMBRELLA,SME,UNITUM HOUSE,1 THE CHASE,JOHN TATE ROAD,SG13 7NN
C713,03/10/2016,01/08/2018,01/06/2018,60000,Information Communication Technology,Law & Governance,Request For Quotation,Mobile Canvassing App and Devices 2016-2018,20013927,XPRESS SOFTWARE SOLUTIONS LTD,SME,303 SPERRY WAY,STONEHOUSE BUSINESS PARK,STONEHOUSE,GL10 3UT
C714,01/04/2017,31/03/2022,01/04/2021,456153,Information Communication Technology,Financial Services,Official Journal of the European Union,Corporate Management System - Lot 1 Financial Management System,20008268,UNIT 4 BUSINESS SOFTWARE LTD.,LGE,ST GEORGE HALL,EASTON IN GORDANO,BRISTOL,BS20 0PX
C717,03/10/2016,31/03/2021,01/05/2020,11050,Information Communication Technology,Business Improvement,Framework,Icinger Network Monitoring Support,20018171,SIRIUS CORPORATION LTD,SME,THE COLUMBIA CENTRE,STATION ROAD,BRACKNELL,RG12 1LP
C718,03/10/2016,02/10/2017,01/08/2017,37200,Information Communication Technology,Business Improvement,Framework,Agresso Support Contract (Maternity Cover),20019354,INTEGRA ASSOCIATES,SME,UNITS 7-8 THE COURTYARD,GAULBY LANE,STOUGHTON,LE2 2FL
C720,01/05/2016,01/06/2018,01/06/2018,30000,Consultancy,Housing & Property,Request For Quotation,Architect for Refurbishment Works at Barton Neighbourhood Centre,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C721,12/10/2016,12/10/2017,01/06/2017,5000,Information Communication Technology,Assistant Chief Executive,Request For Quotation,Web Based Data Visibility Tool,20011846,OXFORD CONSULTANTS FOR SOCIAL INCLUSION LTD,SME,BRIGHTON JUNCTION,1A ISETTA SQUARE,35 NEW ENGLAND STREET,BN1 4GQ
C722,01/04/2016,31/03/2017,01/01/2017,54000,Financial Services,Financial Services,Request For Quotation,Bill Payment Collection Services,20013252,THE COOPERATIVE BANK,LGE,PO BOX 101,1 BALLOON STREET,MANCHESTER,M60 4EP
C723,01/01/2017,31/03/2019,01/04/2018,8308.43,Information Communication Technology,Business Improvement,Request For Quotation,Paris XL Print,20009010,DOCUMENT OUTPUT SOLUTIONS LTD,SME,BUILDING 3,CHISWICK PARK,566 CHISWICK HIGH ROAD,W4 5YA
C725,25/10/2016,31/03/2017,01/01/2017,25000,Consultancy,Regeneration & Housing Directorate,Request For Quotation,Oxford Station Business Case,20019379,OXFORD RAIL STRATEGIES LTD,SME,18 LINCOLN ROAD,OXFORD,,OX1 4TB
C726,28/11/2016,27/11/2021,01/01/2018,64841,Facilities & Management Services,Business Improvement,Request For Quotation,Colorwave 700 Printer Solution,20011588,CANON (UK) lTD,LGE,CHATHAM WAY,BRENTWOOD,,CM14 4DZ
C727,02/11/2016,01/01/2018,01/06/2017,60000,Consultancy,Housing & Property,Framework,Cave Street Redevelopment,20002369,RIDGE & PARTNERS LLP,SME,THE COWYARDS,BLENHEIM PARK,OXFORD ROAD,OX20 1QR
C728,16/09/2016,31/10/2017,31/10/2016,75000,Consultancy,Direct Services,Tender,Evaluation Of Future Operating Structures For Oxford City Council's Direct Services (Phase One) and Implementation (Phase Two),20018486,GRANT THORNTON UK LLP,SME,GRANT THORNTON HOUSE,MELTON STREET,LONDON,NW1 2EP
C732,26/10/2016,25/10/2021,25/04/2019,62370,Facilities & Management Services,OD & Corporate Services Directorate,Request For Quotation,Provision of Lone Worker Monitoring Service,20019405,ROCKSURE SYSTEMS LTD,SME,"MOMENTUM HOUSE, CARRERA COURT",CHURCH LANE,DINNINGTON,S25 2RG
C733,01/12/2016,10/04/2017,01/04/2017,36000,Construction,Direct Services,Request For Quotation,Making Improvements to Hinksey Park Watersplash Facility,20011393,USTIGATE,SME,11 MASTHEAD,CAPSTAN COURT,CROSSWAYS BUSINESS PARK,DA12 6QG
C735,01/12/2016,30/11/2018,01/06/2018,11520,Information Communication Technology,Business Improvement,Framework,Intranet Site Maintenance and Support,20018572,AGILE COLLECTIVE LTD,SME,16 STANDINGFORD HOUSE,26 CAVE STREET,OXFORD,OX4 1BA
C736,01/12/2016,30/11/2018,01/06/2018,12000,Information Communication Technology,Business Improvement,Framework,"Support and Maintenance of Three LAMP Servers (Dev, DB and Live)",20018171,SIRIUS CORPORATION LTD,SME,THE COLUMBIA CENTRE,STATION ROAD,BRACKNELL,RG12 1LP
C740,01/04/2017,31/03/2020,01/07/2019,455763.36,Information Communication Technology,Business Improvement,Framework,Microsoft Software License Agreement,20019420,KENT COUNTY SUPPLIES,SME,FINANCE DEPARTMENT HEAD OFFICE,1 ABBEY WOOD ROAD,KINGS HILL,ME19 4YT
C741,01/10/2016,30/09/2020,01/01/2020,300000,Consultancy,Housing & Property,Framework,East Oxford Community Centre Building Services,20013684,ATKINS LIMITED,SME,ATKINS SHARED SERVICE FACILITY,PO BOX 329 KINGS COURT,CHARLES HASTINGS WAY,WR5 1TX
C742,01/03/2017,28/02/2021,01/04/2020,200000,Facilities & Management Services,Business Improvement,Framework,Photocopiers & Multifunctional Products and Services,20018722,SHARP BUSINESS SYSTEMS UK PLC,LGE,NORTHERN HOUSE,MOOR KNOLL LANE,EAST ARDSLEY WAKEFIELD,WF3 2EE
C743,21/12/2016,31/03/2017,31/03/2017,30000,Consultancy,Financial Services,Request For Quotation,Consultancy Services to Support an Agresso Milestone 6 Upgrade,20019354,INTEGRA ASSOCIATES,SME,UNITS 7-8 THE COURTYARD,GAULBY LANE,STOUGHTON,LE2 2FL
C745,01/11/2016,31/10/2019,01/11/2018,54000,Legal Services,Law & Governance,Request For Quotation,Online Legal Research Materials including Westlaw and Practical Law,20012030,THOMSON REUTERS (PROFESSIONAL) UK LTD,SME,SUBSCRIPTIONS DEPARTMENT,19 HATFIELDS,LONDON,SE1 8DJ
C746,09/01/2017,31/03/2017,31/03/2017,61978.59,Construction Materials,Direct Services,Request For Quotation,Supply of Bow Top Fencing,20000253,S. J.  MCBRIDE  LTD.  T/A  WAREFENCE,SME,"UNIT H, VENTURA PARK",BROADSHIRES WAY,CARTERTON,OX18 1AD
C747,15/12/2016,31/03/2017,31/03/2017,29975,Consultancy,Community Services Directorate,Request For Quotation,Oxford Zero Emission Zone Feasibility Study,20017818,RICARDO-AEA LTD,LGE,THE GEMINI BUILDING,FERMI AVENUE,DIDCOT,OX11 0QR
C748,25/10/2016,24/10/2019,01/01/2019,25000,Consultancy,Regeneration & Housing Directorate,Request For Quotation,Oxford Footfall and Sales Data,20019433,MACQUARIE EQUIPMENT FINANCE (UK) LTD,LGE,ROPEMAKER PLACE,28 ROPEMAKER STREET,LONDON,EC2Y 9HD
C754,02/01/2017,31/03/2017,31/03/2017,50028,Sports & Playground Equipment & Maintenance,Direct Services,Request For Quotation,Multi Play Equipment for 2 Playgrounds in Oxford,20013923,SUTCLIFFE PLAY SOUTH WEST,SME,FREELAND BUSINESS PARK,WAREHAM ROAD,LYTCHETT MATRAUERS,BH16 6FH
C755,17/10/2016,16/10/2017,01/07/2017,45333,Consultancy,Planning & Regulatory,Request For Quotation,"Landscape Planning and Design Input, South Oxford Urban Extension",20019457,ENRIRONMENTAL DIMENSION PARTNERSHIP LTD,SME,TITHE BARN,BARNSLEY PARK ESTATE,BARNSLEY,GL7 5EG
C756,25/01/2017,24/01/2018,24/01/2018,24000,Human Resources,Business Improvement,Request For Quotation,Investors in People Assessment,20018486,GRANT THORNTON UK LLP,SME,GRANT THORNTON HOUSE,MELTON STREET,LONDON,NW1 2EP
C757,26/01/2017,25/01/2020,01/09/2019,19800,Consultancy,Financial Services,Request For Quotation,Business Rates Agent Services,20009121,WILKS HEAD & EVE,SME,THIRD FLOOR,NEWLANDS HOUSE,40 BERNERS STREET,W1T 3NA
C758,01/09/2015,31/08/2019,01/01/2019,28000,Legal Services,Law & Governance,Framework,Legal Services Framework,20019166,BERWIN LEIGHTON PAISNER LLP,LGE,ADELAIDE HOUSE,LONDON BRIDGE,LONDON,EC4R 9HA
C759,01/11/2016,01/11/2019,01/01/2019,225000,Vehicle Management,Direct Services,Framework,Suply of Vehicle Tyres,20017042,BANDVULC TRUCK TYRES,SME,GILLARD WAY,LEE MILL IND EST,IVYBRIDGE,PL21 9LN
C760,01/09/2016,31/08/2020,01/01/2020,2600000,Construction,Direct Services,Official Journal of the European Union,Supply of Civil Engineering Plant & Labour,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED,SME,"UNIT 7, SWANNYBROOK FARM",KINGSTON BAGPUIZE,ABINGDON,OX13 5NE
C761,03/02/2017,31/03/2017,31/03/2017,50540.39,Construction,Housing & Property,Request For Quotation,Communal Doors for Friars Wharf and Preachers Lane,20019471,WARRIOR DOORS LTD,SME,UNIT 4,KINGS ROAD INDUSTRIAL ESTATE,,B11 2AX
C762,03/02/2017,31/03/2017,31/03/2017,13205,Construction,Housing & Property,Request For Quotation,Lamarsh Road Pumping Station Upgrade,20012389,PUMPING  SOLUTIONS  (UK)  LTD,SME,10  THE  PARKWAY,SPALDING,,PE11  3EE
C763,17/01/2017,16/01/2018,01/04/2017,66307.86,Utilities,Community Services Directorate,Request For Quotation,Upgrade Electrically Heated Council Homes to Gas Central Heating - Phase 2,20019296,SGN Connections,LGE,"Billing & Credit Department,","PO Box 609,",Horley,RH6 9HJ
C764,15/12/2016,19/12/2017,01/12/2017,30000,Consultancy,Regeneration & Housing Directorate,Request For Quotation,"Project Management, Planning and Delivery Services for The Smart Oxford Competition",20019473,WATERSHED ARTS TRUST LTD,SME,1 CANONS ROAD,BRISTOL,,BS1 3BA
C765,27/01/2017,26/01/2018,01/09/2017,7620,Information Communication Technology,Business Improvement,Request For Quotation,Marketing Data and Software - Mosaic,20009660,EXPERIAN LTD,SME,SIR JOHN PEACE BUILDING,EXPERIAN WAY,NG2 BUSINESS PARK,NG80 1ZZ
C766,01/10/2016,30/09/2017,31/03/2017,84000,Housing Management,Housing & Property,Request For Quotation,Independant Housing Advice,20013694,SHELTER,SME,HEAD OFFICE,88 OLD STREET,LONDON,EC1V 9HU
C767,01/04/2016,30/09/2017,31/05/2017,50000,Social Community Care,Housing & Property,Request For Quotation,Warden Call,20016184,COMMUNITY VOICE LTD,SME,UNIT 17 HARDMANS,BUSINESS CENTRE,NEW HALL HEY RD,BB4 6HH
C768,01/04/2016,31/03/2018,30/09/2017,30000,Social Community Care,Housing & Property,Request For Quotation,Warden Call,20000293,TUNSTALL HEALTHCARE (UK) LIMITED,LGE,WHITLEY LODGE,WHITLEY BRIDGE,YORKSHIRE,DN14 0HR
C769,01/04/2017,31/03/2019,31/05/2018,22000,Facilities & Management Services,Community Services,Request For Quotation,CCTV Maintenance,20014935,COMPUTERISED & DIGITAL SECURITY SYSTEMS LTD,SME,PENBWCH ISAF FARM,PENYCOEDCAE ROAD,PONTYPRIDD,CF37 1PU
C770,09/02/2017,01/05/2017,01/05/2017,24970,Construction Materials,Direct Services,Request For Quotation,Security Steel Door Sets,20006342,JEWSON LTD,LGE,"3 LAMARSH ROAD,","OFF BOTLEY ROAD,","OXFORD,",OX2 0HF
C771,13/02/2017,31/03/2017,31/03/2017,23650,Construction,Direct Services,Request For Quotation,Replacement Roller Shutter Door - Cowley Marsh Depot,20011395,CHERWELL DOORS,SME,MILNER HOUSE,THORPE WAY,BANBURY,OX16 4SP
C772,16/01/2017,31/03/2017,31/03/2017,342196.32,Construction,Direct Services,Tender,Earthworks for Northway & Marston Flood Alleviation Scheme,20019480,DAVID EINIG CONTRACTING LTD,SME,UNIT 1,CHRISTMAS LANE,THAME,OX9 2FY
C773,13/03/2017,12/06/2017,12/06/2017,67778.78,Construction,Direct Services,Request For Quotation,Football Pitch for Northway Flood Scheme,20019478,AGRIPOWER LTD,SME,BROOMFIELD FARM,RIGNALL ROAD,GREAT MISSENDEN,HP16 9PE
C774,15/02/2017,31/03/2017,31/03/2017,6828,Construction,Direct Services,Request For Quotation,Provision of Bow Top Fencing,20019106,AES LTD,SME,UNIT 3 FIELD BARN FARM,"BEENHAM HILL, BEENHAM",READING,RG7 5LT
C775,01/09/2015,31/08/2019,01/01/2019,28000,Legal Services,Law & Governance,Framework,Legal Services Framework,20019488,DENTONS UKMEA LLP,LGE,ONE FLEET PLACE,LONDON,,EC4M 7WS
C776,20/02/2017,19/02/2020,01/09/2018,80000,Horticultural,Direct Services,Request For Quotation,Provision of Floral Planters and Displays,20018778,WINDOWFLOWERS LTD,SME,GROVE ROAD,BURNHAM,SLOUGH,SL1 8DT
C777,20/02/2017,17/02/2020,01/09/2019,35000,Horticultural,Direct Services,Request For Quotation,Provision of Summer Bedding Plants,20009183,FRESH ACRES NURSERIES LTD,SME,YAPTON LANE,WALBERTON,ARUNDEL,BN18 0AS
C778,02/12/2016,01/12/2019,01/01/2019,40191,Information Communication Technology,Financial Services,Request For Quotation,Paris Payments System,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD,LGE,NORTHGATE INFORMATION SOLUTIONS,"PEOPLEBUILDING 2, PEOPLEBUILDING ESTATE","MAYLANDS AVENUE, HEMEL HEMPSTEAD",HP2 4NW
C779,01/09/2016,31/08/2017,01/05/2017,60034.51,Facilities & Management Services,Direct Services,Request For Quotation,Oxpens Car Park Security Services,20002120,OCS GROUP UK LTD T/A CANNON,LGE,NORTHGATE HOUSE,"NORTHGATE, WHITE LUND",MORECAMBE,LA3 3BJ
C780,24/02/2017,31/03/2017,31/03/2017,39710,Construction,Housing & Property,Request For Quotation,Demolition Works to Coppock Close,20009825,MAYLARCH ENVIRONMENTAL LTD,SME,OAKWOOD,OAKWOOD INDUSTRIAL ESTATE,STANTON HARCOURT ROAD,OX29 4TH
C781,26/01/2017,30/06/2017,01/05/2017,50000,Human Resources,Assistant Chief Executive,Request For Quotation,Interim Communications Manager,20016203,PENNA PLC,SME,3RD FLOOR,5 FLEET PLACE,LONDON,EC4M 7RD
C782,01/03/2017,31/12/2017,31/12/2017,15000,Public Transport,Community Services,Request For Quotation,Safeguarding Training for Drivers and Escorts,20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C783,09/01/2017,01/05/2017,01/05/2017,271936.18,Construction,Direct Services,Framework,Construction of 3G pitch at Leys Pools & Leisure Centre,20019490,SUPPORT IN SPORT (UK)LTD,SME,TAVISTOCK WORKS,GLASSON INDUSTRIAL ESTATE,MARYPORT,CA15 8NT
C784,30/01/2017,31/03/2017,01/04/2017,28995,Consultancy,Planning & Regulatory,Framework,Deed of Professional Appointment relating to Project Management Services at South Oxford Science Village,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C786,08/01/2017,08/04/2017,08/04/2017,121448.8,Construction,Housing & Property,Request For Quotation,Demolition of Rose Hill Community Centre,20019509,LAWSON DEMOLITION LTD,SME,STATION YARD,STATION ROAD,SWINDON,SN6 8JL
C787,01/02/2017,31/07/2017,01/07/2017,46500,Consultancy,Housing & Property,Framework,Development Viability Advice - Phase 1,20011405,JONES LANG LASALLE,SME,CITY POINT,29 KINGS STREET,LEEDS,LS1 2HL
