ORGANISATION NAME,EFFECTIVE    DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,02/09/2016,561.98,RESIDENTIAL LONG TERM,V001042397
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,HALF ACRE HOUSE,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042404
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,02/09/2016,520.44,RESIDENTIAL LONG TERM,V001042406
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,02/09/2016,623.3,RESIDENTIAL LONG TERM,V001042407
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042409
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,LEIGHTON HOUSE RETIREMENT HOME LIMITED,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042410
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042411
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,02/09/2016,654.88,RESIDENTIAL LONG TERM,V001042412
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042413
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,02/09/2016,546.86,RESIDENTIAL LONG TERM,V001042414
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,02/09/2016,519.46,RESIDENTIAL LONG TERM,V001042415
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,635.52,NURSING LONG TERM,V001042416
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,02/09/2016,557.24,RESIDENTIAL LONG TERM,V001042417
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,02/09/2016,590.3,RESIDENTIAL LONG TERM,V001042418
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,02/09/2016,579.7,RESIDENTIAL LONG TERM,V001042419
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042420
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,02/09/2016,884.7,RESIDENTIAL LONG TERM,V001042421
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,558.3,RESIDENTIAL LONG TERM,V001042422
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,02/09/2016,623.3,RESIDENTIAL LONG TERM,V001042423
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,02/09/2016,579.56,RESIDENTIAL LONG TERM,V001042424
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,02/09/2016,565.92,RESIDENTIAL LONG TERM,V001042425
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,02/09/2016,542.52,RESIDENTIAL LONG TERM,V001042427
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,02/09/2016,505.26,RESIDENTIAL LONG TERM,V001042428
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,02/09/2016,623.3,RESIDENTIAL LONG TERM,V001042430
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,02/09/2016,573.74,RESIDENTIAL LONG TERM,V001042431
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,02/09/2016,598.12,NURSING LONG TERM,V001042432
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,02/09/2016,582.6,RESIDENTIAL LONG TERM,V001042433
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042434
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,02/09/2016,623.3,RESIDENTIAL LONG TERM,V001042435
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042436
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042437
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,02/09/2016,661.86,RESIDENTIAL LONG TERM,V001042439
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,598.12,NURSING LONG TERM,V001042442
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,02/09/2016,884.7,RESIDENTIAL LONG TERM,V001042445
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,02/09/2016,612.12,RESIDENTIAL LONG TERM,V001042446
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,02/09/2016,513.54,RESIDENTIAL LONG TERM,V001042447
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042449
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,02/09/2016,598.12,RESIDENTIAL LONG TERM,V001042451
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,02/09/2016,598.12,NURSING LONG TERM,V001042453
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,02/09/2016,526.96,NURSING LONG TERM,V001042454
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,02/09/2016,578,RESIDENTIAL LONG TERM,V001042457
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,02/09/2016,578,RESIDENTIAL LONG TERM,V001042458
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,02/09/2016,821.51,RESIDENTIAL LONG TERM,V001042459
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,02/09/2016,695.12,RESIDENTIAL LONG TERM,V001042460
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,02/09/2016,884.7,RESIDENTIAL LONG TERM,V001042462
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,02/09/2016,884.7,RESIDENTIAL LONG TERM,V001042463
ROCHDALE BOROUGH COUNCIL,26/09/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,26/09/2016,3610.22,PRINTING & STATIONERY,V001042470
ROCHDALE BOROUGH COUNCIL,26/09/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,26/09/2016,2682.49,PRINTING & STATIONERY,V001042472
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,01/09/2016,12897.63,HOME CARE - ADULT SERVICES,V001042473
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,CALDERDALE HOMECARE LIMITED,01/09/2016,7453.22,HOME CARE - ADULT SERVICES,V001042476
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,CARE 4 U,01/09/2016,8433.76,HOME CARE - ADULT SERVICES,V001042480
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,CAREWATCH CARE SERVICES LTD,01/09/2016,4576.58,HOME CARE - ADULT SERVICES,V001042481
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY CARE LINE SERVICES,01/09/2016,3985.58,HOME CARE - ADULT SERVICES,V001042482
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,01/09/2016,10142.23,HOME CARE - ADULT SERVICES,V001042484
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,COTTAGE HOMECARE SERVICES,01/09/2016,1942.88,HOME CARE - ADULT SERVICES,V001042485
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,CROSSROADS CARE IN GREATER MANCHESTER,01/09/2016,2936.57,HOME CARE - ADULT SERVICES,V001042486
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,DIRECT HEALTH UK LTD,01/09/2016,4686.53,HOME CARE - ADULT SERVICES,V001042487
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,GRACE LIVE IN CARERS,01/09/2016,2900.38,HOME CARE - ADULT SERVICES,V001042488
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,HOMECARE SUPPORT,01/09/2016,3845.43,HOME CARE - ADULT SERVICES,V001042489
ROCHDALE BOROUGH COUNCIL,26/09/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,26/09/2016,686.04,PRINTING & STATIONERY,V001042490
ROCHDALE BOROUGH COUNCIL,26/09/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,26/09/2016,2415.5,PRINTING & STATIONERY,V001042491
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,HG CARE SERVICES LIMITED,01/09/2016,3359.77,HOME CARE - ADULT SERVICES,V001042492
ROCHDALE BOROUGH COUNCIL,26/09/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,26/09/2016,915.6,PRINTING & STATIONERY,V001042493
ROCHDALE BOROUGH COUNCIL,26/09/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,26/09/2016,1984.17,PRINTING & STATIONERY,V001042494
ROCHDALE BOROUGH COUNCIL,26/09/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,26/09/2016,1961.23,PRINTING & STATIONERY,V001042495
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,HOMECARE4U LTD,01/09/2016,5744.06,HOME CARE - ADULT SERVICES,V001042496
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,THE MEARS GROUP,01/09/2016,1078.05,HOME CARE - ADULT SERVICES,V001042497
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,NEWMARK CARE LTD,01/09/2016,1345.89,HOME CARE - ADULT SERVICES,V001042498
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,PREMIER CARE,01/09/2016,12775.92,HOME CARE - ADULT SERVICES,V001042499
ROCHDALE BOROUGH COUNCIL,26/09/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,26/09/2016,4868.99,POSTAGE,V001042500
ROCHDALE BOROUGH COUNCIL,26/09/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,26/09/2016,786.99,PRINTING & STATIONERY,V001042501
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,675,HOME CARE - CHILDRENS SERVICES,V001042508
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,1543.82,DIRECT PAYMENTS,V001042514
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,765.84,DIRECT PAYMENTS,V001042516
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,905.68,DIRECT PAYMENTS,V001042523
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,621.44,DIRECT PAYMENTS,V001042527
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,504.92,DIRECT PAYMENTS,V001042531
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,2308.84,DIRECT PAYMENTS,V001042542
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,550,DIRECT PAYMENTS,V001042548
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,512.32,DIRECT PAYMENTS,V001042551
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,856.4,DIRECT PAYMENTS,V001042552
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,857.08,HOME CARE - CHILDRENS SERVICES,V001042560
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,1046.31,DIRECT PAYMENTS,V001042564
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,1136.92,HOME CARE - CHILDRENS SERVICES,V001042569
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,552.48,HOME CARE - CHILDRENS SERVICES,V001042570
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,650.12,DIRECT PAYMENTS,V001042571
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,523.32,HOME CARE - CHILDRENS SERVICES,V001042583
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,1455.46,HOME CARE - CHILDRENS SERVICES,V001042584
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,2314.81,HOME CARE - CHILDRENS SERVICES,V001042585
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,1477.54,DIRECT PAYMENTS,V001042586
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02/09/2016,2936.2,HOME CARE - CHILDRENS SERVICES,V001042588
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,SEVACARE,01/09/2016,12874.81,HOME CARE - ADULT SERVICES,V001042589
ROCHDALE BOROUGH COUNCIL,01/09/2016,PHYSICAL DIS & OLDER PEOPLE,SUNSHINE CARE CO-OP,01/09/2016,3334.64,HOME CARE - ADULT SERVICES,V001042590
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,1840.16,DIRECT PAYMENTS,V001042595
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,1116,DIRECT PAYMENTS,V001042596
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,865.28,DIRECT PAYMENTS,V001042597
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,1132,DIRECT PAYMENTS,V001042599
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,1974.04,DIRECT PAYMENTS,V001042600
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,2305.68,DIRECT PAYMENTS,V001042601
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,2782.92,DIRECT PAYMENTS,V001042602
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,1821.64,DIRECT PAYMENTS,V001042603
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,2161.72,DIRECT PAYMENTS,V001042604
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,3627.08,DIRECT PAYMENTS,V001042608
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1451.08,DIRECT PAYMENTS,V001042609
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,4074.68,DIRECT PAYMENTS,V001042610
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1066,DIRECT PAYMENTS,V001042611
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,2868.36,DIRECT PAYMENTS,V001042612
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1096.16,DIRECT PAYMENTS,V001042613
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,963.16,DIRECT PAYMENTS,V001042615
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,2072.56,DIRECT PAYMENTS,V001042616
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,1395.12,DIRECT PAYMENTS,V001042617
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,-664.02,DIRECT PAYMENTS,V001042618
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,879.73,DIRECT PAYMENTS,V001042620
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,628.7,DIRECT PAYMENTS,V001042621
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1235.24,DIRECT PAYMENTS,V001042626
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1730.76,DIRECT PAYMENTS,V001042627
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,650.32,DIRECT PAYMENTS,V001042628
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,649.76,DIRECT PAYMENTS,V001042630
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,791.4,DIRECT PAYMENTS,V001042631
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,730.88,DIRECT PAYMENTS,V001042632
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1701.44,DIRECT PAYMENTS,V001042633
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1095.68,DIRECT PAYMENTS,V001042634
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,600.24,DIRECT PAYMENTS,V001042635
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1985.32,DIRECT PAYMENTS,V001042638
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,2428.6,DIRECT PAYMENTS,V001042639
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,622.96,DIRECT PAYMENTS,V001042640
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,881.88,DIRECT PAYMENTS,V001042641
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,-747.56,DIRECT PAYMENTS,V001042642
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,-1395.44,DIRECT PAYMENTS,V001042643
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,-1395.44,DIRECT PAYMENTS,V001042644
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,2085,DIRECT PAYMENTS,V001042645
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,2085,DIRECT PAYMENTS,V001042646
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,1210.32,DIRECT PAYMENTS,V001042647
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,4918.32,DIRECT PAYMENTS,V001042648
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1717,DIRECT PAYMENTS,V001042650
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,2681.76,DIRECT PAYMENTS,V001042651
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,849.4,DIRECT PAYMENTS,V001042652
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,3454.64,DIRECT PAYMENTS,V001042653
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,548.12,DIRECT PAYMENTS,V001042654
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,1543.76,DIRECT PAYMENTS,V001042657
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,681.96,DIRECT PAYMENTS,V001042658
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,681.96,DIRECT PAYMENTS,V001042659
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,3821,DIRECT PAYMENTS,V001042660
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,3151.6,DIRECT PAYMENTS,V001042662
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,2742.24,DIRECT PAYMENTS,V001042663
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,REDACTED - PERSONAL DATA,02/09/2016,5326.48,DIRECT PAYMENTS,V001042664
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/09/2016,619.12,DIRECT PAYMENTS,V001042665
