Organisation Name,Organisation Code,Contract Reference number,Title of the Agreement,Local authority department responsible,Description of goods and services,Start Date,End Date,Review Date,Extension Period (Years),Contract amount,Irrecoverable VAT,Supplier (Beneficiary) Name,Supplier (Beneficiary Type)  type,Nominated contact point,Pre-contractural process used,OrganisationURI,GeoPointLicencingURL
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exception in place,Food for resale,Leisure and Parks,Confectionary,,,,0,"£18,496.00",£0.00,Pointons,Large Organisation,Stuart Hoddinott,Exception in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Gym Equipment,Leisure and Parks,Supply and service and maintain all equipment in the evolve gym,01/04/2014,,2 years warranty period,0,"£46,029.00",£0.00,Pulse Fitness,SME,Phil Kelly,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Hawksyard landscaping phase 1,Leisure and Parks,to complete groundworks at Hawksyard ,05/01/2015,24/04/2015,,0,"£26,500.00",£0.00,Abode Building ltd,SME,John Smith,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Hawksyard Play,Leisure and Parks,To provide and install play equipment at Hawksyard ,05/01/2015,24/05/2015,,0,"£38,570.00",£0.00,Eibe,SME,John Smith,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Hawksyard Play ,Leisure and Parks,To provide and install play equipment at Hawksyard,05/01/2015,24/05/2015,,0,"£30,725.00",£0.00,Eibe,SME,John Smith,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Lichfield Proms in Beacon Park orchestra,Leisure and Parks,"Orcheatra, music hire and singers",01/04/2015,05/09/2015,n/a,0,"£5,385.00",£0.00,British Police Symphony Orchestra,Registered Charity,Lyn Hammant,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Lichfield Proms in Beacon Park stage,Leisure and Parks,Stage sound and lighting for Proms 2015,01/04/2015,05/09/2015,n/a,0,"£12,396.00",£0.00,The Cloud One Group,Large Organisation,Lyn Hammant,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Tenders,Lichfield Skatepark ,Leisure and Parks,To build a skatepark in Beacon Park,12/12/2013,12/06/2015,,0,"£111,900.00",£0.00,Gravity Skateparks,SME,John Smith,Tenders,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exception in place,Maintenance,Leisure and Parks,Repairs & Maintenance of building and equipment,,,,0,"£12,000.00",£0.00,Beacon Street Garage,SME,Stuart Hoddinott,Exception in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Sole supplier of Scuba leisure management software which was procured through open competition. ,Scuba Leisure System,Leisure and Parks,Leisure bookings system,,,,1,"£21,375.00",£0.00,Delta Computer Services Ltd,SME,Neil Turner,Sole supplier of Scuba leisure management software which was procured through open competition. ,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Stychbrook Park play,Leisure and Parks,To create a play area at Stychbrook Park,05/01/2015,24/05/2015,,0,"£11,396.46",£0.00,Eibe,SME,John Smith,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exception in place,supply of domestic cleaning chemicals and materials & repair to cleaning equipment,Leisure and Parks,supply of domestic cleaning chemicals and materials & repairs to cleaning equipment,,,,0,"£7,980.79",£0.00,KLC Chemicals,SME,Stuart Hoddinott,Exception in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Swimming pool Chemicals,Leisure and Parks,supply of swimming pool chemicals,,,,0,"£6,533.62",£0.00,SIS Chemicals,SME,Stuart Hoddinott,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exception in place,Combined Heat and Power Unit Maintenance,Leisure and Parks ,Maintenance of heat and power unit at BLC,01/02/2015,31/01/2016,31/01/2016,0,"£8,508.00",£0.00,Congenco Limited,SME,Stuart Hoddinott,Exception in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Shared Human Resources System,Personnel,CHRIS 21 Payroll/HR system,01/04/2008,31/03/2018,31/03/2018,0,"£56,000.00",£0.00,Stafford Borough Council,Local Authority,Cathy Pepper,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Business Support,Planning and Development Control,Business Support,01/04/2009,,,0,"£37,670.00",£0.00,Tamworth Borough Council,Local Authority,Craig Jordan,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Covalent Performance Management System,Policy,Annual maintenance of  Covalent performance management system,23/08/2005,,31/10/2015,0,"£5,787.98",£0.00,Covalent Software Limited,Large Organisation,Colin Cooke,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Water Hygiene,Property and Asset Management,Preventative maintenance (Legionella),01/06/2011,01/06/2012,,0,"£5,628.60",£0.00,IWS Intergrated Water Services,Large Organisation,Mark Hooper,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Anite Debtors,Revenues and Benefits,Sundry Debtors System,01/04/2007,,,0,"£48,600.00",£0.00,Northgate Information Solutions UK Limited,Large Organisation,Pat Leybourne,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Revenues & Benefits System,Revenues and Benefits,Revenues & Benefits System,01/04/2007,31/03/2014,,0,"£58,575.99",£0.00,Northgate Information Solutions UK Limited,Large Organisation,Pat Leybourne,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,"Reviewed annually, covered by an exemption",Cesspools and Septic Tank Emptying,Streetscene Services,Cesspools and Septic Tank Emptying,01/04/2008,31/03/2016,,0,"£40,000.00",£0.00,Burntwood Road Sweepers,SME,Gary Brownridge,"Reviewed annually, covered by an exemption",http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,"Reviewed annually, covered by an exemption",Channel Sweeping,Streetscene Services,Channel Sweeping,01/04/2008,31/03/2016,,0,"£57,200.00",£0.00,Burntwood Road Sweepers,SME,Gary Brownridge,"Reviewed annually, covered by an exemption",http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Added onto existing fleet contract upto February 2016,Footway Sweeper,Streetscene Services,Footway Sweeper,22/04/2013,10/02/2016,,0,"£65,000.00",£0.00,Gulliver's Truck Hire Limited,SME,Gary Brownridge,Added onto existing fleet contract upto February 2016,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,"Exemption in place, (work varies annually, not practical to enter into contract situation)",Grounds maintenance operations/property repairs and maintenance,Streetscene Services,Grounds maintenance operations/property repairs and maintenance,,,,0,"£20,000.00",£0.00,Maintenance Installations Services (M.I.S.) Ltd / D L Jones Limited,SME,Gary Brownridge,"Exemption in place, (work varies annually, not practical to enter into contract situation)",http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Contract agreed through Leadership Team and is ongoing,Out of Office Hours Call Monitoring and Employee Tracker,Streetscene Services,Filter and action calls received outside normal office hours,,,,0,"£5,000.00",£0.00,Cannock Chase District Council,Local Authority,Gary Brownridge,Contract agreed through Leadership Team and is ongoing,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exemption in place,"Repairs, maintenance, supplier of parts for grounds maintenance equipment",Streetscene Services,"Repairs, maintenance, supplier of parts for grounds maintenance equipment",,,,0,"£15,000.00",£0.00,C & G Mowers,SME,Gary Brownridge,Exemption in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,"Reviewed annually, covered by an exemption",Skip Hire,Streetscene Services,Skip Hire,,,,1,"£15,000.00",£0.00,Jones Waste Services Limited,SME,Gary Brownridge,"Reviewed annually, covered by an exemption",http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exemption in place,"Supply of mowers, equipment, parts, service and repair",Streetscene Services,"Supply of mowers, equipment, parts, service and repair",,,,0,"£10,000.00",£0.00,Burrows GM Limited,SME,Gary Brownridge,Exemption in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Annual quote for works not a contract,Supply of traffic management and mechanical cleansing of trunk roads,Streetscene Services,Supply of traffic management and mechanical cleansing of trunk roads,,,,0,"£50,000.00",£0.00,Midland Traffic Management,SME,Gary Brownridge,Annual quote for works not a contract,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,EU Tender due in 2015 for start date in February 2016,Vehicle Hire,Streetscene Services,6 x Contract Hire of Refuse /  Recycling vehicles,01/10/2012,09/02/2016,,3,"£869,000.00",£0.00,Gulliver's Truck Hire Limited,SME,Gary Brownridge,EU Tender due in 2015 for start date in February 2016,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,EU Tender due in 2015 for start date in February 2016,Vehicle Hire,Streetscene Services,15 x Contract Hire of Refuse /  Recycling vehicles,09/02/2009,09/02/2016,,0,"£3,000,000.00",£0.00,Go Plant Limited,SME,Gary Brownridge,EU Tender due in 2015 for start date in February 2016,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Car Park Ticket Machines Repairs and Maintenance,Waste Management,Car Park Ticket Machines Repairs and Maintenance,,,,0,"£25,000.00",£0.00,Metric Group Limited,SME,John Roobottom,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Decriminalisation of Parking Enforcement,Waste Management,Decriminalisation of Parking Enforcement,01/03/2009,01/01/2014,,0,"£300,000.00",£0.00,Stoke on Trent CC / APCOA,Local Authority,John Roobottom,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,University Car Park,Waste Management,University Car Park,08/09/2003,,,0,"£24,000.00",£0.00,Staffordshire University,Local Authority,John Roobottom,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Processing of Dry Recyclate,Joint Waste Service,Processing of Dry Recyclate,01/04/2015,31/03/2022,01/04/2020,3,£0.00,£0.00,Biffa Waste Services Limited,Large Organisation,Nigel Harris,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exemption in place,Service level agreement concerning the collection and disposal of Staffordshire Waste and the provision of waste to the Staffordshire County Council W2R plant ,Joint Waste Service,Service level agreement with other Councils,01/09/2009,,,0,£0.00,£0.00,Staffordshire County Council,Local Authority,Nigel Harris,Exemption in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Tenders,Car park cash collection,Stoke on Trent CC / APCOA,Decriminalisation of Parking Enforcement,01/03/2009,01/03/2014,,0,£0.00,£0.00,Stoke on Trent CC / APCOA,Local Authority,John Roobottom,Tenders,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Tenders,Car park pay and display machines,Streetscene Services,Car park pay and display machines,,31/03/2008,,0,£0.00,£0.00,Metric Group Limited,Large Organisation,John Roobottom,Tenders,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Street Name Plate,Streetscene Services,Street Name plate provision and erection,01/03/2010,01/03/2013,,0,£0.00,£0.00,Waste Management,SME,John Roobottom,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
