Customer,Number of Travellers, Total Cost ex VAT ,Travel Class,Ticket Single or Return,Travel Date,Journey Start Point,Journey Finish Point,Air Carrier
Department for Transport,1,£145.90,ECONOMY,Return,10/8/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£131.93,ECONOMY,Return,10/8/2011,LONDON - LGW,BELFAST INTL,EASYJET
Department for Transport,1,£127.93,ECONOMY,Return,10/8/2011,STANSTED,BELFAST INTL,EASYJET
Department for Transport,1,£107.93,ECONOMY,Return,10/8/2011,STANSTED,BELFAST INTL,EASYJET
Department for Transport,1,£46.12,ECONOMY,Return,11/8/2011,STANSTED,BELFAST INTL,EASYJET
Department for Transport,1,£344.82,BUSINESS,Return,12/8/2011,LONDON - LGW,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£280.40,ECONOMY,Return,12/8/2011,LONDON - LGW,AMSTERDAM,BRITISH AIRWAYS
Department for Transport,1,£280.40,ECONOMY,Return,12/8/2011,LONDON - LGW,AMSTERDAM,BRITISH AIRWAYS
Department for Transport,1,£240.90,ECONOMY,Return,12/8/2011,MANCHESTER,EDINBURGH,BRITISH MIDLAND
Department for Transport,1,£213.40,ECONOMY,Single,12/8/2011,FARO,LONDON - LGW,BRITISH AIRWAYS
Department for Transport,1,£184.00,ECONOMY,Return,12/8/2011,LONDON - LHR,EDINBURGH,BRITISH MIDLAND
Department for Transport,1,£152.93,ECONOMY,Return,12/8/2011,STANSTED,EDINBURGH,EASYJET
Department for Transport,1,£464.82,BUSINESS,Return,13/8/2011,LONDON - LGW,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£164.48,ECONOMY,Return,13/8/2011,NORWICH,MANCHESTER,FLYBE
Department for Transport,1,£157.93,ECONOMY,Return,13/8/2011,STANSTED,EDINBURGH,EASYJET
Department for Transport,1,£149.98,ECONOMY,Return,13/8/2011,LONDON - LGW,GUERNSEY,FLYBE
Department for Transport,1,£149.98,ECONOMY,Return,13/8/2011,LONDON - LGW,GUERNSEY,FLYBE
Department for Transport,1,£119.69,ECONOMY,Single,13/8/2011,LONDON - LHR,MANCHESTER,BRITISH MIDLAND
Department for Transport,1,£116.99,ECONOMY,Single,13/8/2011,LONDON - LGW,FARO,MONARCH AIRLINES
Department for Transport,1,£100.00,ECONOMY,Return,13/8/2011,LONDON - LHR,SALT LAKE CITY,BRITISH AIRWAYS
Department for Transport,1,£96.00,ECONOMY,Single,13/8/2011,MANCHESTER,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,£92.57,ECONOMY,Return,13/8/2011,LONDON - LHR,DUBLIN,AER LINGUS
Department for Transport,1,£359.04,ECONOMY,Return,14/8/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£359.04,ECONOMY,Return,14/8/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£359.04,ECONOMY,Return,14/8/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£241.24,ECONOMY,Return,14/8/2011,BIRMINGHAM,EDINBURGH,FLYBE
Department for Transport,1,"£2,086.33",ECONOMY,Return,15/8/2011,LONDON - LHR,LOS ANGELES,VIRGIN ATLANTIC
Department for Transport,1,£152.00,ECONOMY,Return,15/8/2011,LONDON - LGW,GUERNSEY,AURIGNY AIR SERVICES
Department for Transport,1,"£2,086.33",ECONOMY,Return,15/8/2011,LONDON - LHR,LOS ANGELES,VIRGIN ATLANTIC
Department for Transport,1,"£5,429.53",BUSINESS,Return,17/8/2011,LONDON - LHR,LOS ANGELES,BRITISH AIRWAYS
Department for Transport,1,"£5,429.53",BUSINESS,Return,17/8/2011,LONDON - LHR,LOS ANGELES,BRITISH AIRWAYS
Department for Transport,1,£388.23,ECONOMY,Return,17/8/2011,LONDON -CITY,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,"£5,429.53",BUSINESS,Return,17/8/2011,LONDON - LHR,LOS ANGELES,BRITISH AIRWAYS
Department for Transport,1,"£5,429.53",BUSINESS,Return,17/8/2011,LONDON - LHR,LOS ANGELES,BRITISH AIRWAYS
Department for Transport,1,"£2,941.53",BUSINESS,Return,18/8/2011,LONDON - LHR,TORONTO,AIR CANADA
Department for Transport,1,"£2,941.53",BUSINESS,Return,18/8/2011,LONDON - LHR,TORONTO,AIR CANADA
Department for Transport,1,£182.90,ECONOMY,Return,18/8/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,"£2,941.53",BUSINESS,Return,18/8/2011,LONDON - LHR,TORONTO,AIR CANADA
Department for Transport,1,"£2,941.53",BUSINESS,Return,18/8/2011,LONDON - LHR,TORONTO,AIR CANADA
Department for Transport,1,£213.96,ECONOMY,Return,19/8/2011,LONDON - LGW,NEWCASTLE,FLYBE
Department for Transport,1,£169.49,ECONOMY,Single,19/8/2011,LONDON - LGW,NEWCASTLE,FLYBE
Department for Transport,1,£549.10,ECONOMY,Return,20/8/2011,LONDON - LHR,WARSAW,BRITISH AIRWAYS
Department for Transport,1,£391.10,ECONOMY,Return,20/8/2011,LONDON - LHR,WARSAW,BRITISH AIRWAYS
Department for Transport,1,£207.90,BUSINESS,Single,20/8/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£109.50,ECONOMY,Single,20/8/2011,NEWCASTLE,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,£676.30,ECONOMY,Single,21/8/2011,LONDON - LHR,BARCELONA,BRITISH AIRWAYS
Department for Transport,1,£395.82,BUSINESS,Return,21/8/2011,LONDON - LGW,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£140.98,ECONOMY,Return,21/8/2011,LONDON - LGW,ABERDEEN,FLYBE
Department for Transport,1,£314.80,ECONOMY,Return,24/8/2011,LONDON - LHR,MOSCOW,BRITISH AIRWAYS
Department for Transport,1,£258.96,ECONOMY,Return,24/8/2011,LONDON - LGW,NEWCASTLE,FLYBE
Department for Transport,1,£116.94,ECONOMY,Single,24/8/2011,LONDON - LGW,INVERNESS,EASYJET
Department for Transport,1,£277.90,BUSINESS,Return,25/8/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£210.30,ECONOMY,Return,25/8/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£201.90,ECONOMY,Return,25/8/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£130.96,ECONOMY,Return,25/8/2011,EDINBURGH,EAST MIDLANDS,BMI BABY
Department for Transport,1,£66.93,ECONOMY,Return,25/8/2011,BRISTOL,NEWCASTLE,EASYJET
Department for Transport,1,£274.06,ECONOMY,Return,26/8/2011,EDINBURGH,LONDON - LGW,FLYBE
Department for Transport,1,£188.00,ECONOMY,Return,26/8/2011,EDINBURGH,EAST MIDLANDS,BMI BABY
Department for Transport,1,£186.90,ECONOMY,Return,26/8/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£185.17,ECONOMY,Return,26/8/2011,LONDON -CITY,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£129.00,ECONOMY,Single,26/8/2011,EDINBURGH,LONDON - LHR,BRITISH MIDLAND
Department for Transport,1,£118.48,ECONOMY,Single,26/8/2011,INVERNESS,MANCHESTER,FLYBE
Department for Transport,1,£117.93,ECONOMY,Return,26/8/2011,LONDON - LGW,EDINBURGH,EASYJET
Department for Transport,1,£107.92,BUSINESS,Single,26/8/2011,EDINBURGH,LONDON - LGW,BRITISH AIRWAYS
Department for Transport,1,£97.25,ECONOMY,Single,26/8/2011,LONDON -CITY,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£84.00,ECONOMY,Single,26/8/2011,MANCHESTER,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,£79.64,ECONOMY,Single,26/8/2011,LONDON - LGW,EDINBURGH,EASYJET
Department for Transport,1,£58.42,ECONOMY,Single,26/8/2011,EDINBURGH,LONDON -CITY,AIR FRANCE
Department for Transport,1,£383.17,ECONOMY,Return,27/8/2011,LONDON - LGW,INVERNESS,FLYBE
Department for Transport,1,£222.30,ECONOMY,Single,27/8/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£60.00,ECONOMY,Single,27/8/2011,MANCHESTER,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,£59.94,ECONOMY,Single,27/8/2011,ABERDEEN,LONDON - LGW,EASYJET
Department for Transport,1,£13.00,ECONOMY,Single,28/8/2011,MANCHESTER,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,"£1,736.02",ECONOMY,Return,30/8/2011,LONDON - LHR,CAIRO,BRITISH MIDLAND
Department for Transport,1,"£1,736.02",ECONOMY,Return,30/8/2011,LONDON - LHR,CAIRO,BRITISH MIDLAND
Department for Transport,1,£479.28,ECONOMY,Return,1/9/2011,LONDON - LHR,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£295.28,ECONOMY,Return,1/9/2011,LONDON - LHR,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£211.23,ECONOMY,Return,1/9/2011,LONDON -CITY,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£190.17,ECONOMY,Return,1/9/2011,EDINBURGH,LONDON -CITY,BRITISH AIRWAYS
Department for Transport,1,£165.00,ECONOMY,Return,1/9/2011,BIRMINGHAM,EDINBURGH,FLYBE
Department for Transport,1,£85.83,ECONOMY,Single,1/9/2011,LUTON,MADRID,EASYJET
Department for Transport,1,£85.83,ECONOMY,Single,1/9/2011,LUTON,MADRID,EASYJET
Department for Transport,1,£85.83,ECONOMY,Single,1/9/2011,LUTON,MADRID,EASYJET
Department for Transport,1,£85.82,ECONOMY,Single,1/9/2011,LUTON,MADRID,EASYJET
Department for Transport,1,£60.00,ECONOMY,Return,1/9/2011,EDINBURGH,LONDON -CITY,BRITISH AIRWAYS
Department for Transport,1,£11.00,ECONOMY,Return,1/9/2011,EDINBURGH,LONDON -CITY,BRITISH AIRWAYS
Department for Transport,1,£292.70,ECONOMY,Return,2/9/2011,LONDON - LGW,TROMSO,NORWEGIAN AIR SHUTTLE A.
Department for Transport,1,£173.22,ECONOMY,Return,2/9/2011,LONDON - LGW,BELFAST CITY,FLYBE
Department for Transport,1,£142.72,ECONOMY,Return,2/9/2011,EAST MIDLANDS,BELFAST CITY,FLYBE
Department for Transport,1,£81.53,ECONOMY,Single,2/9/2011,EAST MIDLANDS,GLASGOW,BMI BABY
Department for Transport,1,£189.40,ECONOMY,Return,3/9/2011,LONDON - LHR,CATANIA,ALITALIA
Department for Transport,1,£188.88,ECONOMY,Return,3/9/2011,GLASGOW,LONDON - LGW,BRITISH AIRWAYS
Department for Transport,1,£169.30,ECONOMY,Return,4/9/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£157.11,ECONOMY,Single,4/9/2011,GLASGOW,BIRMINGHAM,FLYBE
Department for Transport,1,"£3,322.73",BUSINESS,Return,7/9/2011,LONDON - LHR,CALGARY,AIR CANADA
Department for Transport,1,"£3,322.73",BUSINESS,Return,7/9/2011,LONDON - LHR,CALGARY,AIR CANADA
Department for Transport,1,£257.06,ECONOMY,Return,7/9/2011,SOUTHAMPTON,MANCHESTER,FLYBE
Department for Transport,1,£161.90,ECONOMY,Single,7/9/2011,MANCHESTER,LONDON - LHR,BRITISH MIDLAND
Department for Transport,1,£31.99,ECONOMY,Single,7/9/2011,STANSTED,GDANSK,RYANAIR
Department for Transport,1,"£3,322.73",BUSINESS,Return,7/9/2011,LONDON - LHR,CALGARY,AIR CANADA
Department for Transport,1,"£3,322.73",BUSINESS,Return,7/9/2011,LONDON - LHR,CALGARY,AIR CANADA
Department for Transport,1,£304.30,ECONOMY,Return,8/9/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£161.40,ECONOMY,Return,8/9/2011,LONDON - LHR,STOCKHOLM,SCANDINAVIAN AIRLINES
Department for Transport,1,£153.10,ECONOMY,Single,8/9/2011,GDANSK,LUTON,WIZZAIR
Department for Transport,1,£123.20,ECONOMY,Return,8/9/2011,LONDON - LGW,COPENHAGEN,NORWEGIAN AIR SHUTTLE A.
Department for Transport,1,£56.94,ECONOMY,Single,8/9/2011,LONDON - LGW,EDINBURGH,EASYJET
Department for Transport,1,£215.30,ECONOMY,Single,9/9/2011,LONDON - LHR,MALPENSA,BRITISH AIRWAYS
Department for Transport,1,£215.30,ECONOMY,Single,9/9/2011,LONDON - LHR,MALPENSA,BRITISH AIRWAYS
Department for Transport,1,£215.30,ECONOMY,Single,9/9/2011,LONDON - LHR,MALPENSA,BRITISH AIRWAYS
Department for Transport,1,£155.60,ECONOMY,Return,9/9/2011,LONDON - LGW,JERSEY,BRITISH AIRWAYS
Department for Transport,1,£151.43,ECONOMY,Return,9/9/2011,STANSTED,EDINBURGH,EASYJET
Department for Transport,1,£50.94,ECONOMY,Single,9/9/2011,LONDON - LGW,EDINBURGH,EASYJET
Department for Transport,1,£177.05,ECONOMY,Single,10/9/2011,EDINBURGH,BIRMINGHAM,FLYBE
Department for Transport,1,£129.80,ECONOMY,Return,10/9/2011,LONDON - LGW,AMSTERDAM,BRITISH AIRWAYS
Department for Transport,1,£101.60,ECONOMY,Single,10/9/2011,MALPENSA,LONDON - LHR,BRITISH MIDLAND
Department for Transport,1,£101.60,ECONOMY,Single,10/9/2011,MALPENSA,LONDON - LHR,BRITISH MIDLAND
Department for Transport,1,£101.60,ECONOMY,Single,10/9/2011,MALPENSA,LONDON - LHR,BRITISH MIDLAND
Department for Transport,1,£60.00,ECONOMY,Return,10/9/2011,LONDON - LHR,NEWCASTLE,BRITISH AIRWAYS
Department for Transport,1,"£2,199.19",BUSINESS,Return,11/9/2011,LONDON - LHR,BEIJING,FINNAIR
Department for Transport,1,"£1,831.19",BUSINESS,Return,11/9/2011,LONDON - LHR,BEIJING,FINNAIR
Department for Transport,1,£127.92,ECONOMY,Single,11/9/2011,EDINBURGH,LONDON - LGW,BRITISH AIRWAYS
Department for Transport,1,"£2,199.19",BUSINESS,Return,11/9/2011,LONDON - LHR,BEIJING,FINNAIR
Department for Transport,1,"£1,831.19",BUSINESS,Return,11/9/2011,LONDON - LHR,BEIJING,FINNAIR
Department for Transport,1,£806.43,ECONOMY,Return,12/9/2011,LONDON - LHR,SALT LAKE CITY,BRITISH AIRWAYS
Department for Transport,1,£776.43,ECONOMY,Return,12/9/2011,LONDON - LHR,SALT LAKE CITY,BRITISH AIRWAYS
Department for Transport,1,"£2,180.70",BUSINESS,Return,13/9/2011,LONDON - LHR,HAVANA,IBERIA
Department for Transport,1,"£2,180.70",BUSINESS,Return,13/9/2011,LONDON - LHR,HAVANA,IBERIA
Department for Transport,1,"£1,072.79",BUSINESS,Return,13/9/2011,LONDON - LHR,CAIRO,LUFTHANSA
Department for Transport,1,"£1,072.79",BUSINESS,Return,13/9/2011,LONDON - LHR,CAIRO,LUFTHANSA
Department for Transport,1,£279.71,ECONOMY,Return,13/9/2011,LONDON -CITY,GENEVA,SWISS AIRLINES
Department for Transport,1,£77.00,BUSINESS,Return,13/9/2011,LONDON - LHR,CAIRO,LUFTHANSA
Department for Transport,1,£77.00,BUSINESS,Return,13/9/2011,LONDON - LHR,CAIRO,LUFTHANSA
Department for Transport,1,"£1,072.79",BUSINESS,Return,13/9/2011,LONDON - LHR,CAIRO,LUFTHANSA
Department for Transport,1,"£1,072.79",BUSINESS,Return,13/9/2011,LONDON - LHR,CAIRO,LUFTHANSA
Department for Transport,1,"£2,180.70",BUSINESS,Return,13/9/2011,LONDON - LHR,HAVANA,IBERIA
Department for Transport,1,"£2,180.70",BUSINESS,Return,13/9/2011,LONDON - LHR,HAVANA,IBERIA
Department for Transport,1,"£3,304.03",BUSINESS,Return,14/9/2011,LONDON - LHR,MONTREAL,AIR CANADA
Department for Transport,1,£287.83,ECONOMY,Return,14/9/2011,SOUTHAMPTON,NEWCASTLE,FLYBE
Department for Transport,1,£250.00,ECONOMY,Return,14/9/2011,LONDON - LGW,NUREMBURG,AIR BERLIN
Department for Transport,1,£235.60,ECONOMY,Return,14/9/2011,LONDON - LHR,ZURICH,BRITISH AIRWAYS
Department for Transport,1,£168.99,ECONOMY,Return,14/9/2011,LONDON - LHR,GENEVA,SWISS AIRLINES
Department for Transport,1,£144.89,ECONOMY,Return,14/9/2011,LONDON - LHR,NEWCASTLE,BRITISH AIRWAYS
Department for Transport,1,£134.99,ECONOMY,Return,14/9/2011,LONDON - LHR,GENEVA,SWISS AIRLINES
Department for Transport,1,£126.71,ECONOMY,Return,14/9/2011,STANSTED,KRAKOW,RYANAIR
Department for Transport,1,£117.00,ECONOMY,Return,14/9/2011,EDINBURGH,BIRMINGHAM,FLYBE
Department for Transport,1,£50.99,ECONOMY,Single,14/9/2011,STANSTED,BROMBERG,RYANAIR
Department for Transport,1,£50.99,ECONOMY,Single,14/9/2011,STANSTED,BROMBERG,RYANAIR
Department for Transport,1,£50.99,ECONOMY,Single,14/9/2011,STANSTED,BROMBERG,RYANAIR
Department for Transport,1,£50.99,ECONOMY,Single,14/9/2011,STANSTED,BROMBERG,RYANAIR
Department for Transport,1,£50.99,ECONOMY,Single,14/9/2011,STANSTED,BROMBERG,RYANAIR
Department for Transport,1,£50.99,ECONOMY,Single,14/9/2011,STANSTED,BROMBERG,RYANAIR
Department for Transport,1,"£3,304.03",BUSINESS,Return,14/9/2011,LONDON - LHR,MONTREAL,AIR CANADA
Department for Transport,1,£361.30,ECONOMY,Return,15/9/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£361.30,ECONOMY,Return,15/9/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£156.90,ECONOMY,Return,15/9/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£147.43,ECONOMY,Return,15/9/2011,BRISTOL,GLASGOW,EASYJET
Department for Transport,1,£135.30,ECONOMY,Return,15/9/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£75.48,ECONOMY,Single,15/9/2011,STANSTED,BELFAST CITY,BMI BABY
Department for Transport,1,£58.48,ECONOMY,Single,15/9/2011,BELFAST CITY,EAST MIDLANDS,BMI BABY
Department for Transport,1,£317.50,ECONOMY,Return,16/9/2011,MANCHESTER,GLASGOW,FLYBE
Department for Transport,1,£159.43,ECONOMY,Return,16/9/2011,LUTON,GENEVA,EASYJET
Department for Transport,1,£144.90,ECONOMY,Return,16/9/2011,LONDON - LHR,MALPENSA,BRITISH AIRWAYS
Department for Transport,1,£6.00,ECONOMY,Return,16/9/2011,MANCHESTER,GLASGOW,FLYBE
Department for Transport,1,£564.58,ECONOMY,Return,17/9/2011,SOUTHAMPTON,BENBECULA,FLYBE
Department for Transport,1,£485.28,BUSINESS,Return,17/9/2011,LONDON - LHR,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£278.27,ECONOMY,Return,17/9/2011,LONDON - LGW,GENEVA,EASYJET
Department for Transport,1,£275.68,ECONOMY,Return,17/9/2011,SOUTHAMPTON,MANCHESTER,FLYBE
Department for Transport,1,£203.30,ECONOMY,Return,17/9/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£186.90,ECONOMY,Return,17/9/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£150.93,ECONOMY,Return,17/9/2011,LONDON - LGW,GLASGOW,EASYJET
Department for Transport,1,£89.73,ECONOMY,Single,17/9/2011,GENEVA,LONDON - LGW,EASYJET
Department for Transport,1,£84.94,ECONOMY,Single,17/9/2011,LUTON,GENEVA,EASYJET
Department for Transport,1,£73.65,ECONOMY,Single,17/9/2011,PRESTWICK,DERRY,RYANAIR
Department for Transport,1,£73.65,ECONOMY,Single,17/9/2011,PRESTWICK,DERRY,RYANAIR
Department for Transport,1,£73.65,ECONOMY,Single,17/9/2011,PRESTWICK,DERRY,RYANAIR
Department for Transport,1,£71.94,ECONOMY,Single,17/9/2011,GLASGOW,LUTON,EASYJET
Department for Transport,1,£60.00,ECONOMY,Return,17/9/2011,LONDON - LHR,BRUSSELS,BRITISH AIRWAYS
Department for Transport,1,"£1,292.83",PREMIUM ECONOMY,Return,18/9/2011,LONDON - LHR,TORONTO,AIR CANADA
Department for Transport,1,"£1,292.83",PREMIUM ECONOMY,Return,18/9/2011,LONDON - LHR,TORONTO,AIR CANADA
Department for Transport,1,"£4,586.13",BUSINESS,Return,19/9/2011,LONDON - LHR,BEIJING,BRITISH AIRWAYS
Department for Transport,1,"£4,586.13",BUSINESS,Return,19/9/2011,LONDON - LHR,BEIJING,BRITISH AIRWAYS
Department for Transport,1,"£4,586.13",BUSINESS,Return,19/9/2011,LONDON - LHR,BEIJING,BRITISH AIRWAYS
Department for Transport,1,"£4,586.13",BUSINESS,Return,19/9/2011,LONDON - LHR,BEIJING,BRITISH AIRWAYS
Department for Transport,1,"£4,586.13",BUSINESS,Return,19/9/2011,LONDON - LHR,BEIJING,BRITISH AIRWAYS
Department for Transport,1,"£4,586.13",BUSINESS,Return,19/9/2011,LONDON - LHR,BEIJING,BRITISH AIRWAYS
Department for Transport,1,£295.00,ECONOMY,Return,20/9/2011,LONDON - LHR,GENEVA,BRITISH AIRWAYS
Department for Transport,1,£250.61,ECONOMY,Return,20/9/2011,LONDON -CITY,DUBLIN,AIR FRANCE
Department for Transport,1,£189.81,ECONOMY,Return,20/9/2011,LONDON -CITY,GENEVA,SWISS AIRLINES
Department for Transport,1,£66.94,ECONOMY,Single,20/9/2011,LONDON - LGW,EDINBURGH,EASYJET
Department for Transport,1,"£1,948.43",PREMIUM ECONOMY,Return,21/9/2011,LONDON - LHR,MONTREAL,BRITISH AIRWAYS
Department for Transport,1,£363.17,BUSINESS,Return,21/9/2011,EDINBURGH,LONDON -CITY,BRITISH AIRWAYS
Department for Transport,1,£274.70,ECONOMY,Return,21/9/2011,LONDON - LHR,WARSAW,BRITISH AIRWAYS
Department for Transport,1,£218.51,ECONOMY,Return,21/9/2011,LONDON - LGW,INVERNESS,FLYBE
Department for Transport,1,£215.68,ECONOMY,Return,21/9/2011,SOUTHAMPTON,MANCHESTER,FLYBE
Department for Transport,1,£212.90,FIRST,Single,21/9/2011,TIANJIN,SHANGHAI,CHINA EASTERN AIRLINES
Department for Transport,1,£212.90,FIRST,Single,21/9/2011,TIANJIN,SHANGHAI,CHINA EASTERN AIRLINES
Department for Transport,1,£212.90,FIRST,Single,21/9/2011,TIANJIN,SHANGHAI,CHINA EASTERN AIRLINES
Department for Transport,1,£150.00,ECONOMY,Single,21/9/2011,ABERDEEN,HUMBERSIDE,EASTERN AIRWAYS
Department for Transport,1,£150.00,ECONOMY,Single,21/9/2011,ABERDEEN,HUMBERSIDE,EASTERN AIRWAYS
Department for Transport,1,£146.30,ECONOMY,Return,21/9/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£144.70,ECONOMY,Return,21/9/2011,LONDON - LHR,MALPENSA,BRITISH AIRWAYS
Department for Transport,1,£132.88,ECONOMY,Return,21/9/2011,LONDON - LGW,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£127.82,ECONOMY,Return,21/9/2011,LONDON - LGW,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,"£1,948.43",PREMIUM ECONOMY,Return,21/9/2011,LONDON - LHR,MONTREAL,BRITISH AIRWAYS
Department for Transport,1,£548.80,ECONOMY,Single,22/9/2011,SHANGHAI,TOKYO - NARITA,CHINA EASTERN AIRLINES
Department for Transport,1,£548.80,ECONOMY,Single,22/9/2011,SHANGHAI,TOKYO - NARITA,CHINA EASTERN AIRLINES
Department for Transport,1,£548.80,ECONOMY,Single,22/9/2011,SHANGHAI,TOKYO - NARITA,CHINA EASTERN AIRLINES
Department for Transport,1,£518.02,ECONOMY,Return,22/9/2011,LONDON - LGW,STORNOWAY,BRITISH AIRWAYS
Department for Transport,1,£354.42,ECONOMY,Return,22/9/2011,LONDON - LHR,KIRKWALL,BRITISH AIRWAYS
Department for Transport,1,£67.93,ECONOMY,Return,22/9/2011,LONDON - LGW,BELFAST INTL,EASYJET
Department for Transport,1,£515.00,ECONOMY,Single,23/9/2011,BIRMINGHAM,FRANKFURT,LUFTHANSA
Department for Transport,1,£431.18,ECONOMY,Return,23/9/2011,LONDON - LHR,BELFAST CITY,BRITISH MIDLAND
Department for Transport,1,£363.49,ECONOMY,Return,23/9/2011,LONDON - LHR,COLOGNE,LUFTHANSA
Department for Transport,1,£258.61,ECONOMY,Return,23/9/2011,BIRMINGHAM,BELFAST CITY,FLYBE
Department for Transport,1,£220.90,BUSINESS,Single,23/9/2011,MANCHESTER,LONDON - LHR,BRITISH MIDLAND
Department for Transport,1,£157.68,ECONOMY,Return,23/9/2011,LONDON - LGW,NEWQUAY,FLYBE
Department for Transport,1,£82.70,ECONOMY,Single,23/9/2011,NEWQUAY,LONDON - LGW,FLYBE
Department for Transport,1,£82.70,ECONOMY,Single,23/9/2011,NEWQUAY,LONDON - LGW,FLYBE
Department for Transport,1,£82.70,ECONOMY,Single,23/9/2011,NEWQUAY,LONDON - LGW,FLYBE
Department for Transport,1,£82.70,ECONOMY,Single,23/9/2011,NEWQUAY,LONDON - LGW,FLYBE
Department for Transport,1,£82.70,ECONOMY,Single,23/9/2011,NEWQUAY,LONDON - LGW,FLYBE
Department for Transport,1,£69.84,ECONOMY,Single,23/9/2011,NEWQUAY,LONDON - LGW,FLYBE
Department for Transport,1,£67.48,ECONOMY,Single,23/9/2011,NEWQUAY,LONDON - LGW,FLYBE
Department for Transport,1,£55.99,ECONOMY,Single,23/9/2011,LUTON,GDANSK,WIZZAIR
Department for Transport,1,£4.00,ECONOMY,Return,23/9/2011,LONDON - LHR,NEWCASTLE,BRITISH AIRWAYS
Department for Transport,1,"£1,737.70",BUSINESS,Single,24/9/2011,KANSAI INTERNATIONAL,HONG KONG,CATHAY PACIFIC
Department for Transport,1,"£1,737.70",BUSINESS,Single,24/9/2011,KANSAI INTERNATIONAL,HONG KONG,CATHAY PACIFIC
Department for Transport,1,"£1,737.70",BUSINESS,Single,24/9/2011,KANSAI INTERNATIONAL,HONG KONG,CATHAY PACIFIC
Department for Transport,1,£448.82,BUSINESS,Return,24/9/2011,LONDON - LGW,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£364.82,BUSINESS,Return,24/9/2011,LONDON - LGW,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,"£1,737.70",BUSINESS,Single,24/9/2011,KANSAI INTERNATIONAL,HONG KONG,CATHAY PACIFIC
Department for Transport,1,"£1,737.70",BUSINESS,Single,24/9/2011,KANSAI INTERNATIONAL,HONG KONG,CATHAY PACIFIC
Department for Transport,1,"£1,737.70",BUSINESS,Single,24/9/2011,KANSAI INTERNATIONAL,HONG KONG,CATHAY PACIFIC
Department for Transport,1,£383.04,ECONOMY,Return,25/9/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£383.04,ECONOMY,Return,25/9/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£197.83,ECONOMY,Return,25/9/2011,BIRMINGHAM,EDINBURGH,FLYBE
Department for Transport,1,£82.30,ECONOMY,Single,25/9/2011,GDANSK,STANSTED,RYANAIR
Department for Transport,1,"£2,131.33",PREMIUM ECONOMY,Return,28/9/2011,LONDON - LHR,WASHINGTON,BRITISH AIRWAYS
Department for Transport,1,£594.30,ECONOMY,Single,28/9/2011,MANCHESTER,HELSINKI,FINNAIR
Department for Transport,1,£244.53,ECONOMY,Return,28/9/2011,LONDON - LGW,INVERNESS,FLYBE
