Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Canal & River Trust,"Calder Suite, 1ST Floor No 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",77128747,"C/O Lambert Smith Hampton, Interchange Place, Edmund Street, Birmingham, B3 2TA",5700,Offices and Premises,Listed Building
Hallmark Developments (North West) Limited,"Car Park At Dews Garages Ltd, Northgate, Halifax, HX1 1XJ",68096714,"Fao Mr Graham Healey, York House, 15-17 York Street, Heywood, Lancashire, OL10 4NN",33000,Car Park and Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 4G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628816,"Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",32000,Warehouse And Premises,Qualifying industrial hereditament
Stoneywood Ltd,"Hollins Mill, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",77276732,"Ms Julie Cassidy, Turntable & Boundary Works, Walton Street, Sowerby Bridge, HX6 1AN",51500,Factory and Premises,Qualifying industrial hereditament
Dean Clough Ltd,"Unit G420, Dean Clough Mills, Halifax, HX3 5AX",64784899,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",8700,Offices and Premises,Listed Building
The Northern Lights Projects,"Unit 8A Ground Floor, Park Works, Arnold Street, Halifax, HX1 5JH",65652741,"Raven Street Centre, Raven Street, Halifax, HX1 4NB",9600,Workshop And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite E323, Dean Clough Mills, Halifax, HX3 5AX",65784843,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",5200,Offices,Listed Building
,"(Unofficial Address), 8 Bonegate Road, Brighouse, HD6 1SP",29064706,,5600,Offices And Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Unit 12J, Holdsworth Road, Halifax, HX3 6SW",65344532,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1850,Offices And Premises,Rateable Value below threshold
Kino & Co,"Unit 12H, Holdsworth Road, Halifax, HX3 6SW",65344536,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1750,Offices And Premises,Rateable Value below threshold
Younger Homes [Northern] Ltd,"(Unoffical Address), Arrow Coaches, Mill Royd Street, Brighouse            HD6 1EY",29424733,"Unit 4 Brookfoot Business Park, Brookfoot, Brighouse, HD6 2SD",1125,Land Used For Storage and Premises,Rateable Value below threshold
New Hope Reformed Church,"New Hope Church, Warley Road, Halifax, HX2 0AD",69276710,"F A O Mr David Truswell, Warley Road, Halifax, HX2 0AD",157,Hall And Premises,Empty Property - RV < 15000
Kino & Co,"Unit 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344516,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",5300,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"Norwood Green Mill, Station Road, Norwood Green, Halifax             HX3 8QD",68828701,,24000,Workshop And Premises,Empty Relief - Post 01/04/2008
Selmar Properties Ltd,"19 Alexandra Street, Halifax, HX1 1BS",64056019,"Palatine Court, 84 Palatine Road, Withington, Manchester, M20 3JW",6400,Shop and Premises,Empty Relief - Post 01/04/2008
Environment Agency,"14 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",76088014,"P O Box 797, Newport, NP10 8FZ",1100,Hairdressing Salon and Premises,Rateable Value below threshold
Kino & Co,"Office Hm 3.14, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344542,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",4900,Offices And Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Office Hm 3.15, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344545,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1850,Offices And Premises,Rateable Value below threshold
,"Wakefield Road, Brighouse, HD6 1QH",29608727,,12500,Showroom And Premises,Awaiting occupation
Clay Construction (Huddersfield) Ltd,"Old Town Mill, Wadsworth, Hebden Bridge, HX7 8SW",76420711,"The Barn Wilberlee, Slaithwaite, Huddersfield, West Yorkshire, HD7 5UX",3700,Vehicle Repair Workshop And Premises,Awaiting occupation
Hammerstones Construction Ltd,"Unit 3 Mount Works, Quebec Street, Elland, HX5 9AN",56196741,"Mount Works, Dewsbury Road, Elland, HX5 9AR",17250,Warehouse And Premises,Qualifying industrial hereditament
Hutchinson 3G Uk Ltd,"Telecommunications Mast, Site Ref HD0009 N Vale Mills, Bradford Road, Brighouse            HD6 4DJ",29080753,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",12000,Communication Station and Premises,Unoccupied Land
Heathleigh Ltd,"Unit 9A Woodman Works, South Lane, Elland, HX5 0PA",56220742,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",7700,Warehouse And Premises,Qualifying industrial hereditament
Admiral Taverns Ltd,"Shoulder Of Mutton, Cain Lane, Southowram, Halifax             HX3 9SB",64464702,"Suite H 3, Steam Mill Business Centre, Steam Mill Street, Chester, CH3 5AN",7950,Public House and Premises,Awaiting occupation
Premier Homes Uk Ltd,"70 Commercial Street, Halifax, HX1 2JE",64660070,"5 Longwood Close, Halifax, HX3 0JZ",6500,Office and Premises,Empty Relief - Post 01/04/2008
Urban Phoenix Ltd,"Elmfield House, 50/52 Prescott Street, Halifax, HX1 2QW",68280721,"C/O Damian McLaughlin, Sandy Lane, Oxted, Surrey, RH8 9LU",32250,Offices and Premises,Empty Relief - Post 01/04/2008
Clay Construction (Huddersfield) Ltd,"The Cellar, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420720,"The Barn Wilberlee, Slaithwaite, Huddersfield, West Yorkshire, HD7 5UX",2500,Workshop And Premises,Empty Property - RV < 15000
Clay Construction (Huddersfield) Ltd,"F'Mr W'House At Beard Ents, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420727,"The Barn Wilberlee, Slaithwaite, Huddersfield, West Yorkshire, HD7 5UX",5500,Warehouse And Premises,Listed Building
,"73 Hopwood Lane, Halifax, HX1 4DG",65364073,,3500,Shop and Premises,Empty Relief - Post 01/04/2008
Iredale Investments Ltd,"2 Park Row, Brighouse, HD6 1AB",29456704,"Aire Street, Brighouse, HD6 3RB",12500,Gymnasium And Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Office H M 2.9, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344880,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1075,Office,Awaiting occupation
Dean Clough Ltd,"Office Suites D242 & D244, Dean Clough Mills, Halifax, HX3 5AX",64788855,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",2950,Offices and Premises,Awaiting occupation
,"27B Halifax Road, Hipperholme, Halifax, HX3 8HQ",65232719,,4550,Shop and Premises,Awaiting occupation
,"2 Boston Street, Sowerby Bridge, HX6 1DP",77080002,,2100,Shop and Premises,Rateable Value below threshold
Clay Construction (Huddersfield) Ltd,"Garage 2, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420726,"The Barn Wilberlee, Slaithwaite, Huddersfield, West Yorkshire, HD7 5UX",1975,Store And Premises,Empty Property - RV < 15000
Oakapple Homes [Crossley House] Ltd,"31 Northgate, Halifax, HX1 1UR",68096712,"Oakapple House, 1 John Charles Way, Leeds, LS12 6QA",13000,Shop and Premises,Empty Relief - Post 01/04/2008
Younger Homes (Northern) Ltd,"Garage, Mill Royd Street, Brighouse, HD6 1EY",29424727,"P.O Box 25, Brighouse, HD6 1WR",15250,Garage And Premises,Empty Relief - Post 01/04/2008
Thornber Chicks Ltd,"Unit 4A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",76160801,"Dean Hey Farm, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",7700,Offices and Premises,Awaiting occupation
Halifax Opportunities Trust,"Office 10 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242708,"Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",2125,Offices and Premises,Rateable Value below threshold
Industrials Uk Ltd Partnership,"Unit 2-3, Caldene Busines Park, Burnley Road, Mytholmroyd          HX7 5QJ",76252794,"C/O Ryden Llp, 3rd Floor Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",18500,Showroom And Premises,Awaiting occupation
Setbray Properties Ltd,"Suite 3 Hawkstone House, Valley Road, Hebden Bridge, HX7 7BL",76552775,"Suites 1 & 4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",1675,Offices And Premises,Rateable Value below threshold
Hanson Lane Enterprise Centre Ltd,"Unit 2, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264722,"Hanson Lane, Halifax, HX1 5PG",3400,Workshop And Premises,Qualifying industrial hereditament
,"Stone Chair Inn, 11 Moor End, Mount Tabor, Halifax             HX2 0TX",65840700,,8250,Public House and Premises,Empty Relief - Post 01/04/2008
Setbray Properties Ltd,"(Unofficial Address), Unit 25 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",76560752,"Suites 1 & 4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",2500,Store And Premises,Empty Property - RV < 15000
Eclipse Property (HFX1) Limited,"D Y L Motor Group, Queens Road, Halifax, HX1 3XY",68308800,"C/O Thomas Quinn Accountants, The Station House, Station Road, St Ives, PE27 5BH",77500,Car Showroom And Premises,Empty Relief - Post 01/04/2008
,"79 Catherine Street, Elland, HX5 0JB",56032705,,2950,Shop and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc,"36 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252748,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Listed Building
Pennine Housing 2000 Ltd,"5 Beech Grove, Lightcliffe, Halifax, HX3 8UU",64196005,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",2950,Shop and Premises,Rateable Value below threshold
Dean Clough Ltd,"Unit J1, Dean Clough Industrial Park, Halifax, HX3 5WF",64784790,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",14750,Warehouse And Premises,Listed Building
Pennine Housing 2000 Ltd,"43 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804043,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",1375,Shop and Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 10, Borough Market, Halifax, HX1 1DZ",64288782,"19 Albion Street, Halifax, HX1 1DU",750,Store And Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 31, Borough Market, Halifax, HX1 1DZ",64288803,"19 Albion Street, Halifax, HX1 1DU",240,Store And Premises,Rateable Value below threshold
,"First Floor, 8 Wards End, Halifax, HX1 1BX",69264723,,4650,Offices and Premises,Listed Building
,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",68472715,,1850,Workshop And Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 14, Borough Market, Halifax, HX1 1DZ",64288786,"19 Albion Street, Halifax, HX1 1DU",530,Store And Premises,Listed Building
Calderdale Mbc Markets Manager,"Balcony Store 12, Borough Market, Halifax, HX1 1DZ",64288784,"19 Albion Street, Halifax, HX1 1DU",570,Store And Premises,Listed Building
Brittania Developments Ltd,"Old Lane Dyeworks, Old Lane, Halifax, HX3 6TQ",68132721,"J H Walker House, Calder Road, Ravensthorpe, Dewsbury, WF13 3JS",9200,Warehouse And Premises,Listed Building
Grantham House Properties Ltd,"Unit 5b, Grantham House, Grantham Road, Halifax             HX3 6PL",65192712,"C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",1325,Offices and Premises,Rateable Value below threshold
Roch Valley Homes Ltd,"Rear Hollins Mill, Rochdale Road, Todmorden, OL14 6SJ",78400702,"Orchard Hollow, Shaw Lane, Farnham, Knaresborough, HG5 9JE",5500,Workshop And Premises,Listed Building
,"Pear Street, Halifax, HX1 3UA",68232701,,1000,Garage And Premises,Rateable Value below threshold
Pennine Housing 2000 Ltd,"37/39 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804701,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",2950,Shop and Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 31 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056713,"1st Floor, Clifton House, Birkby Lane, Bailiff Bridge, HD6 4JJ",2000,Store,Rateable Value below threshold
Dean Clough Ltd,"Office Suite G B, Dean Clough Mills, Halifax, HX3 5AX",64784894,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",7600,Store And Premises,Listed Building
Calderbrook Estates Ltd,"Office No 1, Ladyship Industrial Estate, Old Lane, Halifax             HX3 5QN",68132730,"Waterside House, Central Works, Oldham Road, Ripponden, HX6 4DN",1875,Offices and Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite E 145, Dean Clough Mills, Halifax, HX3 5AX",64784842,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",1625,Office,Listed Building
Royds Properties Ltd,"Unit 15 Wellington Mills, Quebec Street, Elland, HX5 9AS",56196738,"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",370,Store,Rateable Value below threshold
,"41 Mount Pellon, Pellon, Halifax, HX2 0EE",65876041,,2325,Workshop And Premises,Rateable Value below threshold
,"Buckland Place, Gibraltar Road, Halifax, HX1 4HJ",65168705,,2075,Vehicle Repair Workshop And Premises,Rateable Value below threshold
,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",78176700,,1750,Workshop And Premises,Rateable Value below threshold
Nestle Uk Ltd,"Bailey Hall Mills, Bailey Hall Road, Halifax, HX3 9XT",64124720,"Fao Viv Guinan, Nestle Rowntree Division, Albion Mills, Halifax, HX3 9XT",35250,Warehouse And Premises,Listed Building
Hutchinson 3G Uk Ltd,"Telecommunication Mast, Site Ref H D 0010, Church Lane, Brighouse            HD6 1DL",29156712,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",12000,Communication Station and Premises,Unoccupied Land
Units To Let [Northern] Ltd,"Container No. 3, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340732,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",200,Steel Container,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D 07, Dean Clough Mills, Halifax, HX3 5AX",64885703,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",3900,Warehouse And Premises,Listed Building
,"Lower Grd Floor & Basement, 354 Pellon Lane, Halifax, HX1 4QD",68236781,,1725,Store And Premises,Rateable Value below threshold
Units To Let [Northern] Ltd,"Unit 17a, Mill House Works, Mill House Lane, Sowerby Bridge      HX6 3LN",77352708,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",405,Store And Premises,Listed Building
The Imperial Crown Hotel Ltd,"Hughes Corporation, 31 Square Road, Halifax, HX1 1QG",68708722,"Corus Hotels Ltd, Rossway Park, Berkhamstead, HP4 3TZ",21750,Public House and Premises,Empty Relief - Post 01/04/2008
Assn Of Islamic Charitable Projects,"Second Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104703,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",12750,Offices and Premises,Listed Building
Swinton Group Ltd,"Lakeside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",65288706,"Attn Andrew Mellor, Swinton House, 6 Great Marlborough Street, Manchester, M1 5SW",24000,Offices and Premises,Empty Relief - Post 01/04/2008
Grantham House Properties Ltd,"Grantham House, Grantham Road, Halifax, HX3 6PL",65192713,"C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",13000,Offices and Premises,Empty Relief - Post 01/04/2008
,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",64184703,,3150,Store And Premises,Empty Relief - Post 01/04/2008
Units To Let [Northern] Ltd,"Unit 11 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340746,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",610,Band Practice Room,Rateable Value below threshold
Calderdale Mbc,"8 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252735,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2850,Shop and Premises,Listed Building
European Food Brokers Ltd,"Atlas Works, Gibbet Street, Halifax, HX1 4DB",65164887,"Chateau Pleck, Darlastan Road, Walsall, West Midlands, WS2 9SQ",79000,Warehouse And Premises,Empty Relief - Post 01/04/2008
C H Property Trustee Quality Course Ltd,"Commercial Mills, Ripponden, Sowerby Bridge, HX6 4EH",77408704,"33 Park Square West, Leeds, LS1 2PF",12000,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"Hollins Mill, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",77276733,,25250,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"Unofficial Address, The Old Fruit Shop, Lane Ends, Wheatley             HX2 8TW",65572700,,1550,Shop and Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 202 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420725,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 302 Third Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420726,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1600,Warehouse And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 104 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212725,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1075,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 8, River Street Business Park, River Street, Brighouse            HD6 1LU",29492735,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1550,Store And Premises,Empty Property - RV < 15000
,"39/41 Crown Street, Halifax, HX1 1HY",64756041,,14500,Shop and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Land & Property Services,"65 Rustic, Piece Hall, Halifax, HX1 1RE",68252717,"Northgate House, Northgate, Halifax, HX1 1UN",2050,Shop and Premises,Listed Building
Calderdale Mbc Land & Property Services,"68 Rustic, Piece Hall, Halifax, HX1 1RE",68252777,"Northgate House, Northgate, Halifax, HX1 1UN",1000,Shop and Premises,Listed Building
Due West Ltd,"First Floor, 4/6/8 Albion Street, Halifax, HX1 1DU",64052004,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",5500,Offices and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Community Services,"3 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252780,"C/O Michael Devereux, Piece Hall Admin Office, Piece Hall, Halifax, HX1 1RE",2800,Shop and Premises,Listed Building
,"Unit 1 Carlton Mills, South Street, Halifax, HX1 2TE",68640700,,950,Store And Premises,Empty Property - RV < 15000
Bizspace Ltd,"The Gatehouse, Unit 22, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628716,"Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",2175,Offices and Premises,Rateable Value below threshold
,"Unit 6, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",65020708,,1425,Garage And Premises,Rateable Value below threshold
Burnley Road Ltd,"Stubley Lane Works, Burnley Road, Todmorden, OL14 7EF",78076897,"P O Box 62, Todmorden, OL14 8WS",3550,Land Used For Storage and Premises,Unoccupied Land
Warmco Space Heating Ltd,"Unit 6 Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212762,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",5200,Warehouse And Premises,Listed Building
Dean Clough Ltd,"Part 4TH Floor F Mill, Dean Clough Mills, Halifax, HX3 5AX",64778797,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",128000,Offices and Premises,Listed Building
Haverley Properties Ltd,"28 Pellon Lane, Halifax, HX1 5SP",68236786,"Long Royd House, Long Royd Road, Triangle, HX6 1NX",2425,Taxi Office And Premises,Empty Property - RV < 15000
,"67 Hanson Lane, Halifax, HX1 5NX",65264067,,6100,Shop and Premises,Empty Relief - Post 01/04/2008
Sowerby Bridge Wharf Ltd,"Grd Flr, Lower Calder House, The Wharf, Sowerby Bridge, HX6 2AG",77124702,"The Wharf, Sowerby Bridge, HX6 2AG",4200,Offices and Premises,Listed Building
,"Bay 6 (Ground Floor), Shay Lane Works, Shay Lane, Halifax              HX3 6SF",68536789,,2200,Workshop And Premises,Empty Property - RV < 15000
,"Harley Mill, Harley Street, Todmorden, OL14 5JE",78208702,,8400,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Mozart House, 34 & 34a Prescott Street, Halifax, HX1 2QW",68280034,,5400,Guest House And Premises,Empty Relief - Post 01/04/2008
Brearley-Greens,"296b Queens Road, Halifax, HX1 4NS",68308732,"12 Horton Street, Halifax, HX1 1PU",2650,Shop and Premises,Rateable Value below threshold
,"Part Basement, 2 Wards End, Halifax, HX1 1DD",69264730,,950,Store And Premises,Rateable Value below threshold
Units To Let [Northern] Ltd,"Unit 17B Mill House Works, Mill House Lane, Triangle, Sowerby Bridge      HX6 3LN",77352736,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",770,Store And Premises,Listed Building
,"1ST Floor Royds House, Birds Royd Lane, Brighouse, HD6 1LQ",29052753,,14500,Offices and Premises,Empty Relief - Post 01/04/2008
Gardner Jorissen Ltd,"Unit 10 No 2 Warehouse, Canal Wharf, Sowerby Bridge, HX6 2AG",77128742,,2250,Shop and Premises,Empty Property - RV < 15000
A T C Properties Ltd,"Suite 2A First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",65100715,"7 Cottage Road, Headingley, Leeds, LS6 4DD",1275,Office,Empty Property - RV < 15000
Binks Vertical Ltd,"Calderbank House, 23 Huddersfield Road, Brighouse, HD6 1LE",29344735,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",5100,Shop and Premises,Empty Relief - Post 01/04/2008
,"30 Waterhouse Street, Halifax, HX1 1UQ",69304030,,6100,Shop and Premises,Empty Relief - Post 01/04/2008
,"Basement, 2 Silver Street, Halifax, HX1 1HS",68580731,,1125,Store And Premises,Listed Building
Tayfield Investments Ltd,"Car Park Adj Sandholme, Sawmill,  Key Sike Lane, Todmorden, OL14 5RF",78100701,"Barclays Bank Chambers, 12 Market Street, Hebden Bridge, HX7 8AD",1400,Car Park and Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D255, Dean Clough, Halifax, HX3 5AX",64784895,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",14000,Offices and Premises,Listed Building
Bizspace Ltd,"Unit 10A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628847,"Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",1550,Office,Rateable Value below threshold
Westfield Properties,"Unit 16B Calder Workshops, Gibbet Street, Halifax, HX1 4JQ",65164847,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1175,Offices and Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unofficial Address, Unit 202 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",610,Office and Premises,Rateable Value below threshold
Bizspace Ltd,"Unit 14C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628780,"Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",1075,Workshop And Premises,Empty Property - RV < 15000
Prudential Assurance Company Ltd,"Unit 9, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752717,"M7 Real Estate, C/O 3rd & 4th Floors, The Monument Building, Monument Street, London, EC3R 8AF",8400,Warehouse And Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 10, Calderdale Business Park, Club Lane, Ovenden             HX2 8AX",64628717,"Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",9600,Offices and Premises,Empty Relief - Post 01/04/2008
F C F M Group Ltd,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276707,"295 Kings Road, London, SW3 5EP",570,Office,Listed Building
C H Property Trustee Bands Capital Limited,"Wainwright Hall, Jepson Lane, Elland, HX5 0PY",56148701,"33 Park Square West, Leeds, West Yorkshire, England, LS1 2PF",4850,Hall And Premises,Empty Relief - Post 01/04/2008
R S Investments Yorkshire Ltd,"Halifax Road, Hipperholme, Halifax, HX3 8ER",65232701,"Thornfield, Leeds Road, Hipperholme, HX3 8NH",1675,Workshop And Premises,Empty Property - RV < 15000
Samuel Smith Ltd,"Colliers Arms, 66 Park Road, Elland, HX5 9HZ",56192712,"The Old Brewery, Tadcaster, LS24 9SB",10250,Public House and Premises,Empty Relief - Post 01/04/2008
Joinery Equipment (Hire) Ltd,"Lever Street, Todmorden, OL14 5QF",78284701,,2475,Store And Premises,Rateable Value below threshold
,"Units At, 32 Charles Street, Elland, HX5 0NF",56040708,,4700,Store and Premises,Empty Relief - Post 01/04/2008
C2 (General Partner Two) Lp,"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626703,,6400,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"R/O 25 Bethel Street, Brighouse, HD6 1JR",29048712,,990,Store And Premises,Rateable Value below threshold
Kino & Co,"12D Holdsworth Road, Holmfield, Halifax, HX3 6SN",65344510,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1975,Offices and Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 1, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",29124719,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",12000,Workshop And Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",65344746,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",670,Office,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 1 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284732,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1725,Store And Premises,Empty Property - RV < 15000
Bizspace Ltd,"Unit 1B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628849,"Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",14250,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"56 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168056,,1875,Shop and Premises,Rateable Value below threshold
Calderdale Mbc Children & Young People's Services,"Lower Ground Floor, Carlton Mill, Wharf Street, Sowerby Bridge      HX6 2AS",77652738,"Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",27750,Offices and Premises,Listed Building
