Organisation Name,EffectiveDate,Service,Supplier Name,paidDate,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LTD,13/03/2015,-699,RESIDENTIAL LONG TERM,V000884857
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LTD,13/03/2015,-699,RESIDENTIAL LONG TERM,V000884858
ROCHDALE BOROUGH COUNCIL,19/03/2015,ECONOMY AND ENVIRONMENT,BURNT TREE GROUP LIMITED,19/03/2015,7986.9,TRANSACTIONS-EXPENDITURE,V000886291
ROCHDALE BOROUGH COUNCIL,19/03/2015,EARLY HELP AND SCHOOLS,BURY COLLEGE,19/03/2015,101684.79,OTHER EST - SEN PROVISION,V000886151
ROCHDALE BOROUGH COUNCIL,19/03/2015,EARLY HELP AND SCHOOLS,BURY COLLEGE,19/03/2015,-4698.4,OTHER EST - SEN PROVISION,V000886156
ROCHDALE BOROUGH COUNCIL,31/03/2015,EARLY HELP AND SCHOOLS,BURY COLLEGE,31/03/2015,101684.79,OTHER EST - SEN PROVISION,V000889395
ROCHDALE BOROUGH COUNCIL,16/03/2015,PROPERTY AND HIGHWAYS,BURY COLLEGE,16/03/2015,1250,TRAINING,V000885265
ROCHDALE BOROUGH COUNCIL,16/03/2015,EARLY HELP AND SCHOOLS,BURY MBC,16/03/2015,75664.5,OTHER EST - SEN PROVISION,V000809961
ROCHDALE BOROUGH COUNCIL,16/03/2015,EARLY HELP AND SCHOOLS,BURY MBC,16/03/2015,-75664.5,OTHER EST - SEN PROVISION,V000885052
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,BURY MBC,13/03/2015,1098.8,PERSONAL BUDGETS - MANAGED,V000883398
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,10/03/2015,3704.4,FOSTER PARENTS BASIC ALLOWANCE,V000881539
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,10/03/2015,3460,FOSTER PARENTS BASIC ALLOWANCE,V000881540
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,10/03/2015,3534,FOSTER PARENTS BASIC ALLOWANCE,V000881542
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,10/03/2015,3645.6,FOSTER PARENTS BASIC ALLOWANCE,V000881543
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,10/03/2015,3427.28,FOSTER PARENTS BASIC ALLOWANCE,V000881544
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,10/03/2015,3519.2,FOSTER PARENTS BASIC ALLOWANCE,V000881545
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,10/03/2015,3519.2,FOSTER PARENTS BASIC ALLOWANCE,V000881546
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,10/03/2015,3704.4,FOSTER PARENTS BASIC ALLOWANCE,V000881547
ROCHDALE BOROUGH COUNCIL,02/03/2015,PROPERTY AND HIGHWAYS,C E S LTD,02/03/2015,11818.89,IMPROVEMENTS-MODERNISATION,V000879792
ROCHDALE BOROUGH COUNCIL,09/03/2015,EARLY HELP AND SCHOOLS,C E S LTD,09/03/2015,5110.38,IMPROVEMENTS-MODERNISATION,V000881406
ROCHDALE BOROUGH COUNCIL,31/03/2015,PROPERTY AND HIGHWAYS,C E S LTD,31/03/2015,12865.21,IMPROVEMENTS-MODERNISATION,V000889440
ROCHDALE BOROUGH COUNCIL,31/03/2015,PROPERTY AND HIGHWAYS,C E S LTD,31/03/2015,2573.04,TRANSACTIONS-EXPENDITURE,V000889440
ROCHDALE BOROUGH COUNCIL,04/03/2015,PHYSICAL DIS & OLDER PEOPLE,CALDERDALE HOMECARE LIMITED,04/03/2015,592.7,HOME CARE,V000880287
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,CALDERDALE HOMECARE LIMITED,11/03/2015,680.83,HOME CARE,V000882052
ROCHDALE BOROUGH COUNCIL,18/03/2015,PHYSICAL DIS & OLDER PEOPLE,CALDERDALE HOMECARE LIMITED,18/03/2015,783,HOME CARE,V000885994
ROCHDALE BOROUGH COUNCIL,25/03/2015,PHYSICAL DIS & OLDER PEOPLE,CALDERDALE HOMECARE LIMITED,25/03/2015,1033.99,HOME CARE,V000887802
ROCHDALE BOROUGH COUNCIL,24/03/2015,PROPERTY AND HIGHWAYS,CALEDONIAN LIFT SERVICES LTD,24/03/2015,21440,IMPROVEMENTS-MODERNISATION,V000887484
ROCHDALE BOROUGH COUNCIL,25/03/2015,ECONOMY AND ENVIRONMENT,CALIBRATION & CONSULTANCY UK LTD,25/03/2015,887.2,TRANSACTIONS-EXPENDITURE,V000885249
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,1591.2,NURSING LONG TERM,V000883368
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,1188.2,RESIDENTIAL LONG TERM,V000883411
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CALTON SYSTEMS LIMITED,13/03/2015,720.28,RESIDENTIAL LONG TERM,V000883415
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,1360.6,RESIDENTIAL LONG TERM,V000883468
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,1360.6,RESIDENTIAL LONG TERM,V000883509
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,1938.84,RESIDENTIAL LONG TERM,V000883520
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,1360.6,RESIDENTIAL LONG TERM,V000883561
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,1680,RESIDENTIAL LONG TERM,V000883565
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,1360.6,RESIDENTIAL LONG TERM,V000883583
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,840,RESIDENTIAL LONG TERM,V000884221
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/03/2015,1184.2,SELF - FUNDING DEFERRED PAYMENTS,V000884029
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CAMBIAN LEARNING DISABILITIES LTD,13/03/2015,11904.2,RESIDENTIAL LONG TERM,V000883641
ROCHDALE BOROUGH COUNCIL,31/03/2015,ECONOMY AND ENVIRONMENT,CANAL & RIVER TRUST,31/03/2015,2000,GRANTS TO THE VOLUNTARY SECTOR,V000889442
ROCHDALE BOROUGH COUNCIL,24/03/2015,CUSTOMERS & CORPORATE SERVICES,CANNONBALL EVENTS,24/03/2015,1500,EVENTS,V000885012
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CANTERBURY CARE HOMES LIMITED,13/03/2015,1376.68,RESIDENTIAL LONG TERM,V000883585
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CANTERBURY CARE HOMES LTD,13/03/2015,1176.92,NURSING LONG TERM,V000883975
ROCHDALE BOROUGH COUNCIL,04/03/2015,PHYSICAL DIS & OLDER PEOPLE,CARE 4 U,04/03/2015,8704.15,HOME CARE,V000880262
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,CARE 4 U,11/03/2015,8593.56,HOME CARE,V000881991
ROCHDALE BOROUGH COUNCIL,18/03/2015,PHYSICAL DIS & OLDER PEOPLE,CARE 4 U,18/03/2015,8913.24,HOME CARE,V000885925
ROCHDALE BOROUGH COUNCIL,25/03/2015,PHYSICAL DIS & OLDER PEOPLE,CARE 4 U,25/03/2015,8609.33,HOME CARE,V000887777
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CARE IN SAFE HANDS HEALTHCARE LIMITED,13/03/2015,7029.4,RESIDENTIAL LONG TERM,V000883598
ROCHDALE BOROUGH COUNCIL,09/03/2015,PHYSICAL DIS & OLDER PEOPLE,CARE QUALITY COMMISSION,09/03/2015,730,FEES / COMMISSION,V000881506
ROCHDALE BOROUGH COUNCIL,09/03/2015,PHYSICAL DIS & OLDER PEOPLE,CARE QUALITY COMMISSION,09/03/2015,1930,FEES / COMMISSION,V000881506
ROCHDALE BOROUGH COUNCIL,09/03/2015,PHYSICAL DIS & OLDER PEOPLE,CARE QUALITY COMMISSION,09/03/2015,2640,FEES / COMMISSION,V000881506
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,06/03/2015,12400,EDB PLACEMENTS,V000874381
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CARE UK LEARNING DISABILITIES SERVICES LTD,13/03/2015,4150,RESIDENTIAL LONG TERM,V000883371
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CARE UK LEARNING DISABILITIES SERVICES LTD,13/03/2015,5025.64,RESIDENTIAL LONG TERM,V000883503
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CARE UK LEARNING DISABILITIES SERVICES LTD,13/03/2015,5546.52,RESIDENTIAL LONG TERM,V000883581
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CARE UK LEARNING DISABILITIES SERVICES LTD,13/03/2015,10880.6,RESIDENTIAL LONG TERM,V000883589
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CAREPORT ADVISORY,13/03/2015,880.92,RESIDENTIAL LONG TERM,V000884527
ROCHDALE BOROUGH COUNCIL,04/03/2015,PHYSICAL DIS & OLDER PEOPLE,CAREWEST NORTHERN LIMITED,04/03/2015,7665.41,HOME CARE,V000880270
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,CAREWEST NORTHERN LIMITED,11/03/2015,7700.83,HOME CARE,V000881992
ROCHDALE BOROUGH COUNCIL,18/03/2015,PHYSICAL DIS & OLDER PEOPLE,CAREWEST NORTHERN LIMITED,18/03/2015,7605.14,HOME CARE,V000885929
ROCHDALE BOROUGH COUNCIL,25/03/2015,PHYSICAL DIS & OLDER PEOPLE,CAREWEST NORTHERN LIMITED,25/03/2015,7658.93,HOME CARE,V000887778
ROCHDALE BOROUGH COUNCIL,02/03/2015,PHYSICAL DIS & OLDER PEOPLE,CAREWEST NORTHERN LIMITED,02/03/2015,10088,SERVICE LEVEL AGREEMENTS,V000879784
ROCHDALE BOROUGH COUNCIL,20/03/2015,PHYSICAL DIS & OLDER PEOPLE,CAREWEST NORTHERN LIMITED,20/03/2015,10088,SERVICE LEVEL AGREEMENTS,V000887177
ROCHDALE BOROUGH COUNCIL,20/03/2015,PHYSICAL DIS & OLDER PEOPLE,CARPET CREATIONS,20/03/2015,549,EQUIPMENT - GENERAL,V000886047
ROCHDALE BOROUGH COUNCIL,04/03/2015,PHYSICAL DIS & OLDER PEOPLE,CASTLEROCK RECRUITMENT GROUP PLC,04/03/2015,3445.42,HOME CARE,V000880272
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,CASTLEROCK RECRUITMENT GROUP PLC,11/03/2015,3154.9,HOME CARE,V000881994
ROCHDALE BOROUGH COUNCIL,18/03/2015,PHYSICAL DIS & OLDER PEOPLE,CASTLEROCK RECRUITMENT GROUP PLC,18/03/2015,3470.04,HOME CARE,V000885930
ROCHDALE BOROUGH COUNCIL,25/03/2015,PHYSICAL DIS & OLDER PEOPLE,CASTLEROCK RECRUITMENT GROUP PLC,25/03/2015,3597.26,HOME CARE,V000887779
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,CASTLETON WROUGHT IRON,11/03/2015,600,ADAPTATIONS,V000882897
ROCHDALE BOROUGH COUNCIL,26/03/2015,CHILDREN’S SOCIAL CARE,CATER WALSH REPORTING LTD,26/03/2015,2160,MEDICAL FEES,V000885738
ROCHDALE BOROUGH COUNCIL,06/03/2015,EARLY HELP AND SCHOOLS,CATHOLIC CHILDRENS RESCUE SOCIETY,06/03/2015,2814.53,PRIVATE CONTRACTORS,V000874463
ROCHDALE BOROUGH COUNCIL,27/03/2015,CUSTOMERS & CORPORATE SERVICES,CDEC LIMITED,27/03/2015,750,PURCHASE OF ICT SOFTWARE,V000887601
ROCHDALE BOROUGH COUNCIL,24/03/2015,CUSTOMERS & CORPORATE SERVICES,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,24/03/2015,6320.7,CHILDRENS POST MORTEMS,V000887528
ROCHDALE BOROUGH COUNCIL,24/03/2015,CUSTOMERS & CORPORATE SERVICES,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,24/03/2015,868,CHILDRENS POST MORTEMS,V000887629
ROCHDALE BOROUGH COUNCIL,24/03/2015,CUSTOMERS & CORPORATE SERVICES,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,24/03/2015,641.16,CHILDRENS POST MORTEMS,V000887630
ROCHDALE BOROUGH COUNCIL,26/03/2015,CUSTOMERS & CORPORATE SERVICES,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,26/03/2015,1635.9,CHILDRENS POST MORTEMS,V000887985
ROCHDALE BOROUGH COUNCIL,26/03/2015,CUSTOMERS & CORPORATE SERVICES,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,26/03/2015,8894.1,CHILDRENS POST MORTEMS,V000887986
ROCHDALE BOROUGH COUNCIL,09/03/2015,PUBLIC HEALTH,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,09/03/2015,1568,PH OTHER CONTRACTS,V000881331
ROCHDALE BOROUGH COUNCIL,19/03/2015,PUBLIC HEALTH,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,19/03/2015,2267,PH OTHER CONTRACTS,V000881332
ROCHDALE BOROUGH COUNCIL,31/03/2015,PUBLIC HEALTH,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,31/03/2015,1387,PH OTHER CONTRACTS,V000889398
ROCHDALE BOROUGH COUNCIL,27/03/2015,ECONOMY AND ENVIRONMENT,CF CORPORATE FINANCE LTD,27/03/2015,823.8,IT EQUIPMENT,V000889087
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,13/03/2015,994.16,NURSING LONG TERM,V000883393
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,13/03/2015,2340.48,NURSING LONG TERM,V000883410
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,13/03/2015,743,NURSING LONG TERM,V000883780
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,13/03/2015,975.8,NURSING LONG TERM,V000884430
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,13/03/2015,1198.32,RESIDENTIAL LONG TERM,V000884505
ROCHDALE BOROUGH COUNCIL,25/03/2015,ECONOMY AND ENVIRONMENT,CHARTERED INSTITUTE ENVIRONMENTAL HEALTH,25/03/2015,700,SERVICES - GENERAL,V000887958
ROCHDALE BOROUGH COUNCIL,17/03/2015,ECONOMY AND ENVIRONMENT,CHARTERED INSTITUTE OF HOUSING,17/03/2015,825,PROFESSIONAL FEES,V000876633
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,CHERISH UK LIMITED,10/03/2015,7199.92,EDB PLACEMENTS,V000881615
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CHERRY GARDEN PROPERTIES LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000883401
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,06/03/2015,2090.33,SERVICE LEVEL AGREEMENTS,V000881186
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,06/03/2015,2022.9,SERVICE LEVEL AGREEMENTS,V000881187
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,06/03/2015,3575.97,SERVICE LEVEL AGREEMENTS,V000881188
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,06/03/2015,1121.13,SERVICE LEVEL AGREEMENTS,V000881189
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,06/03/2015,996.56,SERVICE LEVEL AGREEMENTS,V000881190
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,06/03/2015,606.87,SERVICE LEVEL AGREEMENTS,V000881191
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,06/03/2015,1888.04,SERVICE LEVEL AGREEMENTS,V000881192
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,06/03/2015,2740.54,SERVICE LEVEL AGREEMENTS,V000881194
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,3116.12,VOLUNTARY ASSOCIATIONS,V000885850
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,3092.04,VOLUNTARY ASSOCIATIONS,V000885851
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2624.44,VOLUNTARY ASSOCIATIONS,V000885852
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,937.26,VOLUNTARY ASSOCIATIONS,V000885853
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2952.04,VOLUNTARY ASSOCIATIONS,V000885854
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2952.04,VOLUNTARY ASSOCIATIONS,V000885855
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2875.88,VOLUNTARY ASSOCIATIONS,V000885856
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,3043.88,VOLUNTARY ASSOCIATIONS,V000885857
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2915.92,VOLUNTARY ASSOCIATIONS,V000885858
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2624.44,VOLUNTARY ASSOCIATIONS,V000885859
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,890.32,VOLUNTARY ASSOCIATIONS,V000885860
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2656.92,VOLUNTARY ASSOCIATIONS,V000885862
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2875.88,VOLUNTARY ASSOCIATIONS,V000885863
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2915.92,VOLUNTARY ASSOCIATIONS,V000885868
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2719.92,VOLUNTARY ASSOCIATIONS,V000885869
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2999.92,VOLUNTARY ASSOCIATIONS,V000885870
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,18/03/2015,2876.44,VOLUNTARY ASSOCIATIONS,V000885871
ROCHDALE BOROUGH COUNCIL,12/03/2015,CUSTOMERS & CORPORATE SERVICES,CHILDCARE VOUCHERS LIMITED,12/03/2015,54559.73,TRANSACTIONS-EXPENDITURE,V000881392
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CHOICE LIMITED,13/03/2015,7133.12,RESIDENTIAL LONG TERM,V000883478
ROCHDALE BOROUGH COUNCIL,13/03/2015,PROPERTY AND HIGHWAYS,CHRISTMAS PLUS LTD,13/03/2015,7339.77,CHRISTMAS DECORATIONS,V000881237
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CHURCH WALK HEALTH CARE LTD,13/03/2015,2800.52,RESIDENTIAL LONG TERM,V000884114
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CHURCH WALK HEALTH CARE LTD,13/03/2015,2800.52,RESIDENTIAL LONG TERM,V000884115
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,615.52,INDIVIDUAL SERVICE FUND,V000882478
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,2423.24,INDIVIDUAL SERVICE FUND,V000882496
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,2249.92,INDIVIDUAL SERVICE FUND,V000882497
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,3944.36,INDIVIDUAL SERVICE FUND,V000882530
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,1530.26,LD SUPPORTED LIVING,V000882473
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,2500.76,LD SUPPORTED LIVING,V000882476
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,2299.44,LD SUPPORTED LIVING,V000882481
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,1436.08,LD SUPPORTED LIVING,V000882483
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,3684.38,LD SUPPORTED LIVING,V000882514
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,1745.58,LD SUPPORTED LIVING,V000882529
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,1295.04,LD SUPPORTED LIVING,V000882531
ROCHDALE BOROUGH COUNCIL,20/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,20/03/2015,7007,LD SUPPORTED LIVING,V000886960
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,1148.4,NURSING LONG TERM,V000884377
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,1238,PERSONAL BUDGETS - MANAGED,V000884345
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,792.32,PERSONAL BUDGETS - MANAGED,V000884595
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,1071.76,RESIDENTIAL LONG TERM,V000884419
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,CIC GROUP EACHSTEP BLACKLEY,13/03/2015,1834.6,RESIDENTIAL LONG TERM,V000884625
ROCHDALE BOROUGH COUNCIL,25/03/2015,FINANCE SERVICES,CIPFA BUSINESS LIMITED,25/03/2015,5450,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000887811
ROCHDALE BOROUGH COUNCIL,18/03/2015,FINANCE SERVICES,CIPFA BUSINESS LIMITED,18/03/2015,3920,TRAINING-NON QUALIFICATION,V000881330
ROCHDALE BOROUGH COUNCIL,19/03/2015,FINANCE SERVICES,CIPFA BUSINESS LIMITED,19/03/2015,6035,TRAINING-NON QUALIFICATION,V000883236
ROCHDALE BOROUGH COUNCIL,27/03/2015,FINANCE SERVICES,CIPFA BUSINESS LIMITED,27/03/2015,2540,TRAINING-NON QUALIFICATION,V000886550
ROCHDALE BOROUGH COUNCIL,19/03/2015,CUSTOMERS & CORPORATE SERVICES,CIVICA UK LIMITED,19/03/2015,758.23,PROFESSIONAL FEES,V000886175
