Organisation Name,Effective Date,Service,Supplier Name,Paid Date,Net Amount (£),Purpose,Transaction Number
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3320.31,LD SUPPORTED LIVING,V001004684
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3320.31,LD SUPPORTED LIVING,V001004685
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4656.54,LD SUPPORTED LIVING,V001004686
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3579.72,INDIVIDUAL SERVICE FUND,V001004687
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,2971.15,LD SUPPORTED LIVING,V001004688
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,5502.91,LD SUPPORTED LIVING,V001004689
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,2870.14,LD SUPPORTED LIVING,V001004690
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,6587,LD SUPPORTED LIVING,V001004691
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,06/05/2016,3666,INDIVIDUAL SERVICE FUND,V001004692
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,06/05/2016,1558.68,INDIVIDUAL SERVICE FUND,V001004693
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3700.44,INDIVIDUAL SERVICE FUND,V001004694
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3592.96,LD SUPPORTED LIVING,V001004695
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4153.44,INDIVIDUAL SERVICE FUND,V001004696
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4193.12,INDIVIDUAL SERVICE FUND,V001004697
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,5701.36,LD SUPPORTED LIVING,V001004698
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,5900.16,LD SUPPORTED LIVING,V001004699
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,1282.88,INDIVIDUAL SERVICE FUND,V001004700
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3875.97,LD SUPPORTED LIVING,V001004701
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004702
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004703
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004704
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004705
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004706
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.42,SUPPORTED LIVING,V001004707
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004708
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004709
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004710
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004711
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004712
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004713
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004714
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004715
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004716
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004717
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004718
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004719
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-3532.41,SUPPORTED LIVING,V001004720
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3321.09,INDIVIDUAL SERVICE FUND,V001004722
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004723
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004724
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004725
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004726
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004727
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004728
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004729
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004730
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004731
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004732
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004733
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004734
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004735
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004736
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004737
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004738
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004739
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004740
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4428.12,INDIVIDUAL SERVICE FUND,V001004741
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,2724.96,INDIVIDUAL SERVICE FUND,V001004742
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,5265.12,LD SUPPORTED LIVING,V001004743
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-822.38,INDIVIDUAL SERVICE FUND,V001004744
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-991.48,INDIVIDUAL SERVICE FUND,V001004745
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-991.48,INDIVIDUAL SERVICE FUND,V001004746
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,29/04/2016,-991.48,INDIVIDUAL SERVICE FUND,V001004747
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3743.32,INDIVIDUAL SERVICE FUND,V001004748
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4563.6,INDIVIDUAL SERVICE FUND,V001004749
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3849.51,LD SUPPORTED LIVING,V001004750
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,3849.51,LD SUPPORTED LIVING,V001004751
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,4349.6,INDIVIDUAL SERVICE FUND,V001004752
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,06/05/2016,2314,INDIVIDUAL SERVICE FUND,V001004753
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,3287,INDIVIDUAL SERVICE FUND,V001004754
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,3742.4,INDIVIDUAL SERVICE FUND,V001004755
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,2654.48,INDIVIDUAL SERVICE FUND,V001004756
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,2654.48,INDIVIDUAL SERVICE FUND,V001004757
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,11634,LD SUPPORTED LIVING,V001004758
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,960.72,INDIVIDUAL SERVICE FUND,V001004759
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,2772.24,INDIVIDUAL SERVICE FUND,V001004760
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,WELLESLEY HOUSE,06/05/2016,8856.96,LD SUPPORTED LIVING,V001004761
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,06/05/2016,1906.76,INDIVIDUAL SERVICE FUND,V001004762
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,06/05/2016,884,INDIVIDUAL SERVICE FUND,V001004763
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,2676.25,LD SUPPORTED LIVING,V001004766
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,2802.76,INDIVIDUAL SERVICE FUND,V001004767
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,3005.16,INDIVIDUAL SERVICE FUND,V001004768
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,3915.95,LD SUPPORTED LIVING,V001004769
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,4741.75,LD SUPPORTED LIVING,V001004770
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,06/05/2016,5715.8,LD SUPPORTED LIVING,V001004771
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,1174.8,INDIVIDUAL SERVICE FUND,V001004772
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,1174.8,INDIVIDUAL SERVICE FUND,V001004773
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,2617.44,INDIVIDUAL SERVICE FUND,V001004774
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3537.6,INDIVIDUAL SERVICE FUND,V001004775
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3168,INDIVIDUAL SERVICE FUND,V001004776
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3911.04,INDIVIDUAL SERVICE FUND,V001004777
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3383.04,INDIVIDUAL SERVICE FUND,V001004779
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3552.24,INDIVIDUAL SERVICE FUND,V001004782
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,711.2,INDIVIDUAL SERVICE FUND,V001004783
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,571.48,INDIVIDUAL SERVICE FUND,V001004784
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,06/05/2016,6223,INDIVIDUAL SERVICE FUND,V001004785
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,4157.72,INDIVIDUAL SERVICE FUND,V001004786
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,1860.92,INDIVIDUAL SERVICE FUND,V001004787
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,4597.44,INDIVIDUAL SERVICE FUND,V001004788
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,7074.36,INDIVIDUAL SERVICE FUND,V001004789
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,11640.72,INDIVIDUAL SERVICE FUND,V001004790
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3127.56,INDIVIDUAL SERVICE FUND,V001004791
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,4077.96,INDIVIDUAL SERVICE FUND,V001004792
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,6466.32,INDIVIDUAL SERVICE FUND,V001004793
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,06/05/2016,1074.52,LD SUPPORTED LIVING,V001004794
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,1807.56,INDIVIDUAL SERVICE FUND,V001004796
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,2155.44,INDIVIDUAL SERVICE FUND,V001004799
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,558.8,INDIVIDUAL SERVICE FUND,V001004800
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3805.44,INDIVIDUAL SERVICE FUND,V001004801
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,4666.64,INDIVIDUAL SERVICE FUND,V001004802
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3805.44,INDIVIDUAL SERVICE FUND,V001004803
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,5112.24,INDIVIDUAL SERVICE FUND,V001004804
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,5798.64,INDIVIDUAL SERVICE FUND,V001004805
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,5957.04,INDIVIDUAL SERVICE FUND,V001004806
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,1003.2,INDIVIDUAL SERVICE FUND,V001004807
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,7057.08,INDIVIDUAL SERVICE FUND,V001004808
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3277.44,INDIVIDUAL SERVICE FUND,V001004809
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,5728.36,INDIVIDUAL SERVICE FUND,V001004810
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,4685.16,INDIVIDUAL SERVICE FUND,V001004811
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,3699.84,INDIVIDUAL SERVICE FUND,V001004812
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,4227.84,INDIVIDUAL SERVICE FUND,V001004813
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,06/05/2016,2357.72,INDIVIDUAL SERVICE FUND,V001004814
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,1468.53,LD SUPPORTED LIVING,V001004815
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,1971.28,INDIVIDUAL SERVICE FUND,V001004817
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,708.72,INDIVIDUAL SERVICE FUND,V001004818
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,06/05/2016,2975.56,INDIVIDUAL SERVICE FUND,V001004819
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,859.96,INDIVIDUAL SERVICE FUND,V001004820
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,06/05/2016,2121,LD SUPPORTED LIVING,V001004821
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,583.84,INDIVIDUAL SERVICE FUND,V001004822
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,2138.12,INDIVIDUAL SERVICE FUND,V001004823
Rochdale Borough Council,29/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,29/04/2016,-2019.6,INDIVIDUAL SERVICE FUND,V001004824
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,1900.8,INDIVIDUAL SERVICE FUND,V001004825
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,2534.4,INDIVIDUAL SERVICE FUND,V001004826
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,06/05/2016,4944,INDIVIDUAL SERVICE FUND,V001004827
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,06/05/2016,1946.2,INDIVIDUAL SERVICE FUND,V001004828
Rochdale Borough Council,06/05/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,06/05/2016,880,INDIVIDUAL SERVICE FUND,V001004829
Rochdale Borough Council,06/05/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,06/05/2016,532,INDIVIDUAL SERVICE FUND,V001004830
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,533.08,INDIVIDUAL SERVICE FUND,V001004831
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,06/05/2016,7270.8,INDIVIDUAL SERVICE FUND,V001004832
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,1115.76,INDIVIDUAL SERVICE FUND,V001004833
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,06/05/2016,2597.24,INDIVIDUAL SERVICE FUND,V001004834
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,781.2,INDIVIDUAL SERVICE FUND,V001004835
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,06/05/2016,3859.52,INDIVIDUAL SERVICE FUND,V001004837
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,06/05/2016,2597.24,INDIVIDUAL SERVICE FUND,V001004838
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,06/05/2016,634.96,INDIVIDUAL SERVICE FUND,V001004839
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,06/05/2016,3285.8,INDIVIDUAL SERVICE FUND,V001004840
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,842.8,INDIVIDUAL SERVICE FUND,V001004841
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,06/05/2016,5010,INDIVIDUAL SERVICE FUND,V001004842
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,06/05/2016,7222.48,INDIVIDUAL SERVICE FUND,V001004843
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,4404.84,INDIVIDUAL SERVICE FUND,V001004844
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,06/05/2016,882,INDIVIDUAL SERVICE FUND,V001004845
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,508,INDIVIDUAL SERVICE FUND,V001004846
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,06/05/2016,522.92,INDIVIDUAL SERVICE FUND,V001004847
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,06/05/2016,1329.52,LD SUPPORTED LIVING,V001004848
Rochdale Borough Council,06/05/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,06/05/2016,1524,INDIVIDUAL SERVICE FUND,V001004850
