Ratepayer Name,Property Address,Propref,Billing Address,RV
,"5 King Street, Todmorden, OL14 5SL",78260005,,6700
,"3 Causeway East, Lee Bottom Road, Todmorden, OL14 6HH",78278700,,1500
,"Longfield Stables, Middle Longfield Farm, Longfield Road, Todmorden           OL14 6LX",78286700,,10750
,"Parkside Mill, Parkside Road, Todmorden, OL14 8NJ",78356702,,5900
Hoyles C & T Services Ltd,"Phoenix Garage, Phoenix Street, Todmorden, OL14 5SG",78360700,,11250
R J M Todmorden Ltd,"Caldervale Mill, Pudsey Road, Todmorden, OL14 8NJ",78368700,,6500
,"Garage 2, Raglan Street, Todmorden, OL14 5HF",78376701,,1000
,"Old Parcels Office, Todmorden Station, Rise Lane, Todmorden           OL14 7AA",78396707,,2500
,"Old Booking Office, Todmorden Station, Rise Lane, Todmorden           OL14 7AA",78396710,,2225
,"15 Rochdale Road, Todmorden, OL14 5AA",78400015,,1900
,"120 Rochdale Road, Todmorden, OL14 7NA",78400120,,1625
,"276 Rochdale Road, Todmorden, OL14 7PD",78400276,,4000
,"Angus Firth Ltd, Hollins Mill, Rochdale Road, Todmorden           OL14 6SA",78400708,,10750
,"New Barn Garage, Rochdale Road, Todmorden, OL14 7NA",78400719,,5300
Cadismoor Ltd,"Unit 1b, Walsden Industrial Estate, Rochdale Road, Todmorden           OL14 6UD",78400731,,8500
,"Border Rose, 772 Rochdale Road, Todmorden, OL14 7UA",78400755,,5800
,"788 Rochdale Road, Todmorden, OL14 7UA",78400761,,6800
,"Back 32 Rochdale Road, Todmorden, OL14 7LD",78400772,,1800
,"19a School Lane, Todmorden, OL14 5AP",78412701,,2800
Baltimore Boats Ltd,"Baltimore Marina, Stackhills Road, Todmorden, OL14 5QW",78432703,"Fao Mr G Backhurst, 17 West Street, Oundle, Nr Peterbourgh, Cambridge, PE8 4EJ",8500
,"17 Stansfield Road, Todmorden, OL14 5DN",78444017,,3550
,"11 Water Street, Todmorden, OL14 5AB",78508011,,3400
,"Rock End Moor Delph, Staups Lane, Todmorden, OL14 8RR",78460701,,1200
,"Vale Street, Todmorden, OL14 5HG",78500700,,3800
,"Victoria Road, Todmorden, OL14 5LP",78504700,,870
,"20 Water Street, Todmorden, OL14 5AB",78508020,,2100
,"21 Water Street, Todmorden, OL14 5AB",78508021,,3550
,"27 Water Street, Todmorden, OL14 5AB",78508027,,5600
Todmorden United Services Club Ltd,"Temple Buildings, White Hart Fold, Todmorden, OL14 7BD",78524700,,3250
,"5 White Hart Fold, Todmorden, OL14 7BD",78524701,,5700
,"Outlane Cricket Club, Off Lindley Moor Road, Outlane, Huddersfield        HD3 3RT",79024700,,4700
,"Peakstones Farm, Soaper Lane, Shelf, Halifax              HX3 7PX",79040700,,950
,"Outlane Bowling Club, Stainland Road, Outlane, Huddersfield        HD3 3YU",79044702,,4050
,"5 Green Lane, Greetland, Halifax, HX4 8AB",65196005,,2900
Halifax Ironworks Ltd,"Walker Lane, Sowerby Bridge, HX6 2AR",77632702,,5600
,"2 George Street, Hipperholme, Halifax, HX3 8DY",65148002,,2600
,"Hollins Mill, Rochdale Road, Todmorden, OL14 6SA",78400704,,7500
,"23 Ovenden Road, Halifax, HX3 5PN",68156023,,2200
Golden Gate Foods Ltd,"Lion Gate House, Stanage Lane, Shelf, Halifax              HX3 7TP",68784700,"Lion Gate House, Stanage Lane, Shelf, Halifax, HX3 7TP",10000
,"13 New Road, Halifax, HX1 2LH",68028013,,5900
Kitchen Elements Ltd,"231 King Cross Road, Halifax, HX1 3JL",65516231,"231 King Cross Road, Halifax, HX1 3JL",7800
,"14 Garden Road, Brighouse, HD6 2AX",29264014,,7100
,"Moorlea Garage, Albert Road, HX2 0DF",64040703,,2225
,"Unit 8 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",76560713,,4250
,"113 & Adj 115, Hopwood Lane, Halifax, HX1 4HB",65364719,,4850
,"Units 1-4 The Shops, Whinney Hill Park, Brighouse, HD6 2NQ",29640704,,4300
,"Castle Avenue Fisheries, Castle Avenue, Brighouse, HD6 3HT",29140003,,2650
Freshfields Foods Ltd,"25 Wharf Street, Sowerby Bridge, HX6 2LA",77652025,,7000
,"38 Burnley Road, Todmorden, OL14 5EZ",78076038,,2400
,"Garage 1, Raglan Street, Todmorden, OL14 5HF",78376700,,1000
,"112/114 Hanson Lane, Halifax, HX1 5PG",65264114,,2325
,"21 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DN",77408724,,4700
Tilario Developments Ltd,"48 Station Road, Holywell Green, Halifax, HX4 9AW",68820048,"Tenter Hill, Holmfirth Road, New Mill, Holmfirth, HD9 7LY",8000
Bentley Fielden Ltd,"Units 6/8/10, Salford, Todmorden, OL14 7LF",78408010,,7800
,"33 Market Street, Hebden Bridge, HX7 6EU",76360033,,8300
,"246 Queens Road, Halifax, HX1 4NJ",68308246,,5600
Hollins Park Sports & Social Club,"Changing Rooms, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",77276727,,3200
,"Clough Moor Farm, New Clough Road, Norland, Sowerby Bridge      HX6 3RD",77378700,,1500
,"18 Lightcliffe Road, Brighouse, HD6 2DR",29384018,,4000
,"349 Salterhebble Hill, Halifax, HX3 0QA",68452349,,4900
,"Mill House, 3 Saddleworth Road, Elland, HX5 0RY",56212713,,11500
Wayne House Motor Company Ltd,"Pye Nest Road, Sowerby Bridge, HX6 2BX",77432700,"Martin Uttley, Pye Nest Road, Sowerby Bridge, HX6 2BX",6200
,"65 Commercial Street, Halifax, HX1 1BE",64660065,,8500
,"5 Albion Street, Halifax, HX1 1DU",64052100,,3550
,"The Bull & Dog Inn, South Parade, Stainland, Halifax              HX4 9HW",68636700,,3250
D Hall Electrical Services Ltd,"Unit 2 Mount Street, Halifax, HX1 5DD",65164032,,8800
Digitronix Ltd,"22A Lightcliffe Road, Brighouse, HD6 2DJ",29384701,,11500
Broadcliffe Fabrications Ltd,"Unit 14, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",76160722,,6600
,"2 Park Lane, Siddal, Halifax, HX3 9ED",68196002,,4850
,"20 Rawson Street, Halifax, HX1 1NH",68356020,,6700
,"Boothwood Boarding Kennels, Oldham Road, Rishworth, HX6 4RH",77412700,,3550
,"222 King Cross Road, Halifax, HX1 3JP",65516222,,8100
P P L Supplies Ltd,"Units 3-4, Magram Business Centre, Horne Street, Halifax             HX1 5UA",65376707,"Unit 3-4, Margram Ind Estate, Horn Street, Halifax, HX1 5UA",10000
,"Spring Gardens Inn, 45 Elland Lane, Elland, HX5 9EP",56084718,,6400
,"19/21 St Georges Square, Hebden Bridge, HX7 8ET",76508019,,11000
Ingfield Farm Shop Ltd,"Ingfield Farm Shop, Law Farm, Law Lane, Southowram, Halifax              HX3 9UG",65592706,"Law Farm, Law Lane, Southowram, Halifax, HX3 9UG",4250
Holmeward Car Sales Ltd,"Leeds Road, Halifax, HX3 7AE",65612707,,6100
,"47 Lee Mount Road, Lee Mount, Halifax, HX3 5BQ",65608047,,1825
,"5 Crown Yard, Southgate, Elland, HX5 0DQ",56224730,,2950
,"Market Stall 126, Market Hall, Borough Market, Halifax             HX1 1DZ",64288766,,2700
,"115 Haley Hill, Halifax, HX3 6EE",65224115,,1800
Phoenix Services Ltd,"Unit 26, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648747,,3550
,"11 West End, Hebden Bridge, HX7 8JP",76576011,,3800
,"2A Green Lane, Greetland, Halifax, HX4 8AB",68772743,,4550
,"76 Saddleworth Road, Greetland, Halifax, HX4 8AG",68444076,,2900
Allied Ventura Ltd,"Office Suites D117 / D119, Dean Clough Mills, Halifax, HX3 5AX",64778780,,6200
Edward Swale Ltd,"Springwood Lodge, Rawroyds Road, Holywell Green, Halifax              HX4 9BJ",68352708,"C/O Mr M Shaw, Springwood Lodge, Rawroyds Road, Holywell Green, Halifax, HX4 9BJ",4850
,"117a Gibbet Street, Halifax, HX1 5BP",65164793,,2350
,"First Floor, Unit 9, Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",77340725,,1125
Premier Direct G.B Ltd,"Coronation Works, Foundry Street North, Halifax, HX3 6RE",65096703,"Premier House, Foundry Street North, Halifax, HX3 6RE",6000
,"123 Gibbet Street, Halifax, HX1 5BP",65164776,,2600
H.Bottomley [Tv] Ltd,"117 Parkinson Lane, Halifax, HX1 3QQ",68224117,,1800
,"Unit 51 Asquith Bottom Works, Asquith Bottom, Ridge Street, Sowerby Bridge       HX6 4RG",77024744,,3100
,"4 Hardcastle House, Valley Road, Hebden Bridge, HX7 7BB",76552735,,4400
,"193/195 King Cross Road, Halifax, HX1 3LN",65516195,,10750
,"63 Carr House Road, Shelf, Halifax, HX3 7RJ",64500063,,2550
,"13 Lane Ends Green, Hipperholme, Halifax, HX3 8EZ",65576013,,3800
,"1 Victoria Street, Greetland, Halifax, HX4 8DF",69204001,,6000
,"341 Salterhebble Hill, Halifax, HX3 0PR",68452341,,2450
,"Globe Inn, 66/68 Rastrick Common, Brighouse, HD6 3EL",29480707,,7600
Russell Flooring Ltd,"Water Lane Works, Water Lane, Halifax, HX3 9HG",69300706,,5500
,"627 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084627,,3900
,"Clough House Farm, Blackshaw Clough Road, Soyland, Sowerby Bridge       HX6 4NN",77673701,,2400
,"48 Old Lane, Brighouse, HD6 1TU",29448048,,2425
,"23 Hud Hill, Northowram, Halifax, HX3 7LH",65909023,,650
,"Unit 3, Owler Ings Road, Brighouse, HD6 1EJ",29452714,,4850
,"15 Borough Market, Halifax, HX1 1DY",64288015,,3250
,"16 Borough Market, Halifax, HX1 1DY",64288016,,2125
,"Market Stall 134-135, Market Hall, Borough Market, Halifax             HX1 1DZ",64288769,,4700
,"27 Boothtown Road, Halifax, HX3 6EU",64284822,,4050
,"80 Saddleworth Road, Greetland, Halifax, HX4 8AG",68444080,,7300
,"476 Gibbet Street, Halifax, HX2 0AL",65164476,,2550
Village Car Repairs & Servicing Ltd,"Railway Buildings, Dyson Road, Halifax, HX1 4RL",64864700,,830
,"Nomis Works, Richmond Road, Halifax, HX1 5SZ",68376703,,5400
,"Unit B1A, Dean Clough Industrial Park, Halifax, HX3 5AX",64784885,,3500
Ripponden Conservative Club,"212 Halifax Road, Ripponden, HX6 4BG",77240212,,8000
,"Unit 5, Mill House Works, Mill House Lane, Triangle            HX6 3LN",77352719,,1275
Hawkhead Bray & Son Ltd,"Unit 19A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248736,"Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",570
J & G Ainley Ltd,"Unit 12 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",64236716,"Unit 12, Eastfield Mills, Belmont Street, Halifax, HX3 6AT",8900
,"Causeway Foot Inn, 13 Causeway Foot, Halifax, HX2 8XX",64516700,,4800
,"Adj 300 Pellon Lane, Halifax, HX1 4PZ",68236731,,6200
,"Unit 4b Mill House Works, Mill House Lane, Triangle, HX6 3LN",77352732,,1225
,"70 West Street, Sowerby Bridge, HX6 3AP",77648070,,3250
,"Robin Hood Inn, 26 Keighley Road, Pecket Well, Hebden Bridge       HX7 8QR",76316702,,9800
,"237 Queens Road, Halifax, HX1 4NJ",68308237,,3400
The Old Treehouse Ltd,"1/3 Market Street, Hebden Bridge, HX7 6EU",76360001,,6400
,"2 Hope Street, Hebden Bridge, HX7 8AG",76300002,,4450
,"Store & Premises, Bright Street, Todmorden, OL14 7PF",78060700,,1550
,"38 Market Street, Hebden Bridge, HX7 6AA",76360038,,3300
,"77 Saddleworth Road, Greetland, Halifax, HX4 8AG",68444077,,2150
Little People Elland Ltd,"Elland Private Day Nursery, Northgate, Elland, HX5 0RU",56180702,,10500
,"Farthing Wood Nursery, New Lane, Skircoat Green, Halifax             HX3 0TE",68024701,,11500
,"Ryburn Mills, Ryburn Terrace, Hanson Lane, Halifax             HX1 4SD",65264710,,1550
,"9 West End, Hebden Bridge, HX7 8JP",76576009,,3350
,"Station House, Station Road, Hebden Bridge, HX7 6JE",76512703,,5900
,"8 Market Street, Brighouse, HD6 1AP",29404008,,5600
,"18 Corporation Street, Sowerby Bridge, HX6 2QQ",77160018,,1975
,"232 Queens Road, Halifax, HX1 4NE",68308232,,2950
,"Riverside Studios, Greenups Terrace, Sowerby Bridge, HX6 2QH",77416700,,2750
,"31 Hanson Lane, Halifax, HX1 5NX",65264762,,1450
,"229 Queens Road, Halifax, HX1 4NJ",68308229,,2700
,"757 Burnley Road, Todmorden, OL14 8LF",78076831,,1325
Second Halifax Housing Ltd,"Greycourt House, 160 King Cross Road, Halifax, HX1 3LN",65516160,"Greycourt House, 160 King Cross Road, Halifax, HX1 3LN",1175
,"Workshop, Adj 13 South View, Whitegate, Halifax              HX3 9JP",68922701,,1400
Colour (Yorkshire) Ltd,"16 Albert Street, Hebden Bridge, HX7 8AH",76012016,"F.A.O. Kate Bauld, 16 Albert Street, Hebden Bridge, Halifax, HX7 8AH",9600
Seymour Engineering Ltd,"Siddal Hall Works, Phoebe Lane, Halifax, HX3 9AS",68248709,"Siddal Hall Works, Phoebe Lane, Siddal, HX3 9AS",9700
Moderna M.O.Ts Ltd,"Unit 19, Moderna Business Park, Mytholmroyd, Hebden Bridge       HX7 5QQ",76088767,"F.A.O. Gemma Walton, Moderna M.O.T.S Ltd, Unit 19 Moderna Business Park, Mytholmroyd, Hebden Bridge, HX7 5QQ",10500
,"40 Market Street, Hebden Bridge, HX7 6AA",76360040,,3250
,"Owler Mill, Bacup Road, Todmorden, OL14 7HL",78024710,,5300
,"9 Stanley Street North, Ovenden, Halifax, HX2 9AH",68788009,,2100
,"Unit 6, Lineholme Industrial Estate, Burnley Road, Todmorden           OL14 7DH",78076814,,2700
G Goulden Property,"Haulage Yard, Willows Industrial Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW",77644727,"164 Halifax Road, Ripponden, Halifax, HX6 4AH",4000
,"303 Huddersfield Road, Halifax, HX3 0PG",65412303,,2225
,"27 Bradford Road, Brighouse, HD6 1RW",29080027,,4950
,"Office 2 Ground Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",29052736,,2950
,"Unit 1, Lineholme Industrial Estate, Burnley Road, Todmorden           OL14 7DH",78076737,,8600
,"Tower Hill Farm, Tower Hill, Warley, Halifax              HX2 0ST",69590701,,2300
Todmorden Community Brass Band,"Todmorden Community, Brass Band, Wellington Road, Todmorden           OL14 5EH",78516701,"C/O Elizabeth Hinchcliffe, 15 Rosebery Street, Todmorden, OL14 8LS",1775
Finance Assured Ltd,"5 Bridge Street, Todmorden, OL14 5AQ",78192708,"Richmond House, 5 Bridge Street, Todmorden, OL14 5AQ",1825
Arctic Media Ltd,"Unit 23 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344710,,2275
Sunside Service Station Ltd,"Sunside Service Station, Saddleworth Road, Greetland, HX4 8LZ",68444745,"Sunside Service Station, Saddleworth Road, Greetland, Halifax, HX4 8LZ",9200
,"Sunside Service Station, Saddleworth Road, Greetland, HX4 8LZ",68444746,,3250
Calder Valley Commercial Services Ltd,"The Wash House, 12 Back North Street, Todmorden, OL14 7BD",78016012,"Fao Mr Riggs, 12 Back North Street, Todmorden, OL14 7BD",800
,"41 Wakefield Road, Hipperholme, Halifax, HX3 8AQ",69244704,,2900
,"31/32 Wade House Road, Shelf, Halifax, HX3 7NU",69216712,,4500
,"32 Gooder Lane, Brighouse, HD6 1HT",29272032,,1950
A Big Store.Com,"Unit 3, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",76224711,,4650
J.R.C Trading Ltd,"24 Bethel Street, Brighouse, HD6 1JN",29048024,,10000
,"Devon Works, Dunkirk Lane, Halifax, HX1 3TA",64852707,,3200
,"617 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084617,,7000
,"10 Albert Road, Sowerby Bridge, HX6 2PA",77004010,,4900
,"11 Market Street, Brighouse, HD6 1AP",29404011,,3850
,"Unit E Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",56076712,,3650
,"Unit 3, The Tannery, Bradford Road, Halifax             HX3 7HR",64332708,,3250
,"Unit 34a, Mill House Works, Triangle, Sowerby Bridge      HX6 3LN",77352727,,1375
Duckworth Installations Ltd,"5 Carr Street, Brighouse, HD6 4AZ",29136701,,5600
,"24 Union Street, Halifax, HX1 1PR",69144024,,7600
Wright Angle Marketing Ltd,"Unit 70 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344734,,4950
,"136 Claremount Road, Halifax, HX3 6JQ",64592136,,2950
Combserve Ltd,"Unit 2, Brookfield Works, Quebec Street, Elland               HX5 9AP",56196702,,5900
,"Atlas Mill Road, Brighouse, HD6 1ES",29032702,,4000
Direct Data Systems Ltd,"38 Prescott Street, Halifax, HX1 2QW",68280038,,10500
,"13 St Georges Square, Hebden Bridge, HX7 8ET",76508013,,11750
,"50 Burnley Road, Todmorden, OL14 5EY",78076050,,1825
,"Dove Cottage Nursery, 23 Shibden Hall Road, Halifax, HX3 9XA",68556023,,840
C.M.S Training Services Ltd,"Unit A, 1ST Floor, Salt Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",77128715,,10500
B Ainley Commercials Ltd,"Mearclough Road, Sowerby Bridge, HX6 3LF",77340738,"Unit 1, Mearclough Road, Sowerby Bridge, HX6 3LF",6600
,"184 King Cross Road, Halifax, HX1 3LN",65516184,,3900
Noby (Uk) Ltd,"Unit 1E & 1F, Mill Fold Way, Ripponden, Sowerby Bridge       HX6 4HS",77348751,"Unit 1E & 1F, Mill Fold Way, Ripponden, Halifax, HX6 4HS",9800
,"Unit 34, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248746,,7700
,"Unit 35, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248745,,4100
,"51 Boothtown Road, Halifax, HX3 6NE",64284051,,6000
Pellon Private Hire Ltd,"Unit 12c, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164734,,1100
,"33 Willow Mount, Shelf, Halifax, HX3 7QH",69470033,,3550
,"80 Huddersfield Road, Elland, HX5 9AA",56132080,,4050
,"Workshop, At 267 Halifax Road, Todmorden, OL14 5SQ",78192269,,1425
Walker Boats Ltd,"Unit 2B Crossley Works, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5HR",76160711,"F.A.O. Mr Frank Walker, 33 Half House Lane, Hove Edge, Brighouse, HD6 2PH",4050
,"234 Queens Road, Halifax, HX1 4NE",68308234,,3800
,"55 Parkinson Lane, Halifax, HX1 3XL",64232002,,2700
,"Unit 7 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",29032725,,4900
,"Unit 20, Lee Bridge Industrial Estate, 4 Lee Bridge, Halifax             HX3 5AT",65600718,,5900
,"3A Commercial Street, Brighouse, HD6 1AF",29196719,,6600
Hemsworth And Co Ltd,"Offices 5 & 13 The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8NU",65620709,,3450
,"Unit 3 Brier Hey, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5PF",76088710,,7900
,"25 Square Road, Halifax, HX1 1QG",68708715,,3250
,"The Chalet, Adj Cairnacre, Midgehole Road, Hebden Bridge        HX7 7AL",76368707,,1300
Hebden Bridge Chiropractic Ltd,"Unit 2 Wragley House, Valley Road, Hebden Bridge, HX7 7DD",76552742,"F.A.O. Mrs Deborah Dinc, 2 Wragley House, Valley Raod, Hebden Bridge, HX7 7BN",4550
Guest Automotive Ltd,"Central Garage, Stansfield Road, Todmorden, OL14 5DL",78444704,,9100
,"Unit 57 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344730,,3150
,"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH",29052730,,3100
,"3A Bonegate Road, Brighouse, HD6 1TQ",29064704,,3150
Northwood Joinery Ltd,"Former Canteen, Hall Street North, Boothtown, Halifax              HX3 6TS",65252704,,5500
,"Mill Lane, Boothtown, Halifax, HX3 6TR",65808708,,6100
,"Unit 7, Mill Lane, Halifax, HX3 6TR",65808715,,4650
,"211 Gibbet Street, Halifax, HX1 5JW",65164211,,6500
,"40 Towngate, Clifton, Brighouse, HD6 4HS",29588040,,4150
,"Market Stall 1-4, Market Hall, Borough Market, Halifax             HX1 1DZ",64288707,,4100
,"Unit 3A, Mitchell Street, Todmorden, OL14 7DW",78320703,,3750
,"Popples Garage, Holdsworth Road, Holmfield, Halifax             HX2 9TH",65344709,,8600
,"574 Rochdale Road, Todmorden, OL14 7SL",78400574,,2800
,"Unit 8 Wragley House, Valley Road, Hebden Bridge, HX7 7BN",76552745,,4600
Duffy Fowler Gabbi Solicitors,"Units 5 & 6 Wragley House, Valley Road, Hebden Bridge, HX7 5BN",76552746,"5/6 Wragley House, Valley Road, Hebden Bridge, HX7 7BZ",9800
,"554 Rochdale Road, Todmorden, OL14 7SL",78400554,,2100
,"Unit 9A, Top Land Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",76160734,,4050
B D Smith & Co,"25 Bonegate Road, Brighouse, HD6 1TQ",29064025,,3400
,"Unit 3/4 Brook Mills, Saddleworth Road, Greetland, Halifax              HX4 8LZ",68444752,,10500
G Bateman Fabrications Ltd,"Unit 2, Bandwalk Industrial Estate, Saddleworth Road, Greetland            HX4 8BA",68444753,,8100
,"Unit SM1 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",65344762,,2100
,"7/9 Sandhall Lane, Highroadwell, Halifax, HX2 0DJ",68460703,,3100
Expertreat Ltd,"Unit 3A, Topland Country Busn.Pk., Cragg Road, Mytholmroyd          HX7 5RU",76160744,,6700
,"224 King Cross Road, Halifax, HX1 3JP",65516728,,6700
,"Unit 27, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164747,,1800
Halifax Flooring Ltd,"Units 1-2, Margram Business Centre, Horne Street, Halifax             HX1 5UA",65376704,,10000
,"Dundas Street, Halifax, HX1 3PQ",64848700,,2400
,"267/269 Shay Lane, Halifax, HX2 9BB",68536732,,2025
,"Unit 12, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",77024718,,1725
,"36 Burnley Road, Todmorden, OL14 5EZ",78076036,,990
Andrew Lomas Optometrist Ltd,"31 Southgate, Elland, HX5 0BW",56224031,,5400
Golden Fish 168 Ltd,"3 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",76088003,,1925
,"46a Rastrick Common, Brighouse, HD6 3DR",29480706,,2950
,"Adj Vulcan Street, Walsden, Todmorden, OL14 6SG",78505700,,2425
,"Unit R8, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448785,,2850
Halifax Trade Windows Uk Ltd,"1 Sod House Green, Halifax, HX3 6QR",68620707,"1 Sod House Green, Keighley Road, Ovenden, Halifax, HX3 6QR",3850
,"Lower Brockholes Farm, Lane Head Lane, Ogden, Halifax              HX2 8XQ",65921702,,3050
,"Woodside Mills, Halifax Road, Elland, HX5 0SH",56116714,,2550
,"688 Burnley Road, Todmorden, OL14 8JU",78076688,,770
,"635A Bradford Road, Bailiff Bridge, Brighouse, HD6 4DY",29084746,,2500
,"197A Gibbet Street &, Halifax, HX1 5JN",65104702,,3900
Woodman Architectural Fittings Ltd,"First Floor Unit 7A, Woodman Works, South Lane, Elland               HX5 0PA",56220773,"19 Mayfield Grove, Bailiff Bridge, Brighouse, HD6 4EE",1175
Elland Metal Finishers Ltd,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",56220771,,3550
,"Unit 5 Market Business Ctre, Off Hanson Lane, Victoria Road, Halifax              HX1 5PF",69196709,,5100
,"38 Boothtown Road, Halifax, HX3 6NE",64284710,,1925
,"Oak Hill Road, Clifton, Brighouse, HD6 3AH",29440704,,1075
Hebden Bridge Brass Band,"Unit 1A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",76160754,"Fao Mr Steve Gardiner, Unit 1A, Topland Country Bus Park, Cragg Road, Mytholmroyd, HX7 5RU",3700
Dryclough Lane Garage Ltd,"Dryclough Lane Garage, Dryclough Lane, Halifax, HX3 0LD",64840708,"Dryclough Lane Garage, Dryclough Lane, Halifax, HX3 0LD",10250
J A Parker Contractors Ltd,"Unit 8, Station Industrial Estate, Station Road, Luddendenfoot        HX2 6AD",68824715,"Hollin Nest, Sowerby Lane, Luddendenfoot, Halifax, HX2 6LE",5100
,"14/16 Walnut Street, Halifax, HX1 5JB",69256721,,2500
Harmsworth Townley & Co Ltd,"Melting Pot Glass Works, White Hart Fold, Todmorden, OL14 7BD",78524703,"The Melting Pot, White Hart Fold, Todmorden, Lancashire, OL14 7BD",8000
,"24 Water Street, Todmorden, OL14 5AB",78508024,,2025
,"7 Old Town Hall Cottages, Wadsworth, Hebden Bridge, HX7 8SP",76656007,,1750
,"Unit 26, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248715,,950
Origin Print Solutions Ltd,"Office Suite E 244, Dean Clough Mills, Halifax, HX3 5AX",64778787,"Office Suite E 244, Dean Clough Mills, Halifax, HX3 5AX",8600
,"The Coffee Station, Hebden Bridge Station, Station Road, Hebden Bridge       HX7 6JE",76512706,,2850
,"234/236 Ovenden Way, Ovenden, Halifax, HX3 5NU",68160703,,5600
Chiropody Express Ltd,"Office 12 Ground Floor, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452729,"11 Owler Ings Road, Brighouse, HD6 1EJ",2225
,"Market Stalls 87/88, Market Hall, Borough Market, Halifax              HX1 1RE",64288810,,9000
Friendly Framing Ltd,"310 Ovenden Road, Halifax, HX3 5TJ",68156310,"Fao Mr Robert Groggins, 310 Ovenden Road, Halifax, HX3 5TJ",2100
,"339 Skircoat Green Road, Halifax, HX3 0LX",68596339,,4300
Jack Threapleton Ltd,"Workspace Unit 20, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264742,"6 Willow Park Drive, Shelf, Halifax, HX3 7PZ",3200
S & P Supplies Ltd,"Unit 7, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264724,,2150
Springwood Engineering Ltd,"Part Springwood Mill, Pudsey Road, Todmorden, OL14 8NT",78368711,,4050
,"109 Savile Park Road, Halifax, HX1 2XR",68472109,,9200
J C A Ltd,"Units 80/83 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344747,"Units 80/83 Bowers Mill, Branch Road, Barkisland, HX4 0AD",5700
,"Market Stall 122/132/133, Market Hall, Borough Market, Halifax             HX1 1DZ",64288762,,10500
C.D.R Supply Co Ltd,"Unit 1A, Canteen Mill Ind. Units, Burnley Road, Todmorden           OL14 7DR",78076738,,3800
,"99 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328099,,5100
,"41a Wharf Street, Sowerby Bridge, HX6 2LB",77652717,,3250
,"Unit 4 The Ainleys, Huddersfield Road, Elland, HX5 9JP",56132740,,2325
,"2/2a Towngate, Southowram, Halifax, HX3 9QZ",69088004,,8900
,"Lee Hill Equestrian Centre, Lee Hill Farm, Swan Lane, Outlane              HD3 3YH",79046701,,2750
,"32 Crown Street, Halifax, HX1 1TT",64756032,,7500
,"17 King Cross Street, Halifax, HX1 2SH",65520728,,7100
,"200 King Cross Road, Halifax, HX1 3JP",65516200,,6800
,"214 King Cross Road, Halifax, HX1 3JP",65516214,,5200
Home Recycling Ltd,"Bolton Brow Gallery, Bolton Brow, Sowerby Bridge, HX6 2AG",77076713,,2550
,"37 Victoria Road, Elland, HX5 0AB",56244037,,2900
Nature Cameras Ltd,"3b Bonegate Road, Brighouse, HD6 1TQ",29064702,"Fao Mr David Turner, 3b Bonegate Road, Brighouse, HD6 1TQ",5800
