Organisation Name,Effective Date,Service,Supplier Name,Paid Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,812.8,INDIVIDUAL SERVICE FUND,V000995902
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,558.8,INDIVIDUAL SERVICE FUND,V000995903
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,897.6,INDIVIDUAL SERVICE FUND,V000995907
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,5193.48,INDIVIDUAL SERVICE FUND,V000995908
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,08/04/2016,8241.4,INDIVIDUAL SERVICE FUND,V000995909
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,NEWBARN LTD,08/04/2016,1932.8,INDIVIDUAL SERVICE FUND,V000995910
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,MOUNTBATTON CARE,08/04/2016,8358,INDIVIDUAL SERVICE FUND,V000995912
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1478.4,INDIVIDUAL SERVICE FUND,V000995913
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,762,INDIVIDUAL SERVICE FUND,V000995914
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1813.96,INDIVIDUAL SERVICE FUND,V000995915
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1026.92,INDIVIDUAL SERVICE FUND,V000995916
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1422.4,INDIVIDUAL SERVICE FUND,V000995917
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,3351.76,INDIVIDUAL SERVICE FUND,V000995918
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,571.16,INDIVIDUAL SERVICE FUND,V000995919
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,08/04/2016,5825,INDIVIDUAL SERVICE FUND,V000995920
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1025.6,INDIVIDUAL SERVICE FUND,V000995921
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1025.6,INDIVIDUAL SERVICE FUND,V000995922
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,08/04/2016,5825,INDIVIDUAL SERVICE FUND,V000995923
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1267.2,INDIVIDUAL SERVICE FUND,V000995924
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1809.24,INDIVIDUAL SERVICE FUND,V000995925
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,08/04/2016,4083.2,INDIVIDUAL SERVICE FUND,V000995926
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1373.2,INDIVIDUAL SERVICE FUND,V000995927
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1995.76,INDIVIDUAL SERVICE FUND,V000995928
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,BESPOKE SUPPORTED LIVING LTD,08/04/2016,3325,SUPPORTED LIVING,V000995929
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,558.8,INDIVIDUAL SERVICE FUND,V000995931
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,762,INDIVIDUAL SERVICE FUND,V000995932
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,08/04/2016,1036,INDIVIDUAL SERVICE FUND,V000995933
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,558.8,INDIVIDUAL SERVICE FUND,V000995934
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,08/04/2016,2704,INDIVIDUAL SERVICE FUND,V000995937
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,08/04/2016,1711.8,DIRECT PAYMENTS,V000995938
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,507.68,INDIVIDUAL SERVICE FUND,V000995939
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,08/04/2016,556.6,INDIVIDUAL SERVICE FUND,V000995940
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,762,INDIVIDUAL SERVICE FUND,V000995941
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,3113.32,INDIVIDUAL SERVICE FUND,V000995942
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,08/04/2016,520,INDIVIDUAL SERVICE FUND,V000995943
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,08/04/2016,3903.28,INDIVIDUAL SERVICE FUND,V000995944
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1278.4,INDIVIDUAL SERVICE FUND,V000995945
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1404.12,INDIVIDUAL SERVICE FUND,V000995946
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,509.52,INDIVIDUAL SERVICE FUND,V000995947
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1082.36,INDIVIDUAL SERVICE FUND,V000995948
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1304.64,INDIVIDUAL SERVICE FUND,V000995949
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,780,INDIVIDUAL SERVICE FUND,V000995950
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,BLUE PITS HOUSING ACTION,08/04/2016,560,SUPPORTED LIVING,V000995952
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1371.6,INDIVIDUAL SERVICE FUND,V000995953
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,08/04/2016,1582,SUPPORTED LIVING,V000995954
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1280.76,INDIVIDUAL SERVICE FUND,V000995956
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,5313.68,INDIVIDUAL SERVICE FUND,V000995957
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,2483.32,INDIVIDUAL SERVICE FUND,V000995958
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,1203.51,SUPPORTED LIVING,V000995959
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,989.16,INDIVIDUAL SERVICE FUND,V000995960
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,08/04/2016,2306.52,INDIVIDUAL SERVICE FUND,V000995961
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,813.68,INDIVIDUAL SERVICE FUND,V000995963
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,08/04/2016,3066.64,SUPPORTED LIVING,V000995964
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1757.48,INDIVIDUAL SERVICE FUND,V000995965
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995967
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995968
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995969
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995970
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995971
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995972
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,UNITED RESPONSE,08/04/2016,1591,INDIVIDUAL SERVICE FUND,V000995973
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995974
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,2446.96,INDIVIDUAL SERVICE FUND,V000995975
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1224.4,INDIVIDUAL SERVICE FUND,V000995976
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995977
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1280.76,INDIVIDUAL SERVICE FUND,V000995978
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,2067.96,INDIVIDUAL SERVICE FUND,V000995979
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1280.76,INDIVIDUAL SERVICE FUND,V000995980
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1585.24,INDIVIDUAL SERVICE FUND,V000995981
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995982
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1280.76,INDIVIDUAL SERVICE FUND,V000995984
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1667.52,INDIVIDUAL SERVICE FUND,V000995985
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1608,INDIVIDUAL SERVICE FUND,V000995986
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,08/04/2016,1618,INDIVIDUAL SERVICE FUND,V000995987
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,520.4,INDIVIDUAL SERVICE FUND,V000995988
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1151.96,INDIVIDUAL SERVICE FUND,V000995989
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995991
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995992
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,2660.76,INDIVIDUAL SERVICE FUND,V000995993
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995994
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995995
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000995996
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1110.92,INDIVIDUAL SERVICE FUND,V000995997
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,08/04/2016,4429.76,INDIVIDUAL SERVICE FUND,V000995998
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,2314.83,SUPPORTED LIVING,V000995999
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,08/04/2016,2028,SUPPORTED LIVING,V000996005
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,08/04/2016,3299.65,SUPPORTED LIVING,V000996006
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC TRADING,08/04/2016,3155.45,SUPPORTED LIVING,V000996008
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000996009
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,849.24,INDIVIDUAL SERVICE FUND,V000996010
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,08/04/2016,1110.76,INDIVIDUAL SERVICE FUND,V000996011
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1104.28,INDIVIDUAL SERVICE FUND,V000996012
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,08/04/2016,998,SUPPORTED LIVING,V000996013
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,08/04/2016,6551.08,SUPPORTED LIVING,V000996014
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,08/04/2016,514.8,INDIVIDUAL SERVICE FUND,V000996015
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,08/04/2016,1425.6,INDIVIDUAL SERVICE FUND,V000996016
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,3012,INDIVIDUAL SERVICE FUND,V000996018
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,08/04/2016,832,SUPPORTED LIVING,V000996019
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,SEVA SUPPORT LTD,08/04/2016,5872.16,SUPPORTED LIVING,V000996021
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,08/04/2016,3248,SUPPORTED LIVING,V000996022
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,VOYAGE CARE,08/04/2016,7802.6,SUPPORTED LIVING,V000996023
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,08/04/2016,5415.48,INDIVIDUAL SERVICE FUND,V000996026
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,08/04/2016,4928.2,INDIVIDUAL SERVICE FUND,V000996027
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,3683.48,INDIVIDUAL SERVICE FUND,V000996028
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,08/04/2016,1040,INDIVIDUAL SERVICE FUND,V000996030
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,749.32,INDIVIDUAL SERVICE FUND,V000996031
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,08/04/2016,2590.16,INDIVIDUAL SERVICE FUND,V000996032
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,08/04/2016,1368,INDIVIDUAL SERVICE FUND,V000996033
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1056,INDIVIDUAL SERVICE FUND,V000996036
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,679.4,INDIVIDUAL SERVICE FUND,V000996037
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,08/04/2016,3796.96,INDIVIDUAL SERVICE FUND,V000996038
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,08/04/2016,4170.48,SUPPORTED LIVING,V000996039
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1922.8,INDIVIDUAL SERVICE FUND,V000996040
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1950.44,INDIVIDUAL SERVICE FUND,V000996041
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,08/04/2016,1057.05,SUPPORTED LIVING,V000996043
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,08/04/2016,836,INDIVIDUAL SERVICE FUND,V000996044
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,SELECT SUPPORT PARTNERSHIPS,08/04/2016,1176,SUPPORTED LIVING,V000996045
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,08/04/2016,8855,INDIVIDUAL SERVICE FUND,V000996046
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,2534.4,INDIVIDUAL SERVICE FUND,V000996048
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,2686.64,INDIVIDUAL SERVICE FUND,V000996049
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,08/04/2016,6321,INDIVIDUAL SERVICE FUND,V000996053
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,08/04/2016,3946.4,INDIVIDUAL SERVICE FUND,V000996054
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,08/04/2016,1825.32,INDIVIDUAL SERVICE FUND,V000996055
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,08/04/2016,5260,INDIVIDUAL SERVICE FUND,V000996056
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,08/04/2016,2910,INDIVIDUAL SERVICE FUND,V000996057
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,08/04/2016,4539.44,INDIVIDUAL SERVICE FUND,V000996059
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,08/04/2016,1924,INDIVIDUAL SERVICE FUND,V000996060
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,08/04/2016,2100,INDIVIDUAL SERVICE FUND,V000996061
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,1353.52,INDIVIDUAL SERVICE FUND,V000996062
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,772,INDIVIDUAL SERVICE FUND,V000996063
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,-2638.92,SUPPORTED LIVING,V000996064
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,2767.65,INDIVIDUAL SERVICE FUND,V000996065
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,3690.2,INDIVIDUAL SERVICE FUND,V000996066
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,792,INDIVIDUAL SERVICE FUND,V000996067
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,4259.28,INDIVIDUAL SERVICE FUND,V000996069
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,08/04/2016,660,INDIVIDUAL SERVICE FUND,V000996073
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,08/04/2016,548,INDIVIDUAL SERVICE FUND,V000996074
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,558.8,INDIVIDUAL SERVICE FUND,V000996075
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,08/04/2016,696.4,INDIVIDUAL SERVICE FUND,V000996076
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,08/04/2016,2248,INDIVIDUAL SERVICE FUND,V000996077
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,-1802.34,SUPPORTED LIVING,V000996079
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,-2968.56,SUPPORTED LIVING,V000996080
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,-2968.56,SUPPORTED LIVING,V000996081
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,08/04/2016,2575,INDIVIDUAL SERVICE FUND,V000996082
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,08/04/2016,558.8,INDIVIDUAL SERVICE FUND,V000996084
