Property Address,RATEPAYER,RV,LIABILITY_START
"AE3 Arcade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,8300,01/08/2017
"Suite 2 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Craggs Country Business Park Llp,2750,08/09/2017
"Unit 1B Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Make Solutions Ltd,8800,03/08/2017
"Suite 3 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",All My Systems Ltd,1325,16/08/2017
"Suite 9 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,1050,17/08/2017
"Suite 10 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Spring F F & E Limited,2400,03/07/2017
"Suite 8 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Eurotank Service Group Limited,2400,10/07/2017
"Suite 6 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,2400,01/07/2017
"296c Queens Road, Halifax, HX1 4NS",,2950,18/11/2017
"Car Parking Space No 16, John Street, Halifax, HX1 1YA",The Trustees Of B E Holmes Settlement Trust,600,03/11/2016
"Electronic Delivery Locker, Rochdale Road, Sowerby Bridge, HX6 3BL",Inpost Uk Ltd,1200,16/10/2017
"North Bridge Street, Halifax, HX1 1XJ",Custom Trucks Ltd,16250,23/10/2017
"Unit 2, Mearclough Road, Sowerby Bridge, HX6 3LF",,5500,01/08/2017
"13 West Street, Sowerby Bridge, HX6 3AP",,4300,08/11/2017
"Junction Inn, 1 Ogden Lane, Brighouse, HD6 3HF",,9700,06/11/2017
"4 West Street, Sowerby Bridge, HX6 3AN",Calderdale Mbc Land & Property Services,2375,01/07/2017
"21 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",Calderdale Mbc Land & Property Services,2450,26/10/2017
"Unit 7 Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse, HD6 4AW",Antemes & Sleigh T/A Big Shots Ltd,5100,19/06/2017
"Unit 2/9 Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",Units To Let [Northern] Ltd,2350,01/03/2017
"29 Union Street, Halifax, HX1 1PR",,7500,23/09/2017
"Units 7 & 8, White Lee Garage, Burnley Road, Mytholmroyd         HX7 5QJ",R D G Tools Ltd,28000,01/11/2017
"6 Lord Street, Halifax, HX1 5AE",,14500,01/07/2017
"Shoulder Of Mutton Inn, 1 Carr House Lane, Shelf, Halifax             HX3 7RB",Tim Bobbin Pub Company Ltd,28000,20/10/2017
"Unit 8C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",The Mayfield Trust,4150,01/11/2017
"15 Rawson Street, Halifax, HX1 1NH",,11000,01/06/2017
"Garage & Premises, Exchange Mills, Saddleworth Road, Elland              HX5 0RY",Warmco Space Heating Ltd,1525,02/11/2017
"Basement & Ground Floor, 15-17 Crown Street, Halifax, HX1 1TT",,28750,17/11/2017
"New Works, Burnley Road, Sowerby Bridge, HX6 2TF",Halifax Sailing Club,43250,01/11/2017
"Lush, 24A Fountain Street, Halifax, HX1 1LW",Collateral Thought Ltd,22750,29/09/2017
"1a St James Street, Halifax, HX1 5SU",,2300,01/04/2017
"Digital Advertising Right At, Sainsbury Site N0 0702-2200, Wade Street, Halifax              HX1 1SB",Clear Channel (Uk) Ltd,6000,30/08/2016
"Croftmyl, Gf Office A8B, West Parade, Halifax              HX1 2EQ",,2075,01/02/2017
"Office B4B First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",,1700,13/11/2016
"2ND Flr Rosemount Hse, Rosemount Works, Huddersfield Road, Elland               HX5 0EE",Rosemount Partnership,29250,22/09/2017
"14 Holme Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 6LJ",,3500,27/10/2017
"Unit 4A Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",,2500,01/01/2017
"51 Hanson Lane, Halifax, HX1 5NX",,2800,17/08/2017
"1 Upper High Lees, Midgley, Halifax, HX2 6UU",,2500,01/09/2017
"Horsfall House, Mulcture Hall Road, Halifax, HX1 1SP",Locala Community Partnerships Cic,17500,03/07/2017
"Office 1 Britannia Works, Garden Street North, Halifax, HX3 6AE",A1 Domestic Appliance Repairs Ltd,1900,10/10/2017
"Warehouse 1, Britannia Works, Garden Street North, Halifax              HX3 6AE",Overgreen Joinery Ltd,3500,01/11/2017
"Unofficial Address Unit P1B, Queens Road Works, Queens Road, Halifax              HX1 3NS",,11500,01/08/2017
"Unofficial Address Unit P1A, Queens Road Works, Queens Road, Halifax              HX1 3NS",,9800,01/08/2017
"Unit 3B Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Fire When Ready Ltd,8600,01/10/2016
"Unit 9B, Woodman Works, South Lane, Elland               HX5 0PA",Heathleigh Ltd,3500,01/04/2017
"North Bridge, Northgate, Halifax, HX1 1XJ",,1750,07/02/2017
"Suites T1/T2, Trinity House, Blackwall, Halifax              HX1 2QR",,3950,01/10/2017
"24 Rosemary Close, Rastrick, Brighouse, HD6 3EE",Horton Housing Association,5700,30/08/2016
"Megson Utilities, Unit 1 Dewsbury Road, Elland, HX5 9AF",Megson Utilities Ltd,30500,01/09/2017
"Market Stall 68, Market Hall, Borough Market, Halifax             HX1 1DZ",Calderdale Mbc Markets Manager,2800,31/08/2017
"Wakefield Road, Copley, Halifax, HX3 0TP",Richard Baldwin Motorhomes Llp,14500,03/11/2017
"Unit 1 Copley Valley Bus Pk, Copley Valley Road, Sowerby Bridge, HX6 2WA",Williams Hayes Ltd,48000,03/06/2017
"7 West End, Hebden Bridge, HX7 8JP",,3000,12/09/2017
"Unit 9, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",Cts Ironmongery Ltd,8400,03/10/2017
"1 Old Market, Halifax, HX1 1TN",Kino & Co,23500,07/11/2017
"119 Hopwood Lane, Halifax, HX1 4HB",,2950,01/11/2017
"7 Victoria Road, Elland, HX5 0AB",E-Rainbow Ltd,10000,23/12/2016
"Units 5, 6 & 7, Mount Pellon Works, Pellon, Halifax             HX1 4UB",Marrtree Investments Ltd,15750,22/11/2017
"Unit 16, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",Units To Let [Northern] Ltd,920,01/08/2017
"Suite T8 Trinity House, Blackwall, Halifax, HX1 2QR",Matthew Acton Ltd,1750,01/12/2017
"Unofficial Address, Shroggs Park Bowling Club, Lee Mount Road, Lee Mount",Lee Mount Working Mens Club,4150,24/03/2017
"Car Parking Space No 17, John Street, Halifax, HX1 1YA",The Trustees Of B E Holmes Settlement Trust,600,03/11/2016
"15 The Market Arcade, Halifax, HX1 1NX",Calderdale Mbc,6400,29/11/2017
"46-50 Borough Market, Halifax, HX1 1DY",Adams Cafe Halifax Ltd,12000,05/05/2017
"Sands Farm Cottage, Sowerby Lane, Luddendenfoot, Halifax              HX2 6LE",,2500,28/09/2017
"Swalesmoor Farm (Whse), Swales Moor Road, Halifax, HX3 6UF",Chesterfield Poultry,93000,01/11/2017
"31 Huddersfield Road, Elland, HX5 9AH",La Cachette Ltd,14000,01/04/2015
"(Unofficial Address), Unit 23 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",,2025,01/12/2017
"Unit 6 White Lee, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5LN",,12000,01/04/2017
"Office Hm 3.8, Holmfield Mills, Holdsworth Road, Holmfield",Kino & Co,1175,01/04/2017
"Office Hm 3.7, Holmfield Mills, Holdsworth Road, Holmfield",Ark Home Healthcare Ltd,1175,01/04/2017
"Unit 1D Lwr Gf South Mill, White Rose Mill, Holdsworth Road, Holmfield",,1300,01/05/2017
"UNIT1C Lwr Gf South Mill, White Rose Mill, Holdsworth Road, Holmfield",,2425,01/04/2017
"1ST Floor, 6/8 Albion Street, Halifax, HX1 1DU",Due West Ltd,2800,01/04/2017
"1ST Floor, 4 Albion Street, Halifax, HX1 1DU",,2300,01/04/2017
"(Unofficial Address), Unit 4 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",,1350,01/12/2017
"10 Market Street, Halifax, HX1 1RN",Franklyns Jewellers & Goldsmiths Limited,31250,20/10/2017
"1 Crown Street, Halifax, HX1 1TT",Versatile International Trading Ltd,16500,21/10/2017
"5 Friendly, Burnley Road, Sowerby Bridge, HX6 2UG",Copper Cow Ltd,11250,17/10/2017
"15 West Street, Sowerby Bridge, HX6 3AP",,4800,01/09/2017
"Rokt Ltd, Mill Royd Street, Brighouse, HD6 1EY",Rokt Ltd,35500,26/04/2017
"Office 34 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",The Pluss Organisation C I C,5900,01/12/2017
"Office 33 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,2050,01/12/2017
"The Old Ship Inn, 34 Bethel Street, Brighouse, HD6 1JN",,14750,15/11/2017
"White Lion Hotel, St Georges Square, Hebden Bridge, HX7 8ET",The Ap Hotel Company Ltd,64000,13/11/2017
"Suite 1, Nursery Lane Health Centre, Nursery Lane, Halifax              HX3 5SW",Nursery Lane Health Centre,7500,20/04/2017
"Greyhound Inn, 132 Crowtrees Lane, Brighouse, HD6 3NH",Admiral Taverns Ltd,8400,25/10/2017
"Swales Moor Forge, Swales Moor Road, Halifax, HX3 6UF",Thornton Meat Company Ltd,3250,25/11/2017
"Suite 4, 1ST Floor Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",Setbray Properties Ltd,6800,01/12/2017
"Unit 18 Woodman Works, South Lane, Elland, HX5 0HQ",Calder Valley Fire & Security Ltd,3800,01/04/2017
"Unit 5 Park Road Mills, Park Road, Elland, HX5 9HX",Benjamin Whiteley & Sons Ltd,23250,29/11/2017
"Part Second Floor, Westgate House, Market Street, Halifax              HX1 1PD",Interserve Working Futures Ltd,21750,01/04/2015
"Part First Floor, Westgate House, Market Street, Halifax              HX1 1PD",Interserve Working Futures Ltd,16000,01/04/2015
"(Unoff Add) Store Adj Unit 5, Shay Lane Works, Shay Lane, Halifax              HX3 6SF",,410,17/01/2017
"12D Holdsworth Road, Holmfield, Halifax, HX3 6SN",,1975,01/12/2017
"Part Jubilee Mill, West Parade, Halifax, HX1 2TA",Halifax Property Services Ltd,2225,01/04/2016
"1 Club Houses, Ovenden, Halifax, HX2 8AY",,3350,06/11/2017
"Unit B, Harley House Mill, Harley Street, Todmorden           OL14 5JE",,6100,01/06/2016
"Stall 25 Market Hall, Brook Street, Todmorden, OL14 5AJ",,1625,01/08/2017
"Royal George Hotel, 17 Rochdale Road, Todmorden, OL14 5AA",Todpubs Ltd,8800,06/12/2017
"Unofficial Address, Store & Yard, R/O 49 Pear Street, Halifax              HX1 3UA",Anthony Porter,2950,01/04/2016
"Unofficial Address, Workshop, R/O 49 Pear Street, Halifax              HX1 3UA",Anthony Porter,9900,01/04/2016
"Central Unit 2, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",Crossley Webb Contracts Ltd,12750,28/10/2017
"White House Farm, 44 Holdsworth Road, Holmfield, Halifax             HX2 9SZ",Arncliffe Homes Ltd,12250,01/12/2017
"Unit 6, Riverside Mills, Saddleworth Road, Elland               HX5 0RY",Guest Properties Ltd,14000,02/08/2017
"Office 39 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Primal Kitchen Ltd,1600,01/12/2017
"Off 5, Pt 2ND Flr Bond Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",S I Direct Limited,6000,01/10/2017
"Office 25 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",P L Projects Limited,2300,01/09/2017
"Fitting Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 9DW",Valvetec Machining  Ltd (In Administration),57000,15/07/2017
"Units 1/2 Hillcrest Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",North Dean Engineering Ltd (In Administration),31000,20/10/2017
"Office 12 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Inomed Health Ltd,3800,01/09/2016
"Unit 5 Ground Floor, Park Works, Arnold Street, Halifax              HX1 5JH",The Northern Lights Projects,11000,01/11/2016
"Unit 7A Ground Floor, Park Works, Arnold Street, Halifax              HX1 5JH",The Northern Lights Projects,6300,24/11/2016
"Unit 7B Ground Floor, Arnold Street, Halifax, HX1 5JH",The Northern Lights Projects,6300,01/11/2016
"Unit B1 Lower Ground Floor, Park Works, Allerton Place, Halifax              HX1 5JH",The Northern Lights Projects,4450,14/11/2016
"Unit B2 Lower Ground Floor, Park Works, Allerton Place, Halifax              HX1 5JH",The Northern Lights Projects,4500,01/01/2017
"Unit B3 Lower Ground Floor, Park Works, Allerton Place, Halifax              HX1 5JH",The Northern Lights Projects,4500,14/11/2016
"The Long Mill Lower Gf, Rochdale Road, Greetland, Halifax              HX4 8AL",B W Sipp Trustees Limited,9400,01/12/2017
"Unit B4 Lower Ground Floor, Park Works, Allerton Place, Halifax              HX1 5JH",The Northern Lights Projects,4500,01/11/2016
"Unit B5 Lower Ground Floor, Park Works, Allerton Place, Halifax              HX1 5JH",The Northern Lights Projects,5500,01/11/2016
"Unit B6 Lower Ground Floor, Park Works, Allerton Place, Halifax              HX1 5JH",The Northern Lights Projects,4500,01/11/2016
"Unit 6 Ground Floor, Park Works, Arnold Street, Halifax              HX1 5JH",The Northern Lights Projects,11000,20/10/2016
"Unit B7 Lower Ground Floor, Park Works, Allerton Place, Halifax              HX1 5JH",The Northern Lights Projects,6100,01/01/2017
"UNIT1 Perseverance Mill, Halifax Road, Todmorden, OL14 6EG",Pennine Glazing  & Windows Installations Limited,13500,13/09/2017
"Punch Bowl Inn, 389 Huddersfield Road, Halifax, HX3 9LJ",,4750,13/04/2017
"22 Water Street, Todmorden, OL14 5AB",,2100,08/12/2017
"The Turnpike, Oldham Road, Rishworth, Sowerby Bridge       HX6 4RH",Fussy Food & Drink Co Ltd,58000,05/07/2017
"Unit 2, Hope Mill, Crescent Street, Todmorden           OL14 5HA",,3550,14/10/2017
"Bailiff Bridge Activity Cntr, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4EN",Blackshaw (Phoenix) Ltd,25250,15/10/2017
"14 Bethel Street, Brighouse, HD6 1JN",,6400,21/11/2017
"Unit 6, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",,2850,29/11/2017
"2 Commercial Street, Halifax, HX1 1TA",,4950,16/10/2017
"18 Water Street, Todmorden, OL14 5AB",,2600,21/04/2017
"Stall 11 Market Hall, Brook Street, Todmorden, OL14 5AJ",,1625,01/04/2017
"Stall 28 Market Hall, Brook Street, Todmorden, OL14 5AJ",Ham Corner Ltd,1700,01/12/2016
"Garage, Adj 5 Workhouse Lane, Greetland, Halifax             HX4 8BS",,880,01/06/2017
"Unit 1/1A, 30 Huddersfield Road, Brighouse, HD6 1HA",,46250,30/10/2017
"Bailey's Sports Bar, Hollins Mill, Rochdale Road, Todmorden           OL14 6SA",,8700,01/12/2017
"11 Powell Street, Halifax, HX1 1LN",Crossley Ridge Investments Ltd,9600,12/12/2017
"Bays 5 & 6 Rosemount Works, Huddersfield Road, Elland, HX5 0EE",Holroyd Precision Ltd,64500,01/12/2017
"First Floor Old Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 9DW",Holroyd Precision Ltd,6200,01/12/2017
"121 Savile Park Road, Halifax, HX1 2XH",,5900,20/10/2017
"The Delvers, Wainstalls, Halifax, HX2 7UA",,10750,08/12/2017
"Calder Mill, Stubbing Holme, Hebden Bridge, HX7 6LQ",Flynntec Ltd,31750,15/12/2017
"59 Wharf Street, Sowerby Bridge, HX6 2AF",,8600,01/10/2017
"Unit 9D, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",Evanmore Ltd,3600,01/12/2017
"73 Bradford Road, Brighouse, HD6 4AD",Flamsteed Asset Capital Ltd,31750,01/11/2017
"Unit R1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",Brogan Business Parks Ltd,6100,12/12/2017
"Unofficial Address, Warehouse, R/O 49 Pear Street, Halifax              HX1 3UA",,5300,01/04/2016
"The Old Mill Boiler Room, Wharf Street, Sowerby Bridge, HX6 2AE",Jane Wetherop Partnership,1425,24/12/2017
"1ST Floor, 29/31 Bradford Road, Brighouse, HD6 1RW",,5300,23/12/2017
"Unit 3, Hipperholme Business Park, Halifax Road, Halifax              HX3 8ER",Blackshaw Holdings Ltd,13500,24/07/2017
"224 Queens Road, Halifax, HX1 4NE",,4350,01/04/2017
"18 Sculptor Place, Brighouse, HD6 2AR",,2300,03/12/2017
"Units 1 & 2 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB",Rafferty Roof Trusses Ltd,19250,08/11/2017
"Unit 3 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB",Rafferty Roof Trusses Ltd,23000,08/11/2017
"363 Skircoat Green Road, Halifax, HX3 0RP",,9200,14/07/2017
"354 Skircoat Green Road, Halifax, HX3 0RP",Brearley-Greens,6300,14/07/2017
"1 King Street, Halifax, HX1 1SR",Calderdale Wellbeing,16000,07/12/2017
"The Moorings, Canal Wharf, Sowerby Bridge, HX6 2AG",Barley Twist Ltd,60000,13/12/2017
"Unit 2 Asquith Bottom Works, Asquith Bottom, Ridge Street, Sowerby Bridge       HX6 3BS",,1900,04/11/2016
"21 Commercial Street, Brighouse, HD6 1AF",E Cigarette Outlet (Uk) Ltd,14000,28/11/2017
"Second & Third Floors, 51 Crown Street, Halifax, HX1 1JB",,1950,14/07/2017
"Ground & First Floors, 51 Crown Street, Halifax, HX1 1JB",,5100,14/07/2017
"2 St James Road, Halifax, HX1 1YS",,2350,17/08/2017
"RW20/21 Rustic, Piece Hall, Halifax, HX1 1RE",Piece Hall Enterprises Ltd,8400,01/08/2017
"RW17/18 Rustic, Piece Hall, Halifax, HX1 1RE",Piece Hall Enterprises Ltd,8600,01/08/2017
"RW15/16 Rustic, Piece Hall, Halifax, HX1 1RE",Piece Hall Enterprises Ltd,8400,01/08/2017
"18/20 Square, Halifax, HX1 1RJ",Halifax Rugby League Football Club,25250,11/12/2017
"163 King Cross Road, Halifax, HX1 3LN",4AK Properites Limited,21750,15/12/2017
"11 Elizabeth Street, Elland, HX5 0JH",,7300,21/12/2017
"Unit 7 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Arkoni Ltd,33500,22/11/2017
"Unofficial Address, Colden Water, Jack Bridge, Hebden Bridge        HX7 7HS",Colden Water Ltd,9300,30/09/2017
"Market Stalls 127-128, Market Hall, Borough Market, Halifax              HX1 1DZ",Calderdale Mbc,6000,01/12/2015
"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",F F G International (Manchester) Ltd,10250,01/01/2018
"Unit 63 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",Shaw Lodge Mills Ltd,5900,01/01/2018
"13/15 Alexandra Street, Halifax, HX1 1BS",Lantern Group Ltd,18500,25/10/2017
"Office Suite E 121, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,6700,01/01/2018
"20 New Road, Hebden Bridge, HX7 8EF",,11000,01/01/2018
"Part Ground Floor, Park Road Mills, Park Road, Elland               HX5 9HX",Pilot Group Infrastructure Ltd,5200,13/06/2017
"Unit 5, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",Blackshaw Holdings Ltd,4800,08/08/2016
"Unit HM3 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",M & S Engineering,6900,14/12/2017
"Unit 6 Park Road Mills, Park Road, Elland, HX5 9HX",Pilot Group Infrastructure Ltd,24250,13/06/2017
"Offices (1st Floor ), 26 Horton Street, Halifax, HX1 1QE",Dance 4 All Halifax Ltd,4150,01/04/2017
"Land Rear Of, New Delight Works, Mill Lane, Boothtown            HX3 6TU",Reflecting Roadstuds Ltd,2275,06/09/2016
"7 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,3750,01/11/2017
"2 Windsor House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Prodoto Photographic Studios Ltd,19000,07/12/2017
"17 Halifax Road, Todmorden, OL14 5AG",,3950,01/11/2017
"Unit 7, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",Excel Hoardings Ltd,5500,20/08/2017
"19 Commercial Street, Brighouse, HD6 1AF",Hays Travel Ltd,13750,15/12/2017
"Part 4TH Floor F Mill, Dean Clough Mills, Halifax, HX3 5AX",Activate Group Ltd,128000,01/04/2017
