Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
,"5/6 Park Road, Halifax, HX1 2TS",68208006,,35000,Offices and Premises,Listed Building
Setbray Properties Ltd,"1st Floor, Burlees House, Hangingroyd Lane, Hebden Bridge       HX7 7DD",76244710,"Suite 1 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",2375,Clinic And Premises,Empty Property - RV < 15000
Sunnyoffice Ltd,"Moyles Town House, New Road, Hebden Bridge, HX7 8AD",76396731,,8200,Guest House And Premises,Flood Relief Application 2015/16
Aquaspersions Limited,"Listers Road, Halifax, HX3 6AG",65654700,"Beacon Hill Road, Halifax, HX3 6AQ",12250,Vehicle Repair Workshop And Premises,Empty Relief - Post 01/04/2008
,"90 Parkinson Lane, Halifax, HX1 3QH",68224090,,1875,Shop And Premises,Rateable Value below threshold
,"11A Bradford Road, Brighouse, HD6 1RW",29080730,,3800,Offices And Premises,Empty Relief - Post 01/04/2008
Mad Motors Ltd,"Unit 2 Owenshaw Mill, Old Cawsey, Sowerby Bridge, HX6 2AJ",77404709,,1650,Store And Premises,Rateable Value below threshold
Project Colt,"Units 3 4/4A 8 12/13, Bridgefield Mills, Elland Bridge, Elland               HX5 0SG",56080744,,17750,Warehouse And Premises,Flood Relief Application 2015/16
,"Wallace Street, Halifax, HX1 3TZ",69252700,,15500,Factory and Premises,Empty Relief - Post 01/04/2008
,"85 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328703,,5000,Shop And Premises,Empty Relief - Post 01/04/2008
,"2/4 Conway Street, Halifax, HX1 4DT",64662002,,1475,Shop and Premises,Rateable Value below threshold
,"Unit 13, Asquith Bottom Mills, Ridge Street, Sowerby Bridge       HX6 3BS",77024711,,5000,Workshop And Premises,Flood Relief Application 2015/16
John Drury & Co Ltd,"Soap Works, River Street, Brighouse, HD6 1NJ",29492703,,67500,Factory and Premises,Flood Relief Application 2015/16
H.Marsden (Brighouse) Ltd,"17 Bradford Road, Brighouse, HD6 1RW",29080017,,8200,Shop and Premises,Flood Relief Application 2015/16
,"1 Bridge Road, Brighouse, HD6 1EP",29096001,,10750,Restaurant and Premises,Flood Relief Application 2015/16
,"Copley Cricket Club, Copley Lane, Halifax, HX3 0UF",64680700,,13250,Sports Ground And Premises,Flood Relief Application 2015/16
Greetland & District Trading Soc Ltd,"Dean Street, Greetland, Halifax, HX4 8DW",64800701,"Mr John N Clay, B M Howarth Ltd, West House, King Cross Road, Halifax, HX1 1EB",6400,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"Unit 3, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600702,,17250,Factory and Premises,Flood Relief Application 2015/16
,"Mozart House, 34 & 34a Prescott Street, Halifax, HX1 2QW",68280034,,4300,Guest House And Premises,Empty Relief - Post 01/04/2008
A - Z Motor Factors Ltd,"269/271 Queens Road, Halifax, HX1 4NS",68308269,,10750,Shop and Premises,Empty Relief - Post 01/04/2008
,"16 New Road, Hebden Bridge, HX7 8AD",76396016,,10250,Surgery And Premises,Flood Relief Application 2015/16
Abram Pulman & Sons Ltd,"Stock Yard, Walton Street, Sowerby Bridge, HX6 1AN",77636704,"Fao Mr Chris Horner, Warehouse, Walton Street, Sowerby Bridge, HX6 1AN",68500,Factory and Premises,Flood Relief Application 2015/16
,"13 West End, Hebden Bridge, HX7 8JP",76576705,,2300,Shop and Premises,Flood Relief Application 2015/16
Calderdale Mbc Children & Young People's Services,"Lower Ground Floor, Carlton Mill, Wharf Street, Sowerby Bridge      HX6 2AS",77652738,"Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",27750,Offices and Premises,Listed Building
,"Centre Vale, Burnley Road, Todmorden, OL14 7BS",78076705,,14750,Sports Ground And Premises,Flood Relief Application 2015/16
,"4 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",76088004,,1975,Shop and Premises,Flood Relief Application 2015/16
Stokers Ltd,"Clough Bottom, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5LN",76088714,"277 Wennington Road, Southport, Merseyside, PR9 7TW",70000,Showroom And Premises,Flood Relief Application 2015/16
,"Lineholme Mill, Burnley Road, Todmorden, OL14 7DH",78076827,,12000,Workshop And Premises,Flood Relief Application 2015/16
N R Components Ltd,"Der Street Mill, Der Street, Todmorden, OL14 5QT",78128700,,44500,Factory and Premises,Flood Relief Application 2015/16
Dugdale Plc,"Valley Mill, Holmes Road, Sowerby Bridge, HX6 2AA",77284705,,78000,Factory And Premises,Flood Relief Application 2015/16
Phoenix Services Ltd,"Unit 26, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648747,,3550,Workshop And Premises,Flood Relief Application 2015/16
Banana Beach Tanning Corporation Ltd,"26 Southgate, Halifax, HX1 1DL",68652026,"4 Blackbrook Court, Brighouse, HD6 2RP",26000,Salon And Premises,Listed Building
,"First Floor, 8 Wards End, Halifax, HX1 1BX",69264723,,4350,Offices and Premises,Listed Building
Bentley Fielden Ltd,"Units 6/8/10, Salford, Todmorden, OL14 7LF",78408010,,7800,Workshop And Premises,Flood Relief Application 2015/16
,"Unit 19 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",76256722,,730,Store And Premises,Flood Relief Application 2015/16
,"Unit 34a, Mill House Works, Triangle, Sowerby Bridge      HX6 3LN",77352727,,1375,Garage And Premises,Flood Relief Application 2015/16
Golden Fish 168 Ltd,"3 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",76088003,,1925,Shop and Premises,Flood Relief Application 2015/16
,"Unit R8, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448785,,2850,Workshop And Premises,Flood Relief Application 2015/16
Calderdale Mbc,"36 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252748,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2500,Shop and Premises,Listed Building
Cullingworth Commercials & Freight Services Ltd,"Mezzanine Office 8, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388708,"Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",1250,Office,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D 09, Dean Clough Mills, Halifax, HX3 5AX",64885704,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",3350,Warehouse And Premises,Listed Building
Pennine Housing 2000 Ltd,"5 Beech Grove, Lightcliffe, Halifax, HX3 8UU",64196005,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",2450,Shop and Premises,Rateable Value below threshold
Royds Properties Ltd,"Unit 15 Wellington Mills, Quebec Street, Elland, HX5 9AS",56196738,"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",370,Store,Rateable Value below threshold
Dean Clough Ltd,"Office Suites D156/158 &D171, Dean Clough, Halifax, HX3 5AX",64788815,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",18500,Offices and Premises,Listed Building
Dean Clough Ltd,"Unit J1, Dean Clough Industrial Park, Halifax, HX3 5WF",64784790,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",16000,Warehouse And Premises,Listed Building
Pennine Housing 2000 Ltd,"43 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804043,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",1025,Shop and Premises,Rateable Value below threshold
Nestle Uk Ltd,"Bailey Hall Mills, Bailey Hall Road, Halifax, HX3 9XT",64124720,"Fao Viv Guinan, Nestle Rowntree Division, Albion Mills, Halifax, HX3 9XT",37250,Warehouse And Premises,Listed Building
Grantham House Properties Ltd,"Grantham House, Grantham Road, Halifax, HX3 6PL",65192713,"C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",9300,Offices and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Markets Manager,"Balcony Store 10, Borough Market, Halifax, HX1 1DZ",64288782,"19 Albion Street, Halifax, HX1 1DU",750,Store And Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 21, Borough Market, Halifax, HX1 1DZ",64288792,"19 Albion Street, Halifax, HX1 1DU",630,Store And Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 31, Borough Market, Halifax, HX1 1DZ",64288803,"19 Albion Street, Halifax, HX1 1DU",240,Store And Premises,Rateable Value below threshold
,"41 Mount Pellon, Pellon, Halifax, HX2 0EE",65876041,,2325,Workshop And Premises,Rateable Value below threshold
Grantham House Properties Ltd,"Unit 5b, Grantham House, Grantham Road, Halifax             HX3 6PL",65192712,"C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",1150,Offices and Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 30 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056726,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,Offices and Premises,Rateable Value below threshold
,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",64184703,,2950,Store And Premises,Empty Relief - Post 01/04/2008
,"Heart Gallery Arts Centre, 4 Market Street, Hebden Bridge, HX7 6AA",76360726,,1375,Offices and Premises,Flood Relief Application 2015/16
Ladbrokes Betting & Gaming Ltd,"3 Bridge Gate, Hebden Bridge, HX7 8EX",76060003,"Montagu Evans Llp, 2nd Floor, Abbey House, 74 Mosley Street, Manchester, M2 3LW",17500,Shop and Premises,Flood Relief Application 2015/16
,"Unit R6, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",64448725,,2900,Workshop And Premises,Flood Relief Application 2015/16
Eureka! The National Childrens Museum Ltd,"The Great Northern Shed, Discovery Road, Halifax, HX1 2LY",68632705,"Fao Liz Iburg, Discovery Road, Halifax, HX1 2LY",33000,Warehouse And Premises,Listed Building
Pennine Housing 2000 Ltd,"124 Oak Avenue, Todmorden, OL14 5PD",78340124,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",2025,Shop and Premises,Rateable Value below threshold
,"Pear Street, Halifax, HX1 3UA",68232701,,1150,Garage And Premises,Rateable Value below threshold
Roch Valley Homes Ltd,"Rear Hollins Mill, Rochdale Road, Todmorden, OL14 6SJ",78400702,"2nd Floor, Hollins Mill, Walsden, Todmorden, OL14 6SA",4800,Workshop And Premises,Listed Building
Pennine Housing 2000 Ltd,"37/39 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804701,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",2225,Shop and Premises,Rateable Value below threshold
,"Buckland Place, Gibraltar Road, Halifax, HX1 4HJ",65168705,,2200,Vehicle Repair Workshop And Premises,Rateable Value below threshold
,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",68472715,,1675,Workshop And Premises,Rateable Value below threshold
Brittania Developments Ltd,"Old Lane Dyeworks, Old Lane, Halifax, HX3 6TQ",68132721,"J H Walker House, Calder Road, Ravensthorpe, Dewsbury, WF13 3JS",10500,Warehouse And Premises,Listed Building
Mytholmroyd Builders Merchants Ltd,"Units 1 & 2, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",76088867,,16750,Builders Merchants And Premises,Flood Relief Application 2015/16
,"R/O 25 Bethel Street, Brighouse, HD6 1JR",29048712,,990,Store And Premises,Rateable Value below threshold
,"12 Pellon Lane, Halifax, HX1 5SP",68236012,,5900,Shop and Premises,Empty Relief - Post 01/04/2008
Swinton Group Ltd,"Lakeside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",65288706,"Attn Andrew Mellor, Swinton House, 6 Great Marlborough Street, Manchester, M1 5SW",24000,Offices and Premises,Empty Relief - Post 01/04/2008
Units To Let [Northern] Ltd,"Unit 11 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340746,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",610,Band Practice Room,Rateable Value below threshold
,"Unit G, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",29232724,,8300,Workshop And Premises,Flood Relief Application 2015/16
L S Audio Tech Ltd,"Unit W1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448774,"2 Carr View, New Road, Luddenden, Halifax, HX2 6QR",4650,Warehouse And Premises,Flood Relief Application 2015/16
Sackville Spf Iv (Gp) No. 3 Ltd,"2 Crown Street, Hebden Bridge, HX7 8EH",76176002,"C/O Gbr Phoenix & Beard Ltd, The Exchange, 19 Newhall Street, Birmingham, B3 3JP",7900,Surgery And Premises,Empty Relief - Post 01/04/2008
,"Puzzle Hall Inn, 21 Hollins Mill Lane, Sowerby Bridge, HX6 2RF",77276723,,8200,Public House and Premises,Flood Relief Application 2015/16
,"Unit 8, Burnley Road Garage, Mytholmroyd, Hebden Bridge       HX7 5AD",76088738,,6800,Garage And Premises,Flood Relief Application 2015/16
,"Unit 2, 38 Sunderland Street, Halifax, HX1 5AF",68880705,,2375,Store And Premises,Rateable Value below threshold
Northgate Halifax Ltd,"95 Northgate, Halifax, HX1 1XF",68096095,"28 Prescott Street, Halifax, HX1 2LG",9200,Showroom And Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Markets Manager,"Balcony Store 14, Borough Market, Halifax, HX1 1DZ",64288786,"19 Albion Street, Halifax, HX1 1DU",530,Store And Premises,Listed Building
Calderbrook Estates Ltd,"Office No 1, Ladyship Industrial Estate, Old Lane, Halifax             HX3 5QN",68132730,"Waterside House, Central Works, Oldham Road, Ripponden, HX6 4DN",1875,Offices and Premises,Rateable Value below threshold
Robin Wood Property Services,"Unit 8C Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",78076875,"C/O Stephensons Animal Feeds Ltd, Riley Street Mill, Burnley Road, Todmorden, OL14 7DH",2225,Store And Premises,Rateable Value below threshold
Property Holdings Executive Scheme,"Trinity House, Blackwall, Halifax, HX1 2QR",64268710,"Woodthorpe, 1 Gleddings Close, Halifax, HX3 0JD",65000,Offices and Premises,Listed Building
Hutchinson Construction [Northern] Ltd,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",65900707,"C/O Mr P Hutchinson, 5 Lydgate Park, Lightcliffe, Halifax, HX3 8TB",10250,Offices and Premises,Empty Relief - Post 01/04/2008
,"39/41 Crown Street, Halifax, HX1 1HY",64756041,,20500,Shop and Premises,Empty Relief - Post 01/04/2008
Units To Let [Northern] Ltd,"Container No. 3, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340732,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",200,Steel Container,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 12, Borough Market, Halifax, HX1 1DZ",64288784,"19 Albion Street, Halifax, HX1 1DU",570,Store And Premises,Listed Building
Calderdale Mbc,"8 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252735,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2550,Shop and Premises,Listed Building
Blackshaw Holdings Ltd,"3RD Flr Space Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084814,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",6200,Factory and Premises,Empty Relief - Post 01/04/2008
The Owner,"Watson Mill Lane, Sowerby Bridge, HX6 3BW",77644719,"Fao Mr Colin Roberts, Walker Singletons, Property House, Lister Lane, Halifax, HX1 5AS",12250,Car Sales Site and Premises,Unoccupied Land
,"11B Bridge Gate, Hebden Bridge, HX7 8EX",76060711,,7500,Shop and Premises,Flood Relief Application 2015/16
,"Lower Grd Floor & Basement, 354 Pellon Lane, Halifax, HX1 4QD",68236781,,1925,Store And Premises,Rateable Value below threshold
Units To Let [Northern] Ltd,"Unit 17a, Mill House Works, Mill House Lane, Sowerby Bridge      HX6 3LN",77352708,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",405,Store And Premises,Listed Building
W.Y.P.T.E,"Bus Station, Wade Street, Halifax, HX1 1SN",69220707,"Wellington House, 40-50 Wellington Street, Leeds, LS1 2DE",25750,Cafe and Premises,Empty Relief - Post 01/04/2008
,"Part Basement, 2 Wards End, Halifax, HX1 1DD",69264730,,880,Store And Premises,Rateable Value below threshold
,"Garage 1, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420725,,1400,Store And Premises,Empty Property - RV < 15000
Radiance Lighting Shop Ltd,"26 Market Street, Hebden Bridge, HX7 6AA",76360026,"Fao Hannah Nunn, 13 Brunswick Street, Hebden Bridge, HX7 6AJ",5900,Shop And Premises,Flood Relief Application 2015/16
,"2 Brook Street, Todmorden, OL14 5AJ",78068002,,5800,Shop and Premises,Flood Relief Application 2015/16
Synergie Partnerships Uk Ltd,"Unit 4A The Old Post Office, Station Road, Sowerby Bridge, HX6 3AA",77552739,,10000,Pharmacy and Premises,Flood Relief Application 2015/16
,"Unit 7 & 7A, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",76648761,,9200,Workshop And Premises,Flood Relief Application 2015/16
,"Heart Gallery, The Arts Centre, 4A Market Street, Hebden Bridge        HX7 4AA",76360736,,5500,Art Gallery And Premises,Flood Relief Application 2015/16
Lapco Ltd,"14 Market Street, Hebden Bridge, HX7 6AA",76360014,,6900,Shop and Premises,Flood Relief Application 2015/16
,"13/15 Bull Green, Halifax, HX1 2EB",64436716,,8300,Shop And Premises,Empty Relief - Post 01/04/2008
,"Lane Ends, Wheatley, Halifax, HX2 8TW",65572700,,480,Workshop And Premises,Rateable Value below threshold
Dean Clough Ltd,"Unit E.001  E Mill, Dean Clough, Halifax, HX3 5AX",64788854,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",4000,Office,Listed Building
E.P.I.C Plc,"(Former Ling Leisure), West Park Street, Brighouse, HD6 1DU",29628702,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",11750,Shop and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 202 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420725,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 302 Third Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420726,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1600,Warehouse And Premises,Empty Property - RV < 15000
,"Grd Floor Unit 1, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",76012724,,7000,Shop and Premises,Flood Relief Application 2015/16
E.P.I.C Plc,"28 Bridge Gate, Hebden Bridge, HX7 8EX",76060028,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",3000,Offices and Premises,Empty Relief - Post 01/04/2008
,"Hollins Mill, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",77276733,,25250,Warehouse And Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 2A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628854,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",4750,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"64 Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5EZ",76160064,,690,Art Gallery And Premises,Flood Relief Application 2015/16
Mytholmroyd Community Association,"Mytholmroyd Community Centre, Caldene Avenue, Mytholmroyd, HX7 5AF",76092705,"F.A.O. Julie Wilby, Mytholmroyd Community Centre, Caldene Avenue, Mytholmroyd, HX7 5DY",38250,Community Centre And Premises,Flood Relief Application 2015/16
,"9 Hollins Place, Hebden Bridge, HX7 8EU",76280009,,4450,Shop and Premises,Flood Relief Application 2015/16
,"9 Hebble End, Hebden Bridge, HX7 6HJ",76256009,,1500,Self Catering Holiday Unit And Premises,Flood Relief Application 2015/16
Units To Let [Northern] Ltd,"Unit 29A First Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",77690715,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",2175,Store And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 104 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212725,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",600,Store And Premises,Listed Building
Insite Poster Properties Ltd,"Advertising Right 2018, 36 Bradford Road, Brighouse, HD6 1RW",29080733,"Barton Hall, 29 Gloucester Street, Cirencester, GL7 2DJ",1625,Advertising Right And Premises,Empty Property - RV < 15000
,"22 New Road, Hebden Bridge, HX7 8EF",76396736,,5200,Shop And Premises,Flood Relief Application 2015/16
P I Consultants Limited,"Unit W5, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",64448832,"W5 Tenterfields Business Park, Burnley Road, Luddendenfoot, HX2 6EJ",8000,Warehouse And Premises,Flood Relief Application 2015/16
Pennine Wind Turbines Ltd,"Unit A Wood Mill, Halifax Road, Todmorden, OL14 6EE",78192822,"Unit A Wood Mill, Halifax Road, Todmorden, OL14 6EE",6000,Workshop And Premises,Flood Relief Application 2015/16
,"Hollins Mill Lane, Sowerby Bridge, HX6 2QG",77276705,,2750,Warehouse And Premises,Flood Relief Application 2015/16
C H Property Trustee Quality Course Ltd,"Commercial Mills, Ripponden, Sowerby Bridge, HX6 4EH",77408704,"33 Park Square West, Leeds, LS1 2PF",13000,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"Unit 1 Carlton Mills, South Street, Halifax, HX1 2TE",68640700,,880,Store And Premises,Empty Property - RV < 15000
Bizspace Ltd,"Unit 4G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628816,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",41250,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"17 St Georges Square, Hebden Bridge, HX7 8ET",76508017,,7400,Shop and Premises,Flood Relief Application 2015/16
Moor Moves Ltd,"4 Crown Street, Hebden Bridge, HX7 8EH",76176725,"4 Crown Street, Hebden Bridge, HX7 8EH",11000,Shop and Premises,Flood Relief Application 2015/16
Winris Ltd,"8/10 St Georges Square, Hebden Bridge, HX7 8ET",76508008,"61/62 Mount Tabor Road, Mount Tabor, Halifax, HX2 0UP",11500,Shop And Premises,Flood Relief Application 2015/16
Calderdale Mbc Land & Property Services,"65 Rustic, Piece Hall, Halifax, HX1 1RE",68252717,"Northgate House, Northgate, Halifax, HX1 1UN",1675,Shop and Premises,Listed Building
Calderdale Mbc Land & Property Services,"68 Rustic, Piece Hall, Halifax, HX1 1RE",68252777,"Northgate House, Northgate, Halifax, HX1 1UN",830,Shop and Premises,Listed Building
European Food Brokers Ltd,"Atlas Works, Gibbet Street, Halifax, HX1 4DB",65164887,"Chateau Pleck, Darlastan Road, Walsall, West Midlands, WS2 9SQ",80000,Warehouse And Premises,Empty Relief - Post 01/04/2008
Binks Vertical Ltd,"Calderbank House, 23 Huddersfield Road, Brighouse, HD6 1LE",29344735,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",4200,Shop and Premises,Empty Relief - Post 01/04/2008
Specialised Coatings Holdings Ltd,"Unit 6B Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",65164851,"Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",8100,Offices and Premises,Empty Relief - Post 01/04/2008
Royal London Mutual Insurance Society Ltd,"7/9/11 New Road, Halifax, HX1 2LH",68028709,"C/O Capita Fao C Grose, 65 Gresham Street, London, EC2V 7NQ",12250,Shop and Premises,Empty Relief - Post 01/04/2008
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A4, West Parade, Halifax              HX1 2EQ",69360755,"Unit 1 Rudgate Court, Walton, Near Wetherby, West Yorks, LS23 7BF",680,Offices And Premises,Empty Property - RV < 15000
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A6, West Parade, Halifax              HX1 2EQ",69360754,"Unit 1 Rudgate Court, Walton, Near Wetherby, West Yorks, LS23 7BF",2250,Offices And Premises,Rateable Value below threshold
Calderdale Mbc Community Services,"3 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252780,"C/O Michael Devereux, Piece Hall Admin Office, Piece Hall, Halifax, HX1 1RE",2500,Shop and Premises,Listed Building
Homes & Communities Agency,"Crown Works, Hopwood Lane, Halifax, HX1 5HW",65364703,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",2225,Workshop And Premises,Rateable Value below threshold
Homes & Communities Agency,"Part Ground Floor, 8 King Cross Street, Halifax, HX1 2SH",65520730,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",2600,Offices and Premises,Listed Building
Admiral Taverns Ltd,"Robin Hood Inn, 16 Wakefield Road, Brighouse, HD6 1PE",29608716,"Suite H 3, Steam Mill Business Centre, Steam Mill Street, Chester, CH3 5AN",4400,Public House and Premises,Empty Relief - Post 01/04/2008
,"27 Rochdale Road, Todmorden, OL14 7LA",78400027,,6400,Shop and Premises,Flood Relief Application 2015/16
Discount Fireplaces Ltd,"Workshop, Crowtrees Garage, Huddersfield Road, Brighouse            HD6 1HA",29344838,"Crowtrees Garage, Huddersfield Road, Brighouse, HD6 1JZ",14000,Vehicle Repair Workshop And Premises,Flood Relief Application 2015/16
Wood And Wire Ltd,"19 West End, Hebden Bridge, HX7 8UQ",76576019,"19 West End, Hebden Bridge, HX7 8UQ",5400,Shop and Premises,Flood Relief Application 2015/16
Arrow Coach Travel Ltd,"Garage, Mill Royd Street, Brighouse, HD3 1EY",29424727,"Riverside Works, Briggate, Brighouse, HD6 1EL",15750,Garage And Premises,Flood Relief Application 2015/16
,"Unit 3, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",78416713,,1750,Workshop And Premises,Flood Relief Application 2015/16
Due West Ltd,"First Floor, 4/6/8 Albion Street, Halifax, HX1 1DU",64052004,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",5500,Offices and Premises,Empty Relief - Post 01/04/2008
,"Unit 1 & Unit 1A, Bridgefield Mills, Elland Bridge, Elland               HX5 0SG",56080741,,17250,Vehicle Repair Workshop And Premises,Flood Relief Application 2015/16
,"56 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168056,,1400,Shop and Premises,Rateable Value below threshold
Craggs Country Business Park Llp,"Unit 10 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",76400731,"H/O Craggs Country B Park, New Road, Cragg Vale, Hebden Bridge, HX7 5TT",2550,Offices And Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite E136, Dean Clough Mills, Halifax, HX3 5AX",64296742,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",2600,Offices And Premises,Listed Building
,"Part Grd & 1ST Flr, 7 Victoria Road, Elland, HX5 0AB",56244726,,3600,Store And Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 14D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628721,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1550,Store,Rateable Value below threshold
,"Lower Underbank, Charlestown, Hebden Bridge, HX7 6PH",76344700,,6200,Land Used For Storage and Premises,Flood Relief Application 2015/16
C2 (General Partner Two) Lp,"Unit 9 Victoria Park, Lightowler Road, Halifax, HX1 5ND",65626712,"C/O Ryden Llp, Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",8300,Workshop And Premises,Empty Relief - Post 01/04/2008
,"7 Halifax Road, Todmorden, OL14 5AG",78192007,,7700,Shop and Premises,Empty Relief - Post 01/04/2008
,"Unit 4, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",76088875,,7600,Warehouse And Premises,Qualifying industrial hereditament
