Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,Award Method,SME
700186,SWIFT Paradise House (Housing Assoc),Adults and Communities,Residential & Nursing Care,Novalist Trust Ltd,"£41,494.99",01/04/2009,31/03/2016,ITT,N/A
700146,SWIFT Park View,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£28,751.91",01/04/2009,31/03/2016,ITT,N/A
700357,SWIFT Peer Support Brokerage Service,Adults and Communities,Voluntary sector preventative services,Barnet Centre For Independent Living,"£505,546.00",01/03/2011,31/03/2016,ITT,N/A
700191,SWIFT Pen Y Daith,Adults and Communities,Residential & Nursing Care,St David'S Care - Community,"£46,384.75",01/04/2009,31/03/2016,ITT,N/A
700202,SWIFT Phillips House,Adults and Communities,Residential & Nursing Care,Freeways,"£49,796.39",01/04/2009,31/03/2016,ITT,N/A
700290,SWIFT Poolmead Centre (RNID),Adults and Communities,Residential & Nursing Care,Action Of Hearing Loss Formerly Rnid,"£128,261.04",01/04/2009,31/03/2016,ITT,N/A
700324,SWIFT Porlock House,Adults and Communities,Residential & Nursing Care,National Autistic Society,"£208,823.91",01/04/2009,31/03/2016,ITT,N/A
700565,SWIFT Princess Alexandra Home,Adults and Communities,Residential & Nursing Care,Jewish Care,"£152,015.76",01/04/2009,31/03/2016,ITT,N/A
5000004886,5000004886 Psychological Consultation,Adults and Communities,Psychological Consultation,Abigael San,"£12,000.00",17/04/2013,31/03/2016,ITT,N/A
700209,SWIFT Quality Housing(Trinity House),Adults and Communities,Residential & Nursing Care,Quality Housing & Social Care,"£52,798.64",01/04/2009,31/03/2016,ITT,N/A
700299,SWIFT Quantum Care Ltd,Adults and Communities,Residential & Nursing Care,Quantum Care Ltd,"£138,764.44",01/04/2009,31/03/2016,ITT,N/A
700281,SWIFT Rainbow Homes,Adults and Communities,Residential & Nursing Care,Rainbow Homes Ltd,"£108,921.60",01/04/2009,31/03/2016,ITT,N/A
700174,SWIFT Reach,Adults and Communities,Residential & Nursing Care,Rehabiliation Education And Reach Ltd,"£38,714.43",01/04/2009,31/03/2016,ITT,N/A
700236,SWIFT Real Life Options,Adults and Communities,Residential & Nursing Care,Real Life Options,"£68,654.80",01/04/2009,31/03/2016,ITT,N/A
700577,SWIFT Rela Goldhill Lodge,Adults and Communities,Residential & Nursing Care,Jewish Care,"£458,017.63",01/04/2009,31/03/2016,ITT,N/A
5000005106,5000005106 Residential Care Fremantle contract,Adults and Communities,Block bed contract for elderly residential and nusring care,Fremantle Trust,"£6,113,250.00",23/05/2013,30/09/2023,ITT,N/A
700175,SWIFT Roper House (RNID),Adults and Communities,Residential & Nursing Care,Action Of Hearing Loss Formerly Rnid,"£38,814.82",01/04/2009,31/03/2016,ITT,N/A
700573,SWIFT Rosetrees (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£399,913.84",01/04/2009,31/03/2016,ITT,N/A
700569,SWIFT Rubens House (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£217,323.71",01/04/2009,31/03/2016,ITT,N/A
700348,SWIFT Sage Nursing Home,Adults and Communities,Residential & Nursing Care,Service To The Aged,"£358,408.48",01/04/2009,31/03/2016,ITT,N/A
700566,SWIFT Sam Beckman Day Centre,Adults and Communities,Day Care,Jewish Care,"£172,149.28",07/11/2011,31/03/2016,ITT,N/A
700214,SWIFT Seaforth Lodge,Adults and Communities,Residential & Nursing Care,Waterfall House Ltd,"£54,095.54",01/04/2009,31/03/2016,ITT,N/A
700099,SWIFT13 Services For Older People,Adults and Communities,preventative services and café,Alzheimer's Society,"£95,149.00",01/04/2013,31/03/2016,ITT,N/A
700346,SWIFT Services For Older People,Adults and Communities,Voluntary sector preventative services,Age Uk Barnet,"£334,619.00",01/04/2011,31/03/2016,ITT,N/A
700195,SWIFT Seva Care Home,Adults and Communities,Residential & Nursing Care,Seva Care Home,"£48,102.86",01/04/2009,31/03/2016,ITT,N/A
700242,SWIFT SFI (College Road),Adults and Communities,Residential & Nursing Care,Striving For Independence (Sfi) Group Home,"£71,108.57",01/04/2009,31/03/2016,ITT,N/A
700256,SWIFT Short Heath Road Home,Adults and Communities,Residential & Nursing Care,Thoughts Of Others Ltd,"£82,825.28",01/04/2009,31/03/2016,ITT,N/A
700568,SWIFT Sidney Corob House,Adults and Communities,Residential & Nursing Care,Jewish Care,"£205,779.26",01/11/2009,31/03/2016,ITT,N/A
700224,SWIFT Silver Springs,Adults and Communities,Residential & Nursing Care,Silver Springs Rch Ltd (Mr & Mrs K Sedani),"£57,411.81",01/04/2009,31/03/2016,ITT,N/A
700261,SWIFT Sir Thomas Lipton Home,Adults and Communities,Residential & Nursing Care,Friends Of The Elderly,"£87,934.11",01/04/2009,31/03/2016,ITT,N/A
700273,SWIFT Sonesta Nursing Home,Adults and Communities,Residential & Nursing Care,Sonesta Nursing Home Ltd,"£97,269.73",01/04/2009,31/03/2016,ITT,N/A
700143,SWIFT Southgate Beaumont,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£28,432.97",01/04/2009,31/03/2016,ITT,N/A
700231,SWIFT Spanish & Portuguese Jews Home,Adults and Communities,Residential & Nursing Care,Spanish & Portuguese Jews Home,"£62,991.96",01/04/2009,31/03/2016,ITT,N/A
700305,SWIFT Springdene; Spring Lane ,Adults and Communities,Residential & Nursing Care,Springdene Nursing & Care Home Ltd,"£153,050.37",01/04/2009,31/03/2016,ITT,N/A
700279,SWIFT St Christophers Hse,Adults and Communities,Residential & Nursing Care,Platinum Health Resources Ltd,"£102,874.23",01/04/2009,31/03/2016,ITT,N/A
700337,SWIFT St Elizabeths,Adults and Communities,Residential & Nursing Care,Congregation Of The Daughters Of The Cross Of Liege,"£290,139.18",01/04/2009,31/03/2016,ITT,N/A
700271,SWIFT St Vincents Nursing Home,Adults and Communities,Residential & Nursing Care,St Vincent'S Hospital,"£93,682.62",01/04/2009,31/03/2016,ITT,N/A
700116,"SWIFT01 Station Road, The Broadway",Adults and Communities,Sheltered housing,Central & Cecil Housing,"£12,989.00",01/04/2013,30/09/2016,ITT,N/A
5000006053,5000006053 Stopford Information Systems,Adults and Communities,Stopford Information Systems,Stopford Information Sytems Limited,"£24,000.00",07/11/2013,31/03/2018,ITT,N/A
700185,SWIFT Street Farm,Adults and Communities,Residential & Nursing Care,Bradbury House Organisation,"£40,858.67",01/04/2009,31/03/2016,ITT,N/A
700172,SWIFT Stroke Navigator,Adults and Communities,Voluntary sector preventative services,Stroke Association,"£38,251.32",15/11/2010,31/03/2016,ITT,N/A
700258,SWIFT Sunridge Court,Adults and Communities,Residential & Nursing Care,Sunridge Housing Association,"£84,191.50",01/04/2009,31/03/2016,ITT,N/A
701129,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Brunswick Supported Living Service Ltd,"£205,176.70",01/04/2013,31/03/2016,ITT,N/A
700060,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Voyage Limited,"£205,176.70",01/04/2013,31/03/2016,ITT,N/A
700063,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Care Worldwide London Ltd,"£205,176.70",01/04/2013,31/03/2016,ITT,N/A
700064,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Green Oak Living,"£205,176.70",01/04/2013,31/03/2016,ITT,N/A
700066,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Metropolitan Support Trust,"£205,176.70",01/04/2013,31/03/2016,ITT,N/A
700067,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Next Steps Support Ltd,"£205,176.70",01/04/2013,31/03/2016,ITT,N/A
700068,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Origin Housing,"£205,176.70",01/04/2013,31/03/2016,ITT,N/A
700071,SWIFT29 Supported Housing,Adults and Communities,Supported living framework,Walsingham ,"£205,176.70",01/04/2013,31/03/2016,ITT,N/A
700078,SWIFT24 Supported Housing,Adults and Communities,Supported living framework,One Step At A Time,"£551,149.47",01/04/2013,31/03/2016,ITT,N/A
700079,SWIFT23 Supported Housing,Adults and Communities,Supported living framework,Creative Support Ltd,"£471,915.22",01/04/2013,31/03/2016,ITT,N/A
700081,SWIFT22 Supported Housing,Adults and Communities,Supported living framework,Langdon Community,"£465,557.22",01/04/2013,31/03/2016,ITT,N/A
700093,SWIFT20 Supported housing,Adults and Communities,Supported living framework,Kisharon / Eagle Lodge,"£192,692.90",01/04/2013,31/03/2016,ITT,N/A
700094,SWIFT19 Supported Housing,Adults and Communities,Supported living framework,Royal National Mencap Society,"£169,556.30",28/04/2013,31/03/2016,ITT,N/A
700095,SWIFT18 Supported Housing,Adults and Communities,Supported living framework,The Richmond Fellowship ,"£166,430.66",01/04/2013,31/03/2016,ITT,N/A
700096,SWIFT17 Supported Housing,Adults and Communities,Supported living framework,Care Management Group (CMG),"£154,593.17",01/04/2013,31/03/2016,ITT,N/A
700098,SWIFT14 Supported Housing,Adults and Communities,Supported living framework,Maison Moti Ltd,"£117,234.41",01/04/2013,31/03/2016,ITT,N/A
700100,SWIFT12 Supported Housing,Adults and Communities,Supported living framework,Shine Partnership Ltd,"£92,232.00",01/04/2013,31/03/2016,ITT,N/A
700103,SWIFT09 Supported Housing,Adults and Communities,Supported living framework,The Regard Partnership,"£52,084.93",01/04/2013,31/03/2016,ITT,N/A
700107,SWIFT06 Supported Housing,Adults and Communities,supported living framework,Dillon Care,"£44,442.85",01/04/2013,31/03/2016,ITT,N/A
700109,SWIFT04 Supported Housing,Adults and Communities,supported living framework,SGSL Ltd,"£31,371.43",01/04/2013,31/03/2016,ITT,N/A
700187,SWIFT Supported Housing,Adults and Communities,Residential & Nursing Care,Baytree Community Care,"£42,817.00",01/04/2010,31/03/2016,ITT,N/A
700378,SWIFT Supported Housing & Day Care (Was Your Choice (Barnet)),Adults and Communities,Supported Living & Day Care,Thebarnetgroup Ltd,"£5,223,837.00",01/02/2012,31/01/2017,ITT,N/A
700293,SWIFT Sydmar Lodge,Adults and Communities,Residential & Nursing Care,European Care Ltd,"£132,981.39",01/04/2009,31/03/2016,ITT,N/A
700342,SWIFT Tager Centre,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£327,383.34",01/04/2009,31/03/2016,ITT,N/A
700114,SWIFT03 Terrington Lodge,Adults and Communities,SWIFT03 Terrington Lodge,Terrington Lodge Ltd,"£23,112.00",23/05/2013,31/03/2016,ITT,N/A
700312,SWIFT The Farmhouse (Ravenswood),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£167,242.65",01/04/2009,31/03/2016,ITT,N/A
700223,SWIFT The Firs (Ravenswood Village),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£57,104.37",01/04/2009,31/03/2016,ITT,N/A
700330,SWIFT The Green (Ravenswood Village),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£233,923.67",01/04/2009,31/03/2016,ITT,N/A
700200,SWIFT The Marillac,Adults and Communities,Residential & Nursing Care,Sisters Of Charity-St Vincents,"£49,119.81",01/04/2009,31/03/2016,ITT,N/A
700122,SWIFT The Meadow,Adults and Communities,Residential & Nursing Care,Methodist Homes For The Aged (Mha) Care Group,"£25,649.80",01/04/2009,31/03/2016,ITT,N/A
700157,SWIFT The Rookery,Adults and Communities,Residential & Nursing Care,Janith Homes Ltd,"£31,290.91",01/04/2009,31/03/2016,ITT,N/A
700259,SWIFT The Springs Community,Adults and Communities,Residential & Nursing Care,Cygnet Ltd,"£84,768.74",01/04/2009,31/03/2016,ITT,N/A
700212,SWIFT The Well House Respite Unit,Adults and Communities,Residential & Nursing Care,The Well House,"£53,070.00",01/04/2009,31/03/2016,ITT,N/A
700194,SWIFT Thorndene,Adults and Communities,Residential & Nursing Care,Thorndene Ltd,"£47,984.17",01/04/2009,31/03/2016,ITT,N/A
5000004012,5000004012 Training ,Adults and Communities,Training ,The Knowledge Academy,"£12,100.00",06/09/2012,31/03/2016,ITT,N/A
5000004183,5000004183 Training  (AD),Adults and Communities,Training  (AD),Middlesex University,"£20,000.00",30/10/2012,31/03/2016,ITT,N/A
700153,SWIFT Tudor Lodge,Adults and Communities,Residential & Nursing Care,Tudor Lodge Resiential Home,"£29,865.60",01/04/2009,31/03/2016,ITT,N/A
700297,SWIFT Two Rivers,Adults and Communities,Residential & Nursing Care,Suncare Recovery Ltd,"£137,982.00",01/04/2009,31/03/2016,ITT,N/A
700345,SWIFT Walsingham Community,Adults and Communities,Residential & Nursing Care,Walsingham,"£332,818.44",01/04/2009,31/03/2016,ITT,N/A
700156,SWIFT Wensley House,Adults and Communities,Residential & Nursing Care,Beling & Co Ltd,"£31,200.00",08/06/2012,31/03/2016,ITT,N/A
700142,SWIFT Westgate House Care Centre,Adults and Communities,Residential & Nursing Care,Westgate Healthcare Ltd,"£27,457.04",01/04/2009,31/03/2016,ITT,N/A
700228,SWIFT Westminster Barchester (Bulk),Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£59,085.47",01/04/2009,31/03/2016,ITT,N/A
700121,SWIFT Whitchurch Lodge,Adults and Communities,Residential & Nursing Care,Finbond Ltd,"£25,332.43",01/04/2009,31/03/2016,ITT,N/A
700406,SWIFT 31 Whitehall Road,Adults and Communities,Whitehall Road,Care Assist Ltd,"£85,146.00",24/07/2013,31/03/2016,ITT,N/A
700360,SWIFT Willow Care Homes,Adults and Communities,Residential & Nursing Care,Willow Care Homes Ltd,"£575,456.57",01/04/2009,31/03/2016,ITT,N/A
700217,SWIFT Wilsmere House,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£55,752.00",01/04/2009,31/03/2016,ITT,N/A
700302,SWIFT Woodfield House,Adults and Communities,Residential & Nursing Care,Woodfield House,"£142,478.57",01/04/2009,31/03/2016,ITT,N/A
700292,SWIFT Yad Voezer ,Adults and Communities,Residential & Nursing Care,Yad Voezer,"£131,220.93",01/04/2009,31/03/2016,ITT,N/A
5000006172,5000006172 Young Peoples Substance Misuse,Adults and Communities,Young Peoples Substance Misuse,The Tavistock and Portman NHS Foundation Trust,"£196,072.00",01/04/2013,30/06/2017,ITT,N/A
700453,700032I GPS Tags,Adults and Communities,GPS Tags,Care Where Ltd,"£49,992.00",14/04/2014,15/04/2016,ITT,N/A
700298,SWIFT Two Rivers,Adults and Communities,SWIFT Two Rivers,Suncare Recovery Ltd,"£137,982.00",01/04/2009,31/03/2016,ITT,N/A
700686,700686I- West London Alliance (WLA),Adults and Communities,West London Alliance (WLA),London Borough of Ealing - West London Alliance,"£55,000.00",16/07/2014,30/06/2018,Other,N/A
701036,701036 - Development Agreement,Adults and Communities,Development Agreement,Notting Hill Housing,"£322,120.26",31/03/2003,31/03/2016,Other,N/A
701213,DoLs Mental Health Assessor (Amin Enterprise Ltd),Adults and Communities,DoLs Mental Health Assessor (Amin Enterprise Ltd),Amin EnterpriSe Ltd,"£110,538.52",01/04/2014,31/03/2016,SLA,N/A
701212,Dols Mental Health Assessor (Ashpri Ltd),Adults and Communities,Dols Mental Health Assessor (Ashpri Ltd),Ashpri Ltd,"£52,631.28",01/04/2014,31/03/2016,SLA,N/A
701215,Dols Mental Health Assessor (Koru Medical Limited),Adults and Communities,Dols Mental Health Assessor (Koru Medical Limited),Koru Medical Ltd,"£52,131.19",01/04/2014,31/03/2016,SLA,N/A
701214,DoLs Mental Health Assessor (LMS Bolton Ltd),Adults and Communities,DoLs Mental Health Assessor (LMS Bolton Ltd),LMS (Bolton) Ltd,"£53,912.39",01/04/2014,31/03/2016,SLA,N/A
701227,IMCA Tri- Borough Contract (London Borough of Enfield),Adults and Communities,IMCA Tri- Borough Contract (London Borough of Enfield),The London Borough of Enfield,"£201,791.00",01/04/2014,31/03/2017,ITT,N/A
701240,Alan Berresford Ltd,Adults and Communities,Alan Berresford Ltd,Alan Berresford Ltd,"£15,000.00",13/02/2015,30/09/2016,ITT,N/A
701286,Procurement of IPADS (Academia Ltd),Adults and Communities,Procurement of IPADS (Academia Ltd),Academia Ltd,"£14,746.13",30/03/2015,29/03/2018,ITT,N/A
701352,Provision of Community Advice Service (Barnet Citizen Advice ) (AD),Adults and Communities,Provision of Community Advice Service (Barnet Citizen Advice ) (AD),Barnet Citizen Advice,"£1,694,100.00",06/04/2015,05/04/2020,OJEU,N/A
701373,Dols Mental Health Assessor (Aisa Medical Ltd) (AD),Adults and Communities,Dols Mental Health Assessor (Aisa Medical Ltd) (AD),Aisa Medical Ltd,"£58,000.00",01/04/2015,31/03/2016,ITT,N/A
701375,Dols Mental Health Assessor (Akras Solutions Limited),Adults and Communities,Dols Mental Health Assessor (Akras Solutions Limited),Akras Solutions Limited,"£30,000.00",01/04/2015,31/03/2016,ITT,N/A
701374,Dols mental Health Assessor (Dr Patrick Purcell) (AD),Adults and Communities,Dols mental Health Assessor (Dr Patrick Purcell) (AD),Dt Patrick Purcell,"£10,000.00",01/04/2015,31/03/2016,ITT,N/A
701407,Advice and Advocacy Services (Barnet Citizens Advice Bureau),Adults and Communities,Advice and Advocacy Services (Barnet Citizens Advice Bureau),Barnet Citizens Advice Bureau,"£1,540,089.00",01/04/2015,31/03/2020,OJEU,N/A
701393,BIA (Justex Ventures Ltd) (AD),Adults and Communities,BIA (Justex Ventures Ltd) (AD),Justex Ventures Ltd,"£40,000.00",01/06/2015,31/03/2016,ITT,N/A
701390,BIA (Katherine Lawson) (AD),Adults and Communities,BIA (Katherine Lawson) (AD),Katherine Lawson Ltd,"£30,000.00",01/08/2015,31/03/2016,ITT,N/A
701391,BIA (Katrina McCarthy t/a Katrina McKane) (AD),Adults and Communities,BIA (Katrina McCarthy t/a Katrina McKane) (AD),Katrina McCarthy t/a Katrina McKane,"£60,000.00",01/06/2015,31/03/2016,ITT,N/A
701392,BIA (Kevin Scheuring Limited) (AD),Adults and Communities,BIA (Kevin Scheuring Limited) (AD),Kevin Scheuring Limited,"£60,000.00",01/06/2015,31/03/2016,ITT,N/A
701362,SPA Project Topographical Survey,Adults and Communities,SPA Project Topographical Survey,Murphy Surveys,"£38,685.00",04/09/2015,31/01/2016,ITT,N/A
5000004982,Case management system & support (CGov),Assurance,Case management system & support (CGov),iCasework Ltd,"£10,200.00",02/05/2013,31/03/2016,ITT,N/A
5000004434,Hire of Venue  (CGov),Assurance,Hire of Venue  (CGov),Community Focus,"£10,000.00",04/01/2013,31/03/2016,ITT,N/A
5000001115,Training,Assurance,Training,The Emergency Planning College,"£24,999.00",01/04/2012,31/03/2016,ITT,N/A
5000000532,IT Maintenance to Gov Serv,Assurance,IT Maintenance to Gov Serv,Modern Mindset,"£66,160.00",23/02/2012,22/02/2017,ITT,N/A
5000004604,Electoral Registration and Election Management Software System ,Assurance,Electoral Registration and Election Management Software System ,Xpress Software Solutions Ltd,"£34,500.00",01/04/2013,31/03/2016,Other,N/A
5000001028,Radio units   (Comm Grp),Commissioning Group,Radio units   (Comm Grp),Airwave Solutions Limited,"£11,922.00",21/08/2013,20/08/2016,ITT,N/A
5000004409,DCLG TFS Empty Homes,Commissioning Group,DCLG TFS Empty Homes,LB Enfield  Recoup,"£739,713.82",21/12/2012,31/03/2016,ITT,N/A
5000005527,NSCSO Contract (CSG),Commissioning Group,"NSCSO Contract - Procurement, Estates Management, Information Services, Revenue and Benefits, Customer Services, Corporate Programme Management, Human Resources and Finance",Capita Business Services Ltd,"£265,595,104.00",05/08/2013,31/08/2023,ITT,N/A
700044,CLA - Public Admin Licence,Commissioning Group,CLA - Public Admin Licence,The Copyright Licensing Agency Ltd,"£35,000.00",01/04/2013,31/03/2016,SLA,N/A
700164,Local Partnerships Internal Assurance Toolkit (CG),Commissioning Group,Local Partnerships Internal Assurance Toolkit (CG),Local Partnerships LLP,"£15,000.00",25/05/2014,25/06/2017,Other,N/A
701196,Open Library Technology,Commissioning Group,Open Library Technology,Bibliotheca Ltd,"£32,372.00",11/11/2014,11/11/2017,ITT,N/A
701252,Apple Hardware for Corporate Design Team,Commissioning Group,Apple Hardware for Corporate Design Team,Jigsaw24,"£12,334.00",26/11/2014,26/11/2019,ITT,N/A
701239,HD Productions Ltd,Commissioning Group,HD Productions Ltd,HD Productions Ltd,"£20,000.00",01/01/2015,31/01/2016,ITT,N/A
701244,Financial & Commercial Advisor Education ADM,Commissioning Group,Financial & Commercial Advisor Education ADM,iMPOWER Consulting Limited,"£277,646.00",01/04/2015,31/01/2016,ITT,N/A
701338,Distribution Service for Barnet Council,Commissioning Group,Distribution Service for Barnet Council,Letterbox Distribution,"£124,800.00",01/06/2015,31/05/2018,ITT,N/A
701358,Delivering a Waste Strategy for Barnet Project,Commissioning Group,Delivering a Waste Strategy for Barnet Project,Anthesis (UK) Ltd,"£25,000.00",14/07/2015,31/03/2016,ITT,N/A
701318,Insurance Claims Settlements - The Barnet Group,Commissioning Group,Insurance Claims Settlements - The Barnet Group,The Barnet Group,"£200,000.00",01/04/2015,30/03/2016,OJEU,N/A
701319,Insurance for Tree works linked to subsidence claims,Commissioning Group,Insurance for Tree works linked to subsidence claims,City Suburban Tree Surgeons Ltd,"£24,500.00",01/04/2015,30/03/2016,ITT,N/A
701418,Back to work support for service users.,Commissioning Group,Back to work support for service users.,Future Path Development CIC,"£45,000.00",11/09/2015,31/03/2016,ITT,N/A
701253,Document Archive and Storage Services,Commissioning Group,Document Archive and Storage Services,Stor-A-file,"£320,000.00",15/03/2015,31/03/2019,OJEU,N/A
701428,Library Service Public Consultation,Commissioning Group,Library Service Public Consultation,Enventure Consultancy Ltd,"£35,000.00",06/11/2015,28/02/2016,ITT,N/A
701430,Secondment of Governance Officer,Commissioning Group,Secondment of Governance Officer,Guildford Borough Council,"£28,920.02",01/10/2015,31/03/2016,ITT,N/A
701426,Supply of 55 Parking Spaces at Athenaeum Road Car Park,Commissioning Group,Supply of 55 Parking Spaces at Athenaeum Road Car Park,Towndene Properties Ltd,"£42,405.00",01/10/2015,30/09/2016,ITT,N/A
701436,Delivering LBB Facilities At Grahame Park Library,Commissioning Group,Delivering LBB Facilities At Grahame Park Library,Barnet and Southgate College,"£2,970,116.00",01/12/2015,31/10/2016,OJEU,N/A
5000006442,Barford Woodland Retreat No 2,Children's Service,"Authorisation to Novate to be approved 2nd April CRC, Contract currently with legal.",Barford Park House Ltd,"£59,636.00",01/12/2013,31/03/2016,ITT,N/A
5000006441,Barford Grove House No 12 ,Children's Service,"Authorisation to Novate to be approved 2nd April CRC, Contract currently with legal.",Barford Park House Ltd,"£63,957.00",01/12/2013,31/03/2016,ITT,N/A
5000006439,Barford Willow Lodge No 3,Children's Service,"Authorisation to Novate to be approved 2nd April CRC, Contract currently with legal.",Barford Park House Ltd,"£61,364.00",01/12/2013,31/03/2016,ITT,N/A
5000006139,Child Placement,Children's Service,Child Placement,Whistledawn Ltd trading as Northern Care,"£126,850.00",07/11/2013,31/03/2017,ITT,N/A
5000006017,Direct Care Ltd,Children's Service,Direct Care Ltd,Direct Care Ltd,"£89,850.00",03/10/2013,31/03/2017,ITT,N/A
5000005857,Child Placement,Children's Service,Child Placement,Apple Fostering,"£69,720.00",31/03/2014,31/03/2017,ITT,N/A
5000005800,Child Placement,Children's Service,Child Placement,Alere Care,"£45,084.00",05/09/2013,31/03/2017,ITT,N/A
5000005721,St Christophers- Residential,Children's Service,St Christophers- Residential,St Christophers Fellowship,"£319,200.00",04/07/2013,31/07/2017,ITT,N/A
5000005675,Child Placement,Children's Service,Child Placement,Wilderness Experience Ltd,"£81,000.00",08/08/2013,31/03/2016,ITT,N/A
5000005487,Child Placement,Children's Service,Child Placement- Awaiting contract,Oak Tree Care Services Ltd (CS),"£29,750.00",01/08/2013,31/03/2017,ITT,N/A
5000005357,London Care Placements,Children's Service,London Care Placements,Foster Care Associates,"£417,528.00",01/04/2010,31/07/2017,ITT,N/A
5000005116,CommUNITY Barnet  (CS),Children's Service,"Engaging the voluntary and community sector in strategic planning and delivery of services to CYP. Final Invoice for last year, authorised by Head of Procurement Kevin Bates. See email in repository. Awaiting extension document.",Community Barnet,"£116,550.00",01/04/2013,31/03/2016,ITT,N/A
5000005104,Askews & Holts Library Serv Ltd (CS),Children's Service,Libraries framework,Askews & Holts,"£730,000.00",22/05/2013,31/03/2016,ITT,N/A
5000005103,Bertram Library Services (CS),Children's Service,Bertram Library Services (CS),Bertram Library,"£44,000.00",22/05/2013,31/03/2016,ITT,N/A
5000005074,Children's Home (CS),Children's Service,Child Placement - LCP,Adeza Care Homes Ltd,"£229,500.00",13/05/2013,31/03/2016,ITT,N/A
5000004884,Child Placement,Children's Service,Child Placement,The Serendipity Centre Ltd,"£234,302.00",10/03/2013,31/03/2016,ITT,N/A
5000004851,Child Placement  (CS),Children's Service,Child Placement - LCP,Igleside Childrens Home Ltd,"£159,342.14",10/04/2013,31/03/2016,ITT,N/A
5000004850,Child Placement   (CS),Children's Service,Child Placement - LCP/ No contract on file as contract has not been requested due to placement team chasing provider for pricing schedule.,Tumblewood Project,"£202,500.00",10/04/2013,31/03/2016,ITT,N/A
5000004470,Child Placement,Children's Service,Child Placement,Care Afloat,"£323,000.00",22/01/2013,31/03/2017,ITT,N/A
5000004297,Residential Children's Home,Children's Service, Placement of children in care - therapeutic residential home with education,Prestige Adolescent Care & Education Ltd,"£257,400.00",01/04/2012,31/03/2017,ITT,N/A
5000004155,Social Care (Caldecott Foundation),Children's Service,Placement of Children in care.,The Caldecott Foundation,"£746,478.00",01/04/2010,31/03/2016,ITT,N/A
5000002775,Child Placement,Children's Service,Child Placement,Foster Care UK,"£108,441.00",01/04/2013,31/07/2017,ITT,N/A
5000002741,Care Placements Contract,Children's Service,Placement of children in care,Chrysalis Care Limited,"£136,929.00",01/04/2010,31/07/2017,ITT,N/A
5000002588,Care Placements Contract,Children's Service,Placement of Children in care.,Time For Children Ltd,"£73,000.00",01/04/2010,31/07/2017,ITT,N/A
5000002556,Child Placement ,Children's Service,Child Placement,Child First Fostering,"£217,995.00",01/04/2013,31/07/2017,ITT,N/A
5000002546,Care Placements Contract,Children's Service,Care Placements Contract,Arnfield Care Limited,"£181,701.99",01/04/2010,31/03/2016,ITT,N/A
5000000755,Child Placement,Children's Service,"Contract Extension Currently with legal, Variation of £65844.00 requested to cover current placement with the provider.",Park Lane residential Home,"£328,589.31",01/04/2012,31/03/2016,ITT,N/A
5000000599,Child Placement ,Children's Service,Child Placement ,Benjamin UK,"£607,963.00",01/04/2013,31/03/2016,ITT,N/A
5000000441,Care Placements Contract,Children's Service,Placement of Children in care.,Bramley Care Ltd/ Apple Orchard,"£416,000.00",01/04/2010,31/03/2017,ITT,N/A
5000000335,Temp Accommodation,Children's Service,Temp Accommodation,LCS Partnerships Ltd,"£312,584.00",03/10/2013,31/03/2017,ITT,N/A
5000002575,Care Placements Contract,Children's Service,Placement of Children in care.,Lioncare Limited,"£173,531.47",01/04/2010,31/03/2017,ITT,N/A
5000005406,Social Care Placement  (CS),Children's Service,Family Placement ,Jamma Umoja,"£103,350.00",10/07/2013,31/03/2017,ITT,N/A
5000005366,London Care Placements  (CS),Children's Service,Child Placement - LCP,Sankofa Care Ltd,"£46,800.00",01/04/2013,31/03/2016,ITT,N/A
5000002684,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Tavistock And Portman Nhs Foundation Trust,"£382,950.00",22/11/2012,31/03/2016,ITT,N/A
5000002541,Camhs,Children's Service,Child & Adolescent Mental Health Services.,Barnet Enfield & Haringey,"£943,000.00",01/04/2012,31/03/2016,ITT,N/A
5000005801,Child Placement,Children's Service,Child Placement,Allison Lodge Ltd,"£29,750.00",05/09/2013,31/03/2017,ITT,N/A
5000005243,Family Group Conferences,Children's Service,Provision of Family Group Conferences,Forward 4 Families,"£180,000.00",23/01/2012,31/03/2016,ITT,N/A
