Property Reference Number,Full Property Address,Current Rateable Value,Primary Liable party name,Account Start Date,Occupied relief,Empty relief,Empty relief start date,Empty exemption,Exemption start date
323750000011,"Independent Gas Transporter, Worsley Road, Eccles, M30 8GH",1525,Energetics Gas Limited,01/04/2014,,,,,
326008630000,"Independent Gas Transporter, Perkins Avenue, Salford, M7 2XN",440,Energetics Gas Limited,01/04/2016,,,,,
532610000002,"Energetics Gas Ltd , Dean Road, Cadishead, Manchester, M44 5AE",980,Energetics Gas Limited,01/04/2013,,,,,
753370000000,"Independent Gas Transporter , Tully Street , Salford , M7 4PA",690,Energetics Gas Limited,01/04/2014,,,,,
855630000010,"Independent Gas Transporter Phase 1, Broughton Lane, Salford, M8 9UE",810,Energetics Gas Limited,01/04/2013,,,,,
855630000011,"Independent Gas Transporter Phase 2, Broughton Lane, Salford, M8 9UE",450,Energetics Gas Limited,01/04/2013,,,,,
857490010000,"Independent Gas Transporter , Fenney Street, Salford, M7 2ZG",540,Energetics Gas Limited,01/04/2015,,,,,
970770038598,"Independent Gas Transporter, Liverpool Street, Salford, M5 4LT",475,Energetics Gas Limited,01/04/2016,,,,,
971240001000,"Independent Gas Transporter , Mocha Parade, Salford, M7 1QE",2150,Energetics Gas Limited,01/04/2015,,,,,
1186130000300,"Independent Gas Transporter, Media City Uk, Salford, M50 2GR",120,Energetics Gas Limited,01/04/2014,,,,,
1310870005000,"Independent Gas Transporter, Derby Road, Salford, M6 5YD",235,Energetics Gas Limited,01/04/2016,,,,,
1315840000002,"Independent Gas Transporter , St Lukes Road, Salford , M6 5DH",490,Energetics Gas Limited,01/04/2013,,,,,
1424290000001,"Independent Gas Transporter, Tootal Drive, Salford, M6 8DP",240,Energetics Gas Limited,01/04/2016,,,,,
2173750000000,"Independent Gas Transporter , Moss Lane, Walkden, Worsley, M28 3NF",740,Energetics Gas Limited,01/04/2014,,,,,
2175130000002,"Energetics Gas Ltd , Atkin Street, Walkden, Worsley, M28 3DG",570,Energetics Gas Limited,01/04/2013,,,,,
8615700010001,"Independent Gas Transporter, Teneriffe Street, Salford, M7 2XW",156,Energetics Gas Limited,01/04/2016,,,,,
2173750022005,"Independent Gas Transporter, Phase 3, Moss Lane , Worsley, M28 3NF",168,Energetics Gas Limited,01/04/2015,,,,,
1860060000001,"Gnd Floor Oak Court, Clifton Business Park, Wynne Avenue, Swinton, Manchester, M27 8FF",53000,Enersys Ltd,11/08/2010,,,,,
1186130000001,"Unit 1 Gnd Floor, The Garage, Broadway, Media City Uk, Salford, M50 2TG",22750,Engie Fm Limited,15/04/2014,,,,,
641670000024,"Adj Mandley Park Library, Leicester Road, Salford, M7 4DA",4500,English Churches Housing Group,01/04/2008,,EPRI,01/04/2011,,
965670000000,"Vimto Gardens Sales Office, Islington Way, Off Chapel Street , Salford , M3 7NN",1475,English Cities Fund,04/07/2014,,,,,
0096861000055B,"Mailbox Express, Gore Street, Salford, M3 5FP",9800,English Cities Fund C/O Muse Developments Ltd,09/12/2012,,,,,
534230001001,"Unit 1, Mayfield Industrial Park, Liverpool Road, Irlam, Manchester, M44 6GD",19000,Ensinger Limited,16/12/1994,,,,,
534230004661,"Unit 6, Mayfield Industrial Park, Liverpool Road, Irlam, Manchester, M44 6GD",9000,Ensinger Limited,01/05/2012,,,,,
426350002116,"Unit 1, Fairhills Road Industrial Estate, Tallow Way, Irlam, Manchester, M44 6RJ",54500,Enterprise Q Limited,19/03/2001,,,,,
855810229243,"Enterprise Rent A Car, 229/241, Bury New Road, Salford, M8 8DY",10750,Enterprise Rent A Car (Uk) Limited,01/06/1996,,,,,
1192050140018,"Enterprise, Broadway Industrial Estate, Trafford Road, Salford, M50 3UQ",18000,Enterprise Rent A Car (Uk) Limited,04/01/2013,,,,,
1186130000254,"Unit K Northstage, 72, Broadway, Salford, M50 2UW",9300,Enterprise Security Distribution (North West) Ltd,01/11/2002,,,,,
1192050051026,"11th Floor, Building 5, Exchange Quay, Trafford Road, Salford, M5 3EF",74000,Environmental Resources And Management,19/11/2007,,,,,
M1000100350007,"Car Space No 35, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2013,,,,,
M100010051B007,"Car Space No 51b, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M1000546130005,"Car Space No 613, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M1000546390008,"Car Space No 639, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6060008,"Car Space No 606, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A607000A,"Car Space No 607, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6080001,"Car Space No 608, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6090003,"Car Space No 609, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6100008,"Car Space No 610, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A611000A,"Car Space No 611, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6120001,"Car Space No 612, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6140005,"Car Space No 614, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6150007,"Car Space No 615, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6160009,"Car Space No 616, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A617000B,"Car Space No 617, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6180002,"Car Space No 618, Building 9 Multistorey Car Park, Exchagne Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6190004,"Car Space No 619, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6370002,"Car Space No 637, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
M10005A6380004,"Car Space No 638, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Environmental Resources Management Ltd,01/04/2010,,,,,
11908500004710,"Car Space 186 Furness House, Trafford Road, Furness Quay, Salford, M50 3XA",400,Environmental Services Design Ltd,01/04/2012,,,,,
1190850004622,"Suite 4c 4th Flr, Furness House, Trafford Road, Furness Quay, Salford, M50 3XA",21250,Environmental Services Design Ltd,16/04/2010,,,,,
1190850004637,"Car Spaces 49-54 Furness House, Trafford Road, Furness Quay, Salford, M50 3XA",2400,Environmental Services Design Ltd,01/04/2012,,,,,
1419970003578,"Unit 1b, Ladywell Road Industrial Estate, Eccles New Road, Salford, M50 1BB",29250,Epc (Uk) Grp Ltd,17/11/2014,,,,,
855810309218,"Gnd Flr & Bst Steward House, 309, Bury New Road, Salford, M7 2YN",11250,Epsom Incentives Ltd,01/04/2005,Small Business Relief England,,,,
215510000001,"Unit 1 R/O 1,, Trafford Road, Eccles, M30 0JX",18750,Equalresponse Limited,01/04/2005,,,,,
1077710218005,"Equinox Suite 1 18th Flr, Blue, Media City Uk, Blue, Salford, M50 2ST",19750,Equinox Film/Tv Production Ltd,22/08/2012,,,,,
965670000002,"Unit 2 Vimto Gardens , Chapel Street, Salford, Manchester, M3 5JF",24500,Equinox Properties Limited,23/12/2016,,EPRN,23/03/2017,,
965670000003,"Unit 3 Vimto Gardens, Chapel Street, Salford, Manchester, M3 5JF",16750,Equinox Properties Limited,23/12/2016,,EPRN,23/03/2017,,
965670167193,"Room Gnd Flr, 187-189, Chapel Street, Salford, M3 5EQ",1500,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167194,"Room 1 1st Floor , 187-189, Chapel Street, Salford, M3 5EQ",1825,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167195,"Room 2 1st Flr, 187-189, Chapel Street, Salford, M3 5EQ",2225,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167196,"Room 3 1st Flr, 187-189, Chapel Street, Salford, M3 5EQ",2225,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167198,"Room 5 1st Flr, 187-189, Chapel Street, Salford, M3 5EQ",1175,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167199,"Room 6 1st Flr, 187-189, Chapel Street, Salford, M3 5EQ",1200,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167200,"Room 7 1st Flr, 187-189, Chapel Street, Salford, M3 5EQ",1250,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167201,"Room 8 2nd Flr, 187-189, Chapel Street, Salford, M3 5EQ",1250,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167202,"Room 9 2nd Flr, 187-189, Chapel Street, Salford, M3 5EQ",830,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167203,"Room 10 2nd Flr, 187-189, Chapel Street, Salford, M3 5EQ",1325,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167204,"Room 11 2nd Flr, 187-189, Chapel Street, Salford, M3 5EQ",1625,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167206,"Room 14 2nd Flr, 187-189, Chapel Street, Salford, M3 5EQ",930,Equinox Properties Limited,01/12/2013,,,,Empty,01/12/2013
965670167197,"Room 4 1st Flr, 187-189, Chapel Street, Salford, M3 5EQ",2100,Equinox Properties Ltd,01/12/2013,,,,Empty,01/12/2013
965670167205,"Room 12 2nd Flr, 187-189, Chapel Street, Salford, M3 5EQ",1250,Equinox Properties Ltd,01/12/2013,,,,Empty,01/12/2013
965670167207,"Room 15 2nd Flr, 187-189, Chapel Street, Salford, M3 5EQ",1575,Equinox Properties Ltd,01/12/2013,,,,Empty,01/12/2013
965670167208,"Room 16 2nd Flr, 187-189, Chapel Street, Salford, M3 5EQ",960,Equinox Properties Ltd,01/12/2013,,,,Empty,01/12/2013
1078710000120," , 12th Floor , Orange, Mediacityuk, Salford, M50 2HF",272500,Ericsson Limited,01/10/2015,,,,,
1750090000001,"Unit 1, Rutland Street, Swinton, Manchester, M27 2AU",820,Ernest Hatton & Son,01/04/2008,,,,Empty,01/04/2011
1750090004598,"Land Adj Unit 4, Rutland Street, Swinton, Manchester, M27 2AE",710,Ernest Hatton & Son,01/11/2012,,,,Empty,01/11/2012
1750090038019,"38, Rutland Street, Swinton, M27 2AU",1075,Ernest Hatton & Son,01/04/2010,,,,Empty,01/04/2010
1419670057013,"Unit 630 Metroplex Business Centre, 57, Daniel Adamson Road, Salford, ",5300,Ernest J Oldfield & Daughter Ltd,13/06/2008,Small Business Relief England,,,,
1747510002004,"Suite 14 2nd Flr Lowry Mill, Lees Street, Swinton, Manchester, M27 4AA",46250,Esay Solutions Limited,03/10/2014,,,,,
0086115000200B,"2, Rugby Street, Manchester, M8 9SN",9500,Esembee Associates Ltd,25/03/2014,,,,,
105580001000,"Independent Distribution Network Operator, Orchard Mount, Eccles, Manchester, M30 9NS",126,Esp Electricity Limited,01/04/2015,,,,,
533510000001,"Esp Electricity Ltd , Hayes Road, Cadishead, M44 5BU",1425,Esp Electricity Limited,01/04/2013,,,,,
96567000000,"Independent Distribution Network Operator , Chapel Street, Salford, M3 5DE",600,Esp Electricity Limited,01/04/2015,,,,,
1082190000001,"Esp Electricity Ltd Radclyffe Park, Phoebe Street, Salford, M5 3PH",580,Esp Electricity Limited,01/04/2013,,,,,
1192050000007,"Independent Distribution Network Operator , Exchange Quay, Trafford Road, Salford , M5 3NN",790,Esp Electricity Limited,01/04/2016,,,,,
1192080000000,"Independent Distribution Network Operator, Tweedale Street, Salford, M5 4QY",150,Esp Electricity Limited,01/04/2016,,,,,
1309370000001,"Esp Electricity Ltd, Alder Street, Salford, M6 5ND",186,Esp Electricity Limited,01/04/2013,,,,,
1313500100000,"Independent Distribution Network Operator, Humphrey Booth Gardens, Salford, M6 8RR",300,Esp Electricity Limited,01/04/2015,,,,,
1421550000000,"Independent Distribution Network Operator, Innings Drive, Salford, M6 8DH",245,Esp Electricity Limited,01/04/2016,,,,,
1421560000000,"Independent Distribution Network Operator, Ivy Grange Avenue, Salford, M6 8EG",108,Esp Electricity Limited,01/04/2016,,,,,
1748170000001,"Esp Electricity Ltd, Manchester Road, Swinton, M27 4TS",138,Esp Electricity Limited,01/04/2013,,,,,
1856190000001,"Former Pendlebury Hospital, Hospital Road, Pendlebury, Swinton, M27 4EY",1500,Esp Electricity Limited,01/04/2013,,,,,
1960680001000,"Independent Distribution Network Operator, Amblecote Drive East, Little Hulton , M38 9AE",365,Esp Electricity Limited,01/04/2015,,,,,
1961080000000,"Independent Distribution Network Operator, Bonnington Close, Worsley, Salford, M28 3UP",180,Esp Electricity Limited,01/04/2016,,,,,
1966050000000,"Independent Distribution Network Operator, Thorpe Street, Worsley, M28 3QQ",230,Esp Electricity Limited,01/04/2016,,,,,
2067700012000,"Independent Distribution Network Operator, Chedworth Crescent, Worsley, M38 9FE",200,Esp Electricity Limited,01/04/2015,,,,,
2068560000001,"Independent Distribution Network Operator, Wallbrook Crescent, Little Hutlon, Manchester, M38 9EE",102,Esp Electricity Limited,01/04/2014,,,,,
1186901010311,"Unit F31 , Lowry Outlet Mall , The Quays , Salford , M50 3AH",342500,Esporta Ltd,01/07/2015,,,,,
0217027000153A,"Unit B, Cawdor Street, Worsley, Manchester, ",0,Esquire Associates Limited T/A Consolidated Management Servi,26/05/1998,,,,,
1200550000514,"Mr B Mckenna Office Block, Bazaar Street, Salford, M6 6PF",15500,Estatemark Limited,15/07/2015,,EPRN,15/07/2015,,
1652390041010,"39-41, Worsley Road, Swinton, Manchester, M27 5WN",14500,Estonhill Ltd T/A Bargain Booze,15/11/2014,,,,,
1743670456139,"E-Sunrise Distributors Com Ltd, 459 Bolton Road, Swinton, Manchester, M27 8BB",14750,E-Sunrise Distributors.Com Ltd,01/11/2010,,,,,
861930001523,"Star House, 11a, Grove Street, Salford, M7 2AA",6100,Eszy Limited,12/11/2015,,,,,
1190010000537,"Unit D2 South Stage, Michigan Avenue, Salford, M50 2GY",26750,Ets Consulting Limited,27/10/2014,,,,,
1207600007829,"Stervon House, Unit 1a 1, Seaford Road, Salford, Manchester, M6 6AS",13250,E-Turn Logistics Management Limited,01/06/2015,Small Business Relief England,,,,
1207600007830,"Unit 1b Stervon House , 1, Seaford Road, Salford, Manchester, M6 6AS",9200,E-Turn Logistics Management Limited,30/08/2016,,,,,
968730025563,"Euro Car Park, Gravel Lane, Salford, M3 7WQ",4900,Euro Car Parks Ltd,01/04/2001,,,,,
0097020000051B,"Car Park, Johnson Street, Salford, ",11750,Euro Car Parks Ltd,08/02/2011,,,,,
972030000578,"L Daley, Norton Street, Salford, M3 7NW",7700,Euro Car Parks Ltd,13/01/2014,,,,,
972790000523,"Manchester Evening News, Car Park, Quay Street, Salford, M3 5AA",29750,Euro Car Parks Ltd,08/02/2011,,,,,
976890000517,"Manchester Evening News, Yorkshire Street, Salford, M3 5EG",22750,Euro Car Parks Ltd,08/02/2011,,,,,
1192250000234,"Subway, Trafford Road, Salford, M50 1DL",32500,Euro Garages Limited,11/07/2012,,,,,
1192250000456,"Shell Uk Ltd, Trafford Road, Salford, M50 3XW",32250,Euro Garages Limited,04/08/2015,,,,,
1192250002126,"Atm Site At Shell Garage, Trafford Road, Salford, M50 3XW",5900,Euro Garages Limited,27/03/2014,,,,,
2284810277556,"Atm Site At Walkden Service Station, Walkden Road, Worsley, Manchester, M28 2RZ",1300,Euro Garages Limited,30/01/2013,,,,,
1186901010007,"F7,, The Designer Outlet, The Quays, Salford, M5 2DL",25250,Euro Garages Ltd,12/07/2012,,,,,
2284810277555,"Walkden Service Station , Walkden Road, Worsley, Manchester, M28 2RZ",72000,Euro Garages Ltd,30/01/2013,,,,,
0119205000070B,"Part 2nd Floor, Suite 1/2, Dock Office, Trafford Road, Salford, ",0,Euro National And Technical Ltd,06/04/1999,,,,,
856680000126,"Unit B, Springfield Park, Cottenham Lane, Salford, M7 1TW",44750,Euro Recycling Solutions Ltd,01/12/2015,,,,,
1207570102008,"102, Seaford Road, Salford, M6 6EP",3600,Euro Star One Limited,08/12/2016,Small Business Relief England,,,,
0096453005555A,"Dolby Hotel, 55, Blackfriars Road, Salford, M3 7DB",83000,Europack Limited,18/01/2003,,,,,
8608500000041,"41, Ramsgate Street, Salford, M7 2YL",93000,Europasonic (Uk)Ltd,16/05/2004,,,,,
1424410065006,"65, Tootal Road, Salford, Manchester, ",0,Europe Property Ltd,01/04/2011,,EPRN,01/04/2011,,
855630005005,"Pt Gnd Flr Front Right Unit 5, Trafalgar Business Park, Broughton Lane, Salford, M7 9TZ",7700,European Apparel Limited,01/12/2014,Small Business Relief England,,,,
0097605001001B,"E R M, West Egerton Street, Salford, M5 4DY",292500,European Metal Recycling Limited,01/10/2000,,,,,
214610000531,"Emr Group, Lankro Way, Eccles, M30 0LX",87500,European Metal Recycling Ltd,01/04/2010,,,,,
105470041012,"Stableford Hall, Stableford Avenue, Eccles, Manchester, M30 8AP",0,European Property Developments Ltd,28/12/2009,,,,Empty,28/12/2009
0174835017000A,"172, Moorside Road,  Swinton, Manchester, M27 0LE",7500,Eurovision Entreprise Ltd,01/01/2015,Small Business Relief England,,,,
964530003004,"Arch 3, Blackfriars Road, Salford, M3 7AG",7000,Everalls Garage Ltd,08/08/2015,Small Business Relief England,,,,
1748170171000,"Evergreen Childrens Day Nursery, 171, Manchester Road, Swinton, Manchester, M27 4FB",7100,Evergreen Childrens Day Nursery Ltd,18/10/2007,Small Business Relief England,,,,
965850005022,"The Edge, 2nd Flr Block B, Clowes Street, Salford, M3 5NB",114000,Evergreen Energy Ltd,13/01/2017,,,,,
965850005024,"2nd Flr Block B Car Spaces (14, The Edge, Clowes Street, Salford, M3 5NB",24500,Evergreen Energy Ltd,13/01/2017,,,,,
213350311010,"Unit B, 311, Liverpool Road, Eccles, M30 0QN",12000,Every Bite Right Ltd,31/07/2013,,,,,
1747510002068,"Suite 19 1st Flr  Lowry Mill , Lees Street, Swinton, Manchester, M27 4AA",20250,Everything Tech Limited,15/06/2015,,,,,
966870052030,"Warehouse, 3, Duncan Street, Salford, M5 3SQ",60000,Excalon Limited,01/04/2010,,,,,
966870053031,"Warehouse, 1, Duncan Street, Salford, M5 3SQ",133000,Excalon Limited,11/05/2016,,,,,
966870053051,"Creative Logistics Office Block, Duncan Street, Salford, M5 3SQ",7700,Excalon Limited,01/04/2016,,,,,
966870053061,"Land Adj Warehouse, 2, Duncan Street, Salford, M5 3SQ",21000,Excalon Ltd,01/04/2010,,,,,
0119010001451A,"20, Watersedge Business Park, Modwen Road, Salford, M5 3EZ",15000,Excalon Ltd,17/04/2007,,,,,
1190100036002,"Unit 36, Watersedge Business Park, Modwen Rd, Salford, M5 3EZ",8400,Excalon Ltd,20/06/2005,,EPRN,01/04/2017,,
100130001001,"Pt 10th Flr Cbi, Emerson House, Albert Street, Eccles, Manchester, M30 0LJ",8600,Excell Construction Ltd,08/01/2016,,,,,
100130001162,"Car Spaces 2-3, Emerson House, Albert Street, Eccles, Manchester, M30 0LJ",750,Excell Construction Ltd,11/01/2016,,,,,
10130001104,"Car Space 4 Emerson House , Albert Street, Eccles, Manchester, M30 0LJ",375,Excell Construction Ltd,17/10/2016,,,,,
10130001105,"Car Space 5 Emerson House , Albert Street, Eccles, Manchester, M30 0LJ",375,Excell Construction Ltd,01/08/2016,,,,,
0021395026001A,"260, Peel Green Road,  Eccles, Manchester, M30 7BU",4100,Excell Trade Frames Limited,01/04/2011,,,,,
M1000403940004,"Car Space No 394, Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,26/11/2013,,,,Empty,26/11/2013
M1000919972101,"Car Space 919 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972102,"Car Space 920 Building 9 Multistorey Car Park , Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972103,"Car Space 921 Building 9 Multistorey Car Park , Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972104,"Car Space 922 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972105,"Car Space 923 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972106,"Car Space 924 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972107,"Car Space 925 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972108,"Car Space 926 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972109,"Car Space 927 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972110,"Car Space 928 Building 9 Multistorey Car Park , Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972111,"Car Space 929 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972112,"Car Space 930 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972113,"Car Space 931 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972114,"Car Space 932 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972115,"Car Space 933 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972116,"Car Space 934 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972117,"Car Space 935 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972118,"Car Space 936 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972119,"Car Space 937 Building 9 Multistorey Car Park , Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972120,"Car Space 938 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972121,"Car Space 939 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972122,"Car Space 940 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972123,"Car Space 941 Building 9 Multistorey Car Park , Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972124,"Car Space 942 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972125,"Car Space 943 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972126,"Car Space 944 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972127,"Car Space 945 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972128,"Car Space 946 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972129,"Car Space 947 Building 9 Multistorey Car Park , Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972130,"Car Space 948 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972131,"Car Park Space 949 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972132,"Car Space 950 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972133,"Car Space 951 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972134,"Car Space 952 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972135,"Car Space 953 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972136,"Car Space 954 Building 9 Multistorey Car Park , Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972137,"Car Space 955 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
M1000919972138,"Car Space 956 Building 9 Multistorey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Parking Limited,27/11/2013,,,,Empty,27/11/2013
