Organisation Name,Effective Date,Service,Supplier Name,Payment Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,1188.93,INDIVIDUAL SERVICE FUND,V000873638
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,INDIVIDUAL SERVICE FUND,V000873639
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,INDIVIDUAL SERVICE FUND,V000873640
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,960.57,INDIVIDUAL SERVICE FUND,V000873641
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,1250.64,INDIVIDUAL SERVICE FUND,V000873642
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,1206,INDIVIDUAL SERVICE FUND,V000873643
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,863.97,INDIVIDUAL SERVICE FUND,V000873644
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,-727.92,INDIVIDUAL SERVICE FUND,V000873646
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,-636.93,INDIVIDUAL SERVICE FUND,V000873647
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,-636.93,INDIVIDUAL SERVICE FUND,V000873648
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,INDIVIDUAL SERVICE FUND,V000873649
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,INDIVIDUAL SERVICE FUND,V000873650
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,2098.17,INDIVIDUAL SERVICE FUND,V000873651
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,INDIVIDUAL SERVICE FUND,V000873652
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,INDIVIDUAL SERVICE FUND,V000873653
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,INDIVIDUAL SERVICE FUND,V000873654
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,833.19,INDIVIDUAL SERVICE FUND,V000873655
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,13/02/2015,2146.64,LD SUPPORTED LIVING,V000873657
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/02/2015,2314.83,LD SUPPORTED LIVING,V000873658
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,13/02/2015,2028,LD SUPPORTED LIVING,V000873660
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/02/2015,3299.65,LD SUPPORTED LIVING,V000873661
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,13/02/2015,2088,LD SUPPORTED LIVING,V000873662
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC TRADING,13/02/2015,2366.58,LD SUPPORTED LIVING,V000873663
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/02/2015,4450.8,LD SUPPORTED LIVING,V000873664
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,INDIVIDUAL SERVICE FUND,V000873665
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,INDIVIDUAL SERVICE FUND,V000873666
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,828.21,INDIVIDUAL SERVICE FUND,V000873667
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,13/02/2015,998,LD SUPPORTED LIVING,V000873668
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,13/02/2015,1544.4,INDIVIDUAL SERVICE FUND,V000873669
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,1197.69,INDIVIDUAL SERVICE FUND,V000873670
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,SEVA SUPPORT LTD,13/02/2015,5872.16,LD SUPPORTED LIVING,V000873671
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,13/02/2015,3248,LD SUPPORTED LIVING,V000873672
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,VOYAGE CARE,13/02/2015,8322.6,LD SUPPORTED LIVING,V000873673
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,13/02/2015,2286.64,LD SUPPORTED LIVING,V000873674
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,13/02/2015,3378.64,LD SUPPORTED LIVING,V000873675
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,-2901.15,SUPPORTED LIVING,V000873676
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,-5415.48,SUPPORTED LIVING,V000873677
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,2707.74,INDIVIDUAL SERVICE FUND,V000873678
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,5415.48,INDIVIDUAL SERVICE FUND,V000873679
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,5415.48,INDIVIDUAL SERVICE FUND,V000873680
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/02/2015,4380.4,INDIVIDUAL SERVICE FUND,V000873684
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,1972.98,INDIVIDUAL SERVICE FUND,V000873685
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,13/02/2015,1040,INDIVIDUAL SERVICE FUND,V000873689
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,561.99,INDIVIDUAL SERVICE FUND,V000873690
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,13/02/2015,4277.6,INDIVIDUAL SERVICE FUND,V000873693
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,524.33,INDIVIDUAL SERVICE FUND,V000873694
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,707.57,INDIVIDUAL SERVICE FUND,V000873695
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,762,INDIVIDUAL SERVICE FUND,V000873696
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,762,INDIVIDUAL SERVICE FUND,V000873697
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,509.55,INDIVIDUAL SERVICE FUND,V000873698
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,4170.48,LD SUPPORTED LIVING,V000873699
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,1442.1,INDIVIDUAL SERVICE FUND,V000873700
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,664.05,INDIVIDUAL SERVICE FUND,V000873702
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/02/2015,1057.05,LD SUPPORTED LIVING,V000873703
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/02/2015,7792.4,LD SUPPORTED LIVING,V000873704
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,2014.98,INDIVIDUAL SERVICE FUND,V000873705
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,13/02/2015,775,INDIVIDUAL SERVICE FUND,V000873708
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,13/02/2015,6321,INDIVIDUAL SERVICE FUND,V000873710
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,-1313.79,SUPPORTED LIVING,V000873711
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,-2452.4,SUPPORTED LIVING,V000873712
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,1226.2,INDIVIDUAL SERVICE FUND,V000873713
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,2825.9,INDIVIDUAL SERVICE FUND,V000873714
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,986.6,INDIVIDUAL SERVICE FUND,V000873715
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/02/2015,1825.32,INDIVIDUAL SERVICE FUND,V000873718
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,13/02/2015,5260,LD SUPPORTED LIVING,V000873719
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/02/2015,4539.44,INDIVIDUAL SERVICE FUND,V000873720
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,506.1,INDIVIDUAL SERVICE FUND,V000873721
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/02/2015,3518.56,LD SUPPORTED LIVING,V000873722
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,13/02/2015,3590.6,LD SUPPORTED LIVING,V000873724
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/02/2015,2968.56,LD SUPPORTED LIVING,V000873726
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,13/02/2015,1669.5,INDIVIDUAL SERVICE FUND,V000873729
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,13/02/2015,6678,INDIVIDUAL SERVICE FUND,V000873730
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,13/02/2015,5008.5,INDIVIDUAL SERVICE FUND,V000873731
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,789.6,INDIVIDUAL SERVICE FUND,V000873733
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,2685.78,LD SUPPORTED LIVING,V000873734
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,13/02/2015,876.3,INDIVIDUAL SERVICE FUND,V000873735
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,1171.5,INDIVIDUAL SERVICE FUND,V000873736
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,759.15,INDIVIDUAL SERVICE FUND,V000873737
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,-1711.8,DIRECT PAYMENTS,V000873740
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,-1711.8,DIRECT PAYMENTS,V000873741
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,-1711.8,DIRECT PAYMENTS,V000873742
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,-1711.8,DIRECT PAYMENTS,V000873744
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,-1711.8,DIRECT PAYMENTS,V000873745
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,663.81,INDIVIDUAL SERVICE FUND,V000873746
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,13/02/2015,1095.21,INDIVIDUAL SERVICE FUND,V000873747
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,13/02/2015,1431.52,LD SUPPORTED LIVING,V000873748
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,13/02/2015,3420.52,LD SUPPORTED LIVING,V000873749
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/02/2015,1958.04,LD SUPPORTED LIVING,V000873750
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,13/02/2015,7266,LD SUPPORTED LIVING,V000873752
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,657.72,INDIVIDUAL SERVICE FUND,V000873753
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,13/02/2015,1060,LD SUPPORTED LIVING,V000873754
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,13/02/2015,1736,LD SUPPORTED LIVING,V000873755
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,554.4,INDIVIDUAL SERVICE FUND,V000873757
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,13/02/2015,2912,LD SUPPORTED LIVING,V000873758
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,13/02/2015,6363,LD SUPPORTED LIVING,V000873759
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,CREATIVE SUPPORT LIMITED,13/02/2015,2100,LD SUPPORTED LIVING,V000873760
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,1711.8,DIRECT PAYMENTS,V000873762
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,978.17,DIRECT PAYMENTS,V000873763
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,1711.8,DIRECT PAYMENTS,V000873764
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,1711.8,DIRECT PAYMENTS,V000873765
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,PITNEY BOWES POSTAGE BY PHONE,13/02/2015,18000,TRANSACTIONS-EXPENDITURE,V000873766
ROCHDALE BOROUGH COUNCIL,11/02/2015,CHILDREN’S SOCIAL CARE,DR ELISABETH HANSEN,11/02/2015,822.85,MEDICAL FEES,V000873767
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1206.38,FOSTER PARENTS BASIC ALLOWANCE,V000873771
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,761.02,FOSTER PARENTS BASIC ALLOWANCE,V000873772
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,665.6,FOSTER PARENTS BASIC ALLOWANCE,V000873773
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873773
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1286.18,FOSTER PARENTS BASIC ALLOWANCE,V000873774
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1139.16,FOSTER PARENTS BASIC ALLOWANCE,V000873775
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,532.14,FOSTER PARENTS BASIC ALLOWANCE,V000873776
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,500,FOSTER PARENTS BASIC ALLOWANCE,V000873777
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,681.22,FOSTER PARENTS BASIC ALLOWANCE,V000873777
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,532.14,FOSTER PARENTS BASIC ALLOWANCE,V000873778
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,988.74,FOSTER PARENTS BASIC ALLOWANCE,V000873779
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1477.52,FOSTER PARENTS BASIC ALLOWANCE,V000873780
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873782
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1421.4,FOSTER PARENTS BASIC ALLOWANCE,V000873782
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,872.34,FOSTER PARENTS BASIC ALLOWANCE,V000873784
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,-604.96,FOSTER PARENTS BASIC ALLOWANCE,V000873786
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,558.21,FOSTER PARENTS BASIC ALLOWANCE,V000873786
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1253.13,FOSTER PARENTS BASIC ALLOWANCE,V000873786
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,949.34,SUBSIDISED ADOPTERS PMTS,V000873787
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,761.02,FOSTER PARENTS BASIC ALLOWANCE,V000873789
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,608.62,FOSTER PARENTS BASIC ALLOWANCE,V000873790
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1133.78,FOSTER PARENTS BASIC ALLOWANCE,V000873791
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,519.66,CLOTHING INITIAL FOSTERING GRANT,V000873792
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873792
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,2042.6,FOSTER PARENTS BASIC ALLOWANCE,V000873792
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,988.74,FOSTER PARENTS BASIC ALLOWANCE,V000873793
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1586.34,FOSTER PARENTS BASIC ALLOWANCE,V000873794
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,-1131,FOSTER PARENTS BASIC ALLOWANCE,V000873795
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,2113.14,FOSTER PARENTS BASIC ALLOWANCE,V000873795
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,660,SUBSIDISED ADOPTERS PMTS,V000873797
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,590.66,FOSTER PARENTS BASIC ALLOWANCE,V000873801
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,558.18,FOSTER PARENTS BASIC ALLOWANCE,V000873803
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,FOSTER PARENTS BASIC ALLOWANCE,V000873805
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,FOSTER PARENTS BASIC ALLOWANCE,V000873808
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1891.14,FOSTER PARENTS BASIC ALLOWANCE,V000873818
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,852,SUBSIDISED ADOPTERS PMTS,V000873821
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,523.38,SUBSIDISED ADOPTERS PMTS,V000873824
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,572.4,FOSTER PARENTS BASIC ALLOWANCE,V000873824
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,680.96,SUBSIDISED ADOPTERS PMTS,V000873826
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873828
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,759.44,FOSTER PARENTS BASIC ALLOWANCE,V000873829
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,1477.52,FOSTER PARENTS BASIC ALLOWANCE,V000873830
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13/02/2015,827.64,PROFESSIONAL FEES,V000873835
